#漢字	音標	解釋
穀	kuəʔ7	
穩	vaŋ3	
空	kʰuŋ1	
穿	tʃʰe1	
窗	tsʰiŋ1	
窟	kʰuəʔ7	
窮	tʃʰuŋ2	
窰	iu2	
窿	liŋ1	
立	liʔ8	
章	tɕiau1	
童	tʰiŋ2	
竳	taŋ1	徛～～：小孩学站
竹	tʃyeʔ7	
竿	kai1	
笊	tsa5	
笐	hau6	晒衣竹竿
笑	siu5	
笠	tiʔ7	
符	pʰɨə2	
笪	taʔ7	
第	tʰi6	
筆	piʔ7	
等	taŋ3	
筊	ka3	
筋	tɕiŋ1	
筍	saŋ3	
筒	tʰiŋ2	
答	tuoʔ7	
筧	tʃe3	
筧	tɕie3	
筷	kʰua5	
箍	tɕʰie1	
箕	tɕi1	
算	sai5	
管	kuai3	
箭	tse5	
箱	siau1	
節	tsiʔ7	
篙	ku1	
篦	pʰə6	
篩	tsʰə1-	
篾	miʔ8	
簍	lie3	
簪	tsau1	
簷	ie2	
簽	tsʰe1	
簿	pʰɨə6	
籃	lau2	
籠	liŋ2	
籤	tsʰe1	
籬	ti2	
籮	lu2	
米	mi3	
粄	pai3	
粉	faŋ3	
粗	tsʰɿ1	
粟	siuʔ7	
粥	tʃyeʔ7	
糉	tsiŋ5	
精	tsiŋ1	
精	tsiaŋ1	漂亮；瘦猪肉
糕	ku1	
糖	tʰuŋ2	
糙	tsʰu5	
糝	sau3	饭粒
糞	paŋ5	
糟	tsu1	
糠	kʰuŋ1	
糯	nu6	
糴	tʰəʔ8	
糶	tʰa5	
紀	tɕi3	
紅	fuŋ2	
紗	suo1	
紙	tʃʅ3	
索	suʔ7	
紫	tsɿ3	
紮	tsaʔ7	
細	sə5	
絆	pai5	
結	kəʔ7-	～鞋带：绑鞋带
結	tɕiʔ7=	～婚
絭	tɕie5	牛～鼻：牛鼻环
絲	si1	
綑	kʰuaŋ3	
經	tɕiŋ1	
綠	tiuʔ8	
網	miau3	
綿	me2	
緊	tɕiŋ3	
線	se5	
編	pe1	
練	le6	
縈	iaŋ1	
縛	pʰiuʔ8	
縣	ve6	
縫	pʰuŋ6-	
縫	fuŋ2=	
縮	siuʔ7	
織	tʃʅʔ7	
繼	tɕi5	
纏	tʃʰe2	
缸	kuŋ1	
缺	tɕʰieʔ7	
罌	au1	酒～
罐	kuai5	
罩	tsa5	
罵	muo5	
羅	lu2	
羌	tɕiaŋ1	
羣	tɕʰiŋ2	
義	ŋi5	
羯	tɕiʔ7	阉割
羹	kau1	
習	siʔ8	
