#漢字	音標	解釋
㐴	pʰɑ̟n1	
䏵	mᵇɑŋ1	1.泛指已煮好的食物，如：吃～～。2.，形容人體魁梧
䐁	t͡sɔ7	
䐈	t͡se̞7	
䐑	t͡sɐ̝7	
䐘	t͡ɕi̯ɔ7	
䐚	t͡ɕi̯e̞7	
䐞	zɔ7	
䐨	kɔ7	
䐲	t͡se̞7	
䐸	xwɐ̝7	
䐼	ɕi̯e̞7	
䐾	tɔ7	
䑁	ɔ7	
䑂	jɑɪ̯3	
䑇	t͡se̞7	
䑈	pɔ7	
䑑	pʰɔ7	
䑔	fɑ7	
䑜	tʰi̯e̞7	
䑢	ŋɔ7	
䑥	ŋɔ7	
䑶	t͡ɕʰi̯ɐ̝n5	
䑿	ɕi̯ɔ7	
䒁	ɕi̯e̞7	
䒆	t͡sʰɐ̝7	
䒗	t͡ɕʰi̯e̞7	
䒷	kɔ7	
䒸	ɕy̑e̞7	
䒼	t͡ɕʰi̯ɔ7	
䓃	je̞7	
䓄	jin2	
䓈	jɔ7	
䓛	kɔ7	
䓠	tʰɑ7	
䓠	tɑ7	
䓭	t͡sʰɑ7	
䓲	zwe̞ɪ̯5	
䓶	l̃ɑ7	
䔁	l̃i̯e̞7	
䔎	sɔ7	
䔛	t͡ɕʰyn3	
䔞	l̃ɔ7	
䔡	jy2	
䔰	fɔ7	
䔴	t͡sʰɐ̝7	
䔸	pi̯ɑʊ̯3	
䔾	mᵇɔ7	
䕈	ɕi̯e̞7	
䕓	t͡sʰɑ7	
䕙	t͡ɕi̯e̞7	
䕪	t͡sʰɐ̝7	
䕸	ɕi̯ɑ7	
䕹	t͡sɑ7	
䕹	t͡ɕi̯e̞7	
䖃	jɔ7	
䖐	l̃in2	
䖑	mᵇi̯e̞7	
䖡	l̃ɔ7	
䖦	t͡swɐ̝7	
䖧	l̃ɑ7	
䖩	pi̯e̞7	
䗇	t͡ɕi̯ɔ7	
䗔	xə̞ʊ̯2	～𧈵兒：指螳螂
䗘	kɔ7	
䗚	pɔ7	
䗱	pʰɔ7	
䗶	l̃ɑ7	
䗷	je̞7	
䘃	mᵇɐ̝7	蚊蟲的另一種稱呼
䘅	l̃ɐ̝7	
䘌	l̃i̯e̞7	
䘏	ɕi̯ɔ7	
䘚	t͡sɔ7	
䘝	je̞7	
䘷	pi̯e̞7	
䘸	je̞7	
䘿	t͡ɕi̯ɔ7	
䙄	t͡sɑ7	
䙄	t͡sʰɐ̝7	初三
䙏	pɔ7	
䙐	kʰɐ̝7	
䙘	t͡ɕi̯ɔ7	
䙱	sɔ7	
䙷	tɐ̝7	
䙽	ɕi̯e̞7	
䚄	l̃ɔ7	
䚐	tʰi̯e̞7	
䚐	t͡ɕi̯e̞7	
