#漢字	音標	解釋
簫	ɕiɛ1	
篇	pʰie1	
簍	lau4	
籃	la2	
篱	li2	
篷	bʊŋ2	
簸	pu1	名词: ～箕
簸	pu5	动词
簸	pai5	动词
米	mi4	
粉	faŋ3	
粒	lø8	
粗	tsʰʉ1	
糧	lie2	
精	tsiŋ1	
糊	ɦʋu2	
糟	tsɜ1	
糠	kʰɔ1	
系	tɕiɿ5	动词
系	ɦji6	关～
素	su5	～来
索	so7	
緊	tɕaŋ3	
紫	tsɿ3	
累	lai4	连～
紅	ɦʊŋ2	
約	ʔja7	
級	tɕai7	
紀	tɕiɿ3	
納	nø8	
紝	zaŋ6	灯～: 灯芯
紛	faŋ1	
細	si5	
織	tsi7	
終	tɕʊŋ1	
經	tɕaŋ1	
結	tɕie7	
給	tɕai7	供～
絕	ɦjye8	
統	tʰʊŋ3	
繩	ziŋ2	
綿	mie2	
縋	tsʰi1	用绳子拴住人或东西从上往下送
緣	ɦjye2	
縛	fo8	
縫	vʊŋ6	名词
缸	kɔ1	
缺	tɕʰye7	
网	mɔ4	
罕	hye3	
羅	lu2	～马
罰	fo8	
罷	ba4	表完成、 结束:回去～
罪	zai4	
羊	ɦjie2	
美	mi4	
羔	kɜ1	
羞	siu1	
羣	dʑʊŋ2	
翁	ʊŋ1	
翻	fa1	
翼	ɦjai8	
老	lɜ4	
考	kʰɜ3	
者	tsɛ3	
耐	ne6	
耕	kɛ1	
耳	ʑiɿ4	
耳	n4	
耶	ɦji2	
恥	tsʰɿ3	
耽	ta1	
聶	ȵie8	
聾	lʊŋ2	
職	tsie7	
聘	pʰiŋ5	
聚	ʑiɿ4	
聰	tsʰʊŋ1	
肉	ȵu8	
肚	dʉ4	
腸	dzie2	
肩	tɕie1	
肯	kʰaŋ3	
肱	kɛ1	手～
育	ʔiu7	
肸	ɕai7	
腫	tɕɔ3	
脹	tsie5	
膽	ta3	
背	pai1	
背	pai5	～后
背	bai6	耳朵～
胎	tʰe1	
胛	ka7	
勝	siŋ5	
膠	kɔ1	
能	naŋ2	许～界:那时候
能	ʔnaŋ7	这么
脉	ba8	
腦	nɜ4	
腳	tɕa7	
脫	tʰø7	～爻仇敌(摆脱仇敌)
脫	tʰai7	～爻衣裳
腓	fi1	
腰	ʔiɛ1	
腿	tʰai3	
膊	po7	
膝	sai7	
臀	dø2	
臌	ku3	水～胀: 水臌，中医指腹水
臣	dzaŋ2	
自	zɿ6	
臭	tsʰiu3	
至	tsɿ5	
舀	ʔiɛ3	
舌	zie8	
舍	si3	～弃
舍	si5	邻～
舔	tʰie3	
舞	vu4	
舟	tsiu1	
舢	sa1	
舵	du4	
船	ʑye2	
良	lie2	
艱	ka1	
色	se7	
節	tsie7	
芥	ka5	
蘆	dʉ2	
