#漢字	音標	解釋
㐴	pʰan1	
垮	kʰwɑ3	
垶	ɕy̑in1	
垹	pɑŋ1	
垼	j̟o̞7	
埂	kə̟n5	
埃	ŋaɪ̯1	
埆	t͡ɕʰi̯o̞7	
埋	mᵇaɪ̯2	
城	t͡s̻ʰə̟n2	
埒	ne̞7	
埓	ne̞7	
域	j̟o̞7	
埠	fɔ5	
埡	j̟ɑ1	
埣	s̻we̞ɪ̯5	
埣	s̻o̞7	
埭	taɪ̯5	
埱	t͡s̻ʰo̞7	
埴	t͡s̻e̞7	
執	t͡s̻e̞7	
培	pʰe̞ɪ̯2	
基	t͡ɕi1	
埻	ko̞7	
埻	kwe̞7	
堀	t͡ɕi̯o̞7	
堂	tʰɑŋ2	
堅	t͡ɕi̯e̞n1	
堆	twe̞ɪ̯1	
堉	j̟o̞7	
堊	ŋo̞7	
堗	to̞7	表示物體底部
堘	s̻ə̟n2	
堚	xwə̟n2	
堞	ti̯e̞7	
堡	pʰu̜3	地名如龍洞～
堡	pɑʊ̯3	
堤	tʰi2	
堨	o̞7	
堪	kʰan1	
堮	ŋo̞7	
堯	j̟ɑʊ̯2	
堰	j̟e̞n5	
報	pɑʊ̯5	
堲	t͡ɕi̯e̞7	
場	t͡s̻ʰɑŋ2	
堵	tu̜3	
塉	t͡ɕi̯e̞7	
塊	kʰwaɪ̯3	
塋	y̑in2	
塌	tʰa7	
塍	s̻ə̟n2	
塑	s̻ɔ5	最老派
塑	s̻u̜5	
塓	mᵇi̯e̞7	
塔	tʰa7	
塖	s̻ə̟n2	
塘	tʰɑŋ2	
塙	t͡ɕʰi̯o̞7	
塚	t͡s̻o̞ŋ3	
塛	ni̯e̞7	
塞	s̻e7	
塢	ʋ̩1	
填	tʰi̯e̞n2	
塵	t͡s̻ʰə̟n2	
塻	mᵇo̞7	
塾	s̻o̞7	
境	t͡ɕin3	
墄	t͡ɕʰi̯e̞7	
墅	s̻u̜3	
墆	ti̯e̞7	
墊	ti̯e̞n5	
墌	t͡s̻e̞7	
墑	ti̯e̞7	
墓	mᵇɔ5	
墜	t͡s̻we̞ɪ̯5	
增	t͡s̻ə̟n1	
墟	ɕy̑i1	
墣	pʰo̞7	
墨	mᵇe̞7	
墩	tə̟n1	
墮	tɔ5	
墳	fə̟n2	
墼	t͡ɕi̯e̞7	
墾	kʰə̟n3	
墿	j̟e̞7	
壁	pi̯e̞7	
壅	j̟o̞ŋ1	
壇	tʰan2	
壇	tʰan2	地壇：一塊地方
壑	xo̞7	
壓	j̟a7	白讀，作動詞，如：壓，鎮壓
壓	j̟ɑ5	文讀，作名詞，如：壓力
壘	nwe̞ɪ̯3	
壙	kʰwɑŋ5	
壞	xwaɪ̯5	
壟	no̞ŋ3	
壤	z̻ɑŋ3	
壩	pɑ5	
士	s̻ɹ̆ᶤ̞5	
壬	z̻ə̟n2	
壯	t͡s̻wɑŋ5	
壹	j̟e̞7	
壺	xu̜2	最老派文讀
壺	fʋ̩2	
壽	s̻əʊ̯5	
夌	nin2	
夏	ɕi̯ɑ5	
夔	kʰwe̞ɪ̯2	
夕	ɕi̯e̞7	
外	waɪ̯5	
夙	ɕi̯o̞7	
多	tɔ1	
夜	j̟i5	
夠	kəʊ̯5	
夢	mᵇo̞ŋ5	
夥	xɔ3	
大	tɑ5	
大	taɪ̯5	
夨	ni̯e̞7	
夨	t͡s̻e̞7	莊三
天	tʰi̯e̞n1	
太	tʰaɪ̯5	
夫	fʋ̩1	
夭	j̟ɑʊ̯1	
央	j̟ɑŋ1	
失	s̻e̞7	
夶	pi3	
夷	j̟i2	
夼	kʰwɑŋ3	
夾	t͡ɕi̯a7	
奇	t͡ɕʰi2	
奈	naɪ̯5	
奉	fo̞ŋ5	
奊	ɕi̯e̞7	
奎	kʰwe̞ɪ̯2	
奏	t͡s̻əʊ̯5	
契	t͡ɕʰi5	
契	t͡ɕʰi̯e̞7	契丹
奓	t͡s̻ɑ1	動詞，表示張開
奔	pə̟n1	
奕	j̟e̞7	
套	tʰɑʊ̯5	
奚	ɕi1	
奠	ti̯e̞n5	
奢	s̻e̞ɪ̯1	
奤	pʰo̞7	
奧	ŋɑʊ̯5	
奩	ni̯e̞n2	
奪	to̞7	
奭	s̻e̞7	
奮	fə̟n5	
奯	xo̞7	
女	n̠ᶽy̑i3	
奴	nu̜2	
奶	mᵇaɪ̯1	白讀，表示女性乳房
奶	naɪ̯3	奶
奸	t͡ɕi̯e̞n1	
好	xɑʊ̯3	
好	xɑʊ̯5	
如	z̻u̜2	
妃	fe̞ɪ̯1	
妄	wɑŋ5	
妊	z̻ə̟n5	
妒	tu̜5	
妓	t͡ɕi5	
妖	j̟ɑʊ̯1	
妘	y̑in2	
妙	mᵇi̯ɑʊ̯5	
妜	y̑e̞7	
妝	t͡s̻wɑŋ1	
妠	na7	
妣	pi3	
妥	tʰɔ3	
妨	fɑŋ2	
妭	pʰa7	
妯	t͡s̻ʰo̞7	妯娌
妲	ta7	
妳	n̠ᶽi3	
妵	tʰəʊ̯3	
妷	t͡s̻e̞7	
妹	mᵇe̞ɪ̯5	
妺	mᵇo̞7	
妻	t͡ɕʰi1	
妾	t͡ɕʰi̯e̞7	
姂	fa7	
姂	t͡ɕʰy̑e̞7	
姊	t͡s̻ɹ̆ᶤ̞3	
始	s̻ɹ̆ᶤ̞3	
始	t͡ɕʰy̑i3	部分老派口語弱化，比如：～終
姐	t͡ɕi3	
姑	ku̜1	
姓	ɕin5	
委	we̞ɪ̯3	
姘	pʰin1	
姚	j̟ɑʊ̯2	
姝	s̻u̜1	
姞	t͡ɕi̯e̞7	
姟	kaɪ̯1	
姡	xo̞7	1.羞愧的樣子    2.狡猾，狡詐
姡	xwa7	面貌醜陋
姣	t͡ɕi̯ɑʊ̯1	
姤	kəʊ̯5	
姦	t͡ɕi̯e̞n1	
姨	j̟i2	
姪	t͡s̻e̞7	
姬	t͡ɕi1	
姴	ni̯e̞7	
姶	o̞7	
姷	j̟əʊ̯5	
姻	j̟in1	
姿	t͡s̻ɹ̆ᶤ̞1	
威	we̞ɪ̯1	
娃	wɑ2	
娎	ɕi̯e̞7	
娑	s̻ɔ1	
娕	t͡s̻ʰo̞7	
娖	t͡s̻ʰo̞7	
娘	n̠ᶽi̯ɑŋ2	在姑娘婆娘等詞中會發生變調讀作陰平
娛	y̑i2	
娝	pʰi3	
娠	s̻ə̟n2	
娥	ŋɔ2	
娧	y̑e̞7	
娩	mᵇi̯e̞n3	
娶	t͡ɕʰy̑i3	
娺	t͡s̻wa7	
娽	no̞7	
婁	nəʊ̯2	
婆	pʰɔ2	
婉	wan3	
婊	pi̯ɑʊ̯3	
婌	s̻o̞7	
婍	t͡ɕʰi3	
婕	t͡ɕi̯e̞7	
婗	n̠ᶽi2	
婚	xwə̟n1	
婠	wan1	
婠	wa7	
婢	pe̞ɪ̯5	
婥	t͡s̻ʰo̞7	
婦	fʋ̩5	
婧	t͡ɕin5	
婪	nan2	
婹	j̟ɑʊ̯3	
婼	z̻e̞ɪ̯2	婼羌西域國名
婼	t͡s̻ʰo̞7	叔孫婼魯大夫說文曰不順也又人賒切婼羌西域國名
婿	ɕi5	
媉	o̞7	
媒	mᵇe̞ɪ̯2	
媕	o̞7	
媚	mᵇe̞ɪ̯5	
媛	y̑e̞n2	
媛	y̑e̞n5	
媟	ɕi̯e̞7	
媠	tʰɔ3	
媱	j̟ɑʊ̯2	
媲	pʰi5	
媳	ɕi̯e̞7	
媷	z̻o̞7	
媽	mᵇɑ1	媽媽
媾	kəʊ̯5	
嫁	t͡ɕi̯ɑ5	
嫂	s̻ɑʊ̯3	
嫈	y̑in2	
嫉	t͡ɕi̯e̞7	
嫌	ɕi̯e̞n2	
嫑	pi̯ɑʊ̯5	
嫖	pʰi̯ɑʊ̯2	
嫠	ni2	
嫡	ti̯e̞7	
嫣	j̟e̞n1	
嫦	s̻ɑŋ2	
嫧	t͡s̻e̞7	
嫧	t͡ɕʰi̯e̞7	
嫩	nə̟n5	
嫳	pʰi̯e̞7	
嫵	ʋ̩2	
嫼	j̟a7	
嫿	xwe̞7	
嬆	ɕi̯e̞7	
嬉	ɕi1	
嬋	s̻an2	
嬌	t͡ɕi̯ɑʊ̯1	
嬙	s̻e̞7	生三
嬡	ŋaɪ̯5	
嬥	t͡s̻o̞7	
嬪	pʰin2	
嬰	j̟in1	
嬳	o̞7	
嬴	j̟in2	
嬸	s̻ə̟n3	
嬻	to̞7	
孀	s̻wɑŋ1	
孂	ke̞7	
孃	n̠ᶽi̯ɑŋ1	
孎	t͡s̻o̞7	
子	t͡s̻ɹ̆ᶤ̞3	
孑	t͡ɕi̯e̞7	
孒	t͡ɕi̯o̞7	
孓	t͡ɕy̑e̞7	
孔	kʰo̞ŋ3	
孕	z̻wə̟n5	
字	t͡s̻ɹ̆ᶤ̞5	
存	t͡s̻ʰə̟n2	
孚	fʋ̩1	
孛	po̞7	
孜	t͡s̻ɹ̆ᶤ̞1	
孝	ɕi̯ɑʊ̯5	
孟	mᵇo̞ŋ5	
季	t͡ɕi5	
孤	ku̜1	
孨	n̠ᶽi̯e̞7	
孩	xaɪ̯2	
孫	s̻ə̟n1	
孰	s̻o̞7	
孱	t͡s̻ʰan2	文讀，如：～弱
孱	t͡s̻ʰan5	白讀，作形容詞用於形容人軟弱卑怯如：～頭
孴	j̟e̞7	
孵	fʋ̩1	
孷	ni2	
學	ɕi̯o̞7	
孺	z̻u̜5	
孼	n̠ᶽi̯e̞7	
孽	n̠ᶽi̯e̞7	
宅	t͡s̻ʰe̞7	
宇	y̑i3	
守	s̻əʊ̯3	
安	ŋan1	
安	ŋaɪ̯1	
宊	tʰo̞7	
宋	s̻o̞ŋ5	
完	wan2	
宏	xo̞ŋ2	
宓	mᵇi̯e̞7	
宕	tɑŋ5	
宗	t͡s̻o̞ŋ1	
官	kwan1	
宙	t͡s̻əʊ̯5	
定	tin5	
宛	wan3	
宜	n̠ᶽi2	
客	kʰe̞7	
宣	ɕy̑e̞n1	
室	s̻e̞7	
宥	j̟əʊ̯5	
宦	xwan5	
宮	ko̞ŋ1	
宰	t͡s̻aɪ̯3	
害	xaɪ̯5	
宴	j̟e̞n5	
宵	ɕi̯ɑʊ̯1	夜宵
家	t͡ɕi̯ɑ1	
家	kɑ1	白讀，如：家公，家家
宸	s̻ə̟n2	
容	j̟o̞ŋ2	
宿	ɕi̯əʊ̯5	
宿	ɕi̯o̞7	
寀	t͡s̻ʰaɪ̯3	
寂	t͡ɕi̯e̞7	
寄	t͡ɕi5	
寅	j̟in2	
密	mᵇi̯e̞7	
寇	kʰəʊ̯5	
寉	xo̞7	
富	fʋ̩5	
寐	mᵇe̞ɪ̯5	
寒	xan2	
寓	y̑i5	
寔	t͡s̻e̞7	
寕	nin2	
寕	n̠ᶽin5	
寗	nin2	
寗	n̠ᶽin5	
寘	t͡s̻ɹ̆ᶤ̞5	
寞	mᵇo̞7	
察	t͡s̻ʰa7	
寡	kwɑ3	
寢	t͡ɕʰin3	
寣	xo̞7	
寥	ni̯ɑʊ̯2	
實	s̻e̞7	
寧	nin2	
寨	t͡s̻aɪ̯5	
審	s̻ə̟n3	
寫	ɕi3	
寬	kʰwan1	
寰	xwan2	
寵	t͡s̻ʰo̞ŋ3	
寶	pɑʊ̯3	
寸	t͡s̻ʰə̟n5	
寺	s̻ɹ̆ᶤ̞5	
寽	no̞7	
封	fo̞ŋ1	
尃	fʋ̩1	
射	s̻e̞ɪ̯5	
將	t͡ɕi̯ɑŋ1	
將	t͡ɕi̯ɑŋ5	
專	t͡s̻wan1	
尊	t͡s̻ə̟n1	
尋	ɕy̑in2	
對	twe̞ɪ̯5	
導	tɑʊ̯5	
導	tʰɑʊ̯5	
小	ɕi̯ɑʊ̯3	
少	s̻ɑʊ̯3	
少	s̻ɑʊ̯5	
尕	kɑʊ̯2	指頑皮的小孩，如:～兒
尖	t͡ɕi̯e̞n1	
尚	s̻ɑŋ5	
尛	mᵇɔ2	
尠	ɕi̯e̞n3	
尤	j̟əʊ̯2	
尬	kɑ3	
就	təʊ̯5	白讀
就	t͡ɕi̯əʊ̯5	
尳	ko̞7	
尷	kan1	
尹	y̑in3	
尺	t͡s̻ʰe̞7	
尼	n̠ᶽi2	
尾	we̞ɪ̯3	
尿	ɕy̑i1	俗字作噓
尿	n̠ᶽi̯ɑʊ̯5	
局	t͡ɕi̯o̞7	
屁	pʰi5	
屄	pʰi1	女陰
居	t͡ɕy̑i1	
屆	kaɪ̯5	白讀
屆	t͡ɕi̯ɛɪ̯5	
屈	t͡ɕʰi̯o̞7	
屋	o̞7	
屌	ti̯ɑʊ̯3	
屍	s̻ɹ̆ᶤ̞1	
屎	s̻ɹ̆ᶤ̞3	
屏	pʰin2	
屐	t͡ɕi̯e̞7	
屑	ɕy̑e̞7	風屑：頭皮屑
屒	t͡s̻ə̟n3	
屒	s̻ə̟n2	
展	t͡s̻an3	
屙	ŋɔ1	
屜	tʰi2	
屟	ɕi̯e̞7	
屠	tʰu̜2	
屢	nwe̞ɪ̯3	
層	t͡s̻ʰə̟n2	
履	ny̑i3	
屧	ɕi̯e̞7	
屩	t͡ɕi̯o̞7	
屬	s̻o̞7	
屮	t͡s̻ʰe̞7	
屯	tʰə̟n2	
屰	n̠ᶽi̯e̞7	
山	s̻an1	
屳	ɕi̯e̞n1	
屴	ni̯e̞7	
屵	ŋo̞7	
屹	j̟e̞7	
屼	ŋo̞7	
岉	o̞7	
岊	t͡ɕi̯e̞7	
岌	t͡ɕi̯e̞7	
岐	t͡ɕʰi2	
岑	t͡s̻ʰə̟n2	
岓	t͡ɕʰi2	
岔	t͡s̻ʰɑ5	
岝	t͡s̻e̞7	
岞	t͡s̻o̞7	
岡	kɑŋ1	
岦	ni̯e̞7	
岪	fo̞7	
岱	taɪ̯5	
岷	mᵇin2	
岸	ŋan5	
峉	ŋe̞7	
峐	kaɪ̯1	
峙	s̻ɹ̆ᶤ̞5	
峠	kʰɑ1	
峪	j̟o̞7	
峯	fo̞ŋ1	
島	tɑʊ̯3	
峻	t͡ɕy̑in5	
峽	ɕi̯a7	
崇	t͡s̻ʰo̞ŋ2	
崍	naɪ̯2	
崎	t͡ɕʰi2	
崑	kʰwə̟n1	
崒	t͡ɕi̯o̞7	
崔	t͡s̻ʰwe̞ɪ̯1	
崕	ŋaɪ̯2	
崖	ŋaɪ̯2	
崗	kɑŋ1	
崙	nə̟n2	
崛	t͡ɕi̯o̞7	
崞	ko̞7	
崦	j̟e̞n1	
崩	pə̟n1	
崪	t͡s̻o̞7	
崰	t͡s̻ɹ̆ᶤ̞1	
崱	t͡s̻e̞7	崇三
崳	y̑i2	
崽	t͡s̻aɪ̯3	又作(仔)
崿	ŋo̞7	
嵊	s̻ə̟n5	
嵌	kʰan5	白讀表示嵌入
嵌	t͡ɕʰi̯e̞n5	
嵑	kʰo̞7	
嵑	t͡ɕi̯e̞7	通（碣）
嵠	t͡ɕʰi1	
嵤	y̑in2	
嵥	t͡ɕi̯e̞7	
嵩	s̻o̞ŋ1	
嵲	n̠ᶽi̯e̞7	
嶂	t͡s̻ɑŋ5	
嶈	t͡ɕʰi̯ɑŋ1	
嶏	fo̞7	
嶧	j̟e̞7	
嶨	t͡ɕʰi̯o̞7	
嶨	ɕi̯o̞7	
嶪	n̠ᶽi̯e̞7	
嶭	n̠ᶽi̯e̞7	
嶷	n̠ᶽi̯e̞7	
嶸	y̑in2	
嶺	nin3	
嶽	j̟o̞7	
巀	t͡s̻a7	巀嶭山名在右扶風才割切又才結切四
巀	t͡ɕi̯e̞7	
巈	t͡ɕi̯o̞7	
巍	we̞ɪ̯1	
巖	ŋaɪ̯2	
川	t͡s̻ʰwan1	
州	t͡s̻əʊ̯1	
巡	ɕy̑in2	
巢	t͡s̻ʰɑʊ̯2	
巤	ni̯e̞7	
工	ko̞ŋ1	
左	t͡s̻ɔ3	
巧	t͡ɕʰi̯ɑʊ̯3	
巨	t͡ɕy̑i5	
巫	ʋ̩1	
差	t͡s̻ʰɑ1	
差	t͡s̻ʰɑ5	
差	t͡s̻ʰaɪ̯1	
己	t͡ɕi3	
已	j̟i3	
巳	s̻ɹ̆ᶤ̞5	
巴	pɑ1	
巵	t͡s̻ɹ̆ᶤ̞1	
巷	xɑŋ5	
巷	xɑʊ̯5	白讀，如：～～兒
巾	t͡ɕin1	
市	s̻ɹ̆ᶤ̞5	
布	pu̜5	
帆	fan2	
帇	n̠ᶽi̯e̞7	
希	ɕi1	
帒	taɪ̯5	
帓	mᵇa7	表示擦，如：～桌子
帕	pʰɑ5	
帖	tʰi̯e̞7	
帗	fo̞7	
帙	t͡s̻ʰe̞7	
帚	t͡s̻əʊ̯3	
帛	pe̞7	
帝	ti5	
帞	mᵇe̞7	
帟	j̟e̞7	
帢	t͡ɕʰi̯a7	
帥	s̻waɪ̯5	
帨	s̻we̞ɪ̯5	
師	s̻ɹ̆ᶤ̞1	
席	ɕi̯e̞7	
帳	t͡s̻ɑŋ5	
帵	wan1	
帶	taɪ̯5	
帷	we̞ɪ̯2	
常	s̻ɑŋ2	
帹	t͡s̻a7	
帽	mᵇɑʊ̯5	
幄	o̞7	
幅	fo̞7	
幌	xwɑŋ3	
幍	tʰɑʊ̯1	
幎	mᵇi̯e̞7	
幔	mᵇan5	
幕	mᵇɔ5	
幗	kwe̞7	
幘	t͡s̻e̞7	
幞	fo̞7	
幣	pi5	
幦	mᵇi̯e̞7	
幪	mᵇo̞ŋ2	
幫	pɑŋ1	
幭	mᵇi̯e̞7	
幯	t͡ɕi̯e̞7	
幱	nan2	
平	pʰin2	
年	n̠ᶽi̯e̞n2	
幸	ɕin5	
幹	kan1	
幹	kan5	
幺	j̟ɑʊ̯1	
幻	xwan5	
幼	j̟əʊ̯5	
幽	j̟əʊ̯1	
幾	t͡ɕi1	
幾	t͡ɕi3	
庇	pʰi5	
序	ɕy̑i5	
底	ti3	
店	ti̯e̞n5	
庘	j̟a7	
庚	kə̟n1	
府	fʋ̩3	
庢	t͡s̻e̞7	
度	tu̜5	
度	to̞7	審時度勢
座	t͡s̻ɔ5	
庫	kʰu̜5	
庭	tʰin2	
庴	t͡ɕi̯e̞7	
庵	ŋan1	
庶	s̻u̜5	
康	kʰɑŋ1	
庸	j̟o̞ŋ1	
廁	t͡s̻ʰe̞7	
廂	ɕi̯ɑŋ1	
廅	o̞7	
廈	s̻wɑ3	
廉	ni̯e̞n2	
廊	nɑŋ2	
廌	t͡s̻ɹ̆ᶤ̞5	
廓	kʰwe̞7	
廖	ni̯ɑʊ̯5	
廘	no̞7	
廙	j̟e̞7	
廚	t͡s̻ʰu̜2	
廝	s̻ɹ̆ᶤ̞1	
廟	mᵇi̯ɑʊ̯5	
廠	t͡s̻ʰɑŋ3	
廢	fe̞ɪ̯5	
廣	kwɑŋ3	
廦	pʰi̯e̞7	
廩	nin3	
廬	nu̜2	
廳	tʰin1	
延	j̟ɛɪ̯2	
廷	tʰin2	
建	t͡ɕi̯e̞n5	
廿	z̻e̞7	
弄	no̞ŋ1	白讀，如：～整
弄	no̞ŋ5	文讀
弆	t͡ɕʰy̑i5	
弈	j̟e̞7	
弊	pi5	
弋	j̟e̞7	
弌	j̟e̞7	
式	s̻ɹ̆ᶤ̞5	
弑	s̻ɹ̆ᶤ̞5	
弒	s̻ɹ̆ᶤ̞5	
弓	t͡ɕi̯o̞ŋ1	白讀又音,或作(躬)
弓	t͡ɕi̯o̞ŋ2	白讀，作動詞，如：背～起。2.作形容詞表示厲害之意。或作(躬)
弓	ko̞ŋ1	
引	j̟in3	
弗	fo̞7	
弘	xo̞ŋ2	
弟	ti5	
弢	tʰɑʊ̯1	罵，也作（滔）（𰵽）（謟）通常講（日～）
弦	ɕy̑e̞n2	
弧	xu̜2	最老派文讀
弧	fʋ̩2	
弱	z̻o̞7	
張	t͡s̻ɑŋ1	
強	t͡ɕʰi̯ɑŋ2	
強	t͡ɕʰi̯ɑŋ3	
弼	pʰi̯e̞7	
弽	s̻e̞7	
彀	kəʊ̯5	
彃	pi̯e̞7	
彈	tʰan2	
彈	tan5	
彉	xo̞7	
彌	mᵇi2	地名，如：彌陀，彌勒
彌	mᵇe̞ɪ̯2	
彍	xo̞7	
彎	wan1	
彏	t͡ɕi̯o̞7	
彔	no̞7	
彗	xwe̞ɪ̯5	
彝	j̟i2	
彠	xwe̞7	
彡	s̻an1	
形	ɕin2	
彧	j̟o̞7	
彩	t͡s̻ʰaɪ̯3	
彪	pi̯ɑʊ̯1	
彬	pin1	
彭	pʰə̟n2	
影	j̟in3	
彳	t͡s̻ʰe̞7	
彴	t͡s̻o̞7	
彶	t͡ɕi̯e̞7	
彷	fɑŋ3	
役	j̟o̞7	
彼	pi3	
彿	fo̞7	
往	wɑŋ3	
征	t͡s̻ə̟n1	
待	tʰaɪ̯1	白讀1，作動詞。表示使～～東西保持在某一狀態。如：用手把什麼東西～著
待	tʰaɪ̯3	白讀2,作動詞。表示(使)停止，擱下，俗字可作(𢪯)
待	taɪ̯5	
很	xaɪ̯1	白讀
很	xə̟n3	
徉	j̟ɑŋ2	
律	no̞7	
後	xəʊ̯5	
徐	ɕy̑i2	
徑	t͡ɕin5	
徒	tʰu̜2	
得	te̞7	
徙	ɕi3	
徜	s̻ɑŋ2	
從	t͡s̻ʰo̞ŋ2	
御	y̑i5	
徢	ɕi̯e̞7	
復	fo̞7	
循	ɕy̑in2	
微	y̑i2	老派口語弱化，比如：稍微
微	we̞ɪ̯2	
徵	t͡s̻ə̟n1	
德	te̞7	
徹	t͡s̻ʰe̞7	
徽	xwe̞ɪ̯1	
忂	t͡ɕʰy̑i2	
心	ɕin1	
必	pi̯e̞7	
忋	kaɪ̯3	
忌	t͡ɕi5	
忍	z̻ə̟n3	
忐	tʰan3	
忑	tʰe̞7	
忒	tʰe̞7	
忔	t͡ɕʰi̯e̞7	
忖	t͡s̻ʰə̟n5	
志	t͡s̻ɹ̆ᶤ̞5	
忘	wɑŋ2	白讀，如：搞～去
忘	wɑŋ5	
忙	mᵇɑŋ2	
忝	tʰi̯e̞n3	
忠	t͡s̻o̞ŋ1	
忡	t͡s̻ʰo̞ŋ1	
忤	ʋ̩3	
忦	t͡ɕi̯a7	
忩	t͡s̻ʰo̞ŋ1	
快	kʰwaɪ̯5	
忴	t͡ɕin1	
念	n̠ᶽi̯e̞n5	
忸	n̠ᶽi̯əʊ̯3	
忸	no̞7	又音
忻	ɕin1	
忽	xo̞7	
忿	fə̟n5	
怉	pɑʊ̯3	形容詞，用來形容人傻乎乎，淨出洋相的樣子
怍	t͡s̻o̞7	
怒	nu̜5	
怕	pʰɑ5	
怖	pu̜5	
怗	tʰi̯e̞7	
怛	ta7	
思	s̻ɹ̆ᶤ̞1	
怠	taɪ̯5	
怡	j̟i2	
怤	fʋ̩1	
急	t͡ɕi̯e̞7	
性	ɕin5	
怨	y̑e̞n5	
怩	n̠ᶽi2	
怪	kwaɪ̯5	
怫	fo̞7	
怭	pi̯e̞7	
怯	t͡ɕʰi̯e̞7	
怱	t͡s̻ʰo̞ŋ1	
怴	ɕi̯o̞7	
怵	t͡s̻ʰo̞7	
恃	s̻ɹ̆ᶤ̞5	
恄	ɕi̯e̞7	
恆	xə̟n2	
恍	xwɑŋ3	
恍	xwɑŋ5	～心
恎	ti̯e̞7	
恐	kʰo̞ŋ3	
恕	s̻u̜5	
恖	s̻ɹ̆ᶤ̞1	
恙	j̟ɑŋ5	
恜	t͡s̻ʰe̞7	
恢	xwe̞ɪ̯1	
恤	ɕy̑e̞7	白讀：T～
恤	ɕi̯o̞7	
恥	t͡s̻ʰɹ̆ᶤ̞3	
恧	no̞7	
恨	xə̟n5	又音
恩	ŋə̟n1	
恪	kʰo̞7	
恭	ko̞ŋ1	
息	ɕi̯e̞7	
息	ɕy̑e̞7	白讀，如：出～
恰	t͡ɕʰi̯a7	
悄	t͡ɕʰi̯ɑʊ̯1	
悅	y̑e̞7	
悈	kaɪ̯5	
悉	ɕi̯e̞7	
悊	t͡s̻e̞7	
悏	t͡ɕʰi̯e̞7	
悐	tʰi̯e̞7	
悒	j̟e̞7	
悔	xwe̞ɪ̯3	
悖	po̞7	
悚	s̻o̞ŋ3	
悟	ʋ̩5	
悠	j̟əʊ̯1	
患	xwan5	
悤	t͡s̻ʰo̞ŋ1	
悲	pe̞ɪ̯1	
悳	te̞7	
悴	t͡s̻ʰwe̞ɪ̯5	
悵	t͡s̻ʰɑŋ5	
悶	mᵇə̟n1	形容一個人把心事憋在心裏的樣子
悶	mᵇə̟n5	
惁	ɕi̯e̞7	
惄	n̠ᶽi̯e̞7	
情	t͡ɕʰin2	
惑	xwe̞7	
惕	tʰi̯e̞7	
惗	n̠ᶽi̯e̞7	
惘	wɑŋ3	
惙	t͡s̻we̞7	
惚	xo̞7	
惜	ɕi̯e̞7	
惟	we̞ɪ̯2	
惠	xwe̞ɪ̯5	
惡	ʋ̩5	
惡	ŋo̞7	
惦	ti̯e̞n5	
惪	te̞7	
惰	tɔ5	
惱	nɑʊ̯3	
想	ɕi̯ɑŋ3	
惵	ti̯e̞7	
惸	t͡ɕʰy̑in2	
惹	z̻e̞ɪ̯3	
惻	t͡s̻ʰe̞7	初三
愁	t͡s̻ʰəʊ̯2	
愉	y̑i2	
愎	pi̯e̞7	
意	j̟i5	
愒	t͡ɕʰi̯e̞7	
愕	ŋo̞7	
愙	kʰo̞7	
愚	y̑i2	
愛	ŋaɪ̯5	
愜	t͡ɕʰi̯e̞7	
感	kan3	
愣	nə̟n5	
愧	kʰwe̞ɪ̯5	
愫	s̻u̜5	
愬	s̻e̞7	驚懼貌又暮韻
愯	s̻o̞ŋ3	
愱	t͡ɕi̯e̞7	
愲	ko̞7	
愵	n̠ᶽi̯e̞7	
愶	ɕi̯e̞7	
愷	kʰaɪ̯3	
愾	kʰaɪ̯5	
慄	ni̯e̞7	
慆	tʰɑʊ̯1	
慈	t͡s̻ʰɹ̆ᶤ̞2	
慉	ɕi̯o̞7	
態	tʰaɪ̯5	
慌	xwɑŋ1	
慍	y̑in5	
慎	t͡s̻ʰə̟n5	
慔	mᵇu̜5	～腦殼：形容人傻，笨，不聰明的樣子
慕	mᵇɔ5	
慖	kwe̞7	
慗	t͡s̻ʰe̞7	
慘	t͡s̻ʰan3	
慚	t͡s̻ʰan2	
慝	tʰe̞7	
慠	ŋɑʊ̯1	白讀，作動詞，表示傲慢，作對
慢	mᵇan5	
慣	kwan5	
慤	t͡ɕʰi̯o̞7	
慧	xwe̞ɪ̯5	
慨	kʰaɪ̯5	
慪	ŋəʊ̯5	
慫	s̻o̞ŋ3	
慮	nwe̞ɪ̯5	
慰	y̑i5	老派口語弱化。如：慰問，慰勞
慰	we̞ɪ̯5	
慴	t͡s̻e̞7	
慶	t͡ɕin5	重慶
慶	t͡ɕʰin5	
慷	kʰɑŋ1	
慹	t͡ɕi̯e̞7	
慹	t͡s̻e̞7	
慼	t͡ɕʰi̯e̞7	
慽	t͡ɕʰi̯e̞7	
慾	j̟o̞7	
憂	j̟əʊ̯1	
憋	pi1	
憌	t͡ɕʰy̑in2	
憎	t͡s̻ə̟n1	
憐	ni̯e̞n2	
憑	pʰin2	
憚	tan5	
憝	twe̞ɪ̯5	
憞	twe̞ɪ̯5	
憟	ɕi̯o̞7	
憠	t͡ɕy̑e̞7	
憡	t͡s̻ʰe̞7	
憤	fə̟n5	
憨	xan1	
憫	mᵇin3	
憬	t͡ɕy̑in3	
憭	ni̯ɑʊ̯2	
憰	t͡ɕy̑e̞7	
憲	ɕi̯e̞n5	
憴	s̻ə̟n2	
憵	pʰi̯e̞7	
憶	j̟i5	
憷	t͡s̻ʰu̜3	
懂	to̞ŋ3	
懇	kʰə̟n3	
懈	ɕi̯ɛɪ̯5	
應	j̟in5	
