#漢字	音標	解釋
㼦	koŋ2	瓶子、杯子，替字
殲	siam1	
殲	tsʰiam1	
段	tuaŋ7	文读
段	tŋ7	白读
殷	iŋ1	
殺	suaʔ4	
殺	sak4	消杀，老派文读
殼	kʰak4	
殿	taĩ7	白读
殿	tiaŋ6	文读
毁	huĩ2	
毅	ŋi6	
毆	au2	
毆	aũ2	
毆	aũ1	
毋	bvu5	文读
毋	m6	白读
母	bo2	母亲
母	bou2	妻子
母	m2	伯母
每	mue2	
毒	tak8	
比	pi2	
比	pi7	可比
比	pik4	可比
毛	mo5	白读
毛	mau5	毛病、毛重，老派文读
毫	hau5	
毯	tʰaŋ2	
毽	kiaŋ3	
氈	tsĩ1	白读
氈	tsiaŋ1	文读
氏	si6	
民	miŋ5	
氣	kʰi3	文读
氣	kʰui3	白读
氯	lek8	
水	tsui2	
水	sui2	
永	ueŋ2	白读
永	ioŋ2	文读
永	eŋ2	白读
汀	teŋ1	
汁	tsap4	
求	kʰiu5	
汊	tsʰe1	
汗	kuã7	白读
汗	haŋ2	文读
汗	haŋ6	文读
汗	haŋ5	可汗
汝	lu2	白读
汝	dzu3	文读
汝	dzu2	文读
汞	koŋ3	
江	kaŋ1	
池	ti5	白读
池	tsʰi5	文读
污	u1	
汪	uaŋ1	
汲	kʰip4	
汴	piaŋ6	
決	kuak4	
汽	kʰi3	文读
汽	kʰui3	白读
沂	ŋi5	
沃	ok4	文读
沃	ak4	浇，白读
沃	õ3	通“澳”，沃柑
沉	tim5	
沉	tʰim5	使其沉入水中
沉	tʰiam5	使其沉入水中
沉	tim7	使其沉入水中
沉	tʰim7	使其沉入水中
沉	tʰiam7	使其沉入水中
沌	tuŋ6	
沐	mok8	
沒	mok8	
沖	tsʰoŋ1	
沖	tsʰoŋ3	
沖	tsʰeŋ3	气味冲、蒸，替字
沖	tsʰioŋ3	语气很冲、植物长势快，替字
沙	sua1	白读
沙	so1	沙发，老派音
沙	sa1	文读
沙	sã1	沙参玉竹，文读
沙	suã1	沙陇，潮阳地名，白读
沛	pʰai3	
沫	muak8	文读
沫	bvuaʔ8	泡沫，白读
河	ho5	
沸	huk4	
油	iu5	
治	ti7	
治	tʰai5	宰
沼	dziau2	
沾	tiam1	
沾	tam1	触碰
沾	niam1	俗读
沿	iaŋ5	文读
沿	kĩ5	边缘，也写作“墘”，白读
沿	kʰĩ5	萦绕，白读
況	kʰuaŋ3	
泄	siap8	
泉	tsuã5	
泊	poʔ4	
泊	poʔ8	淡泊
泌	pi3	
泔	kam1	
法	huap4	老派音
法	huak4	新派音
泛	huam3	老派音
泛	huaŋ3	新派音
泡	pʰau3	气泡，文读
泡	pʰa3	水泡，白读
泡	pʰau1	泡沫，文读
泡	pʰo3	吸水后膨胀、大方，白读
泡	pʰa6	泡沫，白读
波	po1	
泣	kʰip4	
泣	tsʰoiʔ4	替字
泥	ni5	
泥	ni6	滞泥
注	tsu3	
泯	miŋ5	
泰	tʰai3	
泳	ioŋ6	文读
泳	ueŋ6	白读
泳	ioŋ3	文读，陈店、海门音
洋	iõ5	白读
洋	iaŋ5	文读
洗	soi2	白读
洗	siaŋ2	姓，文读
洛	lok8	
洞	taŋ7	白读
洞	toŋ6	吕洞宾，文读
洞	tʰoŋ5	洞箫
津	tsiŋ1	
洪	aŋ5	白读
洪	hoŋ5	文读
洲	tsiu1	
活	uaʔ8	
洼	ua1	
洽	tsiap8	
派	pʰai3	
流	liu5	文读
流	lau5	白读
浙	tsiak4	
浙	tsiap4	浙江，老派音
浚	tsuŋ3	
浜	piaŋ1	
浦	pʰou2	
浩	hau2	
浪	laŋ6	文读
浪	loŋ5	文读
浪	nŋ7	白读
浪	laŋ7	tah4浪，浪费
浪	lo5	流浪
浮	pfʰu5	
浴	ek8	白读
浴	iok8	文读
海	hai2	
浸	tsim3	
消	siau1	
涉	siap8	
涉	tsʰiap8	
涉	tsʰip8	
涎	nua6	训读
涓	kiaŋ1	
涕	tʰi3	
涮	suaŋ3	
涯	ŋai5	
液	ek8	
液	sioʔ8	手液
涴	u3	
涴	ue3	
淆	ŋau5	
淆	ŋiau5	陈店音
淋	lim5	文读
淋	nam5	
淋	lam5	
淑	sok4	
淘	to5	淘洗，白读
淘	tʰau5	文读
淚	lui6	
淡	tã6	白读
淡	tam6	文读
淤	u1	淤泥
淤	u3	淤塞
淪	luŋ5	
淫	im5	
淮	huai5	
深	tsʰim1	
淵	iaŋ1	
混	huŋ6	
淹	iam1	文读
淹	im1	白读
淺	tsʰiaŋ2	文读
淺	tsʰĩ2	蓝色，白读
添	tʰiam1	文读
添	tʰĩ1	白读
清	tsʰeŋ1	
清	tsiŋ1	清澈
減	kiam2	
渠	kʰu5	
渡	tou7	
渡	tou6	
渣	tsa1	
溫	uŋ1	
測	tsʰek4	
港	kaŋ2	
渴	kʰuaʔ4	
游	iu5	
游	siu5	替字，本字“泅”
渺	miau2	
渾	huŋ2	浑浊
渾	huŋ5	浑厚
湖	ou5	
湧	ioŋ3	文读
湧	eŋ2	白读
湯	tʰaŋ1	文读
湯	tʰŋ1	白读
溉	kʰai3	
溉	kai3	
源	ŋuaŋ5	
準	tsuŋ2	
溜	liu1	
溜	liuʔ4	
溜	liu3	
溜	lau3	溜母槽，白读
溝	kau1	
溪	kʰoi1	
溯	sok4	
溯	suak4	
溺	nek8	
滂	pʰaŋ5	
滅	miak8	
滋	tsu1	
滑	kuk8	
滔	tʰau1	
滬	hu6	
滯	tʰi3	
滲	siam3	
滲	tsʰam1	
滴	tiʔ4	
滸	hu2	文读
滸	kʰou2	浒苔，白读
滾	kuŋ2	
滿	mua2	白读
滿	muaŋ2	文读
滿	bvuaŋ2	文读，满满，溪水满的样子
滿	ma2	白读，满地块
漁	hu5	白读
漁	ŋu5	文读
漂	pʰiau1	文读
漂	pʰio1	白读
漂	pio1	白读
漂	pio3	白读
漂	pʰiu3	落空，替字
漆	tsʰak4	
漏	lau7	
漏	lau2	
演	iaŋ5	
漚	au1	
漢	haŋ3	
漫	maŋ6	文读
漫	mua7	la6漫，白读
漱	sou3	
漲	tsiaŋ2	文读
漲	tiõ3	涨水，白读
漸	tsiam6	
漿	tsiõ1	
漿	tsiõ6	糖浆
潁	kʰueŋ2	陈店音
潁	tʰeŋ2	峡山音
潑	pfʰuaʔ4	
潑	pfʰuak4	
潔	kiak4	
潔	kiak8	用于人名
潘	pfʰuaŋ1	文读
潘	pfʰuã1	姓，白读
潘	pfʰuŋ1	潲水，白读
潛	tsʰiam5	
潤	luŋ3	棉城音，白读
潤	dzuŋ6	文读
潤	nuŋ3	峡山音，白读
潤	dzuŋ2	润肺
潭	tʰam5	
潮	tio5	
潮	tiõ5	
潰	kʰui6	
潲	sau3	
潲	siau5	
潺	tsʰaŋ5	
澀	siap4	
澄	tʰeŋ5	
澆	kiau1	
澡	tsʰau3	
澡	tsau3	
澤	tsek8	
澤	tek8	色泽
激	kek4	
濁	tsuak8	
濁	dzuak8	陈店音
濃	loŋ5	
濕	sip4	文读
濕	tsip4	浥湿，文读
濕	tsap4	白读
濟	tsi3	
濟	tsoi7	多，替字
濤	tʰiu5	
濫	nam6	
濫	nam3	疑似阳上变调错乱
濯	tsuak8	
濺	tsiaŋ3	文读
濺	tsuã7	白读
濾	lu6	
瀉	sia3	
瀋	sim2	
瀑	pʰak8	
瀛	ueŋ1	
灌	kuaŋ3	
灑	sai3	
灑	sa3	潇洒
灘	tʰuã1	
灣	uaŋ1	
火	hue2	
灰	hui1	文读
灰	hue1	白读
灰	hu1	训读
灶	tsau3	
灸	ku3	
災	tsai1	文读
災	tso1	鸡灾，鸡瘟，白读
炊	tsʰue1	
炎	iam7	
炎	iam6	
炒	tsʰa2	
炕	kʰaŋ3	
炕	kʰaŋ1	
炙	tsia3	
炙	tsioʔ4	炙烧
炭	tʰuã3	
炮	pʰau3	
炸	tsa3	
爲	ui5	
爲	ui7	
烈	liak8	
烈	liak4	强烈
烏	ou1	白读
烏	u1	文读
烘	hoŋ1	文读
烘	haŋ1	白读
烙	lok8	
烙	luaʔ4	替字
烤	kʰau2	
烤	kʰauʔ4	
烹	pʰeŋ1	
焉	iaŋ1	
焚	uŋ5	
無	bo5	白读
無	bvu5	文读
無	mu5	南无阿弥陀佛，老派文读
無	mo5	南无阿弥陀佛
焦	tsiau1	文读
焦	ta1	干，白读
焰	iam6	
然	dziaŋ5	文读
然	ni5	白读
煉	liaŋ7	
煎	tsiaŋ1	文读
煎	tsuã1	煎药，白读
煎	tsĩ1	煎油，白读
煙	iŋ1	
煙	iaŋ1	
煠	tsaʔ8	
煠	saʔ8	
煥	huaŋ3	
照	tsio3	白读
照	tsiau3	文读
照	tsʰio7	替字
煩	huaŋ5	
煮	tsu2	
熄	sek4	
熊	him5	白读
熊	hioŋ5	熊熊燃烧，文读
熏	huŋ1	
熏	hiŋ1	
熔	ioŋ5	文读
熔	iõ5	白读
熙	hi1	
熟	sek8	
熨	uk4	
熬	ŋau5	文读
熬	hau5	白读
熱	dziak8	文读
熱	dzuaʔ8	白读
燃	dziaŋ5	文读
燃	hiã5	煮，白读
燈	teŋ1	
燎	liau5	
燒	sio1	
燕	ĩ3	白读
燕	iaŋ3	文读
燕	iaŋ1	文读
燙	tʰaŋ3	文读
燙	tʰŋ3	白读
營	iã5	
營	ueŋ5	
燦	tsʰaŋ3	
燭	tsek4	
爆	pau6	
爊	lok8	
爐	lou5	
爛	laŋ6	
爛	nua7	糜烂
爪	dziau2	
爬	pe5	
爬	peʔ4	
爬	pa1	
爬	pa5	
爭	tsẽ1	
爭	tseŋ1	文读
爵	tsiak4	
父	hu6	文读
父	pe6	训读，本字“爸”
爸	pa1	
爸	pe6	
爹	tia1	
爺	ia5	
爽	suaŋ2	文读
爽	soŋ2	爽快，文读
爽	sŋ2	玩，白读
爽	suaŋ3	绿豆爽，老派俗读
爾	dzu2	
牀	suŋ5	笼床
牀	tsʰŋ5	
牆	tsʰiõ5	
片	pʰiaŋ3	文读
片	pʰĩ3	白读
片	pʰiaŋ1	片薄，文读
版	paŋ2	文读
版	paĩ2	白读
牌	pai5	
牒	tiap8	
牘	tok8	
牙	ɡe5	白读
牙	ɡia5	姜子牙，文读
牛	ɡu5	
牝	pʰiaŋ2	
牡	bou2	
牢	lau5	文读
牢	lo5	白读
牧	mok8	
物	mueʔ8	
物	meʔ8	
物	miʔ4	乜
牲	sẽ1	白读
牲	seŋ1	文读
特	tek8	
牽	kʰaŋ1	
犀	sai1	犀牛，白读
犀	si1	犀利，文读
犁	loi5	白读
犁	li5	文读
犒	kʰau3	
犧	hi1	
犬	kʰiaŋ2	
犯	huam6	老派音
犯	huaŋ6	新派音
狀	tsuaŋ6	文读
狀	tso6	状元，白读
狀	tsŋ7	告状，白读
狂	kʰuaŋ5	文读
狂	kŋ5	狂眠，白读
狄	tek8	
狎	ap8	
狐	hu5	文读
狐	hou5	白读
狗	kau2	
狡	kau2	
狹	hiap8	文读
狹	oiʔ8	白读
狼	laŋ5	
猛	mẽ2	白读
猛	meŋ2	文读
猜	tsʰai1	
猝	tsuk4	
猝	tsʰok4	
猝	tsui6	陈店音
猬	ui2	
猬	ue3	棉城音
猴	kau5	
猶	iu5	
猾	kuk8	
獃	tai1	
獃	ŋai1	
獄	ɡek8	
獅	sai1	
獎	tsiaŋ3	
獨	tok8	文读
獨	tak8	孤独，白读
獲	uek8	
獵	laʔ8	
獸	siu3	
獺	tʰuaʔ4	
獻	hiaŋ3	
玄	hiaŋ5	
率	suk4	率先
率	luk8	效率
率	suk4	率领
率	sue3	表率
玉	ɡek8	
王	uaŋ5	文读
王	heŋ5	姓，白读
王	uaŋ6	陈胜王
玩	ŋuaŋ2	
玫	bvuŋ5	
玻	po1	
珀	pʰek4	
珊	suaŋ1	
珊	saŋ1	珊瑚绒
珍	tiaŋ1	
珍	tsiŋ1	珍珠，本字“真”
珠	tsu1	
珠	tsiu1	目珠
班	paŋ1	
現	hiaŋ7	
球	kiu5	
理	li2	
琉	liu5	
琛	tsʰim1	
琢	toʔ4	
琴	kʰim5	
琵	pi5	
琶	pe5	
瑕	hia5	
瑞	sui7	
瑟	sek4	
瑣	so2	
瑰	kui3	
璃	li5	
璞	pʰok4	
璧	piaʔ4	
環	huaŋ5	文读
環	huaĩ5	旋转，白读
環	huaĩ1	游转
璽	dzu2	
瓊	kʰueŋ5	
瓜	kue1	白读
瓜	kua1	文读
瓠	pfu5	白读
瓠	hu5	文读
瓢	pʰiau5	
瓣	piaŋ6	
瓤	dziaŋ5	文读
瓤	nŋ5	白读
瓦	hia6	白读
瓦	hue7	瓦刀，白读
瓦	ua6	文读
瓦	ua2	文读
瓦	ua1	瓦特，功率单位
瓮	aŋ3	
瓶	pʰiŋ5	文读
瓶	paŋ5	酒瓶，白读
瓷	tsʰu5	
甌	au1	
甘	kam1	
甚	sim2	
甚	sim6	
甚	sim3	疑似阳上变调错乱
甜	tiam5	
生	sẽ1	白读
生	tsʰẽ1	白读
生	seŋ1	文读
產	suã2	白读
產	saŋ2	文读
產	suaŋ3	鱼产卵
甥	seŋ1	
用	eŋ7	白读
用	eŋ6	白读
用	ioŋ6	信用，文读
甫	pʰou2	
甬	ioŋ2	
田	tʰiaŋ5	
田	tsʰaŋ5	训读，本字“塍”
由	iu5	
甲	kap4	文读
甲	kaʔ4	白读
甲	kak4	指甲
申	siŋ1	
申	sŋ1	申公豹
男	nam5	
界	kai3	
界	koi3	界明、舍四六界
畏	ui3	
畏	uĩ3	厌烦
留	liu5	文读
留	lau5	白读
畜	tʰek4	白读
畜	tʰiok4	文读
畝	bou2	
畢	pik4	
畢	piak4	
略	lioʔ8	白读
略	liak8	文读
番	huaŋ1	文读
番	pfʰuã1	白读
番	haŋ1	番薯
畫	ue7	
異	i3	疑似阳上变调错乱
異	i6	根据海门音鉴定为阳上
當	taŋ1	文读
當	taŋ3	文读
當	tŋ1	白读
當	tŋ3	白读
疆	kiaŋ1	
疊	tʰiap8	文读
疊	tʰaʔ8	白读
疏	so1	
疏	so3	注疏
疑	ɡi5	
疝	saŋ3	
疤	pa1	
疥	koi3	
疥	kai3	
疫	mok8	
疫	ek8	
疲	pʰi5	
疵	tsʰu5	
疹	tsiaŋ2	
疼	tʰoŋ5	
疽	tsʰu1	
疾	tsik8	
病	pẽ7	
症	tseŋ3	
痊	tsʰuaŋ5	
痔	tʰi6	
痕	huŋ5	
痛	tʰoŋ3	文读
痛	tʰiã3	白读
痢	li6	
痣	ki3	
痰	tʰam2	
痱	bvui3	
痴	tsʰi1	
痹	pi3	
瘋	huaŋ1	白读
瘋	hoŋ1	文读
瘟	uŋ1	
瘡	tsʰaŋ1	文读
瘡	tsʰŋ1	白读
瘦	sou3	
瘧	ŋiak8	
瘸	kʰue5	
癢	tsiõ6	白读
癢	iaŋ6	文读
癢	iaŋ2	文读
癩	lai6	
癩	tʰai2	癞瘑
癩	tʰai2	
癬	siaŋ2	
癰	eŋ1	痈珠，白读
癰	ioŋ1	文读
癸	kui3	
登	teŋ1	
發	huak4	
白	peʔ8	
白	pak8	表白，坦白
百	peʔ4	
皂	tsau6	
的	ti7	
的	tek8	目的
的	tʰek4	的士
皆	kai1	
皇	huaŋ5	
皇	uaŋ5	玉皇上帝
皖	uaŋ2	
皮	pfʰue5	白读
皮	pʰi5	文读
皴	tsʰuŋ1	
皺	niau3	
皺	dziau3	
皿	meŋ2	
盂	hu5	文读
盂	u5	铜盂，潮阳地名，白读
盂	ou5	铜钵盂，潮阳地名，白读
盅	tseŋ1	
盆	pfʰuŋ5	
盈	ueŋ1	
益	iaʔ4	
盍	hap4	
盒	ap8	
盒	kap4	替字
盔	kʰue1	
盜	tau6	
盛	seŋ6	茂盛，文读
盛	siŋ5	盛水，白读
盛	seŋ5	盛饭，文读
盛	siã7	一种用木或竹编制的器具，白读
盞	tsuã2	
盟	meŋ5	
盡	tsiŋ6	
盡	tsiŋ2	尽足，知足
監	kam1	监狱
監	kam3	监视
盤	puã5	盘子，白读
盤	pfʰuaŋ5	盘绕，文读
盧	lou5	姓，白读
盧	lu5	文读
目	mak8	白读
目	mok8	文读
盲	maŋ5	文读
盲	mẽ5	白读
盲	meŋ5	文读
直	tik8	
直	tek8	文读
相	siaŋ1	文读
相	siaŋ3	文读
相	siõ1	白读
相	sio1	白读
相	siõ3	白读
盼	pʰaŋ3	
盾	tuŋ2	
省	sẽ2	白读
省	seŋ2	文读
省	sẽ2	省略，白读
省	seŋ2	反省，文读
眉	bai5	
看	kʰaŋ1	文读
看	kʰaŋ3	文读
看	kʰuã3	白读
看	tʰoĩ2	训读
看	kʰoĩ2	训读
看	hoĩ2	内山北派音，训读
真	tsiŋ1	
眠	miŋ5	
眠	mŋ5	眠起
眨	tsap4	
眩	hiŋ5	晕
眩	hiaŋ5	
眷	kuaŋ3	
眸	mou5	
眼	ŋaŋ2	文读
眼	aĩ2	龙眼，白读
眾	tseŋ3	白读
眾	tsioŋ3	文读
眾	tsoŋ3	文读
睛	tseŋ1	
睜	tseŋ1	
睡	sui6	
督	tok4	
睬	tsʰaĩ2	
瞎	hak4	
瞖	i3	
瞞	mua5	
瞧	tsʰiau5	
瞪	teŋ3	
瞬	suŋ3	
瞭	liau5	
瞰	kʰam2	
瞳	tʰoŋ5	
瞻	tsiam1	
瞿	kʰu5	
瞿	ku6	
矛	mau5	
矢	si2	
矣	i7	
知	tsai1	白读
知	ti1	文读
知	ti3	知识
矩	ku2	
矬	tsʰo5	
短	to2	白读
短	tuaŋ2	文读
矮	oi2	
矯	kiau2	
石	tsioʔ8	
石	sioʔ8	石榴
石	tã3	一石
石	sik8	石叻，新加坡
石	sik4	石叻坡，新加坡，音译
砂	sã1	束砂
砌	kiʔ4	
砍	kʰam2	
研	ŋiaŋ2	文读
研	ŋiaŋ1	文读
研	ŋai5	研磨，白读
研	ŋiaŋ5	抓挠、研想，文读
研	ŋai2	用力踩并揉搓、研磨，白读
研	mai2	磨牙，白读
砣	tʰo5	
砣	to5	
破	pfʰua3	白读
破	pʰo3	破费，文读
硝	siau1	
硫	liu5	
硬	ŋe6	
硯	ŋi7	
碎	tsʰui3	
碑	pi1	
碗	uã2	
碧	pʰek4	
碩	sek4	
確	kʰak4	
碼	be2	
碾	tiaŋ2	
磁	tsʰu5	
磕	kʰap4	
磕	kʰop4	
磚	tsŋ1	
磨	bvua5	
磨	mo7	石磨
磨	bo7	石磨
磬	kʰeŋ3	
磷	liŋ5	
礙	ɡai6	
礙	ɡai7	
礙	ŋai6	
礦	kʰuaŋ3	
礬	huaŋ5	
示	si7	
社	sia6	
社	siau6	社会，老派音
祀	su6	
祈	kʰi5	
祈	ki5	祈杯，用杯筊占卜
祐	iu6	
祐	iu3	疑似阳上变调错乱
祖	tsou2	
祝	tsok4	
祝	tsiok4	老派音
神	siŋ5	
祠	su5	
祥	siaŋ5	
票	pʰio3	
祭	tsi3	
祭	tsɿ3	音变
禀	piŋ2	
禁	kim3	
禄	lok8	
禍	hua6	
福	hok4	
禦	ŋu6	
禦	ɡu6	陈店音
禧	hi1	
禪	siaŋ5	
禮	loi2	白读
禮	li2	文读
禮	loi6	无体无礼，白读
禮	li6	无体无礼，井都文读
禱	tau2	
禹	u2	
禽	kʰim5	
禾	ta5	训读
禿	tʰek4	文读
禿	tʰoʔ4	白读
秀	siu3	
私	su1	文读
私	si1	家私，白读
私	sai1	走私，白读
秉	peŋ2	
秋	tsʰiu1	
科	kʰue1	
秒	miau2	
秘	pi3	
租	tsou1	
秤	tsʰiŋ3	
秦	tsʰiŋ5	
秧	iaŋ1	文读
秧	ŋ1	白读
秧	iõ2	芥蓝秧
秩	tiak4	
秫	tsuk8	
移	ĩ5	
移	i5	
稀	hi1	
稈	kuã1	
程	tʰiã5	路程，白读
程	tʰeŋ5	工程，工序，文读
程	tiã5	行程，流程，白读
稍	tsʰiau2	文读
稍	tsʰio2	白读
稅	sue3	
稗	pʰoi7	
稗	pʰaĩ7	又
稚	tsĩ2	
稚	ti3	
稠	tiu5	
稭	kiak4	
稭	kai1	
種	tseŋ3	种树，白读
種	tseŋ2	种子，白读
種	tsoŋ3	芒种，文读
稱	tsʰeŋ1	称呼
稱	teŋ2	称重
稱	tsʰeŋ3	对称
稱	tsʰiŋ3	同“秤”
稷	tsek4	
稻	tau6	文读
稻	tiu6	替字
稼	ke3	白读
稼	kia3	文读
稽	ki1	
稿	ko2	白读
稿	kau2	老派文读
穀	kok4	
穄	tsi3	
穆	mok8	
積	tseʔ4	白读
積	tsek4	文读
穎	tʰeŋ2	
穎	kʰueŋ2	陈店音
穗	sui7	
穢	ue3	
穩	uŋ2	
穴	huak8	
究	kiu3	
穹	kioŋ1	
空	kʰoŋ1	文读
空	kʰoŋ3	文读
空	kʰaŋ1	白读
空	kʰaŋ3	百空二，白读
穿	tsʰuaŋ1	文读
穿	tsʰeŋ7	白读
穿	tsʰŋ1	白读
突	tuk8	
窄	tsak8	
窒	tiak4	
窖	ka3	
窗	tʰeŋ1	
窘	kʰuŋ3	训读
窘	kuŋ1	俗读
窟	kʰuk4	
窟	kʰuʔ4	
窟	kuk4	
窠	kʰo1	文读
窠	kʰue1	白读
窨	im3	
窨	huŋ1	
窩	o1	
窮	kʰioŋ5	文读
窮	keŋ5	白读
窯	io5	
窺	kui1	
竄	tsʰuaŋ3	
竅	kʰiau3	
立	lip8	
站	tsam6	
竟	keŋ2	
章	tsiaŋ1	文读
章	tsiõ1	白读
竣	tsuŋ3	
童	tʰoŋ5	文读
童	taŋ5	童身，也写作“僮身”，白读
竭	kiak8	文读
竭	kik8	粥稠，白读
端	tuaŋ1	
競	keŋ2	
竹	tek4	白读
竹	tok4	山竹，老派文读
竿	kaŋ1	文读
竿	ko1	训读，本字“篙”
笊	tsau2	
笑	tsʰio3	白读
笑	siau3	见笑，文读
笙	seŋ1	
笛	tek8	
符	hu5	
笨	pŋ2	
第	toi6	白读
第	ti6	门第，文读
筆	pik4	
等	teŋ2	
等	taŋ2	
筋	kiŋ1	
筍	suŋ2	
筏	huak8	
筐	kʰeŋ1	白读
筐	kʰuaŋ1	篮筐，文读
筒	taŋ5	白读
筒	tʰoŋ5	麻将牌的筒，文读
筒	taŋ6	罐子，替字
答	tap4	文读
答	taʔ4	白读
策	tsʰeʔ4	
筵	iaŋ5	
筷	kʰuai6	
箅	pi3	
箋	tsiaŋ1	
箍	kʰou1	
箏	tseŋ1	
算	suaŋ3	文读
算	sŋ3	白读
管	kuaŋ2	文读
管	koŋ2	喉管，文读
管	kŋ2	白读
箭	tsĩ3	
箱	siõ1	
箸	tu7	
節	tsoiʔ4	节日
節	tsak4	节目
節	tsiak4	贞节
範	huam6	老派音
範	huaŋ6	新派音
篆	tuaŋ6	
篇	pʰiaŋ1	
築	tok4	
篡	tsʰuaŋ3	
篤	tok4	
篦	piŋ3	俗读
篦	pi3	文读
篩	tʰai1	白读
篩	sai1	文读
篷	pʰoŋ5	文读
篷	pʰaŋ5	白读
篾	biʔ8	
篾	miak8	文读
簍	lau2	
簡	kaŋ2	
簪	tsam1	
簫	siau1	
簸	pfua3	
簽	tsʰiam1	
簾	niam5	
簾	liam5	棉城又音
簿	pʰou6	
籃	na5	白读
籃	lam1	文读
籌	tiu5	筹码
籌	tʰiu5	筹备
籍	tsia6	
籍	tsiaʔ4	
籠	leŋ5	笼床，白读
籠	laŋ5	白读
籠	loŋ5	文读
籠	laŋ2	箱笼、笼椅，白读
籠	loŋ2	笼统，文读
籠	naŋ5	灯笼
籤	tsʰiam1	
籬	li5	
籮	lo5	文读
籮	lua5	白读
米	bi2	
粉	huŋ2	
粉	hŋ2	棉城音
粉	həŋ2	梦幻岛音
粒	liap8	
粗	tsʰou1	
粘	niam1	
粘	niam5	
粘	tsiam1	粘米
粟	tsʰek4	
粥	tsok8	
粱	nio5	白读
粱	liaŋ5	文读
粵	uak8	
粹	tsui6	
糉	tsaŋ3	
精	tseŋ1	文读
精	tsiã1	白读
糍	tsʰu5	
糕	ko1	白读
糕	kau1	糟糕，文读
糖	tʰŋ5	
糙	tsʰo3	白读
糙	tsʰau3	文读
糜	mi5	文读
糜	mue5	粥，白读
糞	pfuŋ3	
糟	tsau1	文读
糟	tsʰo1	糟糠，白读
糟	tsʰou1	糟糠，白读
糟	tsiau1	糟践
糟	tso1	糟践
糠	kʰaŋ1	文读
糠	kʰŋ1	白读
糠	kŋ1	白读
糧	nio5	
糯	no3	
糯	tsuk8	训读，本字为“秫”
糴	tiaʔ8	
糶	tʰio3	
系	hi6	
糾	kiu2	
紀	ki3	
紂	tiu6	
約	ioʔ4	白读
約	iak4	文读
紅	aŋ5	白读
紅	hoŋ5	文读
紅	kaŋ1	女红
紈	uaŋ5	
紋	bvuŋ5	
納	nap8	
紐	niu2	文读
紐	nau6	秤纽，白读
純	suŋ5	
紗	se1	白读
紗	sa1	文读
紙	tsua2	
級	kʰip4	
紛	huŋ1	
素	su3	文读
素	sou3	味素，味道，文读
素	so3	白读
紡	huaŋ2	文读
紡	pʰaŋ2	白读
索	soʔ4	白读
索	sok4	文读
紫	tsi2	
紫	tsĩ2	紫菜
紮	tsak4	文读
紮	tsaʔ4	白读
累	lui2	
累	lui6	
累	lui7	
細	soi3	
細	se3	细--下囝，老派音
紹	siau6	
絀	tsʰuak4	文读
絀	tsuaʔ8	白读
絀	tsʰuaʔ4	白读
終	tsoŋ1	
組	tsu1	
絆	pfʰuaŋ3	文读
絆	pfuã3	白读
絆	pfuã6	白读
結	kak4	结婚
結	kiak4	结冰
結	kik4	系上、栓上
絕	tsoʔ8	
絞	ka2	
絡	loʔ8	联络
絡	lok8	网络
給	kip4	文读
給	kʰiʔ4	白读
絨	dzioŋ5	
絮	su3	
統	tʰoŋ2	
絲	si1	
絹	kiŋ3	
絹	kiaŋ3	
綁	paŋ2	
綏	sui1	
經	keŋ1	文读
經	kiã1	易经，白读
經	kiŋ1	正经，白读
經	kẽ1	经网、经布
綠	lek8	
綢	tiu5	
維	dzui5	
綱	kaŋ1	
網	maŋ6	
綴	tue3	白读
綴	tsʰuak4	文读
綻	tsʰaĩ7	白读
綻	teŋ6	文读
綽	tsʰok4	
綽	tsʰiak4	
綿	miaŋ5	文读
綿	mi5	白读
緊	kiŋ2	
緖	su2	
線	suã3	
緝	tsʰip4	
緝	tsip8	
緞	tŋ7	
緣	uaŋ5	
編	pʰiaŋ1	文读
編	pĩ1	白读
緩	huaŋ2	
緩	maŋ7	训读，本字“慢”
緬	miaŋ2	缅怀
緬	miaŋ5	缅甸
緯	ui2	
練	liaŋ7	
縊	i3	
縐	niau3	
縛	pak8	
縣	kuaĩ7	
縣	kuĩ7	县太爷，疑为膜潮剧音、普宁东潮阳腔音
縫	pʰaŋ7	缝隙，白读
縫	pʰoŋ5	用针线连缀，白读
縫	hoŋ5	裁缝，文读
縮	sok4	
縱	tsoŋ3	文读
縱	tsioŋ3	文读
縱	tseŋ3	白读
縷	lu2	
總	tsoŋ2	文读
總	tsaŋ2	白读
績	tseʔ4	
繁	huaŋ5	
繫	hi6	
織	tsik4	
繞	dziau3	
繡	siu3	
繩	siŋ5	
繪	hue6	峡山音
繪	kuai3	陈店音
繪	kue3	普宁东练腔音
繫	hi6	
繭	kaĩ2	
繰	tsʰiau1	
繳	kiau2	
繼	ki3	
纂	dzuaŋ2	
纂	tsʰuaŋ3	
續	sok8	
續	siok8	
纏	tĩ5	
纓	eŋ1	
纔	tsʰai5	
纖	tsʰiam1	纤维
纖	siam1	纤细
纖	tsʰiaŋ1	纤夫
纜	nam2	
缸	kaŋ1	文读
缸	kŋ1	白读
缺	kʰueʔ4	文读
缺	kʰiʔ4	白读
缽	puaʔ4	
缽	pak4	铜钵盂，潮阳地名
罐	kuaŋ3	
罐	kuaŋ6	疑似阳上变调错乱
罕	haŋ2	
罩	tsau3	文读
