#漢字	音標	解釋
䉪	luj3	一種捕魚工具、深䉪，地名
喘	tsʰyn3	
喙	fei1	
喚	wun4	
喜	hei3	
喝	hut6	
喟	wei3	
喧	hyn1	
喪	suŋ1	
喫	hɛk7	喫飯
喬	kʰiw2	
單	tᴀn1	單純
單	sin2	單于
單	sin4	姓單
喲	ju1	
喳	tsᴀ1	
喵	miw1	
喻	ji4	
嗅	tsʰɐu1	
嗆	tsʰjuŋ1	
嗇	seɪk6	
嗎	mᴀ1	是嗎
嗎	mᴀ2	
嗑	hɐp6	
嗓	suŋ3	
嗖	sou1	
嗚	wu1	
嗜	si1	
嗡	joʊŋ1	
嗣	tsi4	
嗤	tsʰi1	
嗦	su1	
嗨	huj1	
嗯	m̍1	
嗯	m̍3	
嗶	pɐt6	
嗽	sou1	
嘀	teɪk8	
嘅	kɪᴀ1	
嘆	hᴀn1	
嘈	tsʰᴀw2	
嘉	kᴀ1	
嘍	lou2	
嘎	kᴀt7	
嘔	ŋou1	嘔氣
嘔	ŋou3	嘔啞
嘔	ŋou3	嘔吐
嘖	tsɐk6	
嘗	sjuŋ2	
嘛	mᴀ2	嗎啡
嘟	tou1	
嘩	wᴀ1	
嘩	wᴀ2	
嘮	lᴀw2	
嘯	siw1	
嘰	kei1	
嘲	tsᴀw3	
嘴	tsuj3	
嘶	sei1	
嘹	liw2	
嘻	hei1	
嘿	hɐk6	嘿嘿
嘿	mɐk8	通「默」
噎	jᴀt7	
噓	huj1	噓寒問暖
噢	ŋᴀw1	
器	hei1	
噩	ŋuk8	
噪	tsʰᴀw1	
噬	sei4	
噴	pʰɐn1	
噸	tɐn1	
噹	tuŋ1	
嚀	neɪŋ2	
嚅	ji2	
嚇	hɐk7	
嚎	hᴀw2	
嚏	hei1	
嚐	sjuŋ2	
嚕	lou1	
嚟	lei2	
嚥	jᴀn1	
嚨	loʊŋ2	
嚮	hjuŋ1	
嚮	hjuŋ3	
嚴	jᴀm2	
嚷	jjuŋ4	
嚼	tsjuk7	
囁	tsip7	
囂	hiw1	
囉	lu1	囉嗦
囉	lu2	嘍囉
囊	nuŋ2	
囑	tsoʊk6	
囚	tsʰɐu2	
四	sei1	
回	wuj2	
因	jɐn1	
囡	nᴀm2	困難
囪	tsʰoʊŋ1	
囫	fɐt6	
困	kʰwɐn1	
固	ku1	
圃	pʰou3	
圇	lɐn2	
圈	kyn4	豬圈
圈	hin1	圓圈
國	kwɐk7	
圍	wei2	
園	jᴀn2	
圓	jᴀn2	
圖	hou2	
團	hun2	
土	hou3	
在	tsuj4	
圭	kwei1	
圮	pʰei3	
地	tei4	
圳	tsɐn1	
圾	sᴀp6	
址	tsi3	
均	kwɐn1	
坊	fɐŋ1	街坊
坊	fɐŋ2	堤坊
坎	hɐm3	
坏	pʰuj1	
坐	tsʰu1	
坐	tsu4	
坑	hɐŋ1	
坡	pu1	
坤	kʰwɐn1	
坦	hᴀn3	
坪	pʰeɪŋ2	
坭	ni2	紫坭，地名
坷	hu3	
坼	tsʰɐk7	
垂	suj2	
垃	lᴀp8	
型	jeɪŋ2	
垠	ŋɐn2	
垢	kou1	
垣	fun2	
垮	kʰwᴀ1	
埂	kɐŋ3	
埃	ŋuj1	
埋	mᴀj2	
城	sɛŋ2	
城	seɪŋ2	
埔	pou1	
埕	tsʰeɪŋ2	
域	weɪk8	
埠	pou4	埠頭
埠	fou4	商埠
埡	ŋᴀ1	
執	tsɐp6	
培	pʰuj2	
基	kei1	
堂	huŋ2	
堅	kin1	
堆	tuj1	
堊	ŋuk7	
堡	pᴀw3	
堤	hei2	
堪	hɐm1	
堯	jᴀw2	
堰	jᴀn3	
報	pᴀw1	
場	tsʰjuŋ2	
堵	tou3	
塊	fᴀj1	
塌	hᴀp7	
塑	sou1	塑造
塑	suk7	塑料
塔	hᴀp7	
塗	hou2	
塘	huŋ2	
塚	tsʰoʊŋ3	
塞	tsʰuj1	塞外
塞	sɐk6	塞車
塢	ŋou1	船塢
塢	wu3	山塢
填	hin2	
塭	wɐn1	
塵	tsʰɐn2	
塹	tsʰim1	
塾	soʊk8	
境	keɪŋ3	
墅	jɪᴀ2	
墅	suj4	
墊	tin1	
墓	mou4	
墜	tsuj4	
增	tsɐŋ1	
墟	huj1	
墟	huj2	
墨	mɐk8	
墩	tɐn1	
墮	tu4	
墳	fɐn2	
墾	hɐn3	
壁	peɪk7	
壇	hᴀn2	
壑	huk7	
壑	kʰuk7	
壓	ŋᴀt7	
壘	lɐt8	神荼鬱壘
壘	luj3	深壘，地名
壘	luj2	堡壘
壞	wᴀj4	
壟	loʊŋ2	
壤	jjuŋ4	
壩	pᴀ1	
士	si4	
壬	jɐm2	
壯	tsuŋ1	
壹	jɐt6	
壺	wu2	
壼	kʰwɐn3	
壽	su4	
夏	hᴀ4	
夕	tseɪk8	
外	ŋuj4	
夙	soʊk6	
多	tu1	
夜	jɪᴀ4	
夠	kou1	
夢	moʊŋ4	
夥	fu3	
大	tᴀj4	
天	hin1	
太	hᴀj1	
夫	fu1	農夫
夫	fu2	
夭	jᴀw1	
央	jjuŋ1	
失	sɐt6	
夷	ji2	
夸	kʰwᴀ1	
夾	kip7	
奄	jᴀm1	奄有
奄	jᴀm3	奄奄一息
奇	kei1	奇數
奇	kʰei2	奇怪
奈	nuj4	
奉	foʊŋ4	
奏	tsou1	
奐	wun4	
契	kʰei1	契約
契	kʰit7	契丹
契	sit7	
奔	pɐn1	
奕	jeɪk8	
套	hᴀw1	
奘	tsuŋ4	
奚	hei2	
奠	tin4	
奢	tsʰɪᴀ1	
奧	ŋᴀw1	
奪	tut8	
奮	fɐn1	
奮	fɐn4	
女	nuj3	
奴	nou2	
奶	nᴀj2	
奸	kᴀn1	
她	hᴀ1	
奼	tsʰᴀ1	
好	hᴀw1	好客
好	hᴀw3	友好
如	ji2	古代第一人稱
妃	fei1	
妄	muŋ4	
妍	jᴀn2	
妒	tou4	
妓	kei4	
妖	jᴀw3	
妙	miw4	
妝	tsuŋ1	
妞	now3	
妣	pei3	
妥	hu1	
妨	fɐŋ2	
妮	nei2	
妳	nei1	
妹	muj4	
妻	tsʰei1	
妾	tsʰip7	
姆	mou2	
姊	tsi3	
始	tsʰi3	
姍	sᴀn1	
姐	tsɪᴀ3	
姑	ku1	
姒	tsʰi1	
姓	seɪŋ1	
委	wei1	虛與委蛇，委委佗佗
委	wei3	委託
姚	jᴀw2	
姜	kjuŋ1	
姦	kᴀn1	
姨	ji2	
姪	tsɐt8	
姬	kei1	
姻	jɐn1	
姿	tsi1	
威	wei1	
娃	wᴀ1	
娑	su1	
娓	mei3	
娘	njuŋ2	
娛	ji2	
娜	nᴀ2	
娜	nu2	
娟	kyn1	
娥	ŋu2	
娶	tsʰou3	娶老婆、娶新婦
娶	tsʰuj3	
婆	pʰu2	
婉	jᴀn3	
婚	fɐn1	
婢	pʰei1	
婢	pʰei3	
婦	fu1	
婦	pʰou2	新婦，新娘
婪	lᴀm2	
婷	heɪŋ2	
婺	mou4	
婿	sei1	
媒	muj2	
媚	mei4	
媧	wᴀ1	
媲	pʰei1	
媳	seɪk6	
媽	mᴀ1	
媽	mᴀ3	
嫁	kᴀ1	
嫂	sᴀw3	
嫉	tsɐt8	
嫌	jᴀm2	
嫗	ji3	
嫣	jᴀn1	
嫦	sjuŋ2	
嫩	nɐn4	
嫻	hᴀn2	
嬉	hei1	
嬌	kiw1	
嬛	hyn1	便嬛
嬛	kʰeɪŋ2	美好
嬛	wᴀn2	嫏嬛
嬤	mᴀ1	
嬰	jeɪŋ1	
嬸	sɐm3	
子	tsi3	
孔	hoʊŋ3	
孔	kʰoʊŋ3	又音
孕	jɐn4	
字	tsi4	
存	tsʰɐn2	
孜	tsi1	
孝	hiw1	
孟	mɐŋ4	
孢	piw1	
季	kwei1	
孤	ku1	
孩	hᴀj2	
孫	sɐn1	
孰	soʊk8	
孵	fu1	
學	huk8	
孺	ji2	
它	hᴀ1	
宅	tsɐk8	
宇	ji2	
守	su3	
安	ŋun1	
宋	soʊŋ1	
完	jᴀn2	
宏	wɐŋ2	
宕	tuŋ4	
宗	tsoʊŋ1	
官	kun1	
宙	tsu4	
定	tɛŋ4	落定
定	teɪŋ4	安定
宛	jᴀn1	大宛
宛	jᴀn3	宛然
宜	ji2	
客	hɐk6	
宣	syn1	
室	sɐt6	
宮	koʊŋ1	
宰	tsuj3	
害	huj4	
宴	jᴀn1	
宵	siw1	
家	kᴀ1	家人
家	ku1	曹大家
宸	sɐn2	
容	joʊŋ2	
宿	sɐu1	星宿
宿	soʊk6	住宿
寂	tseɪk8	
寄	kei1	
寅	jɐn2	
密	mɐt8	
寇	kʰou1	
富	fu1	
寐	mei4	
寒	hun2	
寓	ji4	
寞	muk8	
察	tsʰᴀt7	
寡	kwᴀ3	
寢	tsʰɐm3	
寤	m̍4	
寥	liw2	
實	sɐt8	
寧	neɪŋ2	
寨	tsᴀj4	
審	sɐm3	
寫	sɪᴀ3	
寬	fun1	
寮	liw2	
寰	wᴀn2	
寵	tsʰoʊŋ3	
寶	pᴀw3	
寸	tsʰɐn1	
寺	tsi4	
封	foʊŋ1	
射	jɪᴀ4	僕射
射	jeɪk8	
射	sɪᴀ4	發射
射	seɪk8	
將	tsjuŋ1	將來
專	tsyn1	
尉	ji4	尉遲
尉	wɐt6	
尉	wei1	
尊	tsɐn1	
尋	tsʰɐm2	
對	tuj1	
導	tᴀw4	
小	siw3	
少	siw1	年少
少	siw3	多少
尖	tsim1	
尚	sjuŋ4	
尤	jou2	
尬	kᴀj1	
就	tsɐu4	
就	ʔɐ3	
尷	kᴀm1	
尹	wɐn3	姓氏
尹	wɐn2	
尺	tsʰɛk7	
尼	nei2	
尾	mei3	
尿	niw4	
局	koʊk8	
屁	pʰei1	
居	kuj1	
屆	kᴀj1	
屈	wɐt6	
屋	ŋoʊk6	
屍	si1	
屎	si3	
屏	peɪŋ3	屏除
屏	pʰeɪŋ2	屏幕
屑	sit7	
展	tsin3	
屜	hei1	
屠	hou2	
屢	luj1	
層	tsʰɐŋ2	
履	luj2	
屬	soʊk8	屬於
屬	tsoʊk8	屬文
屯	hɐn2	
屯	tsɐn1	
山	sᴀn1	
屹	ŋɐt8	
岌	kʰɐp6	
岑	sɐm2	
岔	tsʰᴀ1	
岡	kuŋ1	
岩	ŋᴀm2	
岱	tuj4	
岳	ŋuk8	
岷	mɐn2	
岸	ŋun4	
峇	pᴀ1	
峙	si4	
峨	ŋu2	
峪	joʊk8	
峭	tsʰiw1	
峯	foʊŋ1	
島	tᴀw3	
峻	tsɐn1	
峽	hᴀp8	
崁	hɐm1	
崇	soʊŋ2	
