#漢字	音標	解釋
□	ɛ0	应答声
拱	kɘŋ3	
拳	tʂʰʯɛ̃2	
拴	san1	
拼	pʰin1	
拽	tʂʯai5	
拽	iæ7	
拾	ʂʅ2	
持	tʂʰʅ2	
指	tʂʅ3	
按	ŋɛ̃5	
挑	tʰiɔ1	
挖	ua7	
撓	lɔ2	
擋	tɞ̞ᵑ3	
擠	tɕi3	
揮	xuei1	
挨	ŋai1	
挪	lɯ2	
振	tʂən6	
挺	tʰin3	
挽	uan3	
捅	tʰɘŋ3	
捆	kʰuən3	
捉	tsɯ7	
捌	pa7	
捎	sɔ1	
捏	ȵiæ7	
捐	tʂʯɛ̃1	
捕	pu3	
撈	lɔ1	
損	sən3	
換	xuɛⁿ6	
捧	pʰɘŋ3	
据	tʂʯ5	
捱	ŋai2	
