#漢字	音標	解釋
□	mɔŋ1	帶黏性的半透明網狀物：lou4-6zou1～(蛛網)|豬腸～(豬網油)
援	jÿn4	
揶	jɛ4	
揸	ȵɔ1	白讀。字或作「摣」「抯」
揸	tɕɔ1	文讀
搆	kɐu3	
搉	kʷɐk7	～雞蛋
搋	tɕʰɔi1	
搋	ȵɔi1	
搌	tɕin2	
搌	tɕʰin2	
損	ɬÿn2	
搏	ɓɔk8	
搓	tʰɵ1	
搔	ɬɵ̜u1	
搖	jiu4	
搗	ɗɵ̜u2	
搛	kim1	
搜	ɬɐu1	
搞	kɔu2	
搠	ɕɔk8	
搡	ɬɔŋ2	
搥	tɕui4	
搦	nek7	
搧	ɕin1	
搬	ɓun1	
搭	ɗɔp8	
搴	jin1	
搶	tʰa2	
搽	tɕɔ4	
搿	kɔp8	
摀	wu2	
摁	ɐn3	
摁	jɐn3	
摑	kʷa2	
摒	ɓeŋ3	
摔	ɬɐt7	
摘	ɗek7	
摜	kʷɔn3	
摞	lœ6	
摟	lɐu2	
摣	ȵɔ1	白讀。字或作「揸」「抯」
摣	tɕɔ1	文讀
摧	tʰui1	
摩	mɵ1	
摭	tɕek7	
摯	tɕi3	
摳	kʰɐu1	
摳	ŋɐu3	
摶	tÿn4	
摸	mɵ1	
摸	mɔk8	約～：大概
摹	mɵ1	臨～
摹	mu1	～仿
摺	tɕip7	
摻	tɕʰɔm1	
撅	kÿt7	打
撇	pʰit7	
撈	lɐu1	～佬
撈	lɔu1	打撈
撈	lɵ̜u1	～生|～錢
撈	lu1	白讀，撈起
撈	ly1	白讀，撈去浮在液面的東西
撐	tɕʰa1	
撒	ɬɔt8	
撓	ȵɔu1	
撕	ɬi1	
撖	ɔm5	
撙	ɗÿn2	勒住
撞	tɕɔŋ6	
撢	lɐm1	探
撤	tɕʰit7	
撥	ɓut7	
撩	lᴇɐ̯u1	
撫	fu5	
撬	kᴇɐ̯u6	
播	ɓɵ3	
撮	ɗÿt7	
撰	tɕÿn5	
撲	pʰɔk8	
撳	kɐm6	
撼	ɔm6	
撾	kʷɵ1	老～
撿	kim2	
擀	kɔn2	
擁	joŋ2	
擂	lui4	
擄	lu5	
擅	ɕin6	
擇	tɕa6	
擊	kek7	
擋	ɗɔŋ2	
操	tʰɵ̜u1	
擎	keŋ4	
擐	ɔn6	
擒	tɕɐm4	
擒	kɐm4	異讀
擔	ɗɔm1	動詞
擔	ɗɔm3	名詞；量詞。一副擔子一次挑起的量爲一～|一個木傀戲班爲一～
擗	pʰek7	
擘	ma2	
據	ky2	
據	ky3	又讀
擠	ɗɐi1	
擢	tɕɔk10	
擣	ɗɵ̜u2	
擤	ɬɐn3	
擦	tɕɔt10	白讀
擦	tɕøɐ̯t10	白讀
擦	tʰɔt8	搓（雙掌反復摩擦）；摩挲；擦拭。本字可能是「攃」或「礤」（也就上古多个r少个r的區别（（（
擦	ȵøɐ̯t10	白讀
擦	tɕʰɔt8	文讀
擬	ȵi5	
擱	kɔk8	
擲	tɕek9	
擴	kʷʰɔŋ3	
擷	kʰit7	
擸	lɔp8	
擺	ɓɔi2	
擻	ɬɐu2	
擼	lu5	
擾	ȵiu2	
攀	pʰɔn1	
攄	ɗy2	
攄	tɕy5	
攉	kʰɔk8	
攏	loŋ5	
攔	lɔn4	
攖	eŋ1	
攘	ȵa4	
攙	tɕʰɔm1	
攛	tʰÿn1	
攜	kʷɐi4	
攝	ɕip7	
攞	lɵ2	
攤	tʰɔn1	
攥	ɗÿn3	
攪	kɔu2	
攬	lɔm2	
攮	nɔŋ5	
支	tɕi1	
攴	pʰok7	
攵	pʰok7	
收	ɕɐu1	
攷	hɔu2	
攸	jɐu1	
改	kɔi2	
攻	koŋ1	
放	fɔŋ3	
政	tɕeŋ3	
故	ku3	
效	ȵɔu6	
敉	mi5	
敏	mɐn5	
救	kɐu3	異讀
救	tɕɐu3	
敕	tɕʰek7	
敖	ŋɵ̜u4	
敗	pɔi6	
敘	ty5	
教	kɔu3	
敝	pi6	
敞	tʰɔŋ2	
敢	kɔm2	
散	ɬɔn3	解～
散	ɬɔn2	鬆～
敦	ɗɐn1	
敦	ɗÿn1	又讀
敫	kiu2	光閃耀
敬	keŋ3	
敲	hɔu1	
整	tɕeŋ2	
敵	tek9	
敷	fu1	
數	ɕɔk8	多次：～見不鮮
數	ɕɵ2	又讀，動詞
數	ɕu2	動詞，又讀
數	ɕu3	名詞
斂	lim5	
斃	pi6	
文	mɐn4	
文	mɐn1	貨幣單位，一圓錢
斌	ɓɐn1	
斐	fi2	
斑	ɓɔn1	
斕	lɔn4	
斗	ɗɐu2	
料	liu6	
斛	kok7	
斜	tɛ4	
斟	tɕɐm1	
斤	kɐn1	
斥	tɕʰek7	
斧	fu2	
斫	tɕa2	
斬	tɕɔm2	
斯	ɬi1	
新	ɬɐn1	
斷	ɗÿn3	決～，判～
斷	tÿn5	斷開，斷裂
方	fɔŋ1	
於	jy1	
施	ɕi1	
旁	pɔŋ4	
旃	tɕin1	
旄	mɵ̜u4	
旄	mɵ̜u6	長毛；同「耋」
旅	ly5	
旆	pʰui3	
旋	ɕÿn4	見《玉林市志》《玉林话研究》
旋	ɬÿn4	見《广西通志・汉语方言志》
旋	tʰÿn4	見《平话研究》《玉林话语音研究》（朱小丽）
旋	tÿn6	表示動作當場當時發生，或就剛完成不久：～揩嘅碗|～作～喫(現做現喫)
旌	ɬeŋ1	
旎	ni5	
族	tok9	
旒	lɐu4	
旖	ji2	
旗	ki4	
既	ki3	
日	ȵɐt9	
旦	ɗɔn3	
旨	tɕi2	
早	ɗɵ̜u2	
旬	tɐn4	
旭	jok7	
旮	kɛ6	
旯	lɛ3	
旰	kɔn3	
旱	ɔn5	
旺	wɔŋ6	
昀	jɐn4	
昂	ŋɔŋ4	
昃	tɕɐk7	
昆	kʷʰɐn1	
昇	ɕeŋ1	
昇	ɕøŋ1	白讀：～起身
昉	fɔŋ2	李紹～：清朝北流清灣鎮才子
昊	ɵ̜u6	
昌	tɕʰa1	
明	meŋ4	
昏	wun1	
昏	wɐn1	又讀
易	ek9	交～ ；姓
易	ji6	容～
昔	ɬek7	
昕	jɐn1	
昝	ɗɔm2	
星	ɬeŋ1	
映	eŋ2	
春	tɕʰɐn1	
昧	mui6	
昨	tɔk10	
昭	tɕiu1	
是	ɕi5	
昱	jok7	
昴	mɐu5	
昵	nek9	
昶	tɕʰɔŋ2	
晁	tɕiu4	
時	ɕi4	
晃	kʷɔŋ2	
晉	ɗɐn3	
晌	ja2	
晏	ɔn3	
曬	ɕɔi3	
晗	ɔm4	
晚	mɔn5	
晝	tɕɐu3	
晟	ɕeŋ6	
晡	ɓu1	
晤	ŋ̍6	
晦	wui3	
晨	ɕɐn4	
普	pʰu2	
景	keŋ2	
晰	ɬek7	
晴	teŋ4	
晶	ɗeŋ1	
晷	kʷɐi2	
智	tɕi3	
晾	lɔŋ6	
暄	jÿn1	
暇	ɔ4	
暈	wɐn4	白讀
暈	wɐn1	文讀
暉	kʷʰɐi1	
暌	wui1	
暑	ɕy2	
暖	nÿn5	
暗	ɔm3	
暝	meŋ4	
暢	tɕʰa2	
暨	ki3	
暪	mun4	
暫	tɕɔm6	
暫	tɔm6	
暫	tim6	
暮	mu6	
暱	nek9	
暴	pɵ̜u6	
暹	ɬim1	
暾	tʰɐn1	
曄	jᴇɐ̯p10	
曆	lek9	
曇	tɔm4	
曉	ȵiu2	
曖	ɔi3	
曙	ɕy2	
曚	moŋ1	（日將出前）天微明：天～～光
曛	wɐn1	
曜	jiu6	
曝	pɵ̜u6	
曠	kʷʰɔŋ3	
曦	hi1	
曩	nɔŋ5	
曬	ɕɔi3	
曰	jøɐ̯t10	
曲	kʰok7	
曲	ŋok7	白讀：拐彎；使曲折
曳	jɐi6	
更	ka1	～替|五～
更	ka3	～加
曷	ɔt10	
書	ɕy1	
曹	tɵ̜u4	
曼	mɔn6	
曾	ɗɐŋ1	姓
曾	tɐŋ4	
替	tʰɐi3	
最	ɗui3	
會	wɐi6	
月	ȵøɐ̯t10	
有	jɐu5	
朊	ȵÿn5	
朋	pɐŋ4	
服	fok9	
朐	ky4	
朔	ɕɔk8	
朕	tɕɐm6	
朗	lɔŋ6	
望	mɔŋ6	
朝	tɕiu4	
朝	tɕiu1	
期	ki4	
朦	moŋ4	
朧	loŋ4	
木	mok9	
未	mi6	
末	mɔt10	
本	ɓun2	
札	tɕɔt8	
朮	tɕɐt9	
朱	tɕy1	
朵	ɗœ2	
朽	jɐu2	
杆	kɔn2	
杈	tɕʰɔ1	
杉	tɕʰɔm1	
杌	ŋɐt9	
李	li5	
杏	a6	
材	tɔi4	
村	tʰÿn1	
杓	tɕɔ1	
杖	tɕa5	
杜	tu6	
杜	tu5	又讀
杞	ki2	
束	tɕʰok7	
杧	mɐŋ1	
杪	miu5	
杭	ɔŋ4	
杯	ɓui1	
杰	kᴇɐ̯t10	
東	ɗoŋ1	
杲	kɵ̜u2	
杳	miu5	
杵	tɕʰy2	
杷	pɔ4	
杼	tɕy5	
松	toŋ4	
板	ɓɔn2	
枇	pi4	
枉	wɔŋ2	
枋	fɔŋ1	
析	ɬek7	
枒	ȵɔ4	
枕	tɕɐm2	
林	lɐm4	
枘	ȵui6	
枚	mui1	
果	kʷɵ2	
枝	tɕi1	
枯	wu1	白讀
枯	ku1	文讀
枯	kʰu1	文讀
枰	peŋ4	
枳	tɕi2	
枴	kʷɔi2	
枵	hiu1	
架	kɔ3	
枷	kɔ1	
枸	kɐu2	
枼	jᴇɐ̯p10	衣物單薄；單薄衣物的量詞
柁	tɵ4	
柃	leŋ4	
柄	ɓeŋ3	
柏	ɓa2	
某	mɐu5	
柑	kɔm1	
柒	tʰɐt7	
染	ȵim5	
柔	jɐu4	
柘	tɕɛ3	
柙	ɔp10	
柚	jɐu6	
柝	tʰɔk8	
柢	ɗɐi2	
查	tɕɔ4	
查	tɕɔ1	姓
柩	tɕɐu6	
柬	kɔn2	
柯	kʰɵ1	
柰	nɔi6	
柱	tɕy5	
柳	lɐu5	
柴	ɕɔi4	
柵	ɕɔn1	欄～：欄杆；～極
柵	tɕʰa2	～欄
柿	ɕi5	
柿	ɕi6	
梔	tɕi1	
栓	ɕɔn1	
栗	lɐt9	
栗	lɐk9	又
栝	tʰim2	撥火棍
栝	kʷɔt8	
校	kɔu3	～正
校	kɔu2	學～
栩	hy2	
株	tɕy1	
栲	hɔu2	
栳	lɵ̜u5	
核	wɐt9	果核
核	ɐt9	類似核的東西：～心|～酸
核	a6	～子：睾丸
根	kɐn1	
格	ka2	
栽	ɗɔi1	
桀	kᴇɐ̯t10	
桁	a4	
桂	kʷɐi3	
桃	tɵ̜u4	
桄	kʷɔŋ1	～榔
桄	kʷɔŋ3	
桅	ŋɐi4	
框	kʷʰɔŋ1	
框	kʷʰɐŋ1	口語讀音
案	ɔn3	
桉	ɔn1	
桌	tɕɔk8	
桎	tɕɐt7	
桐	toŋ4	
桑	ɬɔŋ1	
桑	ɕɔŋ1	夏～菊：中藥方，誕生于二十世紀八十年代廣東
桓	wun4	
桔	kɐt7	
桕	tɕɐu5	
桫	ɬɵ1	
桴	fu1	
桶	tʰoŋ2	
桷	kɐk7	
桿	kɔn2	
梁	la4	
梃	teŋ5	
梅	mui4	
梆	ɓɐŋ1	～子：粵劇曲牌名
梏	kok7	
梓	ɗi2	
梔	tɕi1	
梗	kɐŋ2	心肌～塞
梗	kʷa2	枝～
梘	kɔn2	
條	tiu4	
梟	hiu1	
梢	ɕɔu1	
梧	ŋ̍4	
梨	li1	
梭	ɬœ1	
梯	tʰɐi1	
械	kɔi3	
械	ɔi5	白讀
械	ɔi6	
梳	ɕɵ1	
梵	fɔn6	
棄	hi3	
棉	min4	
棋	ki4	
棍	kʷɐn2	
棒	ɓoŋ2	棍～
棕	ɗoŋ3	
棖	tɕa4	
棗	ɗɵ̜u2	
棘	tɕʰek7	
棚	pa4	
棟	toŋ6	
棠	tɔŋ4	
棣	tɐi6	～棠
棣	tɔi6	～～：文雅安閒貌
棣	tʰɐi3	通達
棧	tɕɔn6	
棬	kʰÿn1	
森	ɕɐm1	
棰	tɕui4	
棱	leŋ4	
棲	tʰɐi1	
棵	wɵ2	
棹	tɕɔu6	
棺	kun1	
棼	fɐn4	
椁	kʷɔk8	
椅	ji2	
椊	tʰøɐ̯t10	
椋	la4	
植	tɕek9	
椎	tɕui1	
椏	ɔ1	
椐	ky1	
椒	ɗiu1	
椰	jɛ1	
椴	tÿn6	
椹	ɕɐm6	同「葚」；木上生的菌
椹	tɕɐm1	同「砧」
椽	tɕÿn4	
楂	tɕɔ1	
楊	ja4	
楓	foŋ1	
楔	ɬit7	
楗	kin6	
楗	kÿn6	馬疲
楚	tɕʰɵ2	清～
楚	tɕʰu2	文讀：～國
楝	lin6	
楞	lɐŋ4	
楠	nɔm4	
楣	mi4	
楥	jÿn3	
楦	jÿn3	
楨	tɕeŋ1	
楫	ɗip7	
業	ȵᴇɐ̯p10	
楮	tɕʰy2	
楱	tʰɐu3	
極	kek9	
楷	kɔi1	
楸	tʰɐu1	
楹	ŋeŋ4	
榀	pʰɐn2	
概	kʰɔi3	
榆	jy6	
榍	ɬit7	
榔	lɔŋ4	
榕	joŋ4	
榘	ky2	
榛	ɗɐn1	
榜	ɓɔŋ2	
榧	fi2	
榨	tɕɔ3	
榪	mɔ6	
榫	ɬɐn2	
榭	tɛ6	
榮	weŋ4	
榱	tɕʰui1	
榴	lɐu4	
榷	kʰɐk7	
榻	tʰɔp8	
榿	hi1	
槁	kɵ̜u2	
槊	ɕɔk8	
構	kɐu3	
槌	tɕui4	
槍	tʰa1	
槎	ɕɔ4	
槐	wɔi4	
槐	wɔi1	六～：地名，在容縣六王鎮
槓	kɔŋ3	
槔	kɵ̜u1	
槧	tʰim3	
槭	ɗok7	
槭	ɕa2	木葉落
槲	kok7	
槳	ɗa2	
槽	tɵ̜u4	
槿	kɐn2	
樁	tɕɔŋ1	
樂	lɔk10	快～
樂	ȵa6	音～
樂	ȵɔu6	喜愛：仁者～山|智者～水
樅	ɗoŋ1	～陽：地名，在安徽
樅	tʰoŋ1	樹名
樊	fɔn4	
樓	lɐu4	
樗	ɕy1	
樘	tɔŋ4	門框或窗框
樘	tɕʰa1	支柱，又用于人名
標	ɓiu1	
樞	ɕy1	
樟	tɕa1	
模	mu1	
樣	ja6	
樣	ja3	這樣；那樣
樨	ɬɐi1	
樳	tɐm4	
樵	ɗiu1	
樸	pʰɔk8	
樹	ɕy6	
樺	wɔ6	
樽	ɗÿn1	
樾	jøɐ̯t10	
橄	kɔm2	
橈	nɔu4	
橋	kiu4	
橐	tʰɔk8	
橘	kʷɐt7	
橙	tɕeŋ4	
橛	kÿt7	
機	ki1	
橡	ta6	
橢	tʰœ2	
橫	wa4	
檀	tɔn4	
檁	lɐm5	
檉	tɕʰeŋ1	
檎	tɕɐm4	
檐	jim4	
檐	jᴇɐ̯m4	頂部向外延伸；頭～（劉海）
檑	lui4	
檔	ɗɔŋ2	檔案
檔	ɗɔŋ3	大排檔
檗	ɓa2	
檜	kʷʰɐi3	
檠	keŋ4	
檢	kim2	
檣	ta4	
檁	lɐm6	
檫	tɕʰɔt8	
檬	moŋ1	
檬	moŋ4	見《玉林市志》
檯	tɔi4	
檳	ɓɐn1	
檸	neŋ4	
檻	kʰɔm2	
檾	kʷʰeŋ2	
櫃	kʷɐi6	
櫓	lu5	
櫚	ly4	
櫛	tɕit7	
櫝	tok9	
櫞	jÿn4	
櫟	lek9	
櫟	ja6	～陽：地名
櫥	tɕy4	
櫧	tɕy1	
櫪	lek9	
櫫	tɕy1	
櫬	tɕʰɐn3	
櫱	nᴇɐ̯t10	
櫱	nᴇɐ̯p10	又讀
櫳	loŋ4	
櫸	ky2	
櫻	eŋ1	
櫼	ɗᴇɐ̯m1	引自《廣西玉林話音系》（周成松，2003）。該文止給出的該字的韻母，聲母及聲調由錄入者推定。推定此字爲玉林話中[tem1]字，義爲「戳、刺」
欄	lɔn4	
欄	lɔn1	畜養牛、羊等牲畜的處所
權	kÿn4	
欏	lɵ4	
欒	lÿn4	
欖	lɔm2	
欛	ɓɔ3	
欞	leŋ4	
欠	jim3	
次	tʰi3	
欣	jɐn1	
欲	jok9	
欷	hi1	
欸	ɛ03	
欸	ei4	
欹	ki5	陡
欺	hi1	
欽	hɐm1	
款	wun2	
歃	ɕɔp8	
歆	hɐm1	
歇	jit7	
歉	kʰim2	
歌	kɵ1	
歎	tʰɔn3	
歐	ɐu1	
歙	hɐp7	
歙	ɕip7	～縣
歟	jy4	
歡	wun1	
止	tɕi2	
正	tɕeŋ1	～月
正	tɕeŋ3	
此	tʰi2	
步	pu6	
武	fu5	
武	mu5	異讀
歧	ki4	
歪	wɔi1	
歲	ɬui3	
歷	lek9	
歸	kʷɐi1	
歹	ɗɔi2	
死	ɬi2	
歿	mɔt10	
殁	mɔt10	
殂	tu4	
殃	ja1	
殆	ɗɐi1	
殉	tɐn6	
殊	ɕy4	
殍	pʰiu2	
殖	tɕek9	
殘	tɔn4	
殛	kek7	
殞	wɐn5	
殤	ɕa1	
殪	ji3	
殫	ɗɔn1	
殮	lim5	
殯	ɓɐn3	
殳	ɕy4	
段	tÿn6	
殷	ɐn1	
殺	ɕɔt8	
殼	hɐk7	
殿	tin6	
毀	wɐi2	
毁	wɐi2	
毃	kʷʰɐk7	物體撞到頭部
毅	ŋɐi6	
毆	ɐu3	
毋	fu4	
母	mu5	
每	mui5	
毒	tok9	
毓	jok7	
比	ɓi2	
毛	mɵ̜u4	
毛	mɵ̜u1	發～：發霉|雨～：微小的、可隨風飘的雨滴
毪	mu4	
毫	ɵ̜u4	
毬	tɕɐu4	
毯	tʰɔn2	
毳	tʰui3	
毹	ɕy1	
毽	kin6	
毿	ɬɔm1	
氅	tɕʰɔŋ2	
氆	pʰu2	
氈	tɕin1	
氌	lu5	
氍	ky4	
氏	ɕi6	
氐	ɗɐi2	
民	mɐn4	
氕	pʰit7	
氖	nɔi5	
氘	ɗɵ̜u1	
氙	ɬin1	
氚	tɕʰÿn1	
氛	fɐn1	
氡	ɗoŋ1	
氣	hi3	
氤	ɐn1	
氦	hɔi3	
氧	ja5	
氨	ɔn1	
氪	hɐk7	
氫	heŋ1	
氬	ɔt8	
氮	tɔm5	
氯	lok9	
氰	teŋ4	
氳	wɐn1	
水	ɕui2	
氵	ɕui2	
永	weŋ5	
氹	tɐm5	
氽	tʰɐn2	
氾	fɔm4	地名；河流名；姓
氾	fɔm3	大水淹
汀	tʰeŋ1	
汁	tɕɐp7	
求	tɕɐu4	
求	kɐu4	異讀
汆	tʰÿn1	
汊	tɕʰɔ1	
汐	tek9	
汔	ɐt9	
汗	ŋɔn6	
汙	wu1	
污	wu1	
汜	ti5	
汝	ɕy5	
汞	koŋ3	
江	kɐŋ1	
池	tɕi4	
污	wu1	
汨	mek9	
汩	kut9	
汪	wɔŋ1	
汰	tʰɔi3	
汲	kɐp7	白讀
汲	tɕɐp7	
汴	pin6	
汶	mɐn6	
決	kʰÿt7	
汽	hi3	
沁	ɬɐm2	
沁	tʰɐm3	
沃	jok7	
沅	ȵÿn4	
沆	ɔŋ5	
沈	ɕɐm2	
沉	tɕɐm4	
沌	tɐn6	
沏	tʰit7	
沐	mok9	
沒	mɔt10	
沓	tɔp10	
沔	min5	
沖	tɕʰoŋ1	沖泡：～劑(沖泡後服用的顆粒藥劑)
沖	tɕʰoŋ3	用水沖
沙	ɕɔ1	
沛	pʰui3	
沫	mɔt10	
沭	ɕɐt9	
沮	ɗy1	河流
沮	ɗy2	～喪
沱	tɵ4	
沲	tɵ4	
河	ɵ4	
沸	fi3	
油	jɐu4	
治	tɕi6	
沼	tɕiu2	
沽	ku1	
沾	tɕim1	
沿	jÿn4	
況	kʷʰɔŋ3	
泄	ɬit7	
泉	tÿn4	
泊	pɔk10	
泌	ɓi3	
泐	lɐk9	
泓	oŋ4	
泔	kɔm1	
法	fɔt8	
泖	mɐu5	
泗	ɬi3	
泛	fɔm3	
泠	leŋ4	
泡	pʰɔu1	名詞：燈～、水～
泡	pʰɔu3	動詞：～茶
泡	pɵ̜u5	泡沫
波	ɓɵ1	
泣	lɐp7	
泥	nɐi4	
注	tɕy3	
泫	jÿn4	
泮	pʰun3	
泯	mɐn5	
泰	tʰɔi3	
泱	ja1	
泳	weŋ6	
泳	weŋ5	又讀
泵	ɗɐm1	
洄	wui4	
洇	jɐn1	
洋	ja4	
洌	lᴇɐ̯t10	
洎	ki6	
洎	ki3	肉汁
洗	ɬɐi2	
洙	tɕy1	
洚	kɐŋ3	
洛	lɔk8	
洞	toŋ6	山～
津	ɗɐn1	
洧	wɐi5	
洩	jɐi6	
洪	oŋ4	
洫	kʷʰek7	
洮	tɵ̜u4	
洮	jiu4	
洲	tɕɐu1	
洳	ɕy6	
洵	tɐn4	
洶	hoŋ1	
洹	wun4	
活	wɔt10	
洽	hɔp8	
派	pʰɔi2	
派	pʰɔi3	又讀
流	lɐu4	
浖	løɐ̯t10	小水溝；小溪流；洗涤、汲水、灌溉用的水渠
浙	tɕit7	
浜	ɓɐŋ1	
浞	ɕɔk10	
浠	hi1	
浣	wun5	
浥	jɐp7	
浦	pʰu2	
浩	ɵ̜u6	
浪	lɔŋ6	
浮	fu4	白讀
浮	fɐu4	輕～|～躁
浯	ŋ̍4	
浴	jok9	
海	hɔi2	
浸	ɗɐm3	
浹	lɔp8	
浼	mui5	
涂	tu4	
涅	nᴇɐ̯p10	又讀
涅	nᴇɐ̯t10	
涇	keŋ1	
消	ɬiu1	
涉	ɕᴇɐ̯p10	
涌	ȵoŋ2	同「湧」
涌	tɕʰoŋ1	地名用字，廣西多作「冲」，廣東多作「涌」，本字爲「潨」
涎	jin5	
涑	ɬok7	
涓	kÿn1	
涔	ɕɐm4	
涕	tʰɐi3	
涪	fɐu4	
涫	kʷɐn2	
涮	ɕɔn3	刷洗：～淨｜出力～；清洁用具：牙～｜～掃
涯	ŋɔi4	
液	ek9	
涵	ɔm4	
涸	ɔk10	
涼	la4	
涿	ɗok7	
淅	ɬek7	
淆	ȵɔu4	
淇	ki4	
淋	lɐm4	
淌	tʰɔŋ2	
淑	ɕok7	
淒	tʰɐi1	
淘	tɵ̜u4	
淙	toŋ4	
淚	lui6	
淝	fi4	
淞	ɬoŋ1	
淠	pʰɐi3	舟行貌；茂盛貌
淠	pʰi3	河流名
淡	tɔm5	
淥	lok9	
淦	kɔm3	
淨	teŋ6	
淪	lɐn4	
淫	jɐm4	
淬	tʰui3	
淮	wɔi4	
深	ɕɐm1	
淳	ɕɐn4	
淵	jÿn1	
淶	lɔi4	
混	kʷɐn2	
淹	jim2	
淺	tʰin2	
添	tʰim1	
淼	miu5	
清	tʰeŋ1	
渙	wun6	
渚	tɕy2	
減	kɔm2	
渝	jy6	
渠	ky4	
渡	tu6	
渣	tɕɔ1	
渤	pɔt10	
渥	ɐk7	
渦	wɵ1	
渫	ɬit7	
測	tɕʰɐk7	
渭	wɐi6	
港	kɐŋ2	
渲	ɬÿn3	
渴	hɔt8	
游	jɐu4	
渺	miu5	
渾	wɐn4	～沌|～～噩噩
渾	wɐn5	
湃	pʰɔi3	
湄	mi4	
湊	tʰɐu3	
湍	tʰÿn1	
湎	min5	
湓	pun4	
湔	ɗin1	
湖	wu4	
湘	ɬa1	
湛	tɕɔm5	
湞	tɕeŋ1	
湟	wɔŋ4	
湣	mɐn5	
湣	wun1	滑～：昏亂貌
湧	ȵoŋ2	
湫	ɗɐu1	
湮	jin1	
湯	tʰɔŋ1	
湲	jÿn4	
湽	ɗi1	
漵	ty5	
溈	kʷɐi1	
溉	kʰɔi3	
溏	tɔŋ4	
源	ȵÿn4	
準	tɕɐn2	
溘	hɔp8	
溜	lɐu3	順口～
溝	kɐu1	
溟	meŋ4	
溢	jɐt9	
溥	pʰu2	
溧	lᴇɐ̯t10	
溪	kʰɐi1	
溫	wɐn1	
溯	ɬu3	
溱	ɗɐn1	
溲	ɕɐu1	
溴	tɕʰɐu3	
溶	joŋ4	
溷	wɐn6	
溺	nek9	
溻	tʰɔp8	
溼	ɕɐp7	
溽	ȵok9	
滂	pɔŋ4	
滄	tʰɔŋ1	
滅	mᴇɐ̯t10	
滇	ɗin1	
滋	ɗi1	
滌	tek9	
滎	weŋ4	
滏	fu5	
滑	wɔt10	
滔	tʰɵ̜u1	
滕	tɐŋ4	
滬	wu5	
滯	tɕɐi6	
滯	tɐi6	見《广西通志・汉语方言志》
滲	tɕʰɔm3	文讀
滲	ȵɔm3	白讀
滴	ɗek7	
滷	lu5	
滸	wu4	水～傳
滸	hy2	地名
滹	wu1	
滾	kʷɐn2	
滿	mun5	
漁	ȵy4	
漂	pʰiu1	～泊
漂	pʰiu3	～亮，～白
漆	tʰɐt7	
漉	lok9	
漏	lɐu6	
漏	lɐu4	勾～山，勾～洞
漓	li4	
演	jin5	
漕	tɵ̜u4	
漚	ɐu3	
漠	mɔk10	
漢	hɔn3	
漣	lin4	
漦	ɕɔn4	黏液。～水：口水
漩	ɕÿn4	
漪	ji1	
漫	mɔn6	
漬	ti6	
漭	mɔŋ5	
漯	tʰɔp8	古河名，在山東
漯	lui5	古河名，發源于山西省神池縣東
漯	lœ6	市名，在河南省
漱	ɕu3	
漲	tɕa3	
漳	tɕa1	
漵	ty5	
漶	wun6	
漸	tim6	
漾	ja6	
漿	ɗa1	豆～
漿	ɗa3	糖～
潁	weŋ5	
潊	ty5	
潑	pʰut7	
潔	kit7	
潘	pʰun1	
潙	kʷɐi1	
潛	tim4	
潢	wɔŋ4	
潤	ȵɐn6	
潦	lᴇɐ̯u2	潦草
潭	tɔm4	
潮	tɕiu4	
潯	tɐm4	
潰	kʷɐi6	
潲	ɕɔu3	
潷	ɓɐt7	
潸	ɕɔn1	
潺	tɕɔn4	
潼	toŋ4	
潿	wɐi4	
澀	tɕɔp8	又讀
澀	tɕɔp10	又讀
澀	ȵɔp8	白讀：粗糙
澄	tɕeŋ4	
澆	ȵiu4	
澇	lɵ̜u1	
澈	tɕʰit7	
澉	kɔm2	
澌	ɬi1	
澍	ɕy6	時雨
澍	tɕy3	通「注」
澎	pa4	
澗	kɔn3	
澠	min5	澠池
澠	ɕeŋ4	
澡	ɗɵ̜u2	
澤	tɕa6	
澧	lɐi5	
澩	ɔ6	
澮	kʷɐi3	
澱	tin6	
澳	ɵ̜u3	
澶	ɕin4	
澹	tɔm4	
激	kek7	
濁	tɕɔk10	
濂	lim4	
濃	noŋ4	
濉	ɬui1	
濕	ɕɐp7	
濘	neŋ6	
濛	moŋ1	～～雨：細雨
濞	pʰi3	
濟	ɗɐi3	
濠	ɵ̜u4	
濡	ɕy4	
濤	tɵ̜u4	
濫	lɔm6	
濮	ɓok7	
濯	tɕɔk10	
濱	ɓɐn1	
濺	tin6	文讀
濼	lɔk10	
濼	pʰɔk8	
濾	ly6	
濾	ly1	
瀅	eŋ4	
瀆	tok9	
瀉	ɬɛ3	
瀋	ɕɐm2	
瀏	lɐu4	
瀑	pɵ̜u6	
瀕	ɓɐn1	
瀘	lu4	
瀚	ŋɔn6	
瀛	eŋ4	
瀝	lek9	
瀟	ɬiu1	
瀠	weŋ4	
瀢	jui6	油膩，油亮
瀣	ɔi6	
瀦	tɕy1	
瀧	ɕɔŋ1	
瀨	tʰɔt8	
瀨	lɔi6	
瀰	mi4	
瀲	lim6	
瀵	fɐn3	
瀹	ja2	
瀾	lɔn4	
灃	foŋ1	
灄	ɕip7	
灌	kun3	
灌	kʰun3	見1959年字表
灑	ɕɔ3	
灒	tᴇɐ̯n6	濺
灒	tɔn6	濺
灘	tʰɔn1	
灝	ɵ̜u6	
灞	ɓɔ3	
灣	wɔn1	
灩	jim6	
火	wɵ2	
灬	wɵ2	
灰	wui1	
