#漢字	音標	解釋
□	kʰõŋ4	～嗽
芬	fən1	
芭	pa1	
花	fa1	
芳	xõŋ1	
芹	dʑiən2	
芽	ŋa2-	
芽	ia2=	
葦	ʋi3	
莧	ɣan6	～菜
蒼	tsʰõŋ1	
苧	dʑy2	～麻
苏	su1	
苔	de2	舌～,青～
苗	mio2	
苟	tɕio3	
若	ʑio6	
苦	kʰu4	
英	iən1	
茂	mio5	
范	van6	
茄	dʑia2	～子
茅	mɔ2	
莖	tɕiən1	
塋	ʋyn2	
繭	tɕiẽ3	
茫	mõŋ2	
茴	ve2	～香
茶	dza2	
茸	iən2	
荆	tɕiən1	
草	tsʰɔ4	
薦	tɕiẽ5	
荒	xõŋ1	
荔	li5	～枝
蕎	dʑio2	
蕩	tʰõŋ5	放～
榮	ʋyn2	
葷	fəŋ1	
滎	ʋyn2	～阳
荫	iən1	屋子很～
荫	iən5	
藥	io5	
荷	ɣo2	薄～
荷	ɣo2	～花
莫	mo5	
蓮	ȵiẽ2	
获	fu5	
鶯	iən1	
莽	mõŋ3	
菊	tɕy1	
菌	ɡyn6	
菖	tʂʰõŋ1	～蒲
菜	tsʰe5	
菠	po1	～菜
菢	bɔ6	～小鸡
菩	bu2	～萨
菱	ȵiən2	
萄	dɔ2	
萌	miən2	
萍	biən2	
萎	ʋi3	
螢	iaŋ2-	
螢	ʋyn2=	
營	ʋyn2	
蕭	ɕio1	
薩	sa1	
落	lo5	
著	tɕy5	显～
葚	ʐən6	桑～
葛	ko1	
董	təŋ3	
葫	vu2	
葬	tsõŋ5	
葱	tsʰəŋ1	
葵	ɡuei2	
蔣	tɕiaŋ3	
蒙	məŋ2	
蒜	sõŋ5	
蒲	bu2	
蒸	tɕiən1	
蒿	xɔ1	
蓄	fy5	储～
蓉	iən2	
蓑	so1	
蓖	pi3	～麻
藍	nan2	
蓬	bəŋ2	
蔓	man5	瓜～子
蔗	tɕia1	
蔡	tsʰe5	
蔬	su1	
藹	ŋai1	和～
藹	ai1	和～
蔽	pi5	
蕉	tɕio1	芭～，香～
薄	bo6	～荷
薄	bo6	厚～
薅	xɔ1	除草
薑	tɕiaŋ1	
薛	ɕie1	
薪	ɕiən1	
薯	dʑy2	白～
薰	fəŋ1	
藏	dzõŋ2	隐～
藏	dzõŋ2	西～
藐	mio3	
藕	ŋio3	
藤	diẽ2	
藩	van2	
藿	ɣo6	～香
虎	fu3	
虜	lu3	
虐	ŋio1	
虐	io1	
虑	ȵy5	
虔	dʑiẽ2	
虛	fy1	
虞	lu2	
蟲	dʑiən2	
虱	ɕiɛ1	
虹	kõŋ5-	天上出～
虹	ɣəŋ2=	彩～
雖	ɕi1	
蝦	xa1-	鱼～
蝦	ɕia1=	鱼～
蝕	ʂʅ5	
蟻	ȵi5	
蚊	vən2=	
蚊	miən1=	
蠶	dzan2	
蚣	kəŋ1	蜈～
蚤	sɔ1	
蛀	tɕy5	
蛆	tɕʰy1	生～
蛇	ʂa2	
蛋	dan6	
蛙	ʋa1	
蛛	tɕy1	
蠻	man2	
蟄	tʂʅ1	惊～
蛾	ŋo2	
蜀	tsu1	
蜂	fəŋ1	
蜇	tiaŋ5	蝎子～人
蜈	ʋu2	～蚣
蜓	diən2	蜻～
蝸	o1	
蜘	tʂʅ1	～蛛
蜜	mi5	
蠟	la1	
蜻	tɕʰiən1	～蜒
蠅	vən2	
蟬	dzan2	
蝗	ɣõŋ2	
蝙	piẽ1	
蝠	fu1	蝙～
蝶	tʰie5	
螂	nõŋ2	
螃	bõŋ2	～蟹
融	iən2	
螳	dõŋ2	～螂
螺	lo2	～蛳
蟀	se5	
蟆	mo2	
蟒	mõŋ3	
蟹	ɣai6	
蟾	tɕiẽ1	
蠚	xo1	蜂～人
蠢	kʰyn4	
血	fye1	
衅	ɕiən5	挑～
行	ʑiən2	～为
行	ʑiən2	品～
行	ɣõŋ2	～列，银～
銜	ɣan2	
街	kai1	
衙	ia2	
衡	ɣiẽ2	
衣	i1	
補	pu3	
表	pio3	
衫	san1	
襯	tsʰəŋ5	
衰	sai1	
袁	ʋyẽ2	
襖	ŋɔ3	
袋	de2	
袍	bɔ2	
袖	ɕiou5	
袜	va6	
被	bi2	～卧，～子
被	bi6	～打，～迫
襲	ɕi3	
袱	fu5	
裁	dze2	
裂	lie5	
裝	tsõŋ1	
裌	kiɛ1	～衣
裕	vy5	
裙	ɡyn2	
褲	kʰu5	
裳	dʐõŋ2	衣～
裴	be2	
裹	ko3	
製	tsɿ5	
褚	dʑy6	
褥	dzu2	
褪	tʰe5	
褶	tɕie3	～子，皱纹
襄	ʂõŋ6	
襟	tɕiən5	
西	ɕi1	
要	io1	～求
要	io5	想～,重～
覆	fu1	
見	tɕiẽ5	
觀	kõŋ1	参～
觀	kõŋ1	寺～，道～
規	kuei1	
視	zɿ6	
覽	nan2	
覺	kɔ5-	睡～
覺	tɕio5	知～
覺	tɕio5=	睡～
角	ko1-	
角	tɕio1=	
解	kai3	讲～，解～
解	kai3	姓～
觸	tsʰu5	
言	iẽ2	
譽	vy5	荣～
誓	zɿ6	
警	tɕiən3	
計	tɕi5	
訂	tiən5	约～
訃	pʰu1	
認	ʑiən6	
譏	tɕi1	
討	tʰɔ4	
讓	ʂõŋ6	
訖	tɕʰi1	
訓	fən5	
議	ȵi5	
訊	ɕiən5	
記	tɕi5	
講	kõŋ3-	
講	tɕiaŋ3=	
諱	ve6	
許	fy3	
論	ȵiən5	～语
論	ȵiən5	议～
訟	dzəŋ6	
諷	fəŋ3-	
諷	fəŋ1=	
設	ɕie5	
訪	xõŋ3	
訣	kye1	
证	tɕiən5	
評	biən2	
識	ʂʅ5	
詐	tsa5	
訴	su5	
診	tɕiən1	
詞	zɿ2	
詔	dʑio6	
譯	i5	
試	ȵi2	
試	sɿ5	
詩	sɿ1	
誠	dʑiən2	
誅	tɕy1	
話	va6	
誕	tan5	
詭	kuei3	
該	ke1	
該	kai1	
詳	dʑiaŋ2	
誣	vu1	
語	vy3	
誤	ʋu5	
誘	ɕiou5	
說	fye1=	～话
說	so1=	～话
誦	dzəŋ6	
請	tɕʰiaŋ4-	
請	tɕʰiən4=	
諸	tɕy1	
諾	no5	
讀	du6	
讀	dze6	
課	kʰo5	
誰	dzuei2	
調	dio2	～和
調	dio6	～动,～查
諒	ȵiaŋ5	
談	tɕi1	
談	dan2	
誼	ȵi2	
謀	mio2	
諜	tʰie5	
謊	xõŋ3	
諧	ɣai2	
謂	ʋi5	
讒	dzan2	
諺	ȵiẽ5	
謎	mi5	
謝	ɕie5	
謠	io2	
謗	põŋ3	
謙	tɕʰiẽ1	
謹	tɕiən3	
謬	lio1	
譚	dan2	
譜	pʰu4	
谷	ku1	山～
豆	õŋ1	
豆	dio2	
豉	zɿ6	豆～
豌	õŋ1	
豕	sɿ3	
象	dʑiaŋ6-	
象	ɕiaŋ5=	
豪	ɣɔ2	
豫	vy5	
豹	pɔ5	
貂	tio1	
貌	mɔ5	
貝	pe5	
貞	tɕiən1	
負	vu6	
貢	kəŋ5	
財	dze2	
責	tɕiɛ1	
賢	ɣiẽ2	
敗	bai6	
賬	tʂõŋ5	
貨	xo5	
質	tʂʅ5	
販	fan5	
貪	tʰan1	
貧	biən2	
貶	piẽ3	
購	tɕio5=	
購	kio5=	
貫	kõŋ5	
貳	e5	
賤	dʑiẽ6	
貼	tʰie1	
貴	kuei5	
貸	de6	
貿	mio5	
費	fi5	～用
賀	ɣo6	
賊	tɕʰiɛ5-	
賊	dʑiɛ6-	
賈	tɕia3	～姓
賄	fe3	
賂	lo5	
贓	tsõŋ1	
資	tsɿ1	
賒	ʂa1	
賭	tu3	
贖	su5	
賞	ʂõŋ3	
賜	tsʰɿ5	
賠	be2	
賴	lai5	
賺	dzõŋ6	
賽	sai5	
赞	tsan5	
贈	dʑiẽ6	
贏	iaŋ2-	
贏	iən2=	
赤	tɕʰia1-	
赤	tʂʰʅ1=	
赫	xiɛ5	
走	tɕio3	
赴	pʰu1	
趙	dʑio6	
趕	kan3	
起	tɕʰi4	
趁	tɕʰiən5	
超	tɕʰio1	
越	ʋye1	
趨	tɕʰy1	
趟	tʰõŋ4	一～
趣	tɕʰy5	
足	tsu1	
趾	tsɿ3	
躍	io5	
跌	tʰie1	
跑	pʰɔ4	
跛	pai1	～足
距	dʑy6	
跟	kiẽ1	
跨	dʑia6-	
跨	kʰua5=	
跪	kʰuei4	
路	lu5	
跳	tʰio5	
踐	dʑiẽ6	
踏	tʰa5	
踒	vi1	～了脚
踢	tʰiɛ1-	
踢	tʰi1=	
蹤	tsəŋ1	
踱	du6	
蹄	di2	
蹲	tsəŋ1-	
蹲	tiən1=	～下来
躁	tsʰɔ5	
身	ʂən1	
躬	kəŋ1	
躲	to3	
躺	tʰiaŋ4-	
躺	tʰõŋ4=	
車	tɕy1	～马炮
車	tɕʰie1	
軋	tsa3	～棉花
軋	ŋiɛ5	被车子～了
軌	kuei3	
軒	fyẽ1	
轉	kyẽ3	～眼，～送
轉	kyẽ5	～螺丝，～圆圈
輪	ȵiən2	
軟	vyẽ2	
轟	xəŋ1	～出去
轟	xəŋ1	
軸	tɕʰiou1	
輕	tɕʰiaŋ1-	蛮～
輕	tɕʰiən1=	年～
載	tse5	年～
載	tse5	～重
載	tse5	满～
轎	dʑio6	
較	tɕio5	
輔	fu3	
輛	ȵiaŋ3	
輩	pe5	
輝	fe1	
輯	tɕi1	编～
輸	fy1	
輸	fy1	运～
轅	ʋyẽ2	
轄	ɕia5	
轄	ɕie5	管～
轍	tɕʰie1	
辛	ɕiən1	
辭	zɿ2	
辟	pʰi1	
辣	ȵiɛ5-	
辣	la5=	
辨	biẽ6	
辯	biẽ6	
辮	piẽ1	
辰	ʂən2	
辱	dzu2	
邊	piẽ1	
遼	lio2	
达	da6	
迁	tɕʰiẽ1	
迂	vy2	
迅	ɕiən5	
過	ko5	
邁	mai5	
迎	iən2	
運	ʋyn5	
近	dʑiən6	
還	ɣa2-	～有
還	ɣõŋ2	～原
還	ɣai2=	～有
進	tɕiən5	
遠	ʋyẽ3	
違	ʋi2	
連	ȵiẽ2	
遲	dʐʰʅ2	
迫	pʰiɛ5	
述	ɕi5	
迷	mi2	
迸	piən5	
迹	tɕi5	
追	tsi1	
退	tʰe5	
送	səŋ5	
適	ʂʅ5	
逃	dɔ2	
逆	ŋa5	顺～，～风老
逆	ȵi5=	顺～，～风
選	ɕiẽ3	
遜	səŋ1	
透	tʰio5	
逐	tsʰu5	
遞	di6	
途	du2	
逗	tio1	
通	tʰəŋ1	
逛	ɡõŋ2	
逝	zɿ6	
逞	tɕʰiən5	～能
速	su1	
造	dzɔ6	建～
逢	vəŋ2	
逵	ɡuei2	
逸	i5	
逼	pi1	
逾	ʋy5	
遁	dʑiən2	
遂	dzi6	
遇	ʋy5	
遍	pʰiẽ5	一～
遍	pʰiẽ5	～地
道	dɔ6	
遺	i2	
遣	tɕʰiẽ4	
遭	tsɔ1	
遮	tɕia1	
遵	tɕiən1	
避	bi6	
邀	io1	
邓	diẽ6	
那	la5	
邦	põŋ1	
邪	dʑiɛ2	
郵	iou2	
邵	ɕio5	
鄒	tɕio1	
鄰	ȵiən2	
郁	iou1	
郁	iou5	
郊	tɕio1	
郎	nõŋ2	
鄭	dʑiən6	
郡	kyn1	
部	bu6	
郭	ko1	
都	tu1	～城
都	tu1	～是
鄂	ŋo5	
鄙	pʰi4	
酉	iou3	
配	pʰe5	
酒	tɕiou3	
酣	xan1	
酥	su1	
酬	dʑiou2	
醬	tɕiaŋ5	
酵	ɕio5	
酷	kʰu5	
酸	sõŋ1	
釀	iaŋ5	
醃	iẽ2	
醇	vyn2	酒味浓厚
醉	tɕy5-	
醉	tsi5=	
醋	tsʰu5	
醒	ɕiaŋ3-	
醒	ɕiən3=	
醜	tɕʰiou4	
醮	tɕio1	打～，粘东西吃
采	tsʰe4	
釉	iou5	
釋	ʂʅ5	
里	li3	
重	dʑiən2	～复
重	dʑiən6	～轻
野	ia3-	
野	ie3=	
量	ȵiaŋ2	测～长短
量	ȵiaŋ5	数～
金	tɕiən1	
釜	fu3	
鈀	ba2	～子
鏨	dzan6	～花
针	tɕiən1	
釘	tiaŋ1-	铁～
釘	tiaŋ5-	～住
釘	tiən1=	铁～
釣	tio5	
釵	tsʰai1	
鈔	tsʰɔ1	钱～
钟	tɕiən1	
鋼	kõŋ1	
鑰	io3	～匙
欽	tɕʰiən1	
鈞	kyn1	
鉤	tɕio1-	
鉤	kio1=	
錢	dʑiẽ2	
鉗	dʑiẽ2	
鉢	po1	
鈸	pʰa5	
鑽	tsõŋ5	动词
鑽	tsõŋ5	木工用具
鐵	tʰie1	
鈴	ȵiən2	
鉛	ʋyẽ2	
鉛	tɕʰiẽ1=	
銅	dəŋ2	
鍘	tsa5	～刀
鏵	va2	
銘	miən2	
铲	tsʰan4	
銃	tɕʰiən5	放～
銀	iən2	
鑄	tɕy5	
鋪	pʰu1	～设
鋪	pʰu5	店～
銷	ɕio1	
鎖	so3	
鋤	dzu2	
鍋	ko1	
鏽	ɕiou5	铁～
銼	tsʰo4	
鋒	fəŋ1	
鐧	tɕiẽ5	
銳	de6	
錯	tsʰo5	～误
錯	tsʰo5	～杂
錨	mio2	
錫	ɕi1	
錮	ku5	
鑼	lo2	
錘	dʑy2-	
錘	dzuei2-	
錦	tɕiən3	
鍁	ɕiẽ1	
錠	diən6	
鍵	dʑiẽ6	
鋸	tɕy5	～子,～木头
鍬	tɕʰiou1	
鍛	tõŋ5	～炼
鍍	du6	
鎮	tɕiən5	
鏡	tɕiən5	
鐙	tiẽ1	
鐲	tso1	～子
镰	ȵiẽ2	
鑲	ɕiaŋ1	
長	tiaŋ3-	生～
長	dʐõŋ2	～短
長	tʂõŋ3=	生～
門	miən2	
閂	sõŋ1	
閃	ɕiẽ3-	
閃	san3=	
閉	pi5	
問	vən6	
闖	tsʰõŋ4	
閏	vən6	
闲	ɣan2-	
闲	ɣiẽ2=	
間	kan3	空～，中～
間	kan5	～断
悶	miən5	
閘	tsa5	
鬧	lɔ5	
閨	kuei1	
聞	vən2	
閣	ko1	
鬮	tɕio1	
閱	ʋye1	
閹	iẽ1	
閻	iẽ2	
闊	kʰo5	
隊	de6	
阮	ʋyẽ2	
防	ɣõŋ2	
陽	iaŋ2	
陰	iən1	
陣	dʑiən6	
階	kai1	
阻	tsu3	
阿	a1-	～胶
附	fu5	
際	tɕi5	
陸	lu5	
隴	nəŋ3	
陳	dʑiən2	
陋	lio5	
陌	miɛ5	～生
降	dʑiaŋ2-	～伏，投～
降	tɕiaŋ5	下～
限	ɣan6	
陝	ɕiẽ3-	～西
陝	san3=	～西
陛	pi5	～下
陡	tio3	
院	ʋyẽ5	
除	dʑy2	
險	ɕiẽ3	
陪	be2	
陵	ȵiən2	
陶	dɔ2	
陷	ɣan6	
隆	nəŋ2	
隨	dzi2	
隱	iən3	
隔	kiɛ1	
隘	ŋai5	
障	tʂõŋ5	保～
隧	dzi6	～道
隶	li5	
難	nan2	
難	nan5	患～
雀	tɕʰio1	麻～
雁	ŋai5-	
雁	iẽ5=	
雄	ɕiən2	
雅	ia3	
集	tɕʰi5	
雇	ku5	
雌	tsʰɿ1	
雍	iən1	
雕	tio1	
雨	vy3	
雪	ɕie1	
零	ȵiən2	
雷	le2	
雹	pʰɔ5	
霧	vu6	
需	fy1	
霄	ɕio1	
震	tɕiən5	
霉	me2	
霍	ɣo6	
霜	sõŋ1	
霞	ʑia2	
露	lu5	
霸	pa5	
青	tɕʰiən1	
靖	dʑiən6	
靜	dʑiən6	
非	fi1	
靠	ɕiou2	
靠	kʰɔ5	
面	miẽ5	
革	kiɛ1	
靪	tiən1	
靴	fye1	
鞋	ɣai2	
鞍	ŋan1	
鞘	ɕio1	刀～
鞦	tɕʰiou1	～千
鞭	piẽ1	
韓	ɣan2	
韭	tɕiou3	
音	iən1	
韵	ʋyn5	
韶	ɕio2	～关
願	ʋyẽ5	
頁	e5	
頂	tiən3	
頃	kʰuəŋ1	
項	ɣõŋ6	
順	vən6	
须	fy1	
頑	õŋ2	～皮，～固
顧	ku5	
頓	tiən5	
頒	pan1	
頌	dzəŋ6	
預	vy5	
領	ȵiən3	
頗	pʰo1	
頸	tɕiaŋ3-	
頸	tɕiən1=	
頻	biən2	～繁
顆	kʰo4	一～珠
題	di2	
顏	ŋai2-	
顏	ŋan2=	
額	ŋa1-	
額	ŋiɛ1=	
顛	tiẽ1	
顫	tɕiẽ5	
風	fəŋ1	
飄	pʰio1	
飛	fi1	
食	ʂʅ5	
餐	tsʰan1	
餐	tɕʰi5	
饥	tɕi1	～饿
饥	tɕi1	～荒
飩	diən2	
飯	van6	
飲	iən3	～酒
飲	iən3	～米汤
飲	iən3	～马
餞	dʑiẽ6	～行
飾	ʂʅ5	
飽	pɔ3	
飼	zɿ2	
饒	ʑio2	
餉	ɕiaŋ3	
餃	tɕio3	～子
餅	piən3	
餓	ŋo5	
餘	vy2	
餛	vəŋ6	～饨
館	kõŋ3	
餿	ɕio1	饭～了
饞	dzan2	
饃	mo2	
饅	man5	～头
首	ɕiou3	
香	ɕiaŋ1	
馨	ɕiən1	
馬	ma3	
馱	do2	拿，～起来
馱	do2	～子
馳	dʐʰʅ2	
驅	tɕʰy1	
駁	po1	
驢	lu2	
駛	sɿ3	
駒	tɕy5	
駐	tɕy5	
駝	do2	
駕	tɕia5	
罵	ma5	
驕	tɕio1	
駱	lo5	
駭	xai5	惊～
驗	ȵiẽ5	
騎	dʑi2	
騙	pʰiẽ5	欺～
騷	sɔ1	
騾	lo2	
驟	dʑy6	
驟	dʑio6	
骨	kuei1-	筋～、～头
骨	ku1=	筋～，～头
髓	fy1	
高	kɔ1	
髮	fa1	头～
鬃	tsəŋ1	马～
鬢	piən1	
鬼	kuei3	
魁	kʰuei5	
魂	vəŋ2	
魄	pʰiɛ5	
魏	ʋi5	
魔	mo2	
魚	vy2	
魯	lu3	
鮮	ɕiẽ3	新～
鯉	li3	
鯽	tɕi1	
鯨	tɕiən1	
鰓	se1	
鱉	pie1	
鱗	ȵiən2	
鳥	tio3-	
鳥	ȵio3=	
鳩	tɕiou1	
雞	tɕi1	
鳴	miən2	
鴉	ia1	
鴨	ŋa1-	
鴨	ia1=	
鴿	ko5	
鸞	nõŋ2	
鴻	ɣəŋ2	
鵝	ŋo2	
鵡	vu2	鹦～
鵲	tɕʰio5	喜～
鷂	io5	～鹰
鶴	xo5	
鸚	iən1	
鷺	lu5	
鷹	iən1	
鹿	lu1	
麝	ɣe6	～香
麥	miɛ5	
麩	fu1	麦～子
麴	tɕʰy1	酒～
麪	miẽ5	
麻	ma2	
黃	ɣõŋ2	姓～
黃	õŋ2	～色
黎	li2	
黑	xiɛ1	
默	miɛ5	
鼎	tiaŋ3-	
鼎	tiən3=	
鼓	ku3	
鼠	fy3	
鼻	bi6	
鼾	xan1	睡时声
齈	nəŋ2	多涕，鼻痴
齊	dʑi2	
齒	tsʰɿ4	
龍	nəŋ2	
龕	kʰan1	
龜	kuei1	
𨉣	xa1	～腰：弯腰
