#漢字	音標	解釋
㢦	弋10	
㢧	弓1	
㢨	弓3	
㢩	弓3	
㢪	弓3	
㢫	弓3	
㢬	弓4	
㢭	弓4	
㢮	弓5	
㢯	弓5	
㢰	弓5	
㢱	弓5	
㢲	弓6	
㢳	弓6	
㢴	弓6	
㢵	弓6	
㢶	弓6	
㢷	弓6	
㢸	弓7	
㢹	弓7	
㢺	弓8	
㢻	弓8	
㢼	弓8	
㢽	弓9	
㢾	弓9	
㢿	弓9	
㣀	弓10	
㣁	弓10	
㣂	弓10	
㣃	弓11	
㣄	弓12	
㣅	弓12	
㣆	弓18	
㣇	彐5	
㣈	彐13	
㣉	彡3	
㣊	彡4	
㣋	彡5	
㣌	彡5	
㣍	彡5	
㣎	彡8	
㣏	彡9	
㣐	彡9	
㣑	彡11	
㣒	彡12	
㣓	彡13	
㣔	彳2	
㣕	彳3	
㣖	彳4	
㣗	彳4	
㣘	彳5	
㣙	彳5	
㣚	彳6	
㣛	彳6	
㣜	彳6	
㣝	彳6	
㣞	彳6	
㣟	彳6	
㣠	彳6	
㣡	彳6	
㣢	彳7	
㣣	彳7	
㣤	彳8	
㣥	彳8	
㣦	彳8	
㣧	彳8	
㣨	彳8	
㣩	彳8	
㣪	彳9	
㣫	彳9	
㣬	彳9	
㣭	彳9	
㣮	彳9	
㣯	彳10	
㣰	彳11	
㣱	彳11	
㣲	彳11	
㣳	彳12	
㣴	彳12	
㣵	彳13	
㣶	彳13	
㣷	彳14	
㣸	彳16	
㣹	彳17	
㣺	心1	
㣻	心2	
㣼	心3	
㣽	心3	
㣾	心3	
㣿	心3	
㤀	心3	
㤁	心4	
㤂	心4	
㤃	心4	
㤄	心4	
㤅	心4	
㤆	心4	
㤇	心4	
㤈	心4	
㤉	心4	
㤊	心4	
㤋	心4	
㤌	心5	
㤍	心5	
㤎	心5	
㤏	心5	
㤐	心5	
㤑	心5	
㤒	心5	
㤓	心5	
㤔	心5	
㤕	心5	
㤖	心5	
㤗	心5	
㤘	心5	
㤙	心5	
㤚	心6	
㤛	心6	
㤜	心6	
㤝	心6	
㤞	心6	
㤟	心6	
㤠	心6	
㤡	心6	
㤢	心6	
㤣	心6	
㤤	心6	
㤥	心6	
㤦	心6	
㤧	心6	
㤨	心6	
㤩	心6	
㤪	心6	
㤫	心6	
㤬	心6	
㤭	心6	
㤮	心7	
㤯	心7	
㤰	心7	
㤱	心7	
㤲	心7	
㤳	心7	
㤴	心7	
㤵	心7	
㤶	心7	
㤷	心7	
㤸	心7	
㤹	心7	
㤺	心6	
㤻	心7	
㤼	心7	
㤽	心7	
㤾	心8	
㤿	心8	
㥀	心8	
㥁	心8	
㥂	心8	
㥃	心8	
㥄	心8	
㥅	心8	
㥆	心8	
㥇	心8	
㥈	心8	
㥉	心8	
㥊	心8	
㥋	心8	
㥌	心8	
㥍	心8	
㥎	心8	
㥏	心8	
㥐	心8	
㥑	心8	
㥒	心8	
㥓	心8	
㥔	心8	
㥕	心8	
㥖	心8	
㥗	心8	
㥘	心8	
㥙	心8	
㥚	心9	
㥛	心9	
㥜	心9	
㥝	心9	
㥞	心9	
㥟	心9	
㥠	心9	
㥡	心9	
㥢	心9	
㥣	心9	
㥤	心9	
㥥	心9	
㥦	心9	
㥧	心9	
㥨	心9	
㥩	心9	
㥪	心9	
㥫	心9	
㥬	心10	
㥭	心10	
㥮	心10	
㥯	心10	
㥰	心10	
㥱	心10	
㥲	心10	
㥳	心10	
㥴	心10	
㥵	心10	
㥶	心10	
㥷	心10	
㥸	心10	
㥹	心10	
㥺	心10	
㥻	心10	
㥼	心11	
㥽	心11	
㥾	心11	
㥿	心11	
㦀	心11	
㦁	心11	
㦂	心11	
㦃	心11	
㦄	心11	
㦅	心11	
㦆	心11	
㦇	心11	
㦈	心11	
㦉	心12	
㦊	心12	
㦋	心12	
㦌	心12	
㦍	心12	
㦎	心12	
㦏	心12	
㦐	心12	
㦑	心12	
㦒	心12	
㦓	心12	
㦔	心12	
㦕	心12	
㦖	心12	
㦗	心13	
㦘	心13	
㦙	心13	
㦚	心14	
㦛	心14	
㦜	心14	
㦝	心14	
㦞	心14	
㦟	心14	
㦠	心14	
㦡	心15	
㦢	心15	
㦣	心16	
㦤	心16	
㦥	心16	
㦦	心16	
㦧	心16	
㦨	心17	
㦩	心17	
㦪	心17	
㦫	心19	
㦬	心19	
㦭	心24	
㦮	戈3	
㦯	戈3	
㦰	戈4	
㦱	戈4	
㦲	戈4	
㦳	戈5	
㦴	戈6	
㦵	戈6	
㦶	戈6	
㦷	戈7	
㦸	戈8	
㦹	戈9	
㦺	戈10	
㦻	戈11	
㦼	戈11	
㦽	戈13	
㦾	戶3	
㦿	戶4	
㧀	戶4	
㧁	戶5	
㧂	戶5	
㧃	手2	
㧄	手2	
㧅	手2	
㧆	手3	
㧇	手3	
㧈	手3	
㧉	手4	
㧊	手4	
㧋	手4	
㧌	手4	
㧍	手4	
㧎	手4	
㧏	手4	
㧐	手4	
㧑	手4	
㧒	手5	
㧓	手5	
㧔	手5	
㧕	手5	
㧖	手5	
㧗	手5	
㧘	手5	
㧙	手5	
㧚	手5	
㧛	手5	
㧜	手5	
㧝	手5	
㧞	手5	
㧟	手5	
㧠	手5	
㧡	手6	
㧢	手6	
㧣	手6	
㧤	手6	
㧥	手6	
㧦	手6	
㧧	手6	
㧨	手6	
㧩	手6	
㧪	手6	
㧫	手6	
㧬	手6	
㧭	手6	
㧮	手6	
㧯	手6	
㧰	手6	
㧱	手6	
㧲	手7	
㧳	手7	
㧴	手7	
㧵	手7	
㧶	手7	
㧷	手7	
㧸	手7	
㧹	手8	
㧺	手8	
㧻	手8	
㧼	手8	
㧽	手8	
㧾	手8	
㧿	手8	
㨀	手8	
㨁	手8	
㨂	手8	
㨃	手8	
㨄	手8	
㨅	手8	
㨆	手8	
㨇	手8	
㨈	手8	
㨉	手9	
㨊	手9	
㨋	手9	
㨌	手9	
㨍	手9	
㨎	手9	
㨏	手9	
㨐	手9	
㨑	手9	
㨒	手9	
㨓	手9	
㨔	手9	
㨕	手9	
㨖	手10	
㨗	手9	
㨘	手9	
㨙	手10	
㨚	手10	
㨛	手10	
㨜	手10	
㨝	手10	
㨞	手10	
㨟	手10	
㨠	手10	
㨡	手10	
㨢	手10	
㨣	手10	
㨤	手10	
㨥	手10	
㨦	手10	
㨧	手10	
㨨	手10	
㨩	手10	
㨪	手10	
㨫	手10	
㨬	手10	
㨭	手11	
㨮	手11	
㨯	手11	
㨰	手11	
㨱	手11	
㨲	手11	
㨳	手11	
㨴	手11	
㨵	手11	
㨶	手11	
㨷	手11	
㨸	手11	
㨹	手11	
㨺	手11	
㨻	手11	
㨼	手11	
㨽	手11	
㨾	手11	
㨿	手11	
㩀	手11	
㩁	手11	
㩂	手11	
㩃	手12	
㩄	手12	
㩅	手12	
㩆	手12	
㩇	手12	
㩈	手12	
㩉	手12	
㩊	手12	
㩋	手12	
㩌	手12	
㩍	手12	
㩎	手12	
㩏	手12	
㩐	手12	
㩑	手12	
㩒	手13	
㩓	手13	
㩔	手13	
㩕	手13	
㩖	手13	
㩗	手13	
㩘	手13	
㩙	手13	
㩚	手14	
㩛	手14	
㩜	手14	
㩝	手14	
㩞	手14	
㩟	手14	
㩠	手15	
㩡	手15	
㩢	手15	
㩣	手15	
㩤	手15	
㩥	手15	
㩦	手15	
㩧	手15	
㩨	手15	
㩩	手15	
㩪	手15	
㩫	手15	
㩬	手16	
㩭	手16	
㩮	手17	
㩯	手17	
㩰	手17	
㩱	手18	
㩲	手18	
㩳	手18	
㩴	手18	
㩵	手20	
㩶	手20	
㩷	手20	
㩸	手22	
㩹	手22	
㩺	支4	
㩻	支6	
㩼	支6	
㩽	支7	
㩾	支8	
㩿	攴3	
㪀	攴3	
㪁	攴4	
㪂	攴4	
㪃	攴5	
㪄	攴5	
㪅	攴5	
㪆	攴5	
㪇	攴6	
㪈	攴6	
㪉	攴6	
㪊	攴7	
㪋	攴7	
㪌	攴7	
㪍	攴7	
㪎	攴7	
㪏	攴8	
