#漢字	音標	解釋
㖪	xɔʔ7	吵鬧
渴	kʰʊᵘʔ7	
游	iʊ2	
渾	xuəŋ2	
湃	pʰɛ5	
湊	tsʰəɪ5	
湖	xʋ2	
湘	ɕiã1	
湛	tsʲɛ̃5	
湧	iɔŋ3	
湯	tʰã1	
湱	xɔʔ7	～動
溉	kɛ5	
源	iʊ̃ᵘ̃2	
準	tʂuəŋ3	
溜	ləɪ1	
溝	kəɪ1	
溪	tʃʰɨᶨ1	
溫	ʋəŋ1	
溶	iɔŋ2	
溺	niəʔ8	
溼	ʂəʔ7	
滄	tsʰã1	
滅	miʔ8	
滋	tsɿ1	
滌	tʰiəʔ8	
滑	xʲuɛʔ8	
滑	ʋʲɛʔ8	
滔	tʰɔ1	
滬	xʋ6	
滯	tʂʰʅ5	
滲	səŋ5	
滴	tiəʔ7	
滸	xʋ3	
滸	ɕyᶨ3	地名，～澪
滾	kuəŋ3	
滿	mʊ̃ᵘ̃3	
漁	ɥyᶨ2	
漂	pʰiɔ1	
漂	pʰiɔ3	
漂	pʰiɔ5	
漆	tɕʰiəʔ7	
漉	lɔʔ8	撈取
漏	ləɪ6	
演	ĩ3	
漕	tsʰɔ2	
漚	ŋəɪ5	水中浸泡
漠	maʔ8	
漢	xʲɛ̃5	文讀
漢	xʊ̃ᵘ̃5	白讀
漩	ɕyĩ2	
漫	mʲɛ̃6	文讀
漫	mʊ̃ᵘ̃6	
漱	sʋ5	～嘴
漲	tʂã3	
漲	tʂã5	
漸	tɕʰĩ6	
漾	iã6	
漿	tɕiã1	
潑	pʰʊᵘʔ7	
潔	tɕiʔ7	
潘	pʰʊ̃ᵘ̃1	
潛	tɕʰĩ2	
潢	xuã2	
潤	ɻuəŋ6	
潦	liɔ2	
潭	tʰʊ̃ᵘ̃2	
潮	tʂʰɔ2	
潰	kʰuəɪ5	
潷	piəʔ7	
澀	səʔ7	
澄	tʂʰəŋ2	
澆	tɕiɔ1	
澆	ɕiɔ1	薄
澇	lɔ6	
澎	pʰɔŋ2	
澡	tsɔ3	
澤	tsʰəʔ8	
澪	liŋ2	地名，滸～
澱	tʰĩ6	白讀
澳	ŋɔ5	
激	tɕiəʔ7	
濁	tʂʰuaʔ8	
濃	nɔŋ2	
濕	ʂəʔ7	
濛	mɔŋ2	
濟	tʃɨᶨ5	
濤	tʰɔ2	
濫	lʲɛ̃6	
濱	piŋ1	
濺	tɕĩ5	
濾	lyᶨ6	
瀉	ɕiɑ5	～肚子
瀋	ʂəŋ3	
瀕	piŋ1	
瀰	mɨᶨ2	
灌	kʊ̃ᵘ̃5	
灑	sɑ3	
灘	tʰʲɛ̃1	
灣	ʋʲɛ̃1	
火	xʊ3	
灰	xuəɪ1	
灶	tsɔ5	
灸	tɕiʊ3	
災	tsɛ1	
炊	tʂʰuəɪ1	
炎	ĩ2	
炒	tsʰɔ3	
炕	xã5	
炕	kʰã5	
炤	tʂɔ5	
炭	tʰʲɛ̃5	
炮	pʰɔ5	
炴	ŋã3	
炷	tʂʋ5	
炸	tʂɑ5	
爲	ʋəɪ2	
爲	ʋəɪ6	
烈	liʔ8	
烏	ʋ̩1	
烘	xɔŋ1	
烘	xɔŋ5	
烙	laʔ8	
烤	kʰɔ3	
烹	pʰɔŋ1	
焊	xʊ̃ᵘ̃1	电～
焐	ʋ̩5	
焙	pʰɨᶨ6	白讀
焚	fəŋ2	
無	mʊ2	
無	ʋ̩2	
焦	tɕiɔ1	
焯	tʂʰaʔ7	用滾水燙熟
焰	ĩ5	
然	ɻĩ2	
煇	xuəɪ1	
煉	lĩ6	
煌	xuã2	
煍	tsʰəɪ1	熏
煎	tɕĩ1	
煙	ĩ1	
煞	sʲɛʔ7	
煠	tsʰʲɛʔ8	
煤	məɪ2	
煤	mɨᶨ2	
照	tʂɔ5	
煨	ʋəɪ1	
煩	fʲɛ̃2	
煮	tʂʋ3	
煲	pɔ1	
煸	pĩ1	
熄	ɕiəʔ7	
熊	ɕiɔŋ2	
熏	ɕyŋ1	
熔	iɔŋ2	
熗	tɕʰiã5	
熟	ʂɔʔ8	
熨	yŋ6	
熬	ŋɔ2	
熱	ɻiʔ8	
熾	tʂʰʅ5	
燃	ɻĩ2	
燈	təŋ1	
燉	təŋ5	
燎	liɔ2	
燒	ʂɔ1	
燕	ĩ5	
燙	tʰã5	
燜	məŋ1	
燜	məŋ6	
營	iŋ2	
燥	sɔ5	
燥	tsɔ5	
燦	tsʰʲɛ̃5	
燭	tʂɔʔ7	
燴	xuəɪ6	
燻	ɕyŋ1	
燿	iɔ5	
爆	pɔ5	
爊	ŋɔ1	小火熬煮，～豝肉
爍	ʂaʔ7	
爐	lʋ2	
爛	lʲɛ̃6	
爪	tʂuɑ3	
爬	pʰɑ2	
爭	tsəŋ1	
爵	tɕiaʔ7	
父	fʋ6	
爸	pɑ5	
爹	tiɑ1	
爺	jɨᶨ2	父亲的弟弟
爺	iɑ2	父親
爽	ʂuã3	
爾	ɚ3	
爿	pʲɛ̃5	
爿	pʰʲɛ̃2	同“𤖭”
牀	tʂʰuã2	
牆	tɕʰiã2	
片	pʰĩ5	
版	pʲɛ̃3	
牌	pʰɛ2	
牙	ŋɑ2	
牛	ŋəɪ2	白讀
牛	ȵiʊ2	文讀
牡	mʊ3	
牢	lɔ2	
牧	mɔʔ8	
物	ʋəʔ8	
牲	səŋ1	
牴	tʃɨᶨ3	
特	tʰəʔ8	
牽	tɕʰĩ1	
犀	ʃɨᶨ1	
犁	lɨᶨ2	
犒	kʰɔ5	
犟	tɕiã5	
犟	tɕʰiã6	
犧	ʃɨᶨ1	
犬	tɕʰiʊ̃ᵘ̃3	
犯	fʲɛ̃6	
狀	tʂʰuã6	
狂	kʰuã2	
狐	xʋ2	
狗	kəɪ3	
狠	xəŋ3	
狡	tɕiɔ3	
狸	lɨᶨ2	
狹	xʲɛʔ8	
狹	kʰʲuɛʔ7	促～
狼	lã2	
猖	tʂʰã1	
猛	mɔŋ3	
猜	tsʰɛ1	
猝	tsʰɔʔ7	
猩	ɕiŋ1	
猴	xəɪ2	
猶	iʊ2	
猾	xʲuɛʔ8	
獄	iɔʔ8	
獅	sɿ1	
獎	tɕiã3	
獨	tʰɔʔ8	
獲	xɔʔ8	
獵	liʔ8	
獸	ʂəɪ5	
獻	ɕĩ5	
獼	mɨᶨ2	
玄	ɕiʊ̃ᵘ̃2	
率	liəʔ8	
率	ʂuəʔ7	
率	suɛ5	
玉	iɔʔ7	～皇
玉	ɥyᶨ6	同御
王	ʋã2	
玖	tɕiʊ3	
玩	ʋʲɛ̃2	
玫	məɪ2	
玲	liŋ2	
玻	pʊ1	
珊	sʲɛ̃1	
珍	tʂəŋ1	
珠	tʂʋ1	
班	pʲɛ̃1	
現	ɕĩ6	
球	tɕʰiʊ2	
理	lɨᶨ3	
琯	kʊ̃ᵘ̃3	
琴	tɕʰiŋ2	
琵	pʰɨᶨ2	
琶	pʰɑ2	
瑕	ɕiɑ2	
瑙	nɔ3	
瑚	xʋ2	
瑞	ɻuəɪ5	文讀
瑞	ʂuəɪ6	白讀
瑪	mɑ3	
瑰	kuəɪ1	
璀	tsʰuəɪ3	
璃	lɨᶨ2	
璧	piəʔ7	
環	kʰʲuɛ̃2	
璺	məŋ6	
瓜	kuɑ1	
瓢	pʰiɔ2	
瓣	pʲɛ̃5	
瓤	nã2	
瓤	ɻã2	又音
瓦	ʋɑ3	
瓮	ʋɔŋ5	
瓶	pʰiŋ2	
瓷	tsʰɿ2	
甑	tsəŋ5	
甘	kʊ̃ᵘ̃1	
甚	ʂəŋ6	
甜	tʰĩ2	
生	səŋ1	
產	tsʰʲɛ̃3	
甥	səŋ1	
甦	sʋ1	
用	iɔŋ6	
甩	suɛ3	
甫	pʰʋ3	
甭	pɛ5	
田	tʰĩ2	
由	iʊ2	
甲	kʲɛʔ7	白讀
甲	tɕiɛʔ7	文讀
甲	kʰʲɛʔ7	
申	ʂəŋ1	
男	nʊ̃ᵘ̃2	
甸	tĩ5	同“店”，双～
界	kɑ5	又音
界	kɛ5	白讀
界	tɕiɛ5	文讀
畏	ʋəɪ5	
畔	pʰʊ̃ᵘ̃5	
留	ləɪ2	
畚	fəŋ5	～箕
畜	tsʰɔʔ7	
畜	ɕiɔʔ7	
畝	məɪ3	
畝	mʊ3	又音
畢	piəʔ7	
略	liaʔ8	
番	fʲɛ̃1	
畫	xuɑ6	
畫	ʋɑ6	白讀
異	jɨᶨ6	
當	tã1	
當	tã5	
疆	tɕiã1	
疊	tiʔ7	文讀
疊	tʰiʔ8	白讀
疏	sʋ1	
疑	jɨᶨ2	
疚	tɕiʊ5	
疤	pɑ1	
疫	yəʔ7	
疫	yəʔ8	
疲	pʰɨᶨ2	
疵	tsʰɿ2	
疹	tʂəŋ3	
疼	tʰəŋ2	
疾	tɕʰiəʔ8	
痂	kɑ1	白讀
痂	tɕiɑ1	文讀
病	pʰiŋ6	
症	tʂəŋ5	
痊	tɕʰyĩ2	
痔	tʂʰʅ6	
痕	xəŋ2	
痘	tʰəɪ6	
痛	tʰɔŋ5	
痞	pʰɨᶨ3	
痠	sʊ̃ᵘ̃1	
痢	lɨᶨ6	
痣	tʂʅ5	
痧	ʂɑ1	
痴	tʂʰʅ1	
痺	pɨᶨ5	
瘀	ɥyᶨ1	
瘋	fɔŋ1	
瘍	iã2	
瘟	ʋəŋ1	
瘡	tʂʰuã1	
瘢	pʲɛ̃1	
瘤	ləɪ2	
瘦	səɪ5	
瘧	niaʔ8	
瘮	səŋ5	
瘸	tɕʰyɑ2	
療	liɔ2	
癆	lɔ2	
癌	ŋʲɛ̃2	
癟	piʔ7	
癡	tʂʰʅ1	
癢	iã3	
癩	lɛ6	
癩	lʲɛʔ8	
癬	ɕyĩ3	
癮	iŋ3	
癱	tʰʲɛ̃1	
癸	kuəɪ3	
登	təŋ1	
發	fʲɛʔ7	
白	pʰɔʔ8	
百	pɔʔ7	
皂	tsʰɔ6	
的	tiəʔ7	
的	ti0	
皆	kɛ1	白讀
皆	tɕiɛ1	文讀
皇	xuã2	
皈	kuəɪ1	
皋	kɔ1	地名，如～
皮	pʰɨᶨ2	
皰	pʰɔ5	
皴	tsʰuəŋ1	又音
皴	tɕʰyŋ1	
皵	tɕʰiaʔ7	文讀
皺	tsəɪ5	
皿	miŋ3	
盃	pəɪ1	
盅	tʂɔŋ1	
盆	pʰəŋ2	
盇	kʰʊᵘʔ8	蓋
盈	iŋ2	
益	iəʔ7	
盎	ŋã5	
盒	xʊᵘʔ8	
盔	kʰuəɪ1	
盛	ʂəŋ2	
盛	ʂəŋ6	
盜	tʰɔ6	
盞	tsʲɛ̃3	
盟	mɔŋ2	
盡	tɕʰiŋ6	
監	kʲɛ̃1	白讀
監	kʲɛ̃5	白讀
監	tɕiɛ̃1	文讀
監	tɕiɛ̃5	文讀
盤	pʰʊ̃ᵘ̃2	
盦	ʊᵘʔ7	覆蓋
盧	lʋ2	
盪	tʰã6	
目	mɔʔ8	
盯	tiŋ1	
盲	mã2	
直	tʂʰəʔ8	
相	ɕiã1	
相	ɕiã5	
盹	təŋ3	
盼	pʰʲɛ̃5	
省	səŋ3	
省	ɕiŋ3	
眉	mɨᶨ2	
看	kʰʊ̃ᵘ̃1	
看	kʰʊ̃ᵘ̃5	
真	tʂəŋ1	
眠	mĩ2	
眨	tsʲɛʔ7	
眯	mɨᶨ1	
眯	mɨᶨ3	
眶	kʰuã1	
眷	tɕiʊ̃ᵘ̃5	
眼	ŋʲɛ̃3	
睏	kʰuəŋ5	
睛	tɕiŋ1	
睜	tsəŋ1	
睡	ʂuəɪ5	
督	tɔʔ7	
睦	mɔʔ8	
睬	tsʰɛ3	
睹	tʋ3	
睿	ɻuəɪ6	
瞄	miɔ2	
瞌	kʰʊᵘʔ7	
瞎	xʲɛʔ7	
瞑	miŋ2	
瞞	mʊ̃ᵘ̃2	
瞟	piɔ1	
瞥	pʰiʔ7	
瞧	tɕʰiɔ2	
瞪	təŋ5	
瞬	ʂuəŋ5	
瞭	liɔ3	
矇	mɔŋ2	
矗	tʂʰɔʔ7	
矛	mɔ2	
矢	ʂʅ3	
知	tʂʅ1	
矩	tɕyᶨ3	
矬	tsʰʊ2	
短	tʊ̃ᵘ̃3	
矮	ŋɛ3	
矯	tɕiɔ3	
石	ʂəʔ8	
砂	ʂɑ1	
砌	tʃʰɨᶨ5	
砍	kʰʊ̃ᵘ̃3	
砑	ŋɑ6	凃壓
研	ĩ2	
研	nĩ2	
砟	tʂɑ3	～子
砧	tʂəŋ1	～板
破	pʰʊ5	
砸	tsʲɛʔ7	
硍	kʰəŋ5	身上的污垢
硝	ɕiɔ1	
硫	ləɪ2	
硬	ŋəŋ6	
碉	tiɔ1	
碎	suəɪ5	
碎	ɕyᶨ5	白讀
碑	pəɪ1	
碗	ʊ̃ᵘ̃3	
碘	tĩ3	
碟	tiʔ7	文讀
碟	tʰiʔ8	白讀
碧	piəʔ7	
碩	ʂaʔ7	
碩	ʂuaʔ7	～士
碰	pʰɔŋ5	
碳	tʰʲɛ̃5	
碴	tʂɑ1	
確	kʰaʔ7	白讀
確	tɕʰiaʔ7	文讀
碼	mɑ3	
碾	nĩ3	
磁	tsʰɿ2	
磅	pʰã6	
磊	luəɪ3	
磕	kʰʊᵘʔ7	
磚	tʂʊ̃ᵘ̃1	
磨	mʊ2	
磨	mʊ6	
磷	liŋ2	
磺	xuã2	
礎	tsʰʋ3	
礙	ŋɛ6	
礦	kʰuã5	
礬	fʲɛ̃2	
礵	ʂuã1	
示	tʂʰʅ6	白讀
示	ʂʅ6	
社	sɛ6	文讀
社	ʂɑ6	白讀
祀	sɿ6	做～
祐	iʊ6	
祖	tsʋ3	
祝	tʂɔʔ7	
神	ʂəŋ2	
祠	tsʰɿ2	
祥	tɕʰiã2	
票	pʰiɔ5	
祭	tʃɨᶨ5	
祿	lɔʔ8	
禁	tɕiŋ1	
禁	tɕiŋ5	
禍	xʊ6	
禍	ʊ6	
福	fɔʔ7	
禦	ɥyᶨ6	
禪	tʂʰĩ2	
禮	lɨᶨ3	
禱	tɔ3	
禹	ɥyᶨ3	
禽	tɕʰiŋ2	
禾	xʊ2	
禿	tʰɔʔ7	
秀	ɕəɪ5	
私	sɿ1	
秉	piŋ3	
秋	tɕʰiʊ1	
科	kʰʊ1	
秒	miɔ3	
秘	pɨᶨ5	
租	tsʋ1	
秤	tʂʰəŋ5	
秦	tɕʰiŋ2	
秧	iã1	
移	jɨᶨ2	
稀	ʃɨᶨ1	
稅	ʂuəɪ5	
稈	kʊ̃ᵘ̃3	
程	tʂʰəŋ2	
稍	sɔ1	
稗	pʰɛ6	
稙	tʂəʔ7	
稚	tʂʰʅ6	
稜	ləŋ2	
稟	piŋ3	
稠	tʂʰəɪ2	
稭	kɛ1	
種	tʂɔŋ3	
種	tʂɔŋ5	
稱	tʂʰəŋ1	
稱	tʂʰəŋ5	
稻	tʰɔ6	
稼	kɑ1	白讀
稼	tɕiɑ1	文讀
稽	tʃɨᶨ1	
稿	kɔ3	
穀	kɔʔ7	
積	tɕiəʔ7	
積	tsɿ5	草～
穗	tsʰuəɪ6	文讀
穗	tɕʰyᶨ6	白讀
穨	tʰuəɪ2	
穩	ʋəŋ3	
穫	xuaʔ8	
穰	ɻã2	
穴	ɕiʊʔ8	
究	tɕiʊ1	
穹	kʰɔŋ2	鼓起
穹	tɕʰiɔŋ2	
空	kʰɔŋ1	
空	kʰɔŋ5	
穿	tʂʰʊ̃ᵘ̃1	
突	tʰəʔ8	
窄	tsəʔ7	
窒	tiʔ7	～頭
窒	tʂəʔ7	
窖	kɔ5	
窗	tʂʰuã1	
窘	tɕiɔŋ3	
窟	kʰuəʔ7	
窠	kʰʊ1	
窩	ʊ1	
窪	ʋɑ1	
窮	tɕʰiɔŋ2	
窯	iɔ2	
窺	kʰuəɪ1	
窿	lɔŋ2	
竄	tsʰʊ̃ᵘ̃5	
竅	tɕʰiɔ5	
竊	tɕʰiʔ7	
立	liəʔ8	
站	tsʲɛ̃5	
竟	tɕiŋ5	
章	tʂã1	
竣	tɕyŋ5	
童	tʰɔŋ2	
竭	tɕʰiʔ8	
端	tʊ̃ᵘ̃1	
競	tɕiŋ5	文讀音
競	tɕʰiŋ6	
竹	tʂɔʔ7	
竿	kʊ̃ᵘ̃1	
笆	pɑ1	
笈	tɕʰiəʔ8	
笊	tsɔ3	～籬
笑	ɕiɔ5	
笛	tʰiəʔ8	
笠	liəʔ8	
笡	tɕʰiɑ1	歪斜
笡	tɕʰiɑ5	
符	fʋ2	
笨	pʰəŋ5	又音
笨	pʰəŋ6	
第	tʃʰɨᶨ6	
笸	pʰʊ3	
筆	piəʔ7	
等	təŋ3	
筋	tɕiŋ1	
筍	ɕyŋ3	
筏	fʲɛʔ8	
筐	kʰuã1	
筑	tʂɔʔ7	顛簸
筒	tʰɔŋ3	
答	tʲɛʔ7	
策	tsʰəʔ7	
筵	ĩ2	
筷	kʰuɛ5	
箍	kʋ1	
箏	tsəŋ1	
箕	tʃɨᶨ1	畚～
算	sʊ̃ᵘ̃5	
管	kʲuɛ̃3	文讀
管	kʊ̃ᵘ̃3	白讀
箬	ɻaʔ8	
箭	tɕĩ5	
箱	ɕiã1	
箸	tʂʰʋ6	～笼
節	tɕiʔ7	
範	fʲɛ̃6	
篇	pʰĩ1	
築	tʂɔʔ7	
篝	kəɪ1	
篡	tsʰʲuɛ̃5	
篤	tɔʔ7	
篩	sɛ1	
篱	lɨᶨ2	
篷	pʰɔŋ2	
篾	miʔ8	
簇	tsʰɔʔ7	
簍	ləɪ3	
簡	kʲɛ̃3	白讀
簡	tɕiɛ̃3	
簫	ɕiɔ1	
簸	pʊ3	
簸	pʊ5	
簽	tɕʰĩ1	
簾	lĩ2	
簿	pʰʋ6	
籃	lʲɛ̃2	
籌	tʂʰəɪ2	
籍	tɕʰiəʔ8	
籐	tʰəŋ2	
籠	lɔŋ2	
籠	lɔŋ3	
籤	tɕʰĩ1	
籬	lɨᶨ2	
籮	lʊ2	
米	mɨᶨ3	
籽	tsɿ3	
粉	fəŋ3	
粑	pɑ1	
粒	liəʔ8	
粕	pʰaʔ7	
粗	tsʰʋ1	
粘	nĩ2	
粥	tʂɔʔ7	
粧	tʂuã1	
粱	liã2	
粳	kəŋ1	
糉	tsɔŋ5	
精	tɕiŋ1	
糊	xʋ2	
糊	xʋ6	碎
糏	ɕiʔ7	麪粉
糕	kɔ1	
糖	tʰã2	
糗	tɕʰiʊ3	
糙	tsʰɔ5	
糜	mɨᶨ2	
糝	sʊ̃ᵘ̃3	
糞	fəŋ5	
糟	tsɔ1	
糠	kʰã1	
糧	liã2	
糨	tɕʰiã6	
糯	nʊ6	
糰	tʰʊ̃ᵘ̃2	
系	ʃɨᶨ6	
糾	tɕiʊ1	
紀	tʃɨᶨ5	
約	iaʔ7	
紅	xɔŋ2	
紉	ɻəŋ6	
紋	ʋəŋ2	
納	nʲɛʔ8	
納	nʊᵘʔ8	
紐	ȵiʊ3	
純	ʂuəŋ2	
紗	ʂɑ1	
紙	tʂʅ3	
級	tɕiəʔ7	
紛	fəŋ1	
素	sʋ5	
紡	fã3	
索	saʔ7	
索	səʔ7	
紫	tsɿ3	
紮	tsʲɛʔ7	
累	luəɪ2	～贅
累	luəɪ3	積～
累	luəɪ6	勞～
細	ʃɨᶨ5	
紳	ʂəŋ1	
紹	ʂɔ6	
終	tʂɔŋ1	
絃	ɕĩ2	
組	tsʋ3	
絆	pʊ̃ᵘ̃5	
結	tɕiʔ7	
絕	tɕʰyəʔ8	
絕	tɕʰyiʔ8	
絞	kɔ3	
絞	tɕiɔ3	文讀
絡	laʔ8	
給	kəɪ3	
絨	ɻɔŋ2	
絮	ɕyᶨ5	
統	tʰɔŋ3	
絲	sɿ1	
絹	tɕiʊ̃ᵘ̃5	
綁	pã3	
綑	kʰuəŋ3	
經	tɕiŋ1	
綜	tsɔŋ5	
綠	lɔʔ8	
綢	tʂʰəɪ2	
綫	ɕĩ5	
維	ʋəɪ2	
綱	kã1	
網	ʋã3	
綴	tʂuəɪ5	
綻	tsʰʲɛ̃6	
綿	mĩ2	
緊	tɕiŋ3	
線	ɕĩ5	
緣	iʊ̃ᵘ̃2	
編	pĩ1	
緩	xʊ̃ᵘ̃3	文讀
緬	mĩ3	
緯	ʋəɪ3	
練	lĩ6	
縛	faʔ7	
縣	ɕĩ6	
縫	fɔŋ2	
縫	fɔŋ6	
縮	sɔʔ7	
縯	ĩ3	
縱	tsɔŋ5	
縴	tɕʰĩ5	
總	tsɔŋ3	
績	tɕiəʔ7	
繁	fʲɛ̃2	
繃	pɔŋ1	
繆	miɔ6	姓氏
織	tʂəʔ7	
繕	ʂĩ6	
繙	fʲɛ̃1	
繞	ɻɔ6	
繡	ɕəɪ5	
繩	ʂəŋ2	
繪	xuəɪ6	
繫	tʃɨᶨ5	
繫	ʃɨᶨ6	
繭	tɕĩ3	
繳	tɕiɔ3	
繼	tʃɨᶨ5	
繽	piŋ1	
續	sɔʔ7	
纏	tʂʰĩ2	
纏	tʂʰĩ6	搞不清
纓	iŋ1	
纔	tsʰɛ2	
纖	ɕĩ1	
纜	lʲɛ̃3	
缸	kã1	
缺	tɕʰiʊʔ7	
缽	pʊᵘʔ7	
罈	tʰʊ̃ᵘ̃2	
罐	kʊ̃ᵘ̃5	
罕	xʊ̃ᵘ̃3	
罩	tʂɔ5	
罪	tsʰuəɪ6	
罪	tɕʰyᶨ6	白讀
置	tʂʅ5	
罰	fʲɛʔ8	
署	ʂʋ3	
罵	mɑ6	
罷	pʰɑ6	
羅	lʊ2	
羊	iã2	
美	məɪ3	文讀
美	mɨᶨ3	白讀
羔	kɔ1	
羞	ɕəɪ1	
羣	tɕʰyŋ2	
羣	tɕʰyŋ2	
羨	ɕĩ6	
義	jɨᶨ6	
羹	kəŋ1	
羽	ɥyᶨ3	
翁	ʋɔŋ1	
習	tɕʰiəʔ8	
習	ɕiəʔ8	文讀
翔	tɕʰiã2	
翠	tsʰuəɪ5	
翡	fəɪ3	
翰	xʲɛ̃5	文讀
翰	xʊ̃ᵘ̃5	白讀
翹	tɕʰiɔ5	
翻	fʲɛ̃1	
翼	iəʔ7	
耀	iɔ5	
老	lɔ3	
考	kʰɔ3	
者	tsɛ3	文讀
者	tʂɑ3	白讀
而	ɚ2	
耍	ʂuɑ3	
耐	nɛ6	
耑	tʊ̃ᵘ̃1	
耕	kəŋ1	
耗	xɔ5	
耘	yŋ2	
耙	pʰɑ2	
耳	ɚ3	
耶	iɑ1	
耷	taʔ7	
聆	liŋ2	
聊	liɔ2	
聖	ʂəŋ5	
聘	pʰiŋ5	
聚	tɕʰyᶨ6	
聞	ʋəŋ2	
聯	lĩ2	
聰	tsʰɔŋ1	
聲	ʂəŋ1	
聳	sɔŋ3	
聶	niʔ8	
職	tʂəʔ7	
聽	tʰiŋ5	
聾	lɔŋ2	
肅	sɔʔ7	
肆	sɿ5	
肇	tʂʰɔ6	
肉	ɻɔʔ8	
肋	ləʔ8	
肌	tʃɨᶨ1	
肏	ɻəʔ8	
肖	ʂɔ5	～屬（生肖）
肖	ɕiɔ1	姓
肖	ɕiɔ5	～像
肘	tʂəɪ3	
肚	tʋ3	
肚	tʰʋ6	
肛	kã1	
肝	kʊ̃ᵘ̃1	
股	kʋ3	
肢	tʂʅ1	
肥	fəɪ2	
肩	tɕĩ1	
肪	fã2	
肫	tʂuəŋ1	鴨～
肮	ŋã1	
肯	kʰəŋ3	
育	iɔʔ8	
肴	ɕiɔ2	
肺	fəɪ5	
胃	ʋəɪ5	
背	pəɪ5	
背	pʰɨᶨ6	白讀
胎	tʰɛ1	
胖	pʰã5	
胗	tʂəŋ1	
胚	pʰəɪ1	
胞	pɔ1	
胡	xʋ2	
胡	ʋ̩2	～蜂兒
胯	kʰuɑ5	
胰	jɨᶨ2	
胳	kʲɛʔ7	
胸	ɕiɔŋ1	
能	nəŋ2	
脂	tʂʅ1	～油
脅	ɕiʔ7	
脆	tsʰuəɪ5	
脆	tɕʰyᶨ5	白讀
脈	mɔʔ8	
脊	tɕiəʔ7	
脖	pʰəʔ8	
脣	ʂuəŋ2	
脩	ɕəɪ1	
脫	tʰʊᵘʔ7	
脯	pʰʋ2	
脯	pʰʋ3	
脹	tʂã5	
脾	pʰɨᶨ2	
腆	tʰĩ3	
腌	ĩ1	
腎	ʂəŋ6	
腐	fʋ3	
腔	tɕʰiã1	
腕	ʊ̃ᵘ̃5	
腥	ɕiŋ1	
腦	nɔ3	
腫	tʂɔŋ3	
腮	sɛ1	
腰	iɔ1	
腳	tɕiaʔ7	
腸	tʂʰã2	
腹	fɔʔ7	
腺	ɕĩ5	
腿	tʰuəɪ3	
膀	pã3	
膊	paʔ7	
膏	kɔ1	
膘	piɔ1	
膚	fʋ1	
膜	maʔ8	
膜	mʊ2	
膝	tɕʰiəʔ7	白讀
膝	ɕiəʔ7	
膠	kɔ1	白讀
膠	tɕiɔ1	文讀
膨	pʰɔŋ2	
膩	ȵɨᶨ6	
膻	ʂĩ1	
膽	tʲɛ̃3	
膿	nɔŋ2	
臀	tʰəŋ2	
臂	pɨᶨ5	
臃	iɔŋ1	
臉	lĩ3	
臍	tʃʰɨᶨ2	
臘	lʲɛʔ8	
臟	tsʰã6	
臟	tsã5	
臣	tʂʰəŋ2	
臥	ŋʊ6	
臨	liŋ2	
自	tsʰɿ6	
臭	tʂʰəɪ5	
至	tʂʅ5	
致	tʂʅ5	
臺	tʰɛ2	
臼	tɕʰiʊ6	
舀	iɔ3	
舂	ʂɔŋ1	～瞌睡
舂	ʂɔŋ6	低头，俯身
舅	tɕʰiʊ6	
與	ɥyᶨ3	
興	ɕiŋ1	
興	ɕiŋ5	
舉	tɕyᶨ3	
舊	tɕʰiʊ6	
舌	ʂiʔ8	
舍	sɛ5	文讀
舍	ʂɑ5	白讀
舒	ʂʋ1	
舔	tʰĩ3	
舖	pʰʋ1	
舞	ʋ̩3	
舟	tʂəɪ1	
航	xã2	
般	pʲɛ̃1	文讀，～配
般	pʰʊ̃ᵘ̃2	白讀，一～
舵	tʰʊ6	
舶	pʰɔʔ8	
舷	ɕĩ2	
船	tʂʰʊ̃ᵘ̃2	
艇	tʰiŋ3	
艘	səɪ1	
艙	tsʰã1	
艦	kʰʲɛ̃3	
艮	kəŋ5	
良	liã2	
艱	kʲɛ̃1	白讀
艱	tɕiɛ̃1	文讀
色	səʔ7	
艷	ĩ5	
艾	ŋɛ6	
芋	ɥyᶨ6	
芍	ʂaʔ8	
芒	mã2	
芙	fʋ2	
芝	tʂʅ1	
芡	tɕʰĩ5	
芫	ĩ2	
芬	fəŋ1	
芭	pɑ1	
芯	ɕiŋ1	
花	xuɑ1	
芳	fã1	
芹	tɕʰiŋ2	
芹	tɕʰyŋ2	
芻	tsʰʋ2	
芽	ŋɑ2	
苔	tʰɛ1	
苔	tʰɛ2	
苗	miɔ2	
苜	mɔʔ8	
苞	pɔ1	
苟	kəɪ3	
若	ɻɑ3	
若	ɻaʔ8	
苦	kʰʋ3	
英	iŋ1	
苴	tɕiɑ1	地名，～鎮
苴	tɕĩ1	訛“堅”
茂	mɔ6	
茄	tɕʰiɑ2	
茅	mɔ2	
茉	mʊᵘʔ8	
茗	miŋ2	
茜	tɕʰĩ5	
茫	mã2	
茬	tʂʰɑ2	
茭	kɔ1	白讀
茱	tʂʋ1	
茴	xuəɪ2	
茶	tʂʰɑ2	
茸	ɻɔŋ2	
草	tsʰɔ3	
荐	tɕʰĩ6	
荒	xuã1	
荔	lɨᶨ6	
荷	xʊ2	
荷	xʊ6	
荸	pʰəʔ8	～荠
荽	ɕyᶨ1	白讀
莉	lɨᶨ6	
莊	tʂuã1	
莎	ʂɑ1	
莓	məɪ2	
莖	tɕiŋ1	
