#漢字	音標	解釋
□	ts‘a1	失败，谈～了
緬	miã3	
纜	lã3	
緹	t‘i2	
緞	tuã5	
緩	xuã3	
締	ti5	
縷	ly3	
編	piã1	
緣	yã2	
縫	fəŋ2	
縫	fəŋ5	
纏	tʂ‘ã2	
繽	piⁿ1	
縹	p‘iɑu1	
縮	suə1	
繅	sɑu1	
繚	liɑu2	
繕	ʂã5	
繮	tɕiaŋ1	
繳	tɕiɑu3	
缸	kaŋ1	
缺	tɕ‘yɛ1	
罐	kuã5	
网	vaŋ3	
罔	vaŋ3	
罕	xã3	
羅	luə2	
罰	fa2	
罷	pa5	
罩	tʂɑu5	
罪	tsuei5	
置	tʂʅ5	
署	ʂu3	
羊	iaŋ2	
羌	tɕ‘iaŋ1	
美	mei3	
羔	kɑu1	
羞	ɕiou1	
羡	ɕiã5	
羣	tɕ‘yⁿ2	
羹	kəŋ1	
羽	y3	
翁	vəŋ1	
翅	ts‘ɿ5	
翔	ɕiaŋ2	
翹	tɕ‘iɑu2	
翟	tsai2	
翠	ts‘uei5	
翡	fei3	
翩	p‘iã1	
翰	xã5	
翱	ŋɑu2	
翻	fã1	
耀	iɑu5	
老	lɑu3	
考	k‘ɑu2	
者	tʂʅə3	
而	ɚ3	
耍	sua3	
耕	kəŋ1	
耗	xɑu5	
耙	p‘a2	
耙	pa5	
耬	lou2	
耩	tɕiaŋ3	
耪	p‘aŋ3	
耳	ɚ3	
聳	suŋ3	
恥	tʂ‘ʅ3	
耽	tã1	
耿	kəŋ3	
聶	niɛ5	
聊	liɑu2	
聾	luŋ2	
職	tʂʅ2	
聒	kuə1	
聯	liã2	
聘	p‘iⁿ5	
聰	ts‘uŋ1	
肅	su5	
肄	i5	
肆	sɿ5	
肇	tʂɑu5	
肉	ʐou5	
肋	lei5	
肌	tɕi1	
肓	xuaŋ1	
肖	ɕiɑu1	
肘	tʂou3	
肚	tu3	～子
肚	tu5	
肛	kaŋ1	
肝	kã1	
腸	tʂ‘aŋ2	
股	ku3	
肢	tsɿ1	
肤	fu1	
肥	fei2	
肩	tɕiã1	
肪	faŋ2	
骯	ŋaŋ1	
肯	k‘əⁿ3	
育	y5	
肴	iɑu2	
肺	fei5	
腎	ʂəⁿ1	
腫	tsuŋ3	
脹	tʂaŋ5	
脅	ɕiɛ2	
胃	vei5	
膽	tã3	
背	pei1	
背	pei5	
胖	p‘aŋ5	
胗	tsəⁿ1	
勝	ʂəŋ5	
胞	pɑu1	
胞	p‘ɑu1	
胡	xu2	
朧	luŋ2	
胯	k‘ua5	
胱	kuaŋ1	
胳	kə1	
膠	tɕiɑu1	
胸	ɕiuŋ1	
能	nəŋ2	
脂	tsɿ1	
脆	ts‘uei5	
脉	mai5	
脊	tɕi3	
膾	k‘uai5	
脏	tsaŋ1	
脏	tsaŋ5	内～
臍	tɕ‘i2	
腦	nɑu3	
膿	nəŋ2	
脖	pə2	
腳	tɕiɑu1	
脯	p‘u3	
脫	t‘uə1	
臉	liã3	
脾	p‘i2	
腆	t‘iã3	
臘	la5	
腋	iɛ5	
腌	iã1	
腐	fu3	
腑	fu3	
腔	tɕ‘iaŋ1	
腕	vã5	
腥	ɕiŋ1	
腮	sai1	
腰	iɑu1	
腹	fu5	
膩	ni5	
騰	t‘əŋ2	
腿	t‘uei3	
膀	p‘aŋ1	～肿
膀	p‘aŋ2	
膀	paŋ3	
膈	kə2	
膏	kɑu1	
膘	piɑu1	
膛	t‘aŋ2	
膨	p‘əŋ2	
膳	ʂã5	
膻	ʂã1	
臀	t‘uəⁿ2	
臂	pi5	
臃	iuŋ1	
臊	sɑu1	
臊	sɑu5	
臣	tʂ‘əⁿ2	
自	tsɿ5	
臭	tʂ‘ou5	
臭	ɕiou5	
至	tsɿ5	
致	tʂʅ5	
臼	tɕiou5	
舀	iɑu3	
舅	tɕiou5	
舌	t‘ai1	～胎
舌	ʂʅə2	
舍	ʂʅə3	
舍	ʂʅə5	
舐	sʅ5	
舒	ʂu1	
舔	t‘iã3	
舜	ʂuəⁿ5	
舞	vu3	
舟	tʂou1	
航	xaŋ2	
舫	faŋ3	
般	pã1	
艦	tɕiã5	
艙	ts‘aŋ1	
舵	t‘uə2	
舵	tuə5	
舶	pə2	
船	tʂ‘uã2	
艇	t‘iŋ3	
艘	sou1	
艮	kəⁿ5	
良	liaŋ2	
艱	tɕiã1	
色	sai3	
色	sə5	
艳	iã5	
藝	i5	
艾	ŋai5	
節	tɕiɛ1	
芋	y5	
芍	ʂɑu2	
芒	maŋ2	
芝	tsɿ1	
芥	tɕiai5	
蘆	lu2	
芬	fəⁿ1	
芭	pa1	
花	xua1	
芳	faŋ1	
芹	tɕ‘iⁿ2	
芽	ia2	
葦	vei3	
蒼	ts‘aŋ1	
苏	su1	
苑	yã5	
苒	ʐã3	
苔	t‘ai1	
苔	t‘ai2	
苗	miɑu2	
苛	k‘ə1	
苞	pɑu1	
苟	kou3	
若	ʐuə5	
苦	k‘u3	
苫	ʂã1	
苫	ʂã5	
苯	pəⁿ3	
英	iŋ1	
苶	niɛ2	发～
蘋	piŋ2	
茂	mɑu5	
范	fã5	
茄	tɕ‘iɛ2	
茅	mɑu2	
莖	tɕiŋ1	
茗	miŋ2	
繭	tɕiã3	
茫	maŋ2	
茬	ts‘a2	
茯	fu2	
茴	xuei2	
茵	iⁿ1	
茶	ts‘a2	
茸	ʐuŋ2	
茹	ʐu2	
荆	tɕiŋ1	
草	ts‘ɑu3	
薦	tɕiã5	
荒	xuaŋ1	
荔	li5	
莢	tɕia2	
蕎	tɕ‘iɑu2	
薺	tɕi5	
蕩	taŋ5	
榮	ʐuŋ2	
葷	xuəⁿ1	
熒	iŋ2	
藥	iɑu5	
荷	xə2	
莉	li5	
莘	ɕiⁿ1	
莫	mə5	
蓮	liã2	
萵	və1	
获	xuə5	
瑩	iŋ2	
鶯	iŋ1	
莽	maŋ3	
菁	tɕiŋ1	
菅	tɕiã1	
菇	ku1	
菊	tɕy2	
菌	tɕyⁿ1	
菖	tʂ‘aŋ1	
菜	ts‘ai5	
菠	pə1	
菩	p‘u2	
菱	liŋ2	
菲	fei1	
萄	t‘ɑu2	
萌	məŋ2	
萍	piŋ2	
萎	vei3	
蘿	luə2	
螢	iŋ2	
營	iŋ2	
蕭	ɕiɑu1	
薩	sa5	
落	la5	
葆	pɑu3	
著	tʂu5	
葛	kə3	
董	tuŋ3	
葫	xu2	
葬	tsaŋ5	
葱	ts‘uŋ1	
葵	k‘uei2	
蒂	ti5	
蔣	tɕiaŋ3	
蒙	məŋ1	
蒙	məŋ3	
蒜	suã5	
蒯	k‘uai3	
蒲	p‘u1	
蒸	tʂəŋ1	
蒿	xɑu1	
蓄	ɕy5	
蓉	ʐuŋ2	
蓑	suə1	
蓖	pi5	
藍	lã2	
薊	tɕi5	
蓬	p‘əŋ2	
蔑	miɛ5	
蔓	mã5	
蔓	vã5	瓜～儿
蔗	tʂʅə1	
蔚	vei5	
蔡	ts‘ai5	
蔫	niã1	
蔬	su1	
薔	tɕ‘iaŋ2	
藺	liⁿ5	
蔻	k‘ou5	
藹	ŋai3	
蔽	pi5	
蕉	tɕiɑu1	
蕊	ʐuei3	
蘊	yⁿ5	
蕾	lei3	
薄	pɑu2	
薄	pə5	～荷
薅	xɑu1	
薛	ɕyɛ1	
薯	ʂu3	
藉	tɕi2	
藏	ts‘aŋ2	
藏	tsaŋ5	宝～
藐	miɑu3	
藕	ŋou3	
藤	t‘əŋ2	
藩	fã1	
藻	tsɑu3	
蘖	niɛ5	
蘸	tsã5	
虎	xu3	
虜	lu3	
虐	niɛ5	
虔	tɕ‘iã2	
虛	ɕy1	
蟲	ts‘uŋ2	
虱	sɿ1	
虹	xuŋ2	
虻	məŋ2	
雖	suei1	
蝦	ɕia1	
蝕	sʅ2	
蟻	i5	
螞	ma5	～蚱
蚊	vəⁿ2	
蚌	paŋ5	
蚓	iⁿ3	
蠶	ts‘ã2	
蚜	ia2	
蚣	kuŋ1	
蚤	tsɑu3	
蚪	tou3	
蚯	tɕ‘iou1	
蛀	tʂu5	
蛆	tɕ‘y1	
蛇	ʂʅə2	
蛋	tã5	
蛔	xuei2	
蛛	tʂu1	
蛤	xa2	～蟆
蠻	mã2	
蟄	tʂʅə1	
蛹	iuŋ3	
蛾	ŋə2	
蜀	ʂu3	
蜂	fəŋ1	
蜇	tʂʅə1	
蜈	vu2	
蜓	t‘iŋ2	
蛻	t‘uei5	
蝸	və1	
蜘	tʂʅ1	
蜚	fei1	
蜜	mi5	
蠟	la5	
蜢	məŋ3	
蜻	tɕ‘iŋ1	
蜿	vã1	
蠅	iŋ2	
蟈	kuə1	
蟬	tʂ‘ã2	
蝌	k‘ə1	
蝎	ɕiɛ1	
蝗	xuaŋ2	
蝙	piã1	
蝴	xu2	
蝶	tiɛ2	
螂	laŋ2	
融	ʐuŋ2	
螟	miŋ2	
螳	t‘aŋ2	
螺	luə2	
蟀	suai5	
蟒	maŋ3	
蟹	ɕiɛ5	
蟾	ts‘ã2	
蠢	tʂuəⁿ3	
血	ɕiɛ1	
血	ɕyɛ1	
衅	ɕiⁿ5	
行	xaŋ2	
行	ɕiŋ2	
行	xaŋ5	
銜	ɕiã2	
街	tɕiai1	
衙	ia2	
衡	xəŋ2	
衢	tɕ‘y2	
衣	i1	
補	pu3	
表	piɑu3	
衩	ts‘a3	
衫	sã1	
襯	tʂ‘əⁿ5	
衰	suai1	
衾	tɕ‘iⁿ1	
袁	yã2	
襖	ŋɑu3	
袅	niɑu3	
袋	tai5	
袍	p‘ɑu2	
袒	t‘ã3	
袖	ɕiou5	
袜	va5	
被	pei5	
襲	ɕi2	
裁	ts‘ai2	
裂	liɛ1	～开
裂	liɛ5	
裝	tsuaŋ1	
襠	taŋ1	
裕	y5	
裘	tɕ‘iou2	
裙	tɕ‘yⁿ2	
褲	k‘u5	
裱	piɑu3	
裴	p‘ei2	
裸	luə3	
裹	kuə3	
褂	kua5	
褐	xə5	
褒	pɑu1	
褓	pɑu3	
褚	tʂ‘u3	
褥	ʐu5	
褪	t‘uei5	
褶	tʂʅə1	
襄	ɕiaŋ1	
襟	tɕiⁿ1	
西	ɕi1	
要	iɑu1	
要	iɑu5	
覆	fu5	
見	tɕiã5	
觀	kuã1	
規	kuei1	
覓	mi5	
視	sɿ5	
覽	lã3	
覺	tɕiɑu1	知～
覺	tɕyɛ2	
覺	tɕiɑu5	
角	tɕiɑu3	
解	tɕiɛ3	
觸	ts‘u5	
譽	y5	
謄	t‘əŋ2	
誓	sʅ5	
警	tɕiŋ3	
譬	p‘i5	
計	tɕi5	
訂	tiŋ5	
認	ʐəⁿ5	
譏	tɕi1	
討	t‘ɑu3	
讓	ʐaŋ5	
訓	ɕyⁿ5	
議	i5	
訊	ɕyⁿ5	
記	tɕi5	
講	tɕiaŋ3	
諱	xuei5	
謳	ŋou1	
許	ɕy3	
訛	ŋə2	
論	t‘uəⁿ5	
訟	suŋ5	
諷	fəŋ3	
設	ʂʅə5	
訪	faŋ3	
訣	tɕyɛ2	
证	tʂəŋ5	
評	piŋ2	
識	sʅ2	
詐	tsa5	
訴	su5	
診	tʂəⁿ3	
詆	ti3	
謅	tsou1	
詞	ts‘ɿ2	
誆	k‘uaŋ1	
試	sɿ5	
詩	sɿ1	
誠	tʂ‘əŋ2	
話	xua5	
誕	tã5	
詮	tɕ‘yã2	
詭	kuei3	
詢	ɕyⁿ2	
該	kai1	
詳	ɕiaŋ2	
誣	vu1	
語	y3	
誤	vu5	
誘	iou5	
誨	xuei5	
說	ʂuə1	
誦	suŋ5	
請	tɕ‘iŋ3	
諸	tʂu1	
讀	tu2	
諑	tsuə2	
課	k‘ə5	
諉	vei3	
調	t‘iɑu2	
調	tiɑu5	
諒	liaŋ5	
諄	tʂuəⁿ1	
談	t‘ã2	
謀	mou2	
諜	tiɛ2	
謊	xuaŋ3	
謁	iɛ5	
謂	vei5	
諭	y5	
讒	ts‘ã2	
諦	ti5	
謎	mi2	
謝	ɕiɛ5	
謠	iɑu2	
謗	paŋ5	
謙	tɕ‘iã1	
謹	tɕiⁿ3	
謬	miou5	
譜	p‘u3	
譴	tɕ‘iã3	
谷	ku3	
豁	xə1	～出去
豁	xuə1	
豆	tou5	
豇	tɕiaŋ1	
豉	tʂ‘ʅ3	
豌	vã1	
豚	t‘uəⁿ2	
象	ɕiaŋ5	
豪	xɑu2	
豫	y5	
豹	pɑu5	
豺	ts‘ai2	
貂	tiɑu1	
貌	mɑu5	
貝	pei5	
貞	tʂəⁿ1	
負	fu5	
貢	kuŋ5	
財	ts‘ai2	
責	tsə2	
賢	ɕiã2	
敗	pai5	
貨	xuə5	
質	tʂʅ5	
販	fã5	
貪	t‘ã1	
貧	p‘iⁿ2	
貶	piã3	
購	kou5	
貯	tʂu5	
貫	kuã5	
貳	ɚ5	
賤	tɕiã5	
貼	t‘iɛ1	
貴	kuei5	
貸	tai5	
貿	mɑu5	
費	fei5	
賀	xə5	
賊	tsei2	
賈	tɕia3	
賄	xuei5	
賃	liⁿ5	
賂	lu5	
贓	tsaŋ1	
資	tsɿ1	
賑	tʂəⁿ5	
賒	ʂʅə1	
賦	fu5	
賭	tu3	
贖	su2	
賞	ʂaŋ2	
賜	ts‘ɿ5	
賠	p‘ei2	
賴	lai5	
贅	tsuei5	
賺	tʂuã5	
賽	sai5	
赞	tsã5	
贈	tsəŋ5	
贍	ʂã5	
贏	iŋ2	
赦	ʂʅə5	
赫	xə5	
赭	tʂʅə3	
走	tsou3	
赳	tɕiou1	
赴	fu5	
趙	tʂɑu5	
趕	kã3	
起	tɕ‘i3	
起	xuŋ5	～讧
趁	tʂ‘əⁿ5	
超	tʂ‘ɑu1	
越	yɛ5	
趨	tɕ‘y1	
趟	t‘aŋ5	
趣	tɕ‘y5	
足	tsu2	
趴	p‘a1	
躉	tuəⁿ3	
趾	tsɿ3	
跌	tiɛ1	
跑	p‘ɑu3	
跛	pə3	
距	tɕy5	
跟	kəⁿ1	
跨	k‘ua5	
跩	tsuai3	
路	lu5	
跳	t‘iɑu5	
踐	tɕiã5	
蹺	tɕ‘iɑu1	
跺	tuə5	
踊	iuŋ3	
踏	t‘a1	
踏	t‘a5	
踢	t‘i1	
踩	ts‘ai3	
蹤	tsuŋ1	
踮	tiã3	
踱	tuə2	
踹	ts‘uai5	
蹄	t‘i2	
蹈	tɑu3	
蹑	niɛ5	
蹦	pəŋ5	
蹭	ts‘əŋ5	
蹲	tuəⁿ1	
蹶	tɕyɛ3	
躥	ts‘uã1	
躁	tsɑu5	
躪	liⁿ5	
身	ʂəⁿ1	
躬	kuŋ1	
軀	tɕ‘y1	
躲	tuə3	
躺	t‘aŋ3	
車	tʂ‘ʅə1	
軋	ia5	
軌	kuei3	
軒	ɕyã1	
轉	tʂuã3	
轉	tʂuã5	
輪	t‘uəⁿ2	
軟	ʐuã3	
轟	xuŋ1	
轤	lu2	
軸	tʂou2	
輕	tɕ‘iŋ1	
載	tsai3	
載	tsai5	
轎	tɕiɑu5	
較	tɕiɑu5	
輒	tʂʅə2	
輔	fu3	
輛	liaŋ5	
輦	niã3	
輩	pei5	
輝	xuei1	
輥	kuəⁿ3	
輻	fu1	
輯	tɕi2	
輸	ʂu1	
轅	yã2	
轄	ɕia2	
輾	tʂã3	
轍	tʂʅə2	
辛	ɕiⁿ1	
辜	ku1	
辭	ts‘ɿ2	
辟	p‘i5	
辣	la5	
辨	piã5	
辯	piã5	
辮	piã5	
辰	tʂ‘əⁿ2	
辱	ʐu3	
邊	piã1	
遼	liɑu2	
达	ta2	
迁	tɕ‘iã1	
迂	y1	
迄	tɕ‘i3	
迅	ɕyⁿ5	
過	kə5	～来
過	kuə5	
邁	mai5	
迎	iŋ2	
運	yⁿ5	
近	tɕiⁿ5	
還	xai2	
還	xuã2	
這	tʂʅə5	
進	tɕiⁿ5	
遠	yã3	
違	vei2	
連	liã2	
遲	tʂ‘ʅ2	
迢	t‘iɑu2	
迥	tɕiuŋ1	
迪	ti2	
迫	p‘ai3	～击炮
迫	p‘ə5	
迭	tiɛ2	
迷	mi2	
迸	pəŋ5	
迹	tɕi5	
追	tsuei1	
退	t‘uei5	
送	suŋ5	
適	sʅ5	
逃	t‘ɑu2	
逆	ni5	
選	ɕyã3	
遜	ɕyⁿ5	
透	t‘ou5	
逐	tsu2	
遞	ti5	
途	t‘u2	
逗	tou5	
通	t‘uŋ1	
逛	kuaŋ5	
逝	sʅ5	
逞	tʂ‘əŋ3	
速	su5	
造	tsɑu5	
逢	fəŋ2	
逮	tai3	
逵	k‘uei2	
逸	i5	
邏	luə2	
逼	pi1	
遁	tuəⁿ5	
遇	y5	
遍	piã5	
道	tɑu5	
遺	i2	
遣	tɕ‘iã3	
遥	iɑu2	
遨	ŋɑu2	
遭	tsɑu1	
遮	tʂʅə1	
遵	tsuəⁿ1	
避	pi5	
邀	iɑu1	
邋	la1	
邓	təŋ5	
邢	ɕiŋ2	
邦	paŋ1	
邪	ɕiɛ2	
郵	iou2	
邱	tɕ‘iou1	
邵	ʂɑu5	
鄒	tsou1	
鄰	liⁿ2	
郊	tɕiɑu1	
郎	laŋ2	
鄭	tʂəŋ5	
郝	xɑu3	
郡	tɕyⁿ5	
部	pu5	
郭	kuə1	
都	tu1	
都	tou1	
鄙	pi3	
酉	iou3	
酌	tsuə2	
配	p‘ei5	
酒	tɕiou3	
醞	yⁿ5	
酣	xã1	
酥	su1	
酩	miŋ2	
酪	lɑu5	
酬	tʂ‘ou2	
醬	tɕiaŋ5	
酵	tɕiɑu5	
酷	k‘u5	
酸	suã1	
釀	niaŋ5	
醇	tʂuəⁿ2	
醉	tsuei5	
醋	ts‘u5	
醒	ɕiŋ3	
醭	pu5	
采	ts‘ai3	
釉	iou5	
釋	sʅ5	
里	li3	
重	ts‘uŋ2	
重	tsuŋ5	
野	iɛ3	
量	liaŋ2	
量	liaŋ5	
金	tɕiⁿ1	
釜	fu3	
鉴	tɕiã5	
釓	ka2	
针	tʂəⁿ1	
釘	tiŋ1	
釘	tiŋ5	～钉子
釣	tiɑu5	
釵	ts‘ai1	
鈣	kai5	
鈍	tuəⁿ5	
鈔	tʂ‘ɑu1	
钟	tsuŋ1	
鋼	kaŋ1	
鑰	iɑu5	
欽	tɕ‘iⁿ1	
鉤	kou1	
錢	tɕ‘iã2	
鉗	tɕ‘iã2	
鉢	pə1	
鉞	yɛ5	
鑽	tsuã1	
鑽	tsuã5	
鈾	iou2	
鐵	t‘iɛ1	
鈴	liŋ2	
鑠	ʂuə5	
鉛	tɕ‘iã1	
鉚	mɑu3	
鐸	tuə2	
銬	k‘ɑu5	
鐃	nɑu2	
鐺	tʂ‘əŋ1	
銅	t‘uŋ2	
鍘	tsa2	
鏵	xua2	
鉻	kə5	
銘	miŋ2	
铲	ts‘ã3	
銀	iⁿ2	
鑄	tʂu5	
鋪	p‘u1	～设
鋪	p‘u5	店～
链	liã5	
鏗	k‘əŋ1	
銷	ɕiɑu1	
鎖	suə3	
鋤	tʂ‘u2	
鍋	kuə1	
鏽	ɕiou5	
銼	ts‘uə5	
鋒	fəŋ1	
鋅	ɕiⁿ1	
銳	ʐuei5	
鋃	laŋ2	
錯	ts‘uə5	
錨	mɑu2	
錛	pəⁿ1	
錮	ku5	
鑼	luə2	
錘	ts‘uei2	
錐	tsuei1	
錦	tɕiⁿ3	
鍁	ɕiã1	
錠	tiŋ5	
鋸	tɕy5	
錳	məŋ3	
鍥	tɕ‘iɛ5	
鍬	tɕ‘iɑu1	
鍛	tuã5	
鍍	tu5	
鎂	mei3	
鎮	tʂəⁿ5	
鑷	niɛ5	
鎳	niɛ5	
鎦	liou1	
鎬	kɑu3	
鏡	tɕiŋ5	
鐐	liɑu5	
鐳	lei2	
鐲	tsuə2	
镰	liã2	
長	tʂ‘aŋ2	
長	tʂaŋ3	
門	məⁿ2	
閂	suã1	
閃	ʂã3	
閉	pi5	
問	vəⁿ5	
闖	ts‘uaŋ3	
閏	ʐuəⁿ5	
闲	ɕiã2	
間	tɕiã1	
悶	məⁿ1	～热
悶	məⁿ5	愁～
閘	tsa2	
鬧	nɑu5	
閨	kuei1	
聞	vəⁿ2	
閩	miⁿ3	
閣	kə2	
鬮	tɕiou1	
閱	yɛ5	
閹	iã1	
闡	ts‘ã3	
闊	k‘ə5	
闊	k‘uə5	
隊	tuei5	
阮	ʐuã3	
阱	tɕiŋ3	
防	faŋ2	
陽	iaŋ2	
陰	iⁿ1	
陣	tʂəⁿ5	
階	tɕiɛ1	
阻	tsu3	
附	fu5	
際	tɕi5	
陸	lu5	
隴	luŋ3	
陳	tʂ‘əⁿ2	
陋	lou5	
陌	mə5	
降	ɕiaŋ2	
降	tɕiaŋ5	
限	ɕiã5	
陝	ʂã3	
陛	pi5	
陡	tou3	
院	yã5	
除	tʂ‘u2	
隕	yⁿ3	
險	ɕiã3	
陪	p‘ei2	
陲	ts‘uei2	
陵	liŋ2	
陶	t‘ɑu2	
陷	ɕiã5	
隆	luŋ2	
隨	suei2	
隱	iⁿ3	
隔	kə2	
隘	ŋai5	
隙	ɕi5	
障	tʂaŋ5	
隧	suei5	
隶	li5	
隼	suəⁿ3	
難	nã2	
難	nã5	
雁	iã5	
雄	ɕiuŋ2	
雅	ia3	
集	tɕi2	
雇	ku5	
雌	ts‘ɿ2	
雕	tiɑu1	
雨	y3	
雪	ɕyɛ1	
零	liŋ2	
雷	lei2	
雹	pɑu2	
霧	vu5	
需	ɕy1	
霄	ɕiɑu1	
震	tʂəⁿ5	
霉	mei2	
霍	xuə5	
霜	suaŋ1	
霞	ɕia2	
露	lu5	
露	lou5	
霸	pa5	
青	tɕ‘iŋ1	
靜	tɕiŋ5	
靛	tiã5	
非	fei1	
靠	k‘ɑu5	
靡	mi3	
面	miã5	
革	kə2	
革	kə3	
靴	ɕyɛ1	
鞋	ɕiai2	
鞍	ŋã1	
鞭	piã1	
韌	ʐəⁿ5	
韓	xã2	
韙	vei3	
韜	t‘ɑu1	
韭	tɕiou3	
音	iⁿ1	
韵	yⁿ5	
韶	ʂɑu2	
頁	iɛ5	
頂	tiŋ3	
頃	tɕ‘iŋ3	
項	ɕiaŋ5	
順	ʂuəⁿ5	
须	ɕy1	
頑	vã2	
顧	ku5	
頓	tuəⁿ5	
頒	pã1	
頌	suŋ5	
預	y5	
顱	lu2	
領	liŋ3	
頗	p‘ə1	
頸	tɕiŋ3	
頻	p‘iⁿ2	
頹	t‘uei2	
穎	iŋ3	
顆	k‘ə1	
題	t‘i2	
顏	iã2	
額	ŋə2	
顛	tiã1	
顫	tʂ‘ã5	
風	fəŋ1	
飄	p‘iɑu1	
飛	fei1	
食	sʅ2	
餐	ts‘ã1	
饥	tɕi1	
飩	tuəⁿ5	
飪	ʐəⁿ5	
飯	fã5	
飲	iⁿ3	
飲	iⁿ5	
餞	tɕiã5	
飾	sʅ5	
飽	pɑu3	
飼	sɿ5	
餌	ɚ3	
饒	ʐɑu2	
餉	ɕiaŋ3	
餃	tɕiɑu1	
餅	piŋ3	
餑	pə1	
餓	və5	
餒	nei3	
餡	ɕiã5	
館	kuã2	
饋	k‘uei5	
餿	sou1	
饞	ts‘ã2	
饉	tɕiⁿ3	
饅	mã2	
首	ʂou3	
香	ɕiaŋ1	
馥	fu5	
馨	ɕiⁿ1	
馬	ma3	
馱	t‘uə2	
馴	ɕyⁿ5	
馳	tʂ‘ʅ2	
驅	tɕ‘y1	
駁	pə2	
駛	sɿ3	
駒	tɕy1	
駐	tʂu5	
駝	t‘uə2	
駕	tɕia5	
罵	ma5	
駱	luə5	
駭	xai5	
駢	p‘iã2	
騁	tʂ‘əŋ3	
驗	iã5	
駿	tsuəⁿ5	
騎	tɕ‘i2	
騙	p‘iã5	
騷	sɑu1	
騾	luə2	
驟	tʂou5	
骨	ku3	
骼	kə2	
髓	suei2	
高	kɑu1	
髻	tɕi5	
鬢	piⁿ5	
鬼	kuei3	
魁	k‘uei2	
魂	xuəⁿ2	
魄	p‘ə5	
魏	vei5	
魔	mə2	
魚	y2	
魯	lu3	
鮎	niã2	
鮑	pɑu5	
鮮	ɕiã1	
鯁	kəŋ3	
鰱	liã2	
鯉	li3	
鯊	sa1	
鯽	tɕi3	
鯨	tɕiŋ1	
鰓	sai1	
鰍	tɕ‘iou1	
鰭	tɕ‘i2	
鰥	kuã1	
鰾	piɑu5	
鱉	piɛ1	
鱖	kuei5	
鱗	liⁿ2	
鳥	niɑu3	
鳩	tɕiou1	
雞	tɕi1	
鳶	yã1	
鳴	miŋ2	
鷗	ŋou1	
鴉	ia1	
鴨	ia1	
鴛	yã1	
鴿	kə1	
鸞	luã2	
鴻	xuŋ2	
鵑	tɕyã1	
鵝	ŋə2	
鵡	vu3	
鵲	tɕ‘yɛ1	
鶴	xə5	
鸚	iŋ1	
鷹	iŋ1	
鸛	kuã5	
鹿	lu5	
麝	ʂʅə5	
麥	mai5	
麩	fu1	
麻	ma2	
黃	xuaŋ2	
黍	ʂu3	
黎	li2	
黏	niã2	
黑	xei1	
黔	tɕ‘iã2	
默	mə5	
黛	tai5	
黢	tɕ‘y1	～黑
黯	ŋã5	
鼎	tiŋ3	
鼓	ku3	
鼠	ʂu3	
鼻	pi2	
鼾	xã1	
齁	xou1	
齉	naŋ1	
齊	tɕ‘i2	
齒	ts‘ɿ3	
齡	liŋ2	
齦	iⁿ2	
齲	tɕ‘y3	
龍	luŋ2	
龜	kuei1	
