#漢字	音標	解釋
□	so1	羊膻味
裸	lo3	
裹	kuo3	
褒	pɔ1	
褚	tə3	
褥	nə7	
褪	tʰue2	
褯	tɕʰia2	
襄	ɕiɔŋ1	
襟	tɕin1	
西	se1	
要	iɔ2	重～
要	iɔ3	～求
覆	fu7	
見	tɕiɛn2	
觀	kuɔn1	参～
觀	kuɔn2	道～
規	kue1	
覓	ȵi7	
視	sɿ2	
覽	lan3	
覺	tɕiɔ2	睡～
覺	ko7	知～
角	ko7	
解	kai3	
解	xai3	姓
觸	tʰə7	
言	ȵiɛn2	
譽	i5	
誓	sɿ1	
警	tɕin3	
計	tɕi2	
訂	tin1	
訃	pʰə3	
認	in5	
譏	tɕi1	
討	xɔ3	
讓	lɔŋ5	
訖	tɕi7	
訓	syn5	
議	le5	
訊	sin3	
記	tɕi2	
講	kɔŋ3	
許	ɕi3	
訛	ŋo1	
論	lun5	～语
論	lun5	议～
訟	səŋ5	
諷	fəŋ2	
設	se7	
訪	fɔŋ3	
訣	tɕya7	
证	tin9a	
評	pʰin2	
識	sɿ7	
詐	tsɑ2	
訴	sə5	
診	tin3	
詞	tsʰɿ2	
詔	tia2	
譯	i7	
試	sɿ2	
詩	sɿ1	
誠	tsʰin2	
誅	ku1	
話	fɑ5	
誕	tʰan5	
詭	kue3	
該	kuai1	
詳	ɕiɔŋ2	
誣	vu1	
語	le5	
誤	vu5	
說	ɕya7	
誦	səŋ5	
請	tɕʰiɑŋ3	
諸	ku1	
諾	lo7	
讀	tʰə1	
課	kʰo3	
誰	sue2	
調	tiɔ2	～动
調	tʰiɔ2	
調	tiɔ5	音～
諒	tiɔŋ5	
談	tʰan2	
誼	le5	
謀	mia2	
諜	tʰie7	
謊	fɔŋ3	
諫	liɛn2	
諧	ɕie9a	
謂	ve9a	
諺	iɛn5	
謎	me2	
謝	tɕʰia5	
謠	iɔ2	
謗	pɔŋ5	
謙	tɕʰiɛn1	
謹	tɕin3	
謬	miɔ5	
譚	xan2	
譜	pʰə3	家～
谷	ku7	稻～，峡～
豁	pʰua7	
豆	xia5	
豇	kɔŋ2	
豉	tsɿ2	
豌	uɔn2	
豕	tsʰuo3	
豚	tsʰun2	
象	ɕiɔŋ5	
豪	xɔ2	
豫	i5	
豹	pɔ2	
豺	tsʰuai2	
貂	tiɔ1	
貌	miɔ5	
貝	pe9a	
貞	tin1	
負	fu5	
貢	kuəŋ5	
財	tsʰuai2	
責	tse7	
賢	ɕiɛn2	
敗	pʰai5	
賬	tɔŋ3	
貨	kʰuo2	
質	tsɿ7	
販	fan2	
貪	tʰan1	
貧	pʰin2	
貶	piɛn5	
購	kiɔ5	
貫	kuɔn2	
貳	ʮ5	
賤	tɕʰiɛn5	
貼	tʰie7	
貴	kue2	
貸	tʰuai5	
貿	miɔ5	
費	fue5	
賀	xo5	
賊	tsʰe7	
賈	kɑ3	
賄	fue5	
賃	lin2	
賂	nə2	
贓	tsɔŋ1	
資	tsɿ1	
賒	ɕia1	
賦	fu2	
賭	tə3	
贖	ɕiə7	
賞	ɕiɔŋ3	
賜	se2	
賠	pʰe2	
賴	lai5	
贅	tsue3	
賺	tsʰan5	
賽	suai2	
赞	tsan2	
贈	tsʰan5	
贏	iɑŋ2	
赤	tsʰɿ7	
赦	se2	
赫	xo7	
走	tɕia3	
赴	fu3	
趙	tʰia5	
趕	kuɔn3	
起	tɕʰi3	
趁	tsʰin2	
超	tʰia1	
越	ya7	
趨	tɕʰi1	
趟	tʰɔŋ3	
趣	tsʰe5	
足	tɕio7	
趾	tsɿ3	
躍	iɔ5	
跌	ti7	
跑	pʰɔ2	
距	tɕʰi3	
跟	kiɛn1	
跨	mɑ3	
跪	kʰue3	
路	nə5	
跳	tʰiɔ2	
踐	tɕʰiɛn2	
踏	ta7	
踏	tʰa7	
踢	tʰe7	
蹤	tsəŋ1	
踱	tʰə7	
蹄	tʰe1	
蹑	lie7	
蹭	tsʰan2	
蹲	tun1	
躁	tsɔ2	
身	sin1	
躬	tɕiəŋ1	
躲	to3	
躺	tʰɔŋ3	
車	tʰɑ1	～辆
車	tɕi2	～马炮
軋	tsa7	
軌	kue3	
軒	ɕiɛn1	
轉	tuan2	～螺丝，～圆圈
轉	tuan3	～眼，～送
輪	lun2	
軟	ȵyan3	
轟	fəŋ2	
轟	fəŋ3	
軸	tɕʰiə7	
輕	tɕʰiɑŋ1	
載	tsuai2	～重
載	tsʰuai2	满～
載	tsuai5	年～
轎	tɕʰiɔ5	
較	kɔ3	
輔	pʰə5	
輛	liɔŋ3	
輦	ȵiɛn3	
輩	pe5	
輝	fe1	
輞	mɔŋ3	～川
輜	tsɿ2	
輯	tɕi9a	
輸	fu1	
轅	yan2	
轄	va7	
轍	te7	
辛	sin1	
辭	sɿ2	
辟	pʰe7	
辣	la7	
辨	pʰiɛn5	
辯	pʰiɛn5	
辰	tsʰin2	
辱	nə7	
邊	piɛn1	
遼	liɔ2	
达	tʰa7	
迁	tɕʰiɛn1	
迂	i2	
迅	sun5	
過	kuo1	姓氏
過	kuo2	～来
迎	in2	
運	yn5	
近	tɕʰin5	
還	xai2	副词
還	van2	借～
進	tsin2	
遠	yan3	
違	ve2	
連	tiɛn2	
遲	tsʰɿ2	
迥	tɕiəŋ3	
迫	pʰe7	
述	sue7	
迷	me2	
迹	tse7	
追	tue1	
退	tue2	
送	səŋ2	
適	sɿ7	
逃	xɔ9a	
逆	te9a	
選	ɕyan3	
透	tʰia2	
逐	tʰue7	
遞	tʰe5	
途	tʰə2	
逗	xia9a	
通	tʰəŋ1	
逛	kʰuɔŋ3	
逝	sɿ1	
逞	tʰin3	
速	sə7	
造	tsʰɔ5	
逢	fəŋ2	
逵	kʰue1	
逸	i7	
逼	pe7	
逾	i2	
遁	tun5	
遂	sue3	
遇	le5	
遍	pʰiɛn1	一～
遍	pʰiɛn3	～地
遐	xɑ2	
道	tʰɔ5	
遺	i2	
遣	tɕʰiɛn3	
遭	tsɔ1	
遮	tɑ1	
遵	tsun1	
避	pʰe5	
邀	iɔ1	
邓	xan5	
那	tɕi5	
邦	pɔŋ1	
邪	ɕia2	
郵	iə2	
邵	ɕiɔ5	
鄒	tɕia1	
鄰	tin2	
郁	iə7	
郊	kɔ1	
郎	lɔŋ2	
鄭	tʰin5	
郝	xo7	
郡	tɕyn3	
部	pʰə5	
郭	ko7	
都	tə2	
鄂	ŋo7	
鄙	pe3	
酉	tɕʰiə3	
配	pʰe2	
酒	tɕiə3	
酥	sə1	
酪	lo7	
酬	tɕʰiə2	
醬	tɕiɔŋ2	
酵	xɔ9a	
酷	kʰu7	
酸	suɔn1	
釀	ȵiɔŋ2	
醇	tsʰun2	
醉	tse2	
醋	tsʰə2	
醒	ɕiɑŋ3	
醮	tɕiɔ2	
釉	iə5	
釋	sɿ7	
里	te3	
重	tʰəŋ2	～复
重	tʰəŋ5	
野	ia3	
量	tɔŋ1	
量	tiɔŋ5	
金	tɕin1	
釜	fu5	
鉴	kan3	
针	tin1	
釘	tiɑŋ1	
釣	tiɔ2	
釵	tsʰai1	
鈍	tun5	
鈔	tsʰɔ1	
钟	təŋ1	
鋼	kɔŋ1	
欽	tɕʰin1	
鈞	tɕyn1	
鉤	kiɔ1	
鈀	pʰɑ2	
錢	tɕʰiɛn2	
鉗	tɕʰiɛn2	
鉢	pua7	
鑽	tsuɔn1	动词，～孔
鑽	tsuɔn2	电～
鐵	tʰie7	
鈴	tiɑŋ2	
鉛	tɕʰiɛn1	～笔，注意声调
鐃	lɔ2	
銅	tʰəŋ2	
鍘	tse7	
銘	min2	
鉸	tɕiɔ3	
铲	tsʰan3	
銃	tʰəŋ3	
銀	ȵin2	
鑄	ku2	
鋪	pʰə1	动词
鋪	pʰə2	店～
銷	ɕiɔ1	
鎖	so3	
鋥	tsan1	
鋤	tsʰə5	
鍋	uo2	
鏽	ɕiə2	
銼	tsʰo5	
鋒	fəŋ1	
鐧	tɕiɛn2	
銳	lue5	
錯	tsʰo1	对～
錯	tsʰo7	～杂
錛	pan1	
錫	ɕia7	
錮	ku5	
鑼	lo2	
錘	kʰu2	
錐	tsue3	
錦	tɕin3	
錠	tʰin5	
鍵	tɕʰiɛn5	
鋸	ke2	
鍬	tɕʰiɔ1	
鍛	tʰuɔn5	
鍍	tʰə5	
鎮	tin9a	
鑷	lie7	
鎔	iəŋ2	
鏡	tɕiɑŋ2	
镢	tɕiɔ7	
鐲	tso7	
鐲	tsʰo7	
镰	liɛn2	
鑞	la7	
鑲	ɕiɔŋ1	
長	tʰɔŋ2	～短，白读maŋ24
長	tɔŋ3	生～
門	man2	
閂	suɔn1	
閃	san5	
閉	pe2	
問	viɛn5	
闖	tsʰɔŋ3	
閏	yn5	
闲	xan2	
間	kan1	房～，一～房
悶	man5	
閘	tsa7	
鬧	lɔ5	
閨	kue2	
聞	viɛn3	
閩	min2	
閣	ko7	
鬮	tɕiə1	
閱	ya7	
閹	iɛn1	
閻	iɛn2	
闊	kʰua7	
阜	pʰə3	
隊	tue5	
阮	ȵyan3	
防	fɔŋ3	
陽	iɔŋ2	
陰	in1	
陣	tʰin5	
階	kai2	
阻	tə3	
阿	ɑ1	～哥
阿	o1	～胶
附	fu2	
際	tse9a	
陸	tiə7	
隴	ləŋ3	
陳	tʰin2	
陘	tɕin1	
陋	lia5	
陌	pe7	
降	kɔŋ2	投～
降	kɔŋ3	下～
限	xan5	
陝	san5	
陡	tia3	
院	yan5	
除	kʰu2	
險	ɕiɛn3	
陪	pʰe2	
陵	tin2	
陷	ɕiɛn2	
隆	ləŋ1	
隨	se2	
隱	in3	
隔	kɑ7	
隘	i2	
障	tɔŋ5	
隧	sue3	
隶	tʰe2	
難	lan2	～易
難	i5	～异
雀	tɕʰio7	
雁	ŋan3	
雄	ɕiəŋ2	
雅	ŋɑ3	
集	tsʰe7	
雇	ku2	
雉	tsɿ3	
雌	tsʰɿ2	
雍	iəŋ1	
雛	kʰu2	
雕	tiɔ1	
雨	i3	
雪	ɕya7	
零	tiɑŋ2	
雷	lue2	
雹	pʰo7	
霧	vu5	
霄	ɕiɔ1	
震	tin2	
霉	me2	
霍	xo7	
霜	sɔŋ1	
霞	xɑ2	
露	nə2	
霸	pɑ2	
青	tɕʰiɑŋ1	
靖	tsʰin1	
靜	tsʰin5	
非	fue1	
靠	kʰɔ2	
面	miɛn5	
革	ke7	
靴	ɕio7	
鞋	xai9a	
鞍	ŋuɔn1	
鞭	piɛn1	
韌	in5	
韓	xuɔn2	
韭	tɕiə3	
音	in1	
韵	yn5	
韶	ɕiɔ2	
頁	ie7	
頂	tin3	
頃	tɕʰyn3	
項	xɔŋ5	
順	ɕyn5	
须	se1	鬚，胡～
须	se2	
頑	van2	～皮，～固
顧	ku2	
頓	tun3	
頒	pan1	
頌	səŋ5	
預	i2	
領	tin3	
頗	po1	
頸	tɕiɑŋ3	
頻	pʰin2	
穎	in3	
顏	ŋan2	
額	ŋe7	
顛	tiɛn1	
顫	tia2	
風	fəŋ1	
颼	ɕiɔ1	
飄	pʰiɔ1	
飛	fue1	
食	sɿ7	
餐	tsʰan1	
饥	tɕi1	
飩	tun2	
飯	fan5	
飲	in2	～马
飲	in3	～酒，米汤
餞	tɕʰiɛn5	
飾	sɿ7	
飽	pɔ3	
飼	sɿ2	
飴	i2	
餌	ʮ2	
饒	iɔ2	
餉	ɕiɔŋ3	
餃	tɕiɔ7	
餅	piɑŋ3	
餑	pɔ7	
餓	ŋo5	
餛	fun2	
館	kuɔn3	
餿	ɕia1	
饞	tsʰan2	
饃	mo1	
餾	tiə2	
首	ɕiə3	
香	ɕiɔŋ1	
馬	mɑ3	
馱	to2	拿，～起来
馳	tsʰɿ2	
驅	tɕʰi1	
駁	po7	
驢	le2	
駛	sɿ3	
駒	tɕi1	
駐	kʰu5	
駝	xo2	
駕	kɑ2	
罵	mɑ2	
驕	tɕiɔ1	
駱	lo7	
駭	xai3	
驗	ȵiɛn5	
騎	tɕʰi2	
騙	pʰiɛn2	
騷	sɔ1	
騾	lo2	
驟	tsʰe2	
骨	kue7	
髓	se3	
高	kɔ1	
髻	tɕi1	
鬃	tsəŋ1	
鬏	tɕiə9a	
鬢	pin1	
鬼	kue3	
魁	kue2	
魂	fun2	
魄	pʰɑ7	
魘	iɛn3	
魏	ve5	
魔	mo2	
魚	ŋe2	
魯	nə3	
鮎	tsan1	
鮑	pɔ3	
鮮	ɕiɛn1	新～
鮮	ɕiɛn3	～为人知
鯉	te3	
鯽	tse2	
鯨	tɕin3	
鰓	suai1	
鱉	pie1	
鱔	ɕiɛn5	
鱗	tin2	
鳥	tiɔ9a	
鳩	tɕiə2	
雞	tɕi1	
鳴	min2	
鴉	ŋɑ1	
鸕	nə2	
鴨	ŋa7	
鴿	kua7	
鸞	luɔn5	
鴻	fəŋ2	
鵝	ŋo2	
鵡	vu3	
鵲	tɕʰio7	
鷂	iɔ2	
鶴	xo9a	
鸚	in1	
鷺	nə2	
鷹	in1	
鹿	nə7	
麝	ɕia5	
麥	mɑ7	
麻	mɑ9a	
黃	fɔŋ2	
黎	te2	
黏	ȵiɛn2	～液
黑	xe7	
默	me7	
鼎	tin3	
鼓	ku3	
鼠	fu3	
鼬	iə5	
鼻	pʰe1	
鼾	xuɔn1	
齊	tsʰe2	
齒	tsʰɿ3	
龍	tiəŋ2	
龕	kʰuɔn1	
龜	kue1	
