#漢字	音標	解釋
寺	sɿ5	
尋	sʌŋ2-	
尋	ɕiʌŋ2=	～常：经常
導	tou3	
壽	sʌu5	
封	xuʌŋ1	
射	ɕiɛ5	
將	tɕiɔ1	～来
將	tɕiɔ5	～帅
尊	tsuʌŋ1	
小	ɕiou3	
少	sou3	多～
少	sou5	～年
尔	ɐr3	
尖	tɕiɪ1	
尘	tsʰʌŋ2	
尚	sɔ2	和～
尚	sɔ5	高～
嘗	sɔ2-	
尤	iʌu2	
尥	liou5	
堯	iou2	
就	tsʌu5-	又读
就	tɕiʌu5	
尷	kæ1	
屍	sɿ3	
尹	iʌŋ3	
尺	tsʰəʔ7	
尼	nɿ2	
尽	tɕiʌŋ3	～先
尽	tɕiʌŋ5	～力
尾	zɿ3-	
尾	uɐɪ3=	
尿	niou5	
局	tɕʰyəʔ8-	
局	tɕyəʔ7=	
屁	pʰɿ5	
層	tsʰʌŋ2	
屄	pɿ1	
居	tsu1	
屈	tɕʰyəʔ7	
屉	tʰɿ5	
屆	tɕiɛ5	
屋	uəʔ7	
屎	sɿ3	
屏	pɿ3-	～住气
屏	pʰiʌŋ2=	
展	tɕiɪ3-	舒～：舒服
展	tsæ3=	
屙	ŋɔ1	
屬	suəʔ8	
屠	tʰu2	
屢	lu3	
履	lu3	
屯	tuʌŋ5	
山	sæ1	
歲	su5	
豈	tsʰɿ3	
岐	tsʰɿ2	
岔	tsʰa5	
崗	kɔ1	
島	tou3	
岩	niæ2-	
岩	iæ2=	
岭	liɪ3-	
岭	liʌŋ3=	
岳	iaʔ8-	姓
岳	yəʔ8=	
岸	ŋiɪ5-	
岸	ŋæ5=	
峽	ɕiaʔ7	
峯	xuʌŋ2	
崇	tsʰuʌŋ2	
崔	tsʰuɐɪ1	
崖	niɛ2	
崩	pʌŋ1	
嵋	mɿ2	
嵌	tɕʰiæ5	
嵩	suʌŋ1	
川	tɕʰyɪ1-	四～
川	tsʰuæ1=	
州	tsʌu1	
巡	ɕyʌŋ2	
巢	tsʰou1	
工	kuʌŋ1	
左	tsɔ5	～手
左	tsɔ3=	～右
巧	tɕʰiou3	
巨	tsu5	
鞏	kuʌŋ3	
巫	u5	
差	tɕʰiɛ1-	出～
差	tsʰa1	～错
差	tsʰa5	
差	tsʰɐɪ1=	出～
己	tsɿ3	
已	zɿ3	
巳	sɿ5	
巴	pa1	
巷	xɔ5	
巷	ɕiɔ5=	
巾	tɕiʌŋ1	
幣	pɿ5	
市	sɿ5	
布	pu5	
帥	suɐɪ5	
帆	xuæ2	
師	sɿ1	
希	sɿ1	
帳	tsɔ5	
帖	tʰiəʔ7	～子
帘	liɪ2	
帚	tsu3	
帝	tɿ5	
帶	tɐɪ5	
席	ɕiəʔ8	
幫	puo1	
常	tsʰɔ2	
帽	mou5	
幅	xuəʔ7	
幔	mou5-	
幔	mæ5=	
幕	mu5	
干	kiɪ1	
干	kæ5=	～部
平	pʰɿ2	
平	pʰiʌŋ2=	
年	niɪ2	
并	piʌŋ5	
幸	ɕiʌŋ5	
幺	iou1	
幻	xuæ5	
幼	iʌu5	
幽	iʌu1	
廣	kuo3	
莊	tsuo1	
慶	tɕʰiʌŋ5	
庇	pʰɿ3	
牀	tsʰuo2	
序	su5	
廬	lʌu2	
庫	kʰu5	
應	zɿ2-	答～：应答
應	iʌŋ5=	
底	tɿ3	
店	tiɪ5	
廟	miou5	
庚	kʌŋ3	
府	xu3	
龐	pʰuo2	
廢	xuɐɪ5	
度	tu5	
座	tsuo5	
庭	tʰiʌŋ2	
庵	ŋæ5=	
庶	su5	
康	kʰɔ1	
庸	yʌŋ2	
廉	liɪ2	
廊	lɔ2	
廓	kʰuəʔ7	
廖	liou2	
延	iɪ1	姓
延	iɪ2	～续
廷	tʰiʌŋ2	
建	tɕiɪ5	
開	kʰɐɪ1	
异	zɿ5	
弃	tsʰɿ5	
弄	luʌŋ5	
弊	pɿ5	
式	səʔ7	
弓	kuʌŋ1	
引	iʌŋ3	
弘	xuʌŋ2	
弟	tɿ5	
張	tsɔ1	
弥	mɿ2	
弦	ɕiɪ2	
彎	uæ1	
弱	zəʔ8	
彈	tʰæ2	
彈	tsa5	
彈	tæ5	子～
强	tɕʰiɔ2	～：小孩顽皮
强	tɕʰiɔ3	勉～
弼	piəʔ7	
歸	tsu1-	～化，地名
歸	kuɐɪ1	
當	tɔ1	
當	tɔ5	典～
录	luəʔ8	
形	ɕiʌŋ2	
彩	tsʰɐɪ3	
彪	piou1	
彬	piʌŋ1	
彭	pʰʌŋ2	
影	zɿ5-	～虎子：影子
影	iʌŋ5=	～响
彷	xuo3	～佛
役	zɿ2-	
役	iəʔ7=	
徹	tsʰəʔ7	
彼	pɿ3	
往	iəʔ7-	
往	uo3	
征	tsʌŋ1	
徑	tɕiʌŋ5	
待	tiɛ5-	等～
待	tɐɪ5	
很	xʌŋ3	
律	luəʔ8	
後	xʌu5	
徐	su2	
徒	tʰu2	
得	təʔ7	
御	zu5	
循	ɕyʌŋ2	
微	uɐɪ2	
徵	tsʌŋ1	
德	təʔ7	
徽	xuɐɪ1	
心	ɕiʌŋ1	
必	piəʔ7	
憶	zɿ5	
忌	tsɿ5	
忍	zʌŋ3	
志	tsɿ5	
忘	uo5	
忙	muo2	
忠	tsuʌŋ1	
憂	iʌu1	
快	kʰyɛ5	
念	niɪ5	
忽	xuəʔ7	
忿	xuʌŋ5	
懷	xyɛ2	
態	tʰɐɪ1	
慫	suʌŋ3	
慪	ŋʌu5	
怎	tsa3	
怒	nʌu4	
怕	pʰa5	
怖	pu5	
憐	liɪ2	
思	sɿ1	
怠	tɐɪ5	
急	tɕiəʔ7	
