#漢字	音標	解釋
䘆	ɕya3	～子：蚯蚓
飲	iŋ3	
飽	pau3	
飼	tɕʰi2	～料
餃	tɕiau3	
餅	piŋ3	
餓	ŋu6	
館	kua3	
餿	sɛu1	
饅	ma6	
首	sɛu3	
香	ɕiaŋ1	
馬	mo1	白读
馬	mo3	文读
馳	tɕʰi2	
驅	tɕʰy1	
驅	tɕʰy5	
駁	pu5	
驢	ly2	
駛	sɿ3	
駝	tu2	
駕	ko5	
罵	mo5	
驕	tɕiau1	
驗	ȵia6	
騎	tɕʰi2	
騙	pʰia5	
騷	sau1	
騸	sa5	
骨	kuɛ3	
髓	suəi3	
髓	suəŋ3	又音，骨～
高	kau1	
鬼	kuəi3	
魁	kʰuəi1	
魏	ŋuəi6	老派
魏	uəi6	新派
魔	mo2	～芋
魚	ȵi2	白读
魚	ȵy2	文读
鮮	ɕia1	
鯉	li1	
鯽	tɕi5	
鱅	ɕioŋ2	～鱼
鱔	sa1	
鱗	liŋ2	
鳥	ȵiau3	
鳥	tiau3	性交
雞	kɛi1	白读
雞	tɕi1	文读
鴉	o1	
鴨	a3	
鴿	ku5	
鴻	xoŋ2	
鵝	ŋu2	
鵬	poŋ2	
鷺	lu5	
鷹	iŋ1	
鹿	lu6	
麂	tɕi3	
麓	lu6	
麥	mo6	白读
麥	mɛ6	文读
麻	mo2	
黃	uaŋ2	白读
黃	xuaŋ2	文读
黑	xɛ5	
默	mɛ6	
鼎	tiŋ3	
鼓	ku3	
鼠	ɕy3	
鼻	pi6	
齊	tsʰɛi2	白读
齊	tɕʰi2	文读
齒	tɕʰi3	
齡	liŋ2	
龍	liaŋ2	青～：地名
龍	lioŋ2	
龔	koŋ1	姓
龕	xua3	神～
龜	kuəi1	
