#漢字	音標	解釋
一	il	
癰	ong	
痙	gyeong	
痊	jeon	
痋	chung	
痋	dong	
痌	tong	
痌	dong	
痍	i	
痎	hae	
痏	yu	
痐	hoe	
痑	ta	
痒	yang	
痓	chi	
痔	chi	
痕	heun	
瘂	a	
痗	mae	
痘	du	
痙	gyeong	
痚	hyo	
痛	tong	
痜	dok	
痝	mang	
痞	bi	
痟	so	
痠	san	
痡	bu	
痢	ri(i)	
痣	ji	
痤	jwa	
痥	tal	
痦	o	
痧	sa	
癆	ro(no)	
瘦	su	
瘓	tan	
癇	gan	
痬	yeok	
痭	bung	
痮	jang	
痮	chang	
痯	gwan	
痰	dam	
痱	bi	
痲	ma	
痳	rim(im)	
痴	chi	
痵	gye	
痶	jeon	
痷	am	
痸	che	
痹	bi	
痺	bi	
痻	min	
痼	go	
痽	toe	
痾	a	
痿	wi	
瘀	eo	
瘁	chwe	
瘂	a	
瘃	chok	
瘄	cho	
瘄	jeok	
癉	dan	
癉	da	
瘮	cham	
瘮	sam	
瘇	jong	
瘈	gye	
瘉	yu	
瘊	hu	
瘋	pung	
瘌	ral(nal)	
瘍	yang	
瘍	tang	
瘎	sim	
瘏	do	
瘐	yu	
瘑	gwa	
瘒	on	
瘓	tan	
瘔	go	
瘕	ha	
瘕	ga	
瘖	eum	
瘞	ye	
瘻	ru(nu)	
瘙	so	
瘚	gwol	
瘛	gye	
瘜	sik	
瘝	gwan	
瘞	ye	
瘟	on	
瘠	cheok	
瘡	chang	
瘢	ban	
瘣	oe	
瘤	ryu(yu)	
瘥	chae	
瘥	cha	
瘦	su	
瘧	hak	
瘨	jeon	
瘩	tap	
瘩	dap	
癟	byeol	
癱	tan	
瘬	jang	
瘬	chang	
瘭	pyo	
瘮	cham	
瘮	sam	
瘯	jok	
瘰	ra(na)	
瘱	ye	
瘲	jong	
瘳	chu	
瘴	jang	
瘵	chae	
瘶	su	
瘷	saek	
瘸	ga	
瘹	jo	
瘺	ru(nu)	
瘻	ru(nu)	
瘼	mak	
瘽	geun	
癮	eun	
癭	yeong	
癀	hwang	
癁	bok	
療	ryo(yo)	
療	sak	
癃	ryung(yung)	
癄	cho	
癅	ryu(yu)	
癆	ro(no)	
癇	gan	
癈	pye	
癉	dan	
癉	da	
癊	eum	
癋	hak	
癌	am	
癍	ban	
癎	gan	
癏	hwan	
癏	gwan	
癐	goe	
癑	nong	
癒	yu	
癓	mi	
癓	bi	
癔	eok	
癕	ong	
癖	byeok	
癗	roe(noe)	
癘	ryeo(yeo)	
癘	ra(na)	
癙	seo	
癚	dam	
癛	reum(neum)	
癜	jeon	
癝	reum(neum)	
癩	ra(na)	
癩	ral(nal)	
癟	byeol	
癠	je	
癡	chi	
癢	yang	
癬	seon	
癤	jeol	
癥	jing	
癦	muk	
癧	ryeok(yeok)	
癨	gwak	
癩	ra(na)	
癩	ral(nal)	
癪	jeok	
癲	jeon	
癬	seon	
癭	yeong	
癮	eun	
癯	gu	
癰	ong	
癱	tan	
癲	jeon	
癳	ru(nu)	
癳	ra(na)	
癴	ryeon(yeon)	
癵	ran(nan)	
癵	ryeon(yeon)	
癶	bal	
癷	gan	
癸	gye	
癹	bal	
發	bal	
登	deung	
發	bal	
白	baek	
百	baek	
百	maek	
癿	ga	
皀	geup	
皀	pip	
皀	byeok	
皀	hyang	
皀	jo	
皁	jo	
皂	jo	
皃	mo	
皃	mak	
的	jeok	
皅	pa	
皆	gae	
皇	hwang	
皇	wang	
皈	gwi	
皉	che	
皊	ryeong(yeong)	
皋	go	
皌	mal	
皍	jeuk	
皎	gyo	
皏	paeng	
皋	go	
皚	ae	
皚	ui	
皒	a	
皓	ho	
皔	han	
皕	byeok	
皕	pip	
皕	bi	
皖	hwan	
皗	ju	
皘	cheon	
皙	seok	
皚	ae	
皚	ui	
皛	hyo	
皛	bak	
皜	ho	
皝	hwang	
皞	ho	
皟	chaek	
皠	choe	
皡	ho	
皢	hyo	
皣	yeop	
皤	pa	
皥	ho	
皦	gyo	
皧	ae	
皨	seong	
皩	hwang	
皪	ryeok(yeok)	
皫	pyo	
皬	hak	
皭	jak	
皮	pi	
皯	gan	
皰	po	
皺	chu	
皸	gun	
皳	gu	
皴	jun	
皵	jak	
皶	sa	
皷	go	
皸	gun	
皹	gun	
皺	chu	
皻	sa	
皼	il	
皼	go	
皽	jeon	
皾	dok	
皿	myeong	
盀	gi	
盁	yeong	
盂	u	
盃	bae	
盄	jo	
盅	chung	
盆	bun	
盇	hap	
盇	gal	
盈	yeong	
盉	hwa	
益	ik	
益	il	
盋	bal	
盌	wan	
盍	hap	
盍	gal	
盎	ang	
盞	jan	
鹽	yeom	
監	gam	
盒	hap	
盓	u	
盔	hoe	
盕	beom	
盖	gae	
盖	hap	
盜	do	
盤	ban	
盙	bo	
盚	gu	
盛	seong	
盜	do	
盝	rok(nok)	
盞	jan	
盟	maeng	
盠	ri(i)	
盠	ryeo(yeo)	
盡	jin	
盢	hyeok	
監	gam	
盤	ban	
盥	gwan	
盦	am	
盧	ro(no)	
盨	su	
盩	ju	
盪	tang	
盫	am	
盬	go	
盭	ryeo(yeo)	
目	mok	
盯	jeong	
盰	gan	
盰	cheon	
盱	u	
盲	maeng	
盲	mang	
盳	mang	
盳	maeng	
直	jik	
直	chi	
盵	gi	
盶	won	
盷	jeon	
相	sang	
相	yang	
盹	sun	
盺	heun	
盻	hye	
盼	ban	
盼	bun	
盽	bong	
盾	sun	
盾	don	
盾	yun	
盿	min	
眀	myeong	
省	seong	
省	saeng	
眂	si	
眃	un	
眃	hon	
眄	myeon	
眄	myon	
眅	pan	
眅	ban	
眆	bang	
眇	myo	
眈	tam	
眈	chim	
眉	mi	
眊	mo	
看	gan	
縣	hyeon	
瞘	gu	
眎	si	
眏	ang	
眐	jeong	
眑	yu	
眒	sin	
眓	hwal	
眔	dap	
眕	jin	
眖	hwang	
眗	gu	
眗	hu	
眘	sin	
眙	i	
眙	chi	
眚	saeng	
眛	mae	
眜	mal	
眝	jeo	
眞	jin	
真	jin	
眠	myeon	
眠	min	
眡	jeo	
眡	si	
眢	wan	
眢	won	
眣	jil	
眤	i	
眤	nil(il)	
眥	ja	
眥	je	
眥	ji	
眦	ja	
眦	je	
眦	ji	
眧	cho	
眨	jap	
眩	hyeon	
眩	hwan	
眩	gyeon	
眪	byeong	
眪	bang	
眫	mi	
矓	ryong(yong)	
眭	hyu	
眭	swi	
眭	i	
眮	dong	
眯	mi	
眰	jil	
眱	i	
眲	aek	
眳	myeong	
眴	sun	
眴	hyeon	
眵	chi	
眶	gwang	
眷	gwon	
眸	mo	
眹	jin	
眺	jo	
眻	yang	
眼	an	
眼	eun	
眽	maek	
眾	jung	
眿	maek	
着	chak	
着	jeo	
睜	jeong	
睂	mi	
睃	jun	
睄	cho	
睅	hwan	
睅	han	
睆	hwan	
睆	wan	
睇	je	
睈	jeong	
睉	jwa	
睊	gyeon	
睋	a	
睌	man	
睍	hyeon	
睎	hui	
睏	gon	
睞	rae(nae)	
瞼	geom	
睒	seom	
睓	jeon	
睔	gon	
睔	gwan	
睔	ron(non)	
睔	hon	
睕	wan	
睖	reung(neung)	
睗	seok	
睘	gyeong	
睙	ryeol(yeol)	
睚	ae	
睛	jeong	
睜	jeong	
睝	ri(i)	
睞	rae(nae)	
睟	su	
睠	gwon	
睡	su	
睢	su	
睢	hyu	
督	dok	
睤	bi	
睥	bi	
睦	mok	
睧	hon	
睨	ye	
睩	rok(nok)	
睪	yeok	
睪	taek	
睪	go	
睫	cheop	
睫	seop	
睬	chae	
睭	chu	
睭	ju	
睮	yu	
睯	hon	
睰	mal	
睱	ha	
睱	ga	
睲	seong	
睳	hyu	
睴	gon	
睵	jae	
睵	chae	
睶	chun	
睷	geon	
睸	mi	
睹	do	
睺	hu	
睻	hwon	
睼	je	
睽	gyu	
睽	gye	
睾	go	
睾	ho	
睿	ye	
瞀	mu	
瞁	hyeok	
瞂	beol	
瞃	ol	
瞄	myo	
瞅	chu	
瞶	gwi	
瞶	yu	
瞇	mi	
瞈	ong	
瞉	gu	
瞊	dang	
瞋	jin	
瞌	gap	
瞍	su	
瞍	so	
瞎	hal	
瞏	gyeong	
瞐	mak	
瞑	myeong	
瞑	myeon	
瞒	man	
瞒	mun	
瞓	hun	
瞔	chaek	
瞕	jang	
瞖	ye	
瞗	jo	
瞘	gu	
瞙	mak	
瞚	sun	
瞛	jong	
瞜	ru(nu)	
瞝	ri(i)	
瞞	man	
瞞	mun	
瞟	pyo	
瞠	dang	
瞡	gyu	
瞢	mong	
瞢	maeng	
瞣	hwan	
瞤	sun	
瞤	yun	
瞥	byeol	
瞥	pye	
瞦	hui	
瞧	cho	
瞨	bak	
瞩	chok	
瞪	jing	
瞪	jaeng	
瞪	chaeng	
瞫	sim	
瞬	sun	
瞭	ryo(yo)	
瞮	cheol	
瞯	gan	
瞯	han	
瞰	gam	
瞱	yeop	
瞲	hyul	
瞳	dong	
瞴	mu	
瞵	rin(in)	
瞶	gwi	
瞶	yu	
瞷	han	
瞷	gan	
瞸	yeop	
瞸	hyeop	
瞹	ae	
瞺	hoe	
瞻	cheom	
瞼	geom	
瞽	go	
瞾	jo	
瞿	gu	
矀	mi	
矁	chu	
矂	so	
矃	nyeong(yeong)	
矄	hun	
矅	yo	
矆	hwak	
矇	mong	
矈	myeon	
矉	bin	
矊	myeon	
矋	ryeo(yeo)	
矌	gwang	
矍	hwak	
矎	hyeon	
矏	myeon	
矐	hak	
矑	ro(no)	
矒	mong	
矓	ryong(yong)	
矔	gwan	
矕	man	
矖	ri(i)	
矖	si	
矗	chok	
矘	dang	
矙	gam	
矚	chok	
矛	mo	
矜	geung	
矜	geun	
矜	gwan	
矝	geung	
矞	yul	
矞	hyul	
矟	sak	
矠	saek	
矡	hwak	
矢	si	
矣	ui	
矤	sin	
知	ji	
矦	hu	
矧	sin	
矨	yeong	
矩	gu	
矪	ju	
矯	gyo	
矬	jwa	
短	dan	
矮	wae	
矯	gyo	
矰	jeung	
矱	hwak	
矲	pae	
石	seok	
矴	jeong	
矵	che	
磯	gi	
矷	ja	
矸	an	
矸	gan	
矹	ol	
矺	tak	
矺	chaek	
矻	gol	
矻	gal	
矼	gang	
矼	gong	
矽	seok	
礬	ban	
礬	beon	
礦	gwang	
碭	tang	
碼	ma	
砂	sa	
砃	dan	
砄	gyeol	
砅	rye(ye)	
砆	bu	
砇	min	
砈	na	
砉	hoek	
砊	gang	
砊	hang	
砋	ji	
砌	che	
砍	gam	
砎	gae	
砏	bun	
砐	ap	
砐	eop	
砑	a	
砒	bi	
砓	cheol	
研	yeon	
研	hyeong	
碎	swae	
磚	jeon	
磚	ta	
硨	cha	
硨	geo	
砘	don	
砙	wa	
硯	yeon	
硯	gyeon	
砛	geum	
碸	pung	
砝	geop	
砞	mal	
砟	sa	
砠	jeo	
砠	jo	
砡	ok	
砢	ra(na)	
砣	ta	
砤	ta	
砥	ji	
砦	chae	
砧	chim	
砨	aek	
砩	pye	
砩	bul	
砪	mo	
砫	ju	
砬	rip(ip)	
砭	pyeom	
砮	no	
砯	bing	
砰	paeng	
砱	ryeong(yeong)	
砲	po	
砳	ryeok(yeok)	
破	pa	
破	pi	
砵	bal	
砶	bak	
砷	sin	
砸	jap	
砹	ae	
礪	ryeo(yeo)	
礱	rong(nong)	
砼	dong	
砽	yong	
礫	ryeok(yeok)	
砿	gwang	
礎	chul	
礎	cho	
硜	gaeng	
硜	gyeong	
硂	jeon	
硃	ju	
硄	gwang	
硅	gyu	
硅	goek	
硆	ap	
硆	geup	
硇	nyo(yo)	
硈	hal	
硈	gal	
硉	ryul(yul)	
硊	wi	
硋	ae	
硌	rak(nak)	
硌	ryeok(yeok)	
硍	gan	
硎	hyeong	
硎	gaeng	
硏	yeon	
硏	hyeong	
硐	dong	
硑	paeng	
硑	byeong	
硒	seo	
硓	ro(no)	
硔	hong	
碩	seok	
硤	hyeop	
磽	gyo	
磽	yo	
硘	hoe	
磑	ae	
磑	oe	
磑	ma	
磑	gae	
礄	gyo	
硛	yeok	
硜	gaeng	
硜	gyeong	
硝	cho	
硞	gok	
硟	cheon	
硠	rang(nang)	
硡	goeng	
硢	yeo	
硣	hyo	
硤	hyeop	
硥	mang	
硥	bang	
硦	rong(nong)	
硦	rak(nak)	
硧	yong	
硧	dong	
硨	cha	
硨	geo	
硩	cheok	
硪	a	
硫	ryu(yu)	
硬	gyeong	
硭	mang	
确	hak	
确	hwak	
确	gak	
硯	yeon	
硯	gyeon	
硰	sa	
硱	gon	
硲	gok	
硳	jeok	
硴	hwa	
磠	nyo(yo)	
磠	ro(no)	
硶	jam	
礆	heom	
礆	gam	
礆	eom	
礆	cheom	
硸	hak	
硹	sung	
硺	tak	
硻	gaeng	
硼	bung	
硼	pyeong	
硽	eom	
硾	chu	
硿	gong	
碀	jaeng	
碁	gi	
碂	jong	
碃	cheong	
碄	rim(im)	
碅	gyun	
碆	pa	
碇	jeong	
碈	min	
碉	jo	
碊	jeon	
碋	ha	
碌	rok(nok)	
碌	rak(nak)	
礙	ae	
礙	ui	
碎	swae	
碏	jak	
碐	reung(neung)	
碑	bi	
碒	eum	
碓	dae	
碔	mu	
碕	gi	
碖	ron(non)	
碗	wan	
碘	jeon	
碙	gang	
碚	bae	
磧	jeok	
磣	cham	
磣	chap	
碝	yeon	
碞	am	
碟	seol	
碟	jeop	
碠	jeong	
碡	dok	
碢	ta	
碣	gal	
碤	yeong	
碥	pyeon	
碦	gaek	
碧	byeok	
碨	oe	
碨	wi	
碩	seok	
碪	chim	
碫	dan	
碬	ha	
碭	tang	
碮	je	
碯	noe	
碯	no	
碰	paeng	
鹼	gam	
碲	je	
碳	tan	
碴	sa	
碴	cha	
碵	jeong	
碶	gye	
碷	sun	
碸	pung	
碹	seon	
確	hwak	
碻	hwak	
碻	gyo	
碼	ma	
碽	gong	
碾	nyeon(yeon)	
碿	sol	
磀	aek	
磁	ja	
磂	ryu(yu)	
磃	sa	
磄	dang	
磅	bang	
磆	hwal	
磆	gal	
磇	bi	
磈	oe	
磈	goe	
磉	sang	
磊	roe(noe)	
磋	cha	
磋	ja	
磌	jeon	
磌	jin	
磍	hal	
磎	gye	
磏	ryeom(yeom)	
磐	ban	
磑	ae	
磑	oe	
磑	ma	
磑	gae	
磒	un	
磓	toe	
磔	chaek	
磕	gae	
磕	gal	
磖	rap(nap)	
磗	bu	
磘	yo	
磙	gon	
磚	jeon	
磚	ta	
磛	cham	
磜	che	
磝	o	
磞	paeng	
磟	ryuk(yuk)	
磠	nyo(yo)	
磠	ro(no)	
磡	gam	
磢	chang	
磣	cham	
磣	chap	
磤	eun	
磥	roe(noe)	
磦	pyo	
磧	jeok	
磨	ma	
磩	cheok	
磪	choe	
磫	jong	
磬	gyeong	
磭	sun	
磮	ryun(yun)	
磯	gi	
磰	seon	
磱	ro(no)	
磲	geo	
磳	jeung	
磴	deung	
磵	gan	
磶	seok	
磷	rin(in)	
磸	jeong	
磹	jeom	
磺	gwang	
磺	hwang	
磻	ban	
磻	beon	
磻	pa	
磼	jap	
磼	seop	
磽	gyo	
磽	yo	
磾	je	
磿	ryeok(yeok)	
礀	gan	
礁	cho	
礂	hui	
礃	jang	
礄	gyo	
礅	don	
礆	heom	
礇	uk	
礈	chu	
礉	gyo	
礉	haek	
礊	gyeok	
礊	haek	
礋	taek	
礌	roe(noe)	
礍	gal	
礎	cho	
礏	geup	
礐	gak	
礑	dang	
礒	ui	
礓	gang	
礔	byeok	
礕	byeok	
礖	yeo	
礗	bin	
礘	geup	
礙	ae	
礙	ui	
礚	gae	
礚	gal	
礛	gam	
礜	yeo	
礝	yeon	
礞	mong	
礟	po	
礠	ja	
礡	bak	
礢	yang	
礣	mal	
礤	chal	
礥	hyeon	
礥	heun	
礦	gwang	
礧	roe(noe)	
礨	roe(noe)	
礩	jil	
礪	ryeo(yeo)	
礫	ryeok(yeok)	
礫	rak(nak)	
礬	ban	
礬	beon	
礭	hwak	
礮	po	
礯	yeong	
礰	ryeok(yeok)	
礱	rong(nong)	
礲	rong(nong)	
礳	ma	
礴	bak	
礵	sang	
礶	gwan	
礷	ram(nam)	
礸	chal	
礹	am	
示	si	
示	gi	
示	chi	
礻	si	
礻	gi	
礻	chi	
禮	rye(ye)	
礽	ing	
社	sa	
礿	yak	
祀	sa	
祁	gi	
祂	ya	
禡	ma	
祄	gae	
祅	yo	
祆	cheon	
祆	hyeon	
祇	gi	
祇	ji	
祈	gi	
祈	gwe	
祉	ji	
祊	paeng	
祋	dae	
祌	chung	
祍	im	
禕	ui	
祏	seok	
祐	u	
祑	jil	
祒	cho	
祓	bul	
祓	pye	
祔	bu	
祕	bi	
祕	pil	
祖	jo	
祗	ji	
祗	gi	
祘	san	
祙	mi	
祙	mae	
祚	jo	
祛	geo	
祜	ho	
祝	chuk	
祝	ju	
神	sin	
祟	su	
祠	sa	
祡	si	
祢	ni(i)	
祢	nye(ye)	
祣	ryeo(yeo)	
祤	u	
祥	sang	
祦	o	
祧	jo	
票	pyo	
祩	ju	
祪	gwe	
祫	hyeop	
祬	ji	
祭	je	
祭	chae	
祮	go	
禎	jeong	
祰	go	
祱	se	
祲	chim	
祳	sin	
祴	gae	
祵	gon	
祶	che	
禱	do	
禍	hwa	
祹	do	
祺	gi	
祻	go	
祼	gwan	
祽	chwae	
祾	reung(neung)	
祿	rok(nok)	
禀	pum	
禀	reum(neum)	
禁	geum	
禂	do	
禃	sik	
禄	rok(nok)	
禪	seon	
禆	bi	
禇	jeo	
禈	hwi	
禉	yu	
禊	gye	
禋	in	
禋	yeon	
禌	ja	
禍	hwa	
禎	jeong	
福	bok	
福	bu	
禐	won	
禑	u	
禒	seon	
禓	yang	
禔	je	
禔	ji	
禔	si	
禕	ui	
禖	mae	
禗	sa	
禘	che	
禙	bae	
禚	jak	
禛	jin	
禜	yeong	
禝	jik	
禞	go	
禟	dang	
禠	sa	
禡	ma	
禢	tap	
禣	bu	
禤	hwon	
禥	gi	
禦	eo	
禧	hui	
禨	gi	
禩	sa	
禪	seon	
禫	dam	
禬	hoe	
禭	su	
禮	rye(ye)	
禯	nong	
禰	ni(i)	
禰	nye(ye)	
禱	do	
禲	ryeo(yeo)	
禳	yang	
禴	yak	
禵	je	
禶	chan	
禷	ryu(yu)	
禸	yu	
禹	u	
禺	ong	
禺	u	
离	ri(i)	
离	chi	
禼	seol	
禽	geum	
禾	hwa	
禾	su	
禿	dok	
秀	su	
私	sa	
秂	in	
禿	dok	
秄	ja	
秅	ta	
秆	gan	
秇	ye	
秈	seon	
秉	byeong	
秊	nyeon(yeon)	
秊	nyeong(yeong)	
秋	chu	
秌	chu	
种	chung	
种	jong	
秎	bun	
秏	mo	
秐	un	
科	gwa	
秒	cho	
秒	myo	
秓	ji	
秔	gaeng	
秕	bi	
秖	ji	
秗	eo	
秘	bi	
秘	pil	
秙	go	
秚	ban	
秛	pi	
秜	ni(i)	
秝	ryeok(yeok)	
秞	yu	
租	jo	
租	jeo	
秠	bi	
秡	bal	
秢	ryeong(yeong)	
秣	mal	
秤	ching	
秥	jeom	
秦	jin	
秧	ang	
秨	jak	
秩	jil	
秪	ji	
秫	chul	
秬	geo	
秭	ja	
秮	hwal	
积	jeok	
积	ja	
稱	ching	
秱	dong	
秲	chi	
秲	si	
秳	hwal	
秴	hap	
秴	gap	
秵	in	
秶	ja	
秷	jil	
秸	gal	
秸	gil	
秹	im	
秺	tu	
移	i	
移	chi	
秼	ju	
穢	ye	
穠	nong	
秿	bu	
稀	hui	
稁	go	
稂	rang(nang)	
稃	bu	
稄	cheuk	
稅	se	
稅	tal	
稅	yeol	
稅	su	
稅	tae	
稆	ryeo(yeo)	
稇	gon	
稈	gan	
稉	gaeng	
稊	je	
程	jeong	
稌	do	
稍	cho	
稍	so	
稅	se	
稅	tal	
稅	yeol	
稅	su	
稅	tae	
稏	a	
稐	ryun(yun)	
稑	ryuk(yuk)	
稒	go	
稓	jak	
稔	im	
稕	jun	
稖	bang	
稗	pae	
稘	gi	
稙	jik	
稚	chi	
稛	gyun	
稜	reung(neung)	
稝	paeng	
稞	gwa	
稟	pum	
稟	reum(neum)	
稠	jo	
稠	ju	
稡	jol	
稢	uk	
穌	so	
稤	su	
稤	suk	
稤	ryak(yak)	
稥	hyang	
稦	ui	
稧	seol	
稧	gye	
稨	byeon	
稩	gi	
稪	bok	
稫	byeok	
稬	na	
稭	gae	
稭	gal	
種	jong	
稯	jong	
稰	seo	
稱	ching	
稻	do	
穩	eun	
穩	on	
稴	ryeom(yeom)	
稵	ja	
稶	uk	
稷	jik	
稸	chuk	
稹	jin	
稺	chi	
稻	do	
稼	ga	
稽	gye	
稾	go	
稿	go	
穀	gok	
穀	nu	
穁	yong	
穗	su	
穃	yong	
穄	je	
穅	gang	
穆	mok	
穇	sam	
穈	mi	
穈	mun	
穉	chi	
穊	gi	
穋	ryuk(yuk)	
穌	so	
積	jeok	
積	ja	
穎	yeong	
穩	eun	
穩	on	
穐	chu	
穡	saek	
穒	jo	
穓	ik	
穔	hwang	
穕	cheop	
穖	gi	
穗	su	
穘	hyo	
穙	bok	
穚	gyo	
穛	chak	
穜	dong	
穝	choe	
穭	ryeo(yeo)	
穟	su	
穠	nong	
穡	saek	
穢	ye	
穰	yang	
穤	na	
穥	yeo	
穦	bin	
穧	je	
穨	toe	
穩	on	
穩	eun	
穪	ching	
穫	hwak	
穫	ho	
穬	gwang	
穭	ryeo(yeo)	
穮	pyo	
穯	saek	
穰	yang	
穱	chak	
穲	ri(i)	
穳	chan	
穴	hyeol	
穴	hyul	
穵	al	
究	gu	
窮	gung	
穸	seok	
穹	gung	
空	gong	
穻	u	
穼	sam	
穽	jeong	
穾	yo	
穿	cheon	
窀	dun	
突	dol	
窂	ro(no)	
竊	jeol	
窄	chak	
窅	yo	
窅	myeon	
窆	pyeom	
窇	bak	
窈	yo	
窉	byeong	
窊	wa	
窋	jul	
窌	gyo	
竅	gyu	
窵	jo	
窏	o	
窐	gyu	
窑	yo	
窒	jil	
窓	chang	
窓	chong	
窔	yo	
窕	jo	
窕	yo	
窖	gyo	
窖	jo	
窗	chang	
窗	chong	
窘	gun	
窙	hyo	
窚	seong	
窛	gu	
竄	chan	
窩	wa	
窞	dam	
窟	gul	
窠	gwa	
窡	chwal	
窢	hoek	
窣	sol	
窤	gwan	
窺	gyu	
竇	du	
竇	dok	
窧	tak	
窨	eum	
窩	wa	
窪	wa	
窫	al	
窬	yu	
窬	du	
窶	gu	
窶	ru(nu)	
窮	gung	
窯	yo	
窰	yo	
窱	jo	
窲	ryo(yo)	
窳	yu	
窴	jeon	
窵	jo	
窶	gu	
窶	ru(nu)	
窷	ryo(yo)	
窸	sil	
窹	o	
窺	gyu	
窻	chang	
窼	so	
窽	gwan	
窾	gwan	
窿	ryung(yung)	
竀	taeng	
竁	chwi	
竂	ryo(yo)	
竈	jo	
竄	chan	
竅	gyu	
竆	gung	
竇	du	
竇	dok	
竈	jo	
竉	rong(nong)	
竊	jeol	
立	rip(ip)	
立	wi	
竌	cheo	
竍	sip	
竎	bu	
竏	cheon	
竐	chok	
竑	hoeng	
竒	gi	
竒	ui	
竓	mo	
竔	seung	
竕	bun	
豎	su	
竗	myo	
竘	gu	
站	cham	
竚	jeo	
竛	ryeong(yeong)	
龍	ryong(yong)	
龍	rong(nong)	
龍	mang	
龍	chong	
竝	byeong	
竝	bang	
竝	ban	
競	gyeong	
竟	gyeong	
章	jang	
竡	baek	
竢	sa	
竣	jun	
竣	jeon	
竤	goeng	
童	dong	
童	jong	
竦	song	
竧	jeong	
竧	chin	
竨	jo	
竩	ui	
竪	su	
竫	jeong	
竬	gu	
竭	gal	
竭	geol	
竮	byeong	
竮	bing	
端	dan	
端	cheon	
端	jeon	
竰	ri(i)	
竱	jeon	
竲	jeung	
竳	deung	
竴	jun	
竵	hwa	
競	gyeong	
竷	gam	
竸	gyeong	
竹	juk	
竺	chuk	
竺	dok	
竻	reuk(neuk)	
竼	bong	
竽	u	
竾	ji	
竿	gan	
笀	mang	
笁	chuk	
笁	dok	
笂	hwan	
篤	dok	
笄	gye	
笅	hyo	
笅	gyo	
笆	pa	
笇	san	
笈	geup	
笈	geop	
笉	sin	
笊	jo	
笋	sun	
笌	a	
笍	che	
笍	ye	
笎	won	
笏	hol	
笐	hang	
笐	gang	
笑	so	
笒	geum	
笒	jam	
笒	ham	
笓	bi	
笔	pil	
筧	gyeon	
笖	i	
笗	dong	
笘	jeom	
笘	cheop	
笙	saeng	
笚	gap	
笛	jeok	
笜	jul	
笝	nap	
笞	tae	
笟	go	
笠	rip(ip)	
笡	cha	
笢	min	
笣	po	
笤	so	
笥	sa	
符	bu	
笧	chaek	
笨	bun	
笩	pae	
笪	dal	
笪	dan	
笫	ja	
笫	jin	
笫	je	
第	je	
笭	ryeong(yeong)	
笮	chak	
笮	jak	
笮	cha	
笯	no	
笯	na	
笰	bul	
笱	gu	
笲	byeon	
笲	beon	
笳	ga	
笴	ga	
笴	gan	
笵	beom	
笶	si	
笷	myo	
笸	pa	
笹	se	
箋	jeon	
笻	gong	
籠	rong(nong)	
笽	myeong	
籩	byeon	
笿	rak(nak)	
筀	gye	
筁	gok	
筂	ji	
筃	in	
筄	yo	
筅	seon	
筆	pil	
筇	gong	
筈	gwal	
等	deung	
筊	hyo	
筊	gyo	
筋	geun	
筌	jeon	
筍	sun	
筎	yeo	
筏	beol	
筐	gwang	
筑	chuk	
筒	tong	
筓	gye	
答	dap	
筕	haeng	
策	chaek	
筗	jung	
筘	gu	
筙	roe(noe)	
篳	pil	
篩	sa	
簹	dang	
箏	jaeng	
筞	chaek	
筟	bu	
筠	gyun	
筡	do	
筢	pa	
筣	ri(i)	
筤	rang(nang)	
筥	geo	
筥	ryeo(yeo)	
筦	gwan	
筧	gyeon	
筨	ham	
筩	tong	
筩	yong	
筪	gap	
筫	ji	
筬	seong	
筭	san	
筮	seo	
筯	jeo	
筰	jak	
筰	chak	
筰	cha	
筱	so	
筲	so	
筳	jeong	
筴	hyeop	
筴	chaek	
筵	yeon	
筶	go	
筷	kwae	
筸	gan	
籌	ju	
筺	gwang	
筻	gang	
篔	un	
筽	o	
签	cheom	
篠	so	
簡	gan	
箁	bu	
箂	rae(nae)	
箃	chu	
箄	bi	
箄	pye	
箄	pae	
箅	pye	
箅	bi	
箆	bi	
箇	gae	
箈	ji	
箈	dae	
箈	tae	
箉	goe	
箊	eo	
箋	jeon	
箌	jo	
箍	go	
箎	ho	
箎	ji	
箏	jaeng	
箐	jeong	
箐	cheon	
箐	chang	
箑	sap	
箒	chu	
箓	rok(nok)	
箔	bak	
箕	gi	
箕	che	
箖	rim(im)	
箖	reum(neum)	
算	san	
箘	gyun	
箙	bok	
箚	cha	
箛	go	
箜	gong	
箝	gyeom	
箞	gwon	
箟	gyun	
箠	chu	
管	gwan	
箢	won	
箣	chaek	
箤	jol	
箥	pa	
簀	chaek	
篋	hyeop	
籜	tak	
籮	ra(na)	
簞	dan	
簫	so	
箬	yak	
箭	jeon	
箮	hwon	
箯	pyeon	
箰	sun	
箱	sang	
箲	seon	
箳	byeong	
箴	jam	
箵	seong	
箶	ho	
箷	i	
箸	jeo	
箸	chak	
箹	yak	
箹	yo	
箹	jeok	
箺	jun	
箻	ryul(yul)	
箼	ok	
箽	dong	
箾	so	
箾	sak	
箿	sap	
箿	jip	
節	jeol	
篁	hwang	
篂	seong	
篃	mi	
範	beom	
篅	cheon	
篆	jeon	
篇	pyeon	
篈	bong	
築	chuk	
篊	hong	
篋	hyeop	
篌	hu	
篍	chu	
篎	myo	
篏	gam	
篐	jap	
簣	gwe	
篒	sik	
簍	ru(nu)	
篔	un	
篕	hap	
篖	dang	
篗	hwak	
篘	chu	
篙	go	
篚	bi	
篛	yak	
