#漢字	音標	解釋
㐄	cʰᴀ2	跨
梵	fɐ̃2	
梵	fɐ̃4	～净山
棄	tɕʰi4	
棉	mᵇiɛ̃2	
棋	tɕʰi2	
棗	tsᴀɔ3	
棘	tɕi2	
棧	tsɐ̃4	
棲	tɕʰi1	
棵	cʰɔ1	
棵	cʰɔ3	草～
椁	ɟ̊ɔ2	
椂	l̃ʋ2	
椅	jʱi1	桌～板凳
椅	jʱi3	
植	tsɿᵊ2	
椎	tsuɘi1	
椎	tsʰuɘi2	
椏	jʱᴀ1	
椒	tɕiᴀɔ1	
椰	jʱɛ1	
楂	tsᴀ4	
楉	zɔ2	
楔	tɕʰi4	
楔	ɕiɛ2	
楙	mᵇɘu4	
楚	tsʰʋ3	
楠	l̃ɐ̃2	
楦	çɐ̃4	塞进空腔使之膨大
楦	ɕiɛ̃4	
業	nᵈiᴀ2	～障儿，指脑瘫儿
業	nᵈiɛ2	
極	tɕi2	
楷	cʰɐɛ3	
概	cʰɐɛ4	
榆	jʱi2	
榨	tsᴀ4	
榭	ɕiɛ4	
榴	nᵈiɘu2	
榷	cʰɔ2	
榻	tʰᴀ2	
構	ɟ̊iɘu4	
槌	tsʰuɘi2	
槐	çuɐɛ2	
槨	ɟ̊ɔ2	
槭	tɕi̹u2	
槽	tsʰᴀɔ2	
樂	l̃ɔ2	
樂	jʱɔ2	
樓	l̃ɘu2	
標	b̥iᴀɔ1	
樞	sʋ1	
模	mᵇʋ2	白读
模	mᵇɔ1	～特
模	mᵇɔ2	文读
樵	tɕʰiᴀɔ2	
樸	pʰʋ2	
樹	sʋ4	
樺	çuᴀ2	
橄	ɟ̊ɐ̃3	
橋	tɕʰiᴀɔ2	
橘	tɕi̹u2	
機	tɕi1	
檀	tʰɐ̃2	
檄	ɕi2	
檜	cʰuɐɛ4	
檢	tɕiɛ̃3	
櫃	ɟ̊uɘi4	
櫓	l̃ʋ3	
櫚	l̃ʋ2	
櫨	l̃ʋ2	
欄	l̃ɐ̃2	
權	tɕʰiɛ̃2	
欛	b̥ᴀ4	
欠	tɕʰiɛ̃4	
次	tsʰɿᵊ4	
欸	ɛ1	语气词惊呼，表示感到不可思议
欸	ɲᶡɐɛ3	文读
欺	tɕʰi1	
歇	ɕiɛ2	
歉	tɕʰiɛ̃4	
歌	ɟ̊ɔ1	
歎	tʰɐ̃4	
歐	ɲᶡiɘu1	
歡	çuɐɛ1	～喜，指高兴
止	tsɿᵊ3	
此	tsʰɿᵊ3	
步	b̥ʋ4	
武	vʋ3	
歧	tɕʰi2	
歪	wʱɐɛ1	
歪	wʱɐɛ3	～货
歮	sɛ2	
歰	sɛ2	
歲	suɘi4	
歷	nᵈi2	
歸	ɟ̊uɘi1	
歸	ɟ̊uɘi4	～～也，即杜鹃鸟
歹	d̥ɐɛ3	
歺	ɲᶡɔ2	及“歹”
歺	tsʰɐ̃1	及“餐”
死	sɿᵊ3	
殂	tsʰʋ2	
殆	d̥ɐɛ4	
殊	sʋ1	
殍	pʰiᴀɔ3	
殖	tsɿᵊ2	
殘	tsʰɐ̃2	
殮	nᵈiɛ̃4	
殲	tɕʰiɛ̃1	
段	d̥uɐ̃4	
殺	sᴀ2	
殼	cʰɔ2	
殿	d̥iɛ̃4	
毀	çuɘi3	
毃	cʰɔ1	白读
毃	cʰɔ2	文读
毅	jʱi4	
毆	ɲᶡiɘu1	
毆	ɲᶡiɘu3	～打
毋	vʋ2	
母	mᵇʋ3	
每	mᵇɘi3	
毐	ɲᶡɐɛ3	
毒	d̥ʋ2	
毓	jʱu2	
毓	jʱɘu2	～秀路
比	b̥i3	
比	pʰɘi3	～个较；～一下
毗	b̥i2	～那，即织金
毗	pʰi2	
毗	pʰi3	
毘	pʰi2	
毛	mᵇᴀɔ1	眉～
毛	mᵇᴀɔ2	
毫	çᴀɔ1	～子，指散钱、散票或硬币
毫	çᴀɔ2	
毬	tɕʰiɘu2	
毯	tʰɐ̃3	
毴	pʰi1	
毽	tɕiɛ̃4	
氈	tsɐ̃1	
氏	tsɿᵊ1	大月～
氏	sɿᵊ4	
氙	ɕiɛ̃1	
水	suɘi3	
氾	fɐ̃4	
求	tɕʰiɘu2	
汐	ɕi2	
汗	çɐ̃2	
汗	çɐ̃4	
汝	zʋ3	
池	tsʰɿᵊ2	
污	vʋ1	
汨	mᵇi2	
決	tɕiɛ2	
沂	jʱi2	
沃	ɣɔ2	
沐	mᵇʋ2	
沒	mᵇʋ2	
沒	mᵇᴀ2	辱～
沒	mᵇɛ3	“没得”合音
沒	mᵇɘi1	～得
沒	mᵇɘi3	～有
沓	tʰᴀ2	
沕	mᵇi4	～头；～子
沙	sᴀ1	
沛	pʰɘi4	
沫	mᵇɔ2	
沫	mᵇɘi4	郭～若
沬	mᵇɘi4	
沮	tɕi1	
河	çɔ2	
沸	fʋ2	
油	jʱu2	老～子
油	jʱɘu2	
治	tsɿᵊ4	
沼	tsᴀɔ4	
沾	tsɐ̃1	
沿	jʱɛ̃2	
泅	tɕʰiɘu2	
泉	tɕʰiɛ̃2	
泊	b̥ɛ2	
泊	pʰɛ2	停～
泌	mᵇi2	
泌	b̥ɘi4	人名
法	fᴀ2	
泖	mᵇᴀɔ3	
泛	fɐ̃4	
泝	sʋ4	
泡	pʰᴀ1	即“脬”
泡	pʰᴀɔ1	
泡	pʰᴀɔ4	浸～；水～
波	b̥ɔ1	
泣	ɕi2	
泥	nᵈi2	
注	tsʋ4	
泰	tʰɐɛ4	
泹	d̥ɐ̃3	
洑	fʋ2	
洗	ɕi3	
洛	l̃ɔ2	
洩	ɕiɛ2	～气
洩	ɕiɛ4	
洫	ɕi2	
洲	tsɘu1	
活	çɔ2	
洽	tɕʰiᴀ2	
派	pʰɐɛ4	
流	nᵈiɘu2	
浙	tsɛ2	
浦	pʰʋ3	
浩	çᴀɔ4	
浮	fʋ2	～屠
浮	fɘu2	
浴	jʱu2	
海	çɐɛ3	
浼	mᵇɘi3	
浽	ɕi1	
浽	l̃uɘi3	
消	ɕiᴀɔ1	
涉	sɛ2	
涎	ɕiɛ̃2	
涓	tɕiɛ̃1	
涕	d̥i4	
涪	pʰʋ2	
涯	jʱᴀ2	
涯	ɲᶡɐɛ2	天～海角
涰	tsʰɔ2	
液	jʱi2	
淆	ɕiᴀɔ2	
淇	tɕʰi2	
淈	ɟ̊ʋ3	涮
淑	sʋ2	
淒	tɕʰi1	
淘	tʰᴀɔ2	
淚	l̃uɘi4	
淡	d̥ɐ̃4	
淤	jʱi1	
淬	tsʰuɘi4	
淮	çuɐɛ2	
淵	jʱɛ̃1	
淶	l̃ɐɛ2	
淹	ɲᶡɐ̃1	白读
淹	jʱɛ̃1	文读
淺	tɕʰiɛ̃3	
添	tʰiɛ̃1	
澀	sɛ2	
減	tɕiɛ̃3	
渝	jʱi2	
渠	tɕʰi2	
渠	tɕʰi̹u2	水～
渡	d̥ʋ4	
渣	tsᴀ1	
渤	pʰʋ2	
測	tsʰɛ2	
渲	ɕiɛ̃1	
渴	cʰɔ2	
渺	mᵇiᴀɔ3	
湄	mᵇɘi2	
湊	d̥ɘu4	白读，即“斗”
湊	tsʰɘu4	文读
湑	ɕi3	
湖	fʋ2	
溉	cʰɐɛ4	
源	jʱɛ̃2	
溜	nᵈiɘu1	
溜	nᵈiɘu4	灵活、敏捷
溝	ɟ̊iɘu1	
溢	jʱi2	
溪	tɕʰi1	
溯	sʋ4	
溯	sɔ2	追本～源
溸	sʋ4	
溺	nᵈi2	
溺	nᵈi4	～巴子，指唾沫星子；屙～，指小便
滁	tsʰʋ2	
滅	mᵇiɛ2	
滇	d̥iɛ̃1	
滋	tsɿᵊ1	
滌	d̥i2	
滑	çuᴀ2	
滓	tsɿᵊ3	
滔	tʰᴀɔ1	
滬	fʋ4	
滮	b̥iᴀɔ1	
滯	tsʰɿᵊ4	
滴	d̥i1	～～，拟声词
滴	d̥i2	
滴	d̥i4	娇～～
滷	l̃ʋ3	
滸	fʋ3	
滿	mᵇɐ̃2	文读
漁	jʱi2	
漂	pʰiᴀɔ1	
漂	pʰiᴀɔ4	
漆	tɕʰi2	
漏	l̃ɘu4	
演	jʱɛ̃3	
漚	ɲᶡiɘu4	文读
漢	çɐ̃4	
漤	l̃ɐ̃3	
漫	mᵇɐ̃4	
漱	sʋ4	
漸	tɕiɛ̃4	
潑	b̥ɔ2	活～
潑	pʰɔ2	
潘	pʰɐ̃1	
潛	tɕʰiɛ̃2	～水；～泳；～艇；～江
潛	tɕʰiɛ̃3	
潦	nᵈiᴀɔ2	
潭	tʰɐ̃2	
潮	tsʰᴀɔ2	
潰	cʰuɘi4	
潲	sᴀɔ4	
潷	b̥i2	
潽	pʰʋ2	
澀	sɛ2	
澁	sɛ2	
澆	tɕiᴀɔ1	
澇	l̃ᴀɔ2	
澈	tsʰɛ2	
澡	tsᴀɔ3	
澤	tsʰɛ2	
澱	d̥iɛ̃4	
澹	d̥ɐ̃4	
激	tɕi2	
激	ɟ̊ᴀ2	～动
濁	tsʋ2	
濁	tsʰɔ2	霉～，即倒霉；瞎～～
濇	tɕiᴀ2	～抠、～核桃，即小气
濇	sɛ2	
濕	sɿᵊ2	
濞	b̥i4	
濟	tɕi4	
濤	tʰᴀɔ2	
濫	l̃ɐ̃4	
濮	pʰʋ2	
濯	tsɔ2	
濺	tsɐ̃4	
濾	l̃uɘi4	
瀆	d̥ʋ2	
瀉	ɕiɛ4	
瀑	pʰʋ2	
瀒	sɛ2	
瀘	l̃ʋ2	
瀚	çɐ̃4	
瀝	nᵈi2	
瀣	ɕiɐɛ4	
瀦	tsʋ1	
瀨	l̃ɐɛ4	
瀰	mᵇi2	
灋	fᴀ2	
灑	sᴀ2	～饭
灑	sᴀ3	
灑	suᴀ3	潇～
灕	nᵈi2	
灘	tʰɐ̃1	
火	çɔ3	
灰	çuɘi1	
灶	tsᴀɔ4	
灸	tɕiɘu1	
災	tsɐɛ1	
炅	ɟ̊uɘi4	姓氏
炊	tsʰuɘi1	
炎	jʱɛ̃1	
炒	tsʰᴀɔ3	
炔	cʰuɐɛ3	
炔	ɟ̊uɘi4	姓氏
炙	tsɿᵊ2	
炫	ɕiɛ̃2	
炭	tʰɐ̃4	
炮	pʰᴀɔ2	～制
炮	pʰᴀɔ4	
炸	tsᴀ2	
炸	tsᴀ4	
爲	wʱɘi4	
烈	nᵈiɛ2	
烏	vʋ1	
烙	l̃ᴀ2	油烧～
烙	l̃ɔ2	
烟	jʱɛ̃1	
烤	cʰᴀɔ3	
焉	jʱɛ̃1	
焐	vʋ4	
焙	b̥ɘi4	
焙	pʰɘi2	烘～
無	vʋ2	
無	mᵇɔ2	南～，佛教用语
焦	tɕiᴀɔ1	
焰	jʱɛ̃4	
然	l̃ɐ̃2	～后
然	zɐ̃2	
煉	nᵈiɛ̃4	
煍	tɕʰiɘu1	烟熏
煎	tɕiɛ̃1	
煒	wʱɘi3	
煜	jʱi2	
煞	sᴀ2	
煤	mᵇɘi2	
照	tsᴀɔ4	
煨	wʱɘi1	
煩	fɐ̃2	
煪	tɕʰiɘu1	
煮	tsʋ3	
煲	b̥ᴀɔ3	
煲	b̥ɘu1	～汤
煳	fʋ2	～辣角
煸	b̥iɛ̃3	
煼	tsʰᴀɔ3	
煽	sɐ̃4	
熁	ɕiɛ2	
熄	ɕi2	
熙	ɕi1	
熛	pʰiᴀɔ3	
熟	sʋ2	
熬	ɲᶡᴀɔ1	白读，即“爊”
熬	ɲᶡᴀɔ2	文读
熱	zɛ2	
熹	ɕi1	
熾	tsɿᵊ2	
燁	jʱɛ2	
燃	zɐ̃2	
燎	nᵈiᴀɔ2	
燒	sᴀɔ1	
燕	jʱɛ̃4	
燥	tsʰᴀɔ4	
燥	sᴀɔ4	空～，指头脑清爽
燦	tsʰɐ̃4	
燧	suɘi4	
燭	tsʋ2	
燮	ɕiɛ2	
燲	ɕiɛ2	
爆	b̥ᴀɔ4	
爊	ɲᶡᴀɔ1	
爐	l̃ʋ2	
爕	ɕiɛ2	
爛	l̃ɐ̃4	
爝	tɕiᴀɔ4	
爪	tsuᴀ3	文读
爪	tsᴀɔ3	白读
爬	b̥ᴀ1	白读
爬	pʰᴀ2	文读
爲	wʱɘi2	
爵	tɕiɔ2	
父	fʋ4	
爸	b̥ᴀ2	
爹	d̥iɛ1	
爺	jʱᴀ2	老～车
爺	jʱɛ2	
爻	ɕiᴀɔ2	
爾	ɛ4	沃～玛
爾	ɛ˞3	
牁	ɟ̊ɔ1	
片	pʰi4	鸦～烟；鸦～花
片	pʰiɛ̃1	电影
片	pʰiɛ̃3	白读
片	pʰiɛ̃4	文读
版	b̥ɐ̃3	
牌	pʰɐɛ1	“跳板”游戏中的石子
牌	pʰɐɛ2	
牒	d̥iɛ2	
牘	d̥ʋ2	
牙	jʱᴀ2	
牛	nᵈiɘu2	
牝	pʰi1	
牟	mᵇʋ2	文读
牟	mᵇɔ2	释迦～尼
牠	tʰᴀ1	文读
牠	l̃ᴀ1	白读
牡	mᵇɘu3	
牢	l̃ᴀɔ2	
牦	mᵇᴀɔ2	
牧	mᵇʋ2	
物	vʋ2	
牯	ɟ̊ʋ1	～子，指不懂事的小孩
牯	ɟ̊ʋ3	公牛；犟脾气
牱	ɟ̊ɔ1	
牸	tsɿᵊ4	
特	tʰɛ2	
特	tʰiɛ2	～别
牽	tɕʰiɛ̃1	
犀	ɕi1	
犁	nᵈi2	
犢	d̥ʋ2	
犧	ɕi1	
犬	tɕʰiɛ̃3	
犯	fɐ̃4	
犵	ɟ̊ɛ2	花～狫，即花溪
狄	d̥i2	
狐	fʋ2	
狒	fʋ2	
狗	ɟ̊iɘu3	
狙	tɕi1	
狡	tɕiᴀɔ2	～精，精明狡黠
狡	tɕiᴀɔ3	
狤	tɕi2	
狫	l̃ᴀɔ3	花犵～，即花溪
狸	nᵈi2	
狹	ɕiᴀ2	
猇	ɕiᴀɔ1	
猋	b̥iᴀɔ1	
猜	tsʰɐɛ1	
猝	tsʋ2	
猝	tɕʰi̹u2	仓～
猥	wʱɘi3	
貓	mᵇᴀɔ1	
猬	wʱɘi3	
猴	çiɘu2	
猶	jʱɘu2	
猾	çuᴀ2	
獃	d̥ɐɛ1	
獃	ɲᶡɐɛ2	～板
獄	jʱu2	
獅	sɿᵊ1	
獠	nᵈiᴀɔ2	
獨	d̥ʋ2	
獬	sɐɛ4	
獲	çuɛ2	
獵	nᵈiɛ2	
獸	sɘu4	
獺	tʰᴀ2	
獻	ɕiɛ̃4	
玄	ɕiɛ̃2	
率	nᵈi2	
率	sɔ2	
玉	jʱi2	文读
玉	jʱi4	白读
玍	ɟ̊ɛ2	生～玍；麻～玍；老～玍
玍	ɟ̊ɛ4	生玍～，指生疏；麻玍～；老玍～；～古，指脾气古怪
玖	tɕiɘu3	
玠	ɟ̊ɐɛ4	
玡	jʱɛ2	
玫	mᵇɘi2	
玻	b̥ɔ1	
珀	b̥ɛ2	
珏	tɕiɔ2	
珠	tsʋ1	
班	b̥ɐ̃1	
現	ɕiɛ̃4	
球	tɕʰiɘu2	
理	nᵈi3	
琉	nᵈiɘu2	
琊	jʱɛ2	
琢	tsɔ2	
琵	pʰi2	
琶	pʰᴀ1	
瑋	wʱɘi3	
瑕	ɕiᴀ1	
瑞	suɘi4	
瑟	sɛ2	
瑣	sɔ3	
瑪	mᵇᴀ3	
瑰	ɟ̊uɘi4	
璃	nᵈi2	
璞	pʰʋ2	
璧	b̥i2	
璽	ɕi3	
瓜	ɟ̊uᴀ1	
瓠	fʋ4	
瓢	pʰiᴀɔ2	
瓣	b̥ɐ̃4	
瓦	wʱᴀ3	
瓷	tsʰɿᵊ2	
甘	ɟ̊ɐ̃1	
甜	tʰiɛ̃2	
產	tsʰɐ̃3	
甩	suɐɛ3	
甫	pʰʋ3	
田	tʰiɛ̃2	
由	jʱɘu2	
甲	tɕiᴀ1	指～壳
甲	tɕiᴀ2	
男	l̃ɐ̃2	
甾	tsɐɛ1	
界	ɟ̊ᴀ4	搭～，指谈话内容切中主题
界	ɟ̊ɐɛ4	
畏	wʱɘi3	～缩
畏	wʱɘi4	
畔	pʰɐ̃4	
留	nᵈiɘu2	
畜	tsʰʋ2	牲口；粗语
畜	ɕi̹u2	
畢	b̥i2	
略	nᵈiɔ2	
番	pʰɐ̃1	白读
番	fɐ̃1	文读
畫	çuᴀ4	
畲	sɛ1	
畸	tɕi1	
疊	d̥iɛ2	
疏	sʋ1	
疏	sʋ4	稀～；注～
疑	nᵈi2	
疙	ɟ̊ɛ2	
疚	tɕiɘu4	
疣	jʱɘu2	
疤	b̥ᴀ1	
疥	ɟ̊ɐɛ4	
疨	çᴀ1	嗓子～，即喉咙沙哑
疫	jʱi2	鼠～
疫	jʱu2	
疲	pʰi2	
疵	tsʰɿᵊ2	
疺	fᴀ1	～气，指土气，不时髦
疾	tɕi2	
疿	fɘi4	
痊	tɕʰiɛ̃2	
痔	tsɿᵊ4	
痘	d̥ɘu4	
痞	pʰi3	
痢	nᵈi4	
痣	tsɿᵊ4	
痰	tʰɐ̃2	
痹	pʰi2	
痺	pʰi2	
瘁	tsʰuɘi4	
瘊	ɕiɘu1	
瘊	çiɘu2	
瘕	çᴀ1	～病，喉病
瘙	sᴀɔ1	
瘤	nᵈiɘu1	
瘦	sɘu4	
瘧	nᵈiɔ2	
瘩	d̥ᴀ2	
瘸	tɕʰiɛ2	文读
瘸	ɟ̊uɐɛ2	白读
療	nᵈiᴀɔ2	
癆	l̃ᴀɔ1	干～病
癆	l̃ᴀɔ2	
癆	l̃ᴀɔ4	～药；～死
癌	ɲᶡɐɛ2	
癖	pʰi2	
癟	b̥iᴀ3	白读
癟	b̥iɛ3	文读
癡	tsʰɿᵊ1	
癩	l̃ɐɛ4	
癬	ɕiɛ̃3	
癲	d̥iɛ̃1	
癸	ɟ̊uɘi4	
發	fᴀ2	
白	pʰiᴀ3	～淡
白	b̥ɛ2	
百	b̥ɛ2	
百	b̥ɐɛ3	老～夷，即傣族
皂	tsᴀɔ4	
的	d̥i1	文读
的	d̥i2	目～；～确
的	l̃ɘi1	白读
皆	ɟ̊ɐɛ1	
皈	ɟ̊uɘi1	
皚	ɲᶡɐɛ3	
皮	pʰi2	
皺	tsɘu4	文读
盂	jʱi2	
盃	b̥ɘi1	
益	jʱi2	
盒	çɔ2	
盔	cʰuɘi1	
盜	d̥ᴀɔ4	
盞	tsɐ̃3	
監	tɕiɛ̃1	
監	tɕiɛ̃4	
盤	pʰɐ̃2	
盧	l̃ʋ2	
盬	ɟ̊ʋ3	
目	mᵇʋ2	
直	tsɿᵊ2	
盼	pʰɐ̃4	
眉	mᵇi2	～毛；脑～心，指双眉之间；憨～憨眼；装疯眉翘
眉	mᵇɘi2	
看	cʰɐ̃1	白读
看	cʰɐ̃4	文读
眠	mᵇiɛ̃2	
眥	tsɐɛ4	
眨	tsᴀ2	挤眉～眼
眨	tsᴀ3	
眩	ɕiɛ̃2	
眷	tɕiɛ̃4	
眸	mᵇʋ2	文读
眼	jʱɛ̃3	
睉	tsuɐɛ1	
睚	ɲᶡɐɛ2	
睞	l̃ɐɛ4	
睡	suɘi4	
睢	suɘi1	
睢	çuɘi1	
督	d̥ʋ2	
睦	mᵇʋ2	
睩	l̃ʋ2	
睫	tsᴀ2	眼～毛
睫	tɕiɛ2	
睬	tsʰɐɛ3	
睺	ɕiɘu2	
睿	zuɘi4	
瞄	mᵇiᴀɔ1	白读
瞄	mᵇiᴀɔ2	文读
瞅	tsʰɘu3	
瞇	mᵇi1	
瞌	cʰɔ2	
瞎	ɕiᴀ2	
瞖	jʱi4	
瞘	cʰiɘu1	
瞞	mᵇɐ̃2	
瞟	pʰiᴀɔ3	
瞥	pʰiɛ2	
瞧	tɕʰiᴀɔ2	
瞭	nᵈiᴀɔ2	
瞭	nᵈiᴀɔ3	
瞰	cʰɐ̃1	
瞻	tsɐ̃1	
瞿	tɕʰi2	
矁	tɕʰiɔ1	～一眼
矍	tɕiɔ2	
矗	tsʰʋ3	
矛	mᵇᴀɔ2	
矢	sɿᵊ3	
矣	jʱi3	
知	tsɿᵊ1	
矩	tɕi3	
矬	d̥ɔ2	矮～～，蔑称，指矮子
矬	tsʰɔ4	
短	d̥uɐ̃3	
矮	ɲᶡɐɛ3	
矯	tɕiᴀɔ1	～枉过正
矯	tɕiᴀɔ3	
石	sɿᵊ1	霉～烂冚
石	sɿᵊ2	
砂	sᴀ1	
砌	tɕʰi4	
砍	cʰɐ̃3	
砑	ɲᶡᴀ4	白读
砑	jʱᴀ4	文读
砒	pʰi1	
研	nᵈiɛ̃1	
砣	tʰɔ2	
破	pʰɔ4	
砸	tsᴀ2	文读
砸	tsuᴀ2	～药罐；～丢
硃	tsʋ1	
硌	ɟ̊ɛ1	～硬
硌	ɟ̊ɛ2	
硒	ɕi1	
磑	ɲᶡɛ2	～墨
硝	ɕiᴀɔ1	
硤	ɕiᴀ2	
硫	nᵈiɘu2	
硯	nᵈiɛ̃4	
硯	jʱɛ̃4	～台
碎	tsʰuɘi4	～花
碎	suɘi4	
碑	b̥ɘi1	
碓	d̥uɘi4	
碗	wʱᴀ3	～儿糕
碘	d̥iɛ̃3	
碚	b̥ɘi4	
碟	d̥iɛ2	
碧	b̥i2	
碩	sɔ2	
碳	tʰɐ̃4	
碴	tsᴀ1	
確	cʰɔ2	～得定，表示能完成；～不定，表示不能完成
確	tɕʰiɔ2	
碼	mᵇᴀ3	
碾	nᵈiɛ̃3	
磁	tsʰɿᵊ2	
磇	pʰi1	
磐	pʰɐ̃2	
磑	ɲᶡɐɛ2	
磕	cʰɔ2	
磨	mᵇɔ1	～时间
磨	mᵇɔ2	
磨	mᵇɔ4	推～杠
磲	tɕʰi2	
礙	ɲᶡɐɛ4	
礫	nᵈi2	
示	sɿᵊ4	
社	sɛ4	
祀	sɿᵊ4	
祁	tɕʰi2	
祂	tʰᴀ1	文读
祂	l̃ᴀ1	白读
祈	tɕʰi2	
祉	tsɿᵊ3	
祐	jʱɘu4	
祕	b̥ɘi4	
祖	tsʋ3	
祝	tsʋ2	
祟	suɘi4	
祠	tsʰɿᵊ2	
祠	sɿᵊ4	阳明～
祧	tʰᴀɔ2	～屋，即堂屋
票	pʰiᴀɔ4	
祭	tɕi4	
祿	l̃ʋ2	
禍	çɔ4	
福	fʋ2	
禕	jʱi1	
禦	jʱi4	
禧	ɕi1	
禪	sɐ̃2	
禮	nᵈi3	
禱	d̥ᴀɔ3	
禹	jʱi3	
禺	jʱi2	
禾	çɔ2	
禿	tʰʋ2	
秀	ɕiɘu4	
私	sɿᵊ1	
秋	tɕʰiɘu1	
科	cʰɔ1	
秒	mᵇiᴀɔ3	
秕	pʰiɛ4	
秘	mᵇi2	神～
秘	b̥ɘi4	
租	tsʋ1	
秩	tsʰɿᵊ2	
秩	tsʰɿᵊ4	～序
秸	tɕiɛ2	
移	jʱi2	
稀	ɕi1	
稅	suɘi4	
稆	l̃uɘi3	
稍	sᴀɔ1	
稗	b̥ɐɛ4	
稚	tsɿᵊ4	
稠	tsʰɘu2	
稭	ɟ̊ɐɛ1	
稷	tɕi2	
稻	d̥ᴀɔ4	
稼	tɕiᴀ1	
稽	tɕi1	
稿	ɟ̊ᴀɔ3	
穀	ɟ̊ʋ2	
穗	çuɘi4	
穆	mᵇʋ2	
積	tɕi2	
穗	çuɘi4	
穟	çuɘi4	
穢	çuɘi4	
穫	çuɛ2	
穴	ɕiɛ2	
究	tɕiɘu4	
突	tʰʋ2	
窄	tsɛ2	
窈	jʱᴀɔ3	
窒	tsɿᵊ2	
窒	tsɿᵊ4	
窕	tʰiᴀɔ3	
窖	ɟ̊ᴀɔ4	
窟	cʰʋ2	
窠	cʰɔ1	
窣	sɔ1	
窩	ɣɔ1	
窪	wʱᴀ1	山～～，即山谷
窪	wʱᴀ4	
窯	jʱᴀɔ2	
窸	ɕi1	
窺	cʰuɘi3	
立	nᵈi2	
站	tsɐ̃4	
竭	tɕiɛ2	
端	d̥uɐ̃1	
竹	tsʋ2	
竿	ɟ̊ɐ̃1	
笆	b̥ᴀ1	
笊	tsᴀɔ4	
笑	ɕiᴀɔ4	
笛	d̥i2	
笡	tsʰɛ4	
符	fʋ2	
第	d̥i4	
笸	b̥ɔ3	
筆	b̥i2	
筏	pʰᴀ2	
筑	tsʋ2	贵阳城别称
答	d̥ᴀ2	
策	tsʰɛ2	
筲	sᴀɔ1	
筵	jʱɛ̃4	
筷	cʰuɐɛ4	
箄	b̥i4	
箇	ɟ̊ɔ2	～人；～旧
箇	ɟ̊ɔ4	
箇	ɟ̊ɛ1	～老子
箋	tɕʰiɛ̃1	
箍	ɟ̊ʋ2	金～棒
箍	cʰʋ1	
箬	zɔ2	
箭	tɕiɛ̃4	
箸	tsʋ4	
箻	nᵈi2	
節	tɕiɛ2	
篇	pʰiɛ̃1	
築	tsʋ2	
築	tsɘu4	装填
篙	ɟ̊ᴀɔ1	
篛	zɔ2	
篤	d̥ʋ2	
篩	sɐɛ1	
篳	b̥i2	
簇	tɕʰi̹u2	
簍	l̃ɘu3	
簑	sɔ1	
簡	tɕiɛ̃3	
簪	tsɐ̃1	
簷	jʱɛ̃2	
簸	b̥ɔ3	
簽	tɕʰiɛ̃1	
簾	nᵈiɛ̃2	
簿	b̥ʋ4	
籃	l̃ɐ̃2	
籌	tsʰɘu2	
籍	tɕi2	
籖	tɕʰiɛ̃1	
籟	l̃ɐɛ4	
籤	tɕʰiɛ̃1	
籬	nᵈi2	
籮	l̃ɔ2	
籲	jʱi4	
米	mᵇi3	
粑	b̥ᴀ1	
粒	nᵈi2	
粕	b̥ɛ2	
粗	tsʰʋ1	
粘	tsɐ̃1	
粟	ɕi̹u2	
粢	tsʰɿᵊ2	
粥	tɕi̹u2	
粵	jʱɛ2	
粹	tsʰuɘi4	
糅	zɘu2	
糊	fʋ2	
糍	tsʰɿᵊ2	
糕	ɟ̊ᴀɔ1	
糗	ɕiɘu3	
糙	tsʰᴀɔ4	
糜	mᵇi2	
糜	mᵇɘi2	～烂；扎～子，表示合伙骗人
糟	tsᴀɔ1	
糯	l̃ɔ4	
糰	tʰuɐ̃2	
系	tɕi4	～裤带
系	ɕi4	
糾	tɕiɘu1	文读
糾	tɕiɘu2	白读，指从中抓到
紀	tɕi2	年～
紀	tɕi3	
紀	tɕi4	～念
紂	tsɘu4	
約	jʱɔ2	
約	jʱᴀɔ2	牵郎郎，～弟弟
納	l̃ᴀ2	
紐	nᵈiɘu3	
紕	pʰi4	
紗	sᴀ1	
紙	tsɿᵊ3	
級	tɕi2	
素	sʋ4	
索	sɔ2	
紫	tsɿᵊ3	
累	l̃uɘi3	～计；积～
累	l̃uɘi4	
細	ɕi4	
紹	sᴀɔ4	
絀	tsʋ2	
組	tsʋ3	
絆	pʰɐ̃4	
結	ɟ̊ɛ2	～～涩涩，说话吞吞吐吐或读文章生疏
結	tɕiɛ2	
絕	tɕiɛ2	
絞	tɕiᴀɔ3	
絡	l̃ɔ2	
絡	l̃ᴀɔ4	～腮胡
給	tɕi2	文读
給	ɟ̊ɛ1	白读
給	ɟ̊ɛ3	～予
絮	ɕi4	
絮	suɘi4	棉～
絲	sɿᵊ1	
絹	tɕiɛ̃1	
綏	ɕi1	
綠	l̃ʋ2	
綢	tsʰɘu2	
維	wʱɘi2	
綴	tsuɛ2	
綺	tɕʰi3	
綻	tsɐ̃4	
綽	tsʰɔ2	
綽	tsʰᴀɔ1	宽～
綿	mᵇiɛ̃2	
緋	fɘi1	
緌	zuɘi2	
緖	ɕi4	
線	ɕiɛ̃4	
緝	tɕi2	
緞	d̥uɐ̃4	
緣	jʱɛ̃2	
編	b̥iɛ̃1	
緬	mᵇiɛ̃3	
緯	wʱɘi4	
緲	mᵇiᴀɔ3	
練	nᵈiɛ̃4	
縐	tsɘu4	
