#漢字	音標	解釋
㐴	pʰɐ̞n1	
堅	t͡ɕi̯ɐ̟n1	
堆	twɛ̝ɪ̯1	
堉	ɥɛ7	
堊	ŋɔ7	
堍	tʰu5	吝嗇。又作（𰶴）
堗	tʰwɛ7	表示底部
堘	sɛn2	
堚	xwɛn2	
堞	ti̯e7	
堡	pʰu3	地名如龍洞～
堡	pɑʊ̯3	
堤	tʰi2	
堨	ɔ7	
堪	kʰɐ̞n1	
堮	ŋɔ7	
堯	jɑʊ̯2	
堰	jɐ̟n5	
報	pɑʊ̯5	
堲	t͡ɕi̯e7	
場	t͡sʰɑŋ2	
堵	tu3	
塉	t͡ɕi̯e7	
塊	kʰwɐ̞ɪ̯3	
塋	ɥin2	
塌	tʰɑ7	
塍	sɛn2	
塑	su5	
塓	mᵇi̯e7	
塔	tʰɑ7	
塖	sɛn2	
塘	tʰɑŋ2	
塙	t͡ɕʰi̯ɔ7	
塚	t͡sɔŋ3	
塛	ni̯e7	
塞	sɐ̟7	
塢	v̩1	
填	tʰi̯ɐ̟n2	
塵	t͡sʰɛn2	
塻	mᵇɔ7	
塾	swɛ7	
境	t͡ɕin3	
墄	t͡ɕʰi̯e7	
墅	su3	
墆	ti̯e7	
墊	ti̯ɐ̟n5	
墌	t͡se7	
墑	ti̯e7	
墓	mᵇɔ5	
墜	t͡swɛ̝ɪ̯5	
增	t͡sɛn1	
墟	ɕy1	
墣	pʰe7	
墨	mᵇɐ̟7	
墩	tɛn1	
墮	tɔ5	
墳	fɛn2	
墼	t͡ɕi̯e7	
墾	kʰɛn3	
墿	je7	
壁	pi̯e7	
壅	jɔŋ1	
壇	tʰɐ̞n2	
壇	tʰɐ̞n2	地壇：一塊地方
壑	xɔ7	
壓	jɑ7	白讀，作動詞，如：壓，鎮壓
壓	jɑ5	文讀，作名詞，如：壓力
壘	nwɛ̝ɪ̯3	
壙	kʰwɑŋ5	
壞	xwɐ̞ɪ̯5	
壟	nɔŋ3	
壤	zɑŋ3	
壩	pɑ5	
士	sɹe̠ᶦ5	
壬	zɛn2	
壯	t͡swɑŋ5	
壹	je7	
壺	fv̩2	
壽	sɜ̟ʊ̯5	
夌	nin2	
夏	ɕi̯ɑ5	
夔	kʰwɛ̝ɪ̯2	
夕	ɕi̯e7	
外	wɐ̞ɪ̯5	
夙	ɕy̑ɛ7	
多	tɔ1	
夜	ji5	
夠	kɜ̟ʊ̯5	
夢	mᵇɔŋ5	
夥	xɔ3	
大	tɑ5	
大	tɐ̞ɪ̯5	
夨	ni̯e7	
夨	t͡sɐ̟7	
天	tʰi̯ɐ̟n1	
太	tʰɐ̞ɪ̯5	
夫	fv̩1	
夭	jɑʊ̯1	
央	jɑŋ1	
失	se7	
夶	pi3	
夷	ji2	
夼	kʰwɑŋ3	
夾	t͡ɕi̯ɑ7	
奇	t͡ɕʰi2	
奈	nɐ̞ɪ̯5	
奉	fɔŋ5	
奊	ɕi̯e7	
奎	kʰwɛ̝ɪ̯2	
奏	t͡sɜ̟ʊ̯5	
契	t͡ɕʰi5	
契	t͡ɕʰi̯e7	契丹
奓	t͡sɑ1	動詞，表示張開或阻止
奔	pɛn1	
奕	je7	
套	tʰɑʊ̯5	
奚	ɕi1	
奠	ti̯ɐ̟n5	
奢	sɛ̝ɪ̯1	
奢	ɕi1	最老派白讀
奤	pʰɔ7	
奧	ŋɑʊ̯5	
奩	ni̯ɐ̟n2	
奪	tɔ7	
奭	se7	
奮	fɛn5	
奯	xɔ7	
女	n̠ʲy3	
奴	nu2	
奶	mᵇi1	白讀，表示女性乳房
奶	nɐ̞ɪ̯3	奶
奸	t͡ɕi̯ɐ̟n1	
好	xɑʊ̯3	
好	xɑʊ̯5	
如	zu2	
妃	fɛ̝ɪ̯1	
妄	wɑŋ5	
妊	zɛn5	
妒	tu5	
妓	t͡ɕi5	
妖	jɑʊ̯1	
妘	ɥin2	
妙	mᵇi̯ɑʊ̯5	
妜	ɥɛ7	
妝	t͡swɑŋ1	
妠	nɑ7	
妣	pi3	
妥	tʰɔ3	
妨	fɑŋ2	
妭	pʰɑ7	
妯	t͡sʰwɛ7	妯娌
妲	tɑ7	
妳	n̠ʲi3	
妵	tʰɜ̟ʊ̯3	
妷	t͡se7	
妹	mᵇɛ̝ɪ̯5	
妺	mᵇɔ7	
妻	t͡ɕʰi1	
妾	t͡ɕʰi̯e7	
姂	fɑ7	
姂	t͡ɕʰy̑ɛ7	
姊	t͡sɹe̠ᶦ3	
始	sɹe̠ᶦ3	
姐	t͡ɕi3	
姑	ku1	
姓	ɕin5	
委	wɛ̝ɪ̯3	
姘	pʰin1	
姚	jɑʊ̯2	
姝	su1	
姞	t͡ɕi̯e7	
姟	kɐ̞ɪ̯1	
姡	xɔ7	1.羞愧的樣子    2.狡猾，狡詐
姡	xwɑ7	面貌醜陋
姣	t͡ɕi̯ɑʊ̯1	
姤	kɜ̟ʊ̯5	
姦	t͡ɕi̯ɐ̟n1	
姨	ji2	
姪	t͡se7	
姬	t͡ɕi1	
姴	ni̯e7	
姶	ɔ7	
姷	jɜ̟ʊ̯5	
姻	jin1	
姿	t͡sɹe̠ᶦ1	
威	wɛ̝ɪ̯1	
娃	wɑ2	
娎	ɕi̯e7	
娑	sɔ1	
娕	t͡sʰɔ7	
娖	t͡sʰɔ7	
娘	n̠ʲi̯ɑŋ2	在姑娘婆娘等詞中會發生變調讀作陰平
娛	jy2	
娝	pʰi3	
娠	sɛn2	
娥	ŋɔ2	
娧	ɥɛ7	
娩	mᵇi̯ɐ̟n3	
娶	t͡ɕʰy3	
娺	t͡swɑ7	
娽	nwɛ7	
婁	nɜ̟ʊ̯2	
婆	pʰɔ2	
婉	wɐ̞n3	
婊	pi̯ɑʊ̯3	
婌	swɛ7	
婍	t͡ɕʰi3	
婕	t͡ɕi̯e7	
婗	n̠ʲi2	
婚	xwɛn1	
婠	wɐ̞n1	
婠	wɑ7	
婢	pɛ̝ɪ̯5	
婥	t͡sʰɔ7	
婦	fv̩5	
婧	t͡ɕin5	
婪	nɐ̞n2	
婹	jɑʊ̯3	
婼	zɛ̝ɪ̯2	婼羌西域國名
婼	t͡sʰɔ7	叔孫婼魯大夫說文曰不順也又人賒切婼羌西域國名
婿	ɕi5	
媉	ɔ7	
媒	mᵇɛ̝ɪ̯2	
媕	ɔ7	
媚	mᵇɛ̝ɪ̯5	
媛	ɥɐ̟n2	
媛	ɥɐ̟n5	
媟	ɕi̯e7	
媠	tʰɔ3	
媱	jɑʊ̯2	
媲	pʰi5	
媳	ɕi̯e7	
媷	zwɛ7	
媽	mᵇɑ1	媽媽
媾	kɜ̟ʊ̯5	
嫁	t͡ɕi̯ɑ5	
嫂	sɑʊ̯3	
嫈	ɥin2	
嫉	t͡ɕi̯e7	
嫌	ɕi̯ɐ̟n2	
嫑	pi̯ɑʊ̯5	
嫖	pʰi̯ɑʊ̯2	
嫚	mᵇɐ̞n1	
嫠	ni2	
嫡	ti̯e7	
嫣	jɐ̟n1	
嫦	sɑŋ2	
嫧	t͡sɐ̟7	
嫧	t͡ɕʰi̯e7	
嫩	nɛn5	
嫳	pʰi̯e7	
嫵	v̩2	
嫼	jɑ7	
嫿	xwɛ7	
嬆	ɕi̯e7	
嬉	ɕi1	
嬋	sɐ̞n2	
嬌	t͡ɕi̯ɑʊ̯1	
嬙	sɐ̟7	
嬡	ŋɐ̞ɪ̯5	
嬥	t͡sɔ7	
嬪	pʰin2	
嬰	jin1	
嬳	ɔ7	
嬴	jin2	
嬸	sɛn3	
嬻	twɛ7	
孀	swɑŋ1	
孂	kɐ̟7	
孃	n̠ʲi̯ɑŋ1	
孎	t͡swɛ7	
子	t͡sɹe̠ᶦ3	
孑	t͡ɕi̯e7	
孒	t͡ɕy̑ɛ7	
孓	t͡ɕy̑ɛ7	
孔	kʰɔŋ3	
孕	zwɛn5	
字	t͡sɹe̠ᶦ5	
存	t͡sʰɛn2	
孚	fv̩1	～信用。形容此人講話信得過值得信任
孛	pɔ7	
孜	t͡sɹe̠ᶦ1	
孝	ɕi̯ɑʊ̯5	
孟	mᵇɔŋ5	
季	t͡ɕi5	
孤	ku1	
孨	n̠ʲi̯e7	
孩	xɐ̞ɪ̯2	
孫	sɛn1	
孰	swɛ7	
孱	t͡sʰɐ̞n2	文讀，如：～弱
孱	t͡sʰɐ̞n5	白讀，作形容詞用於形容人軟弱卑怯如：～頭
孴	je7	
孵	fv̩1	
孷	ni2	
學	ɕi̯ɔ7	
孺	zu5	
孼	n̠ʲi̯e7	
孽	n̠ʲi̯e7	
宅	t͡sʰɐ̟7	
宇	jy3	
守	sɜ̟ʊ̯3	
安	ŋɐ̞n1	
安	ŋɐ̞ɪ̯1	
宊	tʰwɛ7	
宋	sɔŋ5	
完	wɐ̞n2	
宏	xɔŋ2	
宓	mᵇi̯e7	
宕	tɑŋ5	
宗	t͡sɔŋ1	
官	kwɐ̞n1	
宙	t͡sɜ̟ʊ̯5	
定	tin5	
宛	wɐ̞n3	
宜	n̠ʲi2	
客	kʰɐ̟7	
宣	ɕy̑ɐ̟n1	
室	se7	
宥	jɜ̟ʊ̯5	
宦	xwɐ̞n5	
宮	kɔŋ1	
宰	t͡sɐ̞ɪ̯3	
害	xɐ̞ɪ̯5	
宴	jɐ̟n5	
宵	ɕi̯ɑʊ̯1	夜宵
家	t͡ɕi̯ɑ1	
家	kɑ1	白讀，如：家公，家家
宸	sɛn2	
容	jɔŋ2	
宿	ɕi̯ɜ̟ʊ̯5	
宿	ɕy̑ɛ7	
寀	t͡sʰɐ̞ɪ̯3	
寂	t͡ɕi̯e7	
寄	t͡ɕi5	
寅	jin2	
密	mᵇi̯e7	
寇	kʰɜ̟ʊ̯5	
寉	xɔ7	
富	fv̩5	
寐	mᵇɛ̝ɪ̯5	
寒	xɐ̞n2	
寓	jy5	
寔	t͡se7	
寕	n̠ʲin2	
寕	n̠ʲin5	
寗	n̠ʲin2	
寗	n̠ʲin5	
寘	t͡sɹe̠ᶦ5	
寞	mᵇɔ7	
察	t͡sʰɑ7	
寡	kwɑ3	
寢	t͡ɕʰin3	
寣	xwɛ7	
寥	ni̯ɑʊ̯2	
實	se7	
寧	n̠ʲin2	
寨	t͡sɐ̞ɪ̯5	
審	sɛn3	
寫	ɕi3	
寬	kʰwɐ̞n1	
寰	xwɐ̞n2	
寵	t͡sʰɔŋ3	
寶	pɑʊ̯3	
寸	t͡sʰɛn5	
寺	sɹe̠ᶦ5	
寽	nwɛ7	
封	fɔŋ1	
尃	fv̩1	
射	sɛ̝ɪ̯5	
射	ɕi5	最老派白讀
將	t͡ɕi̯ɑŋ1	
將	t͡ɕi̯ɑŋ5	
專	t͡swɐ̞n1	
尊	t͡sɛn1	
尋	ɕy̑in2	
對	twɛ̝ɪ̯5	
導	tɑʊ̯5	
小	ɕi̯ɑʊ̯3	
少	sɑʊ̯3	
少	sɑʊ̯5	
尕	kɑʊ̯1	指頑皮的小孩，如:～兒
尖	t͡ɕi̯ɐ̟n1	
尚	sɑŋ5	
尛	mᵇɔ2	
尠	ɕi̯ɐ̟n3	
尤	jɜ̟ʊ̯2	
尬	kɑ3	
就	tɜ̟ʊ̯5	白讀
就	t͡ɕi̯ɜ̟ʊ̯5	
尳	kwɛ7	
尷	kɐ̞n1	
尹	ɥin3	
尺	t͡sʰe7	
尼	n̠ʲi2	
尾	wɛ̝ɪ̯3	
尿	ɕy1	俗字作噓
尿	n̠ʲi̯ɑʊ̯5	
局	t͡ɕy̑ɛ7	
屁	pʰi5	
屄	pʰi1	女陰
居	t͡ɕy1	
屆	kɐ̞ɪ̯5	白讀
屈	t͡ɕʰy̑ɛ7	
屋	wɛ7	
屋	v̩1	白讀
屌	ti̯ɑʊ̯5	
屍	sɹe̠ᶦ1	
屎	sɹe̠ᶦ3	
屏	pʰin2	
屐	t͡ɕi̯e7	
屑	ɕy̑ɛ7	風屑：頭皮屑
屒	t͡sɛn3	
屒	sɛn2	
展	t͡sɐ̞n3	
屙	ŋɔ1	
屜	tʰi2	
屟	ɕi̯e7	
屠	tʰu2	
屢	nwɛ̝ɪ̯3	
層	t͡sʰɛn2	
履	ny3	
屧	ɕi̯e7	
屩	t͡ɕi̯ɔ7	
屬	swɛ7	
屮	t͡sʰɐ̟7	
屯	tʰɛn2	
屰	n̠ʲi̯e7	
山	sɐ̞n1	
屳	ɕi̯ɐ̟n1	
屴	ni̯e7	
屵	ŋɔ7	
屹	ji5	
屼	wɛ7	
岉	wɛ7	
岊	t͡ɕi̯e7	
岌	t͡ɕi̯e7	
岐	t͡ɕʰi2	
岑	t͡sʰɛn2	
岓	t͡ɕʰi2	
岔	t͡sʰɑ5	
岝	t͡sɐ̟7	
岞	t͡sɔ7	
岡	kɑŋ1	
岦	ni̯e7	
岪	fe7	
岱	tɐ̞ɪ̯5	
岷	mᵇin2	
岸	ŋɐ̞n5	
峉	ŋɐ̟7	
峐	kɐ̞ɪ̯1	
峙	sɹe̠ᶦ5	
峠	kʰɑ1	
峪	ɥɛ7	
峯	fɔŋ1	
島	tɑʊ̯3	
峻	t͡ɕy̑in5	
峽	ɕi̯ɑ7	
崇	t͡sʰɔŋ2	
崍	nɐ̞ɪ̯2	
崎	t͡ɕʰi2	
崑	kʰwɛn1	
崒	t͡ɕy̑ɛ7	
崔	t͡sʰwɛ̝ɪ̯1	
崕	ŋɐ̞ɪ̯2	
崖	ŋɐ̞ɪ̯2	
崗	kɑŋ1	
崙	nɛn2	
崛	t͡ɕy̑ɛ7	
崞	kɔ7	
崦	jɐ̟n1	
崩	pɛn1	
崪	t͡swɛ7	
崰	t͡sɹe̠ᶦ1	
崱	t͡sɐ̟7	
崳	jy2	
崽	t͡sɐ̞ɪ̯3	又作(仔)
崿	ŋɔ7	
嵊	sɛn5	
嵌	t͡ɕʰi̯ɐ̟n5	
嵑	kʰɔ7	
嵑	t͡ɕi̯e7	通（碣）
嵠	t͡ɕʰi1	
嵤	ɥin2	
嵥	t͡ɕi̯e7	
嵩	sɔŋ1	
嵲	n̠ʲi̯e7	
嶂	t͡sɑŋ5	
嶈	t͡ɕʰi̯ɑŋ1	
嶏	fe7	
嶧	je7	
嶨	t͡ɕʰi̯ɔ7	
嶨	ɕi̯ɔ7	
嶪	n̠ʲi̯e7	
嶭	n̠ʲi̯e7	
嶷	n̠ʲi̯e7	
嶸	ɥin2	
嶺	nin3	
嶽	jɔ7	
巀	t͡sɑ7	巀嶭山名在右扶風才割切又才結切四
巀	t͡ɕi̯e7	
巈	t͡ɕy̑ɛ7	
巍	wɛ̝ɪ̯1	
巖	ŋɐ̞ɪ̯2	
川	t͡sʰwɐ̞n1	
州	t͡sɜ̟ʊ̯1	
巡	ɕy̑in2	
巢	t͡sʰɑʊ̯2	
巤	ni̯e7	
工	kɔŋ1	
左	t͡sɔ3	
巧	t͡ɕʰi̯ɑʊ̯3	
巨	t͡ɕy5	
巫	v̩1	
差	t͡sʰɑ1	
差	t͡sʰɑ5	
差	t͡sʰɐ̞ɪ̯1	
己	t͡ɕi3	
已	ji3	
巳	sɹe̠ᶦ5	
巴	pɑ1	
巵	t͡sɹe̠ᶦ1	
巷	xɑŋ5	
巾	t͡ɕin1	
市	sɹe̠ᶦ5	
布	pu5	
帆	fɐ̞n2	
帇	n̠ʲi̯e7	
希	ɕi1	
帒	tɐ̞ɪ̯5	
帓	mᵇɑ7	表示擦，如：～桌子
帕	pʰɑ5	
帖	tʰi̯e7	
帗	fe7	
帙	t͡sʰe7	
帚	t͡sɜ̟ʊ̯3	
帛	pɐ̟7	
帝	ti5	
帞	mᵇɐ̟7	
帟	je7	
帢	t͡ɕʰi̯ɑ7	
帥	swɐ̞ɪ̯5	
帨	swɛ̝ɪ̯5	
師	sɹe̠ᶦ1	
席	ɕi̯e7	
帳	t͡sɑŋ5	
帵	wɐ̞n1	
帶	tɐ̞ɪ̯5	
帷	wɛ̝ɪ̯2	
常	sɑŋ2	
帹	t͡sɑ7	
帽	mᵇɑʊ̯5	
幄	ɔ7	
幅	fe7	
幌	xwɑŋ3	
幍	tʰɑʊ̯1	
幎	mᵇi̯e7	
幔	mᵇɐ̞n5	
幕	mᵇɔ5	
幗	kwɛ7	
幘	t͡sɐ̟7	
幞	fe7	
幣	pi5	
幦	mᵇi̯e7	
幪	mᵇɔŋ2	
幫	pɑŋ1	
幭	mᵇi̯e7	
幯	t͡ɕi̯e7	
幱	nɐ̞n2	
平	pʰin2	
年	n̠ʲi̯ɐ̟n2	
幸	ɕin5	
幹	kɐ̞n1	
幹	kɐ̞n5	
幺	jɑʊ̯1	
幻	xwɐ̞n5	
幼	jɜ̟ʊ̯5	
幽	jɜ̟ʊ̯1	
幾	t͡ɕi1	
幾	t͡ɕi3	
庇	pʰi5	
序	ɕy5	
底	ti3	
店	ti̯ɐ̟n5	
庘	jɑ7	
庚	kɛn1	
府	fv̩3	
庢	t͡se7	
度	tu5	
度	tɔ7	審時度勢
座	t͡sɔ5	
庫	kʰu5	
庭	tʰin2	
庴	t͡ɕi̯e7	
庵	ŋɐ̞n1	
庶	su5	
康	kʰɑŋ1	
庸	jɔŋ1	
廁	t͡sʰɐ̟7	
廂	ɕi̯ɑŋ1	
廅	ɔ7	
廈	swɑ3	
廉	ni̯ɐ̟n2	
廊	nɑŋ2	
廌	t͡sɹe̠ᶦ5	
廓	kʰɔ7	
廖	ni̯ɑʊ̯5	
廘	nwɛ7	
廙	je7	
廚	t͡sʰu2	
廝	sɹe̠ᶦ1	
廟	mᵇi̯ɑʊ̯5	
廠	t͡sʰɑŋ3	
廢	fɛ̝ɪ̯5	
廣	kwɑŋ3	
廦	pʰi̯e7	
廩	nin3	
廬	nu2	
廳	tʰin1	
延	jɐ̟n2	
廷	tʰin2	
建	t͡ɕi̯ɐ̟n5	
廿	ze7	
弄	nɔŋ1	白讀，如：～整
弄	nɔŋ5	文讀
弆	t͡ɕʰy5	
弈	je7	
弊	pi5	
弋	je7	
弌	je7	
式	sɹe̠ᶦ5	
弑	sɹe̠ᶦ5	
弒	sɹe̠ᶦ5	
弓	t͡ɕi̯ɔŋ1	白讀又音,或作(躬)
弓	t͡ɕi̯ɔŋ2	白讀，作動詞，如：背～起。2.作形容詞表示厲害之意。或作(躬)
弓	kɔŋ1	
引	jin3	
弗	fe7	
弘	xɔŋ2	
弟	ti5	
弢	tʰɑʊ̯1	罵，也作（滔）（𰵽）（謟）通常講（日～）
弦	ɕy̑ɐ̟n2	
弦	ɕi̯ɐ̟n2	白讀，如：二胡～
弧	fv̩2	
弱	zɔ7	
張	t͡sɑŋ1	
強	t͡ɕʰi̯ɑŋ2	
強	t͡ɕʰi̯ɑŋ3	
弼	pʰi̯e7	
弽	sɐ̟7	
彀	kɜ̟ʊ̯5	
彃	pi̯e7	
彈	tʰɐ̞n2	
彈	tɐ̞n5	
彉	xɔ7	
彌	mᵇɛ̝ɪ̯2	
彍	xɔ7	
彎	wɐ̞n1	
彏	t͡ɕi̯ɔ7	
彔	nwɛ7	
彗	xwɛ̝ɪ̯5	
彝	ji2	
彠	xwɛ7	
彡	sɐ̞n1	
形	ɕin2	
彧	ɥɛ7	
彩	t͡sʰɐ̞ɪ̯3	
彪	pi̯ɑʊ̯1	
彬	pin1	
彭	pʰɛn2	
影	jin3	
彳	t͡sʰe7	
彴	t͡sɔ7	
彶	t͡ɕi̯e7	
彷	fɑŋ3	
役	ɥɛ7	
彼	pi3	
彿	fe7	
往	wɑŋ3	
征	t͡sɛn1	
待	tʰɐ̞ɪ̯1	白讀1，作動詞。表示使～～東西保持在某一狀態。如：用手把什麼東西～著
待	tʰɐ̞ɪ̯3	白讀2,作動詞。表示(使)停止，擱下，俗字可作(𢪯)
待	tɐ̞ɪ̯5	
很	xɛ̝ɪ̯1	白讀
很	xɐ̞ɪ̯1	白讀2,如:丟～實
很	xɛn3	
徉	jɑŋ2	
律	nwɛ7	
後	xɜ̟ʊ̯5	
徐	ɕy2	
徑	t͡ɕin5	
徒	tʰu2	
得	tɐ̟7	
徙	ɕi3	
徜	sɑŋ2	
從	t͡sʰɔŋ2	
御	jy5	
徢	ɕi̯e7	
復	fe7	
循	ɕy̑in2	
微	jy2	老派口語弱化，比如：稍微
微	wɛ̝ɪ̯2	
徵	t͡sɛn1	
德	tɐ̟7	
徹	t͡sʰɐ̟7	
徽	xwɛ̝ɪ̯1	
忂	t͡ɕʰy2	
心	ɕin1	
必	pi̯e7	
忋	kɐ̞ɪ̯3	
忌	t͡ɕi5	
忍	zɛn3	
忐	tʰɐ̞n3	
忑	tʰɐ̟7	
忒	tʰɐ̟7	
忔	t͡ɕʰi̯e7	
忖	t͡sʰɛn5	
志	t͡sɹe̠ᶦ5	
忘	wɑŋ2	白讀，如：搞～去
忘	wɑŋ5	
忙	mᵇɑŋ2	
忝	tʰi̯ɐ̟n3	
忠	t͡sɔŋ1	
忡	t͡sʰɔŋ1	
忤	v̩3	
忦	t͡ɕi̯ɑ7	
忩	t͡sʰɔŋ1	
快	kʰwɐ̞ɪ̯5	
忴	t͡ɕin1	
念	n̠ʲi̯ɐ̟n5	
忸	n̠ʲi̯ɜ̟ʊ̯3	
忸	nwɛ7	又音
忻	ɕin1	
忽	xwɛ7	
忿	fɛn5	
怉	pɑʊ̯3	形容詞，用來形容人傻乎乎，淨出洋相的樣子
怍	t͡sɔ7	
怒	nu5	
怕	pʰɑ5	
怖	pu5	
怗	tʰi̯e7	
怛	tɑ7	
思	sɹe̠ᶦ1	
怠	tɐ̞ɪ̯5	
怡	ji2	
怤	fv̩1	
急	t͡ɕi̯e7	
性	ɕin5	
怨	ɥɐ̟n5	
怩	n̠ʲi2	
怪	kwɐ̞ɪ̯5	
怫	fe7	
怭	pi̯e7	
怯	t͡ɕʰi̯e7	
怱	t͡sʰɔŋ1	
怴	ɕy̑ɛ7	
怵	t͡sʰwɛ7	
恃	sɹe̠ᶦ5	
恄	ɕi̯e7	
恆	xɛn2	
恍	xwɑŋ3	
恍	xwɑŋ5	～心
恎	ti̯e7	
恐	kʰɔŋ3	
恕	su5	
恖	sɹe̠ᶦ1	
恙	jɑŋ5	
恜	t͡sʰe7	
恢	xwɛ̝ɪ̯1	
恤	ɕy̑ɛ7	T恤
恥	t͡sʰɹe̠ᶦ3	
恧	nwɛ7	
恨	xɛn5	又音
恩	ŋɛn1	
恪	kʰɔ7	
恭	kɔŋ1	
息	ɕy̑ɛ7	白讀，如：沒得出～
息	ɕi̯e7	
恰	t͡ɕʰi̯ɑ7	
悄	t͡ɕʰi̯ɑʊ̯1	
悅	ɥɛ7	
悈	kɐ̞ɪ̯5	
悉	ɕi̯e7	
悊	t͡sɐ̟7	
悏	t͡ɕʰi̯e7	
悐	tʰi̯e7	
悒	je7	
悔	xwɛ̝ɪ̯3	
悖	pɔ7	
悚	sɔŋ3	
悟	v̩5	
悠	jɜ̟ʊ̯1	
患	xwɐ̞n5	
悤	t͡sʰɔŋ1	
悲	pɛ̝ɪ̯1	
悳	tɐ̟7	
悴	t͡sʰwɛ̝ɪ̯5	
悵	t͡sʰɑŋ5	
悶	mᵇɛn1	形容一個人把心事憋在心裏的樣子
悶	mᵇɛn5	
惁	ɕi̯e7	
惄	n̠ʲi̯e7	
情	t͡ɕʰin2	
惑	xwɛ7	
惕	tʰi̯e7	
惗	n̠ʲi̯e7	
惘	wɑŋ3	
惙	t͡swɛ7	
惚	xwɛ7	
惜	ɕi̯e7	
惟	wɛ̝ɪ̯2	
惠	xwɛ̝ɪ̯5	
惡	v̩5	
惡	ŋɔ7	
惦	ti̯ɐ̟n5	
惪	tɐ̟7	
惰	tɔ5	
惱	nɑʊ̯3	
想	ɕi̯ɑŋ3	
惵	ti̯e7	
惸	t͡ɕʰy̑in2	
惹	zɛ̝ɪ̯3	
惹	ji3	最老派白讀
惻	t͡sʰɐ̟7	
愁	t͡sʰɜ̟ʊ̯2	
愉	jy2	
愎	pi̯e7	
意	ji5	
愒	t͡ɕʰi̯e7	
愕	ŋɔ7	
愙	kʰɔ7	
愚	jy2	
愛	ŋɐ̞ɪ̯5	
愜	t͡ɕʰi̯e7	
感	kɐ̞n3	
愣	nɛn5	
愧	kʰwɛ̝ɪ̯5	
愫	su5	
愬	sɐ̟7	驚懼貌又暮韻
愯	sɔŋ3	
愱	t͡ɕi̯e7	
愲	kwɛ7	
愵	n̠ʲi̯e7	
愶	ɕi̯e7	
愷	kʰɐ̞ɪ̯3	
愾	kʰɐ̞ɪ̯5	
慄	ni̯e7	
慆	tʰɑʊ̯1	
慈	t͡sʰɹe̠ᶦ2	
慉	ɕy̑ɛ7	
態	tʰɐ̞ɪ̯5	
慌	xwɑŋ1	
慍	ɥin5	
慎	t͡sʰɛn5	
慔	mᵇu5	～腦殼：形容人傻，笨，不聰明的樣子
慕	mᵇɔ5	
慖	kwɛ7	
慗	t͡sʰe7	
慘	t͡sʰɐ̞n3	
慚	t͡sʰɐ̞n2	
慝	tʰɐ̟7	
慢	mᵇɐ̞n5	
慣	kwɐ̞n5	
慤	t͡ɕʰi̯ɔ7	
慧	xwɛ̝ɪ̯5	
慨	kʰɐ̞ɪ̯5	
慪	ŋɜ̟ʊ̯5	
慫	sɔŋ3	
慮	nwɛ̝ɪ̯5	
慰	wɛ̝ɪ̯5	
慴	t͡sɐ̟7	
慶	t͡ɕʰin5	
慷	kʰɑŋ1	
慹	t͡ɕi̯e7	
慹	t͡se7	
慼	t͡ɕʰi̯e7	
慽	t͡ɕʰi̯e7	
慾	ɥɛ7	
憂	jɜ̟ʊ̯1	
憋	pi̯e7	老派白讀
憋	pi1	
憌	t͡ɕʰy̑in2	
憎	t͡sɛn1	
憐	ni̯ɐ̟n2	
憐	nin2	文讀，如：～惜
憑	pʰin2	
憚	tɐ̞n5	
憝	twɛ̝ɪ̯5	
憞	twɛ̝ɪ̯5	
憟	swɛ7	
憠	t͡ɕy̑ɛ7	
憡	t͡sʰɐ̟7	
憤	fɛn5	
憨	xɐ̞n1	
憫	mᵇin3	
憫	mᵇi̯ɐ̟n3	白讀
憬	t͡ɕy̑in3	
憭	ni̯ɑʊ̯2	
憰	t͡ɕy̑ɛ7	
憲	ɕi̯ɐ̟n5	
憴	sɛn2	
憵	pʰi̯e7	
憶	ji5	
憷	t͡sʰu3	
懂	tɔŋ3	
懇	kʰɛn3	
懈	ɕi̯ɐ̞ɪ̯5	
應	jin5	
懊	ŋɑʊ̯5	
懌	je7	
懎	sɐ̟7	
懖	kɔ7	
懝	n̠ʲi̯e7	
懪	pɔ7	
懫	t͡se7	
懭	kʰwɑŋ3	
懱	mᵇi̯e7	
懲	t͡sʰɛn3	
懵	mᵇɔŋ1	
懶	nɐ̞n3	
懷	xwɐ̞ɪ̯2	
懸	ɕy̑ɐ̟n2	
懸	ɕi̯ɐ̟n2	白讀，表示物體邊緣
懺	t͡sʰɐ̞n5	
懻	t͡ɕi5	
懼	t͡ɕy5	
懾	sɐ̟7	
懿	ji5	
戀	ni̯ɐ̟n5	
戄	ɕi̯ɔ7	
戄	t͡ɕi̯ɔ7	
戅	kɑŋ5	
戅	t͡sʰwɑŋ5	
戇	kɑŋ5	
戇	t͡sʰwɑŋ5	
戈	kɔ1	
戉	ɥɛ7	
戊	v5	
戌	ɕy̑ɛ7	
戍	su5	
戎	zɔŋ2	
成	t͡sʰɛn2	
我	ŋɔ3	
戒	kɐ̞ɪ̯5	
戓	kʰɐ̟7	
戕	t͡ɕʰi̯ɑŋ2	
或	xwɛ7	
或	xɔ7	白讀，～者
戚	t͡ɕʰi̯e7	
戛	t͡ɕi̯ɑ7	
戜	ti̯e7	
戟	t͡ɕi̯e7	
戠	t͡se7	
截	t͡ɕʰi̯e7	
戫	ɥɛ7	
戮	nwɛ7	
戰	t͡sɐ̞n5	
戲	ɕi5	
戳	t͡sʰɔ7	
