#漢字	音標	解釋
弦	ɕyɛn2	
彎	uan1	
弱	ʐuo1	
彈	tʰan2	弹琴
彈	tan5	子弹
强	tɕʰiaŋ2	
强	tɕʰiaŋ3	勉强，倔强
弼	pi5	
彀	kou5	往上彀
歸	kuei1	
當	taŋ1	当时，应当
當	taŋ5	当作，典当
录	lu1	
形	ɕiŋ2	
彩	tsʰɛ3	
彪	piɔ1	
彬	pin1	
彭	pʰəŋ2	
影	iŋ3	
彷	faŋ3	彷彿
役	i5	
徹	tʂʰɤ5	
彼	pi3	
往	uaŋ3	
征	tsəŋ1	征求
征	tʂəŋ1	
徑	tɕiŋ5	
待	tɛ5	
很	xən3	
律	ly1	
徐	ɕy2	
徒	tʰu2	
得	tɛ1	
徙	ɕi3	
徛	tɕi5	立
御	y5	
循	ɕyn2	
微	uei1	
德	tɛ1	
徽	xuei1	
心	ɕin1	
必	pi5	
憶	i5	
忌	tɕi5	
忍	ʐən3	
忒	tʰei1	忒杀，忒好
忖	tsʰuen3	
志	tʂʅ5	
忘	uaŋ5	
忙	maŋ2	
忠	tʂoŋ1	
忧	iou1	
快	kʰuɛ5	
念	niɛn5	
忽	xu1	
忿	fən5	
怀	xuɛ2	
態	tʰɛ5	
慫	soŋ3	怂恿
慪	ou5	怄气
怒	nu5	
怕	pʰa5	
怖	pu5	恐怖
怜	liɛn2	
思	sɿ1	
怠	tɛ5	
急	tɕi2	
性	ɕiŋ5	
怨	yɛn5	
怪	kuɛ5	
怯	tɕʰiɛ5	畏怯
怱	tsʰoŋ1	
總	tsoŋ3	
恃	ʂʅ5	
戀	liɛn5	
恐	kʰoŋ3	
恆	xəŋ2	
恕	ʂu5	
恢	xuei1	
恤	ɕy5	
恨	xən5	
恩	ɣən1	
恭	koŋ1	
息	ɕi1	
恰	tɕʰia5	
懇	kʰən3	
恶	ɤ1	善恶
恶	u5	恨，可恶
惱	nɔ3	
悄	tɕʰiɔ3	静悄悄
悉	ɕi1	
悔	xuei3	
悟	u5	
悠	iou1	悠悠
患	xuan5	
悅	yɛ1	
懸	ɕyɛn2	
憫	min3	
悲	pei1	
情	tɕʰiŋ2	
惊	tɕiŋ1	
惑	xuo5	
惜	ɕi1	
惟	uei2	
惠	xuei5	
懼	tɕy5	
慘	tsʰan3	
懲	tʂʰəŋ2	
慚	tʂʰan2	
慣	kuan5	
惰	tuo5	
想	ɕiaŋ3	
惹	ʐɤ3	
愁	tsʰou2	
愈	y5	愈好，病愈
愉	y2	
意	i5	
愚	y2	
感	kan3	
憤	fən5	
愧	kʰuei5	
愿	yɛn5	
慈	tsʰɿ2	
慌	xuaŋ1	
慎	ʂən5	
慕	mu5	
慢	man5	
慧	xuei5	
慨	kʰɛ3	慷慨，感慨
慰	uei5	
慷	kʰaŋ1	慷慨
憋	piɛ1	
憎	tsəŋ5	
憠	tɕyɛ5	脾气憠
憨	xan1	痴
憾	xan5	
懂	toŋ3	
懈	ɕiɛ5	
懊	ɔ5	懊恼
懊	ɔ5	懊悔
懶	lan3	
懵	məŋ3	懵懂
戈	kɤ1	
戊	u5	
戌	ɕy1	
戍	ʂu5	
戎	ʐoŋ2	
戲	ɕi5	
成	tʂʰəŋ2	
我	uo3	
戒	tɕiɛ5	
或	xuɛ2	
戰	tʂan5	
戚	tɕʰi1	
戟	tɕi3	
截	tɕiɛ2	
戳	tʂʰuo1	
戴	tɛ5	
戶	xu5	
戽	xu5	戽水
房	faŋ2	
所	suo3	
扁	piɛn3	
扇	ʂan1	
扇	ʂan5	
手	ʂou3	
才	tsʰɛ2	
扎	tʂa1	
扑	pʰu1	
打	ta3	
扔	ʐəŋ1	
托	tʰuo1	
托	tʰuo1	手承物
扛	kʰaŋ2	
扣	kʰou5	扣住
執	tʂʅ2	
擴	kʰuo1	扩充
掃	sɔ3	扫地
掃	sɔ5	扫帚
揚	iaŋ2	
扭	niou3	
扮	pan5	
扯	tʂʰɤ3	
扰	ʐɔ3	
扳	pan1	
扶	fu2	
批	pʰi1	
扼	ɤ5	
扽	tən5	
找	tʂɔ3	
承	tʂʰəŋ2	
技	tɕi5	
抄	tʂʰɔ1	略取，抄写
把	pa3	把握，把守，一把
抑	i5	
抓	tʂua1	
投	tʰou2	
