#漢字	音標	解釋
㝓	kʰap7	用器皿覆蓋、扣住
絨	jəŋ2	
絮	ɬy5	
統	tʰəŋ3	
絲	ɬi1	
絹	kyœn5	
綁	pɔŋ3	
經	kaŋ1	昆蟲吐絲結網
經	keŋ1	
綜	tsəŋ1	
綜	tsəŋ5	
綠	lək8	
綢	tsʰiu2	
維	wui2	
綱	kɔŋ1	
網	mɔŋ3	
綴	tsui5	
綻	tsʰan6	
綽	tsʰɔk7	
綿	miɛn2	
緊	kin3	
緖	ɬy5	
線	ɬiɛn5	
緝	tsʰip7	
緞	tʰɔn6	
緣	jyœn2	
編	piɛn1	動詞，～古仔
編	pʰiɛn1	
緩	wɔn3	
緬	miɛn5	
緯	wui5	
練	liɛn6	
縛	pɔk7	
縝	sin6	
縣	jyœn6	
縮	ɬək7	
縱	tsəŋ1	～橫
縱	tsəŋ3	寵愛、慣壞
縱	tsəŋ5	放～
總	tsəŋ3	
績	tsek7	
繁	van2	
繃	pɔŋ1	
繃	pəŋ1	
繆	miu6	
繆	miɛu6	姓
織	tsek7	
繞	jiɛu3	
繡	ɬiu5	
繩	seŋ2	
繩	seŋ3	
繫	kɛi5	～鞋帶
繫	hɛi6	
繭	kan3	
繳	kiɛu3	
繼	kɛi5	
繽	pin1	
續	tsʰək8	
纏	tsʰiɛn2	
纔	tsʰɔi2	
纖	tsʰiɛm1	
纜	lam5	
缸	kɔŋ1	
缽	pɔt7	
罅	la5	
罈	tʰam2	
罌	aŋ1	
罐	kɔn5	
罕	hɔn3	
罪	tsʰui6	
罪	tsʰɔi6	
置	tsi5	
罰	vat8	
署	tsʰy5	
罵	ma6	
罷	pʰa6	
羅	lɔ2	
羊	jyœŋ2	
羌	kyœŋ1	
羌	kʰyœŋ1	
美	mi5	
羔	kau1	
羞	ɬiu1	
羣	kʰun2	
羨	ɬiɛn6	
義	ji6	
羹	kaŋ1	
羽	jy5	
翁	jəŋ1	
翅	tsʰi5	
翎	leŋ2	
習	tsʰip8	
翔	tsʰyœŋ2	
翠	tsʰui5	
翠	tsʰɔi5	
翡	vi5	
翰	hɔn6	
翳	ɛi5	胸悶，氣悶
翹	kʰiɛu6	
翻	van1	
翼	jek8	
老	lau3	
考	kʰau3	
考	hau3	
者	tsa3	
而	ŋi2	
耍	sa3	
耐	nɔi6	
耕	kaŋ1	
耗	hau5	
耙	pʰa2	
耳	ŋi3	
耳	ŋi5	
耶	ja2	
耶	jɛ2	
耽	tam1	
耿	kaŋ3	
聊	liɛu2	
聖	seŋ5	
聘	pʰeŋ5	
聚	tsʰi6	
聞	mɔn2	
聯	liɛn2	
聯	lyœn2	
聰	tsʰəŋ1	
聲	saŋ1	
聲	seŋ1	～明
聶	niɛp8	
職	tsek7	
聽	tʰiaŋ5	
聽	tʰeŋ5	
聾	ləŋ2	
肅	ɬək7	
肆	ɬi5	
肇	siɛu6	
肉	jək8	
肋	lak8	
肌	ki1	
肖	tsʰiɛu5	
肚	tu3	豬～
肚	tʰu6	～量
肝	kɔn1	
股	ku3	
肢	tsi1	
肥	vi2	
肨	pʰaŋ1	
肩	kan1	
肩	kiɛn1	
肪	vɔŋ1	
肯	han3	
育	jək8	
肶	pi3	
肺	vɛi5	
胃	wui6	
背	pɔi5	
背	pʰɔi6	～誦
胎	tʰɔi1	
胗	kʰin5	胃
胚	pʰɔi1	
胞	pau1	
胡	hu2	
胥	ɬy1	
胭	iɛn1	
胱	kɔŋ1	
胳	kɔk7	
胸	həŋ1	
胺	ɔn1	
能	nan2	
脂	tsi1	
脆	tsʰui5	
脈	mak8	
脊	tsiak7	
脫	tʰɔt7	
脯	pʰu2	胸～
脹	tsɔŋ5	
脾	pʰi2	
腆	tʰiɛn3	
腋	jek8	
腌	jiɛp7	
腎	sin5	
腐	hu3	
腔	hɔŋ1	
腕	wɔn5	
腥	ɬiaŋ1	
腦	nau3	
腩	nam5	
腫	tsəŋ3	
腮	ɬɔi1	
腰	jiɛu1	
腱	kʰiɛn6	
腳	kyœk7	
腸	tsʰɔŋ2	
腹	hək7	
腿	tʰui3	
膀	pɔŋ3	
膀	pʰɔŋ2	
膊	pɔk7	
膏	kau1	
膘	piɛu1	
膚	hu1	
膛	tʰɔŋ2	
膝	ɬit7	
膠	kau1	
膥	tsʰun1	卵，蛋
膦	lin3	陰莖
膨	pʰaŋ2	
膩	ni6	
膲	tsʰiɛu2	起皺；枯萎、發蔫
膳	siɛn6	
膽	tam3	
膿	nəŋ2	
臀	tʰun2	
臃	jəŋ1	
臊	ɬau1	
臍	tsʰi2	
臏	pin5	
臘	lap8	
臟	tsʰɔŋ6	
臣	sin2	
臥	ŋɔ6	
臨	lim2	
自	tsʰi6	
臭	tsʰiu5	
至	tsi5	
致	tsi5	
臺	tʰɔi2	
臻	tsin1	
臽	ham3	洞，坑
舀	jiɛu3	
舂	tsəŋ1	
舅	kʰiu5	
與	jy5	
興	heŋ1	
興	heŋ3	高興
舉	ki3	
舉	ky3	
舊	kʰiu6	
舌	siɛt8	
舐	sai3	
舒	sy1	
舔	liɛm3	
舖	pʰu5	鋪
舜	sun6	
舞	mu3	跳～，～嘢
舞	mu5	～蹈
舟	tsiu1	
航	hɔŋ2	
般	pɔn1	
舵	tʰai5	
船	sɔn2	
舺	kap7	
艇	tʰiaŋ3	
艘	ɬau1	
艦	lam5	
良	lyœŋ2	
艱	kan1	
色	sat7	
艷	jiɛm6	
艾	ŋai6	
艾	ŋɔi6	
芍	sɔk8	
芒	mɔŋ1	～果
芒	mɔŋ2	
芙	hu2	
芝	tsi1	
芥	kai5	
芬	hun1	
芭	pa1	
芮	jui6	
花	va1	
芳	vɔŋ1	
芹	kʰin2	
芽	ŋa2	
苔	tʰɔi2	
苗	miɛu2	
苛	hɔ1	
苟	kəø3	
若	jyœk8	
苦	hu3	
英	eŋ1	
苻	hu2	
茁	tsɔt7	
茁	tsʰɔt7	
茂	mau6	
茂	məø6	
范	van6	
茄	kʰɛ2	
茄	kʰœ2	
茅	mau2	
茉	mɔt8	
茗	meŋ5	
茫	mɔŋ2	
茱	tsy1	
茲	tsi1	
茴	wɔi2	
茵	in1	
茶	tsʰa2	
茸	jəŋ2	
草	tsʰau3	
荊	kiaŋ1	
荊	keŋ1	
荒	vɔŋ1	
荔	lɛi6	
荷	hɔ6	負～
荷	kʰai1	荷物
荼	tʰu2	
莆	pʰu2	
莊	tsɔŋ1	
莎	sa1	
莓	mɔi2	
莖	keŋ5	
莢	kap7	
莫	mɔk8	
莽	mɔŋ5	
菁	tseŋ1	
菊	kʰək7	
菌	kʰun3	
菖	tsʰɔŋ1	
菜	tsʰɔi5	
菩	pʰu2	
華	wa2	
萄	tʰau2	
萊	lɔi1	
萌	maŋ2	
萍	pʰeŋ2	
萎	ui3	
萬	man6	
落	lɔk8	
葉	jiɛp8	
著	tsy5	顯～
著	tsʰɔk8	
葛	kɔt7	
葛	kʰɔt7	
葡	pʰu2	
董	təŋ3	
葦	wui5	
葩	pa1	
葩	pʰa1	
葫	hu2	
葬	tsɔŋ5	
葵	kʰui2	
葷	hun1	
蒂	tɛi5	
蒐	ɬau1	
蒙	məŋ2	
蒜	ɬɔn5	
蒲	pʰu2	
蒸	tseŋ1	
蒼	tsʰɔŋ1	
蒿	hau1	
蓄	tsʰək7	
蓆	tsʰiak8	
蓉	jəŋ2	
蓋	kɔi5	
蓋	kʰɔi5	
蓬	pʰəŋ2	
蓮	liɛn2	
蔑	miɛt8	
蔓	man6	
蔔	pʰat8	
蔗	tsa5	
蔡	tsʰai6	
蔡	tsʰɔi5	
蔣	tsyœŋ3	
蔥	tsʰəŋ1	
蔬	sɔ1	
蔭	im5	
蔽	pɛi5	
蕃	van1	
蕉	tsiɛu1	
蕊	jui5	
蕎	kʰiɛu2	
蕩	tɔŋ5	
蕩	tʰɔŋ6	
蕭	ɬiɛu1	
蕹	ɔŋ1	
蕾	lui2	
薄	pʰɔk8	
薑	kyœŋ1	
薔	tsʰyœŋ2	
薛	ɬiɛt7	
薦	tsiɛn5	
薩	ɬat7	
薪	ɬin1	
薯	sy2	
薰	hun1	
薺	tsʰɛi6	
藉	tsʰek8	
藍	lam2	
藏	tsʰɔŋ2	～匿
藏	tsʰɔŋ6	西～
藐	miɛu3	
藕	ŋəø3	
藕	ŋəø5	
藝	ŋɛi6	
藤	tʰan2	
藥	jyœk8	
藹	ɔi5	
藿	kʰɔk7	
蘆	lu2	
蘇	ɬu1	
蘋	pʰeŋ2	
蘑	mɔ2	
蘚	ɬiɛn3	
蘭	lan2	
蘸	tsiɛm3	
蘿	lɔ2	
虎	hu3	
虐	jyœk8	
虔	kʰiɛn2	
處	tsʰy3	～理
處	tsʰy5	
虛	hi1	
虛	hy1	
虞	jy2	
號	hau6	
虧	kʰui1	
虱	siɛt7	
虹	həŋ2	
蚊	mun9	
蚌	pʰɔŋ5	
蚜	ŋa2	
蚣	kəŋ1	
蚤	tsau3	
蚩	tsʰi1	
蚯	hiu1	
蛀	tsy5	
蛆	tsʰy1	
蛇	sa2	
蛋	tʰan6	
蛙	wa1	
蛛	tsy1	
蛤	ha2	
蛹	jəŋ3	
蛻	tʰɔi5	
蛾	ŋɔ2	
蜈	ŋu2	
蜍	tsʰy2	
蜒	jiɛn2	
蜓	tʰeŋ2	
蜘	tsi1	
蜜	mit8	
蜢	maŋ5	
蜻	tsʰeŋ1	
蝌	vɔ1	
蝕	siɛt8	
蝕	sek8	
蝗	wɔŋ2	
蝙	piɛn3	
蝠	hək7	
蝦	ha1	
蝦	ha2	
蝶	tʰiɛp8	
蝸	jɔ1	
蝻	nam5	
螂	tsəø5	
螂	lɔŋ2	
螃	pʰɔŋ2	
融	jəŋ2	
螞	ma6	
螢	jeŋ2	
螳	tʰɔŋ2	
螺	lɔ2	
螺	lœ2	
蟆	ma2	
蟒	mɔŋ5	
蟬	siɛm2	
蟲	tsʰəŋ2	
蟹	hai5	
蟾	kʰam2	
蠅	jeŋ2	
蠍	hiɛt7	
蠔	hau2	
蠟	lap8	
蠢	tsʰun3	
蠺	tsʰam2	
蠻	man2	
行	haŋ2	
行	hɔŋ2	銀～
衍	jiɛn3	
術	sut8	
衕	tʰəŋ2	
街	kai1	
衙	ŋa2	
衛	wui6	
衝	tsʰəŋ1	
衡	haŋ2	
衣	i1	
表	piɛu3	
衫	sam1	
衫	tsɔk7	
衰	sɔi1	
衲	nap8	
衷	tsʰəŋ1	從～容
袁	jyœn2	
袂	mɛi6	
袈	ka1	
袋	tʰɔi6	
袍	pʰau2	
袖	tsʰiu6	
被	pʰi5	
被	pʰi6	
被	tsʰək8	
裁	tsʰɔi2	
裂	niɛt7	
裂	niɛt8	
裊	niɛu3	
裌	kʰiɛp8	
裕	jy6	
裙	kʰun2	
補	pu3	
裝	tsɔŋ1	
裟	sa1	
裡	li5	
裱	piɛu3	
裳	sɔŋ2	
裴	pʰɔi2	
裸	lɔ3	
裹	kɔ3	
製	tsɛi5	
複	hək7	
褒	pau1	
褚	tsʰy3	
褥	jək8	
褪	tʰui5	
褪	tʰun5	向後退
褲	hu5	
褶	tsiɛp7	
褸	ləø1	大衣
襄	ɬyœŋ1	
襖	au3	
襟	kim1	
襟	kʰim1	
襪	mat8	
襯	tsʰin5	
襲	tsʰip8	
西	ɬɛi1	
要	ŋiɛu1	
要	jiɛu1	～求
要	jiɛu5	重～
覃	tʰam2	
覆	pʰək7	翻蓋、蓋住
覆	hək7	
見	kiɛn5	
規	kui1	
規	kʰui1	
覓	mek8	
視	si6	
親	tsʰin1	
覲	kin5	
覺	kau5	瞓～
覺	kɔk7	
覺	kʰɔk7	
覽	lam5	
觀	kɔn1	參～
觀	kɔn5	道～
角	kɔk7	
解	kai3	～開
觴	sɔŋ1	
觸	tsʰək7	
言	ŋiɛn2	
言	jiɛn2	
訂	tiaŋ5	
訂	teŋ5	
計	kɛi3	
計	kɛi5	
訊	ɬin5	
訌	həŋ5	
討	tʰau3	
訓	hun5	
訕	san5	
託	tʰɔk7	
記	ki5	
訛	ŋɔ2	
訝	ŋa6	
訟	tsʰəŋ6	
訪	vɔŋ3	
設	siɛt7	
許	hi3	
許	hy3	
訴	ɬu5	
診	tsin3	
診	tsʰin3	
註	tsy5	
詐	tsa5	
詔	tsiɛu5	
評	pʰeŋ2	
詞	tsʰi2	
詞	lɛ1	
詞	kɛ1	
詣	ŋɛi6	
試	si5	
詭	kui3	
話	wa6	
話	lɛ1	
該	kɔi1	
該	kʰɔi1	
詳	tsʰyœŋ2	
詹	tsiɛm1	
誅	tsy1	
誇	kʰa1	
誌	tsi5	
認	ŋeŋ6	
誑	kʰɔŋ2	
誓	sɛi6	
誕	tʰan6	
誘	jiu6	
語	jy5	
語	lɛ1	
誠	seŋ2	
誣	mu2	
誤	ŋu6	
誦	tsʰəŋ6	
誨	vɔi5	
說	sɔt7	
誰	sui2	
課	vɔ5	
課	kʰɔ5	
誼	ŋi2	
誼	ji2	
調	tʰiɛu2	～節
調	tʰiɛu6	
諄	tsun1	
談	tʰam2	
請	tsʰiaŋ3	
請	tsʰeŋ3	
諒	lyœŋ6	
論	lun6	
諜	tʰiɛp8	
諧	hai2	
諫	kan5	
諱	wui5	
諸	tsy1	
諾	nɔk8	
謀	məø2	
謂	wui6	
謊	vɔŋ3	
謎	mɛi2	
謗	pɔŋ5	
謙	hiɛm1	
講	kɔŋ3	
謝	tsʰɛ6	
謠	tʰɛi3	
謬	miu6	
謹	kin3	
謾	kʰɔi6	
證	tseŋ5	
譏	ki1	
識	sek7	
譚	tʰam2	
警	keŋ3	
譬	pʰi5	
譯	jek8	
議	ŋi6	
議	ji6	
護	hu6	
譽	jy6	
讀	tʰək8	
變	piɛn5	
讓	ŋyœŋ6	
讓	jyœŋ6	
讕	lan5	讕叻：自命不凡，自以為是
讚	tsan5	
谷	kək7	
豁	vɔt7	
豆	tʰəø6	
豈	hi3	
豉	si6	
豌	wɔn3	
豎	sy6	
豕	si3	
豚	tʰun2	
象	tsʰyœŋ6	
豪	hau2	
豫	jy6	
豬	tsi1	
豬	tsy1	
豹	pʰau5	
豺	tsʰai2	
貂	tiɛu1	
貌	mau6	
貓	mau1	
貓	miɛu1	
貝	pɔi5	
貞	tseŋ1	
負	hu6	
財	tsʰɔi2	
貢	kəŋ5	
貧	pʰin2	
貨	vɔ5	
販	van5	
貪	tʰam1	
貫	kɔn5	
責	tsak7	
貳	ŋi6	
貴	kui5	
買	mai5	
貸	tʰai5	
費	vɛi5	
貼	tiɛp7	
貼	tʰiɛp7	
貿	mau6	
貿	məø6	
賀	hɔ5	
賂	lu6	
賄	vɔi3	
資	tsi1	
賈	ka3	
賊	tsʰat8	
賊	tsʰak8	
賒	sa1	
賓	pin1	
賜	tsʰi5	
賞	sɔŋ3	
賠	pʰɔi2	
賢	hiɛn2	
賣	mai6	
賤	tsʰiɛn6	
賦	hu5	
質	tsit7	
賬	tsɔŋ5	
賭	tu3	
賴	lai6	
賺	tsʰan6	
購	kəø5	
購	kʰəø5	
購	kʰəø6	
賽	sai6	
賽	ɬai5	
贅	tsui5	
贊	tsan5	
贏	jiaŋ2	
贓	tsɔŋ1	
贖	sək8	
赤	tsʰak7	
走	tsəø3	
赴	hu6	
起	hi3	
趁	tsʰin5	
超	tsʰiɛu1	
趕	kɔn3	
趙	tsʰiɛu6	
趜	kək7	趕走
趟	tʰɔŋ5	
趣	tsʰy5	
趨	tsʰy1	
足	tsək7	
趴	pʰa1	
趾	tsi3	
跌	tiɛt7	
跑	pʰau3	
跙	tsʰɛ3	走開、離去
跚	san1	
跛	pɛi1	
距	kʰy5	
距	kʰy6	
跟	kan1	
跡	tsiak7	
跡	tsek7	
跨	kʰa1	
跩	jɛi5	不乖，調皮
跪	kʰui6	
路	lu6	
跳	tʰiɛu2	
踎	mau1	
踏	tʰap7	
踐	tsʰiɛn3	
踐	tsʰiɛn6	
踢	tʰiak7	
踩	tsʰai3	
踩	jai3	
踭	tsaŋ1	腳後跟、肘部
踱	tʰɔk8	
踴	jəŋ3	
踹	jai3	
蹄	tʰɛi2	
蹈	tʰau6	
蹊	kʰɛi1	
蹤	tsəŋ1	
蹭	tsʰan5	
蹱	tsəŋ1	頭朝地栽下去
躁	tsʰau5	
躉	tun3	
躋	tsɛi1	
躍	jyœk8	
身	sin1	
躬	kəŋ1	
躲	tɔ3	
躺	tʰɔŋ3	
車	ky1	
車	tsʰa1	
軋	at7	
軌	kui3	又
軌	kʰui3	
軍	kun1	
軒	hiɛn1	
軟	ŋyœn5	
軟	jyœn5	
軸	tsʰək8	
較	kau5	
載	tsɔi3	年
載	tsɔi5	～重
輔	pʰu3	
輕	hiaŋ1	
輕	heŋ1	
輛	lyœŋ6	
輝	hui1	
輩	pɔi5	
輪	lun2	
輯	tsʰip8	
輸	sy1	
轄	hat8	
轆	lək7	輪子、軲轆，引申為滾動、碾、軋
轉	tsɔn3	～達
轉	tsɔn5	回去；～圈
轍	tsʰiɛt8	
轎	kʰiɛu6	
辛	ɬin1	
辟	pʰek7	
辣	lat8	
辦	pʰan6	
辨	pʰiɛn6	
辭	tsʰi2	
辯	pʰiɛn6	
辰	sin2	
辱	jək8	
農	nəŋ2	
迂	y1	
迅	ɬun5	
迎	ŋiaŋ2	舉
迎	jiaŋ2	
迎	jeŋ2	
近	kʰin5	
近	kʰin6	
迢	tʰiɛu2	
迦	ka1	
迪	tʰek8	
迫	pʰi6	
迫	pek7	
迭	tʰiɛt8	
述	sut8	
迴	wɔi2	
迷	mɛi2	
迸	peŋ5	
追	tsui1	
退	tʰui5	
退	tʰɔi5	
送	ɬəŋ5	
逃	tʰau2	
逆	ŋiak8	
逆	ŋek8	
逆	jek8	
透	tʰəø5	
逐	tsʰək8	
途	tʰu2	
逕	keŋ5	
逗	tʰəø6	
通	lɛ1	
通	tʰəŋ1	
逛	kɔŋ5	
逝	sɛi6	
逞	tsʰeŋ3	
速	tsʰək7	
造	tsʰau6	
連	na1	
連	liɛn2	
週	tsiu1	
進	tsin5	
逵	kʰui2	
逸	jit8	
逼	pek7	
逾	jy2	
遁	tʰun6	
遂	ɬui6	
遇	ŋi6	
遇	ŋy6	
運	wun6	
遍	piɛn5	
遍	pʰiɛn6	～地
過	kɔ5	
遏	ɔt7	
遐	ha2	
道	tʰau6	
達	tʰat8	
違	wui2	
遥	jiɛu2	
遛	liu1	
遜	ɬun3	
遞	tɛi5	又
遞	tʰɛi6	
遠	jyœn5	
遣	hiɛn3	
適	sek7	
遭	tsau1	
遮	tsa1	
遲	tsʰi2	
遵	tsun1	
遷	tsʰiɛn1	
選	ɬyœn3	
遺	wui2	
遼	liɛu2	
避	pʰi5	
邀	jiɛu1	
邁	mai6	
還	wan2	
邊	piɛn1	
邏	la2	
邏	lɔ2	
邑	ip7	
邕	jəŋ1	
那	na5	
那	nɛi6	什麼
邦	pɔŋ1	
邪	tsʰɛ2	
邱	hiu1	
邵	siɛu6	
邸	tɛi3	
郁	jək7	
郊	kau1	
郎	lɔŋ2	
郝	hɔk7	
郡	kʰun6	
部	pʰu6	
郭	kɔk7	
郭	kʰɔk7	
郵	jiu2	
都	tu1	
鄂	ŋɔk8	
鄉	hyœŋ1	
鄒	tsəø1	
鄙	pi3	
鄧	tʰan6	
鄭	tsʰaŋ6	
鄭	tsʰeŋ6	
鄰	lin2	
鄺	kʰɔŋ5	
酉	jiu5	
酊	teŋ1	
配	pʰɔi5	
酒	tsiu3	
酥	ɬu1	
酩	meŋ2	
酪	lau6	
酬	tsʰiu2	
酵	hau1	
酷	hək7	
酸	ɬɔn1	
醇	sun2	
醉	tsui5	
醋	tsʰu5	
醒	ɬiaŋ3	
醒	ɬeŋ3	警～
醜	tsʰiu3	
醫	i1	
醬	tsyœŋ5	
釀	nyœŋ6	
釀	ŋyœŋ6	
釀	jyœŋ6	
釁	hin5	
釋	sek7	
里	li5	
重	tsʰəŋ2	～複
重	tsʰəŋ5	輕～
重	tsʰəŋ6	～要
野	ja5	
量	lyœŋ2	測～
量	lyœŋ6	質～
釐	li2	
金	kim1	
釘	tiaŋ1	
釜	hu3	
針	tsim1	
釣	tiɛu5	
釧	tsʰɔn1	
釵	tsʰai1	
鈉	nap8	
鈍	tʰun6	
鈔	tsʰau1	
鈕	niu3	
鈞	kun1	
鈪	ak7	手鐲
鈴	liaŋ2	
鈴	leŋ2	
鉅	kʰy6	
鉑	pʰak8	
鉗	kʰiɛm2	
鉛	jyœn2	
鉤	kəø1	
鉸	kau3	
銀	ŋin2	
銃	tsʰəŋ1	
銅	tʰəŋ2	
銘	meŋ2	
銜	ham2	
銬	kʰau5	
銳	jui6	
銷	ɬiɛu1	
銻	tʰɛi1	
銼	tsʰɔ2	
鋤	tsʰɔ2	
鋪	pʰu1	
鋸	ky5	
鋼	kɔŋ5	
錄	lək8	
錍	pʰɛi1	
錐	tsui1	
錘	tsʰui2	
錠	tʰeŋ6	
錢	tsʰiɛn2	
錦	kim3	
錨	miɛu2	
錫	ɬiak7	
錮	ku5	
錯	tsʰɔ5	
錳	maŋ5	
錶	piɛu1	
鍊	liɛn6	
鍍	tʰu6	
鍛	tɔn5	
鍵	kʰiɛn6	
鍾	tsəŋ1	
鎖	ɬɔ3	
鎧	kʰɔi3	
鎧	hɔi3	
鎮	tsin3	羅陽～
鎮	tsin5	～壓
鏈	liɛn6	
鏟	tsʰan3	
鏡	kiaŋ5	
鏢	piɛu1	
鏤	ləø6	
鏽	ɬiu5	
鐘	tsəŋ1	
鐮	liɛm2	
鐵	tʰiɛt7	
鐸	tʰɔk8	
鐺	tsʰaŋ1	平底有邊的鍋
鑄	tsy5	
鑒	kam5	
鑰	si2	
鑰	jyœk8	
鑲	ɬyœŋ1	
鑷	niɛp8	
鑼	lɔ2	
鑽	tsɔn1	～孔
鑽	tsɔn5	～石
鑿	tsʰɔk8	
長	tsɔŋ3	生～
長	tsʰɔŋ2	～短
門	mɔn2	
閂	san1	
閃	siɛm3	
閉	pɛi5	
開	hɔi1	
閏	jun6	
閑	han2	
閒	han2	
間	kan1	中～
間	kan5	～接
閘	tsʰap8	
閣	kɔk7	
閧	həŋ6	
閨	kui1	
閨	kʰui1	又
閩	min5	
閹	jiɛm1	
閻	jiɛm2	
闆	pan3	
闊	vɔt7	
闌	lan2	
闖	tsʰɔŋ3	
關	kan1	
闢	pʰek7	
阪	pan3	
阮	jyœn5	
防	vɔŋ2	
阻	tsɔ3	
阿	a1	
阿	ɔ1	～膠
陀	tʰɔ2	
附	hu6	
陋	ləø6	
陌	mak8	
降	kɔŋ5	～低
降	hɔŋ2	～服
限	han6	
陛	pʰɛi6	
陝	siɛm3	
陡	təø3	
院	jyœn3	
陣	tsʰin6	
除	tsʰi2	
除	tsʰy2	
陪	pʰɔi2	
陰	im1	
陳	tsʰin2	
陶	tʰau2	
陷	ham6	
陸	lək8	
陽	jyœŋ2	
隆	ləŋ2	
隊	tʰui6	
隊	tʰɔi6	
階	kai1	
隔	kak7	
際	tsɛi5	
障	tsɔŋ5	
隧	ɬui6	
隨	tsʰui2	
險	hiɛm3	
隱	in3	
隴	ləŋ3	
隴	ləŋ5	
隸	tɛi5	
隸	tʰɛi6	
隸	lɛi6	
隻	tsak7	
雀	tsyœk7	
雁	ŋan6	
雄	həŋ2	
雅	ŋa5	
集	tsʰip8	
雇	ku5	
雌	tsʰi1	
雌	tsʰi2	
雍	jəŋ1	
雕	tiɛu1	
雖	ɬui1	
雛	tsʰu2	
雛	tsʰɔ1	
雝	jəŋ1	
雞	kɛi1	
離	li2	
難	nan2	～度
難	nan6	患～
雨	jy5	
雲	wun2	
零	liaŋ2	
零	leŋ2	
雷	lui2	
雹	pʰɔk8	
電	tʰiɛn6	
需	ɬi1	
需	ɬy1	
霄	ɬiɛu1	
震	tsin3	
霉	mɔi2	
霍	vɔk7	
霍	kʰɔk7	
霎	sap7	
霑	tsiɛm1	
霓	ŋɛi2	
霖	lim2	
霜	sɔŋ1	
霜	ɬɔŋ1	
霞	ha2	
霧	mu6	
露	lu6	
霸	pa5	
靄	ɔi5	
靈	liaŋ2	
靈	leŋ2	
青	tsʰiaŋ1	
青	tsʰeŋ1	
靖	tsʰeŋ6	
靚	liaŋ5	本字“令”
靚	liaŋ9	同“靚”，帶貶義，可單獨做名詞
靜	tsʰeŋ6	
非	vi1	
靠	kʰau5	
靡	mi2	
面	miɛn6	
革	kak7	
靴	hœ1	
靶	pa3	
鞋	hai2	
鞍	ɔn1	
鞏	kəŋ3	
鞠	kʰək7	
鞦	tsʰiu1	
鞭	piɛn1	
韋	wui5	
韌	ŋin6	
韓	hɔn2	
韜	tʰau1	
韞	un5	
韭	kiu3	
音	im1	
韶	siɛu2	
韻	wun6	
響	hyœŋ3	
頁	jiɛp8	
頂	tiaŋ3	
頂	teŋ3	
頃	kʰeŋ1	～刻
頃	kʰeŋ3	一～
項	hɔŋ5	
順	sun6	
須	ɬy1	
頌	tsʰəŋ6	
預	jy6	
頑	wan2	
頒	pan1	
頓	tun5	
頗	pʰɔ1	
頗	pʰɔ3	
領	liaŋ5	紅～巾、～導
領	leŋ5	本～
頭	tʰəø2	
頭	win2	
頸	kiaŋ3	
頹	tʰui2	
頻	pʰin2	
顆	vɔ3	
顆	kʰɔ1	
題	tʰɛi2	
額	ŋak8	
額	ŋiak8	
顏	ŋan2	
願	ŋyœn6	
願	jyœn6	
顛	tiɛn1	
類	lui6	
顥	hau6	
顴	kʰyœn2	
颱	tʰɔi2	
飄	pʰiɛu1	
飆	piɛu1	
飛	vi1	
食	sek8	
飢	ki1	
飯	van6	
飲	im3	
飼	tsʰi6	
飽	pau3	
飾	sek7	
餃	kau3	
餅	piaŋ3	
餉	hyœŋ3	
養	jyœŋ5	
餌	ŋi5	
餐	tsʰan1	
餓	ŋɔ6	
餘	jy2	
餞	tsʰiɛn6	
餡	ham6	
館	kɔn3	
餴	pun1	餵
餵	ui5	
餾	liu2	
饅	man2	
饅	man6	
饑	ki1	
饒	jiɛu2	
饞	tsʰam2	
首	siu3	
馗	kʰui2	
香	hyœŋ1	
馨	heŋ1	
馬	ky1	
馬	ma5	
馱	tʰɔ2	
馳	tsʰi2	
馴	ɬun2	
駐	tsy5	
駕	ka5	
駛	sɛi3	
駝	tʰɔ2	
駱	lɔk8	
駿	tsun5	
騎	kʰi2	
騎	kʰɛ2	
騙	pʰiɛn5	
騰	tʰan2	
騷	ɬau1	
騾	lɔ2	
驅	kʰy1	
驕	kiɛu1	
驗	ŋiɛm6	
驚	kiaŋ1	
驚	keŋ1	～訝
驢	lu2	
骨	kut7	
骯	ɔŋ1	
骸	hai2	
骾	kʰaŋ3	
髒	tsɔŋ1	
髓	tsʰui5	又
髓	ɬui5	
高	kau1	
髦	mau2	
髦	mau9	
髮	vat7	
鬃	tsəŋ1	
鬆	ɬəŋ1	
鬍	hu2	
鬚	ɬu1	
鬢	pin5	
鬥	təø5	
鬧	nau6	
鬮	kiu1	
鬱	ut7	
鬼	kui3	
魁	vɔi1	
魂	hun2	
魄	pʰak7	
魏	ŋui6	
魔	mɔ1	
魔	mɔ2	
魚	jy2	
魚	jy3	
魯	lu5	
魷	jiu2	
鮑	pau1	
鮮	ɬiɛn1	
鮮	ɬiɛn3	
鯁	kʰaŋ3	
鯉	li5	
鯨	kʰeŋ2	
鯪	liaŋ2	
鯰	niɛm2	
鯽	tsiak7	
鰓	ɬɔi1	
鰣	si2	
鰥	kan1	
鰫	ɬəŋ2	
鰭	kʰi2	
鰻	man6	
鰾	pʰiɛu5	
鱇	hɔŋ1	
鱉	piɛt7	女性生殖器官
鱗	lin2	
鱷	ŋɔk8	
鳥	niɛu3	
鳩	kiu1	
鳴	miaŋ2	
鳴	meŋ2	
鴇	pau3	
鴉	a1	
鴦	jyœŋ1	
鴨	ap7	
鴻	həŋ2	
鴿	kap7	
