#漢字	音標	解釋
㞎	pɔ3	屎～～
蜢	mõ3	
蜻	tsʰĩ1	
蠅	zĩ1	
蝗	xuã2	
蝠	fʉ2	
蝦	ɕiɔ1	
蝶	ti2	
螃	pʰã2	
螳	tʰã2	
螺	lo2	
蟆	mɔ1	癞蛤～
蟒	mã3	
蟥	xuã2	
蟹	xᴀ3	
蠢	tsʰõ3	
血	ɕi2	
衅	sĩ4	
行	sĩ2	～为
行	xã2	商～
街	kᴀ1	
衙	ʑiɔ2	
衡	xɐ̃2	
衣	ʑi1	
補	pʉ3	
表	piɑ3	
衫	sã1	
衰	ʃuᴀ1	
衷	tsõ1	
袁	ʑiɛ2	
袋	tᴀ4	
袍	pʰɑ2	
袖	ɕiɘ4	
袜	vɔ2	
被	pi4	
襲	ɕi2	
裁	tsʰᴀ2	
裂	li2	
裝	tʃuã1	
裌	tɕiɔ2	
裕	ʑi4	
裙	tsʰĩ2	
褲	kʰʉ4	
裳	sã1	
裸	lo3	
裹	ko3	
褂	kuɔ4	
褒	pɘ˞1	
褥	zʉ2	
褪	tʰuɘi4	
褪	tʰõ4	
襖	ɣɑ3	
襟	tsĩ1	
西	ɕi1	
要	ʑiɑ1	～求
要	ʑiɑ4	重～
見	tɕiɛ4	
觀	kuɐ̃1	
規	kuɘi1	
視	sɿᵊ4	
覽	lã3	
覺	tɕio2	～得
覺	tɕiɑ4	睡
角	ko2	
角	tɕio2	两～钱
觘	tsʰɑ4	狗～的，～人
解	kᴀ3	～开
解	xᴀ4	姓
觸	tsʉ2	
言	ʑiɛ2	
詠	zĩ4	
譽	ʑi4	
謄	tʰɐ̃2	
警	tsĩ3	
譬	pʰi2	～如
計	tɕi4	
訂	tĩ4	
認	pʰʉ2	
認	zɐ̃4	
討	tʰɑ3	
讓	zã4	
訖	tɕʰi2	
訓	sĩ4	
議	ʑi4	
記	tɕi4	
講	tɕiã3	
諱	xuɘi4	
許	ɕi3	
論	lõ4	
訟	sõ4	
諷	fõ3	
訪	fã3	
評	pʰĩ2	
詐	tsɔ4	
訴	sʉ4	
診	tsɐ̃1	～所
診	tsɐ̃3	～断
詞	tsʰɿᵊ2	
詔	tsɑ4	
誆	kʰuã1	
試	sɿᵊ4	
詩	sɿᵊ1	
誠	tsʰɐ̃2	
話	xuɔ4	
詭	kuɘi3	
該	kᴀ1	
詳	tɕʰiã2	
語	ʑi3	
誤	vʉ4	
誘	ʑiɘ4	
說	so2	
誦	sõ4	
請	tsʰĩ3	
諾	no2	
讀	tʉ2	
課	kʰo4	
誰	ʃuɘi2	
調	tʰiɑ2	～和
調	tʰiɑ3	～头
調	tiɑ4	～动
諒	liã4	
談	tʰã2	
誼	ni2	
謀	mɘ˞2	
謊	xuã3	
謂	uɘi4	
諺	ʑiɛ4	
謎	mi4	
謝	ɕi4	
謠	ʑiɑ2	
謗	pã4	
謙	tɕʰiɛ1	
謹	tsĩ3	
謬	miɘ4	
譚	tʰã2	
譜	pʰʉ3	
谷	kʉ2	
豁	xo2	
豆	tɘ˞4	～号
豉	sɿᵊ4	豆～
豌	uɐ̃1	
象	ɕiã4	
豪	xɑ2	
豹	pɑ4	
豺	tsʰᴀ2	
貂	tiɑ1	
貌	mɑ4	
貞	tsɐ̃1	
負	fʉ4	
貢	kõ4	
財	tsʰᴀ2	
責	tsɘi2	
賢	ɕiɛ2	
敗	pᴀ4	
貨	xo4	
販	fã4	
貪	tʰã1	
貧	pʰĩ2	
貶	piɛ3	
購	kɘ˞4	
貫	kuɐ̃4	
賤	tɕiɛ4	
貼	tʰi2	
貴	kuɘi4	
貸	tᴀ4	
貿	mʉ4	
費	fɘi4	
賀	xo4	
賊	tsɘi2	
賈	tɕiɔ3	
賄	xuɘi4	
賃	lĩ4	
贓	tsã1	
賑	tsɐ̃4	
賒	sɘi1	
賦	fʉ4	
賭	tʉ3	
贖	sʉ2	
賞	sã3	
賜	tsʰɿᵊ4	
賠	pʰɘi2	
賴	lᴀ4	
贅	tʃuɘi4	
賽	sᴀ4	
赞	tsã4	
贈	tsɐ̃4	
贏	zĩ2	
赦	sɘi4	
赫	xɘi2	
走	tsɘ˞3	
赴	fʉ4	
趙	tsɑ4	
趕	kã3	
起	tɕʰi3	
趁	tsʰɐ̃4	
超	tsʰɑ1	
越	ʑi2	
趨	tɕʰi1	
趟	tʰã4	
趣	tɕʰi4	
足	tsʉ2	
趴	pʰɔ1	
躉	tõ3	～来卖
躍	ʑiɑ4	
跑	pʰɑ2	
距	tɕi4	
跡	tɕi2	
跨	tɕʰiɔ4	白
跨	kʰuɔ4	文
跩	tʃuᴀ4	
跪	kuɘi4	
路	lʉ4	
跳	tʰiɑ4	
蹺	tɕʰiɑ1	
踏	tʰɔ2	
蹄	tʰi2	
蹦	põ4	
蹲	tõ1	
躁	tsʰɑ4	
身	sɐ̃1	
躬	kõ1	
躲	to3	
躺	tʰã3	
車	tɕi1	
車	tsʰɘi1	
軋	tsɔ2	
軌	kuɘi3	
軒	ɕiɛ1	
轉	tʃuɐ̃3	～动
轉	tʃuɐ̃4	～圈
軛	ɣɘi2	
輪	lõ2	
軟	ʒuɐ̃3	
轟	xõ1	
軸	tsʉ2	
輕	tsʰĩ1	
載	tᴀ4	～重量
轎	tɕiɑ4	
輔	fʉ3	
輦	niɛ3	
輩	pɘi4	
輝	xuɘi1	
輯	tɕi2	
輸	sʉ1	
辛	sĩ1	
辭	tsʰɿᵊ2	
辟	pʰi2	
辟	pi4	
辣	lɔ2	
辨	piɛ4	
辯	piɛ4	
辮	piɛ4	
辱	zʉ2	
邊	piɛ1	
达	tɔ2	
迁	tɕʰiɛ1	
迂	ʑi1	人很～
迅	sĩ4	
過	ko4	
迎	zĩ2	
運	zĩ4	
近	tsĩ4	
還	xᴀ2	～有
還	xuɐ̃2	归～
這	tɕi1	白
這	tsɘi4	文
進	tsĩ4	
遠	ʑiɛ3	
違	uɘi2	
連	liɛ2	
遲	tsʰɿᵊ2	
迫	pʰɘi2	
述	sʉ2	
迷	mi2	
追	tʃuɘi1	
退	tʰuɘi4	
送	sõ4	
適	sɿᵊ2	
適	sɿᵊ4	合～
逃	tʰɑ2	
選	ɕiɛ3	
透	tʰɘ˞4	
逐	tsʉ2	
遞	tʰi4	
途	tʰʉ2	
逗	tɘ˞1	挑～
逗	tɘ˞4	
通	tʰõ1	
逛	kuã4	
速	sʉ2	
造	tsʰɑ4	
逢	fõ2	
逮	tᴀ3	
逵	kʰuɘi2	
逸	ʑi2	
遇	ʑi4	
遍	pʰiɛ4	
道	tɑ4	
遺	ʑi2	
遺	tɕʰiɛ3	
遭	tsɑ1	
遮	tsɘi1	
遵	tsõ1	
邀	ʑiɑ1	
那	ɔ1	白
邦	pã1	
邪	ɕi2	
郵	ʑiɘ2	
邵	sɑ4	
鄒	tsɘ˞1	
鄰	lĩ2	
郁	zʉ2	
郊	tɕiɑ1	
郎	lã2	
鄭	tsɐ̃4	
郝	xo2	
郡	tsĩ4	
部	pʉ4	
郭	ko2	
都	tʉ1	～市
都	tɘi1	白
鄙	pʰi3	
酉	ʑiɘ4	
配	pʰɘi4	
酒	tɕiɘ3	
酬	tsʰɘ˞2	
醬	tɕiã4	
酵	ɕiɑ4	
酷	kʰʉ2	
酸	ʃuɐ̃1	
釅	ʑiɛ4	
釀	zã3	～酒
釀	niã4	
醃	ʑiɛ1	
醉	tʃuɘi4	
醋	tsʰʉ4	
醒	sĩ3	
采	tsʰᴀ3	
釉	ʑiɘ4	
里	li3	
里	ʑi3	～头
重	tsʰõ2	
重	tsõ4	
野	ʑi3	
量	liã2	丈～
量	liã4	数～
金	tsĩ1	
鉴	tɕiɛ4	
鐳	luɘi1	
针	tsɐ̃1	
釘	tĩ1	
釘	tʰĩ1	～钯儿
釘	tĩ4	
釣	tiɑ4	
釵	tsʰᴀ1	
鈔	tsʰɑ1	
钟	tsõ1	
鋼	kã1	
鑰	ʑio2	
欽	tsʰĩ1	
鉤	kɘ˞1	
鈀	pʰɔ1	
錢	tɕʰiɛ2	
鉗	tɕʰiɛ2	
鑽	tʃuɐ̃1	
鑽	tʃuɐ̃4	～子
鐵	tʰi2	
鈴	lĩ2	
鉛	tɕʰiɛ1	
鉚	mɑ3	
鉋	pɑ4	
銅	tʰõ2	
鍘	tsɔ2	
鏵	xuɔ2	
銘	mĩ2	
铲	tsʰã3	
銀	zĩ2	
鑄	tsʉ4	
鋪	pʰʉ1	～设
鋪	pʰʉ4	
銷	ɕiɑ1	
鎖	so3	
鋤	tsʰʉ2	
鍋	kʉ1	～巴
鍋	ko1	
鏽	ɕiɘ4	
銼	tsʰo4	
鋒	fõ1	
銳	ʒuɘi4	
錯	tsʰo4	
錨	mɑ2	
錛	pɐ̃1	
錫	ɕi2	
錘	tʃʰuɘi2	
錐	tʃuɘi1	
錦	tsĩ3	
錠	tĩ4	
鋸	tɕi4	
鋸	kɘi4	白
鍛	tuɐ̃4	
鍍	tʉ4	
鎮	tsɐ̃4	
鑷	ni2	
鎬	kɑ3	
鏡	tsĩ4	
鐙	tɐ̃4	
鐲	tso2	
镰	liɛ2	
鑲	ɕiã1	
長	tsʰã2	～短
長	tsã3	～大
門	mɐ̃2	
閂	ʃuɐ̃1	
閃	sã3	
閉	pi4	
問	vɐ̃4	
闖	tʃʰuã3	
閏	zõ4	
闲	ɕiɛ2	
間	tɕiɛ1	空～
間	tɕʰiɛ1	中～
間	tɕiɛ4	～断
悶	mɐ̃1	闭嘴，～啰嘴
悶	mɐ̃4	胸～
閘	tsɔ2	
鬧	nɑ4	
閨	kuɘi1	
聞	vɐ̃2	
閩	mĩ3	
閣	ko2	
閻	ʑiɛ2	
闊	kʰo2	
隊	tuɘi4	
阮	ʒuɐ̃3	
防	fã2	
陽	ʑiã2	
陰	zĩ1	
陣	tsɐ̃4	
階	kᴀ1	
阻	tsʉ3	
阿	ɣo1	～胶
附	fʉ4	
際	tɕi4	
隴	lõ3	
陳	tsʰɐ̃2	
陌	mɘi2	
降	ɕiã2	投～
降	tɕiã4	下～
限	ɕiɛ4	
陝	sã3	
陡	tɘ˞3	
院	ʑiɛ4	
院	uɐ̃4	医～
除	tsʰʉ2	
險	ɕiɛ3	
陪	pʰɘi2	
陶	tʰɑ2	
陷	ɕiɛ4	攻～
陷	xã4	～进田头
隆	lõ2	
隨	ʃuɘi2	
隱	zĩ3	
隔	kɘi2	
隘	ɣᴀ4	
障	tsã4	
隧	ʃuɘi4	
隶	li4	
難	nã2	～处
難	nã4	灾～
雀	tɕʰio2	
雁	ʑiɛ4	
雄	ɕiõ2	
雅	ʑiɔ3	
集	tɕi2	
雇	kʉ4	
雌	tsʰɿᵊ1	
雍	ʑiõ1	
雕	tiɑ1	
雨	ʑi3	
雪	ɕi2	
雷	luɘi2	
雹	pɑ4	冰～
霧	vʉ4	
需	ɕi1	
霄	ɕiɑ1	
震	tsɐ̃4	
霍	xo2	
霜	ʃuã1	
霞	ɕiɔ2	
露	lʉ4	
霸	pɔ4	
青	tsʰĩ1	
靜	tsĩ4	
非	fɘi1	
靠	kʰɑ4	
面	miɛ4	对面
面	mɐ̃4	～前
面	mã4	一～走一～说
革	kɘi2	
靴	ɕi1	
鞋	xᴀ2	
鞍	ɣã1	
鞭	piɛ1	
韌	zɐ̃3	
韓	xã2	
韭	tɕiɘ3	
音	zĩ1	
韵	zĩ4	
韶	sɑ2	
頁	ʑi2	
頂	tĩ3	
頃	tsʰĩ3	
項	xã4	
順	ɕi1	
順	sõ4	
顧	kʉ4	
頓	tõ4	
頒	pã1	
頌	sõ4	
領	lĩ3	
頗	pʰo3	
頸	tsĩ3	
頻	pʰĩ2	
頹	tʰuɘi2	
穎	zĩ3	
顆	kʰo1	
題	tʰi2	
顏	ʑiɛ2	
額	ɣɘi2	
顛	tiɛ1	
顫	tsã4	
風	fõ1	
颼	sɘ˞1	
飄	pʰiɑ1	
飛	fɘi1	
餐	tsʰã1	
餐	tsʰɿᵊ2	
饥	tɕi1	
飯	fã4	
飲	zĩ3	
餞	tɕiɛ4	
飽	pɑ3	
飼	sɿᵊ4	
飴	ʑi2	
饒	zɑ2	
餃	tɕiɑ3	
餅	pĩ3	
餓	ɣo4	
館	kuɐ̃3	
餿	sɘ˞1	
饞	tsʰã2	
饅	mã2	
首	sɘ˞3	
香	ɕiã1	
馨	sĩ1	
騲	tsʰɑ3	～马
馬	mɔ3	
馱	tʰo2	
馱	to4	马～子
馳	tsʰɿᵊ2	
驅	tɕʰi1	
駁	po2	
驢	li2	
駛	sɿᵊ3	
駒	tɕi1	
駐	tsʉ4	
駝	tʰo2	
駑	nʉ2	
駕	tɕiɔ4	
罵	mɔ4	
驕	tɕiɑ1	
驗	ʑiɛ4	
駿	tɕʰi1	黑～
騎	tɕʰi2	
騙	pʰiɛ4	
騷	sɑ1	
騾	lo2	
驟	tsʰɘ˞4	
骨	kʉ2	
髓	sõ3	骨～
高	kɑ1	
鬥	tɘ˞4	遇
鬼	kuɘi3	
魁	kʰuɘi1	
魂	xõ2	
魄	pʰɘi2	
魘	ʑiɛ3	
魏	uɘi4	
魔	mo2	
魚	ʑi2	
魯	lʉ3	
鮓	tsɔ3	～肉
鮮	ɕiɛ1	
鯁	kɐ̃3	
鯉	li3	
鯽	tɕi2	
鰓	sᴀ1	
鰥	kuɐ̃1	
鰾	pʰiɑ1	
鱉	pi2	
鱗	lĩ2	
鳥	niɑ3	
鳩	tɕiɘ1	
雞	tɕi1	
鴉	ʑiɔ1	
鸕	lʉ2	
鴨	ʑiɔ2	
鴰	uɔ4	
鴿	ko2	
鸞	luɐ̃2	
鴻	xõ2	
鵝	ɣo2	
鵡	vʉ3	
鵲	tɕʰio2	
鵬	pʰõ2	
鵮	kʰã1	鸡～米
鶴	xo2	
鸚	zĩ1	
鷺	lʉ4	
鷹	zĩ1	
鹿	lʉ2	
麝	sɘi4	
麥	mɘi2	
麯	tɕʰi2	
麩	fʉ1	
麻	mɔ2	
黃	xuã2	
黎	li2	
黏	niɛ2	
黑	xɘi2	
默	mɘi2	
鼎	tĩ3	
鼓	kʉ3	
鼠	tsʰʉ3	
鼻	pi2	
鼾	xã1	
齁	xɘ˞1	
齊	tɕʰi2	
齒	tsʰɿᵊ3	
龍	lõ2	
龕	kʰã1	
龜	kuɘi1	
