#漢字	音標	解釋
㲃	tɕiəu5	拧
牒	tie2	
牘	təu2	
牙	ŋa2	
牙	ʑia2	
牛	ȵiəu2	
牟	məu2	
牡	mau3	新
牡	məu3	老
牢	lau2	
牧	məu5	老
牧	mu2	
物	vu2	
牮	tsan5	
牲	sən1	
牴	ti3	
特	tʰe2	
牽	tɕʰien1	
犀	ɕi1	
犁	li2	
犒	kʰau5	
犛	mau2	
犢	təu2	
犧	ɕi1	
犬	tɕʰyen3	
犯	fan5	
狀	tsaŋ5	
狂	kʰuaŋ2	
狃	ȵiəu3	
狄	ti2	
狐	fu2	
狒	fəi5	
狗	kəu3	
狙	tɕy1	
狠	hən3	
狡	tɕiau3	
狩	səu5	
狴	pi5	
狸	li2	
狹	ɕia2	
狼	laŋ2	
狽	pəi5	
猊	ȵi2	
猖	tsʰaŋ1	
猙	tsən1	
猛	moŋ3	
猜	tsʰai1	
猞	se3	
猢	fu2	
猩	sin1	老
猩	ɕin1	新
猱	nau2	
猴	həu2	
猶	ʑəu2	
猻	sən1	
猾	fa2	
猿	ʑyen2	
獄	ʑy5	
獅	sɿ1	
獎	tɕiaŋ3	新
獎	tsiaŋ3	老
獒	ŋau2	
獗	tɕye2	
獠	liau2	
獨	təu2	
獰	ȵin2	
獲	ho5	
獵	lie5	
獸	səu5	
獺	tʰa3	
獻	ɕien5	
獼	mi2	
玀	lo2	
玄	ɕyen2	
率	li2	老
率	ly2	新
率	sai5	
率	ɕyai5	
玉	ʑy5	
王	vaŋ2	
玖	tɕiəu3	
玟	min2	
玨	tɕio2	
玩	van2	
玫	məi2	
玲	lin2	
玳	tai5	
玷	tien3	
玻	po1	
珀	pʰe2	
珂	kʰo1	
珈	ka1	
珈	tɕia1	
珊	san1	
珍	tsən1	
珠	tɕy1	
班	pan1	
珮	pʰəi5	
現	ɕien5	
球	tɕʰiəu2	
琅	laŋ2	
理	li3	
琉	liəu2	
琍	li2	
琢	tso2	
琥	fu3	
琦	tɕʰi2	
琨	kʰuən1	
琪	tɕʰi2	
琳	lin2	
琴	tɕʰin2	
琵	pʰi2	
琶	pʰa2	
琺	fa2	
瑙	nau3	
瑚	fu2	
瑞	zəi5	
瑟	se2	
瑣	so3	
瑤	ʑau2	
瑩	ʑin2	
瑪	ma3	
瑯	laŋ2	
瑰	kuəi1	
瑾	tɕin3	
璃	li2	
璐	ləu5	
璜	vaŋ2	
璣	tɕi1	
璦	ŋai5	
璧	pi5	
環	fan2	
瓊	tɕʰioŋ2	
瓏	loŋ2	
瓜	kua1	
瓢	pʰiau2	
瓣	pan5	新
瓣	puan5	老
瓤	ɣaŋ2	
瓦	va3	
瓶	pʰin2	
瓷	tsʰɿ2	
甄	tsən1	
甌	ŋəu1	
甕	ɣoŋ1	
甘	kan1	
甚	sən5	
甜	tʰien2	
生	sən1	
生	sən5	生蛋
產	tsʰan3	
甥	sən1	
甦	səu1	
用	ʑoŋ5	
甩	sai3	
甫	fu3	
田	tʰien2	
由	ʑəu2	
甲	ka2	老
甲	tɕia2	新
申	sən1	
男	nan2	
甸	tien5	
畀	pi5	
畈	fan5	
界	kai5	
畏	vəi5	
畔	pʰan5	新
畔	pʰuan5	老
留	liəu2	
畚	pən3	
畜	tsʰəu2	畜生
畜	ɕioŋ2	畜牧局
畝	mau3	新
畝	məu3	老
畢	pi2	
略	lio2	
畦	ɕie2	
番	fan1	
畫	fa5	
異	ʑi5	
當	taŋ1	
當	taŋ5	
畸	tɕʰi2	
疆	tɕiaŋ1	
疇	tsʰəu2	
疊	tie2	
疏	səu1	
疏	ɕy1	
疑	ȵi2	
疙	ke2	同“结”
疚	tɕiəu5	
疤	pa1	
疥	ka5	
疫	ʑy5	
疲	pʰi2	
疵	tsʰɿ1	
疹	tsən3	
疼	tʰən2	
疽	tɕʰy1	
疾	tɕi2	新
疾	tsi2	老
疿	fəi5	
痂	ka1	
痂	tɕia1	
病	pin5	
症	tsən1	
痊	tɕʰyen2	
痔	tsɿ5	
痕	hən2	
痘	təu5	
痙	tɕin5	
痛	tʰoŋ5	
痞	pʰi3	
痢	li5	
痧	sa1	
痰	tʰan2	
痱	fəi1	
痺	pi5	
瘁	tsʰəi5	
瘉	ʑy5	
瘋	hoŋ1	
瘍	saŋ1	
瘓	fan5	
瘟	vən1	
瘠	tɕi2	新
瘠	tsi2	老
瘡	tsʰaŋ1	
瘢	pʰuan2	
瘤	liəu1	
瘦	səu5	
瘧	ȵio2	
瘩	ta2	
瘴	tsaŋ1	
瘸	tɕʰye2	
瘼	mo5	
療	liau2	
癆	lau5	毒药
癌	ŋai2	
癍	pan1	
癒	ʑy5	
癖	pʰi5	
癟	pia3	
癡	tsʰɿ1	
癢	ʑaŋ3	
癥	tsən1	
癥	tsən5	病症
癩	lai5	
癬	ɕyen3	
癮	ʑin3	
癰	ʑoŋ1	
癱	tʰan1	
癲	tien1	
癸	kuəi3	
登	tən1	
發	fa2	
白	pe2	
百	pe2	
皁	tsau5	
皂	tsau5	
的	ti2	
皆	kai1	
皇	vaŋ2	
皈	kuəi1	
皋	kau1	
皎	tɕiau3	
皓	hau5	
皖	van3	
皚	ŋai2	
皮	pʰi2	
皰	pʰau5	
皺	tsoŋ5	白
皺	tsəu5	文
皿	min3	
盂	ʑy2	
盃	pəi1	
盅	tsoŋ1	
盆	pʰən2	
盈	ʑin2	
益	ʑi5	
盎	ŋaŋ5	
盒	ho2	
盔	kʰuəi1	
盛	tsʰən2	
盛	sən5	
盜	tau5	
盞	tsan3	
盟	moŋ2	
盡	tɕin5	新
盡	tsin5	老
監	tɕien1	
監	tɕien5	
盤	pʰan2	新
盤	pʰuan2	老
盥	kuan5	
盧	ləu2	
盪	taŋ5	
目	mu2	
盯	tin1	
盲	maŋ2	
直	tsɿ2	
相	siaŋ1	老
相	siaŋ5	老
相	ɕiaŋ1	新
相	ɕiaŋ5	新
盹	tən3	
盼	pʰan5	新
盼	pʰuan5	老
盾	tən5	
省	sən3	
省	sin3	老
省	ɕin3	新
眉	məi2	新
眉	mi2	老
看	kʰan5	
真	tsən1	
眠	mien2	
眨	tsa2	
眩	ɕyen5	
眯	mi2	眯坨
眯	mi5	笑眯
眶	kʰuaŋ1	
眷	tɕyen5	
眸	məu2	
眺	tʰiau5	
眼	ŋan3	
眾	tsoŋ5	
着	tsʰo5	着凉
睏	kʰuən5	
睛	tɕin1	新
睛	tsin1	老
睜	tsən1	
睞	lai5	
睡	səi5	
睡	ɕy5	
督	təu1	监督
督	təu2	督促
睦	mu2	
睨	ȵi5	
睩	ləu2	
睫	tɕie2	新
睫	tsa2	白
睫	tsie2	老
睬	tsʰai3	
睹	təu3	
睽	kʰuəi2	
睾	kau1	
睿	zəi5	
瞀	vu5	视不清
瞄	miau1	
瞌	kʰo2	
瞎	ɕia2	
瞑	min2	
瞞	man2	新
瞞	muan2	老
瞟	pʰiau3	
瞥	pʰie3	
瞧	tsʰiau2	老
瞧	tɕʰiau2	新
瞪	tən5	
瞬	sən5	
瞬	ɕyn5	
瞭	liau3	
瞰	kʰan5	
瞳	tʰoŋ2	
瞵	lin2	
瞻	tsan1	新
瞻	tsen1	老
瞿	tɕʰy2	
矇	moŋ1	
矗	tsʰəu5	
矚	tɕy3	
矚	tsəu3	
矛	mau2	
矢	sɿ3	
矣	ʑi3	
知	tsɿ1	
矩	tɕy3	
短	tuan3	
矮	ŋai3	
矯	tɕiau3	
石	sɿ2	
矽	si2	老
矽	ɕi2	新
砂	sa1	
砌	tsʰəi5	
砍	kʰan3	
砒	pʰəi1	
研	ȵien1	老
研	ʑen2	新
砧	tsən1	
砭	pien1	
砰	pʰoŋ3	
破	pʰo5	
砷	sən1	
砸	tsa2	
砹	ŋai5	
硃	tɕy1	
硒	ɕi1	
硝	siau1	老
硝	ɕiau1	新
硫	liəu2	
硬	ɣən5	硬要
硬	ŋən5	软硬
硯	ȵien5	老
硯	ʑen5	新
硼	pʰoŋ2	
碉	tiau1	
碌	ləu5	
碎	səi5	
碑	pəi1	
碗	van3	
碘	tien3	
碚	pəi5	
碟	tie2	
碧	pi5	
碩	so5	
碰	pʰaŋ3	白读
碰	pʰoŋ5	
碰	pʰoŋ5	文读
碳	tʰan5	
碴	sa1	
確	tɕʰio2	
碼	ma3	
碾	ȵien3	
磁	tsʰɿ2	
磅	pʰaŋ1	
磉	saŋ3	
磊	ləi3	
磋	tsʰo1	
磐	pʰuan2	
磕	kʰo2	
磚	tɕyen1	
磨	mo2	
磨	mo5	
磬	tɕʰin5	
磯	tɕi1	
磷	lin2	
磺	faŋ2	
礁	tɕiau1	新
礁	tsiau1	老
礎	tsʰəu3	
礙	ŋai5	
礦	kʰuaŋ5	
礪	li5	
礬	fan2	
礱	loŋ2	
示	sɿ5	
社	se5	
祀	sɿ5	
祁	tɕʰi2	
祈	tɕʰi2	
祐	ʑəu5	
祕	pi5	
祖	tsəu3	
祝	tsʰəu5	
祝	tɕy5	
神	sən2	
祟	səi5	
祠	tsʰɿ2	
祥	siaŋ2	老
祥	ɕiaŋ2	新
票	pʰiau5	
祭	tɕi5	新
祭	tsi5	老
祺	tɕʰi2	
祿	ləu5	
禁	tɕin1	
禁	tɕin5	
禍	ho5	
福	fu2	
禦	ʑy5	
禮	li3	
禱	tau3	
禹	ʑy3	
禽	tɕʰin2	
禾	ɣo2	
禿	tʰəu1	
秀	siəu5	老
秀	ɕiəu5	新
私	sɿ1	
秉	pin3	
秋	tsʰiəu1	老
秋	tɕʰiəu1	新
科	kʰo1	
秒	miau3	
秕	pi3	
租	tsəu1	
秣	mo2	
秤	tsʰən5	
秦	tsʰin2	老
秦	tɕʰin2	新
秧	ʑaŋ1	
秩	tsʰɿ5	老
秩	tsɿ5	新
秸	tɕie2	
移	ʑi2	
稀	ɕi1	
稅	səi5	
稈	kan3	
程	tsʰən2	
稍	sau1	
稗	pai5	
稚	tsɿ5	
稜	lən2	
稞	kʰo1	
稟	pin3	
稠	tsʰəu2	
種	tsoŋ3	
種	tsoŋ5	
稱	tsʰən1	
稱	tsʰən5	
稷	tɕi5	
稻	tau5	
稼	ka5	
稼	tɕia5	
稽	tɕi1	
稿	kau3	
穀	ku2	
穆	məu5	庄严肃穆
穆	mu5	
穌	səu1	
積	tɕi2	新
積	tsi2	老
穎	ʑin3	
穗	fəi5	
穡	se5	
穢	fəi5	
穩	vən3	
穫	ho5	
穴	ɕie2	老
穴	ɕye2	新
究	tɕiəu1	
穹	tɕʰioŋ2	
空	kʰoŋ1	
空	kʰoŋ5	
穿	tɕʰyen1	
突	tʰəu2	
窄	tse2	
窒	tsɿ5	
窖	kau5	
窗	tsʰaŋ1	
窘	tɕioŋ3	
窟	kʰu1	
窠	kʰo1	
窩	ɣo1	
窪	va1	
窮	tɕʰioŋ2	
窯	ʑau2	
窺	kʰuəi1	
窿	loŋ2	
竄	tsʰuan5	
竅	tɕʰiau5	
竇	təu5	
竊	tsʰe2	老
竊	tɕʰie2	新
立	li2	
站	tsan5	新
站	tsen5	老
竟	tɕin5	
章	tsaŋ1	
竣	tɕyn5	
童	tʰoŋ2	
竭	tɕie2	
端	tuan1	
競	tɕin5	
竹	tsəu2	
竿	kan1	
笆	pa1	
笈	tɕi2	
笑	siau5	老
笑	ɕiau5	新
笙	sən1	
笛	ti2	
笞	tsʰɿ1	
笠	li2	
笤	tʰiau2	
符	fu2	
笨	pən5	
第	ti5	
筆	pi2	
等	tən3	
筋	tɕin1	
筍	sən3	
筏	fa2	
筐	kʰuaŋ1	
筒	tʰoŋ2	一筒
筒	tʰoŋ3	筒鞋
答	ta2	
策	tsʰe2	
筮	sɿ5	
筷	kʰuai5	
箅	pi5	
箇	ko5	
箋	tɕien1	新
箋	tsen1	老
箍	ku1	
箏	tsən1	
箔	po2	
箕	tɕi1	
算	suan5	
管	kuan3	
箭	tɕien5	新
箭	tsien5	老
箱	saŋ1	
節	tɕie2	新
節	tse2	老
範	fan5	
篆	tɕyen5	
篇	pʰien1	
築	tsəu2	
篙	kau1	
篡	tsʰuan5	
篡	tɕʰyen5	
篤	təu2	
篦	pi1	
篩	se2	
篩	sɿ1	
篳	pi2	
篷	pʰoŋ1	白
篷	pʰoŋ2	文
篾	mie1	竹蔑
簇	tsəu2	
簍	ləu2	
簏	ləu3	簏簏
簑	so1	
簡	tɕien3	
簧	faŋ2	
簫	siau1	老
簫	ɕiau1	新
簷	ȵien2	老
簷	ʑen2	新
簸	po3	
簽	tsʰien1	老
簽	tɕʰien1	新
簾	lien2	
簿	pu5	
籃	lan2	
籌	tsʰəu2	
籍	tɕi2	新
籍	tsi2	老
籐	tʰən2	
籟	lai5	
籠	loŋ2	笼子
籠	loŋ3	笼罩
籤	tsʰien1	老
籤	tɕʰien1	新
籬	li2	
籮	lo2	
籲	ʑy5	
米	mi3	
籽	tsɿ3	
粉	fən3	
粑	pa1	
粒	li2	
粕	pʰo5	
粗	tsʰəu1	
粘	ȵia1	白
粘	ȵien2	文
粟	səu5	
粥	tsəu1	
粱	liaŋ2	
粳	tɕin1	
粵	ʑye5	
粹	tsʰəi5	
粼	lin2	
精	tɕin1	新
精	tsin1	老
糊	fu2	
糕	kau1	
糖	tʰaŋ2	
糙	tsʰau1	粗糙
糙	tsʰau5	毛糙
糜	mi2	
糞	fən5	
糟	tsau1	
糠	kʰaŋ1	
糢	mo2	
糧	liaŋ2	
糯	no5	
糴	ti2	
糸	sɿ1	
系	ɕi5	
糾	tɕiəu1	
紀	tɕi3	
約	ʑo2	
紅	hoŋ1	
紉	ɣən5	白
紉	zən5	文
紊	vən3	
紋	vən2	
納	na2	
紐	ȵiəu3	
紓	səu1	
紓	ɕy1	
純	tsʰən2	
純	tɕʰyn2	
純	suən2	
紗	sa1	
紙	tsɿ3	
級	tɕi2	
紛	fən1	
素	səu5	
紡	faŋ3	
索	so2	索子
索	so3	索要
紫	tsɿ3	
紮	tsa2	
累	ləi5	
細	səi5	
紳	sən1	
紹	sau5	
終	tsoŋ1	
絃	ɕien2	新
絃	ɕyen2	老
組	tsəu3	
絆	pʰan5	新
絆	pʰuan5	老
結	ke2	白读
結	tɕie2	文读
絕	tɕie2	白，死绝
絕	tɕye2	文读
絛	tʰau1	
絞	tɕiau3	
絡	lau2	白读
絡	lo2	文读
絢	ɕyen5	
絣	pin1	
給	ke3	
絨	ɣoŋ2	
絮	səi5	
絮	ɕi5	
統	tʰoŋ3	
絲	sɿ1	
絹	tɕyen1	
綁	paŋ3	
綏	səi2	
綑	kʰuən3	
經	tɕin1	
綜	tsoŋ1	
綠	ləu2	
綢	tsʰəu2	
綬	səu5	
維	vəi2	
綱	kaŋ1	
網	vaŋ3	
綴	tsəi5	
綵	tsʰai3	
綸	nən2	
綹	liəu5	
綺	tɕʰi3	
綻	tsan5	
綽	tsʰo5	
綾	lin2	
綿	mien2	
緄	kuən3	
緊	tɕin3	
緋	fəi1	
緖	ɕi5	
緘	tɕien1	
線	sien5	老
線	ɕien5	新
緝	tɕi2	
緞	tuan5	
締	ti5	
緣	ʑyen2	
緦	sɿ1	
編	pien1	
緩	fan3	
緬	mien3	
緯	vəi3	
緲	miau3	
練	lien5	
緻	tsɿ5	
縛	fu5	
縣	ɕien5	
縫	hoŋ2	
縫	hoŋ5	
縮	so2	
縱	tsoŋ5	
縷	li3	老
縷	ly3	新
縹	pʰiau3	
總	tsoŋ3	
績	tɕi2	新
績	tsi2	老
繁	fan2	
繃	poŋ1	
繆	miəu5	
織	tsɿ2	
繕	san5	新
繕	sen5	老
繚	liau2	
繞	ɣau3	白
繞	ɣau5	白
繞	zau3	文
繞	zau5	文
繡	ɕiəu5	
繩	sən2	
繪	fəi5	
繫	tɕi5	
繫	ɕi5	
繭	tɕien3	
繳	tɕiau3	
繹	ȵi5	老
繹	ʑi5	新
繼	tɕi5	
繽	pin1	
纂	tsuan3	
續	səu2	
續	ɕy2	
纏	tsʰan2	老
纏	tsʰen2	老
纓	ʑin1	
纖	sien1	老
纖	ɕien1	新
纜	lan3	
缶	fəu3	
缸	kaŋ1	
缺	tɕʰio2	老
缺	tɕʰye2	新
缽	po2	
罄	tɕʰin5	
罈	tʰan2	
罐	kuan5	
罕	han1	
罡	kaŋ1	
罩	tsau5	
罪	tsəi5	
置	tsɿ5	
罰	fa2	
署	səu3	
罵	ma5	
罷	pa5	
罹	li2	
羅	lo2	
羈	tɕi1	
羊	ʑaŋ1	
羌	tɕʰiaŋ1	
美	məi3	
羔	kau1	
羚	lin2	
羞	siəu1	老
羞	ɕiəu1	新
羣	tɕʰyn2	
羥	tɕʰin1	
羨	sien5	老
羨	ɕien5	新
義	ȵi5	老
義	ʑi5	新
羯	tɕie2	
羸	ləi2	
羹	kən1	
羽	ʑy3	
翁	ɣoŋ1	
翅	tsʰɿ5	新
翅	tsɿ5	老
翌	ʑi5	
翎	lin2	
習	si2	老
習	ɕi2	新
翔	siaŋ2	老
翔	ɕiaŋ2	新
翟	ti2	
翟	tse2	
翠	tsʰəi5	
翩	pʰien1	
翰	han5	
翱	ŋau2	
翹	tɕʰiau2	弯
翹	tɕʰiau5	
翻	fan1	
翼	ʑi5	
耀	ʑau5	
老	lau3	
考	kʰau3	
者	tse3	
而	ɣə3	
而	ɣe2	
耍	sa3	
耐	nai5	
耕	kən1	
耗	hau5	
耘	ʑyn2	
耙	pʰa2	
耦	ŋəu3	
耳	ɣə3	
耶	ʑe1	
耽	tan1	
耿	kən3	
聆	lin2	
聊	liau2	
聒	ko2	
聖	sən5	
聘	pʰin5	
聚	tɕi5	老
聚	tɕy5	新
聞	vən2	
聯	lien2	
聰	tsʰoŋ1	
聱	ŋau2	
聲	sən1	
聳	soŋ3	
聶	ȵie5	
職	tsɿ2	
聹	ȵin2	
聽	tʰin5	
聾	loŋ1	
肄	ʑi5	
肅	səu5	
肆	sɿ5	
肇	tsau5	
肉	ɣəu2	
肋	le5	文读
肋	ləi5	白读
肌	tɕi1	
肓	faŋ1	
肖	siau1	老
肖	ɕiau1	新
肘	tsəu3	
肚	təu3	猪肚
肚	təu3	
肚	təu5	肚皮
肛	kaŋ1	
肝	kan1	
股	ku3	
肢	tsɿ1	
肥	fəi2	
肩	kan1	老
肩	tɕien1	新
肪	faŋ2	
肮	ŋaŋ1	
肯	kʰən3	
育	ʑəu2	
肴	ɕiau2	
肺	fəi5	
胃	vəi5	
背	pəi5	
胎	tʰai1	
胚	pʰəi1	
胞	pau1	
胡	fu2	
胯	kʰa5	白读
胯	kʰua5	
胰	ʑi2	
胱	kuaŋ1	
胳	ko2	
胸	ɕioŋ1	
能	nən2	
脂	tsɿ3	
脅	ɕie2	
脆	tsʰəi5	
脈	me2	
脊	tɕi2	新
脊	tsi2	老
脖	po2	
脡	tʰin3	
脣	tsʰən2	
脣	tɕʰyn2	
脩	siəu1	老
脩	ɕiəu1	新
脫	tʰo2	
脬	pʰau1	
脯	fu3	
脯	pʰu2	
脹	tsaŋ5	
脾	pʰi2	
腆	tien3	
腈	tɕin1	腈肉
腋	ʑe5	
腎	sən5	
腐	fu3	
腑	fu3	
腔	tɕʰiaŋ1	
腕	van5	
腖	toŋ5	
腡	lo2	
腥	sin1	老
腥	ɕin1	新
腦	nau3	
腩	nan2	
腫	tsoŋ3	
腮	sai1	
腰	ʑau1	
腳	tɕio2	
腸	tsʰaŋ1	
腹	fu5	
腺	sien5	老
腺	ɕien5	新
腿	tʰəi3	
膀	pʰaŋ2	
膊	po2	
膏	kau1	
膘	piau1	
膚	fu1	
膛	tʰaŋ2	
膜	mo2	
膝	tɕʰi1	
膠	tɕiau1	
膨	pʰoŋ2	
膩	ȵi5	
膳	san5	新
膳	sen5	老
膽	tan3	
膿	noŋ2	
臀	tʰən2	
臂	pi5	
臃	ʑoŋ1	
臆	ʑi5	
臉	lien3	
臊	sau1	害臊
臌	ku3	
臍	tsʰəi2	
臘	la2	
臟	tsaŋ5	
臣	tsʰən2	
臥	ɣo5	
臨	lin2	
自	tsɿ5	
臭	tsʰəu5	
至	tsɿ5	
致	tsɿ5	
臺	tʰai2	
臻	tsən1	
臼	tɕiəu5	
舀	ʑau3	
舂	tsʰoŋ1	
舅	tɕiəu5	
與	ʑy3	
興	ɕin1	
興	ɕin5	
舉	tɕy3	
舊	tɕiəu5	
舌	se2	
舍	se3	
舐	sɿ5	
舒	səu1	
舒	ɕy1	
舔	tʰien3	
舜	ɕyn5	
舞	vu3	
舟	tsəu1	
舢	san1	
舨	pan3	
航	haŋ2	
般	pan1	新
般	puan1	老
舭	pi3	
舵	tʰo2	
舶	pe2	
舷	ɕien2	新
舷	ɕyen2	老
船	tɕʰyen2	
艄	sau1	
艇	tʰin3	
艋	moŋ3	
艏	səu3	
艘	səu1	
艙	tsʰaŋ1	
艦	tɕien5	
艮	kən5	
良	liaŋ2	
艱	tɕien1	
色	se2	
艾	ŋai5	
艿	nai3	
芊	tsʰen1	老
芊	tɕʰien1	新
芋	ʑy5	
芒	ɣo2	
芙	fu2	
芝	tsɿ1	
芥	kai5	
芬	fən1	
芭	pa1	
芯	sin1	老
芯	ɕin1	新
花	fa1	
芳	faŋ1	
芹	tɕʰi2	
芽	ʑia2	
苑	ʑyen5	
苓	lin2	
苔	tʰai2	
苕	tʰiau2	
苗	miau2	
苛	ho2	
苜	mu2	
苞	pau1	
苟	kəu3	
若	ɣo2	若干
若	zo2	文读
苦	kʰu3	
苫	san1	新
苫	sen1	老
苯	pən3	
英	ʑin1	
茁	tso2	
茂	mau5	新
茂	məu5	老
范	fan5	
茄	tɕʰye2	
茅	mau2	
茉	mo2	
茗	min2	
茜	tsʰen5	老
茜	tɕʰien5	新
茫	maŋ2	
茬	tsʰa2	
茭	tɕiau1	
茲	tsɿ1	
茴	fəi2	
茵	ʑin1	
茶	tsʰa2	
茸	ɣoŋ2	白
茸	zoŋ2	文
茹	ɣəu2	
草	tsʰau3	
荊	tɕin1	
荏	ɣən3	白
荐	tɕien5	新
荐	tsen5	老
荒	faŋ1	
荔	li5	
荷	ho2	
荸	po2	
莆	pʰu2	
莉	li5	
莊	tɕyaŋ1	
莊	tsaŋ1	
莎	sa1	
莓	məi2	
莖	tɕin1	
莢	tɕia2	
莫	mo2	
莽	maŋ3	
菁	tɕin1	新
菁	tsin1	老
菇	ku1	
菊	tɕy2	
菌	tɕyn5	
菏	ho2	
菜	tsʰai5	
菠	po1	
菩	pʰu2	
華	fa2	
菱	lin2	
菲	fəi1	
菴	ŋan1	
菸	ʑen1	
菽	səu1	
萄	tʰau2	
萊	lai2	
萌	moŋ2	
萍	pʰin2	
萎	vəi3	
萬	van5	
落	lo2	
葆	pau3	
葉	ʑe2	
著	tsʰo5	着凉
著	tau3	等着
著	tɕy5	著名
著	tɕy5	
著	tso2	衣着
葛	ko2	
葡	pʰu2	
董	toŋ3	
葦	vəi3	
葩	pʰa1	
葫	fu2	
葬	tsaŋ5	
葭	ka1	
葭	tɕia1	
葵	kʰuəi2	
葷	fən1	
蒂	ti5	
蒐	səu1	
蒔	sɿ2	
蒙	moŋ1	
蒜	suan5	
蒞	li5	
蒡	paŋ3	
蒲	pʰu2	
蒸	tsən1	
蒹	tɕien1	
蒼	tsʰaŋ1	
蒿	hau1	
蓄	ɕy5	
蓆	si2	老
蓆	ɕi2	新
蓉	ɣoŋ2	
蓉	ʑoŋ2	
蓋	kai5	
蓓	pəi5	
蓖	pi1	
蓬	pʰoŋ2	
蓮	lien2	
蓽	pi2	
蔑	mie2	
蔓	man5	新
蔓	muan5	老
蔔	pu5	
蔗	tse5	
蔚	vəi5	
蔡	tsʰai5	
蔣	tɕiaŋ3	新
蔣	tsiaŋ3	老
蔥	tsʰoŋ1	
蔫	ʑen1	
蔬	səu1	
蔬	ɕy1	
蔭	ʑin1	
蔻	kʰəu5	
蔽	pi5	
蕉	tɕiau1	新
蕉	tsiau1	老
蕊	ləi3	
蕎	tɕʰiau2	
蕨	tɕie2	老
蕨	tɕye2	新
蕩	taŋ5	
蕪	vu2	
蕭	siau1	老
蕭	ɕiau1	新
蕻	hoŋ2	
蕾	ləi3	
薄	po2	
薅	hau1	除草
薇	vəi1	
薈	fəi5	
薊	tɕi5	
薑	tɕiaŋ1	
薔	tsʰiaŋ1	
薛	sie1	老
薛	ɕye1	新
薜	pi5	
薩	sa5	
薪	sin1	老
薪	ɕin1	新
薯	səu3	
薯	ɕy3	
薰	ɕyn1	
薺	tɕi5	新
薺	tsi5	老
藉	tɕi2	新
藉	tsi2	老
藍	lan2	
藏	tsʰaŋ2	
藏	tsaŋ5	
藐	miau3	
藕	ŋəu3	
藝	ȵi5	老
藝	ʑi5	新
藤	tʰən2	
藥	ʑo2	
藨	pʰau1	醋莓
藩	fan1	
藹	ŋai3	
藺	lin5	
藻	tsau3	
蘆	ləu2	
蘇	səu1	
蘊	ɕyn1	
蘋	pʰin2	
蘑	mo2	
蘭	lan2	
蘸	tsan5	新
蘸	tsen5	老
蘿	lo2	
虎	fu3	
虐	ȵio2	
虔	tɕʰien2	
處	tɕʰy3	
處	tɕʰy5	
虛	ɕy1	
虜	ləu3	
虞	ʑy2	
號	hau5	
虧	kʰuəi1	
虯	tɕʰiəu2	
虱	sɿ1	
虹	hoŋ2	
虻	maŋ2	
蚊	vən2	
蚌	paŋ5	
蚍	pʰi2	
蚓	ʑin3	
蚜	ʑia2	
蚣	koŋ1	
蚤	tsau3	
蚪	təu3	
蚯	tɕʰiəu1	
蚶	han1	
蛀	tɕy5	
蛄	ku1	
蛆	tɕʰi1	
蛇	se2	
蛉	lin2	
蛋	tan5	
蛐	tɕi1	叫蛐蛐
蛐	tɕʰy1	
蛑	məu2	
蛔	fəi2	
蛙	va1	
蛛	tɕy1	
蛟	tɕiau1	
蛤	kʰe2	
蛸	siau1	老
蛸	ɕiau1	新
蛹	ʑoŋ3	
蛻	tʰəi5	
蛾	ɣo2	
蜀	səu3	
蜂	hoŋ1	
蜃	sən5	
蜈	vu2	
蜉	fu2	
蜊	li2	
蜒	ʑen2	
蜓	tʰin2	
蜘	tsɿ1	
蜜	mi2	文
蜜	min1	白
蜞	tɕʰi2	
蜢	moŋ3	
蜣	tɕʰiaŋ1	
蜷	tɕʰyen2	
蜻	tsʰin2	老
蝌	kʰo1	
蝕	sɿ2	
蝗	faŋ2	
蝙	pien3	
蝟	vəi5	
蝠	fu2	
蝦	ɕia1	
蝮	fu5	
蝴	fu2	
蝶	tie2	
蝸	va1	
蝻	nan2	
螂	laŋ2	
螃	pʰaŋ2	
螄	sɿ1	
融	ɣoŋ2	
融	ʑoŋ2	
螞	ma3	
螟	min2	
螢	ʑin2	
螯	ŋau2	
螳	tʰaŋ2	
螺	lo2	
螻	ləu2	
蟀	sai5	
蟀	ɕyai5	
蟄	tse2	
蟆	ma2	
蟈	ko2	
蟋	ɕi1	
蟒	maŋ3	
蟛	pʰoŋ2	
蟠	pʰuan2	
蟢	ɕi3	
蟣	tɕi1	
蟥	faŋ2	
蟬	tsʰan2	
蟲	tsʰoŋ2	
蟹	ka2	白读
蟹	ɕie5	文读
蟻	ʑi3	新
蟻	ʑin3	老
蠃	lo2	
蠅	ʑin1	
蠍	ɕie1	
蠓	moŋ3	
蠕	ɣəu2	白
蠕	zəu2	文
蠟	la2	
蠡	li2	
蠢	tɕʰyn3	
蠣	li5	
蠱	ku3	
蠶	tsʰan2	
蠻	man2	
血	ɕye2	
行	haŋ2	
行	ɕin2	
衍	ʑin3	
術	səu2	
術	ɕy2	
街	kai1	
衙	ʑia2	
衛	vəi5	
衝	tsʰoŋ1	
衡	hən2	
衢	tɕʰy2	
衣	ʑi1	
表	piau3	
衩	tsʰa1	
衫	sen1	老
衰	tsʰəi1	新
衰	sai1	
衰	ɕyai1	
衲	na2	
衷	tsoŋ1	
袁	ʑyen2	
袈	ka1	
袈	tɕia1	
袋	tai5	
袍	pʰau2	
袒	tʰan3	
