#漢字	音標	解釋
將	tɕiɛ5	大～
尊	tsø1	
小	ɕyø3	
小	sai3	白读 锁，碎也
少	ɕyø3	
尖	tɕie1	
尘	dzaŋ2	
尚	ɦiɛ2	
嘗	ɦiɛ2	
尤	ɦiau2	
堯	ȵiɔ2	
就	zəu6	成～
就	zəu8	〜是
尹	ˀiaŋ3	
尺	tɕʰi7	
尼	ȵi2	
尽	zaŋ4	
尾	mei4	
尿	səy1	
局	dʑyo8	
屁	pʰei5	
層	zaŋ2	
居	tɕy1	
屈	tɕʰie7	
屆	ka5	
屋	u7	
屏	beŋ2	
展	tɕie3	
屙	u5	粪便 录者以为涴也
屬	ɦyo8	
屠	dəy2	
屯	dø2	
山	sɔ1	
歲	səy5	
豈	tɕʰi3	
岔	tsʰo5	～口
崗	ko1	
島	tɛ3	
岩	ŋɔ2	
岭	leŋ4	
岳	ŋo8	
岸	ɦø6	
嶨	ɦo8	
峯	foŋ1	
崇	zoŋ2	
崔	tsʰai1	
崩	paŋ1	
嵌	kʰɔ5	
嵩	soŋ1	
巍	ŋai6	
川	tɕʰyø1	
州	tsəu1	
巢	zɔ2	
工	koŋ1	
左	tsəu3	
巧	kʰɔ3	
巨	dʑy2	
鞏	koŋ3	
差	tsʰɿ1	参～
差	tsʰa1	～别
差	tsʰo1	～不多
己	tɕi3	
已	i3	
巳	zɿ4	
巴	puo1	
巷	ɦo6	
巾	tɕiaŋ1	
幣	bei6	
市	zɿ4	
布	pu5	
帆	vɔ2	
師	sɿ1	
希	ɕi1	
帳	tɕiɛ5	
帖	tʰuɔ7	
帘	lie2	
帚	tsəu3	
幟	tsɿ5	
帝	tei5	
帶	ta5	
席	zei8	
幫	puo1	
常	ɦiɛ2	
帽	mɛ6	
幅	fu7	
幔	mø6	布～
幕	mu6	
干	kø1	
干	kø5	～部
平	beŋ2	
年	ȵie2	
并	peŋ5	合～
并	beŋ4	～且
幸	ɦa4	
幻	ɦuɔ4	
幼	ˀiau1	
幽	ˀiau1	
廣	ko3	
莊	tso1	
慶	tɕʰiaŋ5	
牀	ɦyo2	
序	zəy4	
庫	kʰu5	
應	ˀiaŋ1	～该
應	ˀiaŋ5	答～
底	tei3	
店	tiɛ5	
廟	mie6	
庚	ka1	
府	fu3	
廢	fei5	
度	dəy6	
座	zəu6	
庭	deŋ2	
庵	ˀe1	
康	kʰo1	
廉	lie2	
廊	lo2	
廓	ko7	
延	ɦie2	
廷	deŋ2	
建	tɕie5	
開	kʰe1	
异	i8	
弃	tɕʰi5	
弄	loŋ6	
弊	bei6	
式	sei7	
弓	tɕioŋ1	
引	ɦiaŋ4	
弘	ɦoŋ2	
弟	dei4	
張	tɕiɛ1	
彎	ˀuɔ1	
弱	ɦiɔ2	
彈	dɔ2	～琴
彈	dɔ6	子～
强	dʑiɛ2	
歸	kai1	
當	to1	
當	to5	上～
录	luo8	
形	ɦiaŋ2	
彩	tsʰe3	
彪	pie1	
彬	peŋ1	
彭	ba2	
影	ˀiaŋ3	
役	ɦy8	
徹	tɕʰie7	
彼	pei3	
往	ɦyo4	
征	tseŋ1	
待	de4	
很	haŋ3	
律	lie8	
徐	zei2	
徒	dəu2	
得	te7	
循	zəŋ2	
微	vei2	
德	te7	
徽	fai1	
心	saŋ1	又读
心	seŋ1	
必	pei7	
憶	i5	
忌	dʑi6	
忍	ȵiaŋ4	
忖	tsʰø3	
志	tsɿ5	
忘	ɦuɔ2	文读
忙	mo2	
忠	tsoŋ1	
憂	ˀiau1	
快	kʰa5	
念	ȵiɛ6	
忽	ɕyø7	
忿	vaŋ4	
懷	va2	
態	tʰe5	
怒	nəu6	
怕	pʰuo5	
思	sɿ1	
怠	de6	
怡	i2	
急	tɕie7	
性	seŋ5	
怨	ˀyø5	
怪	ka5	
怯	tɕʰiɔ7	
總	tsoŋ3	
恃	dzɿ4	
戀	lie2	
恐	tɕʰyo3	
恆	ɦaŋ2	
恢	kʰai1	
恤	ɕyø7	
恨	ɦaŋ6	
恩	ˀø1	
恭	tɕyo1	
息	sei7	
恰	kʰɔ7	
懇	kʰaŋ3	
恶	u5	可～
恶	ˀo7	
惱	nɛ4	
悔	fai5	懊～
悟	ŋ6	
悠	ˀiau1	
患	ɦuɔ6	
悅	ɦyø8	
懸	ɦyø2	
憫	meŋ4	
