来源：	贺梅梅 2017《临县车赶乡话语音研究》；灰原哀 整理录入
l	［2］郎{牛～}廊狼琅锒螂螺罗螺锣逻萝［3］朗{～诵}［5］浪
ts	［1］脏{不干净}臧［3］昨左佐［5］脏{心～}藏{西～}葬奘左匠
tsʰ	［1］仓苍搓舱［2］藏{隐～}
s	［1］桑丧［3］嗓搡［5］丧
tʂ	［1］章张={姓～}樟蟑璋彰［3］掌长=涨=［5］杖=仗丈=帐胀=障瘴嶂涨=
tʂʰ	［1］昌伥菖猖娼［2］常=长=尝=偿嫦肠=裳=［3］厂=场={广～}敞倡［5］畅唱=倡必
ʂ	［1］商=伤=汤殇觞［2］裳=［3］赏晌=［5］上=尚
ɻ	［2］瓤=［3］嚷=壤攘［5］让
k	［1］歌缸肛纲钢=刚=冈哥［2］哥［3］岗港［5］杠个{～人}
kʰ	［1］康=慷糠=［2］扛［3］可［5］抗=亢苛渴=炕=
x	［1］□{放在蒸笼里蒸}［2］河荷=何杭行{～列}航夯［3］荷-{拿}［5］贺荷=
#iɔ	
n	［2］娘=［5］酿
l	［2］粱梁=良粮=量=凉=［3］辆两=［5］亮量{数～}谅晾=靓
ts	［1］将{～来}［3］蒋奖桨［5］浆酱将{大～}
tsʰ	［1］枪［2］墙=［3］抢=［5］呛=炝=
s	［1］相={～亲}箱=厢=湘襄镶=［2］详=祥=［3］想=［5］象=像=相=橡
tɕ	［1］江豇=姜=缰=僵=疆［3］讲港-{地名：张家～}虹-［5］降犟
tɕʰ	［1］羌腔锵［2］强=［3］强={勉～}［5］跄
ɕ	［1］香=乡［2］降翔［3］享响=饷飨［5］巷=向项
Ø	［1］央=殃洋泱殃鞅［2］秧杨=扬鸯阳={～光}炀疡羊=［3］氧养=仰=［5］样={像～}漾恙怏
#əŋ	
p	［1］奔崩绷=贲嘣［3］本绷=［5］奔笨坌{打～：进入眼睛的小杂物}蹦=迸=泵□{称重量的工具}蚌
pʰ	［1］喷烹抨怦砰嘭钐［2］盆棚=朋蓬篷彭鹏膨［3］捧［5］碰
m	［1］焖闷［2］门蒙=盟萌朦［3］猛=蠓蒙=［5］闷梦孟濠□{浸泡糊涂，笨}
f	［1］分芬风疯枫峰蜂锋封丰氛纷［2］逢缝{～补}坟汾冯［3］粉讽［5］缝{衣～}奉俸凤份粪奋忿
t	［1］灯登蹬［3］等［5］凳邓镫澄瞪
tʰ	［2］疼腾藤腾誉
n	［2］能［5］嫩=
l	［2］楞棱［3］□{合～子：土豆和淀粉做的丸子}冷=［5］愣
ts	［1］曾{姓}增□{短，不够}争=峥狰铮［5］赠憎挣□{人住：系住，拴住}诤谮
tsʰ	［1］撑膛［2］曾{～经}层岑秦-［3］碜［5］蹭衬
s	［1］森糁参{人～}生={学生}牲僧笙甥=［2］寻-［3］省［5］渗
z	［1］□{哼哼唧唧，不利索}
tʂ	［1］珍榛臻真针贞征筝蒸={水～气}正=箴砧甄斟［3］诊疹拯整=稹缜轸［5］镇阵震振证症政正={～确}枕郑圳朕赈鸠
tʂʰ	［1］称=［2］沉陈尘晨辰臣橙澄乘程呈丞成=诚城［3］逞骋［5］秤=趁称{～值：值得}慎{～重}
ʂ	［1］深身笙牲升声=申绅伸娠［2］神绳=［3］婶审沈［5］甚葚肾慎圣盛={～开}胜剩=蜃
ɻ	［2］人仁任妊拧-仍壬［3］忍荏稔［5］认刃韧任妊饪
k	［1］跟根更{三～}庚耕=羹=哏{物体碰撞发出的声音}庚［2］□{自己的合音}［3］梗哽耿绠鲠［5］更{～加}亘艮
kʰ	［1］坑=吭铊［3］肯啃垦恳
ŋ	［1］恩
x	［1］哼享［2］痕横=恒衡蘅［3］很狠［5］恨横=
#iəŋ	
p	［1］宾滨斌彬缤兵冰濒傧［3］禀秉饼=柄丙炳［5］并殡鬓病=膑摒
pʰ	［2］贫频凭=平=坪=评=萍苹娉［3］品乒［5］拼姘聘
m	［2］民明={～白}鸣=名={～人}铭盟螟瞑茗岷［3］抿闽敏皿闵泯［5］命={～运}□{在嘴里含着}
t	［1］丁=钉=盯叮靪{～鞋}玎［3］顶=鼎酊［5］定=订腚锭钉=
tʰ	［1］厅听={～力}汀蜓［2］停=亭婷庭廷霆［3］挺=艇铤
n	［2］宁{安～}凝柠银拧=迎-您吟狞咛［5］宁{～可}硬={～度}佞泞
l	［2］林淋临邻鳞磷零灵铃={～声}凌=陵玲菱绫羚龄［3］檩岭={翻山越～}领={～导}［5］赁吝另=令={指令}
