澄海大新话字表，属于闽南区——潮汕片	
kʰ	[2]磕掐藿（藿香）确壳（壳子）
∅	[2]恶（善恶）
h	[4]合（中意）[2]喝（喝酒）瞎辖（管辖）豁（豁然）
p	[4]缚[2]剥北
pʰ	[4]雹[2]博伏
b	[4]墨木
n	[4]纳捺（撇捺）诺
s	[4]撒（撒手）[2]萨虱塞（阻塞）
m	[4]目
ŋ	[4]鄂岳
#iẽ	
t	[33]张[55]场[35]赵[213]钓账胀
ts	[33]浆章[35]上（上山）上（上面）[53]蒋掌[213]酱
tsʰ	[33]枪[35]象（大～）[11]匠[55]墙[53]抢
k	[33]姜
kʰ	[33]腔
∅	[11]样[55]羊[53]养
h	[33]香乡
s	[33]箱镶伤[35]想[11]尚[55]常尝[53]赏[213]相（相貌）
#iũ	
∅	[213]幼
h	[33]休幽
#am	
t	[33]耽
tʰ	[33]贪
ts	[33]簪簪
#aŋ	
t	[33]东冬[35]荡（放荡）宕（延宕）重（轻重）[11]洞[55]陈同[53]党[213]旦诞
tʰ	[35]动[55]谭谈痰弹（弹琴）弹（子弹）唐虫[53]毯坦躺趟（一趟）桶[213]探（试探）赚
l	[35]烂朗浪[55]拦栏鳞郎廊笼聋[53]懒囊
ts	[33]针[35]站（车站）藏（西藏）脏（内脏）[11]赠[55]层椶丛[53]斩总[213]赞灒（溅）栈壮粽
tsʰ	[33]参渗（水渗透）餐葱[55]惭馋残藏（隐藏）铛（烙饼用具）[53]惨铲[213]灿创
k	[33]甘监（监察）干（干湿）艰间（空间，中间）奸（偷工减料）纲江工[11]共[55]含[53]感简涧笕（以竹通水）讲港（港口）[213]鉴杠降（下降）
kʰ	[33]龛勘（1勘误；2勘探）刊牵康慷（慷慨）孔（姓）[53]砍[213]看（看守）看（看见）抗
∅	[33]腌翁[55]红洪[53]埯（坑）[213]暗（天暗）按宴
h	[35]限项[11]巷[55]函衔行（行列）杭降（投降）[53]喊焊（焊铁壶）[213]汉
p	[33]班帮邦崩[35]谤棒[55]房冯[53]榜绑[213]放
pʰ	[33]攀芳[55]帆（～布）滂（滂沱）旁傍（依傍）[53]纺[213]盼襻（纽襻）
n	[35]滥[11]难（苦难）[55]南蓝难（难易）人[53]览缆舰
s	[33]杉删双[213]送
m	[35]网[11]慢梦[55]蛮忙盲[53]莽蟒
ŋ	[33]昂[35]谚[55]岩言[53]眼
#iaŋ	
t	[33]沾颠珍[35]电垫（垫钱）[55]甜[53]点碾展典[213]店
tʰ	[55]田填[213]畅
l	[35]亮谅量（数量）[11]练[55]连怜凉[53]捻（以指捻碎）
ts	[33]尖（～子）占煎笺[35]暂渐仗[53]趁（～墟）诊长（生长）[213]战颤奖将（大将）涨障（保障）
tsʰ	[33]歼（歼灭）签迁昌[55]潜[53]浅厂
k	[33]兼坚（绳索坚）捐疆[35]建键[55]咸强（1勉强；2倔强）[53]减检[213]剑绢
kʰ	[33]谦[35]俭[55]乾（乾坤）强[53]遣[213]欠
∅	[33]阉腌（腌肉）蔫（食物不新鲜）渊[35]便（方便）羡延[11]炎艳[55]盐扬疡（溃疡）[53]掩堰[213]厌（厌烦）咽映
h	[33]掀[55]嫌贤玄[53]险显享响[213]宪向
p	[35]便（便宜）辨[53]贬[213]变遍（一遍）
pʰ	[33]编篇蝙（～鼠）[213]骗（欺骗）片
n	[35]念[55]帘鲇（鲇鱼）[53]敛殓
s	[33]森仙商[35]善（胆小）肾[55]檐禅（禅宗）详[53]闪（～开）癣[213]搧扇
m	[53]敏
ŋ	[11]验[55]阎严[53]仰
z	[35]让[55]然[53]酿
#oiʔ	
l	[4]笠
ts	[4]截（切断）
k	[4]夹（夹衣）
kʰ	[2]轧（被车轧）
∅	[4]狭（不合身）
p	[2]八
#iak	
t	[4]蝶侄[2]跌哲
tʰ	[2]帖（1碑帖；2请帖）撤
l	[4]列
ts	[4]捷[2]嚼酌即
tsʰ	[2]妾切（切开）鹊（喜鹊）绰（宽绰）戳
k	[4]杰[2]峡劫
kʰ	[2]怯（畏怯）楔（楔子）却
∅	[2]压
h	[4]胁协
p	[4]别（区别）别（离别）
n	[2]聂（姓）镊（镊子）摄
s	[4]涉[2]设
ŋ	[4]业孽虐
z	[4]热弱
#iŋ	
t	[55]沉尘藤[213]镇
l	[55]临邻
ts	[33]斟津臻真[35]尽（尽前）尽[53]枕震[213]浸进
tsʰ	[33]深亲[55]侵寻秦臣[213]衬
k	[33]金[35]锦妗（舅母）[53]紧[213]禁（禁不住）禁（禁止）
kʰ	[33]钦轻（轻重）[55]琴[53]揿（按）
∅	[33]淹音因（～为）姻[11]烟[55]淫演沿铅寅[53]饮（饮酒）引隐[213]印应（应付）
h	[11]现
p	[33]彬宾[53]品
pʰ	[55]贫频（频繁）瓶屏（围屏）
n	[55]林
s	[33]心辛新身申[35]甚[55]神辰绳承[53]沈婶慎[213]信讯迅
m	[11]面[55]眠民[53]免
ŋ	[55]岑吟
z	[35]壬任（责任）[11]认[55]仁
#ioʔ	
t	[2]着（着衣）着（睡~淋~）
l	[4]略
ts	[2]质
tsʰ	[4]席（竹~主~）[2]尺
k	[2]脚
∅	[4]药[2]约
h	[4]叶
s	[4]勺（勺子）[2]惜
#iam	
kʰ	[53]歉
#uak	
l	[4]阅[2]劣
ts	[4]浊
k	[2]括（包括）决廓
kʰ	[2]扩（扩充）
∅	[4]越粤镬（锅）获
h	[4]罚穴[2]法（法子）发
p	[4]拔勃
pʰ	[2]泼
s	[2]朔
