字目	读音	注释
享	xyɔŋ3	
□	xyɔŋ3	掀
响	xyɔŋ3	
宪	xyɔŋ6	
献	xyɔŋ6	
悬	xyɔŋ9	
愿	ŋyɔŋ6	
源	ŋyɔŋ2	~头
元	ŋyɔŋ2	~帅
原	ŋyɔŋ9	~来
冤	yɔŋ1	
渊	yɔŋ1	
拥	yɔŋ1	
□	yɔŋ1	~ŋa2tɕy3，换牙齿
央	yɔŋ2	
羊	yɔŋ2	
洋	yɔŋ2	
烊	yɔŋ2	
杨	yɔŋ2	
养	yɔŋ2	
融	yɔŋ2	
溶	yɔŋ2	
熔	yɔŋ2	
袁	yɔŋ2	
园	yɔŋ2	
阳	yɔŋ2	洛~
缘	yɔŋ2	姻~
原	yɔŋ2	平~
□	yɔŋ2	~mɛ2tɕyə3蛤蟆
荣	yɔŋ3	
勇	yɔŋ8	
冤	yɔŋ8	~枉
样	yɔŋ6	
用	yɔŋ6	
院	yɔŋ6	
怨	yɔŋ6	
扬	yɔŋ9	
绒	yɔŋ9	
圆	yɔŋ9	
员	yɔŋ9	
茸	yɔŋ9	
容	yɔŋ9	
蓉	yɔŋ9	芙~
放	puŋ2	
□	puŋ2	~nɔ35，运东西
粪	puŋ2	~箕
□	puŋ6	tɕi8~tsʰau2，一棵草
棚	puŋ9	
喷	pʰuŋ2	
纺	pʰuŋ2	~纱
□	pʰuŋ2	~tiŋ9，飞尘
碰	pʰuŋ6	
缝	pʰuŋ6	
碰	pʰuŋ6	~着
篷	pʰuŋ9	
门	muŋ2	
蠓	muŋ3	
闷	muŋ6	
问	muŋ6	
东	tuŋ1	
敦	tuŋ1	
冬	tuŋ1	
中	tuŋ1	~秋
忠	tuŋ1	
栋	tuŋ2	
懂	tuŋ3	
董	tuŋ3	
动	tuŋ8	
□	tuŋ8	~mu8kyɔŋ3，男孩子
重	tuŋ6	
洞	tuŋ6	
仲	tuŋ6	
铜	tuŋ9	
同	tuŋ9	
童	tuŋ9	
通	tʰuŋ1	
□	tʰuŋ1	iŋ8~，烟囱
统	tʰuŋ2	
虫	tʰuŋ2	
桶	tʰuŋ3	
笃	tʰuŋ6	
农	nuŋ9	
砻	luŋ2	
笼	luŋ2	
陇	luŋ2	
□	luŋ2	ŋu2~tsʰau2，梧桐树
隆	luŋ8	窟~
巷	luŋ6	
弄	luŋ6	
鬃	tsuŋ1	
宗	tsuŋ1	
终	tsuŋ1	
踪	tsuŋ1	
钟	tsuŋ1	
锺	tsuŋ1	
盅	tsuŋ1	
棕	tsuŋ1	
□	tsuŋ1	~衣服，穿衣服
粽	tsuŋ2	
种	tsuŋ2	
松	tsuŋ2	~树
肿	tsuŋ3	
总	tsuŋ3	
众	tsuŋ6	
□	tsuŋ8	~衣，蓑衣
聪	tsʰuŋ1	
葱	tsʰuŋ1	
充	tsʰuŋ1	
冲	tsʰuŋ1	
铳	tsʰuŋ2	
双	suŋ1	
鬆	suŋ1	
聋	suŋ2	
送	suŋ2	
宋	suŋ6	
□	suŋ8	~tʰiu35，舂杵
工	kuŋ1	
功	kuŋ1	
攻	kuŋ1	
军	kuŋ1	冠~
公	kuŋ1	济~
蚣	kuŋ1	蜈~
拳	kuŋ2	~头
贡	kuŋ6	
棍	kuŋ6	
共	kuŋ6	
君	kuŋ8	~子
空	kʰuŋ1	
孔	kʰuŋ1	
昆	kʰuŋ2	
控	kʰuŋ6	
困	kʰuŋ6	
轰	xuŋ1	
婚	xuŋ1	
风	xuŋ1	
丰	xuŋ1	
封	xuŋ1	
峰	xuŋ1	
蜂	xuŋ1	
凤	xuŋ1	~凰
奋	xuŋ1	~斗
粉	xuŋ2	
昏	xuŋ8	
分	xuŋ8	~别
混	xuŋ6	
份	xuŋ6	
凤	xuŋ6	
鸿	xuŋ9	
洪	xuŋ9	
魂	xuŋ9	
芬	xuŋ9	
翁	uŋ1	
稳	uŋ2	
红	uŋ9	
文	uŋ9	
纹	uŋ9	
闻	uŋ8	新~
温	uŋ8	~度
