繁	简	国际音标	吴语拼音	备注	调类	调值
絹	绢	tɕyø35	cioe5		5	35
圈	圈	tɕʰyø53	chioe1	圆~。	1	53
圈	圈	dʑyø213	jioe4	养家畜的栅栏：猪~。	4	213
權	权	dʑyø22	jioe2		2	22
拳	拳	dʑyø22	jioe2		2	22
顴	颧	dʑyø22	jioe2		2	22
倦	倦	dʑyø13	jioe6		6	13
員	员	ɦyø22	yioe2		2	22
圓	圆	ɦyø22	yioe2		2	22
院	院	ɦyø13	yioe6		6	13
緣	缘	ɦyø22	yioe2		2	22
鉛	铅	ɦi22	yi2	~山（江西地名）。	2	22
鉛	铅	kʰɛ53	khae1	~笔。	1	53
沿	沿	ɦi22	yi2		2	22
捐	捐	tɕyø53	cioe1		1	53
涓	涓	tɕyø53	cioe1		1	53
娟	娟	tɕyø53	cioe1		1	53
劣	劣	liɪʔ23	liq8		8	23
埒	埒	liɪʔ23	liq8		8	23
絕	绝	ziɪʔ23	ziq8		8	23
雪	雪	siɪʔ5	siq7		7	5
說	说	sʮœʔ5	syuq7		7	5
拙	拙	tsəʔ5	tseq7		7	5
悅	悦	ɦyœʔ23	yoeq8		8	23
閱	阅	ɦyœʔ23	yoeq8		8	23
反	反	ɸɛ44	fae3		3	44
販	贩	ɸɛ35	fae5		5	35
番	番	ɸɛ53	fae1		1	53
翻	翻	ɸɛ53	fae1		1	53
煩	烦	βɛ22	vae2		2	22
繁	繁	βɛ22	vae2		2	22
飯	饭	βɛ13	vae6		6	13
晚	晚	mɛ213	mae4	【白读】~娘（继母）；~稻。	4	213
晚	晚	βɛ213	vae4	【文读】	4	213
願	愿	ȵyø13	gnioe6		6	13
楦	楦	ɕyø35	shioe5		5	35
冤	冤	yø53	ioe1		1	53
怨	怨	yø35	ioe5		5	35
袁	袁	ɦyø22	yioe2		2	22
園	园	ɦyø22	yioe2		2	22
萬	万	mɛ13	mae6	【白读】麻将中的“万”。	6	13
萬	万	βɛ13	vae6	【文读】	6	13
勸	劝	tɕʰyø35	chioe5		5	35
券	券	tɕʰyø35	chioe5		5	35
原	原	ȵyø22	gnioe2		2	22
源	源	ȵyø22	gnioe2		2	22
元	元	ɦyø22	yioe2	人民币单位，实为“圆”字。	2	22
元	元	ȵyø22	gnioe2		2	22
援	援	ɦyø22	yioe2		2	22
遠	远	ɦyø213	yioe4		4	213
髮	发	ɸæʔ5	faeq7		7	5
伐	伐	βæʔ23	vaeq8		8	23
罰	罚	βæʔ23	vaeq8		8	23
筏	筏	βæʔ23	vaeq8		8	23
襪	袜	mæʔ23	maeq8		8	23
月	月	ȵyœʔ23	gnioeq8		8	23
越	越	ɦyœʔ23	yoeq8		8	23
犬	犬	tɕʰyø44	chioe3		3	44
縣	县	ɦyø13	yioe6		6	13
決	决	tɕyœʔ5	cioeq7		7	5
缺	缺	tɕʰyœʔ5	chioeq7		7	5
血	血	ɕyœʔ5	shioeq7		7	5
穴	穴	ɦyœʔ23	yoeq8		8	23
吞	吞	tʰəŋ53	then1		1	53
跟	跟	kəŋ53	ken1		1	53
根	根	kəŋ53	ken1		1	53
懇	恳	kʰəŋ44	khen3		3	44
墾	垦	kʰəŋ44	khen3		3	44
痕	痕	ɦəŋ22	ghen2		2	22
很	很	həŋ44	hen3		3	44
恨	恨	ɦəŋ13	ghen6		6	13
恩	恩	əŋ53	en1		1	53
賓	宾	ɓin53	pin1		1	53
彬	彬	ɓin53	pin1		1	53
貧	贫	bin22	bin2		2	22
頻	频	bin22	bin2		2	22
民	民	min22	min2		2	22
閩	闽	min213	min4		4	213
敏	敏	min213	min4		4	213
鄰	邻	lin22	lin2		2	22
磷	磷	lin22	lin2		2	22
津	津	tsin53	tsin1		1	53
進	进	tsin35	tsin5		5	35
晉	晋	tsin35	tsin5		5	35
親	亲	tsʰin53	tshin1		1	53
秦	秦	zin22	zin2		2	22
盡	尽	zin213	zin4		4	213
辛	辛	sin53	sin1		1	53
新	新	sin53	sin1		1	53
信	信	sin35	sin5		5	35
訊	讯	sin35	sin5		5	35
迅	迅	sin35	sin5		5	35
珍	珍	tsəŋ53	tsen1		1	53
鎮	镇	tsəŋ35	tsen5		5	35
趁	趁	tsʰəŋ35	tshen5	~车；~客。俗写作“乘”。	5	35
陳	陈	zəŋ22	zen2		2	22
陳	陈	zy22	ziu2	~墓（江苏昆山地名）。																																																																																																																																																																																																																																								2	22
塵	尘	zəŋ22	zen2		2	22
陣	阵	zəŋ13	zen6		6	13
襯	衬	tsʰəŋ35	tshen5		5	35
榛	榛	tsəŋ53	tsen1		1	53
臻	臻	tsəŋ53	tsen1		1	53
莘	莘	səŋ53	sen1	~~学子；~县（山东地名）；~塔（江苏吴江地名）。	1	53
莘	莘	sin53	sin1	~庄（上海闵行地名）。	1	53
真	真	tsəŋ53	tsen1		1	53
診	诊	tsəŋ44	tsen3		3	44
振	振	tsəŋ35	tsen5		5	35
震	震	tsəŋ35	tsen5		5	35
震	震	tsin35	tsin5	~泽（太湖的别称，江苏吴江地名）。	5	35
神	神	zəŋ22	zen2		2	22
身	身	səŋ53	sen1		1	53
申	申	səŋ53	sen1		1	53
伸	伸	səŋ53	sen1		1	53
晨	晨	zəŋ22	zen2		2	22
辰	辰	zəŋ22	zen2		2	22
臣	臣	zəŋ22	zen2		2	22
腎	肾	zəŋ213	zen4		4	213
慎	慎	zəŋ13	zen6		6	13
人	人	ȵin22	gnin2	【白读】一个~；~家；坏~。	2	22
人	人	zəŋ22	zen2	【文读】~民；~类。	2	22
仁	仁	ȵin22	gnin2	【白读】杏~；桃~；虾~。	2	22
仁	仁	zəŋ22	zen2	【文读】~义。	2	22
忍	忍	ȵin213	gnin4	【白读】	4	213
忍	忍	zəŋ213	zen4	【文读】	4	213
刃	刃	zəŋ13	zen6		6	13
認	认	ȵin13	gnin6	【白读】~得；~真。	6	13
認	认	zəŋ13	zen6	【文读】	6	13
巾	巾	tɕin53	cin1		1	53
緊	紧	tɕin44	cin3		3	44
僅	仅	dʑin13	jin6		6	13
銀	银	ȵin22	gnin2		2	22
因	因	in53	in1		1	53
姻	姻	in53	in1		1	53
印	印	in35	in5		5	35
寅	寅	ɦin22	yin2		2	22
引	引	ɦin213	yin4		4	213
筆	笔	ɓiɪʔ5	piq7		7	5
畢	毕	ɓiɪʔ5	piq7		7	5
必	必	ɓiɪʔ5	piq7		7	5
匹	匹	pʰiɪʔ5	phiq7		7	5
密	密	miɪʔ23	miq8		8	23
蜜	蜜	miɪʔ23	miq8		8	23
栗	栗	liɪʔ23	liq8	板~；~子。	8	23
慄	栗	liɪʔ23	liq8	战~。	8	23
溧	溧	liɪʔ23	liq8		8	23
七	七	tsʰiɪʔ5	tshiq7		7	5
漆	漆	tsʰiɪʔ5	tshiq7		7	5
疾	疾	ziɪʔ23	ziq8		8	23
膝	膝	siɪʔ5	siq7		7	5
侄	侄	zəʔ23	zeq8		8	23
秩	秩	zəʔ23	zeq8		8	23
質	质	tsəʔ5	tseq7		7	5
實	实	zəʔ23	zeq8		8	23
失	失	səʔ5	seq7		7	5
室	室	səʔ5	seq7		7	5
日	日	ȵiɪʔ23	gniq8	【白读】~头（太阳）；~脚（日子）。	8	23
日	日	zəʔ23	zeq8	【文读】~本；泰~（上海奉贤地名）。	8	23
日	日	zɑk23	zaq8	大/小~晖桥（江苏苏州地名）；~晖港（上海的一条河流）；里/外~晖桥（上海地名）。	8	23
吉	吉	tɕiɪʔ5	ciq7		7	5
乙	乙	iɪʔ5	iq7		7	5
一	一	iɪʔ5	iq7		7	5
逸	逸	ɦiɪʔ23	yiq8		8	23
斤	斤	tɕin53	cin1		1	53
筋	筋	tɕin53	cin1		1	53
勁	劲	tɕin35	cin5		5	35
勤	勤	dʑin22	jin2		2	22
芹	芹	dʑin22	jin2		2	22
近	近	dʑin213	jin4		4	213
殷	殷	ɛ53	ae1	~红。	1	53
殷	殷	in53	in1	~勤。	1	53
隱	隐	in44	in3		3	44
奔	奔	ɓəŋ53	pen1		1	53
本	本	ɓəŋ44	pen3		3	44
噴	喷	pʰəŋ53	phen1		1	53
盆	盆	bəŋ22	ben2		2	22
笨	笨	bəŋ213	ben4		4	213
門	门	məŋ22	men2		2	22
們	们	məŋ22	men2		2	22
悶	闷	məŋ53	men1		1	53
敦	敦	ɗəŋ53	ten1		1	53
頓	顿	ɗəŋ35	ten5		5	35
屯	屯	dəŋ22	den2		2	22
臀	臀	dəŋ22	den2		2	22
盾	盾	dəŋ213	den4		4	213
鈍	钝	dəŋ13	den6		6	13
嫩	嫩	nəŋ13	nen6		6	13
論	论	ləŋ22	len2	~语。	2	22
論	论	ləŋ13	len6	讨~。	6	13
尊	尊	tsəŋ53	tsen1		1	53
村	村	tsʰəŋ53	tshen1		1	53
寸	寸	tsʰəŋ35	tshen5		5	35
存	存	zəŋ22	zen2		2	22
蹲	蹲	ɗəŋ53	ten1		1	53
孫	孙	səŋ53	sen1		1	53
損	损	səŋ44	sen3		3	44
昆	昆	kʰuəŋ53	khuen1		1	53
滾	滚	kuəŋ44	kuen3		3	44
棍	棍	kuəŋ44	kuen3		3	44
捆	捆	kʰuəŋ44	khuen3		3	44
困	困	kʰuəŋ35	khuen5		5	35
昏	昏	ɸəŋ53	fen1		1	53
婚	婚	ɸəŋ53	fen1		1	53
渾	浑	βəŋ22	ven2		2	22
魂	魂	βəŋ22	ven2		2	22
餛	馄	βəŋ22	ven2		2	22
混	混	βəŋ22	ven2		2	22
溫	温	βəŋ53	ven1		1	53
瘟	瘟	βəŋ53	ven1		1	53
穩	稳	βəŋ44	ven3		3	44
不	不	ɓəʔ5	peq7		7	5
丕	丕	pʰe53	phe1		1	53
悖	悖	be13	be6		6	13
孛	孛	be13	be6	~儿只斤。	6	13
孛	孛	bəʔ23	beq8	~相。	8	23
孛	孛	biɪʔ23	biq8	~相。	8	23
勃	勃	bəʔ23	beq8		8	23
沒	没	məʔ23	meq8	沉~；淹~。	8	23
沒	没	məʔ23	meq8	表示否定。	8	23
突	突	dəʔ23	deq8		8	23
凸	凸	dəʔ23	deq8		8	23
訥	讷	nəʔ23	neq8		8	23
猝	猝	tsʰəʔ5	tsheq7		7	5
卒	卒	tsəʔ5	tseq7		7	5
骨	骨	kuəʔ5	kueq7		7	5
忽	忽	ɸəʔ5	feq7		7	5
核	核	βəʔ23	veq8	桃~；果~。	8	23
核	核	ɦʌk23	gheoq8	~对；审~；~心；~武器。	8	23
杌	杌	ŋəʔ23	ngeq8		8	23
兀	兀	ŋəʔ23	ngeq8		8	23
輪	轮	ləŋ22	len2		2	22
倫	伦	ləŋ22	len2		2	22
淪	沦	ləŋ22	len2		2	22
遵	遵	tsəŋ53	tsen1		1	53
俊	俊	tsin35	tsin5		5	35
筍	笋	səŋ44	sen3		3	44
榫	榫	səŋ44	sen3		3	44
循	循	zin22	zin2		2	22
旬	旬	zin22	zin2		2	22
巡	巡	zin22	zin2		2	22
準	准	tsəŋ44	tsen3		3	44
春	春	tsʰəŋ53	tshen1		1	53
蠢	蠢	tsʰəŋ44	tshen3		3	44
唇	唇	zəŋ22	zen2		2	22
盾	盾	dəŋ13	den6		6	13
順	顺	zəŋ13	zen6		6	13
純	纯	zəŋ22	zen2		2	22
潤	润	ȵin13	gnin6	【白读】	6	13
潤	润	zəŋ13	zen6	【文读】	6	13
閏	闰	ȵin13	gnin6	【白读】~月。	6	13
閏	闰	zəŋ13	zen6	【文读】	6	13
均	均	tɕioŋ53	cion1		1	53
鈞	钧	tɕioŋ53	cion1		1	53
勻	匀	ɦioŋ22	yon2		2	22
允	允	ioŋ44	ion3		3	44
尹	尹	ɦin213	yin4		4	213
律	律	liɪʔ23	liq8		8	23
率	率	liɪʔ23	liq8	效~。	8	23
率	率	se35	se5	表~。	5	35
率	率	sʮœʔ5	syuq7	~领。	7	5
蟀	蟀	sʮœʔ5	syuq7		7	5
戌	戌	siɪʔ5	siq7		7	5
出	出	tsʰəʔ5	tsheq7		7	5
齣	出	tsʰəʔ5	tsheq7	一~戏。	7	5
術	术	zəʔ23	zeq8	技~；~语。	8	23
朮	术	zəʔ23	zeq8	白~；苍~。	8	23
沭	沭	zəʔ23	zeq8	~阳（江苏地名）。	8	23
述	述	zəʔ23	zeq8		8	23
橘	橘	tɕiok5	cioq7		7	5
分	分	ɸəŋ53	fen1		1	53
分	分	βəŋ13	ven6	成~。	6	13
汾	汾	ɸəŋ53	fen1	~湖（江苏吴江、浙江嘉善交界处的湖泊，本名“分湖”）。	1	53
汾	汾	βəŋ22	ven2	~河（山西省境内的河流，黄河支流）。	2	22
粉	粉	ɸəŋ44	fen3		3	44
糞	粪	ɸəŋ35	fen5		5	35
奮	奋	ɸəŋ35	fen5		5	35
紛	纷	ɸəŋ53	fen1		1	53
忿	忿	ɸəŋ35	fen5		5	35
墳	坟	βəŋ22	ven2		2	22
焚	焚	βəŋ22	ven2		2	22
憤	愤	βəŋ213	ven4		4	213
份	份	βəŋ13	ven6		6	13
文	文	βəŋ22	ven2	【文读】	2	22
文	文	məŋ22	men2	【白读】~殊浜（上海金山地名）。	2	22
蚊	蚊	məŋ22	men2	【白读】~子。	2	22
紋	纹	βəŋ22	ven2		2	22
聞	闻	məŋ22	men2	【白读】	2	22
聞	闻	βəŋ22	ven2	【文读】	2	22
吻	吻	məŋ213	men4	【白读】	4	213
吻	吻	βəŋ213	ven4	【文读】	4	213
問	问	məŋ13	men6	【白读】	6	13
問	问	βəŋ13	ven6	【文读】	6	13
君	君	tɕioŋ53	cion1		1	53
軍	军	tɕioŋ53	cion1		1	53
群	群	dʑioŋ22	jion2		2	22
裙	裙	dʑioŋ22	jion2		2	22
熏	熏	ɕioŋ53	shion1		1	53
薰	薰	ɕioŋ53	shion1		1	53
勳	勋	ɕioŋ53	shion1		1	53
葷	荤	ɸəŋ53	fen1		1	53
訓	训	ɕioŋ35	shion5		5	35
雲	云	ɦioŋ22	yon2	~朵；~彩。	2	22
云	云	ɦioŋ22	yon2	人~亦~。	2	22
暈	晕	ɦioŋ13	yon6		6	13
運	运	ɦioŋ22	yon2		2	22
佛	佛	βəʔ23	veq8		8	23
物	物	məʔ23	meq8	【白读】~事。	8	23
物	物	βəʔ23	veq8	【文读】~理。	8	23
弗	弗	βəʔ5	veq7	否定词。	7	5
勿	勿	βəʔ23	veq8	否定词。	8	23
屈	屈	tɕʰyœʔ5	chioeq7		7	5
鬱	郁	yœʔ5	ioeq7	忧~；~闷；~~葱葱。	7	5
郁	郁	iok5	ioq7	姓。	7	5
熨	熨	yœʔ5	ioeq7		7	5
熨	熨	ioŋ35	ion5		5	35
幫	帮	ɓɒ̃53	paon1		1	53
榜	榜	ɓɒ̃44	paon3		3	44
旁	旁	bɒ̃22	baon2		2	22
螃	螃	bɒ̃22	baon2		2	22
忙	忙	mɒ̃22	maon2		2	22
芒	芒	mɒ̃22	maon2		2	22
茫	茫	mɒ̃22	maon2		2	22
蟒	蟒	mɒ̃213	maon4		4	213
當	当	ɗɒ̃53	taon1		1	53
黨	党	ɗɒ̃35	taon5		5	35
湯	汤	tʰɒ̃53	thaon1		1	53
躺	躺	tʰɒ̃44	thaon3		3	44
燙	烫	tʰɒ̃35	thaon5		5	35
堂	堂	dɒ̃22	daon2		2	22
唐	唐	dɒ̃22	daon2		2	22
塘	塘	dɒ̃22	daon2		2	22
糖	糖	dɒ̃22	daon2		2	22
蕩	荡	dɒ̃13	daon6		6	13
狼	狼	lɒ̃22	laon2		2	22
郞	郞	lɒ̃22	laon2		2	22
廊	廊	lɒ̃22	laon2		2	22
浪	浪	lɒ̃13	laon6	掼~头；波~。	6	13
浪	浪	lɒ̃22	laon2	沧~亭（江苏苏州地名）。	2	22
倉	仓	tsʰɒ̃53	tshaon1		1	53
蒼	苍	tsʰɒ̃53	tshaon1		1	53
藏	藏	zɒ̃22	zaon2	~书。	2	22
藏	藏	zɒ̃13	zaon6	西~。	6	13
桑	桑	sɒ̃53	saon1		1	53
喪	丧	sɒ̃53	saon1	~事。	1	53
喪	丧	sɒ̃35	saon5	~失。	5	35
岡	冈	kɒ̃53	kaon1		1	53
剛	刚	kɒ̃53	kaon1		1	53
綱	纲	kɒ̃53	kaon1		1	53
鋼	钢	kɒ̃53	kaon1		1	53
缸	缸	kɒ̃53	kaon1		1	53
扛	扛	kɒ̃53	kaon1	以手举物。	1	53
扛	扛	gɒ̃22	gaon2	以肩承物。	2	22
槓	杠	kɒ̃35	kaon5		5	35
康	康	kʰɒ̃53	khaon1		1	53
糠	糠	kʰɒ̃53	khaon1		1	53
慷	慷	kʰɒ̃53	khaon1		1	53
抗	抗	kʰɒ̃35	khaon5		5	35
囥	囥	kʰɒ̃35	khaon5	藏。	5	35
昂	昂	ŋɒ̃22	ngaon2		2	22
行	行	ɦɒ̃22	ghaon2	~业；银~。	2	22
行	行	ɦã22	ghan2	【白读】~船；~车；~星。	2	22
行	行	ɦiʌŋ22	yeon2	【文读】~为；~动。	2	22
杭	杭	ɦɒ̃22	ghaon2		2	22
航	航	ɦɒ̃22	ghaon2		2	22
博	博	ɓɒk5	paoq7		7	5
薄	薄	bɒk23	baoq8		8	23
摸	摸	mɒk23	maoq8		8	23
莫	莫	mɒk23	maoq8		8	23
幕	幕	mu13	mu6	习惯上不读入声。	6	13
托	托	tʰɒk5	thaoq7		7	5
諾	诺	nɒk23	naoq8		8	23
烙	烙	lɒk23	laoq8		8	23
洛	洛	lɒk23	laoq8		8	23
落	落	lɒk23	laoq8		8	23
絡	络	lɒk23	laoq8		8	23
樂	乐	lɒk23	laoq8	快~。	8	23
作	作	tsɒk5	tsaoq7		7	5
銼	锉	tsʰɒk5	tshaoq7		7	5
錯	错	tsʰɒk5	tshaoq7	摩擦：~屄（性交）；~气（讨厌）；~火（发怒）；~祭（吃，带有贬义）。俗作“肏”。	7	5
肏	肏	tsʰɒk5	tshaoq7	摩擦：~屄（性交）；~气（讨厌）；~火（发怒）；~祭（吃，带有贬义）。本字为“错”。	7	5
肏	肏	tsʰɔ35	tshau5		5	35
𡰪	𡰪	ɗok5	toq7	女阴。	7	5
㞘	㞘	ɗok5	toq7	女阴。	7	5
昨	昨	zɒk23	zaoq8		8	23
索	索	sɒk5	saoq7		7	5
閣	阁	kɒk5	kaoq7		7	5
擱	搁	kɒk5	kaoq7		7	5
各	各	kɒk5	kaoq7		7	5
壑	壑	hɒk5	haoq7		7	5
鶴	鹤	ŋɒk23	ngaoq8		8	23
惡	恶	ɒk5	aoq7	~毒。	7	5
娘	娘	ȵiã22	gnian2		2	22
釀	酿	ȵiã13	gnian6		6	13
良	良	liã22	lian2		2	22
涼	凉	liã22	lian2		2	22
梁	梁	liã22	lian2		2	22
量	量	liã22	lian2		2	22
量	量	liã13	lian6		6	13
兩	两	liã213	lian4		4	213
亮	亮	liã13	lian6		6	13
諒	谅	liã13	lian6		6	13
將	将	tsiã53	tsian1	~来。	1	53
將	将	tsʰiã53	tshian1	~子无怒。	1	53
將	将	tsiã35	tsian5	大~；~（象棋攻将）。	5	35
蔣	蒋	tsiã44	tsian3		3	44
槳	桨	tsiã44	tsian3		3	44
獎	奖	tsiã44	tsian3		3	44
醬	酱	tsiã35	tsian5		5	35
槍	枪	tsʰiã53	tshian1		1	53
搶	抢	tsʰiã44	tshian3		3	44
牆	墙	ziã22	zian2		2	22
匠	匠	ziã13	zian6		6	13
相	相	siã53	sian1	~互。	1	53
相	相	siã35	sian5	~貌。	5	35
箱	箱	siã53	sian1		1	53
廂	厢	siã53	sian1		1	53
鑲	镶	siã53	sian1		1	53
想	想	siã44	sian3		3	44
詳	详	ziã22	zian2		2	22
祥	祥	ziã22	zian2		2	22
像	像	ziã213	zian4		4	213
橡	橡	ziã213	zian4		4	213
象	象	ziã213	zian4		4	213
張	张	tsã53	tsan1		1	53
長	长	tsã44	tsan3	生~。	3	44
長	长	zã22	zan2	与短、矮相对：~短。	2	22
漲	涨	tsã44	tsan3		3	44
帳	帐	tsã35	tsan5		5	35
暢	畅	tsʰã35	tshan5		5	35
腸	肠	zã22	zan2		2	22
場	场	zã22	zan2		2	22
丈	丈	zã213	zan4		4	213
仗	仗	tsã35	tsan5	打~。	5	35
莊	庄	tsɒ̃53	tsaon1		1	53
裝	装	tsɒ̃53	tsaon1		1	53
壯	壮	tsɒ̃35	tsaon5		5	35
瘡	疮	tsʰɒ̃53	tshaon1		1	53
創	创	tsʰɒ̃35	tshaon5		5	35
床	床	zɒ̃22	zaon2		2	22
狀	状	zɒ̃13	zaon6		6	13
霜	霜	sɒ̃53	saon1		1	53
爽	爽	sɒ̃44	saon3		3	44
章	章	tsɒ̃53	tsaon1		1	53
樟	樟	tsɒ̃53	tsaon1		1	53
漳	漳	tsɒ̃53	tsaon1	西~，南西~（江苏无锡地名）。	1	53
掌	掌	tsɒ̃44	tsaon3		3	44
障	障	tsɒ̃35	tsaon5		5	35
昌	昌	tsʰɒ̃53	tshaon1		1	53
廠	厂	tsʰã44	tshan3		3	44
唱	唱	tsʰɒ̃35	tshaon5		5	35
商	商	sɒ̃53	saon1		1	53
商	商	siɔ53	siau1	~墓（浙江湖州地名）。	1	53
傷	伤	sɒ̃53	saon1		1	53
賞	赏	sɒ̃44	saon3		3	44
常	常	zã22	zan2	【文读】~州，~熟（江苏地名）。	2	22
裳	裳	zɒ̃22	zaon2		2	22
上	上	zɒ̃213	zaon4	动词：~山。	4	213
上	上	zɒ̃13	zaon6	名词：~面；皇~。	6	13
上	上	lɒ̃13	laon6	语流中的常用读音。俗作“浪”。	6	13
晾	晾	lɒ̃13	laon6		6	13
瓤	瓤	ȵiã22	gnian2		2	22
讓	让	ȵiã13	gnian6		6	13
讓	让	ɦiã13	yan6	泰~桥（江苏苏州地名）。	6	13
疆	疆	tɕiã53	cian1		1	53
僵	僵	tɕiã53	cian1		1	53
姜	姜	tɕiã53	cian1		1	53
薑	姜	tɕiã53	cian1		1	53
強	强	dʑiã22	jian2	~大。	2	22
強	强	tɕʰiã44	chian3	勉~。	3	44
羌	羌	tɕʰiã53	chian1		1	53
羌	羌	tɕʰiɒ̃53	chiaon1	姓，源自于“匡”；~巷，~家村（上海宝山地名）。	1	53
香	香	ɕiã53	shian1		1	53
鄉	乡	ɕiã53	shian1		1	53
享	享	ɕiã44	shian3		3	44
響	响	ɕiã44	shian3		3	44
向	向	ɕiã35	shian5		5	35
央	央	iã53	ian1		1	53
秧	秧	iã53	ian1		1	53
羊	羊	ɦiã22	yan2		2	22
洋	洋	ɦiã22	yan2		2	22
楊	杨	ɦiã22	yan2		2	22
揚	扬	ɦiã22	yan2		2	22
陽	阳	ɦiã22	yan2		2	22
烊	烊	ɦiã22	yan2		2	22
佯	佯	ɦiã22	yan2		2	22
養	养	ɦiã213	yan4		4	213
樣	样	ɦiã13	yan6		6	13
恙	恙	ɦiã13	yan6		6	13
仰	仰	ȵiã44	gnian3	【文读】	3	44
仰	仰	ȵiã213	gnian4	【白读】	4	213
略	略	liɑk23	liaq8		8	23
掠	掠	liɑk23	liaq8		8	23
雀	雀	tsiɑk5	tsiaq7	麻~。	7	5
雀	雀	tsiã53	tsian1	“雀”的儿化音：麻~。	1	53
鵲	鹊	tsʰiɑk5	tshiaq7		7	5
嚼	嚼	ziɑk23	ziaq8		8	23
削	削	siɑk5	siaq7		7	5
著	着	tsɑk5	tsaq7		7	5
鑠	铄	zɑk23	zaq8	【文读】	8	23
爍	烁	zɑk23	zaq8	【文读】	8	23
綽	绰	tsʰɑk5	tshaq7	【文读】	7	5
灼	灼	tsɑk5	tsaq7	【文读】	7	5
酌	酌	tsɑk5	tsaq7	【文读】	7	5
斫	斫	tsɒk5	tsaoq7	【白读】	7	5
勺	勺	zɒk23	zaoq8	【白读】	8	23
芍	芍	zɑk23	zaq8	【文读】	8	23
若	若	zɑk23	zaq8	【文读】	8	23
箬	箬	ȵiɑk23	gniaq8	【白读】	8	23
弱	弱	zɑk23	zaq8	【文读】	8	23
腳	脚	tɕiɑk5	ciaq7		7	5
虐	虐	ȵiɑk23	gniaq8		8	23
約	约	iɑk5	iaq7		7	5
藥	药	ɦiɑk23	yaq8		8	23
鑰	钥	ɦiɑk23	yaq8		8	23
龠	龠	ɦiɑk23	yaq8		8	23
光	光	kuɒ̃53	kuaon1		1	53
光	光	kuã53	kuan1	~火（发怒）。	1	53
廣	广	kuɒ̃44	kuaon3		3	44
荒	荒	ɸɒ̃53	faon1		1	53
慌	慌	ɸɒ̃53	faon1		1	53
謊	谎	ɸɒ̃44	faon3		3	44
黄	黄	βɒ̃22	vaon2		2	22
黄	黄	ɸɒ̃53	faon1	蛋~。	1	53
晃	晃	βɒ̃213	vaon4		4	213
晃	晃	ɸɒ̃44	faon3		3	44
晃	晃	βɒ̃53	vaon1	~眼。	1	53
簧	簧	βɒ̃22	vaon2		2	22
皇	皇	βɒ̃22	vaon2		2	22
郭	郭	kuɒk5	kuaoq7		7	5
椁	椁	kuɒk5	kuaoq7		7	5
擴	扩	kʰuɒk5	khuaoq7		7	5
廓	廓	kʰuɒk5	khuaoq7		7	5
霍	霍	hɒk5	haoq7		7	5
鑊	镬	βɒk23	vaoq8		8	23
方	方	ɸɒ̃53	faon1		1	53
肪	肪	ɸɒ̃53	faon1		1	53
邡	邡	ɸɒ̃53	faon1		1	53
坊	坊	ɸɒ̃53	faon1		1	53
舫	舫	ɸɒ̃44	faon3		3	44
放	放	ɸɒ̃35	faon5		5	35
芳	芳	ɸɒ̃53	faon1		1	53
紡	纺	ɸɒ̃44	faon3		3	44
仿	仿	ɸɒ̃44	faon3		3	44
訪	访	ɸɒ̃44	faon3		3	44
防	防	bɒ̃22	baon2		2	22
房	房	βɒ̃22	vaon2		2	22
房	房	bɒ̃22	baon2	阿~宫。	2	22
亡	亡	mɒ̃22	maon2	【白读】~人；关~。	2	22
亡	亡	βɒ̃22	vaon2	【文读】死~。	2	22
芒	芒	mɒ̃22	maon2		2	22
網	网	mɒ̃213	maon4		4	213
忘	忘	mɒ̃13	maon6	【白读】~记。	6	13
忘	忘	βɒ̃13	vaon6	【文读】健~；失~。	6	13
望	望	mɒ̃13	maon6	【白读】	6	13
望	望	βɒ̃13	vaon6	【文读】希~。	6	13
望	望	bɒ̃13	baon6	平~（江苏吴江地名）。	6	13
妄	妄	mɒ̃13	maon6	【白读】痴心~想。	6	13
妄	妄	βɒ̃13	vaon6	【文读】狂~。	6	13
筐	筐	kʰuɒ̃53	khuaon1		1	53
匡	匡	tɕʰiɒ̃53	chiaon1	【白读】姓：~巷（上海嘉定地名）。	1	53
匡	匡	kʰuɒ̃53	khuaon1	【文读】	1	53
眶	眶	tɕʰiɒ̃53	chiaon1	【白读】眼~。	1	53
眶	眶	kʰuɒ̃53	khuaon1	【文读】	1	53
狂	狂	guɒ̃13	guaon6		6	13
況	况	ɸɒ̃35	faon5		5	35
王	王	ɦiɒ̃22	yaon2	【白读】姓。	2	22
王	王	βɒ̃22	vaon2	【文读】大~。	2	22
王	王	βɒ̃13	vaon6	统治。	6	13
往	往	βɒ̃44	vaon3		3	44
旺	旺	ɦiɒ̃13	yaon6	【白读】火烧得~。	6	13
旺	旺	βɒ̃13	vaon6	【文读】兴~。	6	13
縛	缚	bɒk23	baoq8		8	23
邦	邦	ɓɒ̃53	paon1		1	53
綁	绑	ɓɒ̃44	paon3		3	44
胖	胖	pʰɒ̃35	phaon5		5	35
龐	庞	bɒ̃22	baon2		2	22
棒	棒	bɒ̃213	baon4		4	213
樁	桩	tsɒ̃53	tsaon1		1	53
撞	撞	zɒ̃13	zaon6		6	13
窗	窗	tsʰɒ̃53	tshaon1		1	53
雙	双	sɒ̃53	saon1		1	53
江	江	kɒ̃53	kaon1	【白读】	1	53
江	江	tɕiã53	cian1	【文读】	1	53
講	讲	kɒ̃44	kaon3	【白读】	3	44
講	讲	tɕiã44	cian3	【文读】	3	44
