繁体	简体	声母	韵母	声调	拼音無調	拼音	IPA	备注
線	线	s	in	5	sin	sin5	sin⁴⁴	
扇	扇	s	in	5	sin	sin5	sin⁴⁴	
羨	羡	s	in	6	sin	sin6	sin²²	
膳	膳	s	in	6	sin	sin6	sin²²	
善	善	s	in	6	sin	sin6	sin²²	
堅	坚	g	in	1	gin	gin1	kin⁵⁵	
肩	肩	g	in	1	gin	gin1	kin⁵⁵	
兼	兼	g	in	1	gin	gin1	kin⁵⁵	
檢	检	g	in	3	gin	gin3	kin³⁵	
筧	笕	g	in	3	gin	gin3	kin³⁵	
儉	俭	g	in	4	gin	gin4	kin³³	
鍵	键	g	in	4	gin	gin4	kin³³	
犍	犍	g	in	4	gin	gin4	kin³³	
健	健	g	in	4	gin	gin4	kin³³	
件	件	g	in	4	gin	gin4	kin³³	
建	建	g	in	5	gin	gin5	kin⁴⁴	
見	见	g	in	5	gin	gin5	kin⁴⁴	
劍	剑	g	in	5	gin	gin5	kin⁴⁴	
鉗	钳	k	in	2	kin	kin2	kʰin²¹	
掮	掮	k	in	2	kin	kin2	kʰin²¹	
虔	虔	k	in	2	kin	kin2	kʰin²¹	
黔	黔	k	in	2	kin	kin2	kʰin²¹	
欠	欠	k	in	5	kin	kin5	kʰin⁴⁴	
軒	轩	h	in	1	hin	hin1	hin⁵⁵	
牽	牵	h	in	1	hin	hin1	hin⁵⁵	
掀	掀	h	in	1	hin	hin1	hin⁵⁵	
謙	谦	h	in	1	hin	hin1	hin⁵⁵	
嫌	嫌	h	in	2	hin	hin2	hin²¹	
險	险	h	in	3	hin	hin3	hin³⁵	
憲	宪	h	in	5	hin	hin5	hin⁴⁴	
莧	苋	h	in	6	hin	hin6	hin²²	
淹	淹	j	in	1	jin	jin1	jin⁵⁵	
閹	阉	j	in	1	jin	jin1	jin⁵⁵	
蔫	蔫	j	in	1	jin	jin1	jin⁵⁵	
咽	咽	j	in	1	jin	jin1	jin⁵⁵	
冉	冉	j	in	1	jin	jin1	jin⁵⁵	
賢	贤	j	in	2	jin	jin2	jin²¹	
研	研	j	in	2	jin	jin2	jin²¹	
炎	炎	j	in	2	jin	jin2	jin²¹	
鹽	盐	j	in	2	jin	jin2	jin²¹	
嚴	严	j	in	2	jin	jin2	jin²¹	
然	然	j	in	2	jin	jin2	jin²¹	
燃	燃	j	in	2	jin	jin2	jin²¹	
延	延	j	in	2	jin	jin2	jin²¹	
筵	筵	j	in	2	jin	jin2	jin²¹	
儼	俨	j	in	2	jin	jin2	jin²¹	
閻	阎	j	in	2	jin	jin2	jin²¹	
染	染	j	in	3	jin	jin3	jin³⁵	
掩	掩	j	in	4	jin	jin4	jin³³	
魘	魇	j	in	4	jin	jin4	jin³³	
演	演	j	in	4	jin	jin4	jin³³	
厭	厌	j	in	5	jin	jin5	jin⁴⁴	
豔	艳	j	in	5	jin	jin5	jin⁴⁴	
釅	酽	j	in	5	jin	jin5	jin⁴⁴	
宴	宴	j	in	5	jin	jin5	jin⁴⁴	
硯	砚	j	in	5	jin	jin5	jin⁴⁴	
焰	焰	j	in	6	jin	jin6	jin²²	
驗	验	j	in	6	jin	jin6	jin²²	
般	般	b	un	1	bun	bun1	pun⁵⁵	
搬	搬	b	un	1	bun	bun1	pun⁵⁵	
本	本	b	un	3	bun	bun3	pun³⁵	
半	半	b	un	5	bun	bun5	pun⁴⁴	
潘	潘	p	un	1	pun	pun1	pʰun⁵⁵	
盤	盘	p	un	2	pun	pun2	pʰun²¹	
盆	盆	p	un	2	pun	pun2	pʰun²¹	
絆	绊	p	un	4	pun	pun4	pʰun³³	
伴	伴	p	un	4	pun	pun4	pʰun³³	
拌	拌	p	un	4	pun	pun4	pʰun³³	
畔	畔	p	un	4	pun	pun4	pʰun³³	
胖	胖	p	un	4	pun	pun4	pʰun³³	
叛	叛	p	un	4	pun	pun4	pʰun³³	
判	判	p	un	5	pun	pun5	pʰun⁴⁴	
門	门	m	un	2	mun	mun2	mun²¹	
瞞	瞒	m	un	2	mun	mun2	mun²¹	
滿	满	m	un	3	mun	mun3	mun³⁵	
悶	闷	m	un	5	mun	mun5	mun⁴⁴	
歡	欢	f	un	1	fun	fun1	fun⁵⁵	
寬	宽	f	un	1	fun	fun1	fun⁵⁵	
款	款	f	un	3	fun	fun3	fun³⁵	
鈍	钝	d	un	5	dun	dun5	tun⁴⁴	
飩	饨	t	un	1	tun	tun1	tʰun⁵⁵	
純	纯	s	un	2	sun	sun2	sun²¹	
醇	醇	s	un	2	sun	sun2	sun²¹	
乾	干	g	un	1	gun	gun1	kun⁵⁵	
干	干	g	un	1	gun	gun1	kun⁵⁵	
肝	肝	g	un	1	gun	gun1	kun⁵⁵	
竿	竿	g	un	1	gun	gun1	kun⁵⁵	
官	官	g	un	1	gun	gun1	kun⁵⁵	
觀	观	g	un	1	gun	gun1	kun⁵⁵	
乾	乾	g	un	1	gun	gun1	kun⁵⁵	
冠	冠	g	un	1	gun	gun1	kun⁵⁵	衣~。
趕	赶	g	un	3	gun	gun3	kun³⁵	
管	管	g	un	3	gun	gun3	kun³⁵	
館	馆	g	un	3	gun	gun3	kun³⁵	
幹	干	g	un	5	gun	gun5	kun⁴⁴	
貫	贯	g	un	5	gun	gun5	kun⁴⁴	
灌	灌	g	un	5	gun	gun5	kun⁴⁴	
罐	罐	g	un	5	gun	gun5	kun⁴⁴	
冠	冠	g	un	5	gun	gun5	kun⁴⁴	~军。
碗	碗	w	un	2	wun	wun2	wun²¹	
腕	腕	w	un	2	wun	wun2	wun²¹	
豌	豌	w	un	2	wun	wun2	wun²¹	
剜	剜	w	un	2	wun	wun2	wun²¹	
緩	缓	w	un	5	wun	wun5	wun⁴⁴	
喚	唤	w	un	5	wun	wun5	wun⁴⁴	
煥	焕	w	un	5	wun	wun5	wun⁴⁴	
換	换	w	un	5	wun	wun5	wun⁴⁴	
端	端	d	yun	1	dyun	dyun1	tyn⁵⁵	
短	短	d	yun	3	dyun	dyun3	tyn³⁵	
段	段	d	yun	5	dyun	dyun5	tyn⁴⁴	
鍛	锻	d	yun	5	dyun	dyun5	tyn⁴⁴	
緞	缎	d	yun	5	dyun	dyun5	tyn⁴⁴	
斷	断	d	yun	5	dyun	dyun5	tyn⁴⁴	判~。
團	团	t	yun	2	tyun	tyun2	tʰyn²¹	
糰	团	t	yun	2	tyun	tyun2	tʰyn²¹	
斷	断	t	yun	3	tyun	tyun3	tʰyn³⁵	~绝。
暖	暖	n	yun	3	nyun	nyun3	nyn³⁵	
鸞	鸾	l	yun	2	lyun	lyun2	lyn²¹	
聯	联	l	yun	2	lyun	lyun2	lyn²¹	
戀	恋	l	yun	5	lyun	lyun5	lyn⁴⁴	
卵	卵	l	yun	5	lyun	lyun5	lyn⁴⁴	
亂	乱	l	yun	6	lyun	lyun6	lyn²²	
專	专	z	yun	1	zyun	zyun1	tsyn⁵⁵	
磚	砖	z	yun	1	zyun	zyun1	tsyn⁵⁵	
尊	尊	z	yun	1	zyun	zyun1	tsyn⁵⁵	
遵	遵	z	yun	1	zyun	zyun1	tsyn⁵⁵	
鑽	钻	z	yun	5	zyun	zyun5	tsyn⁴⁴	
轉	转	z	yun	5	zyun	zyun5	tsyn⁴⁴	
傳	传	z	yun	6	zyun	zyun6	tsyn²²	自~。
川	川	c	yun	1	cyun	cyun1	tsʰyn⁵⁵	
穿	穿	c	yun	1	cyun	cyun1	tsʰyn⁵⁵	
村	村	c	yun	1	cyun	cyun1	tsʰyn⁵⁵	
全	全	c	yun	2	cyun	cyun2	tsʰyn²¹	
泉	泉	c	yun	2	cyun	cyun2	tsʰyn²¹	
存	存	c	yun	2	cyun	cyun2	tsʰyn²¹	
椽	椽	c	yun	2	cyun	cyun2	tsʰyn²¹	
傳	传	c	yun	2	cyun	cyun2	tsʰyn²¹	宣~。
喘	喘	s	yun	5	syun	syun5	syn⁴⁴	
忖	忖	s	yun	5	syun	syun5	syn⁴⁴	
竄	窜	s	yun	5	syun	syun5	syn⁴⁴	
寸	寸	s	yun	6	syun	syun6	syn²²	
串	串	s	yun	6	syun	syun6	syn²²	
宣	宣	s	yun	1	syun	syun1	syn⁵⁵	
喧	喧	s	yun	1	syun	syun1	syn⁵⁵	
酸	酸	s	yun	1	syun	syun1	syn⁵⁵	
孫	孙	s	yun	1	syun	syun1	syn⁵⁵	
船	船	s	yun	2	syun	syun2	syn²¹	
旋	旋	s	yun	2	syun	syun2	syn²¹	
選	选	s	yun	3	syun	syun3	syn³⁵	
損	损	s	yun	3	syun	syun3	syn³⁵	
算	算	s	yun	5	syun	syun5	syn⁴⁴	
蒜	蒜	s	yun	5	syun	syun5	syn⁴⁴	
娟	娟	g	yun	1	gyun	gyun1	kyn⁵⁵	
捐	捐	g	yun	1	gyun	gyun1	kyn⁵⁵	
絹	绢	g	yun	1	gyun	gyun1	kyn⁵⁵	
卷	卷	g	yun	3	gyun	gyun3	kyn³⁵	
捲	卷	g	yun	3	gyun	gyun3	kyn³⁵	
眷	眷	g	yun	5	gyun	gyun5	kyn⁴⁴	
倦	倦	g	yun	5	gyun	gyun5	kyn⁴⁴	
權	权	k	yun	2	kyun	kyun2	kʰyn²¹	
拳	拳	k	yun	2	kyun	kyun2	kʰyn²¹	
顴	颧	k	yun	2	kyun	kyun2	kʰyn²¹	
乾	乾	k	yun	2	kyun	kyun2	kʰyn²¹	~坤。
圈	圈	h	yun	1	hyun	hyun1	hyn⁵⁵	
舷	舷	h	yun	2	hyun	hyun2	hyn²¹	
玄	玄	h	yun	2	hyun	hyun2	hyn²¹	
眩	眩	h	yun	2	hyun	hyun2	hyn²¹	
懸	悬	h	yun	2	hyun	hyun2	hyn²¹	
犬	犬	h	yun	2	hyun	hyun2	hyn²¹	
勸	劝	h	yun	3	hyun	hyun3	hyn³⁵	
券	券	h	yun	5	hyun	hyun5	hyn⁴⁴	
獻	献	h	yun	5	hyun	hyun5	hyn⁴⁴	
冤	冤	j	yun	5	jyun	jyun5	jyn⁴⁴	
淵	渊	j	yun	1	jyun	jyun1	jyn⁵⁵	
完	完	j	yun	1	jyun	jyun1	jyn⁵⁵	
員	员	j	yun	2	jyun	jyun2	jyn²¹	
圓	圆	j	yun	2	jyun	jyun2	jyn²¹	
緣	缘	j	yun	2	jyun	jyun2	jyn²¹	
沿	沿	j	yun	2	jyun	jyun2	jyn²¹	
鉛	铅	j	yun	2	jyun	jyun2	jyn²¹	
元	元	j	yun	2	jyun	jyun2	jyn²¹	
園	园	j	yun	2	jyun	jyun2	jyn²¹	
原	原	j	yun	2	jyun	jyun2	jyn²¹	
源	源	j	yun	2	jyun	jyun2	jyn²¹	
袁	袁	j	yun	2	jyun	jyun2	jyn²¹	
援	援	j	yun	2	jyun	jyun2	jyn²¹	
軟	软	j	yun	3	jyun	jyun3	jyn³⁵	
遠	远	j	yun	3	jyun	jyun3	jyn³⁵	
宛	宛	j	yun	4	jyun	jyun4	jyn³³	
阮	阮	j	yun	4	jyun	jyun4	jyn³³	
院	院	j	yun	4	jyun	jyun4	jyn³³	
縣	县	j	yun	4	jyun	jyun4	jyn³³	
皖	皖	j	yun	4	jyun	jyun4	jyn³³	
丸	丸	j	yun	4	jyun	jyun4	jyn³³	
怨	怨	j	yun	5	jyun	jyun5	jyn⁴⁴	
願	愿	j	yun	6	jyun	jyun6	jyn²²	
班	班	b	aang	1	baang	baang1	paŋ⁵⁵	
斑	斑	b	aang	1	baang	baang1	paŋ⁵⁵	
頒	颁	b	aang	1	baang	baang1	paŋ⁵⁵	
板	板	b	aang	3	baang	baang3	paŋ³⁵	
版	版	b	aang	3	baang	baang3	paŋ³⁵	
阪	坂	b	aang	3	baang	baang3	paŋ³⁵	
扳	扳	b	aang	3	baang	baang3	paŋ³⁵	
扮	扮	b	aang	5	baang	baang5	paŋ⁴⁴	
辦	办	b	aang	5	baang	baang5	paŋ⁴⁴	
烹	烹	p	aang	1	paang	paang1	pʰaŋ⁵⁵	
攀	攀	p	aang	1	paang	paang1	pʰaŋ⁵⁵	
彭	彭	p	aang	2	paang	paang2	pʰaŋ²¹	
澎	澎	p	aang	2	paang	paang2	pʰaŋ²¹	
棒	棒	p	aang	3	paang	paang3	pʰaŋ³⁵	
盼	盼	p	aang	5	paang	paang5	pʰaŋ⁴⁴	
襻	襻	p	aang	5	paang	paang5	pʰaŋ⁴⁴	
盲	盲	m	aang	2	maang	maang2	maŋ²¹	
蠻	蛮	m	aang	2	maang	maang2	maŋ²¹	
晚	晚	m	aang	4	maang	maang4	maŋ³³	
猛	猛	m	aang	4	maang	maang4	maŋ³³	
慢	慢	m	aang	5	maang	maang5	maŋ⁴⁴	
饅	馒	m	aang	5	maang	maang5	maŋ⁴⁴	
鰻	鳗	m	aang	5	maang	maang5	maŋ⁴⁴	
漫	漫	m	aang	5	maang	maang5	maŋ⁴⁴	
曼	曼	m	aang	5	maang	maang5	maŋ⁴⁴	
萬	万	m	aang	5	maang	maang5	maŋ⁴⁴	
孟	孟	m	aang	5	maang	maang5	maŋ⁴⁴	
番	番	f	aang	1	faang	faang1	faŋ⁵⁵	
翻	翻	f	aang	1	faang	faang1	faŋ⁵⁵	
凡	凡	f	aang	2	faang	faang2	faŋ²¹	
帆	帆	f	aang	2	faang	faang2	faŋ²¹	
礬	矾	f	aang	2	faang	faang2	faŋ²¹	
煩	烦	f	aang	2	faang	faang2	faŋ²¹	
繁	繁	f	aang	2	faang	faang2	faŋ²¹	
藩	藩	f	aang	2	faang	faang2	faŋ²¹	
反	反	f	aang	3	faang	faang3	faŋ³⁵	
販	贩	f	aang	3	faang	faang3	faŋ³⁵	
瓣	瓣	f	aang	3	faang	faang3	faŋ³⁵	
範	范	f	aang	6	faang	faang6	faŋ²²	
犯	犯	f	aang	6	faang	faang6	faŋ²²	
飯	饭	f	aang	6	faang	faang6	faŋ²²	
擔	担	d	aang	1	daang	daang1	taŋ⁵⁵	
耽	耽	d	aang	1	daang	daang1	taŋ⁵⁵	
丹	丹	d	aang	1	daang	daang1	taŋ⁵⁵	
單	单	d	aang	1	daang	daang1	taŋ⁵⁵	
膽	胆	d	aang	3	daang	daang3	taŋ³⁵	
撣	掸	d	aang	3	daang	daang3	taŋ³⁵	
蛋	蛋	d	aang	3	daang	daang3	taŋ³⁵	
彈	弹	d	aang	3	daang	daang3	taŋ³⁵	
旦	旦	d	aang	5	daang	daang5	taŋ⁴⁴	
擔	担	d	aang	5	daang	daang5	taŋ⁴⁴	
誕	诞	d	aang	5	daang	daang5	taŋ⁴⁴	
貪	贪	t	aang	1	taang	taang1	tʰaŋ⁵⁵	
攤	摊	t	aang	1	taang	taang1	tʰaŋ⁵⁵	
灘	滩	t	aang	1	taang	taang1	tʰaŋ⁵⁵	
坍	坍	t	aang	1	taang	taang1	tʰaŋ⁵⁵	
潭	潭	t	aang	2	taang	taang2	tʰaŋ²¹	
譚	谭	t	aang	2	taang	taang2	tʰaŋ²¹	
談	谈	t	aang	2	taang	taang2	tʰaŋ²¹	
痰	痰	t	aang	2	taang	taang2	tʰaŋ²¹	
壇	坛	t	aang	2	taang	taang2	tʰaŋ²¹	
檀	檀	t	aang	2	taang	taang2	tʰaŋ²¹	
男	男	n	aang	1	naang	naang1	naŋ⁵⁵	
南	南	n	aang	1	naang	naang1	naŋ⁵⁵	
難	难	n	aang	1	naang	naang1	naŋ⁵⁵	困~。
難	难	n	aang	5	naang	naang5	naŋ⁴⁴	灾~。
蘭	兰	l	aang	2	laang	laang2	laŋ²¹	
攔	拦	l	aang	2	laang	laang2	laŋ²¹	
欄	栏	l	aang	2	laang	laang2	laŋ²¹	
藍	蓝	l	aang	2	laang	laang2	laŋ²¹	
籃	篮	l	aang	2	laang	laang2	laŋ²¹	
欖	榄	l	aang	2	laang	laang2	laŋ²¹	
覽	览	l	aang	3	laang	laang3	laŋ³⁵	
懶	懒	l	aang	3	laang	laang3	laŋ³⁵	
冷	冷	l	aang	3	laang	laang3	laŋ³⁵	
欖	榄	l	aang	4	laang	laang4	laŋ³³	
爛	烂	l	aang	5	laang	laang5	laŋ⁴⁴	
濫	滥	l	aang	5	laang	laang5	laŋ⁴⁴	
纜	缆	l	aang	5	laang	laang5	laŋ⁴⁴	
簪	簪	z	aang	1	zaang	zaang1	tsaŋ⁵⁵	
斬	斩	z	aang	3	zaang	zaang3	tsaŋ³⁵	
盞	盏	z	aang	3	zaang	zaang3	tsaŋ³⁵	
棧	栈	z	aang	3	zaang	zaang3	tsaŋ³⁵	
站	站	z	aang	4	zaang	zaang4	tsaŋ³³	
暫	暂	z	aang	4	zaang	zaang4	tsaŋ³³	
賺	赚	z	aang	4	zaang	zaang4	tsaŋ³³	
綻	绽	z	aang	4	zaang	zaang4	tsaŋ³³	
贊	赞	z	aang	5	zaang	zaang5	tsaŋ⁴⁴	
撰	撰	z	aang	6	zaang	zaang6	tsaŋ²²	
參	参	c	aang	1	caang	caang1	tsʰaŋ⁵⁵	~加。
餐	餐	c	aang	1	caang	caang1	tsʰaŋ⁵⁵	
蠶	蚕	c	aang	2	caang	caang2	tsʰaŋ²¹	
饞	馋	c	aang	2	caang	caang2	tsʰaŋ²¹	
讒	谗	c	aang	2	caang	caang2	tsʰaŋ²¹	
攙	搀	c	aang	2	caang	caang2	tsʰaŋ²¹	
慚	惭	c	aang	2	caang	caang2	tsʰaŋ²¹	
殘	残	c	aang	2	caang	caang2	tsʰaŋ²¹	
橙	橙	c	aang	2	caang	caang2	tsʰaŋ²¹	
慘	惨	c	aang	3	caang	caang3	tsʰaŋ³⁵	
產	产	c	aang	3	caang	caang3	tsʰaŋ³⁵	
鏟	铲	c	aang	3	caang	caang3	tsʰaŋ³⁵	
燦	灿	c	aang	5	caang	caang5	tsʰaŋ⁴⁴	
杉	杉	c	aang	5	caang	caang5	tsʰaŋ⁴⁴	
撐	撑	c	aang	5	caang	caang5	tsʰaŋ⁴⁴	
懺	忏	c	aang	5	caang	caang5	tsʰaŋ⁴⁴	
三	三	s	aang	1	saang	saang1	saŋ⁵⁵	
衫	衫	s	aang	1	saang	saang1	saŋ⁵⁵	
山	山	s	aang	1	saang	saang1	saŋ⁵⁵	
生	生	s	aang	1	saang	saang1	saŋ⁵⁵	
牲	牲	s	aang	1	saang	saang1	saŋ⁵⁵	
笙	笙	s	aang	1	saang	saang1	saŋ⁵⁵	
珊	珊	s	aang	1	saang	saang1	saŋ⁵⁵	
閂	闩	s	aang	1	saang	saang1	saŋ⁵⁵	
拴	拴	s	aang	1	saang	saang1	saŋ⁵⁵	
疝	疝	s	aang	1	saang	saang1	saŋ⁵⁵	
省	省	s	aang	3	saang	saang3	saŋ³⁵	
傘	伞	s	aang	4	saang	saang4	saŋ³³	
散	散	s	aang	5	saang	saang5	saŋ⁴⁴	
篡	篡	s	aang	6	saang	saang6	saŋ²²	
柑	柑	g	aang	1	gaang	gaang1	kaŋ⁵⁵	
疳	疳	g	aang	1	gaang	gaang1	kaŋ⁵⁵	
尷	尴	g	aang	1	gaang	gaang1	kaŋ⁵⁵	
艱	艰	g	aang	1	gaang	gaang1	kaŋ⁵⁵	
間	间	g	aang	1	gaang	gaang1	kaŋ⁵⁵	
奸	奸	g	aang	1	gaang	gaang1	kaŋ⁵⁵	
姦	奸	g	aang	1	gaang	gaang1	kaŋ⁵⁵	
更	更	g	aang	1	gaang	gaang1	kaŋ⁵⁵	
庚	庚	g	aang	1	gaang	gaang1	kaŋ⁵⁵	
耕	耕	g	aang	1	gaang	gaang1	kaŋ⁵⁵	
感	感	g	aang	3	gaang	gaang3	kaŋ³⁵	
減	减	g	aang	3	gaang	gaang3	kaŋ³⁵	
堿	碱	g	aang	3	gaang	gaang3	kaŋ³⁵	
簡	简	g	aang	3	gaang	gaang3	kaŋ³⁵	
柬	柬	g	aang	3	gaang	gaang3	kaŋ³⁵	
揀	拣	g	aang	3	gaang	gaang3	kaŋ³⁵	
繭	茧	g	aang	3	gaang	gaang3	kaŋ³⁵	
埂	埂	g	aang	3	gaang	gaang3	kaŋ³⁵	
梗	梗	g	aang	3	gaang	gaang3	kaŋ³⁵	
哽	哽	g	aang	3	gaang	gaang3	kaŋ³⁵	
岩	岩	ng	aang	2	ngaang	ngaang2	ŋaŋ²¹	
顏	颜	ng	aang	2	ngaang	ngaang2	ŋaŋ²¹	
眼	眼	ng	aang	3	ngaang	ngaang3	ŋaŋ³⁵	
硬	硬	ng	aang	5	ngaang	ngaang5	ŋaŋ⁴⁴	
雁	雁	ng	aang	5	ngaang	ngaang5	ŋaŋ⁴⁴	
亨	亨	h	aang	1	haang	haang1	haŋ⁵⁵	
鹹	咸	h	aang	2	haang	haang2	haŋ²¹	
咸	咸	h	aang	2	haang	haang2	haŋ²¹	
閑	闲	h	aang	2	haang	haang2	haŋ²¹	
酣	酣	h	aang	2	haang	haang2	haŋ²¹	
行	行	h	aang	2	haang	haang2	haŋ²¹	
桁	桁	h	aang	2	haang	haang2	haŋ²¹	
限	限	h	aang	4	haang	haang4	haŋ³³	
鹽	盐	j	aang	2	jaang	jaang2	jaŋ²¹	
彎	弯	w	aang	1	waang	waang1	waŋ⁵⁵	
灣	湾	w	aang	1	waang	waang1	waŋ⁵⁵	
頑	顽	w	aang	2	waang	waang2	waŋ²¹	
橫	横	w	aang	2	waang	waang2	waŋ²¹	
幻	幻	w	aang	3	waang	waang3	waŋ³⁵	
患	患	w	aang	3	waang	waang3	waŋ³⁵	
宦	宦	w	aang	3	waang	waang3	waŋ³⁵	
庵	庵	x	aang	1	aang	aang1	aŋ⁵⁵	
鶯	莺	x	aang	1	aang	aang1	aŋ⁵⁵	
晏	晏	x	aang	5	aang	aang5	aŋ⁴⁴	
冰	冰	b	ang	1	bang	bang1	pɐŋ⁵⁵	
崩	崩	b	ang	1	bang	bang1	pɐŋ⁵⁵	
丙	丙	b	ang	3	bang	bang3	pɐŋ³⁵	
秉	秉	b	ang	3	bang	bang3	pɐŋ³⁵	
平	平	p	ang	2	pang	pang2	pʰɐŋ²¹	
坪	坪	p	ang	2	pang	pang2	pʰɐŋ²¹	
評	评	p	ang	2	pang	pang2	pʰɐŋ²¹	
蘋	苹	p	ang	2	pang	pang2	pʰɐŋ²¹	
萍	萍	p	ang	2	pang	pang2	pʰɐŋ²¹	
瓶	瓶	p	ang	2	pang	pang2	pʰɐŋ²¹	
屏	屏	p	ang	2	pang	pang2	pʰɐŋ²¹	
拼	拼	p	ang	5	pang	pang5	pʰɐŋ⁴⁴	
姘	姘	p	ang	5	pang	pang5	pʰɐŋ⁴⁴	
迸	迸	p	ang	5	pang	pang5	pʰɐŋ⁴⁴	
併	并	p	ang	5	pang	pang5	pʰɐŋ⁴⁴	
聘	聘	p	ang	5	pang	pang5	pʰɐŋ⁴⁴	
明	明	m	ang	2	mang	mang2	mɐŋ²¹	
鳴	鸣	m	ang	2	mang	mang2	mɐŋ²¹	
盟	盟	m	ang	2	mang	mang2	mɐŋ²¹	
丁	丁	d	ang	1	dang	dang1	tɐŋ⁵⁵	
燈	灯	d	ang	1	dang	dang1	tɐŋ⁵⁵	
登	登	d	ang	1	dang	dang1	tɐŋ⁵⁵	
等	等	d	ang	3	dang	dang3	tɐŋ³⁵	
頂	顶	d	ang	3	dang	dang3	tɐŋ³⁵	
戥	戥	d	ang	3	dang	dang3	tɐŋ³⁵	
凳	凳	d	ang	5	dang	dang5	tɐŋ⁴⁴	
鄧	邓	d	ang	6	dang	dang6	tɐŋ²²	
滕	滕	t	ang	2	tang	tang2	tʰɐŋ²¹	
藤	藤	t	ang	2	tang	tang2	tʰɐŋ²¹	
騰	腾	t	ang	2	tang	tang2	tʰɐŋ²¹	
謄	誊	t	ang	2	tang	tang2	tʰɐŋ²¹	
亭	亭	t	ang	2	tang	tang2	tʰɐŋ²¹	
停	停	t	ang	2	tang	tang2	tʰɐŋ²¹	
婷	婷	t	ang	2	tang	tang2	tʰɐŋ²¹	
廷	廷	t	ang	2	tang	tang2	tʰɐŋ²¹	
庭	庭	t	ang	2	tang	tang2	tʰɐŋ²¹	
蜓	蜓	t	ang	2	tang	tang2	tʰɐŋ²¹	
挺	挺	t	ang	3	tang	tang3	tʰɐŋ³⁵	
能	能	n	ang	2	nang	nang2	nɐŋ²¹	
寧	宁	n	ang	2	nang	nang2	nɐŋ²¹	
楞	楞	n	ang	2	nang	nang2	nɐŋ²¹	
陵	陵	l	ang	2	lang	lang2	lɐŋ²¹	
淩	凌	l	ang	2	lang	lang2	lɐŋ²¹	
菱	菱	l	ang	2	lang	lang2	lɐŋ²¹	
靈	灵	l	ang	2	lang	lang2	lɐŋ²¹	
曾	曾	z	ang	1	zang	zang1	tsɐŋ⁵⁵	
增	增	z	ang	1	zang	zang1	tsɐŋ⁵⁵	
憎	憎	z	ang	1	zang	zang1	tsɐŋ⁵⁵	
僧	僧	z	ang	1	zang	zang1	tsɐŋ⁵⁵	
征	征	z	ang	1	zang	zang1	tsɐŋ⁵⁵	
徵	征	z	ang	1	zang	zang1	tsɐŋ⁵⁵	
蒸	蒸	z	ang	1	zang	zang1	tsɐŋ⁵⁵	
正	正	z	ang	1	zang	zang1	tsɐŋ⁵⁵	~月。
精	精	z	ang	1	zang	zang1	tsɐŋ⁵⁵	
睛	睛	z	ang	1	zang	zang1	tsɐŋ⁵⁵	
晶	晶	z	ang	1	zang	zang1	tsɐŋ⁵⁵	
正	正	z	ang	5	zang	zang5	tsɐŋ⁴⁴	~副。
證	证	z	ang	5	zang	zang5	tsɐŋ⁴⁴	
症	症	z	ang	5	zang	zang5	tsɐŋ⁴⁴	
贈	赠	z	ang	6	zang	zang6	tsɐŋ²²	
靖	靖	z	ang	6	zang	zang6	tsɐŋ²²	
稱	称	c	ang	1	cang	cang1	tsʰɐŋ⁵⁵	
青	青	c	ang	1	cang	cang1	tsʰɐŋ⁵⁵	
清	清	c	ang	1	cang	cang1	tsʰɐŋ⁵⁵	
蜻	蜻	c	ang	1	cang	cang1	tsʰɐŋ⁵⁵	
曾	曾	c	ang	2	cang	cang2	tsʰɐŋ²¹	~经。
層	层	c	ang	2	cang	cang2	tsʰɐŋ²¹	
懲	惩	c	ang	2	cang	cang2	tsʰɐŋ²¹	
情	情	c	ang	2	cang	cang2	tsʰɐŋ²¹	
晴	晴	c	ang	2	cang	cang2	tsʰɐŋ²¹	
逞	逞	c	ang	2	cang	cang2	tsʰɐŋ²¹	
拯	拯	c	ang	3	cang	cang3	tsʰɐŋ³⁵	
請	请	c	ang	3	cang	cang3	tsʰɐŋ³⁵	
秤	秤	c	ang	5	cang	cang5	tsʰɐŋ⁴⁴	
稱	称	c	ang	5	cang	cang5	tsʰɐŋ⁴⁴	
升	升	s	ang	1	sang	sang1	sɐŋ⁵⁵	
聲	声	s	ang	1	sang	sang1	sɐŋ⁵⁵	
星	星	s	ang	1	sang	sang1	sɐŋ⁵⁵	
乘	乘	s	ang	2	sang	sang2	sɐŋ²¹	
繩	绳	s	ang	2	sang	sang2	sɐŋ²¹	
成	成	s	ang	2	sang	sang2	sɐŋ²¹	
城	城	s	ang	2	sang	sang2	sɐŋ²¹	
誠	诚	s	ang	2	sang	sang2	sɐŋ²¹	
丞	丞	s	ang	2	sang	sang2	sɐŋ²¹	
承	承	s	ang	2	sang	sang2	sɐŋ²¹	
塍	塍	s	ang	2	sang	sang2	sɐŋ²¹	
勝	胜	s	ang	5	sang	sang5	sɐŋ⁴⁴	
聖	圣	s	ang	5	sang	sang5	sɐŋ⁴⁴	
盛	盛	s	ang	6	sang	sang6	sɐŋ²²	
剩	剩	s	ang	6	sang	sang6	sɐŋ²²	
京	京	g	ang	1	gang	gang1	kɐŋ⁵⁵	
經	经	g	ang	1	gang	gang1	kɐŋ⁵⁵	
荊	荆	g	ang	1	gang	gang1	kɐŋ⁵⁵	
景	景	g	ang	3	gang	gang3	kɐŋ³⁵	
