#参考资料	《怀宁石牌方言语音系统》
#符号	“□”表示写不出来的字
#调值	[1]阴平31[2]阳平44[3]上声42[5]阴去35[6]阳去33
#ɿ	
Ø	[1]危威逶微煨巍薇偎[2]为{作～}违围桅唯惟帷潍闱维[3]伟伪尾纬委娓玮痿萎诿苇[5]喂[6]为卫未位味畏胃谓蔚魏慰猬尉
#uan	
k	[1]关[5]惯
kʰ	[2]还环擐
Ø	[1]弯[2]玩[3]晚[6]万腕
#uən	
k	[3]滚衮辊磙[5]棍
kʰ	[1]昆坤鲲[3]捆[5]困
x	[1]昏婚荤[2]混浑馄魂
Ø	[1]温瘟[2]文闻纹炕蚊雯[3]稳吻紊刎[6]问汶
#uon	
Ø	[1]豌湾蜿[2]丸纨顽烷[3]皖碗惋宛莞{～尔}挽婉
#uɑŋ	
k	[1]光咣胱[3]广犷[5]逛
kʰ	[1]框匡诓哐筐[2]狂诳[5]旷矿况框眶
x	[1]慌荒[2]黄皇惶蝗蝗磺潢徨隉凰[3]幌恍晃谎[6]晃
Ø	[1]汪[2]王亡[3]网罔枉往惘[6]望忘旺妄
#uoŋ	
Ø	[1]翁嗡[6]瓮
#y	
ȵ	[3]女
l	[2]驴榈[3]吕捋{～顺}侣旅铝屡履缕[5]律虑滤率
tɕ	[1]猪朱侏诛茱珠诸蛛拘狙居驹雎鞠据苣车{象棋棋子}[3]主拄煮瞩嘱咀[5]竹烛逐竺局橘煸沮举菊[6]注著{显～}蛀句巨拒具炬俱剧据距惧飓聚踞锯矩
tɕʰ	[1]趋驱屈岖躯蛐[2]渠瞿衢除雏厨锄刍滁蜍橱躇徐[3]曲歌娶处楚储[5]趣出搐畜触黜[6]住助注{～水}驻柱炷祝铸筑处
ɕ	[1]需戌吁须虛噓墟书抒枢殊疏舒输蔬[2]赎孰殊塾[3]许栩诩暑属署鼠薯曙[5]序旭绪叔术[6]叙述恤酗絮蓄煦续树戍束竖庶漱墅恕
Ø	[1]迂淤瘀[2]于余俞娱愉渝瑜榆腴越揄隅萸谀臾盂虞愚觎舆[3]雨与宇羽语圄禹屿予[6]玉芋豫郁驭钰预欲遇御豫毓誉愈裕寓喻谕域浴狱熨
#ye	
tɕ	[1]撅
tɕʰ	[2]瘸
ɕ	[1]薛
#ya	
tɕ	[1]抓
tɕʰ	[3]爪
ɕ	[3]耍[5]刷
#io	
ȵ	[5]虐疟
l	[5]掠略
tɕ	[5]觉脚
tɕʰ	[5]雀却确榷鹊[6]嚼
ɕ	[5]削[6]学
Ø	[1]哟[5]岳药约曰钥
#yæ	
tɕ	[5]决诀绝倔崛掘厥獗爵
tɕʰ	[5]缺阙
ɕ	[1]靴[5]血谑摔
Ø	[5]月阅越粵跃悦
#yai	
tɕ	[3]拽
tɕʰ	[1]揣[6]踹
ɕ	[1]衰[3]甩[5]帅率蟀
#yei	
tɕ	[1]追锥椎[5]坠缀
tɕʰ	[1]吹炊[2]锤捶垂陲棰槌[6]赘
ɕ	[2]谁[3]水[5]睡税说
#yɛn	
n	[3]软阮
tɕ	[1]娟捐涓镌鹃专砖[3]卷[5]卷试转圖隽倦圈绢眷篆撰
tɕʰ	[1]圈川穿[2]权全泉诠拳痊蜷颧醛船椽传[3]犬舛喘[5]劝券串[6]赚传{～记}
ɕ	[1]栓闩拴轩宣萱喧暄[2]玄悬旋[3]爽选[5]涮漩炫绚眩渲
Ø	[1]鸳冤渊鸢[2]原元员园圆袁缘猿源辕媛援垣[3]远[6]怨愿院
#yn	
tɕ	[1]军均君钧菌肫谆[3]准[5]俊郡峻骏竣
tɕʰ	[1]春樁[2]纯唇醇淳鹑[3]蠢
ɕ	[1]熏勋薰醺[2]寻巡旬询荀荨峋浔循鲟[5]讯汛迅训驯殉逊[6]顺舜瞬
Ø	[1]晕氲[2]云芸匀耘纭[3]陨殒狁[5]熨[6]孕运蕴酝韵
#yɑŋ	
tɕ	[1]装妆庄桩[5]壮
tɕʰ	[1]疮窗[2]床[3]闯[5]创怆[6]状撞幢
ɕ	[1]双霜孀
