#ɿ			
tʃ	[1]將{～來}漿張章樟彰[2]象像橡丈仗{依～}杖匠[3]蔣獎槳長{生～}掌[5]醬將{大～}帳賬脹漲{～大，～水}仗{打～}障瘴		
tʃʰ	[1]槍昌菖倡鯧娼[2]牆詳祥翔長{短～}腸場常[3]搶[5]暢唱		
ʃ	[1]孀商傷[2]嘗償尚上{天～}[3]賞[4]上{～山}		
k	[1]僵韁薑姜		
kʰ	[1]疆[2]強{堅～}[4]強{勉～}		
h	[1]香鄉[3]晌餉享響[5]向		
#iœŋ			
ȵ	[2]讓釀壤[5]攘嚷		
∅	[1]央秧殃鴦[2]羊洋烊楊陽揚瘍樣[4]養癢恙		
#ɔŋ			
p	[1]幫邦[2]傍鎊[3]榜謗綁		
pʰ	[2]滂旁膀[4]蚌		
m	[1]虻芒{芒果}[2]忙芒{芒種}茫亡忘望氓[4]莽網輞		
f	[1]方芳肪[2]妨房防[3]恍坊仿{模～}紡訪[5]放		
t	[1]當{應～}鐺襠副[2]蕩宕[3]黨擋[5]當{妥～}檔		
tʰ	[1]湯[2]堂棠螳唐糖塘搪淌[3]倘躺[5]燙趟		
n	[1]襠[2]囊		
s	[1]桑嗓[5]喪{～失}		
l	[2]郎廊狼螂榔浪[3]□{涮洗}[4]朗琅		
tʃ	[1]贓髒莊裝妝樁[2]藏{寶～}臟狀撞[5]葬壯		
tʃʰ	[1]倉蒼艙瘡窗[2]藏{隱～}床[3]闖廠[5]創{～傷，～造}敞		
ʃ	[1]喪{婚～}雙{一～}霜[3]爽		
k	[1]岡剛綱鋼{～鐵，～一～（菜刀）}缸光胱江豇肛崗[3]廣講港[5]杠降{下～，投～}贛		
kʰ	[1]匡筐眶框[2]狂扛[3]逛[5]抗炕曠況礦		
ŋ	[4]昂仰[5]戇{呆傻}		
h	[1]慷康糠腔[2]行{銀～}航杭巷[3]項		
#uɔŋ			
∅	[1]荒慌謊汪[2]黃簧皇蝗凰隍蟥王旺枉煌磺[4]往晃{～眼，搖～}[3]幌		
#oŋ			
pʰ	[2]篷[3]捧[5]碰		
m	[2]蒙蠓夢[3]懵		
f	[1]風楓瘋豐封峰蜂鋒[2]馮鳳逢縫{～補，裂～}奉俸蓬[3]諷		
