IPA	調值	字		
tsʰuei	33	脆		
tsʰuei	324	罪墜		
suei	55	衰摔		
suei	213	誰		
suei	51	水		
suei	33	歲稅		
suei	324	睡瑞(~金:縣名)穗(稻~)		
kuei	55	闔圭規龜骨		
kuei	51	詭軌		
kuei	33	桂		
kʰuei	55	盔魁奎虧窺		
kʰuei	213	葵逵癸傀		
kʰuei	33	潰愧		
uei	55	煨微威危1		
uei	213	回(~去)危2爲(作~)唯維違圍		
uei	51	萎委偉葦緯		
uei	33	慰畏		
uei	324	爲(~人民服務)會(~不~)衛位未味魏胃謂		
miu	324	謬		
tiu	55	丟竹		
tiu	213	流		
tiu	324	六		
niu	213	牛		
niu	51	紐扭		
liu	55	溜綠		
liu	213	劉留硫琉餾柔揉		
liu	51	柳		
ʨiu	55	周舟州洲帚鳩糾菊究		
ʨiu	51	酒九久韭灸扭(~開:旋轉擰開)		
ʨiu	33	晝咒救		
ʨiu	324	橘(~青:很青·加在部分形容詞前·表示程度很高)		
ʨiu	24	鬏(~嘚:辮子)		
ʨʰiu	55	秋袖抽丘麴曲		
ʨʰiu	213	囚稠籌仇酬求球		
ʨʰiu	51	醜		
ʨʰiu	33	臭		
ʨʰiu	324	就宙臼舅咎舊柩軸局		
ɕiu	55	修羞收休肅宿2(~舍)畜(~牧)蓄(儲~)粟(包~:玉米)		
ɕiu	213	泅(~水:游泳)		
ɕiu	51	手首守朽		
ɕiu	33	秀繡宿(星~)獸鏽		
ɕiu	324	受壽授售		
iu	55	優悠幽育玉₂獄欲		
iu	213	尤郵由油遊		
iu	51	有友西		
iu	33	幼		
iu	324	誘又右佑柚釉		
tɛu	55	兜□(~腳:踢一腳)□(晏~:中午)		
tɛu	51	斗(量詞)抖陡		
tɛu	33	鬥(~爭)□(拼接)		
tɛu	24	□(~門:窗戶)		
tʰɛu	55	偷		
tʰɛu	213	頭投		
tʰɛu	51	□		
tʰɛu	33	透		
tʰɛu	324	豆逗		
lɛu	213	饒樓□(~正:用手快速整理好)		
lɛu	51	繞擾簍		
lɛu	33	□(逗:引誘)		
lɛu	324	漏陋		
tsɛu	55	朝(今~)招昭		
tsɛu	51	沼走		
tsɛu	33	照詔奏皺縐		
tsʰɛu	55	超		
tsʰɛu	213	朝(~代)潮愁		
tsʰɛu	33	湊		
tsʰɛu	51	□(~緊:用手用勁捂住)		
tsʰɛu	324	趙兆召驟		
sɛu	55	燒搜餿颼		
sɛu	213	韶		
sɛu	51	少(多~)□(動物的巢或穴)		
sɛu	33	少(~年)紹嗽瘦		
sɛu	324	邵		
pau	55	褒包胞鮑(姓)		
pau	51	保寶堡飽		
pau	33	報豹爆(~杖:爆竹)鮑(~魚)		
pʰau	55	抛□(水燒~得:水燒開了)		
pʰau	213	袍刨鉋浮1		
pʰau	33	泡(~茶)		
