来源：	《介休（张兰镇）方言音系研究》王树苗著  Vinchi录入增补
t	[1]刀桃-萄｛葡~｝[3]祷岛倒｛打~｝稻｛水~｝[5]叨倒｛～水；顛～｝到道盗导 
tʰ	[1]滔掏｛~出来｝桃=逃淘｛~米｝陶涛[3] 讨[5]套䵚｛~黍：高粱 ｝
n	[1]挠[3]脑恼□｛扛：～上犁｝[5]闹 
l	[1]劳捞牢[3]老了｛动态助词：吃～ 饭了；把这吃～！｝脑｛得~：头｝[5] 唠涝｛旱~｝落｛~在树上的雀雀｝烙路骆-酪□｛圪～：斗型手指纹｝□｛（tʰiɛn）～：羞明｝ 
ts	[1]遭糟曹-｛村名：～麻｝槽-｛马~｝脏｛不干净｝[3]早枣蚤澡爪｛~牙｝找｛~钱｝[5]躁灶皂造｛建～｝罩笊｛～篱｝焯｛把菜放在开水里~~｝燥
tsʰ	[1]操曹=槽=抄钞｛钱~｝巢[3]草炒吵□｛~饥：累、心烦｝[5]糙□｛洗涤的次数: 洗一～ ｝
nᶻ	[1]挠-
s	[1]梢｛树～｝捎｛～带｝稍[3]扫｛～地｝嫂 [5]骚臊｛~气｝稍｛雨～进来了｝ 
tʂ	[1]朝｛今~｝召昭招沼｛~气｝[3]找｛~ 对象｝[5]赵兆照诏
tʂʰ	[1]朝｛～代｝潮[5]超
ʂ	[1]烧绍勺=芍｛~药花｝[3]少｛～少｝ [5]少｛~年｝韶｛~关｝
ʐ	[1]饶[3]扰[5]绕｛围~:~线｝□｛扔： 薄～出的｝
k	[1]高羔糕镐[3]膏稿搞[5]告
kʰ	[1]考烤[5]靠犒
ŋ	[1]熬[3]袄拗｛~折：折断｝[5]傲鏊｛整烙饼用具｝懊｛～恼；～悔｝奥拗｛~口｝
x	[1]蒿｛蓬～｝薅｛除田草｝豪壕毫号｛呼～｝[3]好｛~坏｝郝= [5]家｛你~;卬~｝好｛喜~｝耗浩号｛～数｝上-｛上面：楼～；山～｝ 
Ø	[1]懊=奧=坳｛山～｝
#iɔo	
p	[1]膘｛肥~｝标彪[3]表
pʰ	[1]飘漂｛在水里～着｝瓢嫖｛~赌｝[3]漂｛～白｝[5]票｛车~｝漂 ｛~亮 ｝
m	[1]苗描[3]藐渺秒杳｛～无音信｝[5]庙妙 
t	[1]刁貂雕条-｛油薄～：一种用糕面炸成的长条形麻花状的吃食｝调｛～和：调料｝笤｛～帚｝[3]屌｛～相：形容人邋遢，带贬义｝[5]钓吊掉调｛音～：～动｝ 
tʰ	[1]条=｛~件｝调=｛协~｝[3]挑调｛更换：将买回来的杯子就不保温，重～个｝[5]跳粜
l	[1]燎疗聊辽撩｛~起来｝瞭廖｛姓｝[3]燎｛火~眉毛｝了｛~结｝[5]料
