字	聲母	韻母	調類	解釋
摩	m	uᵝ	2	
模	m	uᵝ	2	
膜	m	uᵝ	2	
摹	m	uᵝ	2	
嫫	m	uᵝ	2	
謨	m	uᵝ	2	
磨	m	uᵝ	6	
墓	m	uᵝ	6	
募	m	uᵝ	6	
暮	m	uᵝ	6	
慕	m	uᵝ	6	
夫	f	uᵝ	1	
伕	f	uᵝ	1	
膚	f	uᵝ	1	
俘	f	uᵝ	1	
戽	f	uᵝ	1	
趺	f	uᵝ	1	
跗	f	uᵝ	1	
虎	f	uᵝ	3	
琥	f	uᵝ	3	
火	f	uᵝ	3	
夥	f	uᵝ	3	
伙	f	uᵝ	3	
府	f	uᵝ	3	
俯	f	uᵝ	3	
腑	f	uᵝ	3	
斧	f	uᵝ	3	
輔	f	uᵝ	3	
頫	f	uᵝ	3	
黼	f	uᵝ	3	
滸	f	uᵝ	3	
貨	f	uᵝ	5	
付	f	uᵝ	5	
傅	f	uᵝ	5	
赴	f	uᵝ	5	
賦	f	uᵝ	5	
何	v	uᵝ	2	
河	v	uᵝ	2	
荷	v	uᵝ	2	
菏	v	uᵝ	2	
紅	v	uᵝ	2	
和	v	uᵝ	2	
禾	v	uᵝ	2	
龢	v	uᵝ	2	
胡	v	uᵝ	2	
鬍	v	uᵝ	2	
湖	v	uᵝ	2	
糊	v	uᵝ	2	
餬	v	uᵝ	2	
瑚	v	uᵝ	2	
蝴	v	uᵝ	2	
醐	v	uᵝ	2	
葫	v	uᵝ	2	
壼	v	uᵝ	2	
狐	v	uᵝ	2	
弧	v	uᵝ	2	
扶	v	uᵝ	2	
吳	v	uᵝ	2	
瓠	v	uᵝ	6	
傅	v	uᵝ	6	
賀	v	uᵝ	6	
禍	v	uᵝ	6	
滬	v	uᵝ	6	
扈	v	uᵝ	6	
戶	v	uᵝ	6	
護	v	uᵝ	6	
互	v	uᵝ	6	
糊	v	uᵝ	6	
霧	v	uᵝ	6	
務	v	uᵝ	6	
婺	v	uᵝ	6	
騖	v	uᵝ	6	
瓠	v	uᵝ	6	
多	t	uᵝ	1	
都	t	uᵝ	1	
堵	t	uᵝ	3	
睹	t	uᵝ	3	
賭	t	uᵝ	3	
肚	t	uᵝ	3	
妒	t	uᵝ	3	
拖	tʰ	uᵝ	1	
土	tʰ	uᵝ	5	
吐	tʰ	uᵝ	5	
兔	tʰ	uᵝ	5	
菟	tʰ	uᵝ	5	
唾	tʰ	uᵝ	5	
妥	tʰ	uᵝ	5	
駝	d	uᵝ	2	
陀	d	uᵝ	2	
沱	d	uᵝ	2	
跎	d	uᵝ	2	
馱	d	uᵝ	2	
徒	d	uᵝ	2	
途	d	uᵝ	2	
塗	d	uᵝ	2	
塗	d	uᵝ	2	
屠	d	uᵝ	2	
瘏	d	uᵝ	2	
圖	d	uᵝ	2	
荼	d	uᵝ	2	
菟	d	uᵝ	2	
大	d	uᵝ	6	
杜	d	uᵝ	6	
肚	d	uᵝ	6	
度	d	uᵝ	6	
渡	d	uᵝ	6	
鍍	d	uᵝ	6	
屠	d	uᵝ	6	
塗	d	uᵝ	6	
捼	n	uᵝ	1	
捼	n	uᵝ	2	
奴	n	uᵝ	2	
努	n	uᵝ	3	
弩	n	uᵝ	3	
糯	n	uᵝ	5	
懦	n	uᵝ	6	
糯	n	uᵝ	6	
怒	n	uᵝ	6	
奴	n	uᵝ	6	
摞	l	uᵝ	1	
擼	l	uᵝ	1	
廬	l	uᵝ	2	
爐	l	uᵝ	2	
臚	l	uᵝ	2	
蘆	l	uᵝ	2	
螺	l	uᵝ	2	
騾	l	uᵝ	2	
腡	l	uᵝ	2	
租	ts	uᵝ	1	
祖	ts	uᵝ	3	
阻	ts	uᵝ	3	
組	ts	uᵝ	3	
俎	ts	uᵝ	3	
珇	ts	uᵝ	3	
左	ts	uᵝ	3	
佐	ts	uᵝ	3	
做	ts	uᵝ	5	
搓	tsʰ	uᵝ	1	
蹉	tsʰ	uᵝ	1	
磋	tsʰ	uᵝ	1	
麤	tsʰ	uᵝ	1	
初	tsʰ	uᵝ	1	
醋	tsʰ	uᵝ	5	
措	tsʰ	uᵝ	5	
錯	tsʰ	uᵝ	5	
厝	tsʰ	uᵝ	5	
楚	tsʰ	uᵝ	5	
礎	tsʰ	uᵝ	5	
梭	s	uᵝ	1	
唆	s	uᵝ	1	
蓑	s	uᵝ	1	
蘇	s	uᵝ	1	
甦	s	uᵝ	1	
酥	s	uᵝ	1	
梳	s	uᵝ	1	
蔬	s	uᵝ	1	
疏	s	uᵝ	1	
莎	s	uᵝ	1	
穌	s	uᵝ	1	
鎖	s	uᵝ	3	
瑣	s	uᵝ	3	
所	s	uᵝ	3	
素	s	uᵝ	5	
嗉	s	uᵝ	5	
膆	s	uᵝ	5	
訴	s	uᵝ	5	
數	s	uᵝ	5	
