	說明：-白讀，=文讀
ts	[7]汁接=浙{～江}[8]捷睫婕
tsʰ	[7]妾竊
ɬ	[7]澀[8]十-拾-涉
k	[7]夾=頰峽劫揭□{臭～～：極臭}[8]業孽-{造～}□{女人潑野}
kʰ	[7]□{小孩“乖”}[8]□{緊夾}
h	[8]協脅俠挾洽
∅	[7]豔[8]頁葉
#uoʔ	
p	[7]不□{欲要：～去}缽撥□{扒：～土}[8]物歿沒{～收}勃脖
pʰ	[7]潑=□{跳躍}
ts	[7]□{軟～～：極軟}拙
tsʰ	[7]出
ɬ	[7]刷戌屑{鋸～：鋸末}蟀[8]蜀-術述□{揩}
k	[7]骨括刮胳{～lø51下：胳肢窩}□{～住：斑雞}□{紅～～：極紅}[8]滑猾掘虼{～蚤：跳蚤}兀屹
kʰ	[7]乞屈窟闊=曲-{彎～}[8]□{短～：短大衣}□{禿，與“尖”反}
h	[7]忽發髪弗拂彿{彷～}[8]佛{～祖}罰核-伐閥
∅	[7]鬱-熨□{使彎}[8]活=□{筆劃}□{擦過而被附著}
#yøʔ	
t	[7]竹竺築著=輟綴□{～家：婆婆}□{腫脹，不暢通}[8]逐軸妯
tʰ	[7]茁
l	[8]六=略掠陸=錄碌戮
ts	[7]足卒叔-{～～}祝酌囑矚爵嚼粥[8]若=肉=絕辱褥=弱=
tsʰ	[7]促捉觸雀鵲撮拙猝齪[8]誶{斥責}□{被物“撞”}
ɬ	[7]叔={～伯}淑說={小～}勺芍削={剝～}宿{住～}縮肅粟夙綽{孫～}爍[8]熟塾孰俗贖屬續蜀=
k	[7]菊決訣抉鞠崛□{～針：別針}□{不消化}珏□{～熟}[8]玉月=獄局□{（液體）濃稠}瘧虐
kʰ	[7]曲{歌～}卻厥闕怯腳
h	[7]血=畜{～牧}蓄旭歇恤[8]穴
∅	[7]約郁[8]閱悅藥={芍～}欲慾浴育越日躍鬻粵鑰=
#uʔ	
pʰ	[8]□{摩托聲}
