單字	(沙塘)聲母	(沙塘)韻母	(沙塘)聲調	備註																																													
娛	ng	ui	4																																														
愚	ng	ui	4																																														
漁	ng	ui	4																																														
魚	ng	ui	4	魚肉百姓																																													
隅	ng	ui	4																																														
虞	ng	ui	4																																														
蕊	l	ui	5																																														
御	ng	ui	6																																														
禦	ng	ui	6																																														
遇	ng	ui	6																																														
馭	ng	ui	6																																														
寓	ng	ui	6																																														
肉	ng	uk	6																																														
玉	ng	uk	6																																														
獄	ng	uk	6																																														
潤	ng	un	6																																														
閏	ng	un	6																																														
孕	ng	un	6																																														
濃	ng	ung	4																																														
絨	ng	ung	4																																														
茸	ng	ung	4																																														
湃	b	aai	1																																														
乓	b	aang	2																																														
乒	b	eang	2																																														
啤	v	i	2	啤酒																																													
埔	b	u	1	黄埔																																													
卜	b	uk	2																																														
杷	p	aa	4																																														
爬	p	aa	4																																														
琶	p	aa	4																																														
耙	p	aa	4																																														
徘	p	aai	4																																														
派	p	aai	2																																														
啪	p	aak	1																																														
拍	p	aak	1																																														
粕	p	aak	1																																														
柏	p	aak	2																																														
帕	p	aak	2																																														
珀	p	aak	2																																														
魄	p	aak	2																																														
攀	p	aan	1																																														
彭	p	aang	4																																														
棚	p	aang	4																																														
澎	p	aang	4																																														
硼	p	aang	4																																														
膨	p	aang	4																																														
鵬	p	aang	4																																														
撲	p	ok	2																																														
樸	p	ok	2																																														
璞	p	ok	2																																														
傍	p	ong	4	傍晚																																													
滂	p	ong	4																																														
彷	p	ong	4	彷徨																																													
徬	p	ong	4																																														
螃	p	ong	4																																														
龐	p	ong	4																																														
枇	p	ei	4																																														
琵	p	ei	4																																														
劈	p	eak	2																																														
僻	p	eak	2																																														
闢	p	eak	2																																														
霹	p	eak	2																																														
瀕	p	ean	4																																														
頻	p	ean	4																																														
噴	p	ean	1																																														
屏	p	eang	4	屏幕																																													
瓶	p	eang	4																																														
聘	p	eang	1																																														
匹	p	eat	2																																														
編	p	in	1																																														
遍	p	in	1																																														
偏	p	in	1																																														
篇	p	in	1																																														
翩	p	in	1																																														
騙	p	in	1																																														
撇	p	it	1																																														
漂	p	iu	1																																														
飄	p	iu	1																																														
瓢	p	iu	1																																														
瞟	p	iu	1																																														
蒲	p	u	4																																														
浦	p	u	4																																														
脯	p	u	2																																														
甫	p	u	2																																														
圃	p	u	2																																														
碰	p	ung	1																																														
沙	s	aa	5	沙灘																																													
沙	s	aa	1	風沙																																													
砂	s	aa	1																																														
紗	s	aa	1																																														
莎	s	aa	1																																														
鯊	s	aa	1																																														
灑	s	aa	2																																														
沙	s	aa	2	黃沙																																													
耍	s	aa	2																																														
舐	s	aai	5																																														
噬	s	aai	5																																														
誓	s	aai	6																																														
逝	s	aai	6																																														
篩	s	aai	1																																														
篩	s	aai	5	米篩																																													
晒	s	aai	1																																														
世	s	aai	1																																														
勢	s	aai	1																																														
犀	s	aai	1																																														
西	s	aai	1																																														
細	s	aai	1																																														
婿	s	aai	1																																														
徙	s	aai	2																																														
洗	s	aai	2																																														
生	s	aak	5	後生仔																																													
塞	s	aak	2	堵塞																																													
森	s	aam	4																																														
涔	s	aam	4																																														
岑	s	aam	4																																														
參	s	aam	1	數字參																																													
三	s	aam	1																																														
潺	s	aan	4																																														
傘	s	aan	1																																														
刪	s	aan	1																																														
姍	s	aan	1																																														
山	s	aan	1																																														
珊	s	aan	1																																														
跚	s	aan	1																																														
柵	s	aan	1	柵極																																													
訕	s	aan	1																																														
散	s	aan	2																																														
牲	s	aang	1																																														
生	s	aang	1																																														
甥	s	aang	1																																														
笙	s	aang	1																																														
省	s	aang	2	廣東省																																													
衫	s	aap	5																																														
卅	s	aap	6																																														
圾	s	aap	2																																														
霎	s	aap	2																																														
山	s	aat	5	址山																																													
剎	s	aat	1																																														
撒	s	aat	1																																														
薩	s	aat	1																																														
殺	s	aat	1																																														
煞	s	aat	1																																														
愁	s	aau	4																																														
哨	s	aau	1																																														
瘦	s	aau	1																																														
嗽	s	aau	1																																														
鏽	s	aau	1																																														
漱	s	aau	1																																														
梢	s	aau	1																																														
稍	s	aau	2																																														
搜	s	aau	2																																														
蒐	s	aau	2																																														
嗖	s	aau	2																																														
艘	s	aau	2																																														
颼	s	aau	2																																														
叟	s	aau	2																																														
擻	s	aau	2	抖擻																																													
擻	s	aau	1	擻火																																													
傻	s	o	4																																														
搔	s	o	1																																														
騷	s	o	1																																														
掃	s	o	1																																														
蓑	s	o	1																																														
嗦	s	o	1																																														
簑	s	o	1																																														
嫂	s	o	2																																														
所	s	o	2																																														
數	s	ok	2	數見不鮮																																													
朔	s	ok	2																																														
塑	s	ok	2	塑料																																													
索	s	ok	2																																														
喪	s	ong	1																																														
桑	s	ong	1																																														
嗓	s	ong	1																																														
雙	s	ong	1																																														
霜	s	ong	1																																														
爽	s	ong	1																																														
社	s	ea	5																																														
蛇	s	ea	4																																														
佘	s	ea	4																																														
射	s	ea	6																																														
赦	s	ea	1																																														
些	s	ea	1																																														
靴	s	ea	1																																														
捨	s	ea	2																																														
舍	s	ea	2																																														
四	s	ei	1																																														
肆	s	ei	1	數字肆																																													
死	s	ei	2																																														
蝕	s	eak	6																																														
食	s	eak	6																																														
色	s	eak	2																																														
式	s	eak	2																																														
識	s	eak	2																																														
適	s	eak	2																																														
釋	s	eak	2																																														
飾	s	eak	2																																														
息	s	eak	2																																														
惜	s	eak	2																																														
昔	s	eak	2																																														
晰	s	eak	2																																														
析	s	eak	2																																														
淅	s	eak	2																																														
熄	s	eak	2																																														
蜥	s	eak	2																																														
嗇	s	eak	2																																														
穡	s	eak	2																																														
媳	s	eak	2																																														
悉	s	eak	2																																														
窸	s	eak	2																																														
蟋	s	eak	2																																														
拭	s	eak	2																																														
軾	s	eak	2																																														
禪	s	eam	4																																														
蟬	s	eam	4																																														
蟾	s	eam	4																																														
單	s	ean	4	單于																																													
忱	s	eam	4																																														
心	s	eam	1																																														
閃	s	eam	2																																														
陝	s	eam	2																																														
沁	s	eam	2																																														
單	s	ean	6	姓單																																													
善	s	ean	6																																														
擅	s	ean	6																																														
繕	s	ean	6																																														
搧	s	ean	1																																														
煽	s	ean	1																																														
扇	s	ean	1																																														
新	s	ean	1																																														
薪	s	ean	1																																														
辛	s	ean	1																																														
信	s	ean	1																																														
擤	s	ean	1																																														
丞	s	eang	4																																														
乘	s	eang	4																																														
城	s	eang	4																																														
成	s	eang	4																																														
承	s	eang	4																																														
誠	s	eang	4																																														
繩	s	eang	4																																														
盛	s	eang	4	盛湯																																													
盛	s	eang	6	旺盛																																													
聖	s	eang	6																																														
升	s	eang	1																																														
昇	s	eang	1																																														
聲	s	eang	1	文讀																																													
勝	s	eang	1																																														
惺	s	eang	1																																														
星	s	eang	1																																														
猩	s	eang	1																																														
姓	s	eang	1																																														
性	s	eang	1																																														
省	s	eang	2	反省																																													
醒	s	eang	2	清醒																																													
澀	s	aap	2																																														
溼	s	eap	2	溼疹																																													
濕	s	eap	2	濕疹																																													
膝	s	eap	2																																														
涉	s	eap	2																																														
舌	s	eat	5																																														
折	s	eat	6	折本																																													
兆	s	eau	5	一兆																																													
肇	s	eau	6																																														
韶	s	eau	4																																														
售	s	eau	4																																														
劭	s	eau	6	召																																													
紹	s	eau	6																																														
邵	s	eau	6																																														
兆	s	eau	6	兆頭																																													
召	s	eau	6	召南																																													
燒	s	eau	1																																														
少	s	eau	1	年少																																													
宿	s	eau	1	星宿																																													
修	s	eau	1																																														
羞	s	eau	1																																														
脩	s	eau	1																																														
琇	s	eau	1																																														
秀	s	eau	1																																														
繡	s	eau	1																																														
饈	s	eau	1																																														
少	s	eau	2	多少																																													
賒	s	i	1																																														
畲	s	i	1																																														
市	s	i	5																																														
柿	s	i	5	柿餅																																													
絲	s	i	5	絲襪																																													
姒	s	i	5																																														
匙	s	i	4																																														
慈	s	i	4																																														
瓷	s	i	4																																														
磁	s	i	4																																														
祠	s	i	4																																														
茨	s	i	4																																														
詞	s	i	4																																														
辭	s	i	4																																														
時	s	i	4																																														
殊	s	i	4																																														
曙	s	i	4																																														
薯	s	i	4																																														
飼	s	i	4																																														
藷	s	i	4	藷蕷																																													
糬	s	i	4																																														
事	s	i	6																																														
仕	s	i	6																																														
侍	s	i	6																																														
士	s	i	6																																														
是	s	i	6																																														
氏	s	i	6																																														
示	s	i	6																																														
視	s	i	6																																														
樹	s	i	6																																														
豎	s	i	6																																														
伺	s	i	6																																														
峙	s	i	6																																														
庶	s	i	6																																														
廁	s	i	1																																														
次	s	i	1																																														
次	c	i	1																																														
屍	s	i	1																																														
師	s	i	1																																														
施	s	i	1																																														
獅	s	i	1																																														
詩	s	i	1																																														
恃	s	i	1																																														
試	s	i	1																																														
抒	s	i	1																																														
書	s	i	1																																														
樞	s	i	1																																														
紓	s	i	1																																														
舒	s	i	1																																														
輸	s	i	1																																														
署	s	i	1																																														
司	s	i	1																																														
思	s	i	1																																														
撕	s	i	1																																														
斯	s	i	1																																														
私	s	i	1																																														
絲	s	i	1	絲瓜																																													
鷥	s	i	1																																														
賜	s	i	1																																														
卸	s	i	1																																														
瀉	s	i	1																																														
廝	s	i	1																																														
肆	s	i	1	肆意																																													
駟	s	i	1																																														
荼	s	i	1	神荼																																													
嗜	s	i	1																																														
恕	s	i	1																																														
嘶	s	i	1																																														
疵	s	i	2																																														
此	s	i	2																																														
使	s	i	2	使者																																													
史	s	i	2																																														
屎	s	i	2																																														
矢	s	i	2																																														
暑	s	i	2																																														
鼠	s	i	2																																														
寫	s	i	2																																														
黍	s	i	2																																														
上	s	iaak	5	上堂																																													
石	s	iaak	5	石頭																																													
石	s	iaak	6	石子岡																																													
碩	s	iaak	6																																														
錫	s	iaak	1																																														
爍	s	iaak	2																																														
削	s	iaak	2																																														
灼	s	iaak	2																																														
鵲	s	iaak	2																																														
勺	s	iaak	2																																														
芍	s	iaak	2																																														
償	s	iaang	4																																														
嘗	s	iaang	4																																														
嫦	s	iaang	4																																														
常	s	iaang	4																																														
裳	s	iaang	4																																														
徜	s	iaang	4																																														
嚐	s	iaang	4																																														
上	s	iaang	6	上面																																													
尚	s	iaang	6																																														
傷	s	iaang	1																																														
商	s	iaang	1																																														
聲	s	iaang	1	白讀																																													
廂	s	iaang	1																																														
湘	s	iaang	1																																														
相	s	iaang	1																																														
箱	s	iaang	1																																														
鑲	s	iaang	1																																														
腥	s	iaang	1																																														
襄	s	iaang	1																																														
賞	s	iaang	2																																														
想	s	iaang	2																																														
醒	s	iaang	2	訓醒																																													
甚	s	im	6																																														
葚	s	im	6																																														
什	s	im	6	什麼																																													
深	s	im	1																																														
嬸	s	im	2																																														
審	s	im	2																																														
沈	s	eam	2																																														
宸	s	in	4																																														
晨	s	in	4																																														
臣	s	in	4																																														
辰	s	in	4																																														
神	s	in	4																																														
旋	s	in	4																																														
漩	s	in	4																																														
帘	s	in	4																																														
㲀	s	in	4																																														
𦿒	s	in	4																																														
慎	s	in	6																																														
羨	s	in	6																																														
倩	s	in	6																																														
伸	s	in	1																																														
呻	s	in	1																																														
申	s	in	1																																														
紳	s	in	1																																														
身	s	in	1																																														
仙	s	in	1																																														
先	s	in	1																																														
鮮	s	in	1	生鮮																																													
線	s	in	1																																														
腺	s	in	1																																														
宣	s	in	1																																														
渲	s	in	1																																														
飧	s	in	1																																														
莘	s	in	1																																														
㜪	s	in	1																																														
扟	s	in	1																																														
駪	s	in	1																																														
籸	s	in	1																																														
䯂	s	in	1																																														
甡	s	in	1																																														
兟	s	in	1																																														
詵	s	in	1																																														
侁	s	in	1																																														
𩺵	s	in	1																																														
屾	s	in	1																																														
𨐔	s	in	1																																														
燊	s	in	1																																														
𦐹	s	in	1																																														
𢓠	s	in	1																																														
𣘘	s	in	1																																														
阠	s	in	1																																														
姺	s	in	1																																														
㾕	s	in	1																																														
喧	s	in	1																																														
暄	s	in	1																																														
鮮	s	in	2	朝鮮																																													
蘚	s	in	2																																														
選	s	in	2																																														
十	s	ip	6																																														
拾	s	ip	6																																														
溼	s	ip	2	溼潤																																													
濕	s	ip	2	濕潤																																													
實	s	it	6																																														
失	s	it	2																																														
蝨	s	it	2																																														
室	s	it	2																																														
屑	s	it	2																																														
泄	s	it	2																																														
洩	s	it	2	排洩																																													
薛	s	it	2																																														
雪	s	it	2																																														
楔	s	it	2																																														
契	s	it	1																																														
瑟	s	it	2																																														
小	s	iu	2																																														
仇	s	iu	4																																														
受	s	iu	6																																														
壽	s	iu	6																																														
授	s	iu	6																																														
狩	s	iu	1																																														
俏	s	iu	1																																														
峭	s	iu	1																																														
收	s	iu	1																																														
宵	s	iu	1																																														
消	s	iu	1																																														
瀟	s	iu	1																																														
硝	s	iu	1																																														
簫	s	iu	1																																														
逍	s	iu	1																																														
銷	s	iu	1																																														
霄	s	iu	1																																														
嘯	s	iu	1																																														
笑	s	iu	1																																														
肖	s	iu	1																																														
守	s	iu	2																																														
手	s	iu	2																																														
首	s	iu	2																																														
梭	s	u	5																																														
梳	s	u	1																																														
疏	s	u	1																																														
蔬	s	u	1																																														
數	s	u	1	數字																																													
甦	s	u	1																																														
穌	s	u	1																																														
蘇	s	u	1																																														
酥	s	u	1																																														
塑	s	u	1	塑造																																													
素	s	u	1																																														
訴	s	u	1																																														
鬚	s	u	1																																														
溯	s	u	1																																														
娑	s	u	1																																														
數	s	u	2	數數																																													
瑣	s	u	2																																														
鎖	s	u	2																																														
塞	s	oi	1	塞外																																													
腮	s	oi	1																																														
鰓	s	oi	1																																														
賽	s	oi	1																																														
使	s	oi	2	使用																																													
駛	s	oi	2																																														
髓	s	oi	2																																														
船	s	on	4																																														
痠	s	on	1																																														
酸	s	on	1																																														
算	s	on	1																																														
蒜	s	ot	5																																														
說	s	ot	2																																														
絮	s	ui	5																																														
緒	s	ui	5																																														
垂	s	ui	4																																														
誰	s	ui	4																																														
悴	s	ui	6																																														
淬	s	ui	6																																														
粹	s	ui	6																																														
萃	s	ui	6																																														
瑞	s	ui	6																																														
墅	s	ui	6																																														
睡	s	ui	6																																														
穗	s	ui	6																																														
遂	s	ui	6																																														
邃	s	ui	6																																														
隧	s	ui	6																																														
祟	s	ui	6																																														
衰	s	ui	1	衰老																																													
帥	s	ui	1																																														
稅	s	ui	1																																														
說	s	ui	1																																														
雖	s	ui	1																																														
歲	s	ui	1																																														
碎	s	ui	1																																														
需	s	ui	1																																														
須	s	ui	1																																														
水	s	ui	2																																														
熟	s	uk	6																																														
贖	s	uk	6																																														
屬	s	uk	6																																														
蜀	s	uk	6																																														
淑	s	uk	6																																														
孰	s	uk	6																																														
塾	s	uk	6																																														
叔	s	uk	2																																														
宿	s	uk	2																																														
粟	s	uk	2																																														
肅	s	uk	2																																														
縮	s	uk	2																																														
夙	s	uk	2																																														
倏	s	uk	2																																														
淳	s	un	4																																														
純	s	un	4																																														
脣	s	un	4																																														
漘	s	un	4																																														
醇	s	un	4																																														
諄	s	un	4																																														
瞬	s	un	6																																														
順	s	un	6																																														
孫	s	un	1																																														
詢	s	un	1																																														
殉	s	un	1																																														
訊	s	un	1																																														
迅	s	un	1																																														
遜	s	un	1																																														
馴	s	un	1																																														
舜	s	un	1																																														
絢	s	un	1																																														
損	s	un	2																																														
筍	s	un	2																																														
崇	s	ung	4																																														
宋	s	ung	1																																														
送	s	ung	1																																														
忪	s	ung	1																																														
慫	s	ung	2																																														
悚	s	ung	2																																														
聳	s	ung	2																																														
嵩	s	ung	2																																														
鶉	s	ut	5	鵪鶉蛋																																													
腎	s	ut	5																																														
術	s	ut	6																																														
述	s	ut	6																																														
朮	s	ut	6																																														
猝	s	ut	2																																														
窣	s	ut	2																																														
戌	s	ut	2																																														
恤	s	ut	2																																														
摔	s	ut	2																																														
蟀	s	ut	2																																														
率	s	ut	2	草率																																													
當	d	ok	5	擔當																																													
渣	z	aa	5																																														
查	z	aa	1	查姓																																													
吒	z	aa	1																																														
榨	z	aa	1																																														
炸	z	aa	1																																														
詐	z	aa	1																																														
乍	z	aa	1																																														
喳	z	aa	1																																														
咱	z	aa	2																																														
寨	z	aai	6																																														
滯	z	aai	6																																														
掣	z	aai	1																																														
濟	z	aai	1																																														
祭	z	aai	1																																														
際	z	aai	1																																														
齋	z	aai	1																																														
債	z	aai	1																																														
制	z	aai	1																																														
製	z	aai	1																																														
擠	z	aai	2																																														
劑	z	aai	2																																														
擇	z	aak	6																																														
澤	z	aak	6																																														
摘	z	aak	6																																														
宅	z	aak	6																																														
擲	z	aak	6																																														
窄	z	aak	1																																														
蚱	z	aak	1																																														
側	z	aak	2																																														
則	z	aak	2																																														
責	z	aak	2																																														
嘖	z	aak	2																																														
暫	z	aam	6																																														
站	z	aam	6																																														
湛	z	aam	1																																														
蘸	z	aam	1																																														
眨	z	aam	2																																														
斬	z	aam	2																																														
嶄	z	aam	2																																														
嶃	z	aam	2																																														
賺	z	aan	6																																														
棧	z	aan	6																																														
綻	z	aan	6																																														
撰	z	aan	6																																														
讚	z	aan	1																																														
贊	z	aan	1																																														
盞	z	aan	2																																														
贈	z	aang	6																																														
掙	z	aang	6	掙錢																																													
曾	z	aang	1	曾孫																																													
僧	z	aang	1																																														
增	z	aang	1																																														
憎	z	aang	1																																														
崢	z	aang	1																																														
掙	z	aang	1	掙脱																																													
爭	z	aang	1																																														
猙	z	aang	1																																														
箏	z	aang	1																																														
諍	z	aang	1																																														
集	z	aap	6																																														
襲	z	aap	6																																														
雜	z	aap	6																																														
閘	z	aap	6																																														
什	z	aap	6	什錦																																													
扎	z	aat	5	量詞																																													
扎	z	aat	1																																														
紮	z	aat	1																																														
札	z	aat	1																																														
軋	z	aat	1																																														
鍘	z	aat	2																																														
砸	z	aat	2																																														
罩	z	aau	5	燈罩																																													
紂	z	aau	5																																														
肘	z	aau	5																																														
宙	z	aau	6																																														
晝	z	aau	6																																														
驟	z	aau	6																																														
嘲	z	aau	1																																														
罩	z	aau	1																																														
皺	z	aau	1																																														
縐	z	aau	1																																														
鄒	z	aau	1																																														
奏	z	aau	1																																														
揍	z	aau	1																																														
找	z	aau	2																																														
爪	z	aau	2																																														
走	z	aau	2																																														
灶	z	o	5																																														
皂	z	o	6																																														
造	z	o	6																																														
糟	z	o	1																																														
蹧	z	o	1																																														
遭	z	o	1																																														
早	z	o	2																																														
棗	z	o	2																																														
蚤	z	o	2																																														
鑿	z	ok	6																																														
昨	z	ok	6																																														
擢	z	ok	6																																														
濯	z	ok	6																																														
抓	z	ok	1																																														
捉	z	ok	1																																														
作	z	ok	2																																														
浞	z	ok	2																																														
藏	z	ong	6	寶藏																																													
幢	d	ung	6																																														
僮	z	ong	6	僮族																																													
臟	z	ong	6																																														
壯	z	ong	6																																														
撞	z	ong	6																																														
狀	z	ong	6																																														
贓	z	ong	1																																														
髒	z	ong	1																																														
葬	z	ong	1																																														
妝	z	ong	1																																														
庄	z	ong	1																																														
樁	z	ong	1																																														
莊	z	ong	1																																														
裝	z	ong	1																																														
奘	z	ong	1																																														
蔗	z	ea	5																																														
遮	z	ea	1																																														
這	z	ea	1																																														
姐	z	ea	2																																														
者	z	ea	2																																														
自	z	ei	6	自己																																													
姊	z	ei	2																																														
籍	z	eak	6																																														
藉	z	eak	6																																														
夕	z	eak	6																																														
汐	z	eak	6																																														
矽	z	eak	6																																														
蓆	z	eak	6																																														
值	z	eak	6																																														
植	z	eak	6																																														
埴	z	eak	6																																														
殖	z	eak	6																																														
直	z	eak	6																																														
蟄	z	eak	6																																														
寂	z	eak	6																																														
唧	z	eak	2																																														
積	z	eak	2																																														
績	z	eak	2																																														
跡	z	eak	2																																														
蹟	z	eak	2																																														
即	z	eak	2																																														
織	z	eak	2																																														
職	z	eak	2																																														
漬	z	eak	2																																														
朕	z	eam	6																																														
浸	z	eam	1																																														
占	z	eam	1																																														
沾	z	eam	1																																														
瞻	z	eam	1																																														
詹	z	eam	1																																														
佔	z	eam	1																																														
儘	z	ean	6																																														
盡	z	ean	6																																														
進	z	ean	1																																														
戰	z	ean	1																																														
顫	z	ean	1																																														
淨	z	eang	6																																														
靖	z	eang	6																																														
靜	z	eang	6																																														
剩	z	eang	6																																														
晶	z	eang	1																																														
睛	z	eang	1																																														
精	z	eang	1																																														
偵	z	eang	1																																														
楨	z	eang	1																																														
禎	z	eang	1																																														
貞	z	eang	1																																														
征	z	eang	1																																														
