#来源	由Pekkhak（啵啵）整理自《吴语处衢方言研究》
#符号说明	?待考
#调值	［1］³³［2］²⁴［3］⁴⁵［4］²²［5］⁵²［6］³¹［7］⁵［8］²³［0］⁰
#ɿ	
b	［2］爿瓣{花～}［6］办
m	［2］蛮□{□ɡɐʔ2～：勉强}［6］慢漫幔
f	［1］翻番蕃［3］反{复}［5］泛
v	［2］凡帆范{姓}烦矾繁［4］犯［6］范{模～}饭万
t	［1］耽担{拿}当{应～}冬{～瓜}［3］胆党挡裆{圆～裤：瞒裆裤}［5］担{名词}诞当{担任}当{妥～；～铺}□{牚}
tʰ	［1］贪汤［5］探叹烫趟
d	［2］谭谈痰檀壇堂棠螳唐糖塘虫{单说}［4］淡荡{逛}盪{～嘴：漱口}［6］但蛋荡{摆动}
n	［2］南男侬{人}［3］侬{底～：谁}
l	［2］蓝篮郎廊螂［4］览揽缆懒狼{黄鼠～}榔{～头：大铁锤}朗{～读}［6］滥烂浪
ts	［3］斩盏［5］蘸赞
tsʰ	［1］参{～加}惨搀餐［3］铲产［5］灿
dz	［2］残［4］赚［6］暂站{车～}绽栈
s	［1］三杉衫珊山删□{□iɐɯ33～：划拳}□{□□dɐʔ2moʔ2～子：突然}□{牛～□pe33：牛虻}［5］□{牛～：牛犊}［0］□{鸡～：未下过蛋的小母鸡}
z	［2］涎?{口水}［4］□{陡}
k	［1］间{房间}奸尴{～尬}监{～督}［3］减碱简裥柬拣{挑选}涧锏［5］鉴监{太～}干{～部}间{春～：春天}间{～一日：隔一天}谏
kʰ	［1］嵌刊侃铅{金属之一}□{人坏，不听话}［5］嵌舰看
ɡ	［6］□{跨}
ŋ	［2］岩颜［4］眼［6］雁
x	［1］酣鼾苋{～菜}蚬{～子}［3］喊罕□{动词，簸}□{里～：衣襟}□{～□xɒ̃52：那样}
ɦ	［2］函咸{～淡}衔闲［4］涵{～洞}［6］憾陷馅限
∅	［1］□{凹}
#iã	
p	［1］帮{～工}
pʰ	［3］□{裂开}［5］□{枪声}
b	［4］□{～滚：趁热}
m	［2］忙［4］望{动词。向远处看；希望}
f	［1］坊{童～：地名}
v	［2］防
t	［1］张{量词}［5］帐账
l	［2］良凉量粮梁粱［4］两{斤～}辆［6］亮谅量{质～}
tɕ	［1］将{～来}浆张{姓}章樟［3］蒋桨长{船家～：船老大}涨掌［5］奖仗酱将{大～}胀障瘴尚{和～}
tɕʰ	［1］枪昌菖{～蒲：一种药}畅［3］抢厂［5］畅唱倡
dʑ	［2］长{～江}肠场［4］丈{一～}上{动词}上{～下}
ȵ	［1］央{中～：中间}［2］娘样{作好～：好好儿地}［4］仰［6］壤让
ɕ	［1］相{互～}箱厢湘襄镶商伤［3］想鲞赏［5］相{照～}
ʑ	［2］墙详祥常尝偿［4］象像橡上{～饶：地名}［31］匠让
k	［1］疆僵薑{生～}缰姜{姓}［5］犟
kʰ	［1］羌腔［3］强{勉～}
ɡ	［2］强{国富民～}
x	［1］香乡［3］享响□{□lɐʔ2lɐʔ2～：赶快}［5］向□{一～屋：一所房子}
∅	［1］央秧殃［2］羊洋烊杨阳扬疡［3］□{这么}［4］养{培～}样{别～：别的}□{～肠：香肠}□{～□ɦɐʔ23：瘰疬}［5］□{这么}［6］样［0］裳{衣～}
#uã	
k	［1］官棺观{参～}冠{鸡～花}鳏关{～键}［3］管{～理}馆［5］贯灌罐观{道士的住所}惯
kʰ	［1］宽［3］款
x	［1］欢［5］唤焕□{突然想起}□{牛～：牛鼻桊儿}
∅	［1］弯湾［2］桓完玩顽还{动词}环［3］碗腕晚畹［4］皖挽{～留}［6］换幻患宦
#ɒ̃	
p	［1］帮{～助}邦崩冰{～～：冻冰}绷□{鞋～：鞋面}［3］榜膀绑［5］谤傍柄1{雨伞～}□{鞋～：鞋面}
pʰ	［1］烹［5］胖
b	［2］旁螃庞彭膨棚{瓜～}［4］蚌棒{～冰：冰棍儿}［6］病{生～}
m	［1］蒙?{捂眼睛}［2］忙芒{读字}茫盲虻蜢萌［4］莽蟒网{飞丝～：蜘蛛网}猛暝{昨～：昨天}［6］孟暝{夜晚}
f	［1］方枋肪芳风{起～}蜂［3］纺仿访枫{～树}［5］放{解～}缝{裁～}
v	［2］妨房亡忘妄［6］望{希～}
t	［1］丹单端［3］短{打～命：小孩死}挡［5］旦断{决～}
tʰ	［1］滩摊［3］毯［5］炭
d	［2］弹{～琴}团［6］弹{炸～}段锻
n	［2］难{形容词}［4］闹{～热：热闹}［6］难{灾～}
l	［1］□{骹□tʌʔ3～：脚后跟}［2］兰拦栏鸾□{汆}□{bʌʔ2～：笸箩}［4］卵狼{黄鼠～}朗?{稀疏}□{～萁：蕨}［6］乱晾
ts	［1］争筝脏［5］钻{名词；动词}葬
tsʰ	［1］汆仓苍菖{～蒲：植物}创窗睁?［5］纂窜篡撑□{哽}闩?
s	［1］桑丧{报～}生牲笙甥［3］伞散{六一～：药名}磉嗓省{江西～}省{节～}［5］散{解～}算蒜丧{～失}［0］藏{西～}
z	［2］藏{动词}［4］松{～树}［6］脏{肠}
k	［1］干{天～}肝竿干{蛏～}冈岗刚纲钢缸光江扛豇更{打～}粳羹耕惊{～侬：吃惊}［3］杆秆赶广讲港梗［5］杠降{～落}虹埂{田～}
kʰ	［1］康糠慷坑刚?{～～：刚才}［5］抗囥{放置；藏放}旷矿
ɡ	［2］□{提梁}□{菜畦}□{橘子瓣}□{把房间隔开}［6］汗{出～}
ŋ	［2］昂［6］岸硬
x	［1］荒慌兄［3］谎［5］汉况□{～脓：化脓}□{□iã45～：这样}
