%	又音
？	存疑
tsʰuɪ5	翠濢臎萃悴㱖瘁顇綷䆊出吹龡𪛑䶴𥞃摧啐淬焠䃀倅𥨒𦦣𨅎襊脆脃毳㯔膬竁𣃍𧑎韢㓹帨𤂳毳㯔竁𣃍
suɪ1	靴㗾鞾葰䅑夊䒘荽荾浽睢濉雖𨾡（雖）綏？奞眭𤗯毸挼䪎蓑𠱗（蓑）𡔤（蓑）嗺尿眭隋（祭食也）□（溺也）隨
suɪ2	圌篅𥳙垂𠄒（垂）𠣔（垂）倕𠂹陲𡍮𦈼𦉖（𦈼）𨿠脽誰䜅隨（新）隋（垂下也）？髓
suɪ3	嶲靃𣿂䭉隋（謂神前所沃灌器名）氵水氺蕊橤
suɪ5	粹祟𠭥睟賥誶𢢝邃譢訊瀡䅗垂菙㥨䅜瑞睡𨿠㽷𥤼啐𤭢碎誶繀𣩡𥕸𥊴櫘歲𢧁（歲）亗（歲）歳𦄑繐彗槥篲𥱵𢅫䵻𪔊軎轊鏏𠻜啜帨涗稅裞䬽䭨說+蛻𢄢隧（新）𨽡（隧）穗（新）𦼯（穗）脃脆
uɪ1	蟡逶㮃覣䴧委萎𣨙痿蜲倭喂（於韋切 恐也）威𤰴（威）𤱫（威）隇葳㟪楲蝛鰄媁嵔𩗯偎隈揋葨渨椳煨䋿𧤖鰃𤮰烓𧟼
uɪ2	矀𢼸微薇㵟癓䉠䥩危𡵁（危）㕒峗洈巍犩婔囗韋𣍄（韋）𡙝（韋）𡚈（韋）幃𠥎（幃）圍湋違𢾁潿𠆎𩎯闈鍏䙟𧝕𩻟為爲𦥮（爲）𤓸（爲）僞溈鄬䧦潙帷𠥎（帷）𣄧唯惟𢛧（惟）琟蓶維濰䜅𥌰壝𧔥遺𨗮（遺）𨖽（遺）𨗭（遺）䔺䝐𩁌𧲚蠵欈峞桅嵬鮠磑阢圩
uɪ3	姽𪀗硊頠瓦（五委切 屋甃也）磈嵔骫委蜲䍴𠷏蘤𤾸鄬䧦寪蔿薳儰𤺉䦱媁鍏偉𢯷葦愇瑋椲暐煒韙𩘚韡洧䵋鮪痏䲊孈唯蓶㨊踓壝瀢撱䔺䝐芛茟（芛）𤼒䓈䫥顡峞嵬隗頠䃬𨝀㞇嵔猥㛱𥓔㱬腲鍡碨尾𡱕（尾）𡱓（尾）𡲵（尾）㞑浘娓艉䞔䬿亹斖䅏
uɪ5	沬湏（沬）未味𡶎菋苿䊊𩑵鮇犩魏委萎𣨙䍴餧畏𤰲（畏）𤰣（畏）尉㷉蔚霨犚慰罻餵（餧之俗）螱褽䲁𧕈熨彚彙𢑷圍囗（圍）緯𦞅胃𦳢𢍚渭㥜媦煟蝟𦩝緭謂䬑𨾂𩹂爲𦥮（爲）𤓸（爲）僞位瞶蜼𤀷𢣘䗽𧔥遺𨗮（遺）𨖽（遺）𨗭（遺）𧸽瓗䜜贀纗磑隈𩲄㕈喟𠷝（喟）薉獩穢𢧹（穢）濊饖䮹槥軎熭衛璏衞䘙轊㦣𤜂𥶽𧲔讏𧲝
pɔ1	𨚔𠅬勹包佨苞胞笣枹鮑袌抱褓緥寶
pɔ3	𠤏𡥀𣎼保𤔍（保）𠊻（保）珤䎂堢葆堡駂褓鴇緥賲寶寚（寶）𠋾（寶）宲飽𩜿（飽）𩜕（飽）𩛞（飽）𩛁𩝰呆
pɔ5	報抱勽菢袌𤔣暴𣋴（暴）虣𪇰瀑（疾雨也沬也）瀑（俗又音 飛泉懸水也）豹𢖔爆（俗又音）𧭤䶂孢骲𡂟鞄鉋靤骲鞄疱皰
pʰɔ1	藨㲏䫽㯱𨚔胞𢿏䍖𦫶𠐋抛拋脬泡
pʰɔ2	包袌袍軳齙鉋颮謈麃瓟尥刨咆狍庖炰匏鞄麅跑泡炮胞㯡捊㩠（捊）掊
pʰɔ3	跑（又音）
pʰɔ5	窌抛奅𣶐炮疱皰麭礮泡鰾？
mɔ1	䤓？貉冒𡈘（冒）𡇾（冒）眊
mɔ2	毛枆牦耗旄酕覒堥𣹪髦氂錨芼楙㮘犛貓茅罞蝥鶜描媌矛𨥨（矛）𢦧（矛）鉾（矛）𥍥（矛）貉濛
mɔ3	𠔼蓩冃䓮媢茆緢卯𩇨𩇧𤕰𦕔戼峁泖昴鉚笷媌
mɔ5	毛旄冃芼𤣽㺺眊耗冒𡈘（冒）𡇾（冒）耄䋃覒𢯾帽媢瑁𣔺𦹾𥈆𩿂𧂕㲝緢皃𢂹䡚貌𧳒（貌）𢅉䫉毷
tɔ1	刂裯刀忉朷氘舠魛𩕯叨（俗音）
tɔ3	懤倒島禂搗（擣俗字）㨶（擣俗字）㠀壔擣𢶈禱𥛈（禱）𥛇（禱）㿒𤺜（㿒）䮻檮道（說三~四）
tɔ5	倒禱𥛈（禱）𥛇（禱）到𤓾菿𧛔𡬲洮道𨕥（道）𡬹稻衟𣜦䆃𨱵駣儔𠍻（儔）幬蹈𨂆（蹈）盜𠪁（盜）𠉭（盜）𤋆（盜）𨹇（盜）䆃翿䊭䌦纛𠺛𨱵燾
tʰɔ1	夲𠌪綢叨翢𠦎𠬢𠦂弢𤘸掏絛詜搯幍滔慆瑫槄𠚜䈱縚謟㹗鞱韜𩥓饕洮蜪挑𠚡
tʰɔ2	翢翿錭掏濤燾匋咷逃𨒯桃跳籌陶萄啕淘䛌裪鞀蜪綯絝（綯）鞉䛬駣騊檮鼗䬞
tʰɔ3	槄討𡘷蹈（又音）𨂆（蹈）
tʰɔ5	導𡭎（導）䆃韜鞱套（韜俗字）
lɔ1	撈繞
lɔ2	峱猱夒𢜸䛝嶩巎獿𤫕農䢉（農）𦦥（農）辳（農）𨑇（農）𣊤（農）𨑋（農）𨑆（農）𦦤（農）莀（農）㺜憹𤣜訄臑撈牢𡘠（牢）窂哰㟉樂（魯刀切）勞𠣁（勞）𢥒（勞）㗦𣘪嶗𨦭𤩂憥䝁醪蟧簩𧰉鐒髝嫪澇䜎䜮𦗖簝呶𣲿怓硇撓𡽧鐃䴃䫸𥗰㺜𥗸𣳦譊窌顟𠐋賿橈襓饒㹛蟯蕘
lɔ3	𠜶匘堖㺁惱㛴瑙𨱵腦碯𧳦𩔇老𠄰（老）佬荖恅栳銠橑𡂕䕩轑䝤䵏𣠼澇獠潦撓獿㺒嬈𤛾𧳨𢺕擾𢹎遶繞
lɔ5	𨱵腦腝勞𠣁（勞）𢥒（勞）僗癆髝嫪澇橯耮𣟽潦𠆴淖掉閙鬧橈饒繞膠
kɔ1	㤒皋髙高告羔䓘髙𣓌䣗臯䔌㟸槔𨝲睾膏𦺆槹𡼗橰篙槁糕䚌䆁餻櫜𧢌鼛鷱咎倃艽芁交茭𦺏（茭）䢒敎𤕝（敎）𧧿（敎）蛟䍊𥹜𩎔膠鮫轇㶀佼（同交）鉸教摎嘐鵁詨䉰咬邀
kɔ3	𣓌夰杲㚖菒𥓖槀稿稾縞藁藳暠咬姣㚣（姣）校（古巧切）枝㽱佼咬狡烄𢯴筊𢽻絞鉸膠𥂔䀊攪䕧䉰皎㺒
kɔ5	高髙膏縞吿告郜誥𢍎（誥）𧧞（誥）𧧙（誥）誥鋯𣝏烄𢼂敎𤕝（敎）𧧿（敎）膠鉸𡥈珓教窖較滘酵覺覐（覺）𧠭（覺）校（古孝切）𨬛（校）𤲽（校）𣏽絞（繒黑黃色）
kʰɔ1	尻訄鄗礉跤骹膠㺒㤍䂭敲䯨（敲）搞墝頝磽梏?
kʰɔ3	槁祰槀燺熇撟丂考攷拷洘栲𥬯𣩅薧䯪㼥䲾
kʰɔ5	稾熇薧䯪𧋓犒槀槁靠𩝝𨃤礉敲䯨（敲）焅梏搞巧（僞也）丂（巧）𢩨（巧）膠
xɔ1	𣐾蒿薅𦵢𢫩鎒𦼸𧯌薧撓茠嚆嗃嘮灱虓詨呼㹲庨唬猇窙嘐㺒𩾾藃穘髇䬘哮涍顤
xɔ2	獔䫧𩕍𨚙毫𡨉（毫）𠢕嗥獆噑豪𨼍𣘫獋壕嚎濠蠔號崤姣㚣（姣）膠㬵唬胶絞笅筊猇洨崤淆㮁𨠦𦺔㤊肴䂚倄䋂殽餚告勂
xɔ3	好𡥆（好）𩐔（好）𡚽妞佼䀊㺒䕧䉰澩
xɔ5	好𩐔（好）𡥆𡚽秏耗藃夰𥢑鎬昊昦𨛴浩晧皓鄗滈（下老切）暭薃𧇼顥鰝灝号號𡠖㙱𤩭𧬁嗃哮涍校（下巧切）𣏽詨𡦳㤊効俲詨𣱓斅斆㩭檄
ʔɔ1	𤏶鏖䥝熝㕭軪䫜坳𠣑咬眑窅梎爊𧘳拗
ʔɔ2	敖嗸嶅遨蔜嗷廒滶璈𣘢獒𢧴摮熬𤏺聱螯𦪈翱謷䦋翶翺𩪋𩪕鷔鰲鼇嫯鏊䫨驁磝聱謷𢿣爻□（嘆字 驚歎用之）
ʔɔ3	芺㤇镺媪媼襖𪁾䯠懊䐿郩夭𣧕䴠燠灹（燠）𤈰（燠）蝹拗𥃯𢂊狕鴢𥃺老𠄰（老）𩑤𦽀咬（齧骨義當作齩 斯聲也）齩□（嘆字 ）
ʔɔ5	镺奥奧嶴澳澚（澳之譌）懊䐿䜒𩟇𩼈隩墺𡋮（墺）𡋸（墺）圫（墺）𡌱（墺）燠+灹（燠）+𤈰（燠）+拗軪㑃岰袎靿箹謷鷔奡傲嫯鏊䫨驁磽𩳔樂□（嘆字）
tsɔ1	傮槽𦵩遭㡟𣩒㷮糟醩蹧謿嘲鳭䞴啁鵃罺摷𠿈𦗔抓朝鼂晁（朝）𦩻皽招昭盄釗鉊鵃
tsɔ3	繅𦃨（繅）早蚤棗𠂲（棗）璅𧎮澡璪薻（新 海~）藻（新 海~）𧃡繰䲃䝤獠爪爫㕚找（北來語 俗字 暫代覓尋義字）𦬔𢁬䝖瑵笊抓沼菬䈃
tsɔ5	灶趮躁竈草皁皂𦯑唕艁鑿漕𢲵䞴罩䍜䈇鵫癄笊㾭抓䰫㑿巢駣兆𠧞垗狣肁旐䍮趙肈肇鮡召𠧙炤𨹸詔照曌早+造（昨早切又）
tsʰɔ1	操𢻥幧㡟趠䫸灱嘮抄訬鈔𦾱䜈䰫𠰉𢁾怊欩超䫿怊弨紹（緩也）吵（初交切 人名 宋大夫吵）哘（哘さそ（う））
tsʰɔ2	曹蓸嘈漕（䘙邑）槽䐬䄚褿䏆螬𧕐（螬）艚𤵥𣍘𩫥鐰䄻訬巢鄛𡏮𡻝樔轈𣝞勦晁朝潮鼂𪓨（鼂）𪓲（鼂）𪓙韶𢨍（韶）
tsʰɔ3	艹艸草（是皁字 艸木當用艸 ）屮（艸）𠹊愺騲慅懆抄吵（初爪切 聲也 非謅鬧之謅）訬（同謅）㷅𤑵炒𩈎𤌉煼𩱈𩱦仯謅㥮巐弨眧麨𪍑楢藻𧅂薻
tsʰɔ5	操（七到切 所守也持念也）躁（字音）噪糙肏㿷鼜慅鄵懆鑿𨰒（鑿）艁慥造（七到切 昨早切又）踔趠抄訬鈔罺仯耖𦨖觘縐朓脁訬（輕也）□（御婦 見於~爾家祖宗~彈二語）
sɔ1	搔𠋺溞叜（溞）慅繅𦃨（繅）颾騷鰠鱢臊㮴𣔱艘䑹繰鞘捎莦弰娋梢䘯蛸筲艄旓輎𡡏䈰颵髾鮹綃燒𤬖淞
sɔ2	𢃳𢑦玿㸛𦯐韶𢨍（韶）㲈𠧙柖軺佋□（言多失當）
sɔ3	㛐掃嫂㛮䕅𦺋埽糔捎梢稍𡡏髾𨈘𢾐䔠𧣪𦿃𥵦𦓴潲搜少𨙹䒚
sɔ5	掃埽瘙㿋𢤁髞喿譟燥娋捎稍削（所敎切）𨛍𦓴潲𣕇揱袑紹䙼綤佋𠧙卲邵劭𠣫䬰召燒（放火）少+掃𢜶氉□（速也）
piɔ1	髟猋䙳票𤐫蔈幖標熛表𦠎瘭𤼄（瘭）𣄠贆爂飆飊表驫㠒𧽤杓儦藨瀌臕𦔩𧥍鑣𩽁彪
piɔ3	標㟽褾𧢄表𧜫（表）𧘝婊裱䔸錶𧞧
piɔ5	裱䞄俵𦳤藨𠬪𧴎莩殍㹾㰶摽膘？鰾𢹰𦭼顠慓𩮳驃票？□（糾纏）□（不要合）
pʰiɔ1	摽𢹰（摽）𦠎𤐫鏢𨰐彯漂翲螵旚𧽤𨄏犥飄𩙒嫖瞟𪅃僄嘌慓杓標
pʰiɔ2	𣞈剽螵飄瓢𤬣（瓢）薸
pʰiɔ3	膘縹犥瞟篻醥顠皫麃
pʰiɔ5	摽𢹰（摽）剽彯漂翲嫖票勡僄慓㬓䏇
miɔ2	猫緢苗𡩈（苗）描鶓茅䖢𪃦蜱篻㠺□(猶言不曾)
miɔ1	□（暫視）
miɔ3	訬吵杪眇秒𦳥淼渺篎緲藐
miɔ5	覅篎妙玅庿廟繆
tiɔ1	刁𠚥叼䂏凋𧘨奝蛁𦨣彫弴琱貂鼦（貂）𦶌碉𩾗㚋瞗雕鵰鯛𧜣䒒䯾
tiɔ3	隝𠄏扚𢁕䄪屌𧜣伄窵釕鳥蔦䲽佻鵃㣿
tiɔ5	悼棹㷹櫂濯𨑩弔吊（俗弔字）伄釣銱瘹窵蔦𤕷掉趠踔𤱩䂽挑窕誂嬥藋掉𥁮調嬥銚莜
tʰiɔ1	佻挑庣恌祧𥜔（祧）聎𣂁𣂀蓧朓脁趒銚
tʰiɔ2	𠤼調佻芀苕岧迢𠧪𣬸條笤𧌁樤蜩髫鋚䩦鞗䯾齠鰷嬥趒跳鮡
tʰiɔ3	䠷窱朓挑
tʰiɔ5	鋽咷窱眺粜絩趒覜𥺋頫糶踔趠跳？
niɔ1	䩍
niɔ2	燎髎摷蟧橑暸镽（細長也）聊僚䜮膋漻憀寥㙩撩遼敹嘹嶚獠憭寮嫽璙𡽐膫𦗖𥲊竂𧂏蟟簝豂繚髎飉𩯊鷯料廖瞭鐐熮翏𦿌
niɔ3	僚憭嫽璙燎繚镽（镽𨲭 長也）𢻢爒鳥裊嫋𨲂𢴶褭嬝嬲㒟𢸣㜵䃵嬈𢄺了撩憭𤁸繚镽𧘈䑠鄝蓼𥗀爒瞭
niɔ5	㙩膫燎療樂（力召切）𤻲鷯尞𤊽熮尿脲㞙嘹嫽璙尥尦炓料𦌒鐐𩕐藥溺㲻（溺）
tɕiɔ1	交䢒（交）郊膠𩾗茮椒焦僬嶕蕉㲬膲燋礁蟭鐎𪚰𪚱䌭鷦𤓪噍醮䩌憍嬌穚簥驕鷮撟喬蕎激憿𥄉澆徼梟蟂驍釗
tɕiɔ3	角（古岳切 北語 麪食屬）𧢲狡絞㽱膘漅𤃭剿勦𠞰𠟯𢄺𠟿𨙹𥃧嬌𨝰撟敽矯蟜䚩譑孂鱎蹻㭂㡑劋𧂈湫㿟恔晈皎䘨儌𢅎憿璬皦𨶪繳䰘䥵攪
tɕiɔ5	敎𤕝（敎）𧧿（敎）教較校（古孝切 胡敎切）𨬛（校）𤲽（校）枝趡僬潐𥡤𥛲趭醮䂃皭釂爝嚼癄䩌趡噍趭劁誚𨲭轎嶠激鸄敫𢅎徼叫訆嘂噭獥藠𨎬譥譙
tɕʰiɔ1	㡑𣟼𣖄幧鍫鍬篍喿鐰𣂁悄？憍橇撬趫鞽繑趬蹺蹻䫞㚠郻𡩇𢿣鄡墽敲搞
tɕʰiɔ2	䏆𡻝僬嶕鐎劁𨝱憔樵瞧𦿕藮譙誚（譙）䩌顦撨菬嬌鷮蟜㠐轎蹻喬僑蕎㝯橋䀉𦒓趫鐈毊礄荍嘺䎗𧄍翹𤖻屶（なた）
tɕʰiɔ3	巧丂（巧）𢩨（巧）悄釥愀磽䂪
tɕʰiɔ5	俏捎陗峭帩㴥𪑊篍哨削（削格）訬譑趬㢗𠿕㚁翹撽𢵿𢶡竅
ɕiɔ1	肖（思邀切）肖（私妙切）捎莦蛸鮹哨逍𤞚消㴅（消）宵𣆺（宵）焇硝痟揱𦐺綃霄銷魈䴛奞呺枵歊獢藃熇嚻囂𠽸（囂）毊虈㺧𤣠𩱴踃艘瞍㩋潚橚㲖翛𦐺撨箾蕭彇蟰簫𪛕（簫）瀟蠨𩙚憢䫞䎄㚠嘵膮𦟞澆□（猶言掀）
ɕiɔ2	肴爻硝
ɕiɔ3	小䒕𩵖謏㩋䃤𩵌筱篠𧩮膮曉皢䥵𠄔藠芍皛𦯪㵿笹
ɕiɔ5	孝哮效鞘韒肖削（刀室也）𥬇笑咲（笑）𠇄（笑）㗛䐹㩋嘯熽歗嬈𢿿娎
iɔ1	蟯葽喓腰䙅𧍔邀䳩要𡢗（要）𦥼（要）𠾅（要）𦥺由夭𣧕妖枖祅訞𥃩蟯幺吆𢆷𦔷𨓳葽𩑗宎𡧮怮䱂犳耀
iɔ2	𨚙鴞𢑄洮陶恌姚珧烑軺傜摇㨱搖䔄嗂徭遥猺遙𨖈（遙）愮媱瑶瑤榣銚𣣳餆窰窯𤬖𢋇𦾺䠛繇謡謠颻蘨鰩鷂邎𨙃𨘺㫍𨙂榆褕僥垚堯𡋰（堯）嶢顤□（歎字 不然用之）
iɔ3	芺夭殀𣧕仸崾闄抭𦥝舀𦥨溔𩨴䁘鷕䯚葽㫐苭杳？𡧮窅窈偠䆞𨱧婹𩡻㫏鴢騕
iɔ5	𧇠葽要𡢗（要）𦥼（要）𠾅（要）𦥺䌁䙅幼約（於笑切）趭摇搖䔄㞁筄覞𧡷曜𣇪（曜）𤒂（曜）艞燿矅耀鷂𧢢瀹讑𥌺𥌉（似𥌺之省也）𧢢鷣𣤦𤪎澆顤𠹑𪖐獟䆞𥦒窔躍（俗又音）凧（たこ/いかのぼり）欲（余蜀切）
pʊ1	波菠紴碆嶓啵番𥸨（番）𥻫（番）潘皤玻□
pʊ3	㝿跛簸駊播𢿥（播）𨤏（播）㨐捬掊褒襃
pʊ5	𢿥簸譒番𥸨（番）𥻫（番）爸（蒲可切 父也 口語不用）縛（符臥切 繩也又束也裝也）䏽瓿蔀䍌篰䴺培婄犃𩌏䏽
pʰʊ1	𨸭坡跛（人名）陂𡶅
pʰʊ2	碆繁媻搫婆蔢鄱皤𩕏䏽䍌抔捊㩠（捊）掊裒𩚭箁䯽
pʰʊ3	蔀婄剖𠞌（剖）䯽䳝叵笸鉕陂駊𡽠頗
pʰʊ5	破𡲠（破）頗䞳踣豧㰴仆鋪舖
mʊ1	摸？
mʊ2	麽麼尛（麼）劘𡡉𦟟摩𢳀（摩）磨𥂓蘑䯢魔𩞁𦣆䭩母呣鷚矛𨥨（矛）𢦧（矛）鉾（矛）𥍥（矛）𢦵堥蝥蟊𧐘（蟊）𩭾繆哞𧝺（迷浮切）袤牟𢃷（牟）侔劺𦭷恈眸蛑䋷謀𧦥（謀）𠰔（謀）麰鴾鍪䱕毪𨡭鞪雺摸（莫胡切 同摹）+𠻚嫫摹模膜（莫胡切 拜也）橅謨𢜯（謨）譕（謨）饃𨡭无𠑶（无）墲䉑㡔鰻（母官切）無𣟒（無）𣚨（無）𠘩（無）毋
mʊ3	麼尛（麼）嬤懡𣋟莽某呆𤵝母牡拇𤝕姆胟𠭇畞畝𤱑（畝）𧿹畮踇䳇鵡姥媽峔䥈𢜮沫（~子又）
mʊ5	塺摩𢳀（摩）磨䃺耱𠔼杼茂𧝺袤䓮牧貿楙愗鄮瞀𦼪懋苺姆牡雺莓仫莫（暮本字）𦮅（莫）䒬（莫）𦱴（莫）募墓慔慕𢟽（慕）暮𥰻騖鶩毋幕（！莫半切 平而無文曰幕）
fʊ3	不𠀚（不）𠙐（不）缶否𠘶（否）𡜊缹𤈒𤈣鴀痞殕紑𩂆㤱秠
tʊ1	𦰿𦷛多𡖇（多）𡖈（多）茤𨹄𨹃桗
tʊ3	奲癉哆䫂+嚲䯬揣𢭍（揣）㪜𥠄褍朵㙐（朵）朶𨹄𨹃挆哚垛埵𦀉跥跺躲躱䤪𨦃綞鬌惰橢𩊜鍺𦖋
tʊ5	癉點哆跢痑陊𣵻舵拕沲沱柁柂袉詑馱䭾駄挅剁刴㛆桗𥞛𮃄𥞛𮃄鬌𤬾惰𢢠（惰）𢞑（惰）䅜憜隋墮嶞嫷𩊜𥳔䤻䲊𥬲𥬸惰𢢠（惰）𢞑（惰）媠䙃𧱫陏
tʰʊ1	蛇痑拖拕佗杝鼧䛢𧦭隋（中高四下也）䜏詑涶
tʰʊ2	它他池佗庹陀坨沲沱迱㼠砣袉䍫紽䡐𡩆酡跎詑馱䭾𩉺駞駝鴕鮀鼧驒𧕛鼉㸰堶碢橢團！
tʰʊ3	袉媠墮𨼰䲊隋隨𨼕（隨）遀（隨）追（隨）妥㟎橢㯐鵎跥跺
tʰʊ5	拖嫷𧝍蛻毤唾𣮆涶毻
lʊ1	蠃螺喃？落？
lʊ2	那（諾何切 ）臡𤘟挪𡖔𠹈𩴓㔮儺難𩙎（儺）羅儸蘿玀𤄷欏籮鑼饠剆囉䎠捼蠡𢍝（蠡）𥯵（蠡）腡𥡜𦿌螺𣜄𥢵鏍騾覼𧄿驘鸁𩼊𨰠蠃摞縲（盧戈切）㚢奴孥砮𠪓（砮）𠩨（砮）笯駑帑嚧蘆邏落？
lʊ3	袲𨙻那（奴可切 何也）娜哪橠㡅𣍓（㡅）𢄴𩝢欏剆砢𣂞𠻡㰁㩡鎯㦬曪㛂𢫷𧝹卵𦝠倮蓏裸躶瘰𦝠𦟀蠃臝（非口語詞 如赤~~）㒩𤼠孥砮𠪓（砮）𠩨（砮）努弩𧉭胬怒𢘂（怒）擄（又）虜（又）卵（限）煗㬉煖□（言多而不明）
lʊ5	那（乃箇切 語助也）奈郍㿚𧟌堧稬懦穤𤲬愞𡰠𡰟摞漯𠏢䇔𢺑㱻䌴笯怒𢘂（怒）
kʊ1	妿㤎滒鴚菏柯牁戕戈濄𩾷緺㽿楇𩰬𩰫瘑㗻鍋鈛𩰭𨍋過（古臥切 古禾切）𧒖堝渦撾咼
kʊ2	果（白~子）
kʊ3	笴哿舸𥰮鐹果菓猓惈蜾𧒘裹粿輠餜䴹划錁𠜴□（欶也）
kʊ5	鐹裹㳀過（古禾切 古臥切）𧒖𩟂划騍
kʰʊ1	𠳊珂軻䯊㽿㸰科萪嵙犐稞𠏀窠薖蝌䈖髁課簻顆裸𡑤（裸）𧝹臝（非口語詞 如~軆 ~奔）躶
kʰʊ3	軻坷岢棵顆敤堁
kʰʊ5	蚵軻坷艐科髁敤㪙堁𡱼課騍㾧
xʊ1	煆蝦鰕抲呵苛㱒訶𩑸
xʊ2	何河荷菏魺苛蚵咼㗻禾䒩咊和𤖱+盉鉌龢胡瑚？囘
xʊ3	㪋㰤𩑸㪃㗿火𤆄（火）灬伙邩𨚊鈥夥𨘌
xʊ5	呵㰤何苛荷賀㵑𧝂袔化貨䞈（貨）𣱷（貨）輠夥𡖿𥙯𥚁𣄸禍旤（禍）𥚍（禍）𣨷（禍）和咊（和）龢（和）盉俰付囘
xʊ0	𣴠𣽅𣸅活
ʔʊ1	阿錒妸妿屙娿婀䋪疴痾鈳濄倭萵渦涹窩撾𡑟踒𥟿蝸（北語新嵌者 非 字古華切當音瓜）猗鵝䳘䳗鵞
ʔʊ2	俄莪峨峩涐娥䄉睋蛾誐鋨鵝𩒰哦硪䳗䳘吪囮訛鈋魤僞譌𠂬橢（類篇吾禾切 堛鼓）
ʔʊ3	騀𩒰我𠨂（我）𢦓（我）𢦠（我）㧴硪妸娿𧙃𣘨𨵌椏㫊𠂬㛂倭婐𥟿捰𢫷
ʔʊ5	餓侉啊臥涴話𦧵（話）䛡
tsʊ2	喌
tsʊ1	喌
tsʊ3	𠂇左㝾佐她
tsʊ5	左𠡃㝾作胙（作）𢓓（作）袏挫夎侳坐㘸（坐）𡋲坐㘸（坐）唑座作（後專作做）胙（作）𢓓（作）做
tsʰʊ1	搓𢷼瑳磋蹉𪘓傞溠遳初䥚（初）算？筭？祘？芻犓
tsʰʊ2	艖瘥𥰭醝䖕虘蒫嵯嵳𣩈䣜蔖㽨䑘䠡䰈䴾鹺𨇃𪘓齹𪙐（齹）躦㭫睉矬痤銼豠耡𧱑鋤𪆷鉏麆？雛媰𦷝䅳雛鶵
tsʰʊ3	瑳䰈硰脞䂳搓𢷼玼
tsʰʊ5	磋摧剉莝𢯽銼諎厝𢵄措錯（倉故切 又俗倉各切乖也）䥘（錯 倉故切 又俗倉各切乖也）㳻趣
sʊ1	沙挱䤬𩊮𠈱娑戲桫傞挲𥆝獻㛗莎魦莏唆𢘿梭蓑𠱗（蓑）𡔤（蓑）羧趖𧨀髿𣜤梳些（些邏 麼些禿光些）
sʊ3	褨縒娑葰惢𧴪䣔𢱡嗩溑瑣𥔭䈗鎖䵀𩹳所𢨷（所）
sʊ5	䐝沙逤些+
mɤɯ2	眸？
tɤɯ1	吺剅侸兜𧯠𥆖兠蔸篼𧢗𩮷郖□（數也）
tɤɯ0	頭（每作輕聲）𥘖（頭 每作輕聲）
tɤɯ3	阧抖枓陡蚪㪷斗𣂑（斗）襡豆
tɤɯ5	鬥䬦𧱓䛠𧪧𡟳𧱦斣闘鬭鬬襡噣𠁁䕆𨪐襡𩿢揄豆𣅋（豆）𤽋（豆）𣅣（豆）郖荳逗浢㛒梪毭酘脰䄈痘餖投𩊪𤀨竇讀窬
tʰɤɯ1	鋀偷偸鍮媮婾
tʰɤɯ2	投𢫹（投）𣪌㓱㢏緰頭𥘖（頭）𪁞𪎨䤅亠坄揄牏歈𣤏（歈）窬
tʰɤɯ3	妵鈄斢黈𪌘𩿢䱏蘣飳𪌜諭
tʰɤɯ5	咅透䞬綉（集韻他𠋫切 吳俗謂綿一片爲綉）𧺢㰯䟝
tʰɤɯ0	頭𥘖（頭）
lɤɯ1	鏤
lɤɯ2	羺䨲𩆟㝹（䨲之俗）獳䰰剅瞜婁𡜰（婁）𡇔（婁）𡝨（婁）𡝤𠞭䣚僂𨻻遱嘍廔慺𢡌（慺）樓膢𤬏耬𦔪（耬）螻艛𦎹䝏謱𧁾鞻髏䱾摟簍鷜褸柔𨛶揉葇瑈䐓腬㽥蝚蹂鍒鞣䰆騥鰇鶔
lɤɯ3	㝅𡭾啂㳶𡝦陾嘍謱𪍣塿嶁漊甊㪹䅹簍沑禸𠘯粈葇煣𥠊輮蹂韖楺縷褸惹（人者切俗又）
lɤɯ5	𣫌槈耨鎒譳搙擩𠞭僂𧷡陋屚𦸢漏𣤋瘻瘺𧫞鏤𨫒蔄煣輮蹂鞣肉（如六切俗又）𡧢宍（肉）褥！露（？~臉）肉（如又切）宍（肉）
kɤɯ1	歌可（歌）哥謌勾句區𠛎冓𤫱䑦鈎鉤拘溝褠緱篝鞲𥴴韝枸夠㗕𪓟軥鴝𪁖（鴝）𩿩（鴝）
kɤɯ2	□（闚）
kɤɯ3	苟𠷜（苟）岣狗玽耇枸𦊒笱豿垢茩詬𢼒敂九
kɤɯ5	箇個可个冓𢄇姤够夠䝭遘搆彀㝅雊㝤媾𧪸講𤚼構煹䃓覯購句怐軥究𡫄（究）
kʰɤɯ1	韝夠芤𢂁剾摳彄慪瞘䁱滱𣻎
kʰɤɯ2	□（慳）
kʰɤɯ3	可㸸口𠮚（口）𠙵（口）𨙫𤘘竘叩扣𧥣釦
kʰɤɯ5	詬扣怐佝寇𡨥筘𡠆滱𣻎瞉䍍簆𥲃鷇㜌垢
xɤɯ1	齁𪅺
xɤɯ2	𥎦侯矦葔喉帿猴㮢𧮶睺銗瘊䙈䗔骺篌糇翭鍭餱䫛鯸鄇翵疣骰
xɤɯ3	蚼吽吼犼㖃𤘽㸸呴□（貪也）
