ID	声	韵	调	字	注释	声母序	韵母序	带注释的字	韵母
431	tɕ	i	7	鲫		17	2	鲫	#i
432	tɕ	i	7	迹		17	2	迹	#i
433	tɕ	i	7	炙		17	2	炙	#i
434	tɕ	i	7	侧		17	2	侧	#i
435	tɕʰ	i	1	溪		18	2	溪	#i
436	tɕʰ	i	1	妻		18	2	妻	#i
437	tɕʰ	i	1	凄		18	2	凄	#i
438	tɕʰ	i	1	欺		18	2	欺	#i
439	tɕʰ	i	1	栖		18	2	栖	#i
440	tɕʰ	i	1	笡	斜	18	2	笡{斜}	#i
441	tɕʰ	i	1	蛆		18	2	蛆	#i
442	tɕʰ	i	3	且		18	2	且	#i
443	tɕʰ	i	3	启		18	2	启	#i
444	tɕʰ	i	3	砌		18	2	砌	#i
445	tɕʰ	i	3	起		18	2	起	#i
446	tɕʰ	i	3	杵		18	2	杵	#i
447	tɕʰ	i	3	鼠		18	2	鼠	#i
448	tɕʰ	i	3	岂		18	2	岂	#i
449	tɕʰ	i	3	杞		18	2	杞	#i
450	tɕʰ	i	5	器		18	2	器	#i
451	tɕʰ	i	5	弃		18	2	弃	#i
452	tɕʰ	i	5	汽		18	2	汽	#i
453	tɕʰ	i	5	气		18	2	气	#i
454	tɕʰ	i	5	契		18	2	契	#i
455	tɕʰ	i	5	剌	白	18	2	剌{白}	#i
456	tɕʰ	i	5	去	白	18	2	去{白}	#i
457	tɕʰ	i	5	且		18	2	且	#i
458	tɕʰ	i	7	饬		18	2	饬	#i
459	tɕʰ	i	7	赤		18	2	赤	#i
460	tɕʰ	i	7	尺		18	2	尺	#i
461	tɕʰ	i	7	戚		18	2	戚	#i
462	tɕʰ	i	7	斥		18	2	斥	#i
463	tɕʰ	i	7	缉	～鞋底	18	2	缉{～鞋底}	#i
464	dʑ	i	2	池		19	2	池	#i
465	dʑ	i	2	芪		19	2	芪	#i
466	dʑ	i	2	骑		19	2	骑	#i
467	dʑ	i	2	奇		19	2	奇	#i
468	dʑ	i	2	岐		19	2	岐	#i
469	dʑ	i	2	祈		19	2	祈	#i
470	dʑ	i	2	其		19	2	其	#i
471	dʑ	i	2	旗		19	2	旗	#i
472	dʑ	i	2	期		19	2	期	#i
473	dʑ	i	2	鳍		19	2	鳍	#i
474	dʑ	i	2	技		19	2	技	#i
475	dʑ	i	2	妓		19	2	妓	#i
476	dʑ	i	2	渠	他	19	2	渠{他}	#i
477	dʑ	i	2	佢		19	2	佢	#i
478	dʑ	i	2	歧		19	2	歧	#i
479	dʑ	i	2	祁		19	2	祁	#i
480	dʑ	i	2	棋		19	2	棋	#i
481	dʑ	i	2	企		19	2	企	#i
482	dʑ	i	2	雉		19	2	雉	#i
483	dʑ	i	4	企		19	2	企	#i
484	dʑ	i	4	雉		19	2	雉	#i
485	dʑ	i	4	苎		19	2	苎	#i
486	dʑ	i	6	箸		19	2	箸	#i
487	dʑ	i	6	滞		19	2	滞	#i
488	dʑ	i	6	妓		19	2	妓	#i
489	dʑ	i	6	技		19	2	技	#i
490	dʑ	i	6	忌		19	2	忌	#i
491	dʑ	i	8	直		19	2	直	#i
492	dʑ	i	8	值		19	2	值	#i
493	dʑ	i	8	殖		19	2	殖	#i
494	dʑ	i	8	植		19	2	植	#i
495	dʑ	i	8	掷		19	2	掷	#i
496	dʑ	i	8	蛰		19	2	蛰	#i
497	dʑ	i	8	茄	～子	19	2	茄{～子}	#i
498	ȵ	i	1	泥		20	2	泥	#i
499	ȵ	i	1	倪		20	2	倪	#i
500	ȵ	i	1	仪		20	2	仪	#i
501	ȵ	i	1	娱		20	2	娱	#i
502	ȵ	i	1	尼		20	2	尼	#i
503	ȵ	i	1	渔		20	2	渔	#i
504	ȵ	i	1	鱼	儿语，～～：鱼	20	2	鱼{儿语，～～：鱼}	#i
505	ȵ	i	2	疑		20	2	疑	#i
506	ȵ	i	2	泥		20	2	泥	#i
507	ȵ	i	2	倪		20	2	倪	#i
508	ȵ	i	2	仪		20	2	仪	#i
509	ȵ	i	2	尼		20	2	尼	#i
510	ȵ	i	2	沂		20	2	沂	#i
511	ȵ	i	4	拟		20	2	拟	#i
512	ȵ	i	4	你		20	2	你	#i
513	ȵ	i	4	蚊		20	2	蚊	#i
514	ȵ	i	4	议		20	2	议	#i
515	ȵ	i	4	谊		20	2	谊	#i
516	ȵ	i	4	蚁		20	2	蚁	#i
517	ȵ	i	6	艺		20	2	艺	#i
518	ȵ	i	6	义		20	2	义	#i
519	ȵ	i	6	腻		20	2	腻	#i
520	ȵ	i	6	毅		20	2	毅	#i
521	ȵ	i	6	匿		20	2	匿	#i
522	ȵ	i	6	刈		20	2	刈	#i
523	ȵ	i	6	谚		20	2	谚	#i
524	ȵ	i	8	鱼	单字	20	2	鱼{单字}	#i
525	ɕ	i	1	牺		21	2	牺	#i
526	ɕ	i	1	希		21	2	希	#i
527	ɕ	i	1	稀		21	2	稀	#i
528	ɕ	i	1	嬉		21	2	嬉	#i
529	ɕ	i	1	熙		21	2	熙	#i
530	ɕ	i	3	喜		21	2	喜	#i
531	ɕ	i	5	戏		21	2	戏	#i
533	ɕ	i	5	蟢		21	2	蟢	#i
534	ɕ	i	5	喜		21	2	喜	#i
4605	ɕ	i	5	□	擤鼻涕	21	2	□{擤鼻涕}	#i
4381	ɦ	i	2	拽		27	2	拽	#i
4400	ɦ	i	2	矣		27	2	矣	#i
4401	ɦ	i	2	肆		27	2	肆	#i
4412	ɦ	i	2	宜		27	2	宜	#i
4413	ɦ	i	2	移		27	2	移	#i
4414	ɦ	i	2	夷		27	2	夷	#i
4415	ɦ	i	2	姨		27	2	姨	#i
4416	ɦ	i	2	沂		27	2	沂	#i
4417	ɦ	i	2	耶		27	2	耶	#i
4418	ɦ	i	2	椰		27	2	椰	#i
4419	ɦ	i	2	兮		27	2	兮	#i
4420	ɦ	i	2	奚		27	2	奚	#i
4421	ɦ	i	2	唾		27	2	唾	#i
4576	ɦ	i	2	系		27	2	系	#i
4577	ɦ	i	2	爷		27	2	爷	#i
4422	ɦ	i	4	已		27	2	已	#i
4423	ɦ	i	4	矣		27	2	矣	#i
4424	ɦ	i	4	以		27	2	以	#i
4425	ɦ	i	6	夜		27	2	夜	#i
4426	ɦ	i	6	异		27	2	异	#i
4427	ɦ	i	6	肄		27	2	肄	#i
535	〇	i	1	医		43	2	医	#i
536	〇	i	1	饴		43	2	饴	#i
537	〇	i	1	衣		43	2	衣	#i
538	〇	i	1	依		43	2	依	#i
539	〇	i	1	伊		43	2	伊	#i
540	〇	i	1	爷	祖父	43	2	爷{祖父}	#i
541	〇	i	3	倚		43	2	倚	#i
542	〇	i	3	野		43	2	野	#i
