字頭	聲紐	呼	等	韻部	聲調	組	攝	聲母	韻母	聲調	備註	
鞏	見	開	三	鍾	上	見	通	k	ung	2		
供	見	開	三	鍾	平	見	通	g	ung	1	~應	
供	見	開	三	鍾	去	見	通	g	ung	3	~養	
貢	見	開	一	東	去	見	通	g	ung	3		
鉤	見	開	一	侯	平	見	流	k	au	1	~刀：一種彎刀	
鉤	見	開	一	侯	平	見	流	g	au	1	用彎刀收割：~禾	
溝	見	開	一	侯	平	見	流	g	au	1		
苟	見	開	一	侯	上	見	流	g	au	2		
狗	見	開	一	侯	上	見	流	g	au	2		
枸	見	開	一	侯	平	見	流	g	au	2		
垢	見	開	一	侯	上	見	流	g	ou	2		
搆	見	開	一	侯	去	見	流	g	au	3		
構	見	開	一	侯	去	見	流	g	au	3		
購	見	開	一	侯	去	見	流	g	au	3		
數	生	合	三	虞	去	莊	遇	s	u	3	名詞	
估	見	開	一	模	上	見	遇	g	u	2		1
咕	見	開	一	模	平	見	遇	g	u	4		
沽	見	開	一	模	平	見	遇	g	u	1		
孤	見	開	一	模	平	見	遇	g	u	1		
姑	見	開	一	模	平	見	遇	g	u	1		
菇	見	開	一	模	平	見	遇	g	u	1		
辜	見	開	一	模	平	見	遇	g	u	1		
古	見	開	一	模	上	見	遇	g	u	2		
谷	見	開	一	東	入	見	通	g	uk	7		
古	見	開	一	模	上	見	遇	g	u	1	朱~力：巧克力	
股	見	開	一	模	上	見	遇	g	u	2		
鼓	見	開	一	模	上	見	遇	g	u	2		
穀	見	開	一	東	入	見	通	g	uk	7		
鼔	見	開	一	模	上	見	遇	g	u	2		
固	見	開	一	模	去	見	遇	g	u	3		
故	見	開	一	模	去	見	遇	g	u	3		
呱	見	開	一	模	平	見	遇	g	oe	1		
官	見	合	一	寒	平	見	山	g	un	1		
棺	見	合	一	寒	平	見	山	g	un	1		
觀	見	合	一	寒	平	見	山	g	un	1		
管	見	合	一	寒	上	見	山	g	un	2		
館	見	合	一	寒	去	見	山	g	un	2		
冠	見	合	一	寒	平	見	山	g	un	1	雞~ 	
冠	見	合	一	寒	去	見	山	g	un	3	~軍	
貫	見	合	一	寒	去	見	山	g	un	3		
灌	見	合	一	寒	去	見	山	g	un	3		
罐	見	合	一	寒	去	見	山	g	un	3		
蛤	見	開	一	覃	入	見	咸	g	op	8		
虹	見	開	二	江	去	見	江	g	ang	3	龐~：彩虹	
詩	書	開	三	之	平	章	止	s	i	1		
矢	書	開	三	脂A	上	章	止	s	i	2		
始	書	開	三	之	上	章	止	s	i	2	開~	
試	書	開	三	之	去	章	止	s	i	3		
肌	見	開	三	脂B	平	見	止	g	i	1		
飢	見	開	三	脂B	平	見	止	g	i	1		
激	見	開	四	蕭	去	見	效	g	ik	7		
擊	見	開	四	青	入	見	梗	g	ik	7		
雞	見	開	四	齊	平	見	蟹	g	ai	1		
基	見	開	三	之	平	見	止	g	i	1		
箕	見	開	三	之	平	見	止	g	i	1		
吉	見	開	三	真A	入	見	臻	g	at	7		
汲	見	開	三	侵B	入	見	深	g	ap	7	白讀	
急	見	開	三	侵B	入	見	深	g	ap	7	異讀	
嘰	見	開	三	微	平	見	止	g	i	1		
機	見	開	三	微	平	見	止	g	i	1		
譏	見	開	三	微	平	見	止	g	i	1		
饑	見	開	三	微	平	見	止	g	i	1		
計	見	開	四	齊	去	見	蟹	g	ai	3	動詞	
計	見	開	四	齊	去	見	蟹	g	ai	6	名詞：冇~	
計	見	開	四	齊	去	見	蟹	g	i	6	伙~	
几	見	開	三	脂B	上	見	止	g	i	1		
己	見	開	三	之	上	見	止	g	i	2		
幾	見	開	三	微	平	見	止	g	i	1	~乎	
幾	見	開	三	微	上	見	止	g	i	2	~多	
髻	見	開	四	齊	去	見	蟹	g	ai	3		
既	見	開	三	微	去	見	止	g	i	3		
繼	見	開	四	齊	去	見	蟹	g	ai	3	又讀	
紀	見	開	三	之	上	見	止	g	i	2		
加	見	開	二	麻	平	見	假	g	o	1		
佳	見	開	二	佳	平	見	蟹	g	oi	1		
迦	見	開	三	歌	平	見	果	g	o	1		
家	見	開	二	麻	平	見	假	g	o	1		
嘉	見	開	二	麻	平	見	假	g	o	1		
夾	見	開	二	咸	入	見	咸	g	op	8	雙~；~生：活生生地､硬生地地	
夾	見	開	四	怗	入	見	咸	g	ep	10	白讀：夾子；夾着	
夾	見	開	四	怗	入	見	咸	g	ep	8	白讀：夾取	
甲	見	開	二	銜	入	見	咸	g	op	8		
假	見	開	二	麻	上	見	假	g	o	2		
顧	見	開	一	模	去	見	遇	g	u	3		
架	見	開	二	麻	去	見	假	g	o	3		
嫁	見	開	二	麻	去	見	假	g	o	3		
價	見	開	二	麻	去	見	假	g	o	3		
駕	見	開	二	麻	去	見	假	g	o	3		
奸	見	開	一	寒	平	見	山	g	on	1		
肩	見	開	四	先	平	見	山	g	in	1		
姦	見	開	二	刪	平	見	山	g	on	1		
兼	見	開	四	添	平	見	咸	g	im	1		
堅	見	開	四	先	平	見	山	g	in	1		
間	見	開	二	山	平	見	山	g	on	1		
間	見	開	二	山	去	見	山	g	on	3		
監	見	開	二	銜	平	見	咸	g	om	1	~考|~督	
監	見	開	二	銜	去	見	咸	g	om	3	太~|~獄	
艱	見	開	二	山	平	見	山	g	on	1		
揀	見	開	二	山	上	見	山	g	on	2		
檢	見	開	三	鹽B	上	見	咸	g	im	2		
繭	見	開	四	先	上	見	山	g	on	2		
簡	見	開	二	山	上	見	山	g	on	2		
見	見	開	四	先	去	見	山	g	in	3		
建	見	開	三	元	去	見	山	g	in	3		
毽	見	開	四	先	去	見	山	g	in	6		
劍	見	開	三	釅	去	見	咸	g	im	3		
澗	見	開	二	刪	去	見	山	g	on	3		
諫	見	開	二	刪	去	見	山	g	on	3		
鑑	見	開	二	銜	平	見	咸	g	om	3		
江	見	開	二	江	平	見	江	g	ang	1		
勺	常	開	三	陽	入	章	宕	s	aa	6		
講	見	開	二	江	上	見	江	g	ang	2		
降	見	開	二	江	去	見	江	g	ang	3	~落|投~	
交	見	開	二	肴	平	見	效	g	ou	1		
賈								g	o	2	姓	
交	見	開	二	肴	平	見	效	g	eu	1	白讀	
郊	見	開	二	肴	平	見	效	g	ou	1		
教	見	開	二	肴	去	見	效	g	ou	3		
膠	見	開	二	肴	平	見	效	g	ou	1		
膠	見	開	二	肴	平	見	效	g	eu	1	白讀。黏稠	
嬌	見	開	三	宵B	平	見	效	g	iu	1		
驕	見	開	三	宵B	平	見	效	g	iu	1		
角	見	開	二	江	入	見	江	g	ak	7		
狡	見	開	二	肴	上	見	效	g	ou	2		
絞	見	開	二	肴	上	見	效	g	ou	2		
徼	見	開	四	蕭	去	見	效	g	eu	2	巡視；游逛。引自《玉林話方言本字考》（周成松，2000）	
矯	見	開	三	宵B	上	見	效	g	eu	2		
繳	見	開	四	蕭	上	見	效	g	iu	2		
攪	見	開	二	肴	上	見	效	g	ou	2		
叫	見	開	四	蕭	去	見	效	g	iu	3		
窖	見	開	二	肴	去	見	效	g	eou	3		
較	見	開	二	肴	去	見	效	g	ou	2		
皆	見	開	二	皆	平	見	蟹	g	oi	1		
階	見	開	二	皆	平	見	蟹	g	oi	1		
街	見	開	二	佳	平	見	蟹	g	oi	1		
孑	見	開	四	薛B	入	見	山	g	et	8		
劫	見	開	三	嚴	入	見	咸	g	ip	7		
拮	見	開	三	真A	入	見	臻	g	et	8		
結	見	開	四	先	入	見	山	g	it	7		
潔	見	開	四	先	入	見	山	g	it	7		
介	見	開	二	皆	去	見	蟹	g	oi	3		
戒	見	開	二	皆	去	見	蟹	g	oi	3		
芥	見	開	二	皆	去	見	蟹	g	oi	3		
屆	見	開	二	皆	去	見	蟹	g	oi	3		
界	見	開	二	皆	去	見	蟹	g	oi	3		
巾	見	開	三	真B	平	見	臻	g	an	1		
斤	見	開	三	欣	平	見	臻	g	an	1		
今	見	開	三	侵B	平	見	深	g	am	1	異讀	
金	見	開	三	侵B	平	見	深	g	am	1	異讀	
緊	見	開	三	真A	上	見	臻	g	an	2		
錦	見	開	三	侵B	上	見	深	g	am	2	異讀	
勁	見	開	三	清A	去	見	梗	g	ing	6		
禁	見	開	三	侵B	平	見	深	g	am	3	異讀	
京	見	開	三	庚	平	見	梗	g	ing	1		
荊	見	開	三	庚	平	見	梗	g	ing	1		
絞								g	eu	2	白讀	
經	見	開	四	青	平	見	梗	g	ing	1		
驚	見	開	三	庚	平	見	梗	g	ing	1		
景	見	開	三	庚	上	見	梗	g	ing	2		
警	見	開	三	庚	上	見	梗	g	ing	2		
徑	見	開	四	青	去	見	梗	g	ing	2		
竟	見	開	三	庚	去	見	梗	g	ing	2		
敬	見	開	三	庚	去	見	梗	g	ing	3		
境	見	開	三	庚	上	見	梗	g	ing	2		
鏡	見	開	三	庚	去	見	梗	g	ing	3		
究	見	開	三	尤	去	見	流	g	au	3	異讀	
九	見	開	三	尤	上	見	流	g	au	2	異讀	
玖	見	開	三	尤	上	見	流	g	au	2	異讀	
救	見	開	三	尤	去	見	流	g	au	3	異讀	
居	見	開	三	之	平	見	止	g	yu	1		
掬	見	開	三	東	入	見	通	g	uk	7		
鞠	見	開	三	東	入	見	通	g	uk	7		
桔	見	開	四	先	入	見	山	g	at	7		
菊	見	開	三	東	入	見	通	g	uk	7		
矩	見	合	三	虞	上	見	遇	g	yu	2		
踽	見	合	三	虞	上	見	遇	g	yu	2		
舉	見	開	三	魚	上	見	遇	g	yu	2		
句	見	合	三	虞	去	見	遇	g	yu	3		
著	知	開	三	魚	去	知	遇	z	yu	3	~作|編~；土~	
俱	見	合	二	虞	平	見	遇	g	yu	1		
俱	見	合	三	虞	平	見	遇	g	yu	6		
踞	見	開	三	魚	去	見	遇	g	yu	2		
據	見	開	三	魚	去	見	遇	g	yu	2		
據	見	開	三	魚	去	見	遇	g	yu	3	又讀	
鋸	見	開	三	魚	去	見	遇	g	yu	3		
涓	見	合	四	先	平	見	山	g	yun	1		
鵑	見	合	四	先	平	見	山	g	yun	1		
卷	見	合	三	仙B	上	見	山	g	yun	2		
捲	見	合	三	仙B	上	見	山	g	yun	2		
眷	見	合	三	仙B	去	見	山	g	yun	3		
絹	見	合	三	仙A	去	見	山	g	yun	3		
撅	見	合	三	元	入	見	山	g	yut	7	打	
獗	見	合	三	元	入	見	臻	g	yut	7		0或kyuut7
覺	見	開	二	江	入	見	江	g	ak	7		
覺	見	開	二	肴	去	見	效	g	ou	3		
扛	見	開	二	江	平	見	江	g	ong	1	~起身|力能~鼎	
乾	見	開	一	寒	平	見	山	g	on	1	~燥	
貯	知	開	三	魚	上	知	遇	z	yu	5		
喬	見	開	三	宵B	平	見	效	g	iu	4		
瞿	見	合	三	虞	去	見	遇	g	yu	6		
挾	見	開	二	洽	入	見	咸	g	op	10	要~|~持	
楷	見	開	二	皆	平	見	蟹	g	oi	1		
梗	見	開	二	庚	上	見	梗	g	ang	2	心肌~塞	
勾	見	開	一	侯	平	見	流	g	au	1		
賅	見	開	一	咍	平	見	蟹	g	oi	1		
百	幫	開	二	庚	入	幫	梗	bb	aa	2		1
亙	見	開	一	登	去	見	曾	g	ang	3		
柏	幫	開	二	庚	入	幫	梗	bb	aa	2		1
篝	見	開	一	侯	平	見	流	g	au	1		
賈	見	開	一	模	上	見	遇	g	u	2	商~	
詁	見	開	一	模	上	見	遇	g	u	2		
錮	見	開	一	模	去	見	遇	g	u	3		
倌	見	合	一	寒	平	見	山	g	un	1		
鸛	見	合	一	寒	去	見	山	g	un	3		
聒	見	合	一	寒	入	見	山	g	ut	7		
記	見	開	三	之	去	見	止	g	i	3		
寄	見	開	三	支B	去	見	止	g	i	3		
莢	見	開	四	添	入	見	咸	g	op	8		
頰	見	開	四	添	入	見	咸	g	op	8		
緘	見	開	二	咸	平	見	咸	g	om	1		
瞼	見	開	三	鹽B	上	見	咸	g	im	2		
蛟	見	開	二	肴	平	見	效	g	ou	1		
皎	見	開	四	蕭	上	見	效	g	iu	2		
誡	見	開	二	皆	去	見	蟹	g	oi	3		
槿	見	開	三	欣	上	見	臻	g	an	2		
涇	見	開	四	青	平	見	梗	g	ing	1		
兢	見	開	三	蒸	平	見	曾	g	ing	1		
兢	見	開	三	蒸	平	見	曾	g	yng	1	因受冷而顫抖	
憬	見	合	三	庚	上	見	梗	g	ing	2		
逕	見	開	四	青	去	見	梗	g	ing	3		
咎	見	開	一	豪	平	見	效	g	au	3		
莒	見	開	三	魚	上	見	遇	g	yu	2		
櫸	見	開	三	魚	上	見	遇	g	yu	2		
据	見	開	三	魚	平	見	遇	g	yu	1	拮~	
蕨	見	合	三	元	入	見	山	g	yut	7		
橛	見	合	三	元	入	見	臻	g	yut	7		
伯	幫	開	二	庚	入	幫	梗	bb	aa	2		1
偕	見	開	二	皆	平	見	蟹	g	oi	1		
頡	見	開	二	山	入	見	山	g	it	7		
覬	見	開	三	脂B	去	見	止	g	i	3		
校	見	開	二	肴	去	見	效	g	ou	3	~正	1
睾	見	開	一	豪	平	見	效	g	eou	1		
繼	見	開	四	脂A	去	見	止	g	i	3		
鉻	見	開	二	陌	入	見	梗	g	ok	8		
鯝	見	開	一	模	去	見	遇	g	u	2		
鋦	見	開	三	燭	入	見	通	g	uk	9		
鹼	見	開	二	咸	上	見	咸	g	im	2		
夠	見	開	一	侯	平	見	流	g	au	3		
拘								g	yu	1	~束	
亟	見	開	三	蒸	入	見	曾	g	ik	7		
鈷	見	開	一	模	上	見	遇	g	u	2		
減	見	開	二	咸	上	見	咸	g	om	2		1
欠	溪	開	三	嚴	去	見	咸	j	im	3		1
戈	見	合	一	歌	平	見	果	gw	eo	1		
繃	幫	開	二	耕	平	幫	梗	bb	aa	3		
骨	見	合	一	魂	入	見	臻	gw	at	7		
瓜	見	合	二	麻	平	見	假	gw	o	1		
刮	見	合	二	刪	入	見	山	gw	ot	8		
刮	見	合	二	刪	入	見	山	gw	et	8	白讀	
寡	見	合	二	麻	上	見	假	gw	o	2		
卦	見	合	二	佳	去	見	蟹	gw	o	3		
掛	見	合	二	佳	去	見	蟹	gw	o	3	文讀：~榜	
掛	見	合	三	佳	去	見	蟹	gw	ak	7	白讀：~衫	
褂	見	合	二	佳	去	見	蟹	gw	o	3		
乖	見	合	二	皆	平	見	蟹	gw	oi	1		
枴	見	合	二	佳	上	見	蟹	gw	oi	2		
怪	見	合	二	皆	去	見	蟹	gw	oi	3		
關	見	合	二	刪	平	見	山	gw	on	1		
貫	見	合	一	寒	去	見	山	gw	on	3	見《玉林市志》	0
慣	見	合	二	刪	去	見	山	gw	on	3		
光	見	合	一	唐	平	見	宕	gw	ong	1		
胱	見	合	一	唐	平	見	宕	gw	ong	1		
廣	見	合	一	唐	上	見	宕	gw	ong	2		
逛	見	合	三	陽	上	見	宕	gw	ong	6		
逛	見	合	三	陽	上	見	宕	gw	ing	6		
瑰	見	合	一	灰	平	影	蟹	gw	ai	3		
閨	見	合	四	齊	平	見	蟹	gw	ai	1		
鮭	見	合	四	齊	平	見	蟹	gw	ai	1		
桂	見	合	四	齊	去	見	蟹	gw	ai	3		
鱖	見	合	三	祭B	去	見	蟹	gw	ai	3		
傀	見	合	一	灰	上	見	蟹	gw	ai	1	木~戲	
檜	見	合	一	泰	去	見	蟹	kw	ai	3		
膾	見	合	一	泰	去	見	蟹	kw	ai	3		
傀	溪	合	一	灰	上	見	蟹	gw	ai	2		
睽	溪	合	四	齊	平	見	蟹	gw	ai	4		
盔	溪	合	一	灰	平	見	蟹	kw	ai	1	新派讀音	
桅	疑	合	一	灰	平	見	蟹	ng	ai	4		
嵬	疑	合	一	灰	平	見	蟹	ng	ai	4		
滾	見	合	一	魂	上	見	臻	gw	an	2		
鍋	見	合	一	歌	平	見	果	gw	eo	1		
國	見	合	一	登	入	見	曾	gw	ok	8		
果	見	合	一	歌	上	見	果	gw	eo	2		
裹	見	合	一	歌	上	見	果	gw	eo	2		
粿	見	合	一	歌	上	見	果	gw	eo	2		
過	見	合	一	歌	去	見	果	gw	eo	3		
匯	匣	合	一	灰	上	影	蟹	w	ai	6		
橘	見	合	三	真A	入	見	臻	gw	at	7		
均	見	合	三	真A	平	見	臻	gw	an	1		
君	見	合	三	文	平	見	臻	gw	an	1		
軍	見	合	三	文	平	見	臻	gw	an	1		
鈞	見	合	三	真A	平	見	臻	gw	an	1		
喙	曉	合	三	廢	去	影	蟹	w	ai	3		
屈	見	合	三	物	入	見	臻	gw	at	9	白讀	
獷	見	合	三	陽	上	見	宕	gw	ong	2		
會	匣	合	一	泰	去	影	蟹	w	ai	6		1
炯	見	合	四	青	上	見	梗	gw	ing	2		1
酵	見	開	二	肴	去	見	效	h	ou	1		
驍	見	開	四	蕭	平	見	效	h	iu	1		
吃	見	開	三	欣	入	見	臻	k	et	8	擬笑聲	
吃								h	ik	7	食用，本字爲「喫」	
丐	見	開	一	泰	去	見	蟹	k	oi	3		
溉	見	開	一	咍	去	見	蟹	k	oi	3		
概	見	開	一	咍	去	見	蟹	k	oi	3		
弓	見	開	三	東	平	見	通	k	ung	1	量詞：一~蕉|一~葡萄	
畸	見	開	三	支B	平	見	止	g	i	1		
磯	見	開	三	微	平	見	止	g	i	1		
雇	見	開	一	模	去	見	遇	g	u	3		
灌	見	合	一	寒	去	見	山	k	un	3	見1959年字表	
稽	見	開	四	齊	平	見	蟹	k	ai	1		
駐	知	合	三	虞	去	知	遇	z	yu	3		
轉	知	合	三	仙B	上	知	山	z	yun	2		
轉	知	合	三	仙B	去	知	山	z	yun	3		
樁	知	開	二	江	平	知	江	z	ong	1		
悴	從	合	三	脂A	去	精	止	sl	ui	3		
粹	心	合	三	脂A	去	精	止	sl	ui	3		
綴	知	合	三	仙B	入	知	山	z	yut	7	拘束；牽制	
桌	知	開	二	江	入	知	江	z	ok	8		
茁	知	合	三	真B	入	知	臻	z	yut	7		
卓	知	開	二	江	入	知	江	z	ok	8		
吒	知	開	二	麻	去	知	假	z	o	3		
輒	知	開	三	鹽B	入	知	咸	z	ip	7		
楨	知	開	三	清B	平	知	梗	z	ing	1		
禎	知	開	三	清B	平	知	梗	z	ing	1		
啁	知	開	二	肴	平	知	效	z	iu	1		
抓	莊	開	二	肴	平	莊	效	z	o	1		
迸	幫	開	二	耕	去	幫	梗	bb	aa	3		
扎	莊	開	二	山	入	莊	山	z	ot	8		
紮	莊	開	二	山	入	莊	山	z	ot	8		
渣	莊	開	二	麻	平	莊	假	z	o	1		
札	莊	開	二	山	入	莊	山	z	ot	8		
診	章	開	三	真A	上	章	臻	c	an	2		1
拯	章	開	三	蒸	上	章	曾	c	ing	2		
展	知	開	三	仙B	上	知	山	c	in	2	又讀	
拍	滂	開	二	庚	入	幫	梗	p	aa	2		
滑	匣	合	二	山	入	見	山	w	ot	10		
壞	匣	合	二	皆	去	見	蟹	w	oi	6		
活	匣	合	一	寒	入	見	山	w	ot	10		
級	見	開	三	侵B	入	見	深	k	ap	7	異讀	
烹	滂	開	三	庚	平	幫	梗	p	aa	1		
暨	見	開	三	微	去	見	止	g	i	3		
珀	滂	開	二	庚	入	幫	梗	p	aa	2		
白	並	開	二	庚	入	幫	梗	b	aa	6		
帛	並	開	二	庚	入	幫	梗	b	aa	6		1
襟	見	開	三	侵B	平	見	深	k	am	1	又讀。~章：佩帶於胸口，用於識别身份､職位等的徽章	
禁	見	開	三	侵B	平	見	深	k	am	1	耐用	
拘	見	合	三	虞	平	見	遇	k	yu	1	~捕	
訣	見	合	四	先	入	見	山	k	yut	7		
柯	見	開	一	歌	平	見	果	k	eo	1		
抉	見	合	四	先	入	見	山	k	yut	7		
繪	匣	合	一	泰	去	影	蟹	w	ai	6		
郭	見	合	一	唐	入	見	宕	kw	ok	8		
潰	匣	合	一	灰	去	影	蟹	gw	ai	6		1
畦	匣	合	四	齊	平	影	蟹	gw	ai	4		
礦	見	合	二	庚	上	見	梗	kw	ong	3		
攜	匣	合	四	齊	平	影	蟹	gw	ai	4		1
昆	見	合	一	魂	平	見	臻	kw	an	1		
括	見	合	一	寒	入	見	山	kw	ot	8	又讀	
划	見	合	一	歌	去	見	果	kw	o	3	胡寫亂畫	1
勾	見	開	一	侯	平	見	流	ng	au	1		
鉤	見	開	一	侯	平	見	流	ng	au	1	鉤子	
澆	見	開	四	蕭	平	見	效	nj	iu	4		1
咬	見	開	二	肴	平	見	效	nj	ou	5		
媧	見	合	二	佳	平	見	蟹	w	eo	1		
蝸	見	合	二	佳	平	見	蟹	w	eo	1		
恍	見	合	一	唐	平	見	宕	w	ong	2		
今	見	開	三	侵B	平	見	深	z	am	1		
鳩	見	開	三	尤	平	見	流	g	au	1	buk7~：班鳩	
鳩	見	開	三	尤	平	見	流	z	au	1	白~江：地名，在新墟鎮	
給	見	開	三	侵B	入	見	深	z	ap	7		
汲	見	開	三	侵B	入	見	深	z	ap	7		
眨	莊	開	二	咸	入	莊	咸	z	op	8		
急	見	開	三	侵B	入	見	深	z	ap	7		
詐	莊	開	二	麻	去	莊	假	z	o	3	騙	
級	見	開	三	侵B	入	見	深	z	ap	7		
彭	並	開	二	庚	平	幫	梗	b	aa	4		
棚	並	開	二	庚	平	幫	梗	b	aa	4		
金	見	開	三	侵B	平	見	深	z	am	1		
筋	見	開	三	欣	平	見	臻	z	an	1		
錦	見	開	三	侵B	上	見	深	z	am	2		
膨	並	開	二	庚	平	幫	梗	b	aa	4		
謹	見	開	三	欣	上	見	臻	z	an	2		
犬	溪	合	四	先	上	見	山	j	yun	2		
禁	見	開	三	侵B	平	見	深	z	am	3		
究	見	開	三	尤	去	見	流	z	au	3		
糾	見	開	三	幽	上	見	流	z	au	2		
勸	溪	合	三	元	去	見	山	j	yun	3		
還	匣	合	二	刪	平	影	山	w	on	4		1
翹	群	開	三	宵A	平	見	效	h	eu	1		
缺	溪	合	四	先	入	見	山	j	yut	7	見1959年字表	0
騫	溪	開	三	仙B	平	見	山	j	in	1		
譴	溪	開	三	仙A	去	見	山	j	in	2		0
縴	溪	開	四	先	平	見	山	j	in	1		
雖	心	合	三	脂A	平	精	止	sl	ui	1		
箍	見	開	一	模	平	見	遇	k	u	1		
枯	溪	開	一	模	平	見	遇	w	u	1	白讀	
苦	溪	開	一	模	上	見	遇	w	u	2	白讀	
庫	溪	開	一	模	去	見	遇	w	u	3		
寬	溪	合	一	寒	平	見	山	w	un	1		
款	溪	合	一	寒	上	見	山	w	un	2		
髓	心	合	三	支A	上	精	止	sl	ui	2		
祟	心	合	三	脂A	去	精	止	sl	ui	3		
闊	溪	合	一	寒	入	見	山	w	ut	7		
愜	溪	開	四	添	入	見	咸	j	ip	7		
糗	溪	開	三	尤	上	見	流	c	au	2		
跤	溪	開	二	肴	平	見	效	g	ou	1		
褲	溪	開	一	模	去	見	遇	w	u	3		
姬	見	開	三	之	平	見	止	g	i	1		
耳	日	開	三	之	上	日	止	nj	i	5		
券	溪	合	三	元	去	見	山	g	yun	3		
澎	並	開	二	庚	平	幫	梗	b	aa	4		
穹	溪	開	三	東	平	見	通	g	ung	4		
衛	云	合	三	祭B	去	影	蟹	w	ai	6		
括	溪	合	一	末	入	見	山	gw	ot	8		
僅	群	開	三	真B	去	見	臻	k	an	2		
穢	影	合	三	廢	去	影	蟹	w	ai	3		1
開	溪	開	一	咍	平	見	蟹	h	oi	1		
凱	溪	開	一	咍	上	見	蟹	h	oi	2		
刊	溪	開	一	寒	平	見	山	h	on	1		
勘	溪	開	一	覃	去	見	咸	h	om	2		
堪	溪	開	一	覃	平	見	咸	h	om	1		
堪	溪	開	一	覃	平	見	咸	h	am	1		
龕	溪	開	一	覃	平	見	咸	h	om	1		
坎	溪	開	一	覃	上	見	咸	h	om	2		
坎	溪	開	一	覃	上	見	咸	h	am	1	~坷	
砍	溪	開	一	勘	上	見	咸	h	om	2		
看	溪	開	一	寒	平	見	山	h	on	1	~管	
看	溪	開	一	寒	去	見	山	h	on	3	~見	
康	溪	開	一	唐	平	見	宕	h	ong	1		
慷	溪	開	一	唐	上	見	宕	h	ong	1		
考	溪	開	一	豪	上	見	效	h	ou	2		
拷	溪	開	一	豪	上	見	效	k	au	3		
烤	溪	開	二	豪	上	見	效	h	ou	1	本字或爲「灱」	
可	溪	開	一	歌	上	見	果	h	eo	2		
渴	溪	開	一	寒	入	見	山	h	ot	8		
克	溪	開	一	登	入	見	曾	h	ak	7		
刻	溪	開	一	登	入	見	曾	h	ak	7		
佰	明	開	二	庚	入	幫	梗	bb	aa	2		1
肯	溪	開	一	登	上	見	曾	h	ang	2		
墾	溪	開	一	痕	上	見	臻	h	an	2		
懇	溪	開	一	痕	上	見	臻	h	an	2		
陌	明	開	二	庚	入	幫	梗	bb	aa	2		1
空	溪	開	一	東	平	見	通	h	ung	1	天~|~曠	
空	溪	開	一	東	去	見	通	h	ung	3	~白|~格	
孔	溪	開	一	東	上	見	通	h	ung	2		
恐	溪	開	三	鍾	上	見	通	h	ung	2		
控	溪	開	一	東	去	見	通	h	ung	3	遙~器	0
口	溪	開	一	侯	上	見	流	h	au	2		
哭	溪	開	一	東	入	見	通	h	uk	7		
睏	溪	合	一	魂	去	見	臻	h	an	3		
翹	群	開	三	宵A	平	見	效	k	iu	1	銀~：中藥	
翹								k	eu	2	~蓮：一種本地特色小喫。將麵團搓成細條，再盘成三葉扭結狀（若花瓣，有的或再加外圈），油炸至金黄酥脆。其名俗寫作「~蓮」，“翹”在此說不通，可能與「絞」有關（取其盘結纏繞之義）	
絞								k	eu	2		
二	日	開	三	脂A	去	日	止	nj	i	6		
乞	溪	開	三	欣	入	見	臻	h	at	7		
冀	見	開	三	脂B	去	見	止	k	i	3		
企	溪	開	三	支A	上	見	止	g	i	5		
杞	溪	開	三	之	上	見	止	g	i	2		
欺	溪	開	三	之	平	見	止	h	i	1		
九	見	開	三	尤	上	見	流	z	au	2		
久	見	開	三	尤	上	見	流	z	au	2		
玖	見	開	三	尤	上	見	流	z	au	2		
灸	見	開	三	尤	上	見	流	z	au	2		
撿	來	開	三	鹽A	上	來	咸	g	im	2		1
圈	群	合	三	元	上	見	山	k	yun	1		
脈	明	開	二	耕	入	幫	梗	m	aa	6		
蜷	群	合	三	仙B	平	見	山	k	yun	2		
起	溪	開	三	之	上	見	止	h	i	2		
豈	溪	開	三	微	上	見	止	h	i	2		
汽	溪	開	三	未	去	見	止	h	i	3		
掐	溪	開	二	咸	入	見	咸	h	op	8	常用作量詞。如：一~青菜。	
恰	溪	開	二	咸	入	見	咸	h	op	8		
敲	溪	開	二	肴	平	見	效	h	ou	1		
巧	溪	開	二	肴	上	見	效	h	ou	2		
殼	溪	開	二	江	入	見	江	h	ak	7		
嗨	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h	ai	3		
卿	溪	開	三	庚	平	見	梗	h	ing	1		
輕	溪	開	三	清A	平	見	梗	h	ing	1		
慶	溪	開	三	庚	去	見	梗	h	ing	3		
去	溪	開	三	魚	上	見	遇	h	yu	3		
墟	溪	開	三	魚	平	見	遇	h	yu	1		
欽	溪	開	三	侵B	平	見	深	h	am	1		
崁	溪	開	二	銜	平	見	咸	h	am	3		
侃	溪	開	一	寒	上	見	山	h	on	2		
瞰	溪	開	一	談	去	見	咸	h	om	3		
瞌	溪	開	一	寒	入	見	山	h	op	8	打~浪	
坷	溪	開	一	歌	上	見	果	h	eo	1		
憩	溪	開	三	祭B	去	見	蟹	h	ai	3		
灸	見	開	三	尤	上	見	流	z	au	3	又讀	
罄	溪	開	四	青	去	見	梗	h	ing	3		
氣	溪	開	三	微	去	見	止	h	i	3		
攷	溪	開	一	豪	上	見	效	h	ou	2		
嵌	溪	開	二	銜	平	見	咸	j	am	3		1
丘	溪	開	三	尤	平	見	流	j	au	1		
邱	溪	開	三	尤	平	見	流	j	au	1		
蚯	溪	開	三	尤	平	見	流	j	au	1		
麥	明	開	二	耕	入	幫	梗	m	aa	6		
