	符號說明：-白，=文
kʰ	[1]襟欽卿[2]琴禽擒[3]□{勤快}
ŋ	[2]吟
∅	[1]音陰蔭[2]淫[3]飲{～酒，米湯}[6]壬任{姓，責～}紝
#em	
t	[6]踸{跺}
ts	[1]砧
s	[1]森參{人～}[3]省{～長，節～，反～}擤
∅	[1]揞{手覆}[2]□{抱頭低下}
#iam	
p	[6]貶
t	[1]扂{安靜；經常}[3]掂點店[6]簟{蓆}
tʰ	[1]添[2]甜[6]舔
n	[1]拈[2]粘{～米，～貼}鮎[6]染念
l	[2]廉簾鐮[3]臉斂殮
ts	[1]尖[3]蘸{～醬油}
tsʰ	[1]簽籤纖殲[6]暫鏨{～花}漸
k	[1]兼[3]檢劍
kʰ	[1]謙[2]嵌鉗[3]欠檻{門檻}[6]儉
ŋ	[1]冉[2]岩嚴釅[3]儼{～然}
h	[2]嫌[3]險
∅	[1]淹閹醃[2]鹽簷□{拋灑}[3]掩厭[6]炎豔焰
#uam	
f	[2]凡帆[6]範範犯
#an	
p	[1]班斑頒般搬[3]扮扳板版半粄{米粉食品}
pʰ	[1]攀潘伴藩番{～禺}[2]盤蟠[3]拌絆叛販胖[6]盼瓣辦判
m	[1]滿[2]蠻閩[3]㿸{體垢}[6]慢謾漫幔鰻饅{～頭}瞞
f	[1]歡翻番{幾～}[2]桓完還{～原，～有}環煩繁[3]反[6]喚煥換飯=
v	[1]彎灣晚[2]剜[3]萬碗娩豌宛穩挽腕皖蔓{瓜～}苑
t	[1]丹單[3]誕[6]旦但蛋
tʰ	[1]灘攤[2]檀壇彈{～琴，子～}[3]炭歎[6]坦毯
n	[2]難{～易}[6]爛難{～患}
l	[1]瀾{口水}[2]蘭攔欄
ts	[3]盞棧
tsʰ	[1]殘[3]贊鏟[6]燦
s	[1]山珊刪疝{～氣}[3]傘產散{分～}
k	[1]艱[3]柬
kʰ	[1]刊[3]犬
ŋ	[3]岸眼
h	[2]閑[6]限莧{～菜}
#in	
p	[1]彬繽檳{～榔}殯兵鬢[2]懣[3]稟丙=秉並併{合～}[6]□{掙脫}
pʰ	[1]浜拼[2]貧頻平=評屏萍蘋[3]品迸{～裂}聘姘{～頭}
m	[2]民鳴明眠茗洺[6]命{文，～令}
t	[3]綻鎮
tʰ	[2]亭廷庭蜓[3]挺[6]定
n	[6]吝{～嗇}
l	[2]憐鄰燐楞麟磷鱗陵淩菱靈[3]膦{搗蛋鬼}凜[6]令賃藺
ts	[1]津榛臻精晶睛{眼～}青=蜻{～蜓}[3]進[6]晉靖
tsʰ	[1]親親{～家}清菁[2]秦情[6]盡靜䝼{～受}
s	[1]辛新薪[3]信訊性
tʃ	[1]珍真診疹征{～求}征{～途}貞蒸[3]振震拯{～救}證症整正政
tʃʰ	[2]陳塵臣澄懲橙蟶偵[3]稱{相～}秤{一杆～}[6]陣呈
ʃ	[41]身申伸升娠[2]神辰晨繩承丞成誠[3]乘勝{～任，～敗}聖[6]腎剩盛{興～}
