	本誌	趙氏	手冊	省誌	概況	資料
tsʰɛ1	攙摻					
tsʰɛ3	產鏟剷					
tsʰɛ5	燦懺					
dʑɛ2	殘慚潺讒饞					
dʑɛ4	賺巉					
dʑɛ6	濺灒					
sɛ1	三山舢衫珊刪汕疝					
sɛ3	散					
sɛ5	散繖傘					
kɛ1	尷間（白 房~）艱奸監緘					
kɛ3	橄襇簡揀減鹻					
kɛ5	澗					
kʰɛ1	鉛					
kʰɛ3	檻					
kʰɛ5	艦嵌					
ŋɛ2	癌銜（~頭)巖顏					
ŋɛ4	眼（小孔）					
ŋɛ6	眼雁					
hɛ5	喊					
ɦɛ2	鹹閑銜					
ɦɛ6	限陷					
ʔɛ1	還（口 虛字）					
ʔɛ5	淹					
kuɛ1	關鰥					
kuɛ3	瞡					
kuɛ5	慣					
ɡuɛ2	環鬟					
ɡuɛ4	□（捶打 摔打）					
ɡuɛ6	摜					
huɛ5	揮？（揮動 拋開）					
ɦuɛ2	還頑玩？					
ʔuɛ1	宦灣彎					
ʔuɛ3	患挽					
ʔuɛ5	晚					
pe1	稗(~官野史)杯卑碑悲貝狽輩彼					
pe5	背褙					
pʰe1	坯(又)胚丕					
pʰe3	□（砸 用鐵耙~碎）					
pʰe5	配					
be2	培陪賠裴					
be4	擺？					
be6	倍焙蓓背（~書）備痱佩珮					
me1	每美					
me2	枚玫眉文嵋郿楣梅莓媒黴煤					
me6	昧妹寐魅袂					
te1	嬯（~子) 堆䫂					
te3	碓？					
te5	戴（姓)對					
tʰe1	胎推					
tʰe3	腿					
tʰe5	退					
de2	臺抬苔頹					
de4	待					
de6	代袋玳貸黛埭逮迨怠殆兌隊					
ne1	餒					
ne4	餒					
ne6	耐奈內					
le1	累(~贅 積~ 勞~)					
le2	來萊雷擂(~盆)					
le6	耒誄蕾儡壘類淚擂（~臺)					
tse1	災哉栽追錐					
tse3	宰崽嘴					
tse5	再載（登~)醉最綴贅					
tsʰe1	猜吹文炊揣 崔催摧推(~官牌樓)					
tsʰe3	采採睬跐					
tsʰe5	菜脃脆翠					
se1	腮鰓雖					
se3	水					
se5	銳稅賽碎歲祟					
ze2	才材財裁垂錘槌誰隨隋					
ze4	在罪					
ze6	粹悴瘁萃蕊瑞 遂隧穗墜睡					
ke1	該賅					
ke3	改					
ke5	丐鈣蓋溉概					
kʰe1	開凱					
kʰe5	慨					
ɡe2	獃？					
ɡe4	欬？					
ɡe6	戤隑					
ŋe2	獃（~板）					
ŋe6	艾礙					
he1						
he3	海					
ɦe2	孩					
ɦe6	亥害					
ʔe1	埃哀藹靄					
ʔe5	愛隘					
kue1	規歸瑰龜軌晷					
kue3	鬼詭					
kue5	圭珪矽閨桂劊貴鱖會(~計)儈					
kʰue1	恢盔窺虧奎魁傀					
kʰue5	塊愧					
ɡue2	葵揆夔逵					
ɡue6	跪櫃繪匱憒潰聵饋					
hue1	灰恢（又）詼徽揮輝暉					
hue3	悔毀					
hue5	麾卉誨晦燴賄					
ɦue2	回茴蛔危桅韋違幃圍巍為（~人)					
ɦue4	喂（嘆詞)					
ɦue6	惠蕙彗慧匯會（~議）諱偽偉葦緯為（~了）胃渭衛位魏					
ʔue1	威崴萎（衰落）煨					
ʔue3	委諉萎（~縮)					
ʔue5	會（~不~）穢畏餧尉蔚慰					
pʊ1	搬般（又）					
pʊ5	半					
pʰʊ1	潘					
pʰʊ5	判					
bʊ2	盤蟠					
bʊ4	拌					
bʊ6	伴叛畔藩？（匿也 ~野貓）					
mʊ2	瞞饅鰻					
mʊ4	滿					
tʊ1	端					
tʊ3	短					
tʊ5	鍛斷（決~）籪碫					
tʰʊ1	貪湍					
tʰʊ5	探					
dʊ2	潭曇壇（酒~）團					
dʊ4	斷（~送）					
dʊ6	段緞					
nʊ2	囡南喃楠男					
nʊ4	煗暖					
lʊ2	婪嵐欒灤臠圉鸞鑾					
lʊ4	卵					
lʊ6	亂					
tsʊ1	簪鑽（~研)					
tsʊ5	鑽（~石)					
tsʰʊ1	餐參攛躥					
tsʰʊ3	慘					
tsʰʊ5	竄篡					
sʊ1	酸羶					
sʊ3	陝					
sʊ5	算蒜					
zʊ2	蠶然燃					
tʂʊ1	占沾粘詹瞻氈專磚					
tʂʊ3	展輾轉（~眼）囀					
tʂʊ5	戰占轉（~圈)					
tʂʰʊ1	川穿喘					
tʂʰʊ3	闡					
tʂʰʊ5	穿					
