来源：	郭贞彦 2010《山西文水裴会村话语音研究》；原作者提供字表数据，Hynuza 整理
ɕ	［1］心寻辛新薪欣馨形型刑星=腥=行［3］醒省［5］信衅幸性姓杏=
Ø	［1］吟音阴淫因姻殷匀营萤英迎鹦樱赢=婴樱盈蝇=［3］饮寅引隐尹颖影=［5］窨印映=
#yẽ	
tɕ	［1］均君军穷-［3］菌迥［5］郡粽
tɕʰ	［1］群裙穷=琼［3］窘
ɕ	［1］荀旬循巡殉熏雄熊胸兄［5］逊迅训
Ø	［1］云融雍拥容蓉庸荣晕［3］允勇永泳［5］运韵熨用
#aŋ	
p	［1］班斑颁扳般［3］板版扁［5］扮瓣
pʰ	［1］攀潘［5］盼襻判叛
m	［1］蛮［5］慢漫
t	［1］耽担丹单担［3］胆［5］淡诞旦但弹蛋
tʰ	［1］贪潭谭谈痰摊滩檀坛弹［3］毯坦［5］探炭叹
n	［1］南男难
l	［1］漤蓝篮兰拦栏［3］览揽缆懒［5］滥烂
k	［1］甘柑尴干肝［3］感敢橄
kʰ	［1］堪勘刊［3］坎
ŋ	［1］庵淹安［5］暗岸按案
x	［1］含函憨咸-衔寒韩还［3］罕［5］撼憾汉翰焊
tʂ	［3］展=［5］占=
tʂʰ	［1］缠=
ʂ	［5］善=
ʐ	［3］然燃
ts	［1］簪瞻［3］斩盏攒［5］暂錾站蘸赞绽栈战
tsʰ	［1］参蚕惭谗馋搀蟾餐残蝉禅［3］惨铲产［5］灿
s	［1］三杉衫珊散山删［3］陕伞疝［5］散扇=单
#iaŋ	
p	［1］边=编=［3］蝙匾［5］辨遍=变=便=
pʰ	［1］偏=［3］片=［5］骗
m	［1］眠=棉=绵=［3］免=勉娩缅［5］面=
t	［1］掂颠=［3］典［5］电殿=
tʰ	［1］天=甜=田=填=
ȵ	［1］颜年=［3］眼［5］念=
l	［1］廉连=联怜［5］练
tɕ	［1］监歼兼艰间奸煎笺肩坚煎=［3］减检俭简柬拣剪=［5］鉴舰渐涧谏践键建健荐箭=件=见=
tɕʰ	［1］签谦迁=钱=千=前=牵铅［3］潜遣浅=［5］嵌歉
ɕ	［1］咸=嫌仙=鲜=掀先=贤［3］险显=［5］陷馅限羡宪=献=现=
Ø	［1］炎严言研［3］演［5］验焰艳厌雁谚燕砚=堰=
#uaŋ	
t	［1］端=［3］短=［5］锻段=
tʰ	［1］团=
n	［3］暖=
l	［1］峦［3］卵［5］乱=
k	［1］棺=官观关［3］馆管［5］灌=贯惯罐=
kʰ	［1］宽=［3］款=
x	［1］凡帆欢还环翻番烦繁［3］缓反［5］范犯泛焕唤-换-幻患宦饭
tʂ	［1］专［3］转=［5］篆传
tʂʰ	［1］传穿=船=［3］喘=［5］窜=串=
ʂ	［1］拴霜孀酸=［3］爽［5］涮算-
ts	［1］钻-
Ø	［1］玩顽弯湾完-［3］晚挽宛碗-腕-［5］万蔓
#yaŋ	
tɕ	［1］捐［3］卷=［5］眷卷=
tɕʰ	［1］全=泉权圈=拳=［3］犬［5］券劝=
ɕ	［1］轩宣旋=喧玄悬［3］选［5］眩
Ø	［1］员缘元原=源冤袁园援渊圆=［3］远=［5］愿怨=院=
#əŋ	
p	［1］奔盆崩［3］本［5］笨迸=
pʰ	［1］喷朋蓬蜂棚=烹彭膨［3］捧［5］碰
m	［1］门闷蒙盟萌虻=［3］懵猛=［5］梦孟
