字	源	拼	IPA		覈校：到格拉夫
檘	客英字典	pin2	pʰin2		
簈	客英字典	pin2	pʰin2		
蘋	客英字典	pin2	pʰin2		
攴	客英字典	pug7	pʰuk7		
攴	客英字典	pog7	pʰok7		
坡	客英字典	bi1	pi1		
坡	客英字典	bo1	po1		
泊	客英字典	pog7	pʰok7		
潑	客英字典	pad7	pʰat7		
醱	客英字典	pad7	pʰat7		
鏺	客英字典	pad7	pʰat7		
婆	客英字典	po2	pʰo2		
蔢	客英字典	po2	pʰo2		
鄱	客英字典	po2	pʰo2		
謈	客英字典	pau2	pʰau2		
皤	客英字典	po2	pʰo2		
叵	客英字典	po3	pʰo3		
尀	客英字典	po3	pʰo3		
笸	客英字典	bo1	po1		
廹	客英字典	bed7	pet7		
迫	客英字典	bed7	pet7		
珀	客英字典	pag7	pʰak7		
珀	客英字典	ped7	pʰet7		
破	客英字典	po5	pʰo5		
粕	客英字典	pog7	pʰok7		
魄	客英字典	pag7	pʰak7		
頗	客英字典	po3	pʰo3		
桲	客英字典	pud8	pʰut8		
剖	客英字典	piau3	pʰiau3		
剖	客英字典	peu1	pʰeu1		
頮	客英字典	fui5	fui5		
抔	客英字典	bui1	pui1		
抔	客英字典	piau1	pʰiau1		
抙	客英字典	feu2	feu2		
抙	客英字典	piau2	pʰiau2		
捊	客英字典	feu2	feu2		
捊	客英字典	piau2	pʰiau2		
掊	客英字典	pui2	pʰui2		
掊	客英字典	piau1	pʰiau1		
掊	客英字典	feu2	feu2		
掊	客英字典	peu3	pʰeu3		
裒	客英字典	piau1	pʰiau1		
裒	客英字典	feu2	feu2		
咅	客英字典	teu5	tʰeu5		
仆	客英字典	pug8	pʰuk8		
痡	客英字典	pu2	pʰu2		
痡	客英字典	pu1	pʰu1		
痡	客英字典	pu3	pʰu3		
撲	客英字典	pog7	pʰok7		
撲	客英字典	pug7	pʰuk7		
鋪	客英字典	pu5	pʰu5		
鋪	客英字典	pu1	pʰu1		
擈	客英字典	pog7	pʰok7		
擈	客英字典	pug7	pʰuk7		
鯆	客英字典	pu2	pʰu2		
鯆	客英字典	pu1	pʰu1		
匍	客英字典	pu2	pʰu2		
莆	客英字典	pu2	pʰu2		
菩	客英字典	pu2	pʰu2		
脯	客英字典	pu3	pʰu3		
葡	客英字典	pu2	pʰu2		
蒱	客英字典	pu2	pʰu2		
蒲	客英字典	pu2	pʰu2		
酺	客英字典	pu2	pʰu2		
僕	客英字典	pug8	pʰuk8		
墣	客英字典	pog7	pʰok7		
璞	客英字典	pog7	pʰok7		
瞨	客英字典	pug8	pʰuk8		
濮	客英字典	pug8	pʰuk8		
鏷	客英字典	pug8	pʰuk8		
朴	客英字典	pog7	pʰok7		
埔	客英字典	bu1	pu1		
圃	客英字典	pu3	pʰu3		
浦	客英字典	pu3	pʰu3		
烳	客英字典	pu2	pʰu2		
普	客英字典	pu1	pʰu1		
普	客英字典	pu3	pʰu3		
溥	客英字典	pu3	pʰu3		
暜	客英字典	pu1	pʰu1		
暜	客英字典	pu3	pʰu3		
樸	客英字典	pog7	pʰok7		
樸	客英字典	pug7	pʰuk7		
氆	客英字典	pu3	pʰu3		
檏	客英字典	pog7	pʰok7		
檏	客英字典	pug7	pʰuk7		
蹼	客英字典	bug7	puk7		
譜	客英字典	pu3	pʰu3		
舖	客英字典	pu5	pʰu5		
瀑	客英字典	pau5	pʰau5		
曝	客英字典	pog7	pʰok7		
七	客英字典	cid7	tsʰit7		
沏	客英字典	cied7	tsʰiet7		
妻	客英字典	ci1	tsʰi1		
柒	客英字典	cid7	tsʰit7		
郪	客英字典	ci1	tsʰi1		
凄	客英字典	ci1	tsʰi1		
萋	客英字典	ci1	tsʰi1		
桼	客英字典	cid7	tsʰit7		
戚	客英字典	cid7	tsʰit7		
淒	客英字典	ci1	tsʰi1		
悽	客英字典	ci1	tsʰi1		
娸	客英字典	ki2	kʰi2		
期	客英字典	ki2	kʰi2		
欺	客英字典	ki1	kʰi1		
棲	客英字典	ci1	tsʰi1		
榿	客英字典	ki1	kʰi1		
嘁	客英字典	zab7	tsap7		
僛	客英字典	ki1	kʰi1		
漆	客英字典	cid7	tsʰit7		
慽	客英字典	cid7	tsʰit7		
緀	客英字典	ci1	tsʰi1		
慼	客英字典	cid7	tsʰit7		
霋	客英字典	ci1	tsʰi1		
蹊	客英字典	hi1	hi1		
蹊	客英字典	kai1	kʰai1		
魌	客英字典	ki2	kʰi2		
鏚	客英字典	cid7	tsʰit7		
亓	客英字典	ki2	kʰi2		
祁	客英字典	ki2	kʰi2		
圻	客英字典	ki2	kʰi2		
芪	客英字典	ki2	kʰi2		
岐	客英字典	ki1	kʰi1		
庈	客英字典	kim1	kʰim1		
忯	客英字典	ki2	kʰi2		
其	客英字典	ki2	kʰi2		
奇	客英字典	ki2	kʰi2		
歧	客英字典	ki1	kʰi1		
肵	客英字典	ki2	kʰi2		
祈	客英字典	ki2	kʰi2		
祇	客英字典	di3	ti3		
祇	客英字典	ki2	kʰi2		
亝	客英字典	zai1	tsai1		
荎	客英字典	zhi5	tʃi5		
俟	客英字典	sii5	sɿ5		
竒	客英字典	ki2	kʰi2		
耆	客英字典	ki2	kʰi2		
蚑	客英字典	ki2	kʰi2		
蚚	客英字典	ki2	kʰi2		
旂	客英字典	ki2	kʰi2		
萁	客英字典	ki2	kʰi2		
萁	客英字典	gi1	ki1		
軝	客英字典	ki2	kʰi2		
畦	客英字典	hi1	hi1		
畦	客英字典	kui1	kʰui1		
跂	客英字典	ki1	kʰi1		
跂	客英字典	ki3	kʰi3		
崎	客英字典	ki1	kʰi1		
崎	客英字典	ki2	kʰi2		
淇	客英字典	ki2	kʰi2		
琪	客英字典	ki2	kʰi2		
琦	客英字典	ki2	kʰi2		
棊	客英字典	ki2	kʰi2		
棋	客英字典	ki2	kʰi2		
祺	客英字典	ki2	kʰi2		
碁	客英字典	ki2	kʰi2		
碕	客英字典	ki2	kʰi2		
頎	客英字典	ki2	kʰi2		
綦	客英字典	ki2	kʰi2		
蜞	客英字典	ki2	kʰi2		
齊	客英字典	ce2	tsʰe2		
齊	客英字典	zai1	tsai1		
齊	客英字典	ci2	tsʰi2		
旗	客英字典	ki2	kʰi2		
粸	客英字典	ki2	kʰi2		
璂	客英字典	ki2	kʰi2		
踑	客英字典	ki2	kʰi2		
藄	客英字典	ki2	kʰi2		
懠	客英字典	zi5	tsi5		
騏	客英字典	ki2	kʰi2		
騎	客英字典	ki2	kʰi2		
騎	客英字典	i3	i3		
櫀	客英字典	ki2	kʰi2		
檱	客英字典	ki2	kʰi2		
臍	客英字典	ci2	tsʰi2		
蘄	客英字典	ki2	kʰi2		
鶀	客英字典	ki2	kʰi2		
麒	客英字典	ki2	kʰi2		
鬐	客英字典	ki2	kʰi2		
蠐	客英字典	ci2	tsʰi2		
艩	客英字典	ci2	tsʰi2		
魕	客英字典	gi1	ki1		
魕	客英字典	ki5	kʰi5		
鰭	客英字典	ki2	kʰi2		
乞	客英字典	ked7	kʰet7		
乞	客英字典	kied7	kʰiet7		
邔	客英字典	ki3	kʰi3		
芑	客英字典	hi3	hi3		
屺	客英字典	ki3	kʰi3		
屺	客英字典	hi3	hi3		
屺	客英字典	gi5	ki5		
企	客英字典	ki1	kʰi1		
玘	客英字典	hi3	hi3		
玘	客英字典	gi3	ki3		
起	客英字典	hi3	hi3		
起	客英字典	ki3	kʰi3		
豈	客英字典	ki3	kʰi3		
啟	客英字典	ki3	kʰi3		
啓	客英字典	ki3	kʰi3		
棨	客英字典	ki3	kʰi3		
晵	客英字典	ki3	kʰi3		
綮	客英字典	ki3	kʰi3		
綺	客英字典	i3	i3		
气	客英字典	hi5	hi5		
迄	客英字典	hid7	hit7		
迄	客英字典	ngied7	ŋiet7		
汔	客英字典	hid7	hit7		
汔	客英字典	ngied7	ŋiet7		
芞	客英字典	ked7	kʰet7		
芞	客英字典	kied7	kʰiet7		
弃	客英字典	hi5	hi5		
汽	客英字典	ki5	kʰi5		
炁	客英字典	hi5	hi5		
盵	客英字典	hi5	hi5		
泣	客英字典	kib7	kʰip7		
泣	客英字典	hib7	hip7		
契	客英字典	ke5	kʰe5		
契	客英字典	gied7	kiet7		
砌	客英字典	ci5	tsʰi5		
咠	客英字典	sib8	sip8		
咠	客英字典	cib8	tsʰip8		
栔	客英字典	ke5	kʰe5		
栔	客英字典	gied7	kiet7		
氣	客英字典	hi5	hi5		
訖	客英字典	ngied7	ŋiet7		
葺	客英字典	sib8	sip8		
葺	客英字典	cib8	tsʰip8		
棄	客英字典	hi5	hi5		
湆	客英字典	kib7	kʰip7		
愒	客英字典	ki5	kʰi5		
甈	客英字典	ngi5	ŋi5		
甈	客英字典	hi5	hi5		
槭	客英字典	cug7	tsʰuk7		
噐	客英字典	hi5	hi5		
噐	客英字典	ki5	kʰi5		
憇	客英字典	ki5	kʰi5		
憇	客英字典	hi5	hi5		
磧	客英字典	zid7	tsit7		
磧	客英字典	zag7	tsak7		
器	客英字典	hi5	hi5		
器	客英字典	ki5	kʰi5		
薺	客英字典	ci2	tsʰi2		
薺	客英字典	zi3	tsi3		
罊	客英字典	ke5	kʰe5		
掐	客英字典	kab7	kʰap7		
葜	客英字典	gied7	kiet7		
葜	客英字典	kad7	kʰat7		
愘	客英字典	ka5	kʰa5		
跒	客英字典	ka5	kʰa5		
跒	客英字典	ka3	kʰa3		
帢	客英字典	kab7	kʰap7		
洽	客英字典	giab7	kiap7		
恰	客英字典	kab7	kʰap7		
硈	客英字典	kad7	kʰat7		
髂	客英字典	ka5	kʰa5		
千	客英字典	cien1	tsʰien1		
仟	客英字典	cien1	tsʰien1		
阡	客英字典	cien1	tsʰien1		
扦	客英字典	cien1	tsʰien1		
芊	客英字典	cien1	tsʰien1		
蚈	客英字典	ken1	kʰen1		
谸	客英字典	cien1	tsʰien1		
牽	客英字典	ken1	kʰen1		
牽	客英字典	kien1	kʰien1		
掔	客英字典	ken1	kʰen1		
鈆	客英字典	ien2	ien2		
愆	客英字典	ken1	kʰen1		
愆	客英字典	kien1	kʰien1		
鉛	客英字典	ien2	ien2		
僉	客英字典	ciam1	tsʰiam1		
摼	客英字典	gen1	ken1		
摼	客英字典	ken1	kʰen1		
撁	客英字典	ken1	kʰen1		
撁	客英字典	kien1	kʰien1		
慳	客英字典	gen1	ken1		
慳	客英字典	han1	han1		
慳	客英字典	gien1	kien1		
搴	客英字典	ken1	kʰen1		
遷	客英字典	cien1	tsʰien1		
褰	客英字典	kien1	kʰien1		
謙	客英字典	kiam1	kʰiam1		
攐	客英字典	ken1	kʰen1		
簽	客英字典	ciam1	tsʰiam1		
鵮	客英字典	kam1	kʰam1		
鶼	客英字典	giam1	kiam1		
籤	客英字典	ciam1	tsʰiam1		
韆	客英字典	cien1	tsʰien1		
拑	客英字典	kiam2	kʰiam2		
前	客英字典	cien2	tsʰien2		
虔	客英字典	ken2	kʰen2		
虔	客英字典	kien2	kʰien2		
乾	客英字典	ken2	kʰen2		
乾	客英字典	gon1	kon1		
乾	客英字典	kien2	kʰien2		
朁	客英字典	cam3	tsʰam3		
鈐	客英字典	kiam2	kʰiam2		
媊	客英字典	cien2	tsʰien2		
鉗	客英字典	kiam2	kʰiam2		
墘	客英字典	ken2	kʰen2		
箝	客英字典	kiam2	kʰiam2		
蕁	客英字典	tam2	tʰam2		
羬	客英字典	ham2	ham2		
潛	客英字典	siam2	siam2		
黔	客英字典	kiam2	kʰiam2		
錢	客英字典	cien2	tsʰien2		
灊	客英字典	siam2	siam2		
灊	客英字典	cim2	tsʰim2		
凵	客英字典	kam3	kʰam3		
肷	客英字典	hid7	hit7		
肷	客英字典	fud7	fut7		
淺	客英字典	cien3	tsʰien3		
遣	客英字典	ken3	kʰen3		
遣	客英字典	kien3	kʰien3		
繾	客英字典	ken3	kʰen3		
繾	客英字典	kien5	kʰien5		
譴	客英字典	ken3	kʰen3		
譴	客英字典	kien5	kʰien5		
欠	客英字典	kiam5	kʰiam5		
刋	客英字典	kien5	kʰien5		
芡	客英字典	kiam5	kʰiam5		
茜	客英字典	cien5	tsʰien5		
茜	客英字典	cin5	tsʰin5		
倩	客英字典	cien5	tsʰien5		
悓	客英字典	hien5	hien5		
嵌	客英字典	kiam2	kʰiam2		
嵌	客英字典	kam5	kʰam5		
嵌	客英字典	kam1	kʰam1		
蒨	客英字典	cien5	tsʰien5		
慊	客英字典	kiab7	kʰiap7		
塹	客英字典	ciam5	tsʰiam5		
歉	客英字典	kiab7	kʰiap7		
輤	客英字典	cien5	tsʰien5		
槧	客英字典	ciam5	tsʰiam5		
縴	客英字典	kien1	kʰien1		
鰜	客英字典	giam1	kiam1		
羌	客英字典	giong1	kioŋ1		
戕	客英字典	cong2	tsʰoŋ2		
斨	客英字典	cong2	tsʰoŋ2		
羗	客英字典	iu3	iu3		
羗	客英字典	giong1	kioŋ1		
啌	客英字典	kiong1	kʰioŋ1		
椌	客英字典	kiong1	kʰioŋ1		
腔	客英字典	kiong1	kʰioŋ1		
蜣	客英字典	giong1	kioŋ1		
瑲	客英字典	cong1	tsʰoŋ1		
槍	客英字典	ciong1	tsʰioŋ1		
戧	客英字典	cong3	tsʰoŋ3		
戧	客英字典	cong1	tsʰoŋ1		
牄	客英字典	cong1	tsʰoŋ1		
謒	客英字典	ciong1	tsʰioŋ1		
蹡	客英字典	ziong1	tsioŋ1		
蹡	客英字典	cong1	tsʰoŋ1		
鎗	客英字典	ciong1	tsʰioŋ1		
鏘	客英字典	ciong1	tsʰioŋ1		
强	客英字典	kiong2	kʰioŋ2		
强	客英字典	giong3	kioŋ3		
墻	客英字典	siong2	sioŋ2		
墻	客英字典	ciong2	tsʰioŋ2		
薔	客英字典	siong2	sioŋ2		
廧	客英字典	siong2	sioŋ2		
廧	客英字典	ciong2	tsʰioŋ2		
嬙	客英字典	siong2	sioŋ2		
檣	客英字典	siong2	sioŋ2		
牆	客英字典	siong2	sioŋ2		
牆	客英字典	ciong2	tsʰioŋ2		
艢	客英字典	siong2	sioŋ2		
蘠	客英字典	siong2	sioŋ2		
蘠	客英字典	ciong2	tsʰioŋ2		
搶	客英字典	ciong3	tsʰioŋ3		
搶	客英字典	cong5	tsʰoŋ5		
勥	客英字典	giong3	kioŋ3		
襁	客英字典	giong3	kioŋ3		
繈	客英字典	giong3	kioŋ3		
鏹	客英字典	giong3	kioŋ3		
唴	客英字典	giong1	kioŋ1		
唴	客英字典	giong3	kioŋ3		
嗆	客英字典	cong1	tsʰoŋ1		
蹌	客英字典	cong1	tsʰoŋ1		
悄	客英字典	ciau3	tsʰiau3		
劁	客英字典	ziau1	tsiau1		
劁	客英字典	ziau5	tsiau5		
敲	客英字典	kau1	kʰau1		
毃	客英字典	kog7	kʰok7		
墝	客英字典	kau1	kʰau1		
墝	客英字典	ngiau2	ŋiau2		
橇	客英字典	kiau1	kʰiau1		
幧	客英字典	ciau1	tsʰiau1		
幧	客英字典	cau1	tsʰau1		
磽	客英字典	kau1	kʰau1		
磽	客英字典	ngiau2	ŋiau2		
鍫	客英字典	ciau1	tsʰiau1		
蹺	客英字典	kiau1	kʰiau1		
蹻	客英字典	kiau1	kʰiau1		
荍	客英字典	kiau1	kʰiau1		
喬	客英字典	kiau2	kʰiau2		
鄡	客英字典	kiau1	kʰiau1		
僑	客英字典	kiau2	kʰiau2		
蕎	客英字典	kiau2	kʰiau2		
嶠	客英字典	kiau2	kʰiau2		
嶠	客英字典	kiau5	kʰiau5		
憔	客英字典	ziau1	tsiau1		
橋	客英字典	kiau2	kʰiau2		
樵	客英字典	ziau1	tsiau1		
瞧	客英字典	ziau1	tsiau1		
癄	客英字典	ziau1	tsiau1		
趫	客英字典	kiau2	kʰiau2		
譙	客英字典	ziau1	tsiau1		
鞽	客英字典	kiau1	kʰiau1		
顦	客英字典	ziau1	tsiau1		
巧	客英字典	kau3	kʰau3		
愀	客英字典	ciau3	tsʰiau3		
俏	客英字典	ciau5	tsʰiau5		
俏	客英字典	siau5	siau5		
陗	客英字典	ciau5	tsʰiau5		
峭	客英字典	ciau5	tsʰiau5		
殼	客英字典	hog7	hok7		
殼	客英字典	kog7	kʰok7		
誚	客英字典	ciau3	tsʰiau3		
誚	客英字典	ciau5	tsʰiau5		
撬	客英字典	kiau5	kʰiau5		
撬	客英字典	ge3	ke3		
撬	客英字典	kiau3	kʰiau3		
撽	客英字典	kau5	kʰau5		
撽	客英字典	gid7	kit7		
鞘	客英字典	siau5	siau5		
韒	客英字典	siau5	siau5		
翹	客英字典	kiau2	kʰiau2		
竅	客英字典	kiau5	kʰiau5		
茄	客英字典	ga1	ka1		
茄	客英字典	kio2	kʰio2		
且	客英字典	cia3	tsʰia3		
切	客英字典	cied8	tsʰiet8		
郄	客英字典	hid7	hit7		
郄	客英字典	kiog7	kʰiok7		
妾	客英字典	ciab7	tsʰiap7		
怯	客英字典	hiab7	hiap7		
怯	客英字典	kiab7	kʰiap7		
怯	客英字典	kiog7	kʰiok7		
匧	客英字典	giab7	kiap7		
洯	客英字典	ged7	ket7		
洯	客英字典	gied7	kiet7		
挈	客英字典	ged7	ket7		
挈	客英字典	gied7	kiet7		
挈	客英字典	ke5	kʰe5		
倢	客英字典	ciab8	tsʰiap8		
愜	客英字典	giab7	kiap7		
朅	客英字典	ged7	ket7		
朅	客英字典	gied7	kiet7		
朅	客英字典	kied7	kʰiet7		
篋	客英字典	giab7	kiap7		
藒	客英字典	ged7	ket7		
藒	客英字典	gied7	kiet7		
鍥	客英字典	ked7	kʰet7		
鍥	客英字典	kied7	kʰiet7		
竊	客英字典	ciab7	tsʰiap7		
侵	客英字典	cim1	tsʰim1		
衾	客英字典	kim1	kʰim1		
媇	客英字典	cin1	tsʰin1		
綅	客英字典	cim1	tsʰim1		
嶔	客英字典	kim1	kʰim1		
駸	客英字典	cim1	tsʰim1		
芹	客英字典	kiun2	kʰiun2		
芩	客英字典	kim2	kʰim2		
秦	客英字典	cin2	tsʰin2		
捦	客英字典	kim2	kʰim2		
琴	客英字典	kim2	kʰim2		
禽	客英字典	kim2	kʰim2		
勤	客英字典	kiun2	kʰiun2		
溱	客英字典	zin1	tsin1		
慬	客英字典	kiun2	kʰiun2		
擒	客英字典	kim2	kʰim2		
噙	客英字典	kim2	kʰim2		
檎	客英字典	kim2	kʰim2		
螓	客英字典	cin2	tsʰin2		
懄	客英字典	kiun2	kʰiun2		
懃	客英字典	kiun2	kʰiun2		
坅	客英字典	kim3	kʰim3		
梫	客英字典	cam1	tsʰam1		
梫	客英字典	cim1	tsʰim1		
寢	客英字典	cim3	tsʰim3		
鋟	客英字典	cim1	tsʰim1		
鋟	客英字典	ciam1	tsʰiam1		
吣	客英字典	sim3	sim3		
沁	客英字典	sim1	sim1		
沁	客英字典	sim5	sim5		
沁	客英字典	cim5	tsʰim5		
唚	客英字典	cim3	tsʰim3		
搇	客英字典	kim5	kʰim5		
靑	客英字典	ciang1	tsʰiaŋ1		
卿	客英字典	kin1	kʰin1		
圊	客英字典	cin1	tsʰin1		
淸	客英字典	cin1	tsʰin1		
傾	客英字典	kin1	kʰin1		
傾	客英字典	ken1	kʰen1		
輕	客英字典	kiang1	kʰiaŋ1		
蜻	客英字典	ciang1	tsʰiaŋ1		
蜻	客英字典	zin1	tsin1		
蜻	客英字典	cin1	tsʰin1		
綪	客英字典	cien5	tsʰien5		
綪	客英字典	zen1	tsen1		
漀	客英字典	kin5	kʰin5		
鶄	客英字典	zin1	tsin1		
鯖	客英字典	zhin1	tʃin1		
鯖	客英字典	ciang1	tsʰiaŋ1		
勍	客英字典	gin1	kin1		
情	客英字典	cin2	tsʰin2		
晴	客英字典	ciang2	tsʰiaŋ2		
檠	客英字典	kiang2	kʰiaŋ2		
擎	客英字典	kiang2	kʰiaŋ2		
黥	客英字典	gin1	kin1		
苘	客英字典	kuen3	kʰuen3		
頃	客英字典	kin3	kʰin3		
頃	客英字典	ken3	kʰen3		
請	客英字典	ciang3	tsʰiaŋ3		
謦	客英字典	kin5	kʰin5		
謦	客英字典	kin3	kʰin3		
檾	客英字典	ken3	kʰen3		
檾	客英字典	kuen3	kʰuen3		
凊	客英字典	cin5	tsʰin5		
靘	客英字典	cin5	tsʰin5		
箐	客英字典	zin1	tsin1		
慶	客英字典	kin1	kʰin1		
慶	客英字典	kin5	kʰin5		
慶	客英字典	ken1	kʰen1		
磬	客英字典	kin5	kʰin5		
親	客英字典	cin1	tsʰin1		
罄	客英字典	kin1	kʰin1		
罄	客英字典	kin5	kʰin5		
卭	客英字典	ngong1	ŋoŋ1		
邛	客英字典	kiung2	kʰiuŋ2		
宆	客英字典	giung1	kiuŋ1		
穹	客英字典	giung1	kiuŋ1		
桏	客英字典	kiung2	kʰiuŋ2		
筇	客英字典	kiung2	kʰiuŋ2		
蛩	客英字典	kiung2	kʰiuŋ2		
蛬	客英字典	giung3	kiuŋ3		
蛬	客英字典	kiung2	kʰiuŋ2		
惸	客英字典	kiun2	kʰiun2		
跫	客英字典	kiung2	kʰiuŋ2		
睘	客英字典	kiun2	kʰiun2		
睘	客英字典	sien1	sien1		
煢	客英字典	kiun2	kʰiun2		
銎	客英字典	kiung2	kʰiuŋ2		
窮	客英字典	kiung2	kʰiuŋ2		
瓊	客英字典	kiun2	kʰiun2		
藭	客英字典	kiung2	kʰiuŋ2		
竆	客英字典	kiung2	kʰiuŋ2		
丘	客英字典	hiu1	hiu1		
丘	客英字典	kiu1	kʰiu1		
邱	客英字典	hiu1	hiu1		
坵	客英字典	hiu1	hiu1		
坵	客英字典	kiu1	kʰiu1		
秋	客英字典	ciu1	tsʰiu1		
蚯	客英字典	hiu1	hiu1		
萩	客英字典	ciu1	tsʰiu1		
楸	客英字典	ciu1	tsʰiu1		
緧	客英字典	ciu2	tsʰiu2		
鞦	客英字典	ciu1	tsʰiu1		
鶖	客英字典	ciu1	tsʰiu1		
鰍	客英字典	ciu1	tsʰiu1		
鰌	客英字典	ciu1	tsʰiu1		
龝	客英字典	ciu1	tsʰiu1		
厹	客英字典	kiu2	kʰiu2		
囚	客英字典	siu2	siu2		
叴	客英字典	kiu2	kʰiu2		
朹	客英字典	kiu2	kʰiu2		
求	客英字典	kiu2	kʰiu2		
虬	客英字典	kiu2	kʰiu2		
虯	客英字典	kiu2	kʰiu2		
泅	客英字典	ciu2	tsʰiu2		
泅	客英字典	siu2	siu2		
俅	客英字典	kiu2	kʰiu2		
訄	客英字典	kiu2	kʰiu2		
訄	客英字典	kiu1	kʰiu1		
酋	客英字典	siu2	siu2		
酋	客英字典	iu2	iu2		
莍	客英字典	kiu2	kʰiu2		
逑	客英字典	kiu2	kʰiu2		
球	客英字典	kiu2	kʰiu2		
梂	客英字典	kiu2	kʰiu2		
毬	客英字典	kiu2	kʰiu2		
盚	客英字典	kiu2	kʰiu2		
遒	客英字典	ciu2	tsʰiu2		
遒	客英字典	siu2	siu2		
裘	客英字典	kiu2	kʰiu2		
蛷	客英字典	kiu2	kʰiu2		
煪	客英字典	ciu2	tsʰiu2		
絿	客英字典	kiu2	kʰiu2		
賕	客英字典	kiu2	kʰiu2		
觩	客英字典	kiu2	kʰiu2		
璆	客英字典	kiu2	kʰiu2		
蝤	客英字典	ciu2	tsʰiu2		
蝤	客英字典	siu2	siu2		
蝤	客英字典	iu2	iu2		
銶	客英字典	kiu2	kʰiu2		
鼽	客英字典	kiu2	kʰiu2		
鮂	客英字典	siu2	siu2		
鮂	客英字典	ciu2	tsʰiu2		
鰽	客英字典	siu2	siu2		
糗	客英字典	chiu5	tʃʰiu5		
曲	客英字典	kiug7	kʰiuk7		
佉	客英字典	ki1	kʰi1		
阹	客英字典	ki1	kʰi1		
抾	客英字典	ki1	kʰi1		
岨	客英字典	zii3	tsɿ3		
岴	客英字典	ki1	kʰi1		
屈	客英字典	kiud7	kʰiut7		
胠	客英字典	ki1	kʰi1		
祛	客英字典	ki1	kʰi1		
袪	客英字典	ki1	kʰi1		
區	客英字典	ki1	kʰi1		
蛆	客英字典	zii1	tsɿ1		
蛐	客英字典	kiug7	kʰiuk7		
筁	客英字典	kiug7	kʰiuk7		
詘	客英字典	kiud7	kʰiut7		
嶇	客英字典	ki1	kʰi1		
敺	客英字典	ki1	kʰi1		
魼	客英字典	ki1	kʰi1		
趨	客英字典	ci1	tsʰi1		
麯	客英字典	kiug7	kʰiuk7		
軀	客英字典	ki1	kʰi1		
麴	客英字典	kiug7	kʰiuk7		
驅	客英字典	ki1	kʰi1		
佢	客英字典	gi2	ki2		
佢	客英字典	ki2	kʰi2		
劬	客英字典	ki1	kʰi1		
劬	客英字典	gi1	ki1		
胊	客英字典	ki1	kʰi1		
渠	客英字典	ki2	kʰi2		
翑	客英字典	gi3	ki3		
絇	客英字典	gi1	ki1		
絇	客英字典	ki1	kʰi1		
軥	客英字典	geu1	keu1		
軥	客英字典	ki1	kʰi1		
蕖	客英字典	ki2	kʰi2		
磲	客英字典	ki2	kʰi2		
鴝	客英字典	ki1	kʰi1		
璩	客英字典	ki2	kʰi2		
瞿	客英字典	ki3	kʰi3		
瞿	客英字典	ki2	kʰi2		
蘧	客英字典	ki2	kʰi2		
蘧	客英字典	gi2	ki2		
欋	客英字典	ki1	kʰi1		
氍	客英字典	ki1	kʰi1		
籧	客英字典	ki2	kʰi2		
籧	客英字典	gi2	ki2		
臞	客英字典	ki1	kʰi1		
臞	客英字典	ki3	kʰi3		
癯	客英字典	ki1	kʰi1		
癯	客英字典	ki3	kʰi3		
衢	客英字典	ki1	kʰi1		
鸜	客英字典	ki1	kʰi1		
取	客英字典	ci3	tsʰi3		
娶	客英字典	ci3	tsʰi3		
齲	客英字典	gi3	ki3		
去	客英字典	hi5	hi5		
去	客英字典	ki5	kʰi5		
呿	客英字典	ki1	kʰi1		
呿	客英字典	kiab7	kʰiap7		
呿	客英字典	hi1	hi1		
趣	客英字典	ci5	tsʰi5		
趣	客英字典	ce5	tsʰe5		
闃	客英字典	ked7	kʰet7		
闃	客英字典	ngied7	ŋiet7		
闃	客英字典	kied7	kʰiet7		
闃	客英字典	hid7	hit7		
覰	客英字典	ci5	tsʰi5		
悛	客英字典	cien2	tsʰien2		
悛	客英字典	zun1	tsun1		
圈	客英字典	ken1	kʰen1		
圈	客英字典	ken5	kʰen5		
棬	客英字典	ken1	kʰen1		
棬	客英字典	kien5	kʰien5		
圏	客英字典	ken1	kʰen1		
圏	客英字典	ken5	kʰen5		
騡	客英字典	liug8	liuk8		
全	客英字典	cien2	tsʰien2		
佺	客英字典	cien2	tsʰien2		
荃	客英字典	cien2	tsʰien2		
泉	客英字典	can2	tsʰan2		
洤	客英字典	can2	tsʰan2		
牷	客英字典	cien2	tsʰien2		
拳	客英字典	ken2	kʰen2		
拳	客英字典	kien2	kʰien2		
埢	客英字典	gen3	ken3		
埢	客英字典	gen5	ken5		
痊	客英字典	cien2	tsʰien2		
惓	客英字典	ken2	kʰen2		
惓	客英字典	gen3	ken3		
惓	客英字典	ken3	kʰen3		
筌	客英字典	cien2	tsʰien2		
搼	客英字典	ken2	kʰen2		
搼	客英字典	kien2	kʰien2		
輇	客英字典	cien2	tsʰien2		
輇	客英字典	zien1	tsien1		
跧	客英字典	cien2	tsʰien2		
跧	客英字典	zien1	tsien1		
詮	客英字典	cien2	tsʰien2		
詮	客英字典	zien1	tsien1		
蜷	客英字典	ken2	kʰen2		
銓	客英字典	cien2	tsʰien2		
踡	客英字典	ken2	kʰen2		
縓	客英字典	ngien2	ŋien2		
縓	客英字典	con1	tsʰon1		
鬈	客英字典	ken2	kʰen2		
權	客英字典	ken2	kʰen2		
權	客英字典	kien2	kʰien2		
顴	客英字典	ken2	kʰen2		
犬	客英字典	ken3	kʰen3		
甽	客英字典	kien3	kʰien3		
畎	客英字典	ken3	kʰen3		
綣	客英字典	gen3	ken3		
