#备注：《湖南通道本地话》 彭建国							
#调值	[1]45 [2]13 [3]33 [4]11 [5]44 [6]22						
#符号说明：&西官借词							
#ɿ							
m	[2]蛮{白，~裆裤：死裆裤}瞒[6]蔓漫{涝}						
ʋ	[2]横{~牛：蛮不讲理}						
t	[6]□{动~牯：马蜂的一种}						
n	[5]□{后加成分，饱背~的：非常饱}						
l	[4]冷						
ts	[1]争						
tsʰ	[1]撑[5]衬						
s	[1]生{又，~锈}牲□漂洗						
k	[1]更{五~}庚[5]间{跳房~：跳房子，儿童的一种游戏}						
kʰ	[1]坑						
ŋ	[6]硬						
ħ	[2]行{走}						
#uen							
k	[3]管{白，~子}梗秆						
#iaŋ							
p	[5]□{前加成分，表程度高：~苦的}						
t	[1]掂[5]□{回头}						
l	[1]□{~~的：想要而得不到}□{前加成分，表程度高：~稀的}[2]粮梁凉量{思~：思考}粱[4]两[6]亮						
tɕ	[1]江{文：~湖}浆{文，夹~：夹生}将{麻~}[3]讲蒋奖桨[5]浆{~糊}酱[6]匠犟像{白，好~}						
ɕ	[1]香箱乡相{~料}伤湘厢[2]墙尝常{经~}降{投~}[3]想响赏享[5]向相{~貌}像{文，照~}[6]上尚橡象{~棋}						
Ø	[1]秧鸯央[2]阳羊洋仰杨扬[4]养痒[6]样让{又}						
#oŋ							
p	[1]绷□{~loŋ⁴⁵仔：猕猴桃}[2]朋棚篷湓{溢出}蓬						
pʰ	[3]捧[5]碰						
m	[2]蒙[4]猛懵[6]梦孟						
t	[1]冬东种{又，芒~}[2]同铜桐筒童茼[3]董懂[5]冻栋[6]动峒{山谷}洞侗						
tʰ	[1]通[3]统捅桶□{挪}[5]痛						
n	[2]农脓[5]□{软、烂}[6]弄						
l	[1]聋□{poŋ⁴⁵~子：猕猴桃}[2]龙{文，~船}笼{蒸~}咙隆[4]栊						
ts	[1]宗棕综鬃终{送~}[2]从丛[3]总[5]粽纵						
tsʰ	[1]葱聪匆[3]□{用力往前推}						
