						到格拉夫覈校，2022年3月更新
轡	客法辭典	bi5	pi5			
噴	客法辭典	pun1	pʰun1			
噴	客法辭典	pun5	pʰun5			
濆	客法辭典	fun2	fun2			
瓫	客法辭典	pun2	pʰun2			
盆	客法辭典	pun2	pʰun2			
湓	客法辭典	pun1	pʰun1			
湓	客法辭典	pun2	pʰun2			
湓	客法辭典	pud8	pʰut8			
呠	客法辭典	pun5	pʰun5			
抨	客法辭典	bin3	pin3			
怦	客法辭典	pin2	pʰin2			
砰	客法辭典	pin2	pʰin2			
烹	客法辭典	pen1	pʰen1			
漰	客法辭典	pen2	pʰen2			
漰	客法辭典	bang2	paŋ2			
芃	客法辭典	pung3	pʰuŋ3			
朋	客法辭典	pen2	pʰen2			
朋	客法辭典	pung2	pʰuŋ2			
倗	客法辭典	pen2	pʰen2			
堋	客法辭典	pang5	pʰaŋ5			
淜	客法辭典	pen2	pʰen2			
淜	客法辭典	bang2	paŋ2			
弸	客法辭典	pen2	pʰen2			
彭	客法辭典	pang5	pʰaŋ5			
棚	客法辭典	pang2	pʰaŋ2			
塳	客法辭典	pung2	pʰuŋ2			
蓬	客法辭典	pung2	pʰuŋ2			
硼	客法辭典	pen2	pʰen2			
輣	客法辭典	pen2	pʰen2			
澎	客法辭典	pang2	pʰaŋ2			
篷	客法辭典	pung2	pʰuŋ2			
膨	客法辭典	pang2	pʰaŋ2			
韸	客法辭典	pung2	pʰuŋ2			
鬅	客法辭典	pen2	pʰen2			
蟚	客法辭典	pang2	pʰaŋ2			
鵬	客法辭典	pen2	pʰen2			
捧	客法辭典	bung3	puŋ3			
掽	客法辭典	pang5	pʰaŋ5			
碰	客法辭典	pong1	pʰoŋ1			
丕	客法辭典	pi1	pʰi1			
批	客法辭典	pi1	pʰi1			
坯	客法辭典	pi1	pʰi1			
坯	客法辭典	poi1	pʰoi1			
抷	客法辭典	piau1	pʰiau1			
披	客法辭典	pi1	pʰi1			
狉	客法辭典	pi1	pʰi1			
砒	客法辭典	pai1	pʰai1			
秠	客法辭典	pi1	pʰi1			
秛	客法辭典	pi1	pʰi1			
紕	客法辭典	pi1	pʰi1			
旇	客法辭典	pi1	pʰi1			
翍	客法辭典	pi1	pʰi1			
豾	客法辭典	pi1	pʰi1			
鉟	客法辭典	pi1	pʰi1			
駓	客法辭典	pi1	pʰi1			
磇	客法辭典	pai1	pʰai1			
劈	客法辭典	piag7	pʰiak7			
劈	客法辭典	bid7	pit7			
劈	客法辭典	tiab8	tʰiap8			
霹	客法辭典	pid7	pʰit7			
皮	客法辭典	pi2	pʰi2			
皮	客法辭典	pi5	pʰi5			
枇	客法辭典	pi2	pʰi2			
肶	客法辭典	pi2	pʰi2			
毗	客法辭典	pi2	pʰi2			
毘	客法辭典	pi2	pʰi2			
蚍	客法辭典	pi2	pʰi2			
笓	客法辭典	bin1	pin1			
笓	客法辭典	bi5	pi5			
疲	客法辭典	pi2	pʰi2			
陴	客法辭典	bi1	pi1			
埤	客法辭典	bi1	pi1			
崥	客法辭典	pi2	pʰi2			
豼	客法辭典	pi1	pʰi1			
琵	客法辭典	pi2	pʰi2			
脾	客法辭典	pi2	pʰi2			
脾	客法辭典	bi1	pi1			
鈹	客法辭典	pi1	pʰi1			
蜱	客法辭典	bi1	pi1			
膍	客法辭典	pi2	pʰi2			
隦	客法辭典	bi1	pi1			
貔	客法辭典	pi1	pʰi1			
羆	客法辭典	pi2	pʰi2			
鼙	客法辭典	bi1	pi1			
鼙	客法辭典	pi2	pʰi2			
匹	客法辭典	pid7	pʰit7			
庀	客法辭典	pi3	pʰi3			
圮	客法辭典	gi3	ki3			
圮	客法辭典	pi3	pʰi3			
痞	客法辭典	pi1	pʰi1			
鴄	客法辭典	pid7	pʰit7			
擗	客法辭典	mag7	mak7			
擗	客法辭典	bag7	pak7			
噽	客法辭典	pi3	pʰi3			
癖	客法辭典	pid7	pʰit7			
嚭	客法辭典	pi3	pʰi3			
屁	客法辭典	pi5	pʰi5			
淠	客法辭典	pi5	pʰi5			
睤	客法辭典	pi5	pʰi5			
睥	客法辭典	pi5	pʰi5			
辟	客法辭典	pid7	pʰit7			
媲	客法辭典	pi5	pʰi5			
潎	客法辭典	bi5	pi5			
澼	客法辭典	pid7	pʰit7			
甓	客法辭典	piag7	pʰiak7			
譬	客法辭典	pid7	pʰit7			
闢	客法辭典	pid7	pʰit7			
偏	客法辭典	pien1	pʰien1			
篇	客法辭典	pien1	pʰien1			
翩	客法辭典	pien1	pʰien1			
楩	客法辭典	pien1	pʰien1			
楄	客法辭典	pien1	pʰien1			
蹁	客法辭典	pien1	pʰien1			
騈	客法辭典	pin2	pʰin2			
諞	客法辭典	pien1	pʰien1			
片	客法辭典	pien3	pʰien3			
騙	客法辭典	pien5	pʰien5			
剽	客法辭典	piau5	pʰiau5			
彯	客法辭典	piau1	pʰiau1			
螵	客法辭典	piau1	pʰiau1			
縹	客法辭典	piau5	pʰiau5			
飄	客法辭典	piau1	pʰiau1			
嫖	客法辭典	piau2	pʰiau2			
瓢	客法辭典	piau1	pʰiau1			
薸	客法辭典	piau2	pʰiau2			
殍	客法辭典	piau3	pʰiau3			
醥	客法辭典	piau5	pʰiau5			
皫	客法辭典	piau1	pʰiau1			
票	客法辭典	biau1	piau1			
票	客法辭典	piau5	pʰiau5			
勡	客法辭典	piau5	pʰiau5			
漂	客法辭典	piau2	pʰiau2			
漂	客法辭典	piau5	pʰiau5			
漂	客法辭典	biau1	piau1			
撇	客法辭典	pied7	pʰiet7			
瞥	客法辭典	pied7	pʰiet7			
苤	客法辭典	pi1	pʰi1			
撆	客法辭典	pied7	pʰiet7			
嫳	客法辭典	pied7	pʰiet7			
拚	客法辭典	pien5	pʰien5			
拚	客法辭典	fin5	fin5			
拚	客法辭典	min5	min5			
拼	客法辭典	bin5	pin5			
拼	客法辭典	bin3	pin3			
礗	客法辭典	bin1	pin1			
貧	客法辭典	pin2	pʰin2			
頻	客法辭典	pin2	pʰin2			
嬪	客法辭典	bin1	pin1			
嚬	客法辭典	pin2	pʰin2			
蠙	客法辭典	bin1	pin1			
顰	客法辭典	pin2	pʰin2			
品	客法辭典	pin3	pʰin3			
牝	客法辭典	pin3	pʰin3			
聘	客法辭典	pin3	pʰin3			
乒	客法辭典	bid7	pit7			
乒	客法辭典	bid8	pit8			
娉	客法辭典	pin3	pʰin3			
平	客法辭典	piang2	pʰiaŋ2			
平	客法辭典	pin2	pʰin2			
坪	客法辭典	piang2	pʰiaŋ2			
苹	客法辭典	pin2	pʰin2			
泙	客法辭典	fin2	fin2			
荓	客法辭典	pin2	pʰin2			
枰	客法辭典	pin2	pʰin2			
帡	客法辭典	pin2	pʰin2			
洴	客法辭典	pin2	pʰin2			
屏	客法辭典	pin2	pʰin2			
瓶	客法辭典	pin2	pʰin2			
萍	客法辭典	pin2	pʰin2			
屛	客法辭典	pin2	pʰin2			
缾	客法辭典	pin2	pʰin2			
評	客法辭典	pin2	pʰin2			
軿	客法辭典	pen1	pʰen1			
凴	客法辭典	ben5	pen5			
輧	客法辭典	pen1	pʰen1			
憑	客法辭典	pin2	pʰin2			
檘	客法辭典	bag7	pak7			
簈	客法辭典	pin2	pʰin2			
蘋	客法辭典	pin2	pʰin2			
坡	客法辭典	bi1	pi1			
坡	客法辭典	bo1	po1			
岥	客法辭典	bo1	po1			
泊	客法辭典	pog7	pʰok7			
潑	客法辭典	pad8	pʰat8			
潑	客法辭典	biag8	piak8			
鏺	客法辭典	pad7	pʰat7			
婆	客法辭典	po2	pʰo2			
鄱	客法辭典	po2	pʰo2			
謈	客法辭典	pau2	pʰau2			
皤	客法辭典	po2	pʰo2			
叵	客法辭典	po3	pʰo3			
尀	客法辭典	po3	pʰo3			
廹	客法辭典	bid7	pit7			
廹	客法辭典	bed7	pet7			
迫	客法辭典	bid7	pit7			
迫	客法辭典	bed7	pet7			
珀	客法辭典	ped7	pʰet7			
珀	客法辭典	pag7	pʰak7			
破	客法辭典	po5	pʰo5			
粕	客法辭典	pog7	pʰok7			
魄	客法辭典	pag7	pʰak7			
頗	客法辭典	po3	pʰo3			
頗	客法辭典	po5	pʰo5			
剖	客法辭典	piau3	pʰiau3			
剖	客法辭典	peu3	pʰeu3			
頮	客法辭典	fi5	fi5			
頮	客法辭典	fui5	fui5			
抔	客法辭典	piau1	pʰiau1			
抙	客法辭典	piau1	pʰiau1			
捊	客法辭典	piau1	pʰiau1			
掊	客法辭典	piau1	pʰiau1			
裒	客法辭典	piau1	pʰiau1			
箁	客法辭典	piau1	pʰiau1			
咅	客法辭典	teu5	tʰeu5			
仆	客法辭典	pug7	pʰuk7			
痡	客法辭典	pu3	pʰu3			
痡	客法辭典	pu1	pʰu1			
撲	客法辭典	pog7	pʰok7			
鋪	客法辭典	pu1	pʰu1			
擈	客法辭典	pog7	pʰok7			
鯆	客法辭典	pu2	pʰu2			
圤	客法辭典	pog7	pʰok7			
莆	客法辭典	pu2	pʰu2			
菩	客法辭典	pu2	pʰu2			
脯	客法辭典	pu3	pʰu3			
脯	客法辭典	pu2	pʰu2			
葡	客法辭典	pu2	pʰu2			
蒱	客法辭典	pu2	pʰu2			
蒲	客法辭典	pu2	pʰu2			
酺	客法辭典	pu2	pʰu2			
僕	客法辭典	pug8	pʰuk8			
墣	客法辭典	pog7	pʰok7			
璞	客法辭典	pug8	pʰuk8			
朴	客法辭典	pog7	pʰok7			
埔	客法辭典	pu1	pʰu1			
埔	客法辭典	bu1	pu1			
圃	客法辭典	pu3	pʰu3			
浦	客法辭典	pu3	pʰu3			
烳	客法辭典	pu2	pʰu2			
普	客法辭典	pu1	pʰu1			
溥	客法辭典	pu3	pʰu3			
諩	客法辭典	pu3	pʰu3			
樸	客法辭典	pog7	pʰok7			
檏	客法辭典	pog7	pʰok7			
蹼	客法辭典	bug7	puk7			
譜	客法辭典	pu3	pʰu3			
舖	客法辭典	pu5	pʰu5			
瀑	客法辭典	pau5	pʰau5			
曝	客法辭典	pog7	pʰok7			
七	客法辭典	cid7	tsʰit7			
沏	客法辭典	cied7	tsʰiet7			
妻	客法辭典	ci1	tsʰi1			
柒	客法辭典	cid7	tsʰit7			
凄	客法辭典	ci1	tsʰi1			
萋	客法辭典	ci1	tsʰi1			
桼	客法辭典	cid7	tsʰit7			
戚	客法辭典	cid7	tsʰit7			
淒	客法辭典	ci1	tsʰi1			
悽	客法辭典	ci1	tsʰi1			
期	客法辭典	ki2	kʰi2			
欺	客法辭典	ki1	kʰi1			
棲	客法辭典	zi1	tsi1			
嘁	客法辭典	zab7	tsap7			
漆	客法辭典	cid7	tsʰit7			
慽	客法辭典	cid7	tsʰit7			
緀	客法辭典	ci1	tsʰi1			
慼	客法辭典	cid7	tsʰit7			
霋	客法辭典	ci1	tsʰi1			
蹊	客法辭典	hi2	hi2			
鏚	客法辭典	cid7	tsʰit7			
祁	客法辭典	ki2	kʰi2			
圻	客法辭典	ki2	kʰi2			
岐	客法辭典	ki1	kʰi1			
其	客法辭典	ki2	kʰi2			
奇	客法辭典	ki2	kʰi2			
祈	客法辭典	ki2	kʰi2			
俟	客法辭典	sii5	sɿ5			
竒	客法辭典	ki2	kʰi2			
耆	客法辭典	ki2	kʰi2			
蚑	客法辭典	ki2	kʰi2			
旂	客法辭典	ki2	kʰi2			
萁	客法辭典	gi1	ki1			
畦	客法辭典	hi2	hi2			
崎	客法辭典	ki1	kʰi1			
棊	客法辭典	ki2	kʰi2			
棋	客法辭典	ki2	kʰi2			
碕	客法辭典	ki2	kʰi2			
頎	客法辭典	ki2	kʰi2			
愭	客法辭典	ki2	kʰi2			
蜝	客法辭典	ki2	kʰi2			
綦	客法辭典	ki2	kʰi2			
蜞	客法辭典	ki2	kʰi2			
齊	客法辭典	ce2	tsʰe2			
齊	客法辭典	ci2	tsʰi2			
旗	客法辭典	ki2	kʰi2			
粸	客法辭典	ki2	kʰi2			
踑	客法辭典	ki2	kʰi2			
懠	客法辭典	zi5	tsi5			
騏	客法辭典	ki2	kʰi2			
騎	客法辭典	ki2	kʰi2			
臍	客法辭典	ci2	tsʰi2			
蘄	客法辭典	ki2	kʰi2			
麒	客法辭典	ki2	kʰi2			
鬐	客法辭典	ki2	kʰi2			
蠐	客法辭典	ci2	tsʰi2			
鰭	客法辭典	ki2	kʰi2			
乞	客法辭典	ked7	kʰet7			
邔	客法辭典	ki3	kʰi3			
屺	客法辭典	ki3	kʰi3			
企	客法辭典	ki1	kʰi1			
杞	客法辭典	gi3	ki3			
杞	客法辭典	ki3	kʰi3			
起	客法辭典	hi3	hi3			
豈	客法辭典	ki3	kʰi3			
啟	客法辭典	ki3	kʰi3			
啓	客法辭典	ki3	kʰi3			
棨	客法辭典	ki3	kʰi3			
綮	客法辭典	ki3	kʰi3			
迄	客法辭典	njed7	ȵet7			
迄	客法辭典	hid7	hit7			
汔	客法辭典	hid7	hit7			
汔	客法辭典	njed7	ȵet7			
弃	客法辭典	hi5	hi5			
弃	客法辭典	ki5	kʰi5			
汽	客法辭典	hi5	hi5			
炁	客法辭典	hi5	hi5			
泣	客法辭典	kib7	kʰip7			
契	客法辭典	ke3	kʰe3			
契	客法辭典	gied7	kiet7			
契	客法辭典	ke5	kʰe5			
砌	客法辭典	che5	tʃʰe5			
砌	客法辭典	zhe5	tʃe5			
砌	客法辭典	ci5	tsʰi5			
咠	客法辭典	sib8	sip8			
咠	客法辭典	cib8	tsʰip8			
氣	客法辭典	hi5	hi5			
氣	客法辭典	ki5	kʰi5			
訖	客法辭典	njed7	ȵet7			
訖	客法辭典	hid7	hit7			
葺	客法辭典	sib8	sip8			
葺	客法辭典	cib8	tsʰip8			
棄	客法辭典	hi5	hi5			
棄	客法辭典	ki5	kʰi5			
愒	客法辭典	ke5	kʰe5			
甈	客法辭典	nji5	ȵi5			
槭	客法辭典	cug7	tsʰuk7			
噐	客法辭典	hi5	hi5			
憇	客法辭典	tiam2	tʰiam2			
磧	客法辭典	zid7	tsit7			
器	客法辭典	hi5	hi5			
憩	客法辭典	ki5	kʰi5			
憩	客法辭典	ke5	kʰe5			
掐	客法辭典	kab7	kʰap7			
掐	客法辭典	kad8	kʰat8			
跒	客法辭典	ka5	kʰa5			
洽	客法辭典	giab7	kiap7			
洽	客法辭典	hab8	hap8			
恰	客法辭典	kab7	kʰap7			
髂	客法辭典	ka5	kʰa5			
千	客法辭典	cien1	tsʰien1			
仟	客法辭典	cien1	tsʰien1			
扦	客法辭典	cien1	tsʰien1			
芊	客法辭典	cien1	tsʰien1			
谸	客法辭典	cien1	tsʰien1			
牽	客法辭典	kian1	kʰian1			
牽	客法辭典	kian5	kʰian5			
掔	客法辭典	kian1	kʰian1			
鈆	客法辭典	ian2	ian2			
愆	客法辭典	kian1	kʰian1			
鉛	客法辭典	ian2	ian2			
僉	客法辭典	ciam1	tsʰiam1			
搴	客法辭典	kian1	kʰian1			
遷	客法辭典	cien1	tsʰien1			
褰	客法辭典	kian1	kʰian1			
謙	客法辭典	kiam1	kʰiam1			
簽	客法辭典	ciam1	tsʰiam1			
簽	客法辭典	ziam1	tsiam1			
簽	客法辭典	ciam5	tsʰiam5			
鵮	客法辭典	kam1	kʰam1			
籤	客法辭典	ciam1	tsʰiam1			
韆	客法辭典	cien1	tsʰien1			
拑	客法辭典	kiam2	kʰiam2			
前	客法辭典	cien2	tsʰien2			
虔	客法辭典	kian2	kʰian2			
乾	客法辭典	kian2	kʰian2			
乾	客法辭典	gon1	kon1			
鈐	客法辭典	kiam2	kʰiam2			
媊	客法辭典	cien2	tsʰien2			
鉗	客法辭典	kiam2	kʰiam2			
鉆	客法辭典	kiam2	kʰiam2			
箝	客法辭典	kiam2	kʰiam2			
蕁	客法辭典	tam2	tʰam2			
潛	客法辭典	siam2	siam2			
黔	客法辭典	kiam2	kʰiam2			
錢	客法辭典	cien2	tsʰien2			
濳	客法辭典	siam2	siam2			
淺	客法辭典	cien3	tsʰien3			
遣	客法辭典	kian3	kʰian3			
繾	客法辭典	kian3	kʰian3			
譴	客法辭典	kian3	kʰian3			
欠	客法辭典	kiam5	kʰiam5			
刋	客法辭典	kan1	kʰan1			
茜	客法辭典	cien5	tsʰien5			
倩	客法辭典	cien5	tsʰien5			
蒨	客法辭典	cien5	tsʰien5			
塹	客法辭典	ciam5	tsʰiam5			
歉	客法辭典	kiab7	kʰiap7			
輤	客法辭典	cien5	tsʰien5			
槧	客法辭典	ciam5	tsʰiam5			
壍	客法辭典	ciam5	tsʰiam5			
鰜	客法辭典	giam1	kiam1			
羌	客法辭典	giong1	kioŋ1			
戕	客法辭典	cong2	tsʰoŋ2			
椌	客法辭典	kiong1	kʰioŋ1			
腔	客法辭典	kiong1	kʰioŋ1			
蜣	客法辭典	giong1	kioŋ1			
瑲	客法辭典	cong1	tsʰoŋ1			
槍	客法辭典	ciong1	tsʰioŋ1			
謒	客法辭典	ciong1	tsʰioŋ1			
鎗	客法辭典	ciong1	tsʰioŋ1			
鏘	客法辭典	ciong1	tsʰioŋ1			
強	客法辭典	giong3	kioŋ3			
強	客法辭典	kiong2	kʰioŋ2			
强	客法辭典	giong3	kioŋ3			
强	客法辭典	kiong2	kʰioŋ2			
墻	客法辭典	siong2	sioŋ2			
薔	客法辭典	siong2	sioŋ2			
薔	客法辭典	seb7	sep7			
廧	客法辭典	siong2	sioŋ2			
嬙	客法辭典	siong2	sioŋ2			
檣	客法辭典	siong2	sioŋ2			
牆	客法辭典	siong2	sioŋ2			
艢	客法辭典	siong2	sioŋ2			
搶	客法辭典	ciong3	tsʰioŋ3			
勥	客法辭典	giong3	kioŋ3			
襁	客法辭典	giong3	kioŋ3			
繈	客法辭典	giong3	kioŋ3			
鏹	客法辭典	giong3	kioŋ3			
唴	客法辭典	giong1	kioŋ1			
嗆	客法辭典	cong1	tsʰoŋ1			
蹌	客法辭典	cong1	tsʰoŋ1			
蹌	客法辭典	ciong1	tsʰioŋ1			
劁	客法辭典	ziau1	tsiau1			
敲	客法辭典	kau5	kʰau5			
敲	客法辭典	kau1	kʰau1			
敲	客法辭典	kiau1	kʰiau1			
墝	客法辭典	niau2	niau2			
墝	客法辭典	kau1	kʰau1			
橇	客法辭典	kiau1	kʰiau1			
幧	客法辭典	ciau1	tsʰiau1			
磽	客法辭典	niau2	niau2			
磽	客法辭典	kau1	kʰau1			
鍫	客法辭典	ciau1	tsʰiau1			
鍫	客法辭典	cio1	tsʰio1			
鍬	客法辭典	ciau1	tsʰiau1			
鍬	客法辭典	cio1	tsʰio1			
蹺	客法辭典	kiau1	kʰiau1			
蹻	客法辭典	kiau1	kʰiau1			
蹻	客法辭典	kiau2	kʰiau2			
荍	客法辭典	kiau2	kʰiau2			
喬	客法辭典	kiau2	kʰiau2			
僑	客法辭典	kiau2	kʰiau2			
蕎	客法辭典	kiau2	kʰiau2			
憔	客法辭典	ziau1	tsiau1			
橋	客法辭典	kiau2	kʰiau2			
樵	客法辭典	ziau1	tsiau1			
瞧	客法辭典	ziau1	tsiau1			
趫	客法辭典	kiau2	kʰiau2			
譙	客法辭典	ziau1	tsiau1			
譙	客法辭典	ciau5	tsʰiau5			
鞽	客法辭典	kiau1	kʰiau1			
巧	客法辭典	kau3	kʰau3			
愀	客法辭典	ciau3	tsʰiau3			
俏	客法辭典	ciau5	tsʰiau5			
陗	客法辭典	ciau5	tsʰiau5			
峭	客法辭典	ciau5	tsʰiau5			
殼	客法辭典	hog7	hok7			
誚	客法辭典	ciau5	tsʰiau5			
誚	客法辭典	ziau1	tsiau1			
撬	客法辭典	ke3	kʰe3			
撬	客法辭典	kiau5	kʰiau5			
撽	客法辭典	kau5	kʰau5			
鞘	客法辭典	siau5	siau5			
韒	客法辭典	siau5	siau5			
翹	客法辭典	kiau2	kʰiau2			
翹	客法辭典	kiau3	kʰiau3			
竅	客法辭典	kiau5	kʰiau5			
茄	客法辭典	kio2	kʰio2			
且	客法辭典	cia3	tsʰia3			
切	客法辭典	cied7	tsʰiet7			
郄	客法辭典	hid7	hit7			
妾	客法辭典	ciab7	tsʰiap7			
怯	客法辭典	kiab7	kʰiap7			
挈	客法辭典	ke5	kʰe5			
倢	客法辭典	ciab8	tsʰiap8			
愜	客法辭典	kiab7	kʰiap7			
愜	客法辭典	giab7	kiap7			
愜	客法辭典	hiab7	hiap7			
朅	客法辭典	gied7	kiet7			
篋	客法辭典	kiab7	kʰiap7			
篋	客法辭典	hiab7	hiap7			
鍥	客法辭典	ked7	kʰet7			
竊	客法辭典	ciab7	tsʰiap7			
侵	客法辭典	cim1	tsʰim1			
侵	客法辭典	cim5	tsʰim5			
衾	客法辭典	kim1	kʰim1			
綅	客法辭典	cim1	tsʰim1			
誛	客法辭典	cim3	tsʰim3			
嶔	客法辭典	kim1	kʰim1			
駸	客法辭典	cim1	tsʰim1			
芹	客法辭典	kiun2	kʰiun2			
芩	客法辭典	kim2	kʰim2			
秦	客法辭典	cin2	tsʰin2			
琴	客法辭典	kim2	kʰim2			
禽	客法辭典	kim2	kʰim2			
勤	客法辭典	kin2	kʰin2			
勤	客法辭典	kiun2	kʰiun2			
溱	客法辭典	zin1	tsin1			
慬	客法辭典	kiun2	kʰiun2			
擒	客法辭典	kim2	kʰim2			
螓	客法辭典	cin2	tsʰin2			
懃	客法辭典	kiun2	kʰiun2			
寢	客法辭典	cim3	tsʰim3			
鋟	客法辭典	cim1	tsʰim1			
搇	客法辭典	kim3	kʰim3			
青	客法辭典	ciang1	tsʰiaŋ1			
靑	客法辭典	ciang1	tsʰiaŋ1			
靑	客法辭典	ciang5	tsʰiaŋ5			
卿	客法辭典	kin1	kʰin1			
圊	客法辭典	cin1	tsʰin1			
清	客法辭典	ciang1	tsʰiaŋ1			
清	客法辭典	cin1	tsʰin1			
傾	客法辭典	ken1	kʰen1			
輕	客法辭典	kiang1	kʰiaŋ1			
輕	客法辭典	kin1	kʰin1			
蜻	客法辭典	zin1	tsin1			
蜻	客法辭典	cin1	tsʰin1			
綪	客法辭典	cien5	tsʰien5			
鶄	客法辭典	zin1	tsin1			
勍	客法辭典	gin1	kin1			
情	客法辭典	cin2	tsʰin2			
晴	客法辭典	ciang2	tsʰiaŋ2			
晴	客法辭典	zin1	tsin1			
檠	客法辭典	gin3	kin3			
擎	客法辭典	kia2	kʰia2			
擎	客法辭典	kiang2	kʰiaŋ2			
黥	客法辭典	gin1	kin1			
頃	客法辭典	ken3	kʰen3			
請	客法辭典	ciang3	tsʰiaŋ3			
請	客法辭典	ciang5	tsʰiaŋ5			
凊	客法辭典	cin5	tsʰin5			
靘	客法辭典	cin5	tsʰin5			
慶	客法辭典	kiang5	kʰiaŋ5			
慶	客法辭典	kin5	kʰin5			
磬	客法辭典	kin5	kʰin5			
親	客法辭典	zim1	tsim1			
親	客法辭典	cin1	tsʰin1			
罄	客法辭典	kin5	kʰin5			
邛	客法辭典	kiung2	kʰiuŋ2			
穹	客法辭典	giung1	kiuŋ1			
筇	客法辭典	kiung2	kʰiuŋ2			
蛩	客法辭典	kiung2	kʰiuŋ2			
蛬	客法辭典	kiung2	kʰiuŋ2			
焭	客法辭典	kiun2	kʰiun2			
惸	客法辭典	kiun2	kʰiun2			
跫	客法辭典	kiung2	kʰiuŋ2			
睘	客法辭典	kiun2	kʰiun2			
煢	客法辭典	kiun2	kʰiun2			
銎	客法辭典	kiung2	kʰiuŋ2			
窮	客法辭典	kiung2	kʰiuŋ2			
瓊	客法辭典	kiun2	kʰiun2			
丘	客法辭典	kiu1	kʰiu1			
丘	客法辭典	hiu1	hiu1			
邱	客法辭典	hiu1	hiu1			
邱	客法辭典	kiu1	kʰiu1			
坵	客法辭典	kiu1	kʰiu1			
坵	客法辭典	hiu1	hiu1			
秋	客法辭典	ciu1	tsʰiu1			
秌	客法辭典	ciu1	tsʰiu1			
萩	客法辭典	ciu1	tsʰiu1			
楸	客法辭典	ciu1	tsʰiu1			
緧	客法辭典	ciu2	tsʰiu2			
鞦	客法辭典	ciu1	tsʰiu1			
鶖	客法辭典	ciu1	tsʰiu1			
鰍	客法辭典	ciu1	tsʰiu1			
鰌	客法辭典	ciu1	tsʰiu1			
龝	客法辭典	ciu1	tsʰiu1			
厹	客法辭典	kiu2	kʰiu2			
囚	客法辭典	siu2	siu2			
叴	客法辭典	kiu2	kʰiu2			
求	客法辭典	kiu2	kʰiu2			
虬	客法辭典	kiu2	kʰiu2			
虯	客法辭典	kiu2	kʰiu2			
泅	客法辭典	ciu2	tsʰiu2			
泅	客法辭典	siu2	siu2			
俅	客法辭典	kiu2	kʰiu2			
酋	客法辭典	ciu2	tsʰiu2			
莍	客法辭典	kiu2	kʰiu2			
逑	客法辭典	kiu2	kʰiu2			
球	客法辭典	kiu2	kʰiu2			
梂	客法辭典	kiu2	kʰiu2			
毬	客法辭典	kiu2	kʰiu2			
遒	客法辭典	ciu2	tsʰiu2			
湭	客法辭典	ciu2	tsʰiu2			
裘	客法辭典	kiu2	kʰiu2			
絿	客法辭典	kiu2	kʰiu2			
賕	客法辭典	kiu2	kʰiu2			
觩	客法辭典	kiu2	kʰiu2			
蝤	客法辭典	ciu2	tsʰiu2			
銶	客法辭典	kiu2	kʰiu2			
糗	客法辭典	chu5	tʃʰu5			
曲	客法辭典	kiug7	kʰiuk7			
曲	客法辭典	kiud7	kʰiut7			
佉	客法辭典	ki1	kʰi1			
阹	客法辭典	ki1	kʰi1			
抾	客法辭典	giab7	kiap7			
屈	客法辭典	kiud7	kʰiut7			
祛	客法辭典	ki1	kʰi1			
袪	客法辭典	ki1	kʰi1			
袪	客法辭典	ki2	kʰi2			
區	客法辭典	ki1	kʰi1			
蛆	客法辭典	zii1	tsɿ1	原文作dzɿ1，與tsʰɿ作濁清對立，誤。		
筁	客法辭典	kiug7	kʰiuk7			
詘	客法辭典	kiud7	kʰiut7			
嶇	客法辭典	ki1	kʰi1			
誳	客法辭典	kiud7	kʰiut7			
趨	客法辭典	ci1	tsʰi1			
麯	客法辭典	kiug7	kʰiuk7			
軀	客法辭典	ki1	kʰi1			
麴	客法辭典	kiug7	kʰiuk7			
驅	客法辭典	ki1	kʰi1			
佢	客法辭典	gi2	ki2	本字爲「渠、其」。		
佢	客法辭典	gia1	kia1	他的。		
劬	客法辭典	ki1	kʰi1			
劬	客法辭典	ki2	kʰi2			
胊	客法辭典	gi1	ki1			
渠	客法辭典	ki2	kʰi2			
絇	客法辭典	ki1	kʰi1			
璖	客法辭典	ki2	kʰi2			
璩	客法辭典	ki2	kʰi2			
欋	客法辭典	ki1	kʰi1			
癯	客法辭典	ki1	kʰi1			
癯	客法辭典	ki2	kʰi2			
衢	客法辭典	ki1	kʰi1			
衢	客法辭典	hi1	hi1			
取	客法辭典	ci3	tsʰi3			
娶	客法辭典	ci3	tsʰi3			
去	客法辭典	hi5	hi5			
去	客法辭典	ki5	kʰi5			
呿	客法辭典	kiab7	kʰiap7			
耝	客法辭典	cii2	tsʰɿ2	原文記tsɿ2，與真正的tsɿ作清濁對立，誤。		
趣	客法辭典	ci5	tsʰi5			
闃	客法辭典	kied7	kʰiet7			
覷	客法辭典	zii1	tsɿ1	原文作dzɿ1，與tsʰɿ作濁清對立，誤。		
悛	客法辭典	cien2	tsʰien2			
悛	客法辭典	zun5	tsun5			
圈	客法辭典	kian1	kʰian1			
圈	客法辭典	kian5	kʰian5			
圈	客法辭典	kuan1	kʰuan1			
棬	客法辭典	kian1	kʰian1			
全	客法辭典	cien2	tsʰien2			
佺	客法辭典	cien2	tsʰien2			
荃	客法辭典	cien2	tsʰien2			
泉	客法辭典	can2	tsʰan2			
洤	客法辭典	can2	tsʰan2			
牷	客法辭典	cien2	tsʰien2			
拳	客法辭典	kian2	kʰian2			
埢	客法辭典	gian3	kian3			
痊	客法辭典	cien2	tsʰien2			
惓	客法辭典	kian2	kʰian2			
