来源：	史秀菊 张丽 2014《山西兴县方言同音字汇》；山佳木 整理录入
u	［1］窝倭踒{～折：折断}蜗汪［3］枉往{～回走}网午{晌～}［2］夯{打～}亡芒{麦～}王［5］卧旺忘望妄
#yɛ	
l	［1］□{骨～：“巻”的分音后字}
tɕ	［1］撅{～出来：用劲拽出来；把耳环子～下：用力把耳环揪下}□{圪～～：小而软且呈锥形的物体}［5］倔{形容一个人脾气古怪：～脾气}
tɕʰ	［2］瘸
ɕ	［1］靴［2］横-
ø	［1］哕
#ai	
p	［3］摆［2］白={～菜}［5］稗拜败{～家子}
pʰ	［3］□{～腿子：腿长得不正}［2］牌排［5］败{花～咧}
m	［3］买［2］埋［5］卖迈
t	［5］贷代黛大{～夫；～概；～概里：普遍}
tʰ	［5］太泰态
n	［3］奶乃［2］捱{～打}崖{墙～：墻}
l	［5］赖癞落{～下}
ts	［1］宅={住～}转{～文拉水：讽刺故意文绉绉地说话的人}［5］寨债
tsʰ	［1］差{出～}揣{～往怀里：揣到怀里}［3］踩［2］柴{～棍子：木棍}
s	［1］筛［5］晒赛
z	［1］□{扭屁股}［5］□{指小孩哭}
k	［5］钙概溉
kʰ	［3］凯楷慨
ŋ	［1］挨{～住}癌哀埃
x	［2］鞋［5］害{贬义词,多指小孩顽皮做不该做的事：～坏咧}解{姓}
ø	［3］尔饵矮［2］儿{～童}而［5］哎
#iai	
tɕ	［1］秸{～子}街阶皆［3］解{讲～}［5］疥戒芥械界介届
tɕʰ	［1］揩{擦：～眉眼}
ɕ	［2］谐［5］蟹
ø	［5］液腋
#uai	
ts	［5］拽赘坠
tsʰ	［3］揣{摸}［5］□{懦弱：那个孩子～得可厉害嘞}
s	［1］衰摔［5］帅率{～领}
k	［1］乖［3］拐［5］怪
kʰ	［3］块{肉～子}傀蒯{姓}［5］筷快块{一～钱}会{～计}
x	［3］□{～人：骗人}［2］怀淮槐［5］坏
ø	［1］歪［3］崴［2］□{瘫在地上}［5］□{踩}
#ei	
p	［1］背{～柴}杯悲碑卑［5］背{脊～}倍贝辈焙
pʰ	［1］胚拼{～给一搭嘞：拼在一起}［2］陪裴赔培［5］配佩沛派呸{叹词}
m	［3］每美镁［2］煤霉媒梅酶枚□{～子：笛子}迷{藏～～：捉迷藏}谜{猜～：猜谜语}［5］妹昧魅
t	［1］呆［3］逮歹［5］袋戴带待
tʰ	［1］胎［2］台苔拾
n	［5］奈耐
l	［2］来
ts	［1］柴{火圪～：木头燃烧后剩下的未烧尽的残渣}贼灾栽斋［3］宰［5］在再载
tsʰ	［1］猜［3］采彩［2］材财裁才［5］菜蔡
s	［1］腮［5］□{～架：打架}
k	［1］该［3］改给{～我一本书}［5］盖丐
kʰ	［1］开
ŋ	［5］艾爱碍
x	［3］海［2］孩［5］害{～怕}亥
#uei	
t	［1］堆［5］对队兑碓{～臼}
tʰ	［1］推颓腿［5］退蜕煺{～猪}
n	［5］内
l	［3］蕊磊儡［2］雷［5］擂{打～}
ts	［5］罪最
tsʰ	［1］摧催崔
s	［1］□{来回扭动}［5］碎
z	［5］瑞锐
k	［1］规归圭龟闺［3］鬼轨诡［5］柜贵桂瑰刽
kʰ	［1］亏窥奎盔逵魁葵［5］跪愧溃䙌{结儿：双～～}
x	［1］飞={～机}灰挥辉徽恢非菲妃［3］匪悔毁翡［2］茴回蛔肥={～料}［5］会{开～}费={收～}肺废讳慧惠绘烩桧汇贿
ø	［1］威危微［3］伪尾={末～}委萎伟萎={芦～}纬［2］围={～巾}唯惟维违碨{磨：～豆面}为{～人}［5］碨{石磨}为{～甚：为什么}蔚未位味谓卫魏={姓}胃慰畏喂={～养}外
#ɔu	
p	［1］包［3］饱宝保饱堡褒［5］报爆暴豹刨{推～}鲍抱={～负}
pʰ	［1］抛脬{尿～}［3］跑［2］狍{～子}袍刨{～坑}胞剖［5］泡炮□{～开：滚开}
m	［3］□{～上一声：叫上一声}卯峁{郭家～：地名}［2］矛茅髦猫毛［5］帽冒茂貌贸
t	［1］刀叨［3］倒捣岛导祷［5］稻到倒道盗悼□{～～：衣服口袋}
tʰ	［1］掏［3］讨［2］萄涛逃陶涛桃滔淘{～圪虫：绦虫}［5］套
n	［3］脑恼□{肩扛}［2］挠铙［5］闹
l	［3］老佬姥［2］捞劳牢唠［5］烙涝骆酪
ts	［1］遭糟［3］爪{～子：用来采集羊绒的工具}枣早澡蚤找［5］灶皂罩笊焯{把菜放在开水里略微煮一下}
tsʰ	［1］抄钞操［3］草騲吵炒［2］槽曹巢［5］躁噪糙䄚{粘：衣裳上～上泥咧}造{～句}
s	［1］骚稍捎{～话}梢臊{～气}［3］扫{～地}睄{略看一眼}［2］嫂［5］擞{～炉子：用通条插到火炉里抖动,使炉灰掉下去}哨捎{吆喝牲口向后倒退}臊{～子面}潲{雨斜着落下来}扫{～帚}
ʂ	［3］晌{～午：中午}
kʰ	［3］考烤搞{～价}
ŋ	［3］鏖{～住：纠缠住对方不达目的不罢休}
x	［1］蒿［3］好{～人}［2］豪嚎壕毫薅［5］号好{～吃：嘴馋}耗孝-{～布}
#iɔu	
n	［3］鸟咬{～人}［5］□{～地：固执地认定}
tɕ	［1］交教{～书}胶郊狡铰缴搅［5］校{～对}教{～育}较窖觉{睡～}
tɕʰ	［1］敲［3］巧［5］翘窍
ɕ	［5］校{学～}孝={～子}效
#ou	
t	［1］兜［3］抖陡［5］豆逗痘斗
tʰ	［1］偷［2］头投［5］透
n	［3］努［2］奴［5］怒那
l	［3］搂{双手交叉把人或物抱于胸前,动作对象多为人,也可用于物，如：～孩子；～住柴}鲁卤{～鸭子}橹篓虏［2］耧{农具}芦炉娄楼喽颅搂{用手或工具把物品聚集在自己面前,动作对象不能为人：～柴}庐［5］露路赂鹭漏陋
ts	［1］这{～人}租掫粥［3］组祖邹走［5］就皱骤奏
tsʰ	［1］粗［3］瞅{用眼睛瞟}［2］觑{～人：探望人}愁［5］醋措凑
s	［1］苏酥搜馊□{一种刺秀的手法，一针长一针短：～鞋垫垫}［3］擞{～给下：抖一下}［2］嗖叟［5］塑素嗉{～子}诉嗽漱瘦
tʂ	［1］周舟洲州肘碡［2］轴{车～}［5］纣昼宙咒
tʂʰ	［1］抽［3］丑［2］稠绸筹仇{～人}酬［5］臭
ʂ	［1］收［3］手首守［5］兽寿售授受
ʐ	［1］□{扔}［2］揉柔蹂［5］肉
k	［1］沟勾钩［3］枸{～杞}狗苟［5］够
kʰ	［1］抠［3］口［5］扣蔻叩
