#符号说明：-白=文/书*俗?待考	
#调值	[1]⁵³⁴[2]³³[3]²¹³[4]⁴²²[6]⁵²[7]²⁴[0]⁰
#ɿ	
k	[1]官棺观{参~；寺~}冠{鸡~；~军}鳏关[3]管馆广[4]贯灌罐惯
kʰ	[1]宽[2]匡筐眶狂[3]款[4]旷[6]掼□{把儿,提梁}□{襻}
Ø	[1]弯湾[2]玩顽还{动词}环簧蝗隍亡忘王[3]碗宛[4]腕晚{文读}挽妄[6]缓皖唤换万望{希~}枉往旺

#ə᷉	
p	[1]搬[4]半
pʰ	[1]潘[2]瓣般盘盆旁螃傍庞朋2[4]伴拌判叛[6]盼办
m	[2]瞒馒鳗[4]满
t	[1]端[3]短
tʰ	[2]团{~长}[4]断{断绝}[6]锻段缎椴
l	[1]囡{~人家：女孩儿}[2]鸾[4]卵[6]乱
ts	[1]钻{动词}[4]钻{名词}
tsʰ	[3]纂窜篡
s	[1]酸狲[4]算蒜
k	[1]甘柑泔干{天~}肝乾{饼~}[3]感敢橄竿杆秆赶幹[4]□{动}
kʰ	[3]坎砍[4]勘刊看
x	[2]寒韩[4]早汉夯[6]撼憾汗焊翰
Ø	[1]安鞍[4]暗按案

#ɛ᷉	
p	[1]贬鞭编汴边□{~子：篦子}[3]蝙扁匾[4]变遍{一~；~地}
pʰ	[1]篇偏[2]便{~宜}[4]辨辩骗辫片[6]便{方~}
m	[2]绵棉眠[3]□{捻}[6]殓免勉娩缅面{脸}麵
f	[1]闩拴[2]船[6]楦
t	[1]癫□{推}[3]点典奠[4]店
tʰ	[1]添天[2]甜田填□{iɛ²¹³~：蜥蜴}[3]舔[4]簟[6]电殿佃垫
l	[2]镰连联怜莲恋[3]帘[4]廉脸[6]练链楝

#iɛ᷉	
tɕ	[1]尖渐兼艰奸煎毡肩坚[3]检柬拣谏剪践展茧趼笕[4]瞻估剑箭战颤键建健笺荐见
tɕʰ	[1]签潜谦迁遣千牵[2]钳缠乾虔掮前[3]浅[4]俭欠件[6]歉
ɕ	[1]锨仙鲜{新~}掀先[2]蟾钱鲜{朝~}轩贤弦全泉宣[3]陕闪险癣显选[4]线扇{动词；名词}善蟮膳单{姓}宪献鏾{~鸡：阉鸡}[6]贱饯羡现旋
Ø	[1]黏烟[2]炎盐{食~}檐掩严嫌然燃谚焉延筵蜒言年沿□{~篓：箩}[4]染冉厌碾演燕宴兖□{谷~：秕谷}[6]验艳焰盐{腌}念研砚

#yɛ᷉	
tɕ	[1]专砖捐[3]转{~车}转{旋~}锩[4]眷卷{名词}绢倦券
tɕʰ	[1]椽川穿圈[2]传{~达}拳权颧[3]喘犬[4]劝[6]篆传{水浒~}
ɕ	[2]玄悬
Ø	[1]冤[2]完丸圆员缘院元原源阮袁辕园渊[4]软援远怨[6]愿县

#en	
p	[1]冰兵[3]禀丙秉饼[4]彬宾槟殡鬓柄
pʰ	[1]拼[2]贫频凭陵凌菱平坪评瓶屏萍[3]品[4]倂聘姘[6]病並
m	[2]民萌鸣明盟名铭[3]皿[6]闽敏命
f	[2]唇纯莼醇熏勋薰兄2{弟~}[6]顺舜训
t	[1]丁钉{名词}疗订2叮[3]顶鼎[4]钉{动词}订1
tʰ	[1]厅汀庭[2]亭停廷艇[3]挺[4]听锭[6]定
l	[1]拎[2]林淋临邻鳞磷宁{~波}宁{~可}灵零铃伶[4]领岭翎[6]吝令另

#in	
tɕ	[1]针斟今{古~}金锦津珍趁真诊疹巾筋征惩蒸京荆鲸精睛贞侦正{~月}征经[3]枕振震紧仅谨惊景警井整□{洇}[4]浸襟禁{~不住；~止}进晋镇斤劲证症擎境敬竟镜竟晶靖正{~反}政颈径□{油~：猪油}[0]甑{饭~}
tɕʰ	[1]亲称{~呼}承丞拯清轻青蜻[2]侵琴禽擒秦陈尘臣勤芹循巡乘卿情呈程逞成城{狮~}诚[3]荀旬殉请[4]揿{按}近称{对}秤□{忌}[6]寝钦阵衬庆郑磬倾顷[0]槛{户~：门槛}
ɕ	[1]心深辛新薪身申伸辰晨升声星[2]寻沉神层绳塍蝇晴城{~里}型刑邢[3]沈审婶甚笋榫醒[4]渗信讯肾迅兴{时~；高~}静性姓圣腥[6]盡慎衅欣剩胜幸净盛{兴~}[0]□{些}
Ø	[2]营2[6]认2

#yen	
tɕ	[1]肫君军[3]準准{批~}[4]俊均钧
tɕʰ	[1]椿春□{伸}[2]窘裙[4]串蠢菌群郡琼迥舂
Ø	[2]匀雲荣[6]润闰允韵运晕永泳咏

#ən	
p	[1]□{~箕：簸箕}[3]奔本崩[4]粪
pʰ	[1]喷{~水}喷{~香}[2]烹棚篷蓬[3]捧[4]碰[6]笨
m	[2]门蚊[6]闷
