#符号说明：-白=文/书*俗?待考	
#调值	[1]²² [2]⁵⁵ [3]³⁵ [5]²¹² [7]⁴² [0]⁰
#ɿ	
l	[2]良凉量{~东西}粮梁粱[3]两辆[5]亮谅量{数~}
tɕ	[1]将{~要}浆疆僵姜礓缰降{文；下~}江{文}豇{文}[3]蒋奖桨讲{文}[5]酱将{大~}匠
tɕʰ	[1]枪羌腔[2]祥{白}详{白}墙强{~大}[3]抢强{勉~}
ȵ	[2]娘[3]仰[5]酿
ɕ	[1]相{~信；互~}箱厢湘襄镶香乡[2]祥{文}详{文}降{投~}[3]想鲞晌响享饷[5]象像橡相{~貌}向项巷{文}
Ø	[1]秧央殃[2]羊洋烊杨阳扬疡[3]养痒[5]样

#ua᷉	
f	[1]帆藩翻番方芳妨肪□{~恶：恶心}荒慌[2]凡房防黄簧皇蝗[3]仿纺访反谎[5]泛范犯缓唤焕换贩饭放晃
k	[1]官棺观冠{衣~}鳏关光[3]管馆广[5]惯桄贯灌罐观冠{~军}
kʰ	[1]宽筐匡眶[2]狂逛[3]款[5]旷况矿
Ø	[1]弯湾汪[2]完丸玩顽亡忘妄王[3]豌碗皖腕晚挽宛辋纲往枉[5]万望旺

#ya᷉	
tɕ	[1]庄装桩[5]壮状撞
tɕʰ	[1]疮窗[2]床[3]闯
ʃ	[1]霜双孀

#iɛ᷉	
p	[1]鞭编边蝙[3]贬扁匾[5]辩辨变便{方~}汴辫
pʰ	[1]篇偏[2]便{~宜}[3]□{~蛇：蜥蜴}[5]骗片遍
m	[2]棉绵眠[3]免勉娩缅渑□{捻}[5]面捻
t	[1]掂颠[3]点典腆[5]簟店电殿奠佃垫臀
tʰ	[1]添天[2]田填甜[3]舔[5]掭
l	[2]廉镰帘连联怜莲[3]脸辇碾[5]敛殓练炼楝恋
tɕ	[1]监尖兼搛艰间{文；空~，中~，~断}奸煎掮肩坚□{小气}[3]减检简裥柬拣{文}涧锏剪茧趼笕[5]俭剑谏件践键建健腱见箭溅贱渐饯荐犍鉴{文}
tɕʰ	[1]签歼谦迁千牵[2]潜钳钱前泉全铅乾虔[3]浅笺遣[5]嵌欠歉
ȵ	[1]黏[2]严鲇拈言年沿[3]撵研[5]验念谚砚[0]囝{蛤蟆~：蝌蚪}
ɕ	[1]仙鲜{新~}轩掀先[2]嫌闲贤宣旋[3]险鲜{少}癣显选旋{~床}[5]限苋{文}线羡宪献县现
