汉字	拼音	IPA	注释		声调	调值	编号
廟	biau6	ᵐbiau41	文				
妙	biau6	ᵐbiau41					
燎	liau2	liau24					
焦	tsiau2	tsiau24	俗				
焦	tsiau1	tsiau33					
焦	ta1	ta33	训，干				
椒	tsio1	tsio33	白				
椒	tsiau1	tsiau33	文				
剿	tsau2	tsau24	俗				
剿	tsiau3	tsiau55					
鍬	tshiau1	tsʰiau33					
悄	tshiauh7	tsʰiauʔ5	俗				
悄	tshiau3	tsʰiau55					
俏	tshiau5	tsʰiau41					
樵	tsha2	tsʰa24	白				
樵	tsiau2	tsiau24	文				
瞧	tsiau2	tsiau24					
消	siau1	siau33					
宵	siau1	siau33					
霄	sio1	sio33	白				
霄	siau1	siau33	文				
硝	siau1	siau33					
銷	siau1	siau33					
小	sio3	sio55	白				
小	siau3	siau55	文				
笑	tshio5	tsʰio41	白				
笑	tshiau5	tsʰiau41	文				
笑	siau5	siau41	又				
鞘	tshiau5	tsʰiau41					
鞘	siau5	siau41	又				
朝	tiau1	tiau33					
超	tshiau1	tsʰiau33					
朝	tiau2	tiau24					
潮	tio2	tio24	白				
潮	tiau2	tiau24	文				
趙	tio4	tio22	白				
趙	tiau4	tiau22	文				
兆	tiau4	tiau22					
肇	tiau4	tiau22					
召	tiau6	tiau41					
昭	tsiau1	tsiau33					
招	tsio1	tsio33	白				
招	tsiau1	tsiau33	文				
沼	tsiau3	tsiau55					
照	tsio5	tsio41	白				
照	tsiau5	tsiau41	文				
詔	tsiau5	tsiau41					
燒	sio1	sio33	白				
燒	siau1	siau33	文				
少	tsio3	tsio55	白				
少	siau3	siau55	文				
少	siau5	siau41					
韶	siau2	siau24					
韶	siau1	siau33	又				
紹	siau6	siau41					
邵	sio6	sio41	白				
邵	siau6	siau41	文				
饒	liau2	liau24					
擾	liau3	liau55					
繞	liau3	liau55					
驕	kiau1	kiau33					
嬌	kiau1	kiau33					
矯	kiau3	kiau55					
喬	kiau2	kiau24					
橋	kio2	kio24	白				
橋	kiau2	kiau24	文				
轎	kio6	kio41	白				
轎	kiau6	kiau41	文				
囂	hiau1	hiau33					
枵	hiau1	hiau33					
枵	iau1	iau33					
妖	iau1	iau33					
邀	io1	io33	白				
邀	iau1	iau33	文				
腰	io1	io33	白				
腰	iau1	iau33	文				
要	iau1	iau33					
夭	iau3	iau55					
要	iau5	iau41					
搖	io2	io24	白				
搖	iau2	iau24	文				
謠	iau2	iau24					
窯	io2	io24	白				
窯	iau2	iau24	文				
姚	io2	io24	白				
姚	iau2	iau24	文				
舀	io3	io55	白				
舀	iau3	iau55	文				
耀	tshio6	tsʰio41	白				
耀	iau6	iau41	文				
刁	tiau1	tiau33					
貂	tiau1	tiau33					
雕	tiau1	tiau33					
鳥	tsiau3	tsiau55	白				
鳥	liau3	liau55	文				
鳥	niau3	niau55	文				
吊	tiau5	tiau41					
釣	tio5	tio41	白				
釣	tiau5	tiau41	文				
挑	thio1	tʰio33	白				
挑	thiau1	tʰiau33	文				
跳	tio2	tio24	白				
跳	thio2	tʰio24	白				
跳	thiau2	tʰiau24	文				
糶	thio5	tʰio41	白				
糶	thiau5	tʰiau41	文				
跳	thiau5	tʰiau41					
條	liau2	liau24	俗				
條	tiau2	tiau24					
調	tiau2	tiau24					
掉	tio6	tio41	白				
掉	tiau5	tiau41	文				
調	tiau6	tiau41					
尿	lio6	lio41	白				
尿	liau6	liau41	文				
聊	liau2	liau24					
遼	liau2	liau24					
撩	lio2	lio24	白				
撩	liau2	liau24	文				
寥	liau2	liau24					
廖	liau5	liau41					
了	liau3	liau55					
瞭	lio3	lio55	白				
瞭	liau3	liau55	文				
料	liau2	liau24					
料	liau6	liau41					
簫	siau1	siau33					
蕭	sio1	sio33	白				
蕭	siau1	siau33	文				
嘯	siau5	siau41					
澆	kiau1	kiau33					
繳	kiau3	kiau55					
叫	kio5	kio41	白				
叫	kiau5	kiau41	文				
竅	khio5	kʰio41	白				
竅	khiau5	kʰiau41	文				
堯	giau2	ᵑɡiau24					
曉	hiau3	hiau55					
么	io1	io33	白				
么	iau1	iau33	文				
杳	iau3	iau55					
剖	phio3	pʰio55					
某	boo3	ᵐbɔ55					
某	bio3	ᵐbio55	又				
畝	boo3	ᵐbɔ55					
畝	bio3	ᵐbio55	又				
牡	boo3	ᵐbɔ55					
拇	bu3	ᵐbu55	白				
拇	boo3	ᵐbɔ55	文				
拇	bio3	ᵐbio55	文				
母	bu3	ᵐbu55	白				
母	boo3	ᵐbɔ55	文				
母	bio3	ᵐbio55	文				
茂	bio6	ᵐbio41					
戊	boo6	ᵐbɔ41					
貿	bio6	ᵐbio41					
兜	tau1	tau33	白				
兜	tio1	tio33	文				
斗	tau3	tau55	白				
斗	tio3	tio55	文				
抖	tio3	tio55					
陡	tau3	tau55	白				
陡	tio3	tio55	文				
鬥	tau5	tau41	白				
鬥	tio5	tio41	文				
偷	thau1	tʰau33	白				
偷	thio1	tʰio33	文				
透	thau5	tʰau41	白				
透	thio5	tʰio41	文				
頭	thau2	tʰau24	白				
頭	thio2	tʰio24	文				
投	tau2	tau24	白				
投	tio2	tio24	文				
豆	tau6	tau41	白				
豆	tio6	tio41	文				
逗	tio6	tio41					
耨	lio6	lio41					
樓	lau2	lau24	白				
樓	lio2	lio24	文				
簍	lio3	lio55					
漏	lau5	lau41	白				
漏	lio6	lio41	文				
陋	lio6	lio41					
走	tsau3	tsau55	白				
走	tso3	tso55	文				
奏	tsau5	tsau41	白				
奏	tso5	tso41	文				
凑	tsho5	tsʰo41					
叟	so3	so55					
嗽	sau5	sau41	白				
嗽	so5	so41	文				
嗽	soo5	sɔ41	文				
勾	kiauh7	kiauʔ5	俗				
勾	kau1	kau33	白				
勾	kio1	kio33	文				
勾	kau5	kau41	白				
勾	kio5	kio41	文				
鉤	kau1	kau33	白				
鉤	kio1	kio33	文				
溝	kau1	kau33	白				
溝	kio1	kio33	文				
狗	kau3	kau55	白				
狗	kio3	kio55	文				
苟	kio3	kio55					
垢	kau3	kau55	白				
垢	kio3	kio55	文				
夠	kau5	kau41	白				
夠	kio5	kio41	文				
構	kio5	kio41					
購	kio5	kio41					
購	kio1	kio33	又				
媾	kio5	kio41					
口	khau3	kʰau55	白				
口	khio3	kʰio55	文				
叩	khio5	kʰio41					
扣	khau5	kʰau41	白				
扣	khio5	kʰio41	文				
寇	khio5	kʰio41					
藕	gio3	ᵑɡio55					
偶	gio3	ᵑɡio55					
吼	hau3	hau55	白				
吼	hio3	hio55	文				
蔻	khio5	kʰio41					
侯	hau2	hau24	白				
侯	hio2	hio24	文				
喉	au2	au24	白				
喉	hio2	hio24	文				
猴	kau2	kau24	白				
猴	hio2	hio24	文				
後	au4	au22	白，前后				
後	hau4	hau22	白				
後	hio4	hio22	文				
厚	kau4	kau22	白				
厚	hio4	hio22	文				
后	hio4	hio22					
候	hau6	hau41	白				
候	hio6	hio41	文				
謳	au1	au33	白				
謳	io1	io33	文				
謳	o1	o33	又				
歐	au1	au33	白				
歐	io1	io33	文				
歐	o1	o33	又				
區	au1	au33	白				
區	io1	io33	文				
區	o1	o33	又				
嘔	ooh8	ɔh35	俗				
嘔	au3	au55	白				
嘔	io3	io55	文				
嘔	o3	o55	又				
毆	io3	io55					
毆	o3	o55	又				
漚	au5	au41					
漚	au1	au33	白				
漚	io1	io33	文				
漚	o1	o33	又				
否	hio3	hio55					
否	phai3	pʰai55	白				
否	phi3	pʰi55	文				
富	pu5	pu41	白				
富	hu5	hu41	文				
副	hu5	hu41					
浮	phu2	pʰu24	白				
浮	hio2	hio24	文				
浮	piu2	piu24	又				
阜	hu6	hu41					
負	hu6	hu41					
婦	pu4	pu22	白				
婦	hu4	hu22	文				
復	hio6	hio41					
謀	bio2	ᵐbio24					
矛	bau2	ᵐbau24					
眸	bio2	ᵐbio24					
紐	liu3	liu55					
扭	khiu3	kʰiu55	俗				
扭	giu3	ᵑɡiu55	俗				
扭	liu3	liu55					
留	lau2	lau24	白				
留	liu2	liu24	文				
榴	liu2	liu24					
劉	lau2	lau24	白				
劉	liu2	liu24	文				
流	lau2	lau24	白				
流	liu2	liu24	文				
硫	liu2	liu24					
琉	liu2	liu24					
柳	liu3	liu55					
溜	liu1	liu33					
溜	liu6	liu41					
揪	tsiu2	tsiu24					
酒	tsiu3	tsiu55					
秋	tshiu1	tsʰiu33					
就	tsiu6	tsiu41					
修	siu1	siu33					
羞	tshiu1	tsʰiu33	白				
羞	siu1	siu33	文				
秀	siu5	siu41					
鏽	siu5	siu41					
繡	siu5	siu41					
宿	siu5	siu41					
囚	siu2	siu24					
袖	siu6	siu41					
肘	tiu3	tiu55					
晝	tau5	tau41	白				
晝	tiu5	tiu41	文				
抽	thiu1	tʰiu33					
丑	thiu3	tʰiu55					
綢	tiu2	tiu24					
稠	tiu2	tiu24					
籌	tiu2	tiu24					
紂	tiu4	tiu22					
宙	tiu4	tiu22					
鄒	tso1	tso33					
皺	tso4	tso22					
皺	liau2	liau24	训				
愁	tsho2	tsʰo24					
愁	tshio2	tsʰio24	又				
愁	tshiu2	tsʰiu24	又				
驟	tso6	tso41					
搜	tshiau1	tsʰiau33	俗				
搜	so1	so33					
蒐	tshiau1	tsʰiau33	俗				
蒐	so1	so33					
瘦	so5	so41					
瘦	san3	san55	训				
漱	so5	so41	旧				
漱	soo5	sɔ41					
周	tsiu1	tsiu33					
舟	tsiu1	tsiu33					
洲	tsiu1	tsiu33					
州	tsiu1	tsiu33					
帚	tsiu3	tsiu55					
帚	tshiu3	tsʰiu55	又				
咒	tsiu5	tsiu41					
醜	tshiu3	tsʰiu55					
醜	thiu3	tʰiu55	又				
臭	hiu5	hiu41					
臭	tshau5	tsʰau41	白				
臭	tshiu5	tsʰiu41	文				
收	siu1	siu33					
手	tshiu3	tsʰiu55	白				
手	siu3	siu55	文				
首	siu3	siu55					
守	siu5	siu41					
守	tsiu3	tsiu55	白				
守	siu3	siu55	文				
獸	siu5	siu41					
讎	siu2	siu24					
酬	siu2	siu24					
受	siu4	siu22					
壽	siu6	siu41					
授	siu6	siu41					
售	siu2	siu24					
柔	liu2	liu24					
揉	liu2	liu24					
鳩	kiu1	kiu33					
鬮	khau1	kʰau33	白				
鬮	kiu1	kiu33	文				
九	kau3	kau55	白				
九	kiu3	kiu55	文				
久	ku3	ku55	白				
久	kiu3	kiu55	文				
韭	ku3	ku55	白				
韭	kiu3	kiu55	文				
灸	ku5	ku41	白				
灸	kiu5	kiu41	文				
究	kiu5	kiu41					
救	kiu5	kiu41					
丘	khu1	kʰu33	白				
丘	khiu1	kʰiu33	文				
求	kiu2	kiu24					
球	kiu2	kiu24					
球	khiu2	kʰiu24	又				
仇	siu2	siu24					
仇	kiu2	kiu24					
舅	ku4	ku22	白				
舅	kiu4	kiu22	文				
臼	khu4	kʰu22	白				
臼	kiu4	kiu22	文				
咎	kiu4	kiu22					
舊	ku6	ku41	白				
舊	kiu6	kiu41	文				
柩	kiu6	kiu41					
柩	kiu4	kiu22	又				
牛	gu2	ᵑɡu24	白				
牛	giu2	ᵑɡiu24	文				
休	hiu1	hiu33					
朽	hu3	hu55	白				
朽	hiu3	hiu55	文				
嗅	hiu5	hiu41					
憂	iu1	iu33					
優	iu1	iu33					
尤	iu2	iu24					
郵	iu2	iu24					
有	u4	u22	白				
有	iu3	iu55	文				
友	iu3	iu55					
又	iu6	iu41					
右	iu6	iu41					
宥	iu6	iu41					
油	iu2	iu24					
游	iu2	iu24					
悠	iu2	iu24					
猶	iu2	iu24					
由	iu2	iu24					
酉	iu3	iu55					
莠	iu3	iu55					
誘	iu3	iu55					
釉	iu6	iu41					
柚	iu6	iu41					
彪	piu1	piu33					
謬	biu6	ᵐbiu41					
丢	tiu1	tiu33					
糾	kiu3	kiu55	旧				
糾	kiu5	kiu41					
幽	hiu1	hiu33					
幽	iu1	iu33	又				
幼	iu5	iu41					
耽	tam1	tam33					
貪	tham1	tʰam33					
探	tham5	tʰam41					
潭	tham2	tʰam24					
譚	tham2	tʰam24					
南	lam2	lam24					
男	lam2	lam24					
婪	lam2	lam24					
簪	tsam1	tsam33					
簪	tserm1	tsəm33					
參	tsham1	tsʰam33					
參	tsherm1	tsʰəm33					
慘	tsham3	tsʰam55					
蠶	tshuinn2	tsʰuĩ24					
蠶	tsham2	tsʰam24					
感	kam3	kam55					
堪	kham1	kʰam33					
龕	kham1	kʰam33					
坎	kham3	kʰam55					
砍	kham3	kʰam55					
勘	kham5	kʰam41					
含	am2	am24	白				
含	kam2	kam24	白				
含	ham2	ham24	文				
函	ham2	ham24					
撼	ham4	ham22					
憾	ham6	ham41					
庵	am1	am33					
諳	am1	am33					
暗	am5	am41					
擔	tann1	tã33	白				
擔	tam1	tam33	文				
膽	tann3	tã55	白				
膽	tam3	tam55	文				
擔	tann5	tã41	白				
擔	tam5	tam41	文				
坍	tham1	tʰam33					
毯	than3	tʰan55					
毯	tham3	tʰam55	又				
痰	tham2	tʰam24					
談	tam2	tam24					
淡	tann4	tã22	白				
淡	tam4	tam22	文				
藍	nann2	nã24	白				
藍	lam2	lam24	文				
籃	nann2	nã24	白				
籃	lam2	lam24	文				
欖	nann3	nã55	白				
欖	lam3	lam55	文				
攬	lam3	lam55					
覽	lam3	lam55					
纜	lam3	lam55					
纜	lam6	lam41					
濫	lam6	lam41					
慚	tsham2	tsʰam24					
暫	tsiam4	tsiam22	俗				
暫	tsam6	tsam41					
三	sann1	sã33	白				
三	sam1	sam33	文				
三	sam5	sam41					
柑	kann1	kã33	白				
柑	kam1	kam33	文				
泔	kam1	kam33					
甘	kam1	kam33					
敢	kann3	kã55	白				
敢	kam3	kam55	文				
橄	kann1	kã33	白				
橄	kam3	kam55	文				
瞰	kham5	kʰam41					
蚶	ham1	ham33					
喊	hiam5	hiam41	白				
喊	ham3	ham55	文				
邯	ham1	ham33					
酣	ham1	ham33					
站	tsam4	tsam22					
賺	tann6	tã41	白，错误				
賺	tsham6	tsʰam41	文				
賺	tsiam6	tsiam41	又				
斬	tsam3	tsam55					
蘸	tsam5	tsam41					
讒	tsham2	tsʰam24					
饞	tsham2	tsʰam24					
杉	sam1	sam33					
衫	sann1	sã33	白				
衫	sam1	sam33	文				
尷	kam1	kam33					
尷	kam5	kam41	又				
減	kiam3	kiam55					
鹻	kinn1	kĩ33	白				
鹻	kiam3	kiam55	文				
鹼	kinn1	kĩ33	白				
鹼	kiam3	kiam55	文				
鹹	kiam2	kiam24	白				
鹹	ham2	ham24	文				
咸	ham2	ham24					
陷	ham6	ham41					
餡	ann6	ã41	白				
餡	ham6	ham41	文				
攙	tsham1	tsʰam33					
攙	tsham2	tsʰam24					
懺	tsham5	tsʰam41					
監	kann1	kã33	白				
監	kam1	kam33	文				
監	kam5	kam41					
鑒	kam5	kam41					
嵌	kham5	kʰam41					
巖	nann2	nã24	俗				
巖	ngann2	ŋã24	白				
巖	gam2	ᵑɡam24	文				
銜	kann2	kã24	白				
銜	khann2	kʰã24	白				
銜	ham2	ham24	文				
艦	lam6	lam41					
艦	am3	am55					
貶	pian3	pian55					
黏	liam2	liam24					
廉	liam2	liam24					
鐮	ninn2	nĩ24	白				
鐮	liam2	liam24	文				
簾	ninn2	nĩ24	白				
簾	liam2	liam24	文				
簾	lian2	lian24	又				
奩	liam2	liam24					
斂	liam3	liam55					
斂	liam4	liam22	又				
殮	liam6	liam41					
尖	tsiam1	tsiam33					
殲	siam1	siam33					
殲	tshiam1	tsʰiam33	又				
籤	tshiam1	tsʰiam33					
簽	tshiam1	tsʰiam33					
僉	tshiam1	tsʰiam33					
潛	tsiam2	tsiam24					
漸	tsiam4	tsiam22					
暹	siam2	siam24					
纖	siam1	siam33					
沾	tiam1	tiam33					
粘	liam2	liam24					
瞻	tsiam1	tsiam33					
佔	tsiam5	tsiam41					
占	tsiam1	tsiam33					
陝	siam3	siam55					
閃	siam3	siam55					
贍	siam6	siam41					
染	ninn3	nĩ55	白				
染	liam3	liam55	文				
檢	kiam3	kiam55					
臉	liam3	liam55					
臉	kiam3	kiam55					
鉗	khinn2	kʰĩ24	白				
鉗	khiam2	kʰiam24	文				
鉗	kiam2	kiam24	文				
儉	khiam4	kʰiam22					
驗	giam6	ᵑɡiam41					
險	hiam3	hiam55					
淹	im1	im33	白				
淹	iam1	iam33	文				
閹	iam1	iam33					
掩	iam3	iam55					
厭	ia5	ia41	俗				
厭	iam5	iam41					
炎	iam2	iam24	旧				
炎	iam6	iam41					
鹽	sinn2	sĩ24	白				
鹽	iam2	iam24	文				
鹽	sinn6	sĩ41	白				
鹽	iam6	iam41	文				
閻	iam2	iam24					
閻	giam2	ᵑɡiam24	又				
檐	tsinn2	tsĩ24	白				
檐	iam2	iam24	文				
艷	iam6	iam41					
焰	iam6	iam41					
劍	kiam5	kiam41					
欠	khiam5	kʰiam41					
嚴	giam2	ᵑɡiam24					
儼	giam3	ᵑɡiam55					
掂	tiam1	tiam33					
點	tiam3	tiam55					
墊	tiam6	tiam41	旧				
墊	tian6	tian41					
店	tuinn5	tuĩ41	白				
店	tiam5	tiam41	文				
添	thinn1	tʰĩ33	白				
添	thiam1	tʰiam33	文				
忝	thiam3	tʰiam55					
甜	tinn1	tĩ33	白				
甜	tiam2	tiam24	文				
甜	tiam1	tiam33	又				
拈	ninn1	nĩ33	白				
拈	liam1	liam33	文				
鮎	liam2	liam24					
念	liam6	liam41					
僭	tshiam5	tsʰiam41					
兼	kiam1	kiam33					
蒹	kiam1	kiam33					
謙	khiam1	kʰiam33					
歉	khiam3	kʰiam55	俗				
歉	khiam5	kʰiam41					
嫌	hiam2	hiam24					
泛	phann5	pʰã41	白				
泛	ham5	ham41	白				
泛	huan5	huan41	文				
凡	huan2	huan24					
帆	huan2	huan24					
範	pan6	pan41	俗				
範	huan4	huan22					
范	pan6	pan41	俗				
范	huan4	huan22					
犯	huan4	huan22					
梵	huan6	huan41					
答	tah7	taʔ5	白				
答	tap7	tap5	文				
搭	tah7	taʔ5	白				
搭	tap7	tap5	文				
踏	tah8	taʔ35	俗				
踏	thap7	tʰap5					
踏	lap7	lap5	又				
納	lap8	lap35					
拉	liap7	liap5					
拉	liap8	liap35					
拉	la1	la33					
雜	tsap8	tsap35					
蛤	kap7	kap5					
鴿	kap7	kap5					
喝	hap7	hap5					
合	kah7	kaʔ5	白				
合	kap7	kap5	文				
合	hah8	haʔ35	白				
合	hap8	hap35	文				
盒	ah8	aʔ35	白				
盒	ap8	ap35	文				
榻	thap7	tʰap5					
塔	thah7	tʰaʔ5	白				
塔	thap7	tʰap5	文				
塌	thap7	tʰap5					
塌	lap7	lap5	训				
臘	lah8	laʔ35	白				
臘	lap8	lap35	文				
蠟	lah8	laʔ35	白				
蠟	lap8	lap35	文				
鑞	lap8	lap35					
卅	sannh8	sãʔ35	俗				
卅	sap7	sap5					
磕	khap8	kʰap35					
盍	hap8	hap35					
劄	tap7	tap5					
眨	tsap7	tsap5					
插	tshah7	tsʰaʔ5	白				
插	tshap7	tsʰap5	文				
閘	tsah8	tsaʔ35	白				
閘	tsap8	tsap35	文				
煠	sah8	saʔ35					
煠	tsah8	tsaʔ35	又				
霎	siap7	siap5					
夾	kueh7	kueʔ5	白				
夾	gueh7	ᵑɡueʔ5	白				
夾	kiap7	kiap5	文				
夾	giap7	ᵑɡiap5	文				
恰	khap7	kʰap5					
掐	khiap7	kʰiap5					
狹	kueh8	kueʔ35	白				
狹	ueh8	ueʔ35	白				
狹	hiap8	hiap35	文				
峽	kiap7	kiap5					
洽	kap8	kap35	液体浓稠				
洽	hiap8	hiap35					
甲	kah7	kaʔ5	白				
甲	kap7	kap5	文				
匣	ah8	aʔ35	白				
匣	ap8	ap35	文				
匣	hiap8	hiap35	又				
狎	ah8	aʔ35	白				
狎	ap8	ap35	文				
鴨	ah7	aʔ5	白				
鴨	ap7	ap5	文				
押	ah7	aʔ5	白				
押	ap7	ap5	文				
壓	ah7	aʔ5	白				
壓	ap7	ap5	文				
聶	liap7	liap5					
鑷	liap7	liap5					
獵	lah8	laʔ35	白				
獵	liap8	liap35	文				
接	tsih7	tsiʔ5	白				
接	tsiap7	tsiap5	文				
妾	tshiap7	tsʰiap5					
捷	tsiap8	tsiap35					
捷	tsiat8	tsiat35					
輒	tiap7	tiap5					
摺	tsih7	tsiʔ5	白				
摺	tsiap7	tsiap5	文				
攝	siap7	siap5					
攝	liap7	liap5					
涉	siap8	siap35					
靨	iap7	iap5					
葉	hioh8	hioʔ35					
葉	siap7	siap5	旧				
葉	iap8	iap35					
劫	kiap7	kiap5					
怯	khiap7	kʰiap5					
業	giap8	ᵑɡiap35					
脅	hiap7	hiap5	旧				
脅	hiap8	hiap35					
貼	tah7	taʔ5	白				
貼	thueh7	tʰueʔ5	白				
貼	thiap7	tʰiap5	文				
帖	thiap7	tʰiap5					
疊	thah8	tʰaʔ35	白				
疊	tiap8	tiap35	文				
疊	thiap8	tʰiap35	文				
牒	tiap8	tiap35					
蝶	iah8	iaʔ35	白				
蝶	tiap8	tiap35	文				
諜	tiap8	tiap35					
協	hiap8	hiap35					
叶	hiap8	hiap35					
俠	hiap8	hiap35	旧				
俠	kiap7	kiap5					
挾	gueh8	ᵑɡueʔ35	俗				
挾	hiap8	hiap35					
法	huat7	huat5					
乏	huat8	huat35					
禀	pin3	pin55					
品	phin3	pʰin55					
賃	lim6	lim41					
林	nann2	nã24	白				
林	lim2	lim24	文				
淋	lam2	lam24	白				
淋	lim2	lim24	文				
臨	liam2	liam24	白				
臨	lim2	lim24	文				
凛	lim3	lim55					
廪	lim3	lim55					
浸	tsim5	tsim41					
侵	tshim1	tsʰim33					
寢	tshim3	tsʰim55					
心	sim1	sim33					
尋	siam2	siam24	白				
尋	sim2	sim24	文				
琛	thim1	tʰim33					
沉	tim2	tim24					
沉	thiam6	tʰiam41	白				
沉	tim6	tim41	文				
朕	tim4	tim22					
岑	gim2	ᵑɡim24	俗				
岑	tshim2	tsʰim24					
森	serm1	səm33					
參	serm1	səm33					
滲	siam5	siam41	白				
滲	sim5	sim41	文				
滲	serm5	səm41	文				
針	tsam1	tsam33	白				
針	tserm1	tsəm33	文				
斟	tsim1	tsim33					
枕	tsim3	tsim55					
枕	tsim5	tsim41	又				
葚	sim4	sim22					
深	tshim1	tsʰim33	白				
深	sim1	sim33	文				
瀋	sim3	sim55					
審	sim3	sim55					
嬸	tsim3	tsim55	白				
嬸	sim3	sim55	文				
甚	sim4	sim22					
壬	lim2	lim24					
任	lim2	lim24					
任	lim6	lim41					
妊	lim2	lim24					
今	kin1	kin33	白				
今	kim1	kim33	文				
今	tann1	tã33	训				
金	kim1	kim33					
襟	khim1	kʰim33					
禁	kim1	kim33					
錦	kim3	kim55					
錦	gim3	ᵑɡim55	又				
禁	kim5	kim41					
欽	khim1	kʰim33					
琴	khim2	kʰim24					
禽	khim2	kʰim24					
擒	khim2	kʰim24					
吟	gim2	ᵑɡim24					
音	im1	im33					
陰	iam1	iam33	白				
陰	im1	im33	文				
飲	am3	am55	白				
飲	im3	im55	文				
蔭	im1	im33					
蔭	im5	im41					
窨	im5	im41					
淫	im2	im24					
立	lip8	lip35					
粒	liap8	liap35	白				
粒	lip8	lip35	文				
緝	tship7	tsʰip5					
集	tsip8	tsip35					
輯	tship7	tsʰip5					
習	sip8	sip35					
襲	sip8	sip35					
蟄	tiak8	tiak35	俗				
蟄	tip8	tip35					
澀	siap7	siap5	白				
澀	sip7	sip5	文				
澀	serp7	səp5	文				
汁	tsap7	tsap5	白				
汁	tsip7	tsip5	文				
執	tsip7	tsip5					
濕	sip7	sip5					
十	tsap8	tsap35	白				
十	sip8	sip35	文				
什	tsap8	tsap35	白				
什	sip8	sip35	文				
拾	sip8	sip35					
入	lip8	lip35					
急	kip7	kip5					
級	kip7	kip5	旧				
級	khip7	kʰip5					
汲	khip7	kʰip5					
給	kip7	kip5					
泣	khip7	kʰip5					
及	khip8	kʰip35	白				
及	kip8	kip35	文				
吸	khip7	kʰip5	白				
吸	hip7	hip5	文				
邑	ip7	ip5					
揖	ip7	ip5					
丹	tan1	tan33					
單	tuann1	tuã33	白				
單	tan1	tan33	文				
旦	tuann5	tuã41	白				
旦	tan5	tan41	文				
灘	thuann1	tʰuã33	白				
灘	than1	tʰan33	文				
攤	thuann1	tʰuã33	白				
攤	than1	tʰan33	文				
坦	than3	tʰan55					
嘆	than5	tʰan41					
炭	thuann5	tʰuã41	白				
炭	than5	tʰan41	文				
檀	tuann2	tuã24	白				
檀	tan2	tan24	文				
壇	tuann2	tuã24	白				
壇	tan2	tan24	文				
壇	tham2	tʰam24					
彈	tuann2	tuã24	白				
彈	tan2	tan24	文				
誕	tan6	tan41					
但	tan6	tan41					
彈	tan6	tan41					
蛋	tan6	tan41					
憚	tan6	tan41					
難	lan2	lan24					
難	lan6	lan41					
蘭	lan2	lan24					
攔	nuann2	nuã24	白				
攔	lan2	lan24	文				
欄	nuann2	nuã24	白				
欄	lan2	lan24	文				
懶	lan3	lan55					
爛	nuann6	nuã41	白				
爛	lan6	lan41	文				
贊	tsan5	tsan41					
餐	tshan1	tsʰan33					
燦	tshan5	tsʰan41					
殘	tsuann2	tsuã24	白				
殘	tsan2	tsan24	文				
珊	san1	san33					
散	suann3	suã55	白				
散	san3	san55	文				
傘	suann5	suã41	白				
傘	san5	san41	文				
散	suann5	suã41	白				
散	san5	san41	文				
肝	kuann1	kuã33	白				
肝	kan1	kan33	文				
竿	kuann1	kuã33	白				
竿	kan1	kan33	文				
干	kan1	kan33					
乾	kuann1	kuã33	白				
乾	kan1	kan33	文				
幹	kan5	kan41					
桿	kuann1	kuã33	白				
桿	kan1	kan33	文				
稈	kuinn3	kuĩ55	白				
稈	kan3	kan55	文				
擀	kuann3	kuã55	白				
擀	kan3	kan55	文				
趕	kuann3	kuã55	白				
趕	kan3	kan55	文				
看	khan1	kʰan33					
刊	khan1	kʰan33					
侃	khan3	kʰan55					
看	khuann5	kʰuã41	白				
看	khan5	kʰan41	文				
岸	huann6	huã41	白				
岸	gan6	ᵑɡan41	文				
岸	an6	an41	文				
岸	han6	han41	文				
鼾	huann2	huã24	白				
鼾	han1	han33	文				
罕	han3	han55					
漢	han5	han41					
寒	kuann2	kuã24	白				
寒	han2	han24	文				
韓	han2	han24					
旱	uann4	uã22	白				
旱	han4	han22	文				
汗	han2	han24					
汗	kuann6	kuã41	白				
汗	han6	han41	文				
翰	han2	han24					
翰	han6	han41					
安	uann1	uã33	白				
安	an1	an33	文				
鞍	uann1	uã33	白				
鞍	an1	an33	文				
按	an5	an41					
案	uann5	uã41	白				
案	an5	an41	文				
扮	pan5	pan41					
盼	phan5	pʰan41					
瓣	pan6	pan41					
辦	pan6	pan41					
綻	tshan6	tsʰan41					
盞	tsuann3	tsuã55	白				
盞	tsan3	tsan55	文				
鏟	tshian3	tsʰian55	俗				
鏟	thuann3	tʰuã55	白				
鏟	tshan3	tsʰan55	文				
潺	tshan1	tsʰan33					
山	suann1	suã33	白				
山	san1	san33	文				
產	suann3	suã55	白				
產	san3	san55	文				
艱	kan1	kan33					
間	kuinn1	kuĩ33	白				
間	kan1	kan33	文				
簡	kan3	kan55					
揀	kuinn3	kuĩ55	白				
揀	kan3	kan55	文				
柬	kan3	kan55					
間	kuinn5	kuĩ41	白				
間	kan5	kan41	文				
眼	nguinn3	ŋuĩ55					
眼	gan3	ᵑɡan55					
閒	uinn2	uĩ24	白				
閒	han2	han24	文				
限	han4	han22					
莧	huinn6	huĩ41	白				
莧	hian6	hian41	文				
班	pan1	pan33					
扳	pan1	pan33					
頒	pan1	pan33					
板	pan3	pan55					
版	pan3	pan55					
鈑	pan3	pan55					
攀	phan1	pʰan33					
襻	phan5	pʰan41					
蠻	ban2	ᵐban24					
慢	ban6	ᵐban41					
棧	tsan6	tsan41					
删	san1	san33					
訕	san5	san41					
