#符号说明：-白=文/书*俗?待考		连读降调	[1b]⁵³
#调值		连读升调	[3b]²⁴
#ɿ	[1]⁵³[2]³³[3]²¹⁴[5]⁴⁴[7a]⁵⁵[7b]⁵[8]¹²[0]⁰	连读高调	[5b]⁴⁴
x	[1]荤昏婚		
Ø	[1]温瘟[2]文{~化}纹魂馄浑[3]混		

#yen			
tɕ	[1]军肫均钧菌[2]群裙唇[3]准{标~}		
tɕʰ	[1]椿春		
ɕ	[1]熏仲[2]旬[5]训顺闰		
Ø	[2]云赢员{社~}元{~旦}袁匀[5]运晕允		

#ɑŋ			
p	[2]旁膨[3]绑榜		
pʰ	[5]胖		
b	[3]棒		
m	[2]忙2盲{文~}		
f	[1]芳[2]房2{~子}防[3]纺{~纱}		
t	[1]当{~时}[2]堂唐糖塘[5]当{上~}□{横~：椅了牚儿}[5b]党挡		
tʰ	[1]汤[5]烫趟		
d	[3]荡		
l	[2]郎廊狼娘[3]朗[5]浪		
ts	[1]张{姓}装章樟障[3]长{船~}[5]葬脏胀2		
tsʰ	[1]仓苍疮昌菖[3]厂[5]畅唱倡		
s	[1]桑丧霜1{浓~}[2]床尝偿[3]上{~山}[5]尚[3b]裳{农~}		
k	[1]刚钢豇2[5b]岗{~位}		
kʰ	[1]康[5]抗		
x	[2]航降{投~}		

#iɑŋ			
l	[2]良凉量粮梁粱[3]两{一~；~两}[5]亮谅量		
s	[1]相{互~}[5]相1{看~}		
tɕ	[1]将{~军}浆张{量词}疆薑姜{生~}[2]详祥常长{~短}肠场{~□：地名}张[3]奖桨长丈1{~母}掌涨[5]蒋酱将{大~}帐{一蚊}账胀1[5b]仗{打~}		
tɕʰ	[1]枪腔[3]抢□{~起来：挽起来}[5]创丈2{~人}		
ȵ	[3]昂{头~起来}[5]酿让2		
ɕ	[1]箱镶商伤香乡[2]墙[3]想鲞象像项响[5]匠相2{看~}向[5b]享{~受}		
Ø	[1]央秧[2]羊洋烊杨阳扬疡[3]仰养痒[5]样		

#uɑŋ			
k	[2]狂[5b]广{~州；~播}		
kʰ	[1]筐[5]况矿		
x	[1]慌[5]晃		
Ø	[1]汪[2]黄2{姓}簧皇2蝗王2{姓}[5]旺[5]往		

#yɑŋ			
tɕ	[1]桩2[3]状[5]壮2		
ɕ	[1]双2{~胞胎}舂2霜2[5]爽		

#oŋ			
p	[1]崩[2]朋篷棚		
pʰ	[3]捧		
m	[2]蒙[3]猛2[5]孟梦[5b]懵{~懂}		
f	[1]风枫疯半封蜂锋[2]逢缝{动}[3]风冯奉[5]缝{名}		
t	[1]冬东[2]同制桐筒童[3]懂[5]冻栋[5b]董		
tʰ	[1]通[3]捅[5]统痛洞		
d	[3]桶动		
n	[3]侬		
l	[2]农脓笼聋隆龙[3]拢[5]弄[3b]泷{七里~：地名}		
ts	[1]宗棕鬃忠终钟{姓}盅[5]综众粽从[5b]总{~个滴东西：只有这点东西，兰江地区船上话}		
tsʰ	[1]聪葱充[5][3b]囱{烟~}		
s	[1]松{轻~}松{~树}胸[5]宋送讼		
k	[1]公蚣工功攻弓躬宫恭[3]共[5]贡供		
kʰ	[1]空[3]孔[5]控空[5b]恐		
x	[1]烘[2]弘宏洪[5]哄{起~}		
Ø	[1]翁[2]红		

#ioŋ			
tɕ	[1]中钟{~表}[2]虫穷重{~复}[3]重{轻~}种{名}肿[5]仲{杜~：一种草药}种{动}		
tɕʰ	[1]冲[3]宠[5]铳[5b]共{~姓：同姓}		
ɕ	[1]兄凶		
Ø	[2]荣绒熊雄浓容蓉[3]勇[5]用[5b]永拥{~护}		

#m̩			
Ø	[3]母		

#n̩			
Ø	[2]鱼渔儿{~子}尔{义为“你”}[3]五午[5]二[5b]耳{~朵}		

#əɭ			
Ø	[2]儿2{幼~班}[21]耳2{木~菜}		

#əʔ			
p	[7b]驳{~子船}泊北白柏伯[8]鼻2{~头}雹白		
pʰ	[7b]泼朴扑仆擘迫拍魄		
m	[8]末墨拇{~指头}目穆木陌麦脉		
f	[7b]弗{~是}福幅覆[8]佛复{~兴街：地名}复{~杂}服伏		
t	[7b]得德笃□{“扎”义}扎□{“啄”义}[8]达夺突特独读毒		
tʰ	[7b]塔脱2{蛇~壳}托秃		
l	[8]蜡肋骆洛络鹿禄绿录六陆		
ts	[7b]只{“只有”义,梅城船上话}指{拇~头}趾2{脚~头}执汁质作则殖值泽窄{~溪：地名}摘责[8]杂秩宅{贺~：地名}		
tsʰ	[7b]察彻撤测拆策册		
s	[7b]些腮{络~胡子}湿设塞室色识式饰释[8]涩铡贼		
k	[7b]个2{一~人，少}各搁格革隔□{~去罢：被轧了}[8]闸		
kʰ	[7b]咳{~嗽}磕掐1{~人中}押{~宝}刻{动}克窟客		
x	[7b]黑吓{~去罢：吓着了}赫[8]合核{审~}学2{上~}		
ŋ	[7b]□{~断：折断}[8]岳额		
Ø	[7b]押{~船}压{~迫}		

#iəʔ			
p	[7b]笔毕必逼碧璧{石~：地名}壁[8]别{~个：别人}鼻1{~头}辟		
pʰ	[7b]匹僻劈		
m	[8]秘{~书}灭密蜜		
t	[7b]的{目~}滴[8]敌		
tʰ	[7b]踢剔		
l	[8]立烈裂略栗律力历		
ts	[7b]卒{~不头：象棋里的小兵}		
tɕ	[7b]阶2{台~}眨{眼睛~下}甲急级折{~起}浙吉雀鲫织职绩击激剧{越~}积迹脊隻只{量词}[8]及疾侄直值极籍		
tɕʰ	[7b]契{~约}掐2{~牢：掐住}缉戚吃七漆鹊赤尺[8]集		
ȵ	[8]孽日虐		
ɕ	[7b]髓{骨~}吸膝虱失削息锡析惜适歇[8]习十拾{收~}折{~本}实食蚀席石		
Ø	[7b]□{“又”义}揖一乙益[8]药2译		

#uəʔ			
t	[7b]答搭督		
tʰ	[7b]獭		
ts	[7b]扎{~紧：捆紧}足		
tsʰ	[7b]插		
s	[7b]萨杀索粟束		
k	[7b]夹{~袄}葛括刮骨郭国		
kʰ	[7b]阔扩哭		
x	[7b]瞎藿		
