来源：	邢红文 2019《古县（尧店）方言音系及其与周边方言声调的比较研究》；Hynuza, Skanda 整理录入
ɕ	［1］仙鲜掀先［2］咸嫌闲贤弦［3］险限显县羡陷苋现廯馅=［5］线献宪
Ø	［1］烟［2］炎盐阎延研沿严岩檐言=颜=［3］掩=演魇艳验雁砚焰酽谚［5］燕咽宴厌
#uan
t	［1］端［3］短断=段=缎=［5］锻{～炼}
tʰ	［2］团抟□{骗：～人}［3］断-缎-段-
n	［3］暖
l	［3］卵乱=
ts	［1］钻{动词}专砖［3］转{～手}赚［5］转{～圈}钻{名词}
tsʰ	［1］汆川穿撺［2］传{～达}椽船攒{用工具把材料聚在一起}［3］喘［5］篡窜串
s	［1］酸闩栓［5］涮蒜算
z	［3］软
k	［1］官棺观{参～}关［3］管馆［5］贯灌冠惯罐观{道～}
kʰ	［1］宽［3］款
x	［1］欢獾［2］桓还{～原}环［3］缓换患宦幻［5］唤焕
#yan
tɕ	［1］捐［3］捲{～起}啳{骂：～人}倦［5］卷{～子}眷绢
tɕʰ	［1］圈{圆～}［2］全泉拳权颧［3］圈{猪～}犬［5］劝券
ɕ	［1］宣喧轩□{馒头蒸得松软}［2］旋{～转}悬玄［3］选旋{～吃～做}镟
Ø	［1］冤渊［2］圆员缘元原源袁辕援园［3］远院愿［5］怨
#ən
p	［1］奔［3］本笨=
pʰ	［1］喷［2］盆［3］笨-
t	［1］灯-蹬-［3］等-
tʰ	［1］吞-腾{～人：（道路）颠簸}［2］誊-疼-
n	［2］脓-□{被水泡发状}［3］嫩
l	［2］聋-笼-垅-䪊{～头：辔头}
tsʰ	［5］衬趁
s	［1］森参{人～}［5］渗
tʂ	［1］针斟珍真贞侦［3］诊疹阵={雷～雨}［5］枕{动词}镇振震
tʂʰ	［2］沉陈尘臣晨-［3］阵-{一～儿}［5］称{相～}
ʂ	［1］身申伸娠深［2］神［3］肾婶沈审甚慎
ʐ	［2］任{姓}人仁［3］忍任{责～}刃认韧纫
k	［1］跟根
kʰ	［3］恳垦肯啃
ŋ	［1］恩［5］摁
x	［2］痕［3］很恨狠
Ø	［1］嗯
#in
p	［1］斌彬宾槟［5］殡鬓
pʰ	［1］拼□{用刀斜砍}［2］贫频［3］品［5］聘
m	［2］民［3］悯抿敏
t	［3］紧-［5］劲-
n	［1］阴-荫姻［2］淫银［5］饮{～马}
l	［2］林淋琳临邻鳞磷［3］檩吝赁
tɕ	［1］今=金禁{～不住}襟津斤筋巾□{系}［3］锦尽近=紧=妗=［5］晋进仅禁{～止}劲=
tɕʰ	［1］侵钦亲{～戚}［2］擒琴禽噙秦勤芹［3］亲{～家}寝近-妗-［5］浸
ɕ	［1］心辛新薪欣［2］寻-晨-［3］囟{～门：太阳穴}［5］衅信
Ø	［1］音因洇姻殷荫=阴=［2］龈［3］引隐瘾□{孳生}［5］印饮=
#uən
t	［1］敦墩蹲东-冬-［2］饨{馄～}［3］盾{矛～}［5］顿扽{拽住}吨盹炖冻-
tʰ	［2］屯豚臀铜-桐-吞=［3］桶-动-囤
l	［2］论{～语}伦沦轮=［3］论={议～}
ts	［1］尊遵［3］准肿-［5］种-
tsʰ	［1］葱-村椿春［2］纯存醇虫-唇=［3］重蠢［5］寸
s	［1］松-孙［3］笋榫顺［5］瞬舜送-
z	［2］□{碎成渣状}［3］闰润
k	［1］公-{～母}工{～钱}功-{～夫}［3］滚［5］棍
kʰ	［1］昆坤空-{～虚}［3］捆［5］困空-{～缺}
x	［1］昏婚荤［2］魂馄浑红-洪-［3］混哄-
#yn
l	［2］轮-
tɕ	［1］均钧君军竣［3］菌郡［5］俊
tɕʰ	［1］皴［2］群裙穷-
