jiᶽan tiᶽ	trad	detail	调类	
铺	鋪	店～	pʰu5	
铺	舖	店～	pʰu5	
婆	婆		bu2	
鄱	鄱		bu2	
薄	薄	～荷	bu2	
抚	撫	～一～：輕輕摸一摸	bu2	
蒲	蒲		bu2	
菩	菩		bu2	
脯	脯	胸～	bu2	
匍	匍		bu2	
葡	葡		bu2	
葡	葡	～萄	bəʔ8	
孵	孵		bu2	
部	部		bu6	
簿	簿		bu6	
步	步		bu6	
捕	捕		bu6	
埠	埠		bu6	
伏	伏	～下來	bu6	
孵	孵		fu1	
俘	俘		fu1	
夫	夫		fu1	
肤	膚		fu1	
肤	肤	同膚	fu1	
敷	敷		fu1	
麸	麩		fu1	
府	府		fu1	
腑	腑		fu1	
俯	俯		fu1	
甫	甫		fu1	
斧	斧		fu1	
釜	釜		fu1	
辅	輔		fu1	
黼	黼		fu1	
武	武		vu6	
舞	舞		vu6	
侮	侮		vu6	
鹉	鵡		vu6	
付	付		fu5	
傅	傅	姓	fu5	
赋	賦		fu5	
咐	咐		fu5	
赴	赴		fu5	
讣	訃		fu5	
富	富		fu5	
副	副		fu5	
符	符		vu2	
扶	扶		vu2	
芙	芙		vu2	
无	無		vu2	
无	无		vu2	
橆	橆		vu2	
芜	芜		vu2	
芜	蕪		vu2	
毋	毋		vu2	
巫	巫		vu2	
浮	浮		vu2	
抚	撫		vu2	
傅	傅	師～（錯讀爲師父）	vu6	
父	父		vu6	
腐	腐		vu6	
附	附		vu6	
驸	駙		vu6	
务	務		vu6	
妩	嫵		vu6	
庑	廡		vu6	
雾	霧		vu6	
妇	婦		vu6	
负	負		vu6	
戊	戊		vu6	
腐	腐		vu6	
姑	姑		ku1	
沽	沽		ku1	
菇	菇		ku1	
菰	菰		ku1	
苽	苽		ku1	
箛	箛		ku1	
咕	咕		ku1	
咕	咕		ɡu6	
孤	孤		ku1	
箍	箍		ku1	
鸪	鴣		ku1	
辜	辜		ku1	
古	古		ku1	
估	估		ku1	
牯	牯		ku1	
股	股		ku1	
鼓	鼓		ku1	
蛊	蠱		ku1	
贾	賈		ku1	
故	故		ku5	
固	固		ku5	
锢	錮		ku5	
雇	雇	～用，姓	ku5	
雇	僱	～用	ku5	
顾	顧		ku5	
顾	頋	俗顧字	ku5	
骷	骷		kʰu1	
枯	枯		kʰu1	
苦	苦		kʰu1	
库	庫		kʰu5	
裤	褲		kʰu5	
绔	絝		kʰu5	
袴	袴		kʰu5	
呼	呼		hu1	
虍	虍		hu1	
虎	虎		hu1	
琥	琥		hu1	
唬	唬		hu1	
浒	滸	水～傳	hu1	
浒	滸	～墅關	ɕy1	
吴	吳	～江（地名）	ŋ2	
吴	吴		ŋ2	
吴	吳		ɦu2	
吴	吴	俗吳字	ɦu2	
蜈	蜈		ɦu2	
梧	梧		ɦu2	
鹕	鶘	鵜～	ɦu2	
醐	醐	醍～	ɦu2	
胡	胡	～嚨：喉嚨，～琴	ɦu2	
胡	鬍	～鬚	ɦu2	
胡	衚	～衕	ɦu2	
瑚	瑚		ɦu2	
狐	狐		ɦu2	
湖	湖		ɦu2	
壶	壺		ɦu2	
葫	葫		ɦu2	
糊	糊		ɦu2	
蝴	蝴		ɦu2	
乎	乎		ɦu2	
误	誤		ɦu6	
晤	晤		ɦu6	
捂	捂		ɦu6	
悟	悟		ɦu6	
捂	摀		ɦu6	
户	戶		ɦu6	
扈	扈		ɦu6	
鄠	鄠		ɦu6	
沪	滬		ɦu6	
互	互		ɦu6	
䇘	䇘		ɦu6	
弖	弖		ɦu6	
护	護		ɦu6	
乌	烏		u1	
污	污		u1	
污	汙		u1	
坞	塢		u1	
坞	隖		u1	
钨	鎢		u1	
邬	鄔		u1	
诬	誣		vu2	
伍	伍	（ 文）隊～	vu6	
午	午	（ 文）	ɦu1	
焐	焐	燜	u5	
诸	諸		tʂʯ1	
居	居		tʂʯ1	
裾	裾		tʂʯ1	
琚	琚		tʂʯ1	
崌	崌		tʂʯ1	
腒	腒		tʂʯ1	
车	車	～馬炮	tʂʯ1	
诛	誅		tʂʯ1	
蛛	蛛	結～：蜘蛛	tʂʯ1	
蛛	鼄	結～：蜘蛛	tʂʯ1	
株	株		tʂʯ1	
侏	侏		tʂʯ1	
铢	銖		tʂʯ1	
朱	朱		tʂʯ1	
朱	硃	～砂	tʂʯ1	
茱	茱		tɕy1	
珠	珠		tʂʯ1	
殊	殊		dʐʯ2	
拘	拘		tʂʯ1	
驹	駒		tʂʯ1	
矩	矩		tʂʯ1	
猪	豬		tʂʯ1	
褚	褚		tʂʰʯ1	
渚	渚		tʂʯ1	
煮	煮		tʂʯ1	
蒟	蒟		tʂʯ1	
举	舉		tʂʯ1	
举	擧		tʂʯ1	
莒	莒		tʂʯ1	
柜	柜	～柳	tʂʯ1	
