聲母	韻母	陰平24	陽平21	陰上55	陽上35	陰去33	陽去22
j	œŋ	24央秧殃	21羊洋揚(表~)楊洋陽瘍	55揚(~開)		33養仰癢	22讓穰[禾莖]壤(土壤)攘嚷(攘)讓樣
ɗ	œk			5剁爵雀嚼琢啄鵲			
l	œk						2略掠
ɬ	œk					3削	
ʦ	œk					3著(~衫)	2著(~火)
ʦʰ	œk			5卓桌芍酌綽勺焯			
s	œk					3濕	
ȵ	œk						2若弱虐
k	œk					3腳	
kʰ	œk			5卻			
j	œk					3約	2藥鑰躍
ɓ	ɔ		21婆(~仔)				22棵(一~茶)
pʰ	ɔ	24窠		55頗		33破	
m	ɔ		21磨(~面)	55摸魔摩饃蟆	35磨(石~)		
f	ɔ	24科		55火顆夥棵		33貨課	
w	ɔ	24波菠坡窝倭玻蝸	21和(~氣、~面)禾			33播簸	22禍
ɗ	ɔ		21駝[背，動詞]佗[負重，特指負重於前身]	55左			22隋佐座坐
tʰ	ɔ	24拖搓[文]	21馱駝(駱~)			33唾錯坐	
n	ɔ		21挪娜		35那[指示代詞]哪[疑問代詞]		22糯
l	ɔ	24多囉	21羅鑼籮螺膼	55裸朵躲顆		33𤓓[東西煮焦了的難聞氣味]	
ɬ	ɔ	24蓑梭唆□(眼~~)		55鎖瑣			
ʦ	ɔ			55阻			22助
ʦʰ	ɔ	24初雛	21鋤	55礎			
s	ɔ	24梳	21傻	55所		33梳(一~蕉)	
k	ɔ	24歌		55果餜哥裹		33過個(~人)	
kʰ	ɔ	24戈					
ŋ	ɔ		21俄蛾訛鵝		35我		22餓臥
h	ɔ		21河荷(~花、薄~)何	55可			22賀
ʔ	ɔ	24阿(~膠)屙					
pʰ	ɔi					33沛	
w	ɔi	24杯煨	21回茴			33背貝閉輩	22會彙
ɗ	ɔi	24災栽	21台擡臺苔(苔蘚)	55宰		33載(~重)再	22待代袋在載(滿~而歸)
tʰ	ɔi	24怠殆胎苔(脷~)	21才材財裁才	55彩採睬		33菜蔡	
n	ɔi		21來萊				
ɬ	ɔi	24腮鳃				33塞(~外)	
k	ɔi	24該		55改		33蓋[蓋子]	
kʰ	ɔi					33槪溉丐(乞~)慨蓋(~世英雄)	
h	ɔi	24開		55凱海			22亥害
ŋ	ɔi		21呆				22礙
ʔ	ɔi	24哀埃		55藹		33愛	
ɓ	wɔi		21陪培賠				22吠焙
pʰ	wɔi	24胚坯	21裴		35倍	33配佩	
m	wɔi	24每	21媒枚梅煤				22昧妹
f	wɔi	24灰				33悔晦	
kʰ	wɔi			55潰		33繪	
h	wɔi			55賄			
ɓ	ɔn						22肨胖
w	ɔn	24般搬		55碗豌剜腕		33半	22换玩
k	ɔn	24幹肝竿乾(~濕)稈擀趕				33幹	
kʰ	ɔn			55懇墾			
h	ɔn		21鼾寒韓痕	55刊罕很		33看旱漢	22汗銲翰恨[喜歡]
ŋ	ɔn		21齦銀				22岸
ʔ	ɔn	24安鞍		55按(~住)		33按案	
