"id","hanzi","note","ipa","audio","ntd","dl","databse","py"
102,"易","(难易)","ʒ̩","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/ri6.wav",6,"阳去","zg","ri6"
103,"毅",,"ʒ̩","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/ri6.wav",6,"阳去","zg","ri6"
104,"肄","(肄业)","ʒ̩","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/ri6.wav",6,"阳去","zg","ri6"
105,"艺",,"ʒ̩","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/ri6.wav",6,"阳去","zg","ri6"
106,"议",,"ʒ̩","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/ri6.wav",6,"阳去","zg","ri6"
107,"翼",,"ʒ̩","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/ri6.wav",6,"阳去","zg","ri6"
108,"吁",,"ʒ̩ʷ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/riu1.wav",1,"阴平","zg","riu1"
109,"盂",,"ʒ̩ʷ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/riu1.wav",1,"阴平","zg","riu1"
110,"迂",,"ʒ̩ʷ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/riu1.wav",1,"阴平","zg","riu1"
111,"于",,"ʒ̩ʷ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/riu2.wav",2,"阳平","zg","riu2"
112,"饫",,"ʒ̩ʷ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/riu5.wav",5,"阴去","zg","riu5"
113,"喻",,"ʒ̩ʷ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/riu6.wav",6,"阳去","zg","riu6"
114,"寓",,"ʒ̩ʷ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/riu6.wav",6,"阳去","zg","riu6"
115,"御","(防御)","ʒ̩ʷ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/riu6.wav",6,"阳去","zg","riu6"
116,"愈","(愈好,病愈)","ʒ̩ʷ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/riu6.wav",6,"阳去","zg","riu6"
117,"玉",,"ʒ̩ʷ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/riu6.wav",6,"阳去","zg","riu6"
118,"芋",,"ʒ̩ʷ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/riu6.wav",6,"阳去","zg","riu6"
119,"裕",,"ʒ̩ʷ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/riu6.wav",6,"阳去","zg","riu6"
120,"誉","(荣誉)","ʒ̩ʷ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/riu6.wav",6,"阳去","zg","riu6"
121,"豫",,"ʒ̩ʷ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/riu6.wav",6,"阳去","zg","riu6"
122,"遇",,"ʒ̩ʷ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/riu6.wav",6,"阳去","zg","riu6"
123,"预",,"ʒ̩ʷ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/riu6.wav",6,"阳去","zg","riu6"
124,"驭",,"ʒ̩ʷ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/riu6.wav",6,"阳去","zg","riu6"
125,"折","(弄折了)","ɕɪʔ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xig8.wav",8,"阳入","zg","xig8"
