繁体	简体	声母	韵母	聲調	拼音无调	拼音	IPA	备注		
硟	硟	s	ing	1	sing	sing1	siŋ³⁵			
硟	硟	s	ing	1h	sing	sing1h	siŋ⁵⁵			
顫	颤	z	ing	5	zing	zing5	tsiŋ²⁴			
昌	昌	c	iong	1h	ciong	ciong1h	tsʰiɔŋ⁵⁵			
菖	菖	c	iong	1h	ciong	ciong1h	tsʰiɔŋ⁵⁵			
長	长	c	iong	2	ciong	ciong2	tsʰiɔŋ²¹	~短。		
長	长	z	iong	3	ziong	ziong3	tsiɔŋ¹¹	生~。		
常	常	s	iong	2	siong	siong2	siɔŋ²¹			
場	场	c	iong	2	ciong	ciong2	tsʰiɔŋ²¹			
甞	甞	s	iong	2	siong	siong2	siɔŋ²¹			
腸	肠	c	iong	2	ciong	ciong2	tsʰiɔŋ²¹			
嘗	尝	s	iong	2	siong	siong2	siɔŋ²¹			
償	偿	s	iong	2	siong	siong2	siɔŋ²¹			
廠	厂	c	ong	3	cong	cong3	tsʰɔŋ¹¹			
倡	倡	c	iong	1h	ciong	ciong1h	tsʰiɔŋ⁵⁵			
唱	唱	c	iong	5	ciong	ciong5	tsʰiɔŋ²⁴			
暢	畅	c	iong	6	ciong	ciong6	tsʰiɔŋ³²			
抄	抄	c	aau	1	caau	caau1	tsʰau³⁵			
抄	抄	c	aau	1h	caau	caau1h	tsʰau⁵⁵			
超	超	c	iu	1	ciu	ciu1	tsʰiu³⁵			
超	超	c	iu	1h	ciu	ciu1h	tsʰiu⁵⁵			
鈔	钞	c	aau	1h	caau	caau1h	tsʰau⁵⁵			
焯	焯	c	io	1	cio	cio1	tsʰiɔ³⁵			
巢	巢	c	aau	2	caau	caau2	tsʰau²¹			
朝	朝	c	iu	2	ciu	ciu2	tsʰiu²¹	~代。		
朝	朝	z	iu	1	ziu	ziu1	tsiu³⁵	今~。		
朝	朝	z	iu	1h	ziu	ziu1h	tsiu⁵⁵	今~。		
潮	潮	c	iu	2	ciu	ciu2	tsʰiu²¹			
吵	吵	c	aau	3	caau	caau3	tsʰau¹¹			
炒	炒	c	aau	3	caau	caau3	tsʰau¹¹			
車	车	c	iaa	1	ciaa	ciaa1	tsʰia³⁵			
車	车	c	iaa	1h	ciaa	ciaa1h	tsʰia⁵⁵			
車	车	g	ui	1h	gui	gui1h	kui⁵⁵	~马炮。		
扯	扯	c	i	1	ci	ci1	tsʰi³⁵			
坼	坼	c	ae	1	cae	cae1	tsʰæ³⁵	开。		
㿭	㿭	c	ae	1	cae	cae1	tsʰæ³⁵	皴。		
撤	撤	c	ie	1	cie	cie1	tsʰie³⁵			
徹	彻	c	ie	1	cie	cie1	tsʰie³⁵			
臣	臣	s	ang	2	sang	sang2	sɐŋ²¹			
辰	辰	s	ang	2	sang	sang2	sɐŋ²¹			
沉	沉	c	ang	2	cang	cang2	tsʰɐŋ²¹			
陳	陈	c	ang	2	cang	cang2	tsʰɐŋ²¹			
