#声调	1阴平24 2阳平21 3阴上阳去31 5阴去52 7阴入32 8阳入5
#注释	*训=文-白
#资料来源	《永定县志》，语保永定，《福建省永定凰城客家话研究》
#a	
ŋ	[2]我-[3]外[5]挨*{挨：这人真难～，即难对付}
x	[2]孩还[3]亥蟹[5]咳懈
0	[1]哀{悲～}挨=[5]隘
#uɔi	
p	[5]背{～脊}
pʰ	[1]胚{指人的骨架}[2]赔[3]焙{烘烤}背{～诵、～僻}
m	[2]媒霉梅枚媒[5]妹
f	[1]灰
v	[1]煨锅{小泥堡}[3]会{～弹琴}
t	[1]堆[3]趸*{打～卖}[5]碓队
tʰ	[1]梯胎[3]代贷袋逮{来唔~：来不及}[5]蜕{～皮}
l	[2]来[5]蠡*{剔去枝叶}
ts	[1]朘{男子阴茎}[5]喙{嘴}嘴载{～饭：盛饭}
tsʰ	[1]在吹[2]裁*{砍}[3]彩{～头}睬[5]菜
s	[5]赛说{哄小孩}
k	[1]胲{两腮和嘴巴下面}该[3]改[5]盖
kʰ	[1]开
ŋ	[2]呆[3]碍
x	[1]灰[3]害海
0	[1]哀{哀天哀地}哀{母亲}[5]爱{要}瑷媛暧
#ei	
p	[1]杯卑妇-{新~}披*{螺丝~：螺丝刀}[3]鄙*{差劲儿}[5]贝辈
pʰ	[1]批[2]陪培裴肥-[3]倍吠[5]配呸沛佩肺-
m	[1]买每母-[2]埋[3]卖味
f	[2]回茴[3]睡会{开会}[5]悔贿废惠慧秽费
v	[3]撒*{播洒}
t	[1]低堆=[3]抵底[5]对队兑
tʰ	[1]娣弟-推[2]啼蹄[3]腿[5]替剃退
n	[2]泥[3]内[5]疣*{疣、痣}
l	[1]镭{铜板}[2]犁黎雷[3]累锐内儡类蕾{花骨朵}
ts	[1]追[5]最赘醉绩{乱~：丝瓜}醊{~酒：喝酒}
tsʰ	[1]催崔筛-[2]捶{～背}锤齐槌[3]罪坠[5]碎脆
s	[1]衰虽舐{舔}丝*{牛鞭}箠*{牛鞭}[2]随绥垂荽[3]洗事-{做～，干活}[5]细婿发遂隧岁
k	[1]鸡街羁{系}[3]解-{～绳结}[5]个
kʰ	[1]溪[5]契{地～}弃*{扔，投掷}
ŋ	[2]鱼渔危[3]伪[5]艾-蚁
x	[2]鞋[3]系{是，～唔～}
0	[1]挨-{～琴，拉琴}[3]矮[5]□{本县地名：～岗上}
#eiʔ	
p	[7]笔窟{屎~}发{~子：怀孕}逼必{裂}
pʰ	[7]辟避[8]匹*{~tɕʰiɔʔ7 不要，不稀罕}
m	[7]没*{腐烂}[8]没没{～子，蝶一类的小飞虫}
f	[7]拂*{甩开、丢开}[8]核{果~}佛
v	[7]乙物
t	[7]滴[8]刺*{刺入}
tʰ	[7]剔[8]敌
l	[7]垃脱*{滑下}笠[8]立粒栗力律
ts	[7]执汁{目~：眼泪}卒织积[8]再*{~~、再、重复}自{~家人}
tsʰ	[7]漆七出膝戚[8]拭疾{痛}直值稙侄
s	[7]圾湿吸失息式惜=室[8]食十缉集辑习袭蛰什拾实席=
ŋ	[8]□{鞋子太小，会～脚}
0	
#iai	
tɕ	[1]皆[3]解={～放}[5]戒介界芥疥
0	[2]椰
#uei	
k	[1]归圭闺龟[2]□{~~ kuei5kuei5 ：嘴说怪话}[3]鬼轨[5]贵挂季-
kʰ	[1]亏[2]葵奎逵[3]跪柜愧[5]愧溃绘会{～计}
#uai	
k	[1]乖[3]拐蛙*[5]怪
kʰ	[2]穷*[5]筷快块
#au	
p	[1]包胞苞鲍[3]饱[5]豹爆
pʰ	[1]抛跑[2]袍饱刨[3]抱[5]炮泡{水～}疱
n	[3]闹
l	[1]邀*{游玩}捞*{以为}[2]劳*{～罩：胡来胡搞}[5]老={～虎、～鼠}
m	[1]猫[2]茅[3]貌卯[5]冒*{用咀拱}
ts	[1]焦*{干～}糟[3]爪找[5]罩
tsʰ	[1]操抄钞[2]吵[3]炒[5]躁燥-
s	[1]稍[2]烫*{～菜，用开水烫一下}[5]哨
k	[1]教{～书}交郊胶膏[3]搞绞狡搅校[5]教{～学}较
kʰ	[1]敲交{~腿}[3]考巧烤[5]靠
ŋ	[1]咬[2]熬聱{歪}[3]傲
x	[3]好{爱～}效[5]孝酵
0	[1]凹坳[3]拗{折}
#ɔu	
p	[1]波菠玻坡褒[2]□{打人}[3]保宝堡葆[5]报簸
pʰ	[1]泡*{水上有～}[2]浮-婆[3]暴爆{～炸}[5]破
m	[1]毛摸[2]磨{～刀}魔摩模巫-无{没有}蘑[3]冒帽磨{～石}[5]墓-慕
f	[2]和{～气}[3]火伙祸[5]货
v	[1]倭窝莴[2]禾[3]号{哭}
t	[1]多刀[2]驼{～背}[3]倒岛朵祷[5]到惰倒{～吊}
tʰ	[1]拖滔[2]桃逃驼=舵淘陶萄[3]道妥椭讨盗稻[5]套导
n	[2]哪=揉*{搓}[3]糯脑恼
l	[1]唠摞捞[2]劳罗锣箩牢骡螺脶裸萝[3]老-
ts	[1]糟遭[3]早枣左佐[5]做灶
tsʰ	[1]坐搓[2]曹槽[3]座{～位}草[5]挫锉糙皂造错
s	[1]臊蓑梭唆骚骚*{知~：知道}[2]□{酸气十足}[3]锁嫂琐所[5]扫
k	[1]高哥歌锅戈篙糕[3]果课裹稿[5]过告
kʰ	[1]科棵颗窠{山谷}[3]考可[5]课
ŋ	[2]鹅蛾俄[3]我=饿卧[5]傻*{～鬼，即傻子}
x	[1]耗[2]河荷何豪壕籇{捉鱼的竹笼}[3]好{～坏}贺号浩[5]□{象声词，大水流或火药燃烧的声音}呵*{呵，喷气，动词}
0	[1]屙[2]蚝呕[3]袄懊[5]澳
#əu	
pʰ	[1]剖
m	[2]谋[3]某贸亩牡茂
f	[2]浮[3]否
t	[1]兜朝{今~}[3]斗{一～米}抖陡[5]斗{～争}窦{猪~：猪圈}
tʰ	[1]偷[2]投头[3]豆痘敨毒{动词}[5]透透{疲乏}
n	[2]浓*[3]钮纽-
l	[1]诱*{唤家禽畜声}[2]楼搂耧[3]漏篓陋[5]诱*{引逗}
ts	[1]招朝{今～}昭沼邹[3]走{跑}[5]照诏奏骤
tsʰ	[1]超馊-{臭~}[2]朝{～代}[3]赵兆召[5]凑
s	[1]烧搜馊=[2]愁韶[3]少{多少}绍部[5]少{～年}嗽瘦
k	[1]勾钩沟[3]狗苟[5]够构购
kʰ	[1]抠厚-箍[3]口[5]扣{~针：别针}叩寇
ŋ	[2]牛[3]藕偶
x	[2]猴侯{姓～}喉[3]后候厚=
0	[1]欧瓯殴[3]呕怄[5]沤
#iɔu	
tɕʰ	[2]茄
ɕ	[1]靴[2]眯*{～目，眯缝眼}[5] 戽{巴掌打人}
#iəu	
p	[1]标表{手～}彪膘[3]婊表{～扬}
pʰ	[1]飘漂[2]蔈嫖瓢薸{浮萍}[5]票漂
m	[2]描[3]庙[5]猫-谬
t	[1]刁貂雕鸟[3]鸟{交合}[5]吊调{～动}钓
tʰ	[1]挑[2]调{～解}条[3]调{～换、音～}[5]跳粜
l	[1]镣{链镣}[2]燎寮撩{挑逗}[3]嬲{玩}了廖料遛[5]袅*{乌~子：八哥}
