#符号说明：-白=文/书*俗?待考		连读高降调	[1b]⁵³
#调值	[1]⁵³ [2]⁵⁵ [3]²¹ [5]²² [6]³²⁴ [0]⁰	连读高平调	[2b]⁵⁵
#ɿ		连读低降调	[3b]²¹
s	[1]稍宵销箱[2b]所{无~谓}[3]小想鲞[5]消笑相{互~；手~}像[6]削□{~白：雪白}		
ȵ	[2]娘2		
Ø	[1]□{~袱儿：手帕}[5]央		

#iou			
t	[1]丢		
l	[2]流刘留榴硫[5]柳[6]溜		
ts	[3]酒[6]足		
tsʰ	[1]秋{~天；~千}鞦鳅[2]愁[5]凑[6]袖麯		
s	[1]修秀绣[5]锈续{手~}[6]宿{醒~：熬夜的人}粟		
tɕ	[1]猪{~八戒}周舟州洲纠□{~la6车：自行车}[2]球[3]帚九久韭□{pʰo⁵⁵~：盘缠}[5]皱咒灸救究烛[6]竹筑粥		
tɕʰ	[1]抽[1b]桕{~子树：乌柏}[2]绸仇酬求[3]丑醜[5]臭舅局[6]就旧		
ȵ	[1]揉[2]牛蜈{~□kʰan⁰：蜈蚣}[0]肉[6]藕纽扭		
ɕ	[1]收受2休[3]手首守[5]熟[6]受1寿授属		
Ø	[2]邮由油游□{揉（皮肉）}[3]友右[5]优尤佑幼浴[6]有{读字}又釉约育		

#ɤɯ̞			
p	[5]笆		
pʰ	[2]袍[5]泡2 		
m	[2]毛2		
f	[5]罚2佛		
ʋ	[1]爱		
t	[6]□{~重：很重}		
tʰ	[2]苔桃陶萄[6]道2□{想办法把话套出来}		
l	[2]来{周恩~}[5]捞1入2{一党}[5b]□{~sɿ³³：垃圾}[6]脑3老2[3b]耳1{~朵}		
ts	[1]最[6]再[0]蚤{虼~：跳蚤}		
tsʰ	[2b]□{~皮：橡皮}[5]贼[6]在2皂		
s	[1]馊[5]瘦		
k	[1]高{~兴}		
ŋ	[2]熬[5]傲		
x	[5]盒核{~桃}		
Ø	[3b]耳2{~朵}		

#aⁿ			
p	[2]奔{跑}[2]□{“不曾”的合音}[3]本蚌{读字}畚{~箕}[5]□{乳房；乳汁}[5b]棒{~冰}[6]饼{煤~}		
pʰ	[1]喷{~水}[2]盆朋彭膨棚篷蓬[3]捧[6]喷{~鬆，~香}碰		
m	[1]门蚊芒{~帚：扫室内用的笤帚}猛蒙蠓[3]孟[3b]□{io³³~：斗笠}[5b]□{~sin⁵³雨：毛毛雨}[6]闷问梦		
f	[1]帆分芬风枫疯丰讽封峰锋[2]冯缝{动词}[3]粉[5]粪蜂[6]份凤缝{名词}		
ʋ	[1]温瘟□{我}[2]文闻{新~}[3]稳		
t	[1]端{过~：过端午节}灯㬹{手~：肘}东冬□{蘸}[3]盾董懂[5]顿冻		
tʰ	[1]吞通□{~tiɑu̜²⁴：炒菜锅}[2]藤同铜桐筒童瞳[2b]□{tsʰɛ⁵³ʋɤn²⁴~：潜水}[3]桶统[5]痛动[5b]□{ŋɛ³³~：凳子}[6]遁洞□{掉（头发）}□{个~：这里}		
l	[2]能笼聋泷[2b]□{~钻：一种木匠用的钻，较小}[3]拢[6]嫩弄1脓		
ts	[1]精2棕鬃宗综中{~国}终鐘锺钟舂[2]崇[3]总种{~类}肿□{蹲}[5]粽忠中{射~}众踪种{~树}[6]□{叠}		
tsʰ	[1]村闯匆葱囱充冲[2]层虫从松{~树}重{~复}□{划（火柴）}[5]寸聪铳重{轻~}□{凸}[6]□{看}		
s	[1]参{人~}孙狲鬆宋[2]曾㞞{精液}[3]㧐{推}[5]森送		
k	[1]跟根公工功攻贡弓宫恭供{~销社；招~}巩共[1b]更{~加}[5b]□{被子kon³³~：棉袄}		
kʰ	[1]空{~心}[3]肯孔[5]控空{欠；空缺}[0]□{xu̜⁵⁵~：蚯蚓}□{ȵiou̜⁵⁵~：蜈蚣}		
x	[2]宏红洪□{xa⁵⁵ni³³的合音，什么}[3]狠□{撞}[5]夯亨轰哄{起~}嗅{闻}[6]韩恨		

#iaⁿ			
pʰ	[2]姘		
tɕ	[1]针真振遵櫼{锄头~：锄头上用的楔子}蒸[3]诊整[5]珍镇阵震甑证正{~反}[6]枕毽		
tɕʰ	[1]称[2]沉陈尘臣逞成2城2[3]秤□{~家儿：妇女}[6]衬		
ɕ	[1]深身申升声1胸2[2]神慎塍成1城1[3]沈审婶[5]渗圣		
Ø	[2]人2仁绒		

#uaⁿ			
k	[3]滚{~过来；水~}仂[5]棍[6]滚{叫人滚开}		
kʰ	[1]昆崑[3]捆[5]困睏狂		
x	[1]昏婚荤[2]魂浑[3]很[5]混[6]环{~境}		

#iⁿ			
p	[1]宾冰兵[3]柄饼{月~}[6]丙		
pʰ	[1]聘拼[2]贫平坪评瓶[3]品凭[5]别{~个}[6]病		
m	[2]民鸣明2名[3]敏[6]勉命		
t	[1]邓丁钉叮{~人；痒}疔订[1b]□{~~：一切}[3]顶[5]□{使水清}		
