#i		
∅	[1]因姻[2]寅[4]引隱[5]印	
#in		
p	[1]鞭邊[5]變[6]辨辯汴便{方便}	
pʰ	[1]篇偏編[5]騙{騙馬，欺騙}遍{一遍，遍地}片	
m	[2]綿棉眠[4]免勉娩{文，分娩}緬澠{澠池}[6]面麪麵	
t	[1]煎顛[2]田填[3]剪典[5]箭薦踐餞{餞行}[6]電殿奠佃墊{墊錢}	
tʰ	[1]遷天千[3]淺腆{腆肚子}	
n	[2]年	
ɬ	[1]仙鮮{新鮮}先[2]錢前[3]鮮{鮮少}癬[5]線[6]賤羨	
l	[2]連憐蓮[6]練煉	
tʃ	[1]氈顫[3]展[5]戰[6]單{姓}	
ȵ	[2]然燃言研	
ʃ	[4]善膳[5]扇	
k	[1]肩堅[2]乾{乾坤}虔[4]件[5]見[6]鍵健腱建	
h	[1]軒掀牽[3]顯[5]憲獻遣	
∅	[1]煙燕{燕京，姓}咽[2]延賢弦[4]演[5]堰燕{燕子}宴[6]硯現	
#on		
k	[1]干肝竿乾杆[3]稈擀趕[5]幹眷[6]鼾	
ŋ	[6]岸	
h	[1]看{看守}刊[2]寒韓[4]罕旱焊[5]看{看見}漢[6]汗翰	
∅	[1]安鞍[5]按案	
#iun		
ȵ	[2]元{白}原源[4]軟[6]願	
∅	[1]冤[2]完丸{肉丸，彈丸}圓員緣鉛元{文}袁轅園[3]宛[4]遠[5]怨[6]院	
#un		
p	[1]般搬檳{檳榔}[2]盤[3]本[4]伴絆[5]半[6]叛	
pʰ	[1]潘[5]判	
m	[2]瞞門[4]滿[5]悶	
f	[1]寬歡[3]款	
t	[1]端尊[2]臀囤團[3]短[4]斷{斷絕}[5]鑽{木工用具}[6]斷{決斷}鍛{鍛煉}段緞椴	
tʰ	[1]村[5]寸	
n	[4]暖[6]嫩	
ɬ	[1]酸宣孫[2]全泉旋存[3]選損[5]算蒜遜	
l	[2]聯鸞[4]卵[6]亂戀	
tʃ	[1]專磚[2]傳{傳達}船[3]轉{轉眼，轉送}[5]轉{轉螺絲，轉圓圈}[6]傳{傳記}	
tʃʰ	[1]川穿[3]喘[5]串竄	
k	[1]官棺觀{參觀}冠{衣冠}絹捐[2]拳權顴{顴骨}[3]管館卷{卷起}卷[5]貫灌罐觀{寺觀}冠{冠軍}[6]倦	
h	[1]圈{圓圈}[5]勸	
∅	[2]桓援[3]碗腕[4]緩皖{安徽}喚[6]煥換	
#aŋ		
p	[1]崩[2]朋憑彭膨{膨脹}棚	
m	[2]盲盟[4]猛[6]孟	
f	[5]晃{晃眼}	
t	[1]登燈曾{姓}增憎僧[2]騰譽藤[3]等[5]凳[6]鄧	
n	[2]能	
ɬ	[2]曾{曾經}層[6]贈	
l	[4]冷	
tʃ	[1]爭箏[2]橙[6]綻	
tʃʰ	[1]撐牚{椅子牚兒}鐺{烙餅用具}	
ʃ	[1]生牲甥[3]省{省長，節省}	
