	参考资料	《枞阳方言研究》，整理于东乡日常。									
	#调值	[1]³² [2]⁵⁵ [3]⁵² [5]³¹ [7]入声韵分aʔ ㄹ oʔ ㅂ ɪʔ ㄷ əʔ ㄱ ，根据韵不同调值不同，关于nl不分，整理得大部分n+细音，洪音+l.									
	ts 쯘	[1]尊遵增憎曾{姓氏}争筝睁针斟珍榛臻真侦征蒸正{~月}宗棕鬃[3]枕诊疹子拯整总[5]赠朕振震阵镇证症郑正{~确}政纵粽									
	tsʰ 쓴	[1]村撑琛称{~呼}聪匆葱囱[2]寸曾澄沉陈尘辰晨臣澄橙乘丞承盛{~饭}从丛[3]忖惩 *{讨人厌}[5]寸衬趁称{~心}秤									
	s 슨	[1]孙僧生牲笙甥深申伸娠升声松嵩[2]神绳[3]损省{~城}沈审婶怂[5]渗甚葚肾慎胜剩圣盛{茂~}送宋诵颂讼									
	Ø 은	[2]任{姓氏}壬仁仍人（文）[3]忍[5]任妊认刃									
	k 끈	[1]今跟根更{五~}庚羹耕[3]哽耿[5]哽耿									
	kʰ 근	[1]坑[3]垦恳肯啃									
	x 흔	[1]亨[2]亨[3]痕狠[5]恨									
	ŋ 은, 응	[1]恩[2]银[5]硬									
#in 인											
	Ø 인	[1]音阴荫因姻殷鹰莺鹦缨婴英应{~该}[2]吟淫银{文}寅蝇迎盈嬴营茔萤[3]饮引隐影颖尹[5]印应｛答应}映									
	p 삔	[1]彬宾槟殡滨冰兵[3]丙秉饼柄禀[5]病并									
	pʰ 빈	[1]拼[2]贫频凭平瓶屏[3]评品[5]聘									
	m 민	[2]闽民{文}明{文}鸣名铭[3]冥悯敏泯皿[5]命									
	t 띤	[1]丁钉{名词}[3]顶鼎[5]钉{动词}订定锭									
	tʰ 딘	[1]汀厅[2]亭停廷蜓[3]挺艇[5]听									
	n 닌, 린	[1]拎[2]林淋临邻鳞磷陵凌菱灵铃伶零凝凛[3]岭领[5]赁吝令宁另佞									
	tɕ 진	[1]金禁{不~}襟津巾斤筋兢茎京荆惊精晶旌睛经鲸[3]锦紧仅景警谨井颈[5]禁尽进晋近劲境敬竟镜竞净静径									
	tɕʰ 친	[1]侵钦亲卿清青轻蜻顷倾[2]寻{白}琴禽擒秦勤芹擎晴情[3]请寝[5]庆磬									
	ɕ 신	[1]心辛新薪欣兴{~旺}星腥馨先｛白}[2]行形刑型旬循巡[3]醒省{反~}[5]迅信讯兴{高~}杏幸性姓									
#uən 운											
	Ø 운	[1]温瘟翁[2]文纹蚊闻[3]稳吻刎[5]问瓮									
	k 꾼	[1]公工攻功弓躬宫恭[3]滚汞拱巩[5]棍供贡共									
	kʰ 군	[1]昆坤空[3]捆孔恐[5]困控空{有~}									
	x 훈	[1]昏婚轰荤烘[2]魂馄横宏混{~蛋}浑红洪鸿虹{文}[3]哄[5]混{~事}*{闻，嗅到}									
#yən 윤											
	t 뜐	[1]谆肫均钧君军菌中{~文}忠终钟盅[3]准迥窘塚肿种{~子}[5]俊郡中{~计}仲重{~量}种{~地}众									
	tʰ 듄	[1]春椿充冲{~动}舂[2]唇醇群裙纯虫崇重{~新}琼穹[3]蠢宠[5]冲									
	ɕ 슌	[1]熏薰勳兄胸凶[2]熊雄纯{白，纯利润，纯的}唇{白，嘴巴唇}[5]逊顺训舜瞬									
#yən											
	Ø 윤	[1]晕雍庸拥[2]匀云荣融容熔戎绒茸[3]陨永允冗甬涌勇[5]闰润熨韵运用晕(白，发~)									
#ã 안											
	p 빤	[1]班颁扳[3]板版[5]扮瓣办									
	pʰ 반	[1]攀[5]盼绊胖									
	m 만	[2]蛮[5]慢漫(文)幔									
	f 판	[1]番藩翻帆[2]凡烦繁[3]反[5]范犯泛梵贩饭放									
	t 딴	[1]耽担丹单[3]胆[5]淡担挑担旦诞但弹{子~}惮蛋									
	tʰ 단	[1]坍滩摊[2]潭{文}谭（文）谈痰檀坛弹{~琴}堂唐糖螳[3]毯坦倘躺[5]探炭叹烫趟									
	l 란	[2]婪蓝兰拦栏然（文）[3]览揽榄缆懒冉（文）苒(文)[5]滥烂									
	n 난	[2]南（文）难{困~}[5]难{有~}									
	ts 짠	[1]簪臧沾(文)瞻*{~肉，切肉}[3]盏斩展[5]赞暂绽占站蘸栈战颤									
	tsʰ 싼	[1]参{~加}餐搀[2]蚕（文）惭残潺藏谗馋缠（文）蝉[3]惨产铲[5]灿忏濳									
	s 산	[1]三珊山{~事}杉衫删[3]散伞陕闪[5]散赡讪善扇膳擅禅									
	Ø 안	[2]然（文）燃（文）[3]冉（文）									
	k 깐	[1]甘柑泔尴肝(文)间[3]感敢（文）橄杆秆赶拣简(白)碱(白)减(白)[5]赣干{~部}间(白，间花)									
	kʰ 간	[1]堪（文）勘（文）铅(白，铅角子，铅笔)龛[2]衔（白）[3]坎（文）砍侃[5]瞰嵌陷（白）限（不~定）									
	x 한	[1]鼾*{冰冷，冰-}[2]含函邯闲(文)咸(白)寒{文}韩[3]喊罕[5]撼(文)旱(文)汉翰苋									
	ŋ 안	[1]安鞍庵淹[2]严{白，把门关—}[3]俺眼[5]暗岸按案晏									
#iã 얀											
	tɕ 쟌	[1]艰（文2，艰辛）奸(文2）间(文)[3]碱(文)减(文)简(文)									
	ɕ 샨	[2]闲（文2）嫌（文2）咸(文2)[5]馅(文2)限(文2)陷（文2）羡									
#ɔ̃ 언											
