#备注：《如皋方言研究》 吴凤山			
#调值	[6]21 [2]35 [3]213 [5]44 [7]44 [8]35 [0]44/21		
#符号说明：-白=文			
#ɿ			
tɕʰ	[6]谢-榭笡{~头儿：歪脖子}射{南乡音。排泄，~尿}[2]茄-斜-邪-1{淫~}详2{不~意：不在意}强{头~啊~的：不服气的样子}强{另读。顽强、强制：他~，我~不住他}[5]笡{斜}		
ɕ	[6]下=1{~降}夏厦2{~门}蝦=1{鱼~}□{iɑ²¹~：反应迟缓}乡{~下}香{~油}[2]遐暇瑕蝦=2{~蟆}惬{另读。~意}□{~佬儿}霞=[3]写-些[5]下=2{脸上难~}吓2泻-卸-惬{另读。~意}酱{~油}		
Ø	[6]鸦=耶夜-□{~ɕiɑ²¹：反应迟缓}爷{父，西南乡音}[2]爷2{1.父：~娘；2.叔叔}牙=芽=蚜=衙崖涯洋{~火}[3]也-2邪-2{~~许雅野-痒{~惬儿}[5]亚		
#uɑ			
ts	[6]抓[3]爪1{~子：动物的脚}		
tsʰ	[6]□{队列步伐声}		
s	[3]耍□{不黏}		
ʐ	[2]弱{示弱：~把他}		
k	[6]瓜呱1{叽~}[3]剐呱2{~嘴}寡[5]卦挂褂		
kʰ	[6]夸垮[2]划{刮：~皮}骑{强制：~住他把钱。疑为骑、跨、卡}卡{强制：~住他把钱。疑为骑、跨、卡}跨{强制：~住他把钱。疑为骑、跨、卡}[3]侉胯{~pɔŋ²¹³：胯下}[5]跨		
x	[6]化{把大票子换成小票子，俗写化}化{纵向剖：~木头，俗写化}花1话划=1{~分}画={绘~}画={~糕：加工倒箱儿糕}[2]华铧桦划=2{~船：估算：~~}黄-2{~六，质差}[3]□{溶融状}[5]化{~学}霍{另读。~乱(病)}划3{计~、规~}伙{小~}		
ŋ	[3]我{乡村多用此说}[5]我{见于马塘、建设、蒲西、(兼)九华、吴窑、戴庄、何庄、场南、场北等乡}		
#yɑ			
tɕʰ	[2]瘸		
ɕ	[6]靴□{偷：~起来呀}[2]□{偷：~起来呀}□{打：~你！}		
Ø	[6]曰1𦚢{手足曲病}[2]弱{软弱、被欺：~角儿、捉~}[5]曰2{~口：话中含义}□{悠悠地，稳住：~住嘎}		
#ᴇ			
p	[6]□{~~：父。老派称}[3]摆[5]拜外{另读。里~里：反正都是}[0]外{另读。里~里：反正都是}		
pʰ	[6]呸败稗□{浅涉，徒步涉水}[2]排1排{另读。打：不听话就~你}牌1{挂~}[3]排2{~凤：状女儿粗犷}[5]派		
m	[6]卖□{~tᴇ²¹：久视}[2]埋[3]买[5]迈		
v	[6]外歪=□{~儿：蚌、蛤壳}□{~嘴儿}[2]怀-[3]崴{脚扭伤}□{扭动、摇摆}喂{象声词}		
t	[6]呆{傻}□{停留}怠1{懈~}□{仰头}[3]歹□{~~的：经常地}□{吃、咬：一~一个饱、挨狗子~呀一口}逮2{捉}[5]带带{和、同，本字不明，俗写带}答-{~应}戴襶{褦~}		
tʰ	[6]大3{~斧、~气}态汰-{~衣裳}代袋贷殆苔1{青~}怠2{~慢}胎胎{~谐：指人的素质好}紿{松垂}待埭逮1{~捕}拖{舌头~啊下}[2]台抬苔2{菜~}[3]大4{另读。~鱼，乡村常见音}[5]太汰={淘~}泰		
n	[6]耐奈[3]乃奶[5]□{咀嚼不合味，难以下噎状}		
l	[6]赖癞褦{~襶}烂{~污}[2]来俫{人称复数词，常读轻声}[3]咧{~嘴、展开，本字未知}[0]俫{人称代词复数}		
ts	[6]灾斋栽财{~翁(iɔŋ²¹)，本字不明，俗写财}[3]者者{x样，本字不明}宰哉{另读。助词：来~}载1{1.年：三年五~；2.咬定：一口~定吖是他偷的；3.限定：不~~拘}[5]在={好~：所好}再载2{~重}债寨=哉{另读。助词：来~}		
tsʰ	[6]尺2{工~谱}在-差1{出~}猜傤{载运量}射{~尿：排小便}[2]才材财1豺裁[3]採彩睬踩䜺{玉米~儿}[5]菜蔡察{另读。觉~：觉得}		
s	[6]社={~会}射=1趿{teʔ⁴⁴~儿：一种拖鞋}奢腮鳃筛揌{填塞}麝□{哆嗦，~动，吕四za4}[2]柴[3]赊=捨=赦{另读}[5]舍{宿~}晒赛寨-□{魂：落~，吕四sa5}		
k	[6]阶该□{拨移}赅皆-稭街枷{连~(农具名)}居{拥有，俗写赅，本字不明}[3]改解-1{~结}[5]介-芥-疥-戒-械-概溉丐界-届-盖解-3{押~罪犯、~元}锯		
kʰ	[6]开揩[2]□{~气：吐出胃中之气}[3]慨楷□{蚜虫}凯[5]隑{疑为徛，斜靠}徛{斜靠，俗作隑}		
ŋ	[6]艾哀挨1{~近}磑{磨、擦：~来擦去}碍[2]呆2捱埃挨2{~打}癌-[3]矮蔼[5]爱隘		
x	[6]亥骇咳1{叹息、笑声}唉嗐{~文章：唱读}害解-2{姓}懈-[2]还1孩谐-□{~闭眼儿：调皮的眼神}鞋-□{呻吟}[3]海蟹懈{另读。~~儿摇：松~}□{碗}桸{料~：网兜}许海{所有、统统，本字不明}		
#iɛ			
tɕ	[6]皆=阶=[3]解={~放}[5]介=芥=疥=戒=械=界=届=借=		
tɕʰ	[6]谢=[2]茄=邪=斜=[3]且		
ɕ	[6]懈=[2]谐=鞋=[3]写=些[5]泻=卸=		
Ø	[6]夜=[2]爷={老~~}岩-癌=[3]也=野=[5]液腋掖=		
#uᴇ			
ts	[6]栽{跌下去}[3]跩{蹒跚：脚~呀~的}拽{摆威风：你~的哪一家；赞美词：这幅画真~！}[5]拽{拉}		
tsʰ	[6]啐{另读。叹词}揣1{收藏}猜[2]□{~拭：责骂}[3]揣2{~测}踩[5]啐2{叹词、责备义}搋{~面团}		
s	[6]衰摔[3]甩[5]帅啐1{嗔、责}		
k	[6]关2{~会(另读)：吩咐}乖[3]拐踝-[5]怪		
kʰ	[6]㧟1{用胳膊挎着}[3]㧟2{~篮}□{~瘤儿}傀□{举止轻浮}蒯[5]会1{~计}刽桧-{~柏}块快筷		
x	[6]坏歪2□{~嘴儿}[2]怀=淮槐踝=[3]□{1.打：~嘴巴儿；2.甩动：~水；3.吃：~呀两碗饭}		
#ɔ			
p	[6]包苞1抱=1{~怨}胞龅[3]保堡饱褒宝[5]报抱=2{怨~：~怨}□{凸眼球：勒(另读)头~眼}鲍=暴1暴1{~芽：发芽}爆曝瀑1{~布}趵{跳跃，引指胀：车胆子~}豹		
pʰ	[6]抱-{~怨}泡1{名词：水~~儿、~灰}苞2皰{眼睑}铇鲍-奅{虚夸：说~话}抛脬{尿~、量词(通泡)}暴2{~~的：刚刚}雹2{冰~}[2]咆{~躁}刨炮1{~制}袍跑[3]□{稚嫩，不练达}[5]炮2{大~}泡{量词}泡{浸~}疱{~疮}奅{以言冒人}		
m	[6]毛2{霉斑}冒帽貌[2]毛1{~发}矛茅猫錨=[3]□{夹~}卯铆□{捆扎、捉}懵3{~一冲}[5]毷{~氉：烦闷、闷热}		
t	[6]刀叨={念~}朝={今~}□{麈~儿味}糟{另读。北乡、西北乡音}[3]倒1{打~}岛捣柮{榾~儿}祷[5]到倒2道=		
tʰ	[6]叨-{~扰、~教}滔稻掏道-盗掉-1{丢~}[2]逃桃淘陶萄涛[3]讨{~论}导悼[5]套□{~气：可爱}		
