ȵiɛn	3	31	染捻撵念愿-									
ȵiɛn	5	45	谚									
ɕiɛn	1	33	先仙掀鲜(新~)煽(~风点火)									
ɕiɛn	2	212	贤弦陷馅嫌善禅(~让)									
ɕiɛn	3	31	闪险癣显选䘆(蚯蚓)									
ɕiɛn	5	45	线扇现宪献膳穂									
iɛn	1	33	淹阉烟冤									
iɛn	2	212	炎盐阁延沿完									
iɛn	3	31	远演									
iɛn	5	45	厌焰宴雁燕(~子)院-掩									
tsuan	2	212	传(~记)									
tsʰuan	1	33	穿									
tsʰuan	5	45	喘									
kuan	1	33	官棺关=									
kuan	2	212	观(道~)冠(~军)惯									
kuan	3	31	管馆									
kuan	5	45	贯灌罐									
kʰuan	1	33	欢-宽关-									
kʰuan	3	31	款									
xuan	1	33	欢=									
xuan	2	212	桓还(~原)唤幻患宦									
xuan	3	31	环									
xuan	5	45	缓									
uan	1	33	豌弯湾昽									
uan	2	212	丸顽还(~钱)									
uan	3	31	娩(分~)皖万									
uan	5	45	腕挽									
ʨyɛn	1	33	专砖捐绢									
ʨyɛn	2	212	卷=(试~)眷倦									
ʨyɛn	3	31	转(~送)卷(~起)									
ʨʰyɛn	1	33	川圈=(圆~)									
ʨʰyɛn	2	212	全泉船权传(~达)券									
ʨʰyɛn	3	31	犬转(~圆圈)									
ʨʰyɛn	5	45	窜串劝									
ȵyɛn	1	33	软									
ɕyɛn	1	33	宣喧									
ɕyɛn	2	212	玄悬县眩									
ɕyɛn	5	45	鲜(朝~)									
yɛn	1	33	渊									
yɛn	2	212	员元原源袁园圆=阮院=愿=									
yɛn	5	45	怨									
pɛn	1	33	奔(~跑)分-(~开)崩									
pɛn	3	31	本									
pɛn	5	45	粪奔(~头)笨									
pʰɛn	1	33	烹喷(~水)喷(~香)									
pʰɛn	2	212	盆彭									
pʰɛn	3	31	凭-(~壁:倚靠)膨=									
mɛn	1	33	蚊蠓(~虫)									
mɛn	2	212	门									
mɛn	5	45	闷问									
fɛn	1	33	昏纷芬分=(一~钱)									
fɛn	2	212	魂坟奋									
fɛn	3	31	粉份(一~两~)									
fɛn	5	45	□(烘烤)愤									
tɛn	1	33	灯登筝									
tɛn	3	31	等									
tɛn	5	45	凳瞪									
tʰɛn	1	33	吞									
tʰɛn	2	212	腾藤									
tʰɛn	3	31	邓									
tʰɛn	5	45	□(~事:耽误)拼-									
nɛn	2	212	能仍									
nɛn	5	45	奶-									
lɛn	1	33	冷									
lɛn	2	212	伶(~俐:干净)									
tsɛn	1	33	遵曾(姓)增争=									
tsɛn	2	212	僧赠									
tsɛn	5	45	挣									
tsʰɛn	2	212	臣层曾(~经)									
tsʰɛn	3	31	娠									
sɛn	1	33	森僧参(人~)生=牲=									
sɛn	2	212	绳									
sɛn	3	31	省									
kɛn	1	33	跟根庚羹更(五~)耕=									
kɛn	3	31	梗=									
kɛn	5	45	更(~加)									
kʰɛn	1	33	坑近									
kʰɛn	3	31	肯									
kʰɛn	5	45	恳垦									
ŋɛn	1	33	恩									
ŋɛn	2	212	银									
