					调值 [1]211 [2]24 [3]213 [5]53 [7]5
准	ts	uɘn	213		
春	tsʰ	uɘn	211		
唇	tsʰ	ɘn	24		
顺	ɕ	yɘn	24	白	
顺	s	uɘn	53	文	
纯	ɕ	yɘn	24	白	
纯	s	uɘn	24	文	
闰	Ǿ	yɘn	53		
均	tɕ	yɘn	211		
匀	Ǿ	yɘn	24		
律	l	ieʔ	5		
出	tsʰ	uoʔ	5		
橘	tɕ	yeʔ	5		
分	f	ɘn	211		
粉	f	ɘn	213		
粪	f	ɘn	53		
坟	f	ɘn	24		
蚊	Ǿ	uɘn	24		
问	Ǿ	uɘn	53		
军	tɕ	yɘn	211		
裙	tɕʰ	yɘn	24		
熏	ɕ	yɘn	211		
云	Ǿ	yɘn	24		
运	Ǿ	yɘn	53		
佛	f	ɤʔ	5		
物	Ǿ	uoʔ	5		
帮	p	ã	211		
忙	m	ã	24		
党	t	ã	213		
汤	tʰ	ã	211		
糖	tʰ	ã	24		
浪	l	ã	53		
仓	tsʰ	ã	211		
钢	k	ã	211		
糠	kʰ	ã	211		
薄	p	ɤʔ	5		
摸	m	ʊ	211		
托	tʰ	ɤʔ	5		
落	l	ɤʔ	5		
作	ts	ɤʔ	5		
索	s	ʊ	213		
各	k	ɤʔ	5		
鹤	x	ɤʔ	5		
恶	ɣ	ɤʔ	5		
娘	l	iã	24		
两	l	iã	213		
亮	l	iã	53		
浆	tɕ	iã	53		
抢	tɕʰ	iã	213		
匠	tɕ	iã	53		
想	ɕ	iã	213		
像	ɕ	iã	53		
张	ts	ã	211		
长	tsʰ	ã	24		
装	ts	uã	211		
壮	ts	uã	213	白	
壮	ts	uã	53	文	
疮	tsʰ	uã	211		
床	tsʰ	uã	24		
霜	s	uã	211		
章	ts	ã	211		
厂	tsʰ	ã	213		
唱	tsʰ	ã	53		
伤	s	ã	211		
尝	tsʰ	ã	24		
上	s	ã	53		
让	ɹ	ã	53		
姜	tɕ	iã	211		
响	ɕ	iã	213		
向	ɕ	iã	53		
秧	Ǿ	iã	211		
痒	Ǿ	iã	213		
样	Ǿ	iã	53		
雀	tɕʰ	iaʔ	5		
削	ɕ	iaʔ	5		
着	ts	aʔ	5		
勺	s	ɔ	24		
弱	ɹ	uoʔ	5		
脚	tɕ	iaʔ	5		
约	Ǿ	yeʔ	5		
药	Ǿ	iaʔ	5		
光	k	uã	211		
慌	x	uã	211		
黄	x	uã	24		
郭	k	uoʔ	5		
霍	x	ɤʔ	5		
方	f	ã	211		
放	f	ã	53		
纺	f	ã	213		
房	f	ã	24		
防	f	ã	24		
网	Ǿ	uã	213		
筐	kʰ	uã	211		
狂	kʰ	uã	24		
王	Ǿ	uã	24		
旺	Ǿ	uã	53		
缚	f	β	53		
绑	p	ã	213		
胖	pʰ	ã	53		
棒	p	ã	24	白	
棒	p	ã	53	文	
桩	ts	uã	211		
撞	ts	uã	24	白	
撞	tsʰ	uã	53	文	
窗	tsʰ	uã	211		
双	s	uã	211		
江	tɕ	iã	211		
讲	tɕ	iã	213		
降	ɕ	iã	24		
项	ɕ	iã	24		
剥	p	ɤʔ	5		
桌	ts	uoʔ	5		
镯	ts	uoʔ	5		
角	k	ɤʔ	5		
壳	kʰ	ɤʔ	5		
学	ɕ	iaʔ	5	上～	
学	ɕ	ieʔ	5	～校	
握	Ǿ	uoʔ	5		
朋	pʰ	ɘn	24		
灯	t	ɘn	211		
等	t	ɘn	213		
凳	t	ɘn	53		
藤	tʰ	ɘn	24		
能	l	ɘn	24		
能	l	ɘn	213		
层	tsʰ	ɘn	24		
僧	s	ɘn	211		
肯	kʰ	ɘn	213		
北	p	ɤʔ	5		
墨	m	ɤʔ	5		
得	t	ɤʔ	5		
特	tʰ	ɤʔ	5		
贼	tsʰ	ei	24	白	
贼	ts	ei	24	文	
塞	s	ɤʔ	5	堵～	
塞	s	æ	211	～进去	
刻	kʰ	ɤʔ	5		
黑	x	ɤʔ	5		
冰	p	iɘn	211		
证	ts	ɘn	53		
秤	tsʰ	ɘn	53		
绳	s	ɘn	24		
剩	s	ɘn	53		
升	s	ɘn	211		
兴	ɕ	iɘn	53		
蝇	Ǿ	iɘn	24		
逼	p	ieʔ	5		
力	l	ieʔ	5		
息	ɕ	ieʔ	5		
直	ts	ɤʔ	5		
侧	tsʰ	ɤʔ	5		
测	tsʰ	ɤʔ	5		
色	s	ɤʔ	5		
织	ts	ɤʔ	5		
食	s	ɤʔ	5		
式	s	ɿ	53		
极	tɕ	ieʔ	5		
国	k	uoʔ	5		
或	x	uoʔ	5		
猛	m	ɘn	213		
打	t	a	213		
冷	l	ɘn	213		
生	s	ɘn	211		
省	s	ɘn	213		
更	k	ɘn	211		
梗	k	ɘn	213		
坑	kʰ	ɘn	211		
硬	ɣ	ɘn	53		
行	ɕ	iɘn	24		
百	p	ɤʔ	5		
拍	pʰ	ɤʔ	5		
白	p	ɤʔ	5		
拆	tsʰ	ɤʔ	5		
择	ts	ɤʔ	5		
窄	ts	ɤʔ	5		
格	k	ɤʔ	5		
客	kʰ	ɤʔ	5		
额	ɣ	ɤʔ	5		
棚	pʰ	ɘn	24		
争	ts	ɘn	211		
耕	k	ɘn	211		
麦	m	ɤʔ	5		
摘	ts	ɤʔ	5		
策	tsʰ	ɤʔ	5		
隔	k	ɤʔ	5		
兵	p	iɘn	211		
柄	p	iɘn	213		
平	pʰ	iɘn	24		
病	p	iɘn	24		
明	m	iɘn	24		
