	註釋：-白讀，=文讀												
ŋ	[3]撓繞[5]饒												
x	[1]僥□{薄～}[3]曉[5]救-{～火}												
ts	[1]招沼釗詔樵炤焦昭蕉椒[3]泎{濺}[5]醮照												
tsʰ	[1]燒繰[5]俏{～貨}												
s	[1]硝肖{～像}霄囂簫蕭宵枵銷逍筲[3]少小[5]鞘肖{生～}峭嘯笑												
∅	[1]夭么妖邀腰[3]堯遙舀姚謠擾[5]要搖窰要[6]曜躍{又音}要耀[8]韶邵紹												
#iu													
p	[1]彪{又音}												
t	[1]丟[3]酬肘拄稠[5]綢[6]住[8]宙晝={～時：中午}紂												
tʰ	[1]餿抽[3]丑[5]疇籌躊[6]柱												
n	[1]扭{衣裳～了：衣服歪斜了}[3]扭{～動}紐[5]牛[6]扭{～人：擰人}												
l	[1]溜{活～：靈活}鰡[3]瘤留={～心}琉硫流={～行}柳劉[5]榴[6]餾溜{～掉}鎦												
k	[3]裘球玖九灸求久[5]究{～竟}廄虬[6]虬{又音}舅舊咎[8]究{研～}糾疚救={～人}												
kʰ	[1]丘邱鳩□{糖尿病}[5]揫[6]臼												
x	[1]休[3]韭朽												
ts	[1]揫舟州洲睭周珠{目～：眼睛}[3]肘{俗}酒帚[5]咒[6]就鷲												
tsʰ	[1]鰍秋鍬[3]囚仇醜{俗}[6]樹-□{積蓄}												
s	[1]修收[3]手首守狩[5]獸袖-{～䘼：袖子}繡宿={星～}秀銹[6]售受授壽袖={領～}												
∅	[1]幽攸悠憂優[3]游囿有友由柔蹂浮{俗}[5]孵{俗}油郵宥尤[6]幼蚴{小蟲}釉祐右誘□{癢癢}[8]酉又												
#iŋ													
p	[1]邊編鞭[3]匾扁蝙貶[5]變[6]便[8]卞汴范辮辨辯												
pʰ	[1]遍偏篇編{又音}翩[3]□{撣拍}[5]騙遍{又音}片[6]□{蓋子}												
m	[3]勉冕娩免[5]綿棉[6]面麵緬												
