繁体	简体	聲韻	聲調	注釋
驗	验	ŋim	332|陽去	
魏	魏	ŋoi	332|陽去	
亂	乱	luoŋ	332|陽去	異讀[l][ɔŋ/uoŋ][332]
亂	乱	lɔŋ	332|陽去	異讀[l][ɔŋ/uoŋ][332]
亮	亮	lyŋ	332|陽去	
令	令	leŋ	332|陽去	
利	利	lei	332|陽去	異讀[l][ei][332/35]勝利，刀利
卵	卵	lɔŋ	332|陽去	
吏	吏	lei	332|陽去	
吝	吝	leŋ	332|陽去	
抖	抖	lɛu	332|陽去	異讀[l/t][ɛu/iɐu][332/42]
淚	泪	loi	332|陽去	
漏	漏	lau	332|陽去	異讀[l][au/ɛu][332]
漏	漏	lɛu	332|陽去	異讀[l][au/ɛu][332]
濫	滥	lam	332|陽去	
煉	炼	liŋ	332|陽去	鍊條
爛	烂	laŋ	332|陽去	
痢	痢	lei	332|陽去	
練	练	liŋ	332|陽去	
纜	缆	lam	332|陽去	
老	老	lau	332|陽去	異讀[l][au/ɔ][332/42]
諒	谅	lyŋ	332|陽去	
賂	赂	lou	332|陽去	
賴	赖	lai	332|陽去	
路	路	lou	332|陽去	
鍊	炼	liŋ	332|陽去	鍊條
陋	陋	lɛu	332|陽去	
類	类	loi	332|陽去	
鹵	卤	lou	332|陽去	鹽鹵
任	任	em	332|陽去	
位	位	oi	332|陽去	
刃	刃	em	332|陽去	異讀[0][em/eŋ][332]
刃	刃	eŋ	332|陽去	異讀[0][em/eŋ][332]
務	务	ou	332|陽去	
又	又	eu	332|陽去	
問	问	oŋ	332|陽去	異讀[0/m][oŋ/uŋ][332/35]
壤	壤	yŋ	332|陽去	
夜	夜	ie	332|陽去	
孕	孕	em	332|陽去	
後	后	au	332|陽去	異讀[0/x][au/ɛu][332]
悅	悦	ø	332|陽去	
換	换	uoŋ	332|陽去	
援	援	uŋ	332|陽去	
旱	旱	aŋ	332|陽去	
易	易	ei	332|陽去	難易
有	有	ou	332|陽去	異讀[0][ou/iu][332/42]
柚	柚	eu	332|陽去	
潤	润	øŋ	332|陽去	異讀[0/n][øŋ/oŋ][332]
焰	焰	im	332|陽去	
用	用	øŋ	332|陽去	
畫	画	uo	332|陽去	
異	异	ei	332|陽去	
祐	佑	eu	332|陽去	
胃	胃	oi	332|陽去	
萬	万	uoŋ	332|陽去	
衛	卫	ui	332|陽去	
衞	卫	ui	332|陽去	
話	话	uo	332|陽去	
謂	谓	oi	332|陽去	
讓	让	yŋ	332|陽去	異讀[0/n][yŋ][332/35]
豔	艳	im	332|陽去	
賃	赁	em	332|陽去	
釬	焊	aŋ	332|陽去	
閱	阅	ø	332|陽去	
限	限	ɛŋ	332|陽去	
院	院	iŋ	332|陽去	
隕	陨	oŋ	332|陽去	
霧	雾	ou	332|陽去	
韻	韵	oŋ	332|陽去	
丙	丙	piŋ	42|上	
保	保	pɔ	42|上	
匾	匾	pɛŋ	42|上	
堡	堡	pɔ	42|上	
寶	宝	pɔ	42|上	
扁	扁	pɛŋ	42|上	
把	把	pa	42|上	
抱	抱	pɔ	42|上	
擺	摆	pai	42|上	異讀[p][ɛ/ai][42]鐘擺，白讀
擺	摆	pɛ	42|上	異讀[p][ɛ/ai][42]鐘擺，白讀
斧	斧	pɔ	42|上	異讀[p/pʰ][ɔ/o][42]
本	本	pɔŋ	42|上	
板	板	paŋ	42|上	異讀[p][ɛŋ/aŋ][22/42]
步	步	pu	42|上	
炳	炳	piŋ	42|上	
版	版	paŋ	42|上	異讀[p][ɛŋ/aŋ][22/42]
秉	秉	piŋ	42|上	
稟	禀	piŋ	42|上	
簿	簿	pu	42|上	
蝙	蝙	pɛŋ	42|上	
表	表	piɐu	42|上	
補	补	po	42|上	
貶	贬	pɛŋ	42|上	
避	避	pi	42|上	
部	部	pu	42|上	
陛	陛	pi	42|上	
飽	饱	pau	42|上	異讀[p][a/au][42]
飽	饱	pa	42|上	異讀[p][a/au][42]
餅	饼	piaŋ	42|上	
匪	匪	pʰi	42|上	
否	否	pʰiɐu	42|上	
斧	斧	pʰo	42|上	異讀[p/pʰ][ɔ/o][42]
普	普	pʰo	42|上	
譜	谱	pʰo	42|上	
鄙	鄙	pʰi	42|上	
倒	倒	tɔ	42|上	打倒
偵	侦	tiaŋ	42|上	異讀[t][iaŋ/iŋ][42/44]單字讀，偵探
典	典	tɛŋ	42|上	
堵	堵	tu	42|上	
墩	墩	tœŋ	42|上	異讀[t][œŋ][42/44]單字讀，橋墩
導	导	tɔ	42|上	
展	展	tɛŋ	42|上	
底	底	ti	42|上	異讀[t][ɛ/i][42]
底	底	tɛ	42|上	異讀[t][ɛ/i][42]
弟	弟	ti	42|上	異讀[t][ɛ/i][42]
弟	弟	tɛ	42|上	異讀[t][ɛ/i][42]
懂	懂	tuŋ	42|上	
打	打	ta	42|上	
抖	抖	tiɐu	42|上	異讀[l/t][ɛu/iɐu][332/42]
朵	朵	to	42|上	
杵	杵	ty	42|上	
盜	盗	tɔ	42|上	
睹	睹	tu	42|上	
短	短	tuaŋ	42|上	
禱	祷	tɔ	42|上	
稻	稻	tɔ	42|上	
肘	肘	tiu	42|上	
膽	胆	tam	42|上	
苧	苎	tœ	42|上	
董	董	tuŋ	42|上	
賭	赌	tu	42|上	
轉	转	tøŋ	42|上	異讀[t/ts][øŋ/uoŋ][42]轉螺絲，白讀
道	道	tɔ	42|上	
陡	陡	tau	42|上	
頂	顶	tiŋ	42|上	
鬥	斗	tau	42|上	
點	点	tɛm	42|上	
黨	党	tɔŋ	42|上	
鼎	鼎	tiaŋ	42|上	異讀[t/tʰ][iaŋ/iŋ][42]
土	土	tʰu	42|上	
坦	坦	tʰaŋ	42|上	異讀[tʰ][iaŋ/aŋ][42]
坦	坦	tʰiaŋ	42|上	異讀[tʰ][iaŋ/aŋ][42]
塚	冢	tʰuŋ	42|上	
妥	妥	tʰo	42|上	
忝	忝	tʰɛm	42|上	
恥	耻	tʰi	42|上	
挺	挺	tʰiŋ	42|上	
桶	桶	tʰœŋ	42|上	
毒	毒	tʰau	42|上	異讀[t/tʰ][uk/au][5/42]文讀，毒魚
毯	毯	tʰiaŋ	42|上	
潭	潭	tʰam	42|上	聲調不合規則
統	统	tʰuŋ	42|上	
腿	腿	tʰøy	42|上	
艇	艇	tʰiŋ	42|上	
討	讨	tʰɔ	42|上	
譚	谭	tʰam	42|上	聲調不合規則
透	透	tʰau	42|上	聲調不合規則
逞	逞	tʰiŋ	42|上	
醜	丑	tʰiu	42|上	異讀[tʰ/tsʰ][iu][42]小丑，子醜
體	体	tʰɛ	42|上	
鼎	鼎	tʰiŋ	42|上	異讀[t/tʰ][iaŋ/iŋ][42]
久	久	kiu	42|上	
九	九	kau	42|上	異讀[k][au/iu][42]
九	九	kiu	42|上	異讀[k][au/iu][42]
估	估	ku	42|上	
俱	俱	køy	42|上	
假	假	ka	42|上	假貨
僅	仅	kiŋ	42|上	
具	具	køy	42|上	
剮	剐	kua	42|上	
古	古	ku	42|上	
哽	哽	kɛŋ	42|上	
垢	垢	kau	42|上	
境	境	kiŋ	42|上	
寡	寡	kua	42|上	
巨	巨	køy	42|上	
己	己	ki	42|上	
廣	广	kɔŋ	42|上	
建	建	kyŋ	42|上	
懼	惧	køy	42|上	
揀	拣	kɛŋ	42|上	
改	改	kai	42|上	
敢	敢	kam	42|上	
景	景	kiŋ	42|上	
杞	杞	ki	42|上	
果	果	ko	42|上	
枴	拐	kuai	42|上	
柬	柬	kaŋ	42|上	
梗	梗	kɛŋ	42|上	
橄	橄	kam	42|上	
檢	检	kɛm	42|上	
港	港	kœŋ	42|上	港口
灸	灸	kiu	42|上	
狗	狗	kiɐu	42|上	
癸	癸	kui	42|上	
皷	皷	ku	42|上	
盬	盬	ku	42|上	
瞰	瞰	kam	42|上	
矩	矩	ky	42|上	
矯	矫	kiɐu	42|上	
稈	秆	kaŋ	42|上	
稾	稾	kɔ	42|上	
筧	笕	kɛŋ	42|上	
管	管	kuaŋ	42|上	
簡	简	kaŋ	42|上	
粿	粿	køy	42|上	
紀	纪	ki	42|上	
絞	绞	kau	42|上	
絹	绢	kyŋ	42|上	
緊	紧	kiŋ	42|上	
繭	茧	kɛŋ	42|上	
耿	耿	kɛŋ	42|上	
股	股	ku	42|上	
舉	举	ky	42|上	
苟	苟	kiɐu	42|上	
蒯	蒯	kuai	42|上	
解	解	kai	42|上	異讀[k][ɛ/ai][42]文讀，解開，起解
解	解	kɛ	42|上	異讀[k][ɛ/ai][42]文讀，解開，起解
詭	诡	kui	42|上	
講	讲	kɔŋ	42|上	
謹	谨	kiŋ	42|上	
警	警	kiŋ	42|上	
距	距	køy	42|上	
軌	轨	kui	42|上	
錦	锦	kim	42|上	
鬼	鬼	kui	42|上	
鯁	鲠	kɛŋ	42|上	
鼓	鼓	ku	42|上	
企	企	kʰe	42|上	
侃	侃	kʰam	42|上	
凱	凯	kʰai	42|上	
口	口	kʰau	42|上	異讀[kʰ][au/iɐu][42]
口	口	kʰiɐu	42|上	異讀[kʰ][au/iɐu][42]
可	可	kʰɔ	42|上	
啓	启	kʰe	42|上	
啟	启	kʰe	42|上	
坎	坎	kʰam	42|上	
墾	垦	kʰɔŋ	42|上	
孔	孔	kʰɔŋ	42|上	
巧	巧	kʰiɐu	42|上	
恐	恐	kʰyŋ	42|上	
愷	恺	kʰai	42|上	
懇	恳	kʰɔŋ	42|上	
款	款	kʰuaŋ	42|上	
犬	犬	kʰɛŋ	42|上	
稛	稛	kʰuŋ	42|上	
考	考	kʰɔ	42|上	
肯	肯	kʰiŋ	42|上	異讀[kʰ][iŋ/ɛŋ][42]
肯	肯	kʰɛŋ	42|上	異讀[kʰ][iŋ/ɛŋ][42]
艦	舰	kʰam	42|上	
苦	苦	kʰu	42|上	
菌	菌	kʰuŋ	42|上	
譴	谴	kʰɛŋ	42|上	
豈	岂	kʰi	42|上	
起	起	kʰi	42|上	
遣	遣	kʰɛŋ	42|上	
鞏	巩	kʰyŋ	42|上	
主	主	tso	42|上	
丼	丼	tsaŋ	42|上	
井	井	tsaŋ	42|上	
住	住	tsøy	42|上	異讀[t/ts][eu/øy][332/42]
准	准	tsuŋ	42|上	
剪	剪	tsɛŋ	42|上	
助	助	tsœ	42|上	
坐	坐	tsɔ	42|上	異讀[s/ts][ɔi/ɔ][332/42]
姊	姊	tsi	42|上	
姐	姐	tsa	42|上	
娠	娠	tsiŋ	42|上	妊娠
子	子	tsi	42|上	異讀[ts][i/u][42]
子	子	tsu	42|上	異讀[ts][i/u][42]
宰	宰	tsai	42|上	
少	少	tsiɐu	42|上	多少
左	左	tsɔ	42|上	
座	座	tsɔ	42|上	
拯	拯	tsiŋ	42|上	拯救
指	指	tsi	42|上	
振	振	tsiŋ	42|上	
掌	掌	tsɔŋ	42|上	
整	整	tsiŋ	42|上	
斬	斩	tsam	42|上	
旨	旨	tsi	42|上	
早	早	tsa	42|上	異讀[ts][a/ɔ][42]
早	早	tsɔ	42|上	異讀[ts][a/ɔ][42]
枕	枕	tsim	42|上	
柱	柱	tsøy	42|上	異讀[tʰ/ts][eu/øy][332/42]
梓	梓	tsu	42|上	
棗	枣	tsɔ	42|上	
槳	桨	tsɔŋ	42|上	
止	止	tsi	42|上	
水	水	tsy	42|上	
渚	渚	tsy	42|上	
滓	滓	tsai	42|上	
煑	煑	tsy	42|上	
爪	爪	tsau	42|上	
獎	奖	tsɔŋ	42|上	
疹	疹	tsiŋ	42|上	
皁	皁	tsɔ	42|上	
盞	盏	tsaŋ	42|上	
祖	祖	tsu	42|上	
種	种	tsyŋ	42|上	種類
紙	纸	tsa	42|上	
紫	紫	tse	42|上	
組	组	tsu	42|上	
緫	緫	tsuŋ	42|上	
總	总	tsuŋ	42|上	
者	者	tsa	42|上	
聚	聚	tsøy	42|上	
腫	肿	tsyŋ	42|上	
蚤	蚤	tsau	42|上	
診	诊	tsiŋ	42|上	
走	走	tsau	42|上	
踐	践	tsɛŋ	42|上	
轉	转	tsuoŋ	42|上	異讀[t/ts][øŋ/uoŋ][42]轉螺絲，白讀
酒	酒	tsiu	42|上	
鑽	钻	tsɔŋ	42|上	異讀[ts][ɔŋ][42/35]鑽孔，金剛鑽，鑽石
阻	阻	tsu	42|上	
震	震	tsiŋ	42|上	
駐	驻	tsøy	42|上	
鳥	鸟	tsiɐu	42|上	異讀[n/ts][iɐu][42]
且	且	tsʰa	42|上	
侈	侈	tsʰe	42|上	
取	取	tsʰy	42|上	
寢	寝	tsʰim	42|上	
屎	屎	tsʰi	42|上	異讀[s/tsʰ][ai/i][42]
帚	帚	tsʰiu	42|上	
廠	厂	tsʰɔŋ	42|上	
彩	彩	tsʰai	42|上	
慘	惨	tsʰam	42|上	
手	手	tsʰiu	42|上	
扯	扯	tsʰe	42|上	
撦	撦	tsʰe	42|上	
楚	楚	tsʰu	42|上	異讀[tsʰ][œ/u][42]
楚	楚	tsʰœ	42|上	異讀[tsʰ][œ/u][42]
此	此	tsʰu	42|上	
沼	沼	tsʰiɐu	42|上	
淺	浅	tsʰɛŋ	42|上	
炒	炒	tsʰa	42|上	
癬	癣	tsʰaŋ	42|上	
睬	睬	tsʰai	42|上	採取
矢	矢	tsʰi	42|上	
礎	础	tsʰœ	42|上	
筅	筅	tsʰɛŋ	42|上	
草	草	tsʰau	42|上	異讀[tsʰ][au/ɔ][42]
草	草	tsʰɔ	42|上	異讀[tsʰ][au/ɔ][42]
蠢	蠢	tsʰuŋ	42|上	
請	请	tsʰaŋ	42|上	異讀[tsʰ][aŋ/iŋ][42]
請	请	tsʰiŋ	42|上	異讀[tsʰ][aŋ/iŋ][42]
豕	豕	tsʰi	42|上	
醜	丑	tsʰiu	42|上	異讀[tʰ/tsʰ][iu][42]小丑，子醜
采	采	tsʰai	42|上	
采	采	tsʰai	42|上	採取
鏟	铲	tsʰam	42|上	
髓	髓	tsʰøy	42|上	
鼠	鼠	tsʰy	42|上	
齒	齿	tsʰi	42|上	
使	使	sai	42|上	
傘	伞	saŋ	42|上	
史	史	su	42|上	
始	始	si	42|上	
嫂	嫂	sɔ	42|上	
守	守	siu	42|上	
審	审	sim	42|上	
寫	写	sie	42|上	
小	小	siɐu	42|上	
屎	屎	sai	42|上	異讀[s/tsʰ][ai/i][42]
嶼	屿	søy	42|上	
序	序	søy	42|上	
徇	徇	suŋ	42|上	
徙	徙	sɛ	42|上	
想	想	sɔŋ	42|上	
所	所	sɛ	42|上	
掃	扫	sɔ	42|上	
損	损	sɔŋ	42|上	
敘	叙	søy	42|上	
暑	暑	sy	42|上	
死	死	si	42|上	異讀[s][i/u][42]
死	死	su	42|上	異讀[s][i/u][42]
殉	殉	suŋ	42|上	
爽	爽	sɔŋ	42|上	
瑣	琐	sɔ	42|上	
璽	玺	sœ	42|上	
產	产	saŋ	42|上	
瘦	瘦	siɐu	42|上	異讀[s][iɐu/ɛu][42/35]
省	省	sɛŋ	42|上	反省
稍	稍	sau	42|上	
穧	穧	sɛ	42|上	多
筍	笋	suŋ	42|上	
署	署	sy	42|上	
舍	舍	sa	42|上	
舍	舍	sa	42|上	異讀[s][a/ie][42/35]
誓	誓	si	42|上	
豉	豉	si	42|上	
豎	竖	søy	42|上	
賞	赏	sɔŋ	42|上	
逝	逝	si	42|上	
選	选	sɔŋ	42|上	
銑	铣	sɛŋ	42|上	
鎖	锁	sɔ	42|上	
閃	闪	sɛm	42|上	
陝	陕	sɛm	42|上	
首	首	siu	42|上	
駛	驶	sai	42|上	異讀[s][ai/u][42]
駛	驶	su	42|上	異讀[s][ai/u][42]
鮝	鮝	sɔŋ	42|上	
鯗	鲞	sɔŋ	42|上	
黍	黍	sœ	42|上	
享	享	xyøŋ	42|上	
俯	俯	xu	42|上	
好	好	xɔ	42|上	
府	府	xu	42|上	
廈	厦	xa	42|上	
很	很	xɛŋ	42|上	
惠	惠	xi	42|上	
慧	慧	xi	42|上	
憤	愤	xuŋ	42|上	
掀	掀	xiaŋ	42|上	異讀[x][iaŋ/yŋ][42/44]
晧	晧	xɔ	42|上	
曉	晓	xiɐu	42|上	
毀	毁	xui	42|上	
浩	浩	xɔ	42|上	
海	海	xai	42|上	
滸	浒	xu	42|上	
火	火	xo	42|上	異讀[x][øy/o][42]
火	火	xøy	42|上	異讀[x][øy/o][42]
甫	甫	xu	42|上	
皓	皓	xɔ	42|上	
禍	祸	xu	42|上	
粉	粉	xuŋ	42|上	
系	系	xi	42|上	
紡	纺	xɔŋ	42|上	
罕	罕	xaŋ	42|上	
腑	腑	xu	42|上	
虎	虎	xu	42|上	
蟹	蟹	xɛ	42|上	
訪	访	xɔŋ	42|上	
許	许	xu	42|上	異讀[x][u/y][42]
許	许	xy	42|上	異讀[x][u/y][42]
賀	贺	xɔ	42|上	
返	返	xuaŋ	42|上	
雨	雨	xu	42|上	異讀[0/x][y/u][42]
響	响	xyøŋ	42|上	
顯	显	xɛŋ	42|上	
免	免	mɛŋ	42|上	
冒	冒	mɔ	42|上	
勉	勉	mɛŋ	42|上	
募	募	mu	42|上	
卯	卯	mau	42|上	
姥	姥	mu	42|上	
娩	娩	mɛŋ	42|上	
尾	尾	møy	42|上	
帽	帽	mɔ	42|上	
慕	慕	mu	42|上	
憫	悯	miŋ	42|上	
懵	懵	moŋ	42|上	
戊	戊	mu	42|上	
敏	敏	miŋ	42|上	
暮	暮	mu	42|上	
杳	杳	miɐu	42|上	杳無音信
某	某	mu	42|上	
母	母	mu	42|上	異讀[m][ɔ/u][42]
母	母	mɔ	42|上	異讀[m][ɔ/u][42]
每	每	møy	42|上	
永	永	miŋ	42|上	聲母表現不合規則
渺	渺	miɐu	42|上	
滿	满	maŋ	42|上	
猛	猛	maŋ	42|上	異讀[m][aŋ/œŋ/ɛŋ][42]
猛	猛	mœŋ	42|上	異讀[m][aŋ/œŋ/ɛŋ][42]
猛	猛	mɛŋ	42|上	異讀[m][aŋ/œŋ/ɛŋ][42]
畝	亩	miɐu	42|上	異讀[m][iɐu/u][42]
畝	亩	mu	42|上	異讀[m][iɐu/u][42]
畞	畞	miɐu	42|上	異讀[m][iɐu/u][42]
畞	畞	mu	42|上	異讀[m][iɐu/u][42]
畮	畮	miɐu	42|上	異讀[m][iɐu/u][42]
畮	畮	mu	42|上	異讀[m][iɐu/u][42]
皿	皿	miŋ	42|上	
碼	码	ma	42|上	
秒	秒	miɐu	42|上	
穎	颖	miŋ	42|上	異讀[0/m][iŋ][42]後者聲母表現不合規則
米	米	mi	42|上	
美	美	mi	42|上	
買	买	mɛ	42|上	
賣	卖	mɛ	42|上	
馬	马	ma	42|上	
乃	乃	nai	42|上	
伱	伱	ni	42|上	
你	你	ni	42|上	
冗	冗	nɔŋ	42|上	
女	女	ny	42|上	
娜	娜	na	42|上	異讀[n][a/ɔ][42]
娜	娜	nɔ	42|上	異讀[n][a/ɔ][42]
宂	宂	nɔŋ	42|上	
惱	恼	nɔ	42|上	
扭	扭	niu	42|上	
拏	拏	na	42|上	
暖	暖	nœŋ	42|上	
曩	曩	nɔŋ	42|上	
汝	汝	ny	42|上	
爾	尔	ni	42|上	
紐	纽	niu	42|上	
腦	脑	nɔ	42|上	
軟	软	nœŋ	42|上	
餒	馁	nøy	42|上	
饒	饶	nau	42|上	異讀[n/ŋ][au/iu][42/22]上饒，單字讀
鳥	鸟	niɐu	42|上	異讀[n/ts][iɐu][42]
仰	仰	ŋyøŋ	42|上	
伍	伍	ŋu	42|上	異讀[ŋ][ou/u][332/42]
偶	偶	ŋiɐu	42|上	
傲	傲	ŋɔ	42|上	
儼	俨	ŋɛŋ	42|上	
午	午	ŋu	42|上	
寓	寓	ŋøy	42|上	
悟	悟	ŋu	42|上	
我	我	ŋɔ	42|上	異讀[0/ŋ][ua/ɔ][42]
擬	拟	ŋi	42|上	
毅	毅	ŋi	42|上	
眼	眼	ŋaŋ	42|上	異讀[ŋ][iaŋ/aŋ][42]文讀，龍眼
眼	眼	ŋiaŋ	42|上	異讀[ŋ][iaŋ/aŋ][42]文讀，龍眼
碾	碾	ŋɛŋ	42|上	碾米
禦	御	ŋøy	42|上	
禦	御	ŋøy	42|上	防禦
義	义	ŋi	42|上	
耳	耳	ŋi	42|上	異讀[ŋ][ei/i][332/42]
藕	藕	ŋau	42|上	
藝	艺	ŋi	42|上	
詣	诣	ŋi	42|上	
語	语	ŋy	42|上	
誤	误	ŋu	42|上	
誼	谊	ŋi	42|上	
議	议	ŋi	42|上	
輾	辗	ŋɛŋ	42|上	車輾
遇	遇	ŋøy	42|上	
雅	雅	ŋa	42|上	
餓	饿	ŋɔ	42|上	
馭	驭	ŋøy	42|上	
了	了	liɐu	42|上	
例	例	li	42|上	
兩	两	lɔŋ	42|上	異讀[l/n][ɔŋ/aŋ][42/332]
冷	冷	lɛŋ	42|上	
勵	励	lɛ	42|上	
呂	吕	ly	42|上	
壘	垒	lui	42|上	
壟	垄	luŋ	42|上	異讀[l][œŋ/uŋ][22/42]
壠	垄	luŋ	42|上	異讀[l][œŋ/uŋ][22/42]
寵	宠	luŋ	42|上	
屢	屡	ly	42|上	
履	履	li	42|上	
嶺	岭	liaŋ	42|上	
廩	廪	lim	42|上	
慮	虑	løy	42|上	
懶	懒	laŋ	42|上	
撈	捞	lœ	42|上	異讀[l][œ/au][42/44]單字讀，撈邊
攏	拢	luŋ	42|上	
攬	揽	lam	42|上	
旅	旅	ly	42|上	
朗	朗	lɔŋ	42|上	
李	李	li	42|上	
柳	柳	liu	42|上	
櫓	橹	lu	42|上	
欖	榄	lam	42|上	
殮	殓	lɛm	42|上	
理	理	li	42|上	
禮	礼	lɛ	42|上	
籮	箩	luo	42|上	
縷	缕	ly	42|上	
老	老	lɔ	42|上	異讀[l][au/ɔ][332/42]
荔	荔	lɛ	42|上	
蕊	蕊	lui	42|上	
虜	虏	lo	42|上	
裏	里	li	42|上	
裸	裸	lo	42|上	
覽	览	lam	42|上	
輦	辇	lɛŋ	42|上	
隴	陇	luŋ	42|上	
領	领	liaŋ	42|上	領導
魯	鲁	lu	42|上	
鯉	鲤	li	42|上	
鹵	卤	lu	42|上	滷雞
下	下	a	42|上	
也	也	ia	42|上	
乳	乳	y	42|上	
以	以	i	42|上	
侮	侮	u	42|上	
倚	倚	ai	42|上	異讀[0][ai/i][42/44]
偉	伟	ui	42|上	
允	允	yŋ	42|上	
冶	冶	ia	42|上	
刎	刎	uŋ	42|上	
勇	勇	yŋ	42|上	
友	友	iu	42|上	
吻	吻	uŋ	42|上	
喻	喻	øy	42|上	
委	委	ui	42|上	
婉	婉	uaŋ	42|上	
宇	宇	y	42|上	
宛	宛	uaŋ	42|上	
尹	尹	yŋ	42|上	
已	已	i	42|上	
引	引	yŋ	42|上	
影	影	iŋ	42|上	異讀[0][ɔŋ/iŋ][42]
影	影	ɔŋ	42|上	異讀[0][ɔŋ/iŋ][42]
往	往	ɔŋ	42|上	
忍	忍	yŋ	42|上	
愈	愈	øy	42|上	病癒
懊	懊	ɔ	42|上	
我	我	ua	42|上	異讀[0/ŋ][ua/ɔ][42]
拗	拗	a	42|上	異讀[0][a/au][42/35]拗脾氣，折斷
挽	挽	uaŋ	42|上	
捥	捥	uaŋ	42|上	
撫	抚	u	42|上	
擾	扰	iɐu	42|上	
於	于	y	42|上	
晚	晚	uaŋ	42|上	
晥	晥	uaŋ	42|上	
有	有	iu	42|上	異讀[0][ou/iu][332/42]
椀	椀	uaŋ	42|上	
武	武	u	42|上	
盌	盌	uaŋ	42|上	
矮	矮	ɛ	42|上	
碗	碗	uaŋ	42|上	
禹	禹	y	42|上	
穎	颖	iŋ	42|上	異讀[0/m][iŋ][42]後者聲母表現不合規則
穩	稳	uŋ	42|上	
網	网	ɔŋ	42|上	異讀[0/m][ɔŋ/œŋ][42/332]
羽	羽	y	42|上	
腕	腕	uaŋ	42|上	
與	与	y	42|上	異讀[0][øy/y][22/42]
舞	舞	u	42|上	
莠	莠	iu	42|上	
菀	菀	uaŋ	42|上	
藹	蔼	ai	42|上	
裕	裕	øy	42|上	
襖	袄	ɔ	42|上	
誘	诱	iu	42|上	
豌	豌	uaŋ	42|上	
豫	豫	øy	42|上	
賄	贿	ui	42|上	
逾	逾	øy	42|上	
遠	远	ɔŋ	42|上	異讀[0/x][ɔŋ/uŋ][42/332]
酉	酉	iu	42|上	
野	野	ia	42|上	
隱	隐	yŋ	42|上	
雨	雨	y	42|上	異讀[0/x][y/u][42]
靄	霭	ai	42|上	
飲	饮	am	42|上	異讀[0][am/im][42]飲酒，米湯
飲	饮	im	42|上	異讀[0][am/im][42]飲酒，米湯
鵡	鹉	u	42|上	
半	半	puoŋ	35|陰去	
垻	坝	pa	35|陰去	
報	报	pɔ	35|陰去	
富	富	pou	35|陰去	異讀[p/x][ou][35]
布	布	pu	35|陰去	
庇	庇	pei	35|陰去	
怖	怖	pu	35|陰去	
拜	拜	pai	35|陰去	
播	播	pɔ	35|陰去	
放	放	poŋ	35|陰去	異讀[p/x][oŋ][35]
柄	柄	paŋ	35|陰去	異讀[p][aŋ/iŋ][35]
柄	柄	piŋ	35|陰去	異讀[p][aŋ/iŋ][35]
沸	沸	pui	35|陰去	
泌	泌	pei	35|陰去	
畚	畚	poŋ	35|陰去	
疿	疿	pui	35|陰去	
痹	痹	pei	35|陰去	
祕	秘	pei	35|陰去	
秘	秘	pei	35|陰去	
糞	粪	poŋ	35|陰去	
臂	臂	pi	35|陰去	
蔽	蔽	pei	35|陰去	
謗	谤	pɔŋ	35|陰去	
變	变	piŋ	35|陰去	
豹	豹	pau	35|陰去	
貝	贝	pui	35|陰去	
閉	闭	pi	35|陰去	
霸	霸	pa	35|陰去	
判	判	pʰuoŋ	35|陰去	
屁	屁	pʰei	35|陰去	異讀[pʰ][oi/ei][35]
屁	屁	pʰoi	35|陰去	異讀[pʰ][oi/ei][35]
帊	帊	pʰa	35|陰去	
怕	怕	pʰa	35|陰去	
派	派	pʰai	35|陰去	異讀[pʰ][uo/ai][35]文讀，派水
派	派	pʰuo	35|陰去	異讀[pʰ][uo/ai][35]文讀，派水
片	片	pʰiŋ	35|陰去	
破	破	pʰui	35|陰去	異讀[pʰ][ui/uo/ɔ][35]文讀，破柴，單字讀
破	破	pʰuo	35|陰去	異讀[pʰ][ui/uo/ɔ][35]文讀，破柴，單字讀
破	破	pʰɔ	35|陰去	異讀[pʰ][ui/uo/ɔ][35]文讀，破柴，單字讀
礮	炮	pʰau	35|陰去	
稗	稗	pʰɛ	35|陰去	
聘	聘	pʰeŋ	35|陰去	
肨	肨	pʰaŋ	35|陰去	不精實
迸	迸	pʰeŋ	35|陰去	
逬	逬	pʰeŋ	35|陰去	
配	配	pʰui	35|陰去	
騗	骗	pʰiŋ	35|陰去	
騙	骗	pʰiŋ	35|陰去	
鮑	鲍	pʰau	35|陰去	
鼻	鼻	pʰei	35|陰去	異讀[p/pʰ][ik/ei][5/35]
凳	凳	teŋ	35|陰去	
到	到	tɔ	35|陰去	
吊	吊	tɛu	35|陰去	
囤	囤	toŋ	35|陰去	
塊	块	tɔi	35|陰去	
妬	妬	tou	35|陰去	
對	对	tɔi	35|陰去	
帝	帝	tɛ	35|陰去	
帳	帐	tyŋ	35|陰去	
帶	带	tai	35|陰去	
店	店	tɛm	35|陰去	
戴	戴	tai	35|陰去	戴帽
旦	旦	taŋ	35|陰去	
晝	昼	tau	35|陰去	異讀[t][au/iu][35]
晝	昼	tiu	35|陰去	異讀[t][au/iu][35]
智	智	tei	35|陰去	
棟	栋	toŋ	35|陰去	異讀[t][œŋ/oŋ][35]棟梁，白讀
棟	栋	tœŋ	35|陰去	異讀[t][œŋ/oŋ][35]棟梁，白讀
碓	碓	tai	35|陰去	
罩	罩	tau	35|陰去	
置	置	tei	35|陰去	
脹	胀	tyŋ	35|陰去	
致	致	tei	35|陰去	
釣	钓	tiu	35|陰去	
